0.0020752+0.00049486i,0.0013963-0.0002917i,0.00012239-0.0010118i,-0.0010262-0.00015124i,-0.001879+0.0015938i,-0.0021762+0.0022303i,-0.0020213+0.0016446i,-0.00030298+0.0016816i,0.00070241+0.0015901i,0.00040068+0.00038239i,0.00085159-0.0010907i,0.00085903-0.0011318i,-0.00042124-0.00026285i,-0.00056168-8.0078e-05i,-0.00035654-0.00032988i,-6.5676e-05-0.00010578i,0.00042508+0.00023945i,0.00038555+0.0011013i,-4.5118e-05+0.0010737i,-0.00033608+0.00014982i,-0.00022999-1.6223e-06i,0.00025173+0.00013433i,0.00084895-0.00024592i
0.00046841+0.00050212i,-0.0014748+0.00021277i,-0.0013392-0.00035476i,-0.0013657+6.5824e-05i,-0.00076855+0.00078313i,-0.00035622+0.00057971i,-0.0003387+0.00024413i,0.00049162+0.00020946i,0.00080974+8.2148e-05i,0.00044078+0.00061619i,-0.00051675+0.00094114i,-0.0015495+0.00053283i,-0.0018116+0.00061968i,-0.0010652+0.00063746i,-5.1487e-05+0.00032305i,0.0002543+0.00045579i,-0.00025081+0.00080659i,-0.00019336+0.00044897i,-0.0003684-0.00028066i,-0.00096576-6.2725e-05i,-0.00068009+0.00050708i,-0.00058236+0.0012411i,-0.0011722+0.00092197i
6.9321e-05+0.00098194i,0.0022481+0.00058465i,0.0024737-0.00043248i,0.00021457-0.00042713i,-0.00064222-4.3061e-05i,3.5277e-05-0.00097081i,4.6917e-06-0.00092882i,-0.00049008+0.0001566i,0.00029432+9.6566e-05i,0.00089415-0.00021678i,0.00031074+0.00028709i,0.00012142+0.00040155i,0.00049603+0.00021242i,2.2505e-05-4.8297e-05i,-0.0006917+6.217e-05i,-0.00079106-0.00041102i,-0.00023767-0.00059989i,-0.00040171-0.00010247i,-0.0010141-0.00014031i,-0.0012309-0.00024424i,-0.00067961-0.00047518i,-9.834e-05-6.3916e-05i,0.00058368+0.00066983i
0.001296+0.00035043i,0.0017625+0.00017682i,0.0019417-0.0011432i,0.0017287-0.001342i,0.00059593-0.00069044i,4.5304e-05-0.00017757i,-0.00018914-0.00068032i,-0.00025653-0.0010392i,0.00025567-0.0012436i,-0.00039205-0.0017673i,-0.00042901-0.00082235i,-0.00011536+0.0001046i,0.00013471-5.2871e-05i,0.00085233-0.00017389i,0.00094426+0.00023333i,0.00080548+0.00055567i,0.00092821+0.00065711i,0.001182+0.0011957i,0.0010304+0.00056685i,0.00081464-0.00043538i,0.00099681-0.00064038i,0.00060831-0.00071903i,0.00070262-0.00036081i
0.00089727+0.00042786i,-1.7419e-05-5.9489e-05i,-0.00096334-0.00058684i,-0.00077751+0.00025803i,-0.000862+0.001123i,-0.001334+0.00021315i,-0.001106-0.00024409i,-0.00096358+0.00036695i,-0.00072112+0.00016473i,-0.00030644-0.0004152i,-2.4656e-06-0.00098788i,0.00030556-0.00098008i,0.00025285-0.00080672i,-0.00016012-0.00058624i,-0.00028603-7.4725e-06i,0.00058919-0.00011933i,0.0016898-5.9244e-05i,0.0007483+0.00014112i,0.0002916-0.0010956i,0.00068412-0.001177i,-0.00028196-0.00012826i,-0.0014603-5.5618e-05i,-0.0010971-0.0004496i
-0.0035943-0.0022379i,-0.0047469-0.0015077i,-0.0044796-0.00048127i,-0.0029975+0.00079661i,-0.001077+0.0018573i,0.00043728+0.0013477i,0.00028532+0.00020363i,-0.00056861-0.00033478i,-0.00067562-6.827e-05i,-0.00067551+0.00091281i,-0.00018781+0.0010555i,0.00058803+0.0003448i,0.00056054-0.00026571i,0.00028345-0.00069154i,0.00018375-0.00025786i,-0.00031062-6.3357e-05i,-0.00044621-6.3588e-05i,0.00027096+0.00067198i,0.00078115+0.00057813i,0.00079942+0.00019222i,1.9273e-05-0.00028796i,6.8509e-05-0.00077937i,0.00036432-0.00030643i
0.00045462-0.0017742i,0.001765-0.0026009i,0.0018626-0.002894i,0.00098269-0.0011389i,0.00015615+0.00054273i,-0.00060475+0.0010915i,-0.0013175+0.0014828i,-0.0009644+0.0013803i,-0.00072053+0.0010422i,-0.0013239+0.00078043i,-0.0014956+0.00041486i,-0.0011422+0.00030977i,-0.0006289-0.00021164i,-0.00017752-0.00057814i,0.00019768-0.00018167i,1.3389e-05-0.00058772i,0.00034177-0.001495i,0.0010444-0.0014917i,0.0007298-0.00036806i,0.00072882+0.0011024i,0.00073687+0.0010802i,-0.00022879+0.00042782i,-0.00031766-0.00011209i
-2.5305e-05+0.00032777i,-0.00064825+0.0018495i,-0.00043196+0.0018215i,-0.00068507+0.00065835i,-0.0013385+0.00019879i,-0.0017483+0.00026018i,-0.0016695-0.00041352i,-0.00093818-0.00082471i,-0.00050958+0.00011338i,-0.00040989+0.00029264i,0.00011067+0.00011216i,0.00038776+0.00016126i,-0.00042007+4.5811e-05i,-0.00096494+0.00036966i,-0.00087712+0.00065291i,-0.0012642+6.6746e-05i,-0.0014726+0.00020262i,-0.00068537-0.00033627i,0.00057771-0.0015031i,0.00115-0.0010994i,0.00086615-0.00013336i,0.00064739+0.00025714i,0.00061887+6.0877e-05i
-0.00059585+0.0021418i,0.00013761+0.00092475i,0.0018637+0.00052082i,0.0036014+4.5935e-05i,0.0036861-9.8918e-05i,0.0028327-5.5672e-05i,0.0015872-0.00024555i,0.00024387-0.00013952i,0.00039645+0.00051861i,0.0013115+0.00095778i,0.000803+0.00054108i,0.00010541-0.00028425i,0.00022497-0.0009358i,0.0002343-0.0007962i,-1.2957e-05+4.8673e-05i,-0.00047962+0.00035341i,-0.00018077+7.0835e-05i,0.00017726+0.00056669i,-5.0989e-05+0.00093812i,-0.000301+0.00027854i,-0.00012238+0.00063562i,-8.8435e-06+0.00095542i,-0.00021447+0.00035768i
0.0013024-0.0011579i,0.00054906-0.0013363i,-0.0022362-0.00038278i,-0.0044481+0.000221i,-0.0043084+0.0011613i,-0.0032337+0.001807i,-0.0010605+0.0014534i,3.7545e-05+0.00042409i,-0.00022005+3.014e-05i,-6.4839e-05+0.0004266i,0.00014039+0.00095223i,-0.00057426+0.0014233i,-0.00088227+0.0013991i,-0.00069843+0.0010797i,-0.00054481+0.00063955i,-0.0006128+0.00079307i,-0.00023409+0.00088589i,8.1171e-05+0.00056958i,0.00081589+0.00022178i,0.00069796-6.0263e-05i,0.00048526+0.00013631i,0.00025053+0.00026972i,0.00023338-0.00021855i
-0.0019432+0.0013871i,-0.0012708+0.0015053i,-0.00040329+0.00096941i,0.00079179+0.00037698i,0.00091974-0.00027988i,0.00014118-6.2585e-05i,0.00037705-0.00023496i,0.00010013+1.0659e-05i,-0.0002797+0.00025633i,-7.1855e-05+7.3332e-06i,-0.00031157+5.0739e-05i,-0.00030591-0.00026397i,-0.00064818-0.00053439i,-0.000721-0.00049611i,-1.6676e-05+0.0002524i,0.00051227+0.00072199i,0.00060029+0.00047991i,0.00027001+0.00026506i,4.0394e-05+0.00025201i,-0.00089608+0.00022325i,-0.0012555+8.9629e-05i,-0.00062046-0.00051035i,-0.00034022-0.00054893i
