-0.0013886-0.00038945i,-0.0010596-0.000961i,-0.00042585-0.00073584i,-0.0012208-0.00090359i,-0.0028626-0.001865i,-0.0030489-0.0010163i,-0.0014838+0.00037985i,-0.00082923+0.0006981i,-0.00035387+0.0004287i,-0.0002335+0.00026325i,-0.00049941-3.831e-05i,-0.00010251-0.00017784i,0.00012658-0.00047526i,4.4454e-05-0.00092328i,-0.00037767+4.8443e-05i,-0.00055372+0.00067663i,-0.00068274+0.00046976i,-0.00075527+0.00095299i,-0.00080896+0.0010057i,-0.00037707+0.00035307i,0.00044279-0.00061697i,0.00082533-0.00062527i,0.00060426+0.00018954i
-0.00020096-0.00028857i,-0.00021109-8.5268e-05i,-6.0791e-06-0.0002521i,-3.8089e-05-0.00013333i,-0.00033458-0.0004322i,0.00023574+0.00029585i,0.00053537+0.0012425i,0.00042942+0.00040651i,0.00018043-0.00012015i,2.4695e-05+0.00010931i,-0.00060293-0.00042858i,-0.00069976-0.00076524i,-0.00034772-0.00060722i,-0.00054299-0.00053996i,-0.00092632-0.00086716i,-0.0007799-0.0011943i,-0.00078112-0.00044933i,-0.0010403-0.00022096i,-0.00038425-0.00035201i,0.00010927+0.00017735i,0.00020183+0.00034361i,2.9912e-05-0.0003271i,-0.00015141+0.00021757i
-0.00054764-0.00027564i,-0.00065779-0.00022593i,0.00067806-0.00095761i,0.0015335-0.0013385i,0.0015246-0.0014044i,0.00064043-0.00078594i,-5.4307e-05+0.00054701i,0.00012929+0.00091475i,0.00040971+0.00061536i,-0.0001851-4.3792e-05i,-0.00084896-0.00082303i,-0.00036585-0.0012798i,-0.00026076-0.00077388i,-0.00071498-9.4932e-05i,-0.0005689+0.0003079i,-0.00018269+9.5716e-05i,0.00038505+0.00030554i,0.00026173+0.00099382i,-0.00018092+0.00080851i,-0.00049615+0.00036925i,-0.00030518-0.00010736i,0.00054451-0.00012221i,0.0007192-0.00017991i
-0.00093256-0.00022197i,-0.0016731-0.0007561i,-0.00088854-0.00038392i,0.00019289+0.00059368i,0.0005697+0.00056292i,0.00099325+0.00074023i,0.00042982+0.0013964i,-0.00019898+0.00077536i,-0.0001002-0.00062485i,0.0003508-0.0011182i,0.0007975-0.000562i,0.0012963-1.6651e-05i,0.00068729+0.00018451i,-0.00071889+5.3208e-05i,-0.001197+0.0002712i,-0.0014283+0.00010781i,-0.0012048-0.00028818i,0.00044951+0.00034316i,0.0011356+0.00081552i,0.0006372+0.00055739i,0.0012482+0.00083244i,0.001207+0.0013354i,0.0005275+0.00011706i
-0.00015208+2.9953e-05i,-0.00054195-0.00066551i,-0.00015249-0.0014573i,0.00010384-0.00099233i,0.00020407-0.00053554i,0.00018316-0.0003467i,-0.00033613-5.1579e-05i,-0.00024734+0.00030222i,0.00030172+3.5137e-05i,0.00060743-0.0003826i,0.00011996-0.00038235i,-7.8865e-05+0.00019235i,-9.3778e-05+0.000391i,-0.00010192+0.0001871i,-0.00038704-0.00060532i,-0.0008786-0.0011712i,-0.0011481-0.0008371i,-0.00021712+6.3814e-05i,0.00071861-2.029e-05i,0.00046638-0.00068336i,6.8264e-05-0.0004858i,6.2068e-05-0.00027532i,0.00021006-0.00019167i
-0.00059449-0.00054755i,2.0383e-06+0.00054364i,0.00023205+0.0009748i,0.0014398+0.0011153i,0.0011828+0.00085078i,0.00076844+0.0002013i,0.00086964+0.0002922i,0.00092771+0.00012129i,0.00030189-0.00045454i,0.00018745-0.00031743i,0.0004928-0.00014195i,-0.00050031-0.0007257i,-0.001537-0.0011416i,-0.00099306-0.00088685i,-0.00057745-0.00034671i,-0.0010165-0.00075174i,-0.00047814-0.0010676i,3.8414e-05+9.7813e-06i,1.4467e-06+0.00089632i,-0.00019105+0.0008003i,0.00010391+0.0001672i,0.00035211+0.00020865i,0.00037484+0.00064968i
-0.00054717-0.00010424i,-0.00064292-0.00064941i,0.00056723-0.00096593i,0.00024756-0.0002987i,-0.00065079+0.00062606i,-0.00032272+0.0010306i,0.00061186+0.00091676i,0.00099557-6.2912e-05i,0.00043599-0.00047787i,-6.8616e-05-0.00065473i,-0.00038602-0.0001634i,-7.6387e-05-1.2757e-05i,0.00060188-0.00036873i,0.00048433-0.00036381i,-0.00018456-0.00031683i,-0.0006024-0.00025182i,-0.0010981+0.00031905i,-0.0013587+0.00070014i,-0.0005885+0.00034087i,-0.00020596+0.0002427i,-6.1693e-05+0.00026953i,0.00044556+0.00028261i,0.00041854+0.00039668i
-0.000674-0.0012315i,-2.6105e-05-0.00074352i,-0.00049556-0.00016913i,-0.0005095+3.8315e-05i,-0.00022269+0.00027718i,-0.00075008+0.00089684i,-0.00096575+0.00075918i,-0.00033357+0.00036018i,0.00012193-0.00026591i,0.00017682-4.4296e-05i,0.00042348+6.5682e-05i,0.00085959-5.0409e-05i,0.00094091-0.00026441i,0.00043728-0.00037213i,-0.00078838-0.0005276i,-0.0016898-0.00054774i,-0.0018822-0.00027533i,-0.00075233+0.00034597i,0.0001438+0.00057963i,-0.0004514+0.00023859i,-3.1223e-05+8.0601e-06i,0.00060415-0.00073676i,-0.00032776-0.00065514i
-0.0013898-0.00096522i,-0.0014071+9.7086e-06i,-0.0010081+0.00098114i,-0.00022671+0.0013126i,0.00020811+0.00090417i,0.0003392+0.00048789i,0.00080925+7.8183e-05i,0.00070517-0.00025365i,5.3561e-05+4.204e-05i,-0.00042397+0.00053566i,-0.0004879+0.00014014i,0.00028158-0.00081778i,-9.6796e-05-0.00077456i,-0.0010807-0.0005161i,-0.00098646-7.41e-05i,-0.00095006+0.00021412i,-0.00091554+4.2502e-05i,-0.00075133+6.089e-05i,-0.00034501-0.00016497i,0.00033398+0.00023399i,0.00014452+0.00084264i,-0.00011447+0.00077544i,-0.00043455+0.00029312i
0.0012189-0.00039375i,0.002187-0.001393i,0.0020852-0.001233i,0.0012669-0.00086142i,0.00062066-0.001406i,-6.1475e-05-0.00054293i,6.1887e-05+0.00069447i,0.0010067+0.00037781i,0.00044763-0.00043234i,-0.00025115-0.0006226i,0.00076297+0.00016522i,0.00074608+0.00051942i,-0.00016442+0.0005563i,7.4259e-06+0.00026822i,7.2575e-05-0.00031671i,-0.00073691-0.00027327i,-0.0015026+0.00024107i,-0.00062064+0.0004848i,0.0002193-0.00029038i,-5.0849e-05+0.00023399i,0.00016722+0.00085324i,-0.00014494+0.00056933i,-0.00019265+0.00036228i
-0.00069278-0.00060184i,-0.00088463-0.00068698i,-0.002093-0.0011467i,-0.0015983-0.0012278i,-0.00049226-0.00072901i,-0.00023317+0.0004049i,-0.00030304+0.00072287i,-0.00057442+0.00038469i,-0.00066561-3.5618e-05i,0.00016159+0.0006866i,0.00049154+0.00084211i,0.0004119+0.00028318i,0.00088962+0.00017748i,0.00014412-0.00011217i,-0.00047953+2.8574e-05i,-0.00064573+8.0134e-06i,-0.00025438-0.00048958i,-0.00069494+0.00017813i,-0.00073554+0.00081968i,-0.0004662+0.00036146i,-0.00026828-0.00026925i,0.00038712-5.4484e-05i,0.00012726+5.0574e-05i
-0.00073828-0.00082546i,-0.00017185+9.678e-05i,0.00085113+0.0016229i,0.0008488+0.0022907i,0.0002641+0.0017377i,0.00056607+0.0011346i,0.00041378+0.0008304i,-0.00078381+0.00023107i,-0.0007834+6.5537e-06i,0.00058212+8.6819e-05i,0.001159+0.00027124i,0.00075439+1.2343e-05i,0.00014382-0.0011143i,-0.00066843-0.0012455i,-0.00086059-0.00087602i,-0.0005475-0.00084409i,-0.00080599-0.00078616i,-0.00065042-0.00017759i,-0.00040971-0.00014277i,0.00018877-0.00048102i,0.0010482-0.00018084i,0.0010113+0.00012275i,0.00014899+0.00054968i
-0.0016991-0.00035504i,-0.0030558-0.00052534i,-0.0028362-0.00035119i,-0.0012078-0.00033151i,0.0010784+0.00071855i,0.0012853+0.0021968i,0.00061954+0.0017389i,0.00078341+0.0011476i,0.00088003+0.00096505i,0.0013013+0.00031788i,0.0018365+0.0004625i,0.0014126+0.00042548i,0.0004052-0.00015184i,-9.8533e-05-0.000386i,-0.00042031-0.0009278i,-0.00025001-0.00077393i,-4.2562e-05+9.598e-05i,-9.5864e-05+0.0001898i,-0.00038339-8.3944e-05i,0.00023848-0.00034345i,0.00069971-0.00073614i,0.00066294-0.00055527i,0.0002983-0.00025593i
-0.00018169+0.00070517i,-0.00043719+0.001075i,-0.00020686+0.00054841i,0.00097917+0.0013061i,0.00065183+0.0016591i,0.00036956+0.00028336i,0.0003912-0.00041918i,0.00018826-0.00062503i,3.4748e-05-0.00034606i,0.00036536+0.00012487i,0.0007839-4.9693e-05i,0.00059367-0.0001055i,2.3365e-05-0.00012458i,-0.00023364-9.3991e-05i,-0.00052796-0.00019081i,-0.00068607-0.00038522i,-0.00077452-0.00069821i,-0.00056323-2.6086e-05i,0.0002386+0.00036039i,0.00029492-0.00031574i,0.00049445-0.0011701i,0.00061839-0.0014809i,0.00040735-0.0008901i
-0.0002913+0.0006782i,0.00033118+0.00087371i,0.00015357+0.00091873i,0.00066324-0.00049433i,0.0015255-0.0015344i,0.00071477-0.00037556i,-0.0003879+0.001478i,-0.00079759+0.0018673i,-0.00011006+0.00075888i,0.00089772-2.3589e-05i,0.0010613-0.00043692i,0.00052875-0.00091797i,-0.00022779-0.00040112i,-0.0010937+5.854e-05i,-0.00076152-0.00038476i,-0.00028214-0.0013217i,-0.00080866-0.00081884i,-0.0011561+0.00054856i,-0.00049221+0.0009289i,-9.7177e-05+0.00092292i,-0.00096269+0.00089525i,-0.00082658+0.00048049i,-0.00012874-0.00018787i
-0.00069166+0.00010839i,-0.00094458+0.00010081i,-0.00076515-0.00022819i,0.00030298+0.00070323i,0.00098867+0.0017177i,0.00071464+0.0010296i,0.00031765+5.3327e-05i,0.00018901-0.00095525i,-0.00023155-0.00096229i,-0.00059544-0.00029219i,-0.00020082-0.00052264i,2.1284e-06-0.0011426i,-0.00047522-0.0015442i,-0.00034922-0.0013279i,-0.00060684-0.00085341i,-0.001596-0.00056277i,-0.001315+0.00037367i,8.7242e-05+0.00058311i,0.00025687-9.4884e-05i,-0.00031033+3.8241e-05i,-0.00020322+0.00037922i,0.0001581+0.00029231i,0.00011974+9.322e-05i
-0.0012831+9.5982e-05i,-0.0014715+0.0014795i,-0.0013255+0.0014499i,5.7727e-05+6.7115e-05i,0.00084055-0.00028393i,0.00092137+0.00074414i,0.00019575+0.0014429i,-0.00040677+0.0013138i,-0.00095092+0.00032013i,-0.0014834-0.00038642i,-0.00080033-0.00046037i,-0.0003661-0.00069499i,-0.00066491-0.00038022i,-0.00090389+0.00049033i,-0.00090594+0.00033266i,-0.00060412+4.4667e-05i,-0.00051371+0.0003736i,-0.00078205+0.00018405i,-0.00055006-0.00018527i,0.00018331+0.00045256i,0.00073572+0.00048993i,0.00075128-4.204e-06i,0.00091977+0.00015176i
-0.00048529-0.0016174i,-0.00048607-0.0020578i,-0.00091277-0.0021162i,-0.00073766-0.0014018i,-0.00040166-0.0001307i,-0.00091505+0.00078691i,-0.0011718+0.00065476i,-0.0011012-0.00019145i,-0.00074667-0.00032282i,-0.00062289+0.00024069i,-0.0003551+9.4753e-05i,-1.8965e-05+0.00013822i,2.8029e-05+0.00073499i,0.00017501+0.00070752i,-9.0189e-05+1.5587e-05i,-0.00032437+2.1737e-05i,-0.00023544-1.5318e-05i,0.00016271-0.00078565i,0.00023988-0.00042434i,3.2413e-05-5.9554e-05i,-0.00011053-0.00027998i,0.00012653-3.2492e-05i,0.00103+0.00036565i
-0.00047281-0.00043912i,-0.00075525-0.00047591i,-0.0012109+0.00044096i,-0.0012248-0.00097697i,-0.00102-0.0015409i,-0.0011487+0.00033195i,-0.00094789+0.00094804i,-0.00043184+0.0003579i,-0.00010776+0.00013898i,2.8385e-05-0.00034474i,0.00048566-0.00055849i,0.00045451-0.00083476i,-0.00030713-0.0011384i,-0.00032522-0.00060531i,-0.00021649-0.00041662i,-0.00027873-0.0009388i,-0.00089032-0.00084443i,-0.00082378-3.3986e-05i,-2.5715e-05+0.00015489i,-0.00019662-0.00022229i,-0.00016748-0.00051937i,-6.9371e-05-0.00114i,0.00030051-0.00097204i
0.00020968-0.00055011i,0.001392-0.0005412i,0.0025861-0.00029817i,0.0024772-0.00073236i,0.0014772-0.00064898i,0.00057793+0.00012928i,0.00011615+0.0005267i,-0.00012097+3.0646e-05i,0.00052864-0.00044977i,0.00098491-0.00080904i,0.00090521-0.00074739i,0.00045899-0.00061516i,0.00013902-0.00021353i,0.00010961-0.00018644i,-3.0508e-05-6.2524e-05i,-0.00027334-5.4785e-05i,-0.00024481-0.00051671i,0.00010279-0.00041965i,0.00011378+0.00042605i,-0.00016902+0.00020173i,0.00033952-0.00027472i,0.00044958+6.7343e-05i,-9.4762e-05-0.00010268i
-0.0020044-0.0018398i,-0.0020731-0.0016449i,-0.0014582-0.00060475i,-0.00091562+0.00014804i,-0.00075123+0.00045359i,-0.00076801+0.0012638i,-0.00042961+0.0013725i,-0.00043533+0.00064596i,-0.00072862-4.8559e-06i,-0.00057607+0.000223i,-0.00061488+0.00013317i,-0.0006135-0.00073636i,-1.5802e-05-0.00095018i,-8.1375e-05-0.00049818i,-0.00062576-0.00045201i,-0.00099366-0.00082728i,-0.00096223-0.00028204i,-0.00035699+0.00022771i,-0.00012702-0.00013566i,-0.00023115-0.00043638i,-0.00018893-0.0004944i,-0.00077857+0.00013489i,-0.00047281-0.00018974i
-0.0002028-0.00081683i,-0.00064027+8.7774e-05i,-0.00026809+0.00070245i,-0.00024075+0.00064453i,0.0009421-0.00028041i,0.0015357-0.00088504i,0.0007612-0.0006214i,0.00051407-0.00064289i,0.00019883-0.00037777i,-0.00034944+3.231e-06i,-0.00024108-1.7269e-05i,0.00027661+3.7985e-05i,0.00017418+0.00011192i,-0.00061735-0.00075466i,-0.00053803-0.0010181i,-0.00026092-0.00070578i,0.00013997-0.00058575i,-7.5479e-07+0.00010005i,-0.00022388+0.00072587i,-0.00013572+0.00079977i,-0.00029698+0.0008814i,0.00043901+0.0010454i,0.0010301+0.0012148i
-0.00040906+3.6014e-05i,3.9698e-05-7.4045e-05i,0.00039129+0.00075885i,0.00057586+0.00023015i,0.00044077-0.00074679i,0.00039308+0.00011156i,0.0008855+6.4148e-05i,0.0013698-0.00061754i,0.00074574-0.0010894i,0.00037805-0.0010202i,0.00011649-0.00018205i,6.7157e-05-0.00015451i,0.00017202-0.0005996i,-0.00050508-0.00093695i,-0.0010267-0.0010017i,-0.0012977-0.00033079i,-0.0010565-0.00050669i,-0.00028706-0.00039287i,-0.00046843+0.00013577i,-0.00029886+1.0826e-05i,0.00044109-0.0008673i,0.00067347-0.0014138i,0.00051238-0.00077681i
0.00023998-0.0010001i,-2.1908e-05-0.00096427i,0.0001667-0.00065122i,4.6094e-05-0.00012601i,-0.00038459-0.00071005i,-0.00026849-0.00049603i,0.00038371+0.00046033i,0.00036922+0.00064099i,-0.00040651+5.6572e-05i,-0.0002655-0.0003972i,0.00054294-0.00021902i,-9.3695e-05+0.00016932i,-0.0010238+2.275e-06i,-0.00057321-0.00055789i,-0.00051877-0.00087679i,-0.00057939-0.0010935i,8.3663e-05-0.0013171i,0.00033231-0.00040609i,6.8131e-05+0.00017409i,0.00031021+0.00023932i,0.00016456-3.7923e-05i,-0.00061404-0.00015993i,-0.00019764-0.00015222i
-9.9911e-05-0.00098816i,-0.00038438-0.00041563i,-0.00037717+0.00038057i,-0.00033401-0.00054566i,-0.00031611-0.00060397i,-0.00082354+0.00044018i,-0.00084147+0.00072738i,-9.8425e-05+0.00049849i,0.00017854+0.00070333i,0.00059402+0.0005129i,0.00062358+5.3075e-06i,-9.832e-05-0.00067325i,-4.7956e-05-0.00088292i,-0.00013042-0.00018855i,-0.00051965-0.00052527i,-0.00049769-0.00072959i,-0.00068825-3.4489e-05i,-0.00087552-0.00011743i,-0.00036109-0.00025448i,0.00013085+0.00044193i,-0.00021939+0.00078045i,0.00043998-0.00019327i,0.00064482-0.00068352i
0.0002105+0.00037905i,0.00038973+0.00048336i,0.00020434+0.00084288i,0.0011328+0.00099098i,0.0023061+0.0011942i,0.0020679+0.0013184i,0.0017413+0.0013982i,0.0011764+0.00090462i,0.00061449-0.00028473i,0.00084943-0.00030754i,0.00049541+8.8599e-05i,-0.00012413+0.00037222i,0.00032173+0.00024297i,0.00058085-0.00028979i,-1.0382e-05-0.00075753i,-0.00021186-0.00056801i,-0.00032282-0.00054726i,0.00011627-0.00092845i,0.00093103-0.00088573i,0.00066789-0.0004457i,0.00055567-0.00046795i,0.00050376-0.00024278i,-9.5486e-05+0.00015683i
-0.0010102+0.002834i,0.00031703+0.0029388i,0.0021342+0.0026384i,0.0026914+0.0014097i,0.0021963+0.00010143i,0.0013705-0.00026235i,0.00082549-1.5737e-05i,0.00088313-7.962e-05i,0.00095163-0.00020757i,0.0012315+1.1785e-05i,0.0010081-0.00027558i,-0.00018352-0.00058453i,-0.00077176-0.00060476i,-0.00079893-0.0003257i,-0.0010371+4.7068e-05i,-0.00083464+0.00046275i,-0.00069885+1.4565e-05i,-0.0012818-0.00045814i,-0.0010861+0.00048238i,-0.00044006+0.0011097i,2.3241e-05+0.00068026i,0.00044053+0.00053147i,0.00034178+0.00028609i
7.8298e-05+0.00088701i,-0.00020934+0.00040767i,-0.00012616-0.0011846i,0.00025499-0.0019752i,0.00011519-0.0015084i,-3.7548e-05-0.00033943i,0.00049476+3.0055e-05i,0.00090051+1.813e-06i,0.00024319+4.6709e-05i,0.00032803+3.8623e-05i,0.00011443+0.0002922i,-0.00065063-0.00016587i,-0.00011851-0.0010231i,0.00035244-0.001707i,-4.1811e-05-0.0015429i,-0.00078751-0.00037196i,-0.0009186-0.00022697i,-0.00068867-0.0004272i,-0.000695-0.00022058i,-0.00056644-0.00070799i,-0.00037364-0.000566i,-0.00011019-0.00011781i,0.00055589-0.00062872i
-8.812e-05-0.00079991i,0.00020537-0.0012583i,7.4148e-05-0.0009749i,-0.00040069-0.00040996i,-0.00055455+0.00018472i,-0.00026552+0.0011251i,0.00030851+0.0011465i,0.00034922+0.00098824i,4.9944e-05+0.0007252i,-0.0002335-0.0004975i,-8.2649e-05-0.0011957i,0.00015979-0.0005742i,0.00038731+0.0001268i,0.0007607+0.00043854i,0.00034192+8.7986e-05i,-0.00080886-0.000125i,-0.0011209-0.00042659i,-6.054e-06-0.00073632i,0.00057741+0.00012836i,0.00038475+0.00062586i,-0.00020275+0.00014899i,-0.00056104+0.00017931i,-0.00023191+0.00073419i
-0.00040602+0.0005463i,-0.0010123+0.0012444i,-0.0016859+0.00092741i,-0.00058948+0.00094037i,0.000582+0.0017664i,0.00083312+0.00099317i,0.0012562+0.00047634i,0.0011241-1.0067e-05i,0.00025134-0.00042415i,-0.00036643-0.00011834i,-0.0010264+3.1109e-05i,-0.0014751+4.0074e-05i,-0.0011623-0.00038565i,-0.00065057-0.00081339i,-0.00029751-0.00079794i,-0.00058612-0.00068025i,-0.0005145-0.00026792i,0.0001744+3.3701e-05i,0.00029518+0.00032024i,0.00071064+0.00016329i,0.00049237+0.00055409i,0.00020373+0.0007422i,0.00098271+0.00012801i
0.0011349+0.00011338i,0.0013194-0.00031889i,0.0022568-0.00064725i,0.0025608-0.00015584i,0.0014717-0.00014168i,0.00033254-0.00029408i,-0.0005037-0.00029173i,-0.00044065-0.00011773i,-0.000169+0.00034328i,-0.00047098+0.00016452i,-0.00060956-0.0002151i,-0.00042884-2.6561e-05i,-3.0071e-05+0.00022336i,-0.0005553-0.00023431i,-0.00085243-0.00030887i,-0.00072123-0.00018898i,-0.00043917+0.00017441i,-0.00058299+0.00096866i,-0.0001378+0.00033397i,0.00041946-0.00043259i,-0.00028294+0.00027406i,-0.00088178+0.00020339i,-0.0010064+1.4459e-05i
-0.00084523+0.0015709i,-0.00068556+0.0015588i,-8.8335e-05+0.0010421i,0.00081244+0.00030951i,0.00061184-0.00036053i,0.00080609-0.00059588i,0.00088596-0.00017561i,0.00027288-1.4524e-05i,-0.00014496-0.00037025i,0.0001154-0.00025377i,0.00014355-0.00013062i,-0.00025232-0.00019663i,-0.00072252-0.00025751i,-0.0011615-0.00012994i,-0.0016786+0.00015418i,-0.0013851-0.0004667i,-0.0010256-0.0006126i,-0.00019724+0.00010004i,0.00021483+0.00039856i,0.00052494+0.00014728i,0.00072862+0.0003016i,0.00041805-0.00050113i,0.00026906-0.0010863i
