-0.00055251+7.2048e-05i,-0.00024883-8.8436e-06i,-0.00017925-0.00056639i,-0.00037372-0.0018814i,-0.00013042-0.0022803i,-0.00066838-0.00057397i,-0.0013873+0.0010361i,-0.00059836+0.0022387i,0.0013735+0.0016156i,0.0022047+0.00012512i,0.0011364-0.00029046i,0.00056804+0.00027285i,0.00054368+0.00056839i,0.00017784-0.00012481i,3.3118e-06-0.00083244i,-0.00049012-0.000439i,-0.00063887+7.6089e-05i,-0.0006064-0.00081354i,-0.0010323-0.00067736i,-0.00071541+0.00057682i,-0.00013437+0.00047118i,1.2766e-05-0.0002256i,2.8922e-05-0.00042331i
0.00068094+0.00046492i,0.00065446+0.0014303i,0.0012376+0.0010707i,0.0011279+0.00030902i,0.00081368-0.00089988i,0.00087477-0.0010064i,0.00068437+5.8065e-05i,0.00058045+0.00079679i,0.0013253+0.00029173i,0.001103-0.00053945i,0.00022336-0.00064759i,-0.000471+0.00050499i,-0.0003774+0.00047663i,0.0003663-0.00075918i,0.00071072-0.0008478i,0.00028623-5.8535e-05i,-0.00025843+0.00033311i,-0.0001819-7.497e-05i,0.00071432-8.3368e-06i,0.00055806-0.00037512i,0.00019787-0.00048097i,0.00029507-0.00012366i,-0.00041584+8.3014e-05i
-0.0013986-0.00031976i,-0.0003035-0.0018552i,0.00033938-0.0020378i,0.00071355-0.0017601i,-0.00017863-0.0018816i,-0.00029841-0.0012615i,0.00037486+0.00033728i,0.00037951+0.0013749i,0.00099353+0.0014999i,0.0013943+0.0010603i,0.00075105+0.00046956i,-0.00015348-6.8216e-05i,-0.00050779-0.00027351i,-0.00018717-0.00069543i,0.0001378-0.0013549i,0.00014381-0.0010427i,0.00014541-0.0003939i,-0.00021406-0.0010504i,1.8083e-05-0.00090884i,0.00069242-0.00016133i,0.00062377-0.00055121i,0.00023641+0.00015792i,-0.00034224+0.00056588i
-0.00087502-0.00118i,0.00012121-0.0014125i,-0.00043936+0.00018461i,-0.00053443+0.0015558i,7.9183e-05+0.00093877i,0.00076218-0.00013727i,0.0010815-0.00037272i,0.00082132+0.00051397i,0.00088561+0.001423i,0.00085352+0.0015148i,0.00039959+0.00077348i,0.0001706+0.00016063i,-0.00026572-0.0002139i,-0.00020623-0.0010752i,-0.00010796-0.00038031i,-0.00050177+0.00017216i,0.00010248-0.001051i,0.00072287-0.0013097i,0.00026531-0.00038664i,-0.00012429+0.00050305i,0.00018336+0.00079682i,0.0002823+6.1496e-05i,-0.00029465-8.8701e-06i
-0.00028018-0.00046541i,-0.00027906+0.00021404i,-9.7525e-05+0.00020892i,-9.9856e-05-0.00016401i,-0.00071598-0.00031531i,-0.00030752-0.00099676i,-0.00014361-0.00046849i,-0.00028147+0.00075849i,0.0004171+0.0011198i,0.0010851+0.00073239i,0.00058327+0.00022607i,-0.00036604-0.00025665i,-0.00069415-6.3603e-05i,-0.00046803-0.00023073i,1.6545e-05-0.00063385i,-1.1411e-05-0.0011672i,-0.00017357-0.00091159i,-0.00040234-0.0001154i,-0.00082775-0.00052163i,-0.00057181-0.00095523i,-0.00014205-0.00090087i,5.3396e-05-0.00055501i,1.3696e-05-9.4137e-05i
0.001435-0.00044619i,0.00077423+3.8076e-05i,-0.00043224-0.00087411i,-0.00085506-0.0013168i,-0.0010307-0.0018526i,-0.00081617-0.00085851i,0.00014616+0.0006711i,0.00045392+0.001016i,-0.00024305+0.0011932i,-0.00095217+0.00036352i,-0.0011899-0.00060424i,-0.00054942-0.00037145i,0.00085196-0.00012493i,0.0011389+5.1316e-05i,0.00035267-0.00025538i,5.4563e-06-0.00056841i,-5.143e-05+0.00014963i,-0.00044563+0.00044412i,0.00021329-0.00013651i,0.00048509-0.00029526i,-0.00015136-0.00024185i,-0.00025257-0.00019728i,-0.00010779-0.00046663i
0.00071129-0.00018293i,0.00044301+0.0002709i,6.831e-05-0.00089601i,0.00083136-0.0017379i,0.0019477-0.0020964i,0.0011457-0.0026775i,-2.015e-05-0.0023797i,-0.00072665-0.00021322i,0.00014228+0.0011518i,0.0011597+0.00032136i,0.00086466-0.00035878i,0.00040452+4.5167e-06i,-0.00060573+0.00079703i,-0.00037234+0.00014928i,0.0012632-0.00080359i,0.0011901-0.0007042i,0.00053626-0.00028999i,-1.2231e-05-0.00013888i,-0.00029707-0.00078182i,-0.00020648-0.00033735i,0.00029744-0.00041477i,0.00041824-0.0010233i,5.133e-05-1.8587e-06i
0.00028357-0.0011221i,0.0011232-0.00010102i,0.0010143+0.00061308i,0.00034128+4.6081e-05i,-0.0002823-0.001188i,0.00023805-0.0013609i,0.0006142+0.00029993i,0.0012461+0.0017341i,0.0011342+0.0011684i,0.00045199+0.00020521i,0.0003522+7.4093e-05i,-0.00010312-0.00019173i,-0.00053572-0.00034472i,-0.00073604-1.8811e-05i,-0.00054272-0.00024744i,-0.00027882-0.00070021i,0.00018068-0.00063602i,0.00041066+9.9097e-05i,4.5164e-05+0.00051091i,-1.8375e-05+0.00070271i,0.00034646+0.00049059i,0.00014802+1.1813e-05i,-0.00032178-0.00027906i
-1.7453e-05-0.00055017i,-0.00037218-0.00066296i,0.00017579-0.00074629i,0.00059039-0.00079255i,0.00088754-0.0010449i,0.00065282-0.001898i,0.00033184-0.00067642i,0.00086061+0.00093273i,0.00041381+0.0011394i,0.00020252+0.00076943i,0.00055282+0.00043706i,0.00013248+0.00049806i,0.0003187+2.7637e-05i,0.00073898-0.00044298i,0.0012585-0.00037903i,0.0011004-0.00043532i,2.6692e-06-0.0012138i,-0.00036873-0.0011244i,4.2758e-05+0.00019673i,0.00014111+0.0001767i,0.00015448-0.00014089i,-4.9883e-05-0.00044177i,-0.00097532-0.00083903i
0.00065506-0.00037028i,0.00072221-9.2752e-05i,0.00072133-6.1013e-06i,0.0011395-0.0007942i,0.00069022-0.0020812i,-0.00085752-0.0015708i,-0.001563-0.00055785i,-0.00084751+0.00061816i,-0.00050483+0.0010735i,-7.0592e-05+0.00029762i,0.00043324-0.00036421i,0.00032571-0.0001726i,-0.00025848+0.00033732i,-0.00070547+0.00034303i,-0.0003164+0.00020588i,0.00042451-4.0545e-05i,0.00053328-9.4009e-05i,5.8856e-05-0.00022329i,-0.00037965-0.00030715i,-0.00085886-0.00051507i,-0.00068197-0.00068167i,0.00055973-0.00010701i,0.00084809-0.00032667i
-0.00061926+0.00059042i,-0.00089223-0.00068687i,-0.0011503-0.0011186i,-0.00060619-0.0006581i,0.00070122-0.00015095i,0.0016251-0.0004794i,0.001113-7.5625e-05i,-0.00038173+0.0014645i,-3.4386e-05+0.0023189i,0.0014091+0.0018913i,0.0012627+0.0011722i,0.00061535+0.00061458i,-1.352e-05-0.00043319i,-0.0007127-0.00078165i,-0.0011048-0.00036686i,-0.00076298-0.00057274i,0.0001125-0.0007747i,-0.00016645-0.00069412i,-0.00044599-0.00024592i,-0.00097067+0.00035896i,-0.001084+0.00045602i,-0.00046815+0.00025547i,0.00019821+0.0004583i
-0.0016905+0.00036908i,-0.00046421-0.0003407i,0.00073173-0.00032239i,0.0019801-0.0013548i,0.0026007-0.0022192i,0.0017485-0.0019232i,0.00088811-0.00061209i,0.00098792+0.00041936i,0.0014809+2.5509e-05i,0.0017787-2.5957e-05i,0.0015262-1.5309e-05i,0.00093714-0.00031582i,0.00048455-0.00040442i,-0.00030243-8.9633e-05i,-0.00085053+0.00015483i,-0.00044065-0.00062354i,-0.00026725-0.00065436i,-0.00029562-0.00015286i,-0.00093977-0.00086285i,-0.0013433-0.0013952i,-0.00084107-0.00083524i,-0.00012518-0.00020785i,-0.00036924-0.00031988i
3.7293e-05+0.00075544i,0.0006467+5.7031e-05i,0.00093988-0.0010989i,0.00064981-0.0022076i,0.00054756-0.003414i,0.00029087-0.0031949i,7.8094e-05-0.00062643i,0.00063071+0.0014341i,0.0009524+0.0018255i,0.0013559+0.0012336i,0.0011423+0.00061885i,0.00053606-0.00030763i,0.00018808-0.00088143i,-0.00045826+2.3594e-05i,-0.00059805+0.00069833i,0.0001743+0.00017625i,0.00047545-0.00064985i,0.00027291-0.00078385i,-0.00032118-0.00015439i,-0.00048459-0.00063953i,0.00043276-0.001154i,0.0009598-0.00034159i,-0.00013143-0.00018859i
-0.0012924-0.001077i,-0.00077867-0.00070947i,0.00019361+0.00015759i,0.00078925+0.00079862i,0.00049272-0.00015154i,0.00080715-0.0011944i,0.00051645-0.00040584i,-0.00031945+0.00082745i,7.7063e-05+0.0018296i,9.1026e-05+0.0018081i,-0.0002543+0.00081239i,-0.00016638+0.00028798i,4.7729e-05-1.2157e-05i,0.00038545-0.00034023i,0.00059228-0.00028532i,0.00079572-0.00048693i,0.00040715-0.00064275i,-0.00012947-0.0005786i,-0.00039061-0.00038126i,-0.00052799-0.00043222i,1.8401e-05-0.00066527i,0.00014825-0.00043127i,-0.00025893+0.00040943i
-0.00088369+0.00013467i,-0.0011505-0.00076782i,-0.00026401-0.0013141i,0.00017643-0.0016493i,-7.6005e-05-0.0026201i,-0.00044487-0.0027823i,-4.8513e-05-0.0011352i,8.5335e-06+0.00075729i,0.00051503+0.0023738i,0.00095478+0.0022344i,0.0011272+0.0011825i,0.0013447+0.00041963i,0.0012189+0.00026475i,0.00074276+0.00042767i,0.00034286+0.0008576i,6.1864e-05+0.00038578i,0.00031087+0.00044299i,0.00024392+0.00086065i,0.00037648+0.00084938i,0.00085127+0.00055911i,0.00027641-0.00023229i,-0.00030982-0.00019478i,-0.00035904+0.00077985i
0.00014668+0.00012083i,0.00039304+0.00049831i,0.00079472+0.0010494i,0.0015028+0.0015455i,0.0013507+0.0006156i,-6.5187e-05-0.00089256i,-0.00082645-0.00023541i,-0.00024697+0.00081559i,0.00075595+0.0006616i,0.00121+0.0007587i,0.00056873+0.00056239i,0.00055191+0.00023417i,0.0011653+2.0601e-05i,0.00078639-0.00065233i,-0.00034156-0.001361i,-0.00050661-0.00033348i,-4.5015e-05+0.00046627i,3.8906e-05+1.2599e-05i,0.00014431-0.00032349i,-0.00064859-0.00068905i,-0.0012108-0.00061801i,-0.00063715+0.00010495i,-0.0010358+0.00012114i
-0.00044104+0.0014459i,-0.00049605+0.0011343i,0.0004027-0.0003488i,0.0011218-0.0020971i,0.00066354-0.0038519i,-0.0005084-0.0033769i,-0.0010431-0.0010265i,-0.00058352+0.00094987i,0.00020466+0.0017409i,0.00090948+0.00044103i,0.00042133-0.0014651i,-0.00030627-0.0013784i,1.7358e-05-0.00037823i,-0.00048135-0.00029874i,-0.00042694+0.00010837i,0.00048693+0.00099748i,0.00010829+0.0005727i,0.00028209-0.00055051i,0.00039795-0.00090861i,-0.00050964-0.00065052i,-0.00099358-0.0013016i,-0.00048263-0.0011089i,0.00032322-0.00034514i
-0.00042549+0.0010598i,-0.00027547+0.00095758i,-0.00022649+0.00012973i,-0.00086576-0.0012949i,-0.00049905-0.0022857i,-0.00016426-0.0020013i,-0.00045073-0.00085285i,-1.7751e-05-0.00013446i,0.0010147+0.00081654i,0.0017745+0.00038416i,0.0014289-0.00036165i,9.8424e-05-0.00034611i,-0.0005018+0.00010148i,0.00023318+0.00012784i,0.001387-0.00034509i,0.00023724-0.00044643i,-0.00086228-0.00087638i,-0.00053891-0.0011843i,-0.00089769-0.00065298i,-0.00070215+0.000203i,-0.00055599+0.00055594i,-0.00074066+0.00044979i,-0.00067877+0.00019447i
0.00047441+0.0018171i,-1.5104e-05+0.00079084i,0.00068294+0.00038528i,0.001306-0.0010973i,0.00088267-0.0023621i,3.0073e-06-0.0025436i,-0.00019465-0.0010354i,0.0006979+0.0016121i,0.0018275+0.002389i,0.001952+0.0012551i,0.0014431-0.0003071i,0.0010488-0.00026782i,0.00069927+0.00034164i,0.00033943-0.00010253i,5.8756e-05-0.00018222i,7.9582e-05-0.0001655i,3.3828e-06-0.00017613i,-8.2954e-05-0.00039561i,0.00021949-0.00041441i,0.00013062-2.573e-05i,2.7985e-05+0.0005643i,-0.00011731+0.00076974i,0.00011673+0.00051136i
0.00015722-0.00081458i,0.0013102-0.00043717i,0.00096369-0.0010805i,-0.00098644-0.001367i,-0.0024199-0.001618i,-0.0026358-0.0016631i,-0.0017047+0.00017238i,-0.00075172+0.0022456i,0.00052217+0.0016293i,0.001347+0.00041532i,0.0011784-2.7702e-06i,0.0013087-0.00060947i,0.0010447-0.00036806i,0.00051813-0.00014353i,0.00036937-0.0006035i,0.00038269+4.1175e-05i,0.0010434+0.00031643i,0.00078754-6.2283e-05i,-0.00038981-0.00010986i,-0.0003878+3.1896e-06i,-0.00016903-0.00010554i,-0.00019493+0.00026897i,-4.6933e-05+0.00027029i
2.9341e-05-0.00049793i,-0.00016289+0.00012722i,-0.00030212-0.00082786i,0.0001789-0.0024803i,-0.00013581-0.0029698i,-0.0011305-0.0030049i,-0.00024471-0.0014946i,0.00083644+8.0812e-05i,0.00078085-5.1486e-05i,0.00063452-0.00056245i,0.00025272-0.0004756i,-0.00050841+0.00035472i,-0.00027943+0.00095497i,0.00045372+5.2645e-05i,0.00034446-0.00064194i,-7.7204e-05-0.00020648i,-1.3117e-05+0.00056944i,8.5371e-05+0.0006628i,-0.00019614-0.00060916i,-0.00023913-0.00084419i,-0.00064227-0.00035653i,-0.0009128-0.00024815i,-0.0007629-0.00035762i
0.0005036-0.001196i,0.00060935-0.0013022i,0.0014242-0.0011312i,0.00087011-0.0010609i,-0.00041521-0.0019532i,-0.0010876-0.0019012i,-0.00078672-4.8048e-05i,0.00029885+0.0010733i,0.0021131+0.0013543i,0.0015411+0.0013335i,-0.00022457+0.00076924i,-0.00069302-5.6585e-05i,-0.00063527-0.00049205i,-0.00055593-2.8957e-05i,-0.00062449+0.0003623i,-0.0004559-0.00033596i,-0.00038832-0.00071496i,-0.00093463-0.00018557i,-0.00059766+0.00026131i,0.00023821+0.00035219i,0.00095357-0.00050613i,0.00056229-0.0011906i,-0.00053536-0.00088872i
-0.00056249-0.00059689i,-0.00046467-0.00028603i,-0.00015027+0.00010483i,-1.9974e-05-0.00083228i,0.00049262-0.0012616i,0.00036071-0.00043007i,-0.00033256+0.00024536i,0.00018721+0.00083385i,0.0012981+0.0011734i,0.0014232+0.0006651i,0.00039141-5.0508e-05i,-0.00025383-0.00056766i,-2.3843e-06-0.00068909i,0.00020432-0.00057423i,5.4817e-05-0.00084206i,0.0004241-0.00084132i,0.00036524-0.00021426i,-0.00038552+4.6169e-05i,-0.00067419+0.00013781i,-0.00030688+0.0006317i,0.00064135+0.00028711i,0.00070288-0.00029079i,9.2831e-05+2.8396e-05i
0.0009609-0.00014825i,0.00035282+9.0783e-05i,0.0006686+0.000293i,0.0019066-0.00035504i,0.0025757-0.0016094i,0.0018465-0.002196i,0.0011181-0.0010622i,0.00086935+0.0014377i,0.0011684+0.0022816i,0.0011932+0.0016886i,0.00093894+0.0011581i,0.00046875+0.00031986i,0.00018977-0.00069591i,8.3099e-05-0.00071597i,0.00015312+0.00026673i,0.00013453+0.00030327i,0.00015624-0.00012476i,5.7061e-05-0.00019045i,0.00089314-0.0010029i,0.00078714-0.0008391i,-0.00055502-0.00021539i,3.6092e-05-5.5076e-05i,0.00099936-0.00028078i
-4.0978e-05-0.00057293i,-0.0001317-0.00075448i,-0.0015848-0.0010456i,-0.0013864-0.0015081i,-0.00058708-0.0019134i,-0.00040481-0.00086783i,-0.00026356+0.00032895i,-0.00018831+0.0012604i,0.00048065+0.0023252i,0.0013584+0.0015677i,0.0016005+6.9062e-05i,0.0012234-3.8239e-05i,0.00076462+9.7868e-05i,0.00038712+0.00039371i,0.00042719+0.0006436i,0.00055638+0.00019535i,0.00010678-0.00060242i,-0.00031294-0.00045279i,-0.00036608+0.00042254i,-0.00013531+0.00019061i,0.00043609+9.3546e-05i,-0.00018004-0.00026318i,-0.00054547-0.00091492i
-0.00073708-9.0287e-05i,0.0006541-0.0005598i,0.0013901-0.00088652i,0.0014043-0.001444i,0.0020639-0.001474i,0.0014652-0.0012919i,-3.3645e-05-0.00058436i,-0.00048368+0.0008328i,5.0881e-05+0.0014228i,0.001097+0.0017311i,0.0015729+0.0010372i,0.0011149+0.00018459i,0.00032832+3.0809e-05i,0.00043731+0.0001281i,0.0003451+0.00031471i,0.00013059+0.00022884i,0.00015059-0.00021693i,3.9462e-06-0.00056206i,-0.00027923-0.0008297i,-0.00054023-0.0005538i,-0.00029939-8.3474e-05i,-5.887e-05-9.7176e-05i,0.00020017-0.00050358i
-0.00069888+0.00011712i,-0.0010929-0.00097377i,-0.0010905-0.00092483i,-0.00031874-0.00046571i,9.6578e-05-0.00026306i,0.00040404-0.00063286i,-0.00056973+4.9151e-05i,-0.0005579+0.0012654i,0.00093616+0.0017225i,0.0011512+0.0011904i,0.0011252+0.00075586i,0.00078445+0.00046969i,7.955e-05-6.0213e-05i,-0.00014512-0.00050171i,0.00020923-0.00035873i,0.00013169-0.00050199i,-0.00013451-0.0015509i,-4.044e-05-0.0020145i,-0.0005119-0.0010464i,-0.00082391-0.00027134i,-0.00038412-0.00046755i,0.00058034-0.00038735i,0.00066112+0.00020858i
-0.00054887+0.00080405i,-0.00061104+0.00056114i,0.00062222+0.0012485i,0.0026943+0.00062315i,0.0044722-0.00074063i,0.0034541-0.00062658i,0.0011114+0.00064341i,-0.00043425+0.0017275i,-0.0003599+0.0018421i,0.00046922+0.0010008i,0.0010693+0.00034125i,0.001013-0.00027546i,0.00046661-0.00057954i,-0.00021243-0.00028738i,-0.00039697+0.00030386i,0.00028594+0.00022233i,0.00093167-0.00028539i,0.00051911-0.00069931i,0.00028023-0.0007404i,0.00028221-0.00031506i,6.549e-06+2.5761e-05i,0.00016665+0.00016049i,0.00017534-0.00020469i
-0.0005939+0.00016053i,-0.00033601-0.0001344i,-0.00023349-0.00054323i,0.00017767-0.0011218i,0.00016684-0.0020191i,-0.00025081-0.0019743i,-0.00056633-0.00031101i,-0.00047678+0.0012739i,-0.0001356+0.0016142i,6.2392e-05+0.00041932i,2.5235e-06-0.00064527i,-8.469e-05-9.4876e-05i,-2.7304e-05+0.00022253i,-6.6587e-05-0.00043924i,0.00019434-0.00030553i,0.00026021-4.5288e-05i,0.00039678-0.00043441i,0.00030367-0.00085668i,0.00017146-0.0011904i,-0.0004029-0.0012669i,-0.00052497-0.00079758i,-1.466e-05-0.00051904i,-5.524e-05-0.00079393i
0.00040666+0.00030093i,0.00098058+5.6581e-05i,0.0013594+0.00090289i,0.0014439+0.00042682i,0.00067577-0.0017911i,-0.00027611-0.0029747i,-0.00050201-0.0015776i,0.00064694+0.00073269i,0.001621+0.0010657i,0.0013712-0.00043211i,0.0011062-0.00097292i,0.00081485-0.00016031i,0.00035033+0.00070137i,5.2589e-05+0.00085621i,-9.7207e-05+0.00031272i,-0.00022182+0.00015113i,-0.00060255-1.8228e-05i,-0.00030586-0.00053116i,0.00012213-0.00054265i,-9.3595e-05-0.00025935i,-0.00028127-0.00018123i,-0.00011639-0.00030781i,-0.00030775-0.00063901i
-5.117e-06+0.0016625i,-0.0006227+0.0007017i,0.00021705+0.00035402i,0.0020514-0.0016606i,0.0024983-0.0033681i,0.00080696-0.0038095i,-0.00063789-0.0019153i,-0.00054192+0.00093192i,0.0015216+0.0020883i,0.0024996+0.001197i,0.0014704-0.00024655i,0.00051552-0.0008989i,1.3578e-05-0.00077863i,-0.00017603+5.7061e-05i,0.00018195-0.00052312i,0.00029167-0.0014622i,-0.00050796-0.00092733i,-0.00067853-0.00056561i,-0.00049136+2.6601e-05i,-0.00024286+0.00031899i,-0.00034928-0.00014498i,-0.00060374-3.4373e-06i,-0.00019303+0.00017501i
7.7761e-05-0.00099772i,0.0001323-0.00059517i,0.00065329-0.00099272i,-0.00045919-0.0010365i,-0.002478-0.00075825i,-0.0026734+0.00012441i,-0.0012878+0.00083496i,0.00035424+0.0018046i,0.0018702+0.0024493i,0.0020347+0.0013174i,0.00139+0.00077275i,0.0006264+0.00089922i,0.00014777+0.00029708i,-0.00023009+2.9995e-05i,-0.00074506-0.00046837i,-0.00036468-0.000385i,-0.00022314-0.00061961i,-0.0002181-0.00016602i,-0.00011644+0.00011636i,-7.6486e-05-0.00042154i,0.00012224-0.00063796i,0.00011749-0.00083934i,-2.732e-06-0.0012184i
0.0003685-0.00088241i,0.000501-0.0003735i,7.9649e-05+0.00035022i,4.8539e-05-0.00083073i,0.00072909-0.0020974i,0.00069147-0.0016642i,0.00020235-0.00024318i,-0.00014+0.0011462i,-0.00015468+0.0011813i,-4.0164e-06+0.00069705i,-0.00036395-0.00021615i,-0.00063492-0.00085832i,-0.00035831-0.00025571i,1.089e-05-9.7809e-05i,-1.5948e-05-0.00029648i,-0.00048062-7.9776e-05i,-0.00078095-0.00014383i,-0.0006658-0.00016206i,-0.00048861-0.00044994i,-0.00045719-0.00013064i,-0.00050019-0.00035275i,-0.00043649-0.00093718i,-0.00024055-0.00063538i
