-0.00036056-0.00049478i,1.4344e-05-0.0015074i,0.00065466-0.00053488i,0.0013571+0.00081848i,0.00072883+0.0011602i,0.00023058+0.00065069i,-0.00049402+0.00066429i,-0.00066047+0.001255i,-0.00076571+0.0017767i,-0.00057966+0.0018988i,0.00074999+0.00091579i,0.00026373+0.00027644i,-0.00062808-0.00010098i,-0.00053208-0.00072462i,-0.00021346-7.8468e-05i,0.0002307+0.00074003i,0.00019525+0.0007675i,-0.00041915+0.00077537i,-0.0008481+0.000548i,-0.00084905-0.00011377i,0.00045681-0.00057858i,0.0013271-0.00035646i,0.00068967-0.00010699i
0.00025592+0.0008424i,0.0013276-8.7155e-05i,0.00203-0.0011237i,0.0027561-0.0015671i,0.0026416-0.00081761i,0.0015256-0.00036433i,0.00015168-0.00055525i,-0.00028085-0.00068445i,0.00028975+0.00035582i,0.00042222+0.0012296i,0.00017281+0.00094798i,-0.00029125+0.00023042i,-0.00061492+0.00010227i,-0.00014893+0.00080799i,-0.00018975+0.0012363i,-0.00054469+0.00097029i,-0.00018792+0.0011808i,-0.0002671+0.00106i,-0.00090395+0.00057645i,-0.00073714+5.4295e-05i,-0.0002201-0.00025658i,-0.00024028+0.00054957i,-0.00069531+0.0008385i
0.00067906-0.00097119i,0.0015725-0.00045407i,0.0027168-0.00063453i,0.0031306-0.00047439i,0.0017799+0.00048636i,0.00044425+0.00049354i,0.00027707-0.00028284i,-0.00031797-0.00045021i,-0.0014444+0.00010049i,-0.0013695+0.0008962i,-0.00074585+0.0005724i,-0.000821+0.00029741i,-0.00042702+0.00017321i,0.00025218-0.00020492i,0.0001074-0.00024316i,-3.2552e-05-0.00033524i,0.00072912+4.9689e-05i,0.0014185+0.00041403i,0.00097446-4.6316e-05i,-6.6544e-05-0.00045486i,-0.00014741-0.00028378i,-0.00011928+1.3658e-05i,0.00031175+0.00051739i
0.00030299-0.00076463i,0.0016618-0.001135i,0.0022719-0.001737i,0.0018874-0.0015391i,0.0013431-0.00083991i,-2.1176e-05-0.00018752i,-0.0011861+0.00028352i,-0.0017233+0.00025625i,-0.0020896+0.00094197i,-0.0013992+0.0017707i,-0.00066636+0.0013363i,-0.0006341+0.00043903i,-0.00098142+0.00087956i,-0.0009404+0.0010616i,-0.0004746+0.00034575i,0.00013214+0.00085466i,0.00017452+0.00086966i,1.8479e-05+0.00014424i,0.00029689-8.5672e-05i,0.00038983+0.00053798i,0.00024202+0.0012685i,-9.0262e-05+8.328e-05i,-0.00024006-0.0010737i
-8.5043e-05-0.00029156i,0.0007846+0.00025381i,0.0024138+0.00038035i,0.002617-7.2748e-05i,0.0017069-0.00040474i,0.0015556-0.0009556i,0.0010592-0.0013311i,-3.9579e-05-0.00078622i,-0.00067637+0.00037254i,2.2976e-05+0.00090176i,0.00063993+0.00052889i,7.698e-05+0.00087693i,-0.00051577+0.00074219i,-0.00042873+0.00031762i,-0.0003165+0.00059223i,-0.0012555+0.0003397i,-0.0010571-0.00056028i,3.8484e-05-0.00070549i,4.5745e-05+6.9838e-07i,-0.00041321+0.00011049i,-0.00049895+6.8998e-05i,-4.2221e-05+0.00024741i,0.00019851-0.00012221i
0.00042897+0.000842i,0.0010195-2.9097e-06i,0.0017908-0.00061944i,0.0014711-0.00079771i,0.00054626-0.00026924i,-0.0002772+0.00084305i,-0.00097665+0.00085336i,-0.0011683+0.00054553i,-0.0011814+0.00060178i,-0.00048406+0.0001008i,0.00047117-0.00036698i,-0.0002627+8.5303e-05i,-0.00056041+0.00051281i,0.00048051+0.00062942i,0.00024623+0.00088915i,-0.00035254+0.0014576i,-0.00017276+0.0006592i,-0.00035133-0.0002424i,-0.0006338-0.00046126i,-0.00043585-0.0010501i,-0.00011466-0.00095016i,0.00028116+2.9614e-05i,-0.00014698+0.0002771i
0.00042742-0.00036052i,0.00074434-0.00012752i,0.0015125-0.0009867i,0.00071153-0.0017643i,-0.00061389-0.0016433i,-0.00025434-0.0010867i,9.4227e-05-0.00042927i,-0.00096409-4.4033e-05i,-0.0014818+0.00052503i,-0.00094306+0.00084937i,-8.3976e-05+0.00078941i,0.0004997+0.00082996i,0.00027996+0.00056336i,4.1113e-06+0.00049177i,0.00033716+0.0004565i,0.00080385+0.00029093i,0.000461+0.00064085i,0.00033146+0.0013794i,0.0004305+0.0016159i,0.00028632+0.00037274i,0.00065704-0.00035651i,0.0005991-0.00026388i,0.00078394+0.00019091i
0.00080939-0.00037925i,0.0018973+3.1243e-05i,0.0019839+7.7017e-05i,0.0024413-0.00033333i,0.0029745+0.00045392i,0.0024009+0.0015098i,0.00080099+0.00040261i,-0.00047491-0.0006361i,-0.00079341-0.00024704i,-0.00068089+0.00051766i,-0.00015074+0.0010269i,-4.7835e-05+0.0004413i,-0.00036297-7.3543e-05i,0.00021369+0.00025194i,0.00047024+0.00076396i,-0.00031283+0.0010505i,-0.00023026+0.00082693i,0.00078258+0.00045338i,0.0011186+0.00056302i,0.00045079+0.00055849i,-5.8918e-05+0.00028437i,-0.00012506-0.00036771i,-0.00023852-0.00090346i
0.00070411-0.00037197i,0.0015804+0.00030833i,0.0014495+0.00059164i,0.0017794+0.00025029i,0.0017044+0.00045101i,0.0008652+0.00089564i,0.0002025+0.00052674i,-0.00023021-8.0012e-05i,-0.00067282+0.00034916i,-0.00080327+0.0010464i,-7.7145e-05+0.0010099i,-0.00029256+0.00047709i,-0.00017488+0.00067206i,0.00051582+0.00082892i,0.00048009+0.000264i,0.0001671-9.3904e-05i,-0.00017519+0.00033254i,-5.8416e-05-4.2719e-07i,0.00023569-0.00070716i,-8.7737e-06-0.00052643i,-0.0002916+0.00035667i,0.00011052+0.00045829i,0.00048682-0.00034083i
0.0013523-0.00053718i,0.0015404+0.000313i,0.00066034+2.2168e-06i,0.00093531-0.00061085i,0.0014182-0.0010026i,0.0013262-0.00093865i,0.00014383-0.0012555i,-0.0014903-0.0012842i,-0.0016805-0.00056107i,-0.0010482+0.00020336i,-0.00078842+0.00076395i,-0.0010069+0.00064016i,-0.00046952+0.00074661i,1.3774e-05+0.0012857i,-7.8669e-05+0.0014821i,0.00010774+0.0015375i,0.00039162+0.0011025i,0.00023624+0.00092409i,0.00020416+0.0011625i,0.00034036+0.00060873i,0.0007804+7.5283e-05i,0.00044965-0.00033152i,-6.8752e-05-0.00019853i
0.00099004-0.00064342i,0.0018181-0.00043238i,0.00272-5.5656e-05i,0.0028336+0.0013613i,0.0016161+0.0016523i,0.00079704+0.00044257i,0.00091953+8.694e-05i,0.00018177+0.00033903i,-0.00073449+0.0013403i,-0.00030694+0.0018139i,-0.00022875+0.0011092i,-0.00045741+0.00051767i,-0.00082931-1.3731e-06i,-0.00065251+0.00035382i,8.4033e-06+0.00050295i,-0.00021079+2.5342e-05i,-0.00013497-0.00036933i,0.00051918-8.9902e-05i,0.00019911-7.5729e-05i,-9.3295e-06-0.0011359i,0.000465-0.0015035i,0.00057461-0.00056949i,-0.00010847-0.00023475i
-0.0004582-0.0022601i,0.00097165-0.0014935i,0.0020658+0.00030325i,0.0014142+0.0010206i,0.0010445+0.0008101i,0.00091192+0.0011257i,0.00033867+0.00019112i,0.00011352-0.0003268i,-0.00078679+0.00027925i,-0.0011768+0.0003505i,-0.00032022+3.7635e-05i,-0.00022911-0.00050567i,-0.00035254-0.00075712i,-0.00013261+4.4217e-05i,6.2733e-05+0.00056814i,-0.00016498+0.00073894i,-0.00092399+0.00089574i,-0.00094196+0.00024716i,0.0007352-0.00045644i,0.0016295-0.00076984i,0.0010431-0.00082474i,0.00098584-0.00056693i,0.0001606-0.00050425i
0.0013782+0.0007307i,0.001032+0.00091167i,0.0024378+0.0014591i,0.0038564+0.00087414i,0.0028108+0.00047355i,0.0015947-0.00056888i,0.00018629-0.0020296i,-0.00089224-0.0014167i,-0.0008306-0.00026064i,-0.00023797-0.00050354i,3.4207e-05-0.00071237i,5.7116e-05+2.2686e-05i,-0.00019897+0.00081576i,-0.0004648+0.00071375i,-0.00010713+2.6946e-05i,0.00015223+0.00022893i,-8.471e-05+0.00018421i,0.00011224-0.00059427i,-0.00016612-0.00097309i,3.7003e-05-0.00061049i,0.00099035+0.00026621i,0.00062816+0.00012394i,-0.00016787-0.00043369i
0.0012157+0.0007749i,0.0017461+0.0011489i,0.0025591+0.001045i,0.0022658-0.00039101i,0.0017706-0.0013495i,0.0017471+0.00020335i,0.00069906+0.00065994i,5.9959e-05-0.00015488i,0.00026024-0.00052659i,0.00025169-0.00063225i,0.00032951-0.00028004i,0.00020231+0.00013778i,-0.00043132+0.00060467i,-0.0001984+0.00040114i,0.00025407-7.1745e-06i,0.0001141-0.00012415i,0.00047376-0.00021388i,0.00099228-0.00014783i,0.00053598+0.0006924i,0.00044766+0.00086324i,0.00055693-0.00039287i,0.00021687-0.00068039i,6.5005e-05-0.00020071i
0.00051032+0.00029148i,0.0013655-0.0001498i,0.0022987-0.00098845i,0.0022335-0.0012826i,0.001751-0.0006739i,0.00036023-6.4922e-05i,-0.0007079+0.00011486i,-0.00079828+9.4811e-05i,-0.0012319+0.00076043i,-0.0010198+0.0011014i,-0.00030631+0.00081887i,-1.2464e-06+0.0007215i,-0.00038379+0.00095959i,-0.00034075+0.0013075i,0.00038444+0.00087432i,0.00053935+0.00078655i,0.00065737+0.00074614i,-0.00010703+8.9363e-05i,-0.0010178-0.00061981i,-0.0010413-0.0010078i,-0.00082955-0.00084417i,-1.7667e-05-0.0003621i,9.4216e-05-0.00028467i
0.0013336+2.6076e-05i,0.0011204+0.00050483i,0.00074169-0.00020392i,0.00056888-0.00077946i,0.00084776-0.00045003i,0.00045862+1.6988e-05i,3.7098e-05-0.00041311i,0.00028798-0.00036797i,0.0006939+0.0005651i,0.00018181+0.0011501i,1.2572e-05+0.00045853i,0.00099274-0.0001172i,0.00094687+0.00030793i,0.00044048+0.0013533i,0.0004324+0.0013047i,0.00018693+0.00032796i,-1.6881e-05+0.00063524i,0.00025428+0.0011266i,0.00075044+0.00067418i,0.00079376+3.2808e-05i,0.00014589+0.00012815i,-0.00044875+0.00017707i,-0.00029202-0.00027716i
0.00083021-0.00073607i,0.0018055-0.00017044i,0.0023911-0.0004599i,0.0033445-0.00021562i,0.002147+0.00089827i,-6.3834e-05+0.0013625i,-0.00098973+0.00041111i,-0.0010619-0.00072203i,-0.0011025-0.00037079i,-0.0013053+0.00055241i,-0.00060972+0.00076584i,-9.8418e-05+0.00032361i,-0.00029077-0.00015237i,-0.0001881+0.00010575i,-0.00029883+0.00073457i,-0.00085485+0.00040138i,-0.00029099-0.00020283i,0.00048923-0.00048837i,0.00019695-7.4979e-05i,0.00012828-9.9865e-06i,0.00071826-0.00058598i,0.00089248-0.00087402i,-9.9318e-05-0.00039545i
0.0026578+0.00094914i,0.0025492+0.0010262i,0.0013245-0.00050615i,0.0011543-0.00025329i,0.0010295+0.00040497i,0.00036592+0.00023283i,-0.00052891-0.00054759i,-0.0010244-0.001378i,-0.00070803-0.00071842i,-0.00019356+0.0004663i,0.00015087+0.00089631i,0.00043403+0.0001129i,0.00060485+0.00024129i,0.0002059+0.00011706i,0.00017574-0.00050186i,0.00042793+0.00021171i,0.0010832+0.00031024i,0.0011657-1.3833e-05i,0.00045821-4.8091e-05i,0.00030934+4.5765e-05i,0.00090793+0.00071881i,0.00055459+0.00042425i,3.3779e-05-0.00047725i
-0.00028031+0.00093322i,0.00049258-0.00013672i,0.0021999-7.648e-05i,0.0027965-3.8425e-05i,0.002609+0.00010152i,0.0029525+0.00035121i,0.0017218-0.00065239i,0.00021161-0.00097576i,6.3106e-05-0.00020436i,0.00045146+0.000307i,0.0012728+0.00010002i,0.0010352+0.00043259i,-0.00046001+0.00079077i,-0.00065052+0.00087408i,-0.00075761+0.00078439i,-0.00086832+0.00032448i,-0.00078461+0.00044334i,-0.00083589+2.9665e-05i,0.00017008-0.00073486i,0.00035231-0.00049964i,-0.00010257+0.00045178i,0.00044964-6.8249e-05i,0.00047081-0.0001427i
-0.0018947+0.00033705i,-0.00076057-0.00017082i,-0.00012226+0.0006881i,0.00033078+0.00072349i,0.0011781+0.00088225i,0.0014357+0.00083878i,0.0011034-0.00043305i,0.00045166-0.00046932i,-0.00050296+0.0012576i,-2.6135e-05+0.0018637i,0.00071075+0.0016252i,0.00034338+0.0012086i,-0.00083987+0.00051143i,-0.0016463+0.00042801i,-0.00099923+0.00070158i,-0.00045525+0.00092484i,-0.00034575+0.00085487i,-0.00037484+0.00036156i,-0.00046081+1.5577e-05i,0.00011329+8.4447e-05i,0.00035977+0.00034295i,0.00035193+0.00025438i,-3.6372e-05-0.00032699i
0.0010361-0.0022617i,0.002468-0.0011236i,0.0017092-0.00024342i,0.0014107+0.00098462i,0.00094413+0.0017334i,0.00066593+0.00097993i,-5.4334e-05-0.00053876i,-0.0010621-0.00092361i,-0.0015571-0.00032311i,-0.001148+0.00042125i,-0.00014348+0.00054767i,0.00061625-8.1553e-05i,6.8124e-05-0.00037803i,2.9999e-05-0.00034521i,0.00026535-7.0011e-05i,3.717e-05+0.00038879i,-0.0002639+0.0012012i,-0.00051195+0.0010272i,-0.00012431+0.00016555i,0.00013452-0.00035566i,-0.00056821-0.0005803i,-0.00059566-0.00058733i,-7.0071e-05-0.00044818i
0.00098183-5.8276e-05i,0.0018732+0.00064419i,0.0025894+0.00035309i,0.0037068-0.000544i,0.0036605-9.0056e-05i,0.0020258+0.00036808i,0.00047764+8.0924e-05i,-0.00091707-0.00020341i,-0.00071019-0.00014978i,0.0003455+0.00033616i,0.00037697+0.00082419i,-3.9533e-05+0.0003985i,0.0002875+0.00051231i,0.00045824+0.0011411i,0.00055504+0.00064992i,0.0012784+0.00052503i,0.0011173+0.0012136i,0.00044042+0.0010259i,0.00052063+0.00058153i,0.00085442+0.00030967i,0.00059437-2.0199e-05i,-3.5336e-05-0.00040945i,-0.00049604-0.0010254i
-0.00072302+0.0013297i,0.0002394+0.00060649i,0.0017641+0.00081229i,0.002798+0.0011975i,0.0020737+0.0009686i,0.0013028+0.00018746i,0.00023747-0.00036889i,-0.00072283-0.0004675i,-0.00050748+0.00036666i,0.00057878+0.00098896i,0.0010299+0.00096742i,0.00048378+0.00046377i,-0.00057261+0.00053275i,-0.00030914+0.00081665i,0.00043353+0.0009186i,-0.00037188+0.00087525i,-0.0011883+0.00090421i,-0.00047535+0.0011263i,-4.4202e-05-0.00014652i,-9.2554e-06-0.00098889i,-8.9908e-05-0.00033931i,-0.00019153+5.4538e-05i,0.00021635+0.00020787i
-0.00056554+6.0523e-05i,0.00089498+0.00038453i,0.0032257+0.0010585i,0.0038828+0.0011942i,0.0031785+0.00026072i,0.0018631+0.00014306i,0.00052912+0.00062422i,-0.0007059+0.0004948i,-0.0010041+0.00073577i,0.0001573+0.0017622i,0.00053431+0.0013905i,0.0002177+0.00052276i,-0.00011656+0.00032573i,-0.0004345-0.00031134i,3.2603e-05-0.00055589i,0.00014289+0.00020728i,-0.00049517+0.00087794i,-0.00095853+0.0007546i,-0.00056155+0.00047108i,0.00023873+0.00036148i,-0.00010421+0.00045789i,-0.00045973+0.00011062i,0.00022705-0.00094622i
0.00050065+0.00070658i,0.00017057+6.8232e-05i,0.0019288-0.00031892i,0.0029592-3.1681e-05i,0.0015127-0.00027802i,-0.00034718-0.00024197i,-0.0012317+0.00014354i,-0.00085513+0.00022842i,-0.0012675+0.00052287i,-0.0014733+0.00088572i,-0.00081527+0.0010086i,-0.00067194+0.00068828i,-0.00078568-4.0308e-05i,-0.00045269+8.7101e-05i,0.00047+0.0007936i,0.00029946+0.00096963i,2.5366e-05+0.00061933i,0.00057815+1.6351e-05i,0.00064586+6.377e-05i,0.00017351-2.4741e-05i,0.00031537-0.00033253i,0.00065558+1.6559e-06i,0.00020736+2.7208e-05i
6.5299e-07+0.00025018i,0.00051146+0.00049717i,0.001948+0.00020465i,0.0021094-2.0153e-05i,0.0015136-0.00013512i,0.00027301+0.00052213i,-0.0011769+0.00039009i,-0.0013876-0.00026509i,-0.0012981-0.00036235i,-0.00049092+0.00016637i,0.00016528+3.0009e-05i,-0.0009534-0.00035975i,-0.001541+0.00024933i,-0.00023404+0.00113i,-6.1493e-05+0.001546i,-0.00064492+0.0014916i,-0.00022696+0.0013956i,-0.00034899+0.00077165i,-0.00070026+0.00021309i,-0.00062939-0.00061828i,-0.00041493-0.00056678i,3.2893e-05+0.00043i,-8.1927e-05-0.00010047i
0.00084105+0.0010322i,0.0010214+0.0009487i,0.002328+0.00076859i,0.002818+0.00013492i,0.0019301+6.3161e-06i,0.00075757+0.00027384i,-0.00034808+0.00014793i,-0.00085398+0.00011787i,-0.0011651+0.00041682i,-0.00060867+0.00058458i,0.00056786+0.00036239i,0.00087277+0.00048425i,-4.2944e-05+0.00041289i,-0.0003983+7.0246e-05i,2.3331e-05-2.6905e-05i,0.00031846+0.00017793i,0.00027408+4.0694e-05i,0.00020231-0.00028007i,-0.00040239-0.00030658i,-0.00093079+0.00015016i,-0.00041634+0.00078572i,-7.6391e-05+0.00043419i,8.276e-05+0.0002828i
-0.00035964+0.00080797i,0.00069987+0.00045978i,0.0018323+0.00050997i,0.002211-0.00023354i,0.0019066+0.00042205i,0.001183+0.00078295i,0.00023598-0.000428i,-0.00017894-0.00051216i,-0.00027103+0.00055665i,-0.00018167+0.0010438i,-0.00024164-0.00025509i,-0.00060426-0.00054604i,-0.0003728+0.00037611i,-4.8421e-05+0.0010657i,-0.0003927+0.0015195i,-0.00034928+0.0010828i,-0.00044898-8.0753e-05i,-0.00048168-2.5754e-05i,-0.00092398-8.5955e-05i,-0.00035133-0.00098505i,0.00019091-0.00096392i,3.388e-05+0.00042894i,-0.00010133+0.00079493i
0.0011771+0.00037972i,0.0023999+0.0011558i,0.0027289+0.0020006i,0.0029784+0.0014057i,0.0022957+0.00032404i,0.0015519-0.00068721i,0.00016215-0.00062338i,-0.0011812+3.298e-06i,-0.00084382-0.00033764i,-0.00033389+0.00021318i,0.00018034+0.00052335i,0.00067224-8.8181e-06i,0.00014762-6.2182e-05i,-0.00028265+0.00036166i,5.7456e-05+0.00047985i,-0.00012296+0.00049858i,-0.00029191+0.00058918i,0.00011956-3.0566e-05i,-0.0003405-0.0007555i,-0.00075007-0.0010431i,-0.00078024-0.00068249i,-0.00054926-0.00017521i,-7.5034e-05-0.00010325i
0.001456+0.0009804i,0.0016933+0.0004433i,0.002627-0.00013891i,0.0033684-0.0014831i,0.0031478-0.0015245i,0.0017222-0.0011231i,0.0011168-0.00097921i,-0.00030199-0.00047091i,-0.0013305+0.00046887i,-7.8436e-05+0.0011746i,0.00051039+0.0014187i,5.0368e-05+0.00089943i,-0.00039502+0.00081168i,-0.00013995+0.0011294i,0.0010692+0.001406i,0.0015983+0.0014765i,0.00096509+0.00056721i,0.00052033-0.00018077i,0.00051166-4.3499e-05i,0.00026182-0.00041301i,-7.9918e-05-0.00040679i,-0.0001955+0.00041816i,-0.0006539+0.00037005i
-0.00034831+0.00067625i,0.00052164-3.7018e-05i,0.0017154+5.9922e-05i,0.0023446+0.00021606i,0.002382-0.0002001i,0.0018865-0.00085427i,0.00030703-0.00084347i,-0.0010244-0.00048415i,-0.0012716-0.00058756i,-0.0011558-0.00050947i,-0.00061155+1.7991e-05i,-0.00039642-0.00024282i,-0.00038399+0.00010135i,-0.00014413+0.00050169i,-0.00014347+0.00019789i,-0.00024151+0.00056005i,-0.00012891+0.0016182i,-0.00053128+0.0015126i,-0.0010211+0.00021499i,-7.8057e-05-0.00010342i,0.001007-3.0508e-05i,0.00064658+0.00025343i,8.5655e-06+0.00041054i
0.0023426+0.000333i,0.0023079+0.00045286i,0.0020911-0.00042252i,0.0016244-0.00068214i,0.00041625-0.0013582i,-0.00060008-0.00068959i,-0.00016509+0.00016323i,-2.079e-05-0.00035634i,-0.00091516-0.00017222i,-0.00092933-0.00011436i,1.0911e-05+0.00014244i,0.00024137+0.0008269i,-0.00032261+0.00060371i,0.00013984+0.00060666i,0.00051208+0.0006066i,0.00014763+0.00043622i,-0.00029189+0.00051427i,-0.00048668-1.0753e-05i,-0.00019649-0.00056379i,0.00065729-5.9587e-05i,0.00043624+0.00037754i,-0.00075259+0.0002639i,-0.00054696-0.00040567i
