-0.0015385+0.0013872i,-0.0005688-0.00077669i,-0.00069614-0.00093707i,-0.0010987-0.00097229i,-0.0011455+0.0001961i,-0.00077988+0.0015861i,0.00012353+0.0018875i,0.0010212+0.0015925i,0.0012299+0.00078015i,0.001116-0.00013779i,0.0003614-0.0008085i,-0.00043679-0.00089729i,-8.5636e-06-0.00013867i,0.00085516+0.00026181i,0.00032456+0.00049813i,-0.00050117+0.0013409i,0.00030402+0.0017095i,0.00091795+0.00051954i,0.0005351-0.00074337i,-0.00024465-0.0012747i,-0.00031399-0.00078593i,0.00033398-0.000609i,0.00065589-0.00090666i
0.0015457-0.0014638i,0.00082388-0.0023551i,0.00042266-0.0013289i,0.00010682+0.00048347i,0.00054845+0.00058417i,0.00077767-0.00014876i,0.00072743+0.00022944i,0.00074804+0.0011655i,0.0009995+0.00010038i,0.0004222-0.00053624i,-0.00054625-0.00022406i,-0.00055492-0.00031615i,-0.00039422+0.00058039i,-0.00084767+0.00060269i,-0.00066082+0.00023699i,-0.00014173+0.00090766i,0.00033114+0.00045991i,0.00058222-0.00061856i,0.00083818-0.00092269i,0.00057314-0.00050739i,-0.00010866-0.00047465i,-0.00077155+0.00013599i,-0.0014968+0.0010136i
0.0013723-0.0004154i,0.00093296-0.0014576i,0.000576-0.0016395i,-0.0002358-0.0013331i,-0.00093604-0.0016094i,-0.0010045-0.001013i,-0.0010001+2.3698e-05i,-0.00034042-2.0634e-06i,5.1053e-05+6.2862e-05i,-0.00083281-0.00012974i,-0.00044981-0.00076954i,0.0005555-0.00038222i,0.00067086+0.00014235i,0.00022492+0.00026732i,-0.0002831+0.00060458i,-0.00029493-1.4823e-05i,-0.00025798-0.00034609i,-0.00032065-0.0001049i,0.00062142+5.1078e-05i,0.0015827+0.00040137i,0.0011441+0.00048977i,-0.00010499-5.2293e-05i,-0.0003543-0.00014884i
-0.00012123-0.00054487i,0.00045724-0.00064399i,-0.00053485-0.00027482i,-0.00056318+0.00011957i,4.4966e-05+0.00019671i,0.00042582-0.00020303i,-6.2388e-06-0.00065351i,-0.00057865-0.00040457i,-0.00056668-0.00029631i,-0.00023518-0.00017851i,0.00067528+4.9715e-05i,0.0014495-0.0004659i,0.0016794-0.00015633i,0.0012874+0.00013355i,0.00069891-0.00045931i,-0.00010687-0.00026714i,-0.00028322-7.4263e-05i,7.0045e-05-0.00024373i,-5.8308e-05-0.00022011i,-0.00030982+0.00065876i,-0.00033662+0.00055563i,0.00021409+7.5111e-05i,0.00049562-0.00015614i
-0.00047568-0.00043478i,-0.00031702+0.00022613i,0.0003648+0.00072428i,0.00046294-0.00019247i,0.00033667-0.00048598i,0.00014277+2.0125e-05i,0.00046575-0.00015606i,0.00048824-0.00030728i,-3.6922e-05-0.00030265i,0.00015798-0.00045014i,0.00071064-0.00069418i,0.00093014-0.00061672i,0.0012818-0.00070807i,0.0010121-0.00070495i,-9.4382e-05+5.6996e-06i,-4.6141e-05+0.00069394i,0.00018306+0.00022074i,-0.0005334-0.00033373i,-0.00032222-7.0149e-05i,-0.00013387-0.00022242i,-0.00049724-0.0010306i,-0.0002504-0.00091549i,-0.00011044-0.00028601i
0.00062976+0.00092936i,0.0010149+0.0013865i,0.0019852+0.00057687i,0.0014296-0.00060642i,0.00044843-0.0010074i,-0.00080503-0.00083342i,-0.0011003-0.00068353i,-0.0003793-2.6472e-05i,-1.3385e-05+0.00063854i,0.00032448+0.00042637i,-0.00042059-0.00010973i,-0.00064536-0.0002164i,-0.00045475+0.00024856i,-0.00088497+0.00066373i,-0.0012927+4.4111e-05i,-0.0011854+0.00028218i,-0.00048635+0.00086059i,0.00014076+0.00076101i,-0.00015302+0.0011725i,-0.0005004+0.00098698i,-0.0010163-6.4047e-05i,-0.001142-0.00059382i,-0.00048325-0.0005319i
-0.0012029+0.00033336i,-0.00081816+0.00030698i,-0.00064281-0.00019758i,0.00030406-0.00018578i,0.00013427-9.8794e-05i,0.00039139+0.00037535i,0.0012088+0.00057342i,-0.00017239-9.8951e-05i,-0.001141-0.00086758i,-0.00047194-0.00046274i,-0.00025175-0.00010669i,-0.00069195-0.00042862i,-0.00030911-7.3768e-05i,0.00039649-4.3651e-05i,0.00091428+0.00067569i,0.00080939+0.0014512i,4.2597e-05+0.00070522i,-0.00035252+0.00045534i,2.8003e-05+0.00024529i,0.00041649-4.6758e-05i,0.0005556+0.00026174i,0.00062848+0.00055068i,0.00029696+0.00055889i
0.0017423+0.0013995i,0.0019288+0.00059633i,0.0016521+6.727e-05i,0.0011933-0.0006993i,0.00044743-0.0015362i,0.00051565-0.0015076i,0.00064432-0.0003017i,-0.00014079-0.00023979i,-0.00051254-0.00071633i,-0.00013889-0.00035443i,-0.00022662-0.00058191i,-0.00026091-0.00047749i,-0.00021251-0.00079124i,-0.00019978-0.001007i,-0.00059264+0.00011614i,-0.00079633+0.00018199i,0.0001963-0.00028526i,0.0011298+4.7237e-05i,0.00060608+0.00049743i,0.00030362+0.00069488i,0.00030796+0.00037395i,0.00054522+0.00072809i,0.00027403+0.0014195i
0.00018214+0.00054525i,-0.00078272+0.00056327i,-0.00087739+0.00081325i,-0.00030434+0.00056909i,-0.00043759+0.00024701i,-0.00062398+0.00051717i,-0.00049447-8.118e-05i,-3.9846e-05-0.00010018i,8.3367e-05+0.0011428i,-5.877e-05+0.0010478i,0.00023124+0.0002504i,0.0010621+0.00029513i,0.0014106+0.00075275i,0.00079222+0.0005711i,0.00021539-0.00018807i,0.0003083-0.00029134i,0.0003556-0.00042628i,0.00045276-0.00059049i,0.0001217-0.00017286i,-0.0006632-0.00026025i,-0.0005297-0.00049643i,0.00012413-0.00095095i,0.0007104-0.0012909i
0.00014934+0.0016115i,0.00018489+0.0017396i,0.00067614+0.001136i,0.0011156+0.00073298i,0.0013504-0.0001252i,0.00041807+0.00014649i,-0.00044942+0.00062458i,-0.00010891+0.00040351i,0.00023373+0.00055643i,0.00055488+0.00042579i,0.00045499-0.00039921i,-8.5824e-05-0.0011773i,-0.00037679-0.0003072i,-0.00018011+0.00046072i,0.0006477-0.00024822i,0.00038306-0.00048711i,-0.000333-9.6705e-05i,-0.00041924+0.0002406i,-0.00088887+0.00045024i,-0.0014441+0.00038077i,-0.00070572+0.00030127i,0.00051095+0.00062922i,0.00088657+0.00045053i
-0.0022848+0.00096461i,-0.0019523+0.001783i,-0.0013554+0.0010345i,-0.00056143+4.1913e-05i,0.00037267-0.00025977i,0.00017814+0.00054212i,-0.0001824-9.5397e-05i,-0.00066317-0.0010787i,-0.00065782-0.00066775i,-0.00017689-0.00023495i,4.4113e-06-3.5817e-05i,0.00010632-1.057e-05i,0.00021474+0.00020485i,0.00018683+0.00028581i,0.00034761+0.00077013i,0.00038947+0.00050468i,0.00040587-0.00037901i,0.00024532-0.00082236i,0.0006081-0.0014592i,0.0012634-0.001455i,0.00042983-0.00037872i,-9.8617e-05-0.00043239i,0.00018146+0.00024045i
0.0027112-6.5812e-05i,0.0012557-0.00045601i,5.7818e-05-0.00019001i,-0.0001572+0.00026602i,-0.00039628+0.00031376i,-1.6191e-05-0.00020457i,-0.00017928+7.1508e-05i,-0.00093413+0.00057662i,-0.00087593+0.00051156i,-0.00057942-0.00017442i,-0.0005932-0.00034299i,-0.0004073+0.00029581i,0.00050478+0.00080482i,0.0012106+0.00077491i,0.0012433+0.00087752i,0.00071234+0.00069889i,0.00025817+4.9748e-05i,-9.3526e-05-0.00081504i,-0.000206-0.00042906i,-1.9315e-05+0.00085499i,0.0001442+0.00048518i,0.00013582-0.00043588i,-0.00014692+2.0033e-05i
-0.0007949+0.00018078i,-0.00088176+0.00022436i,-2.7733e-05-0.00020507i,-0.00043181-0.00051578i,-0.0011856+0.00023899i,-0.00048024+0.00035293i,0.00042732+0.00021344i,0.00069908-9.2973e-05i,0.0004529-0.00024453i,0.00011218+3.776e-05i,0.00045027+0.00055882i,0.00016354+0.0012381i,-0.00090933+0.0010359i,-0.00068658+0.00054365i,-3.365e-05+0.00016131i,2.1931e-05-0.00023914i,0.00021985-0.00058249i,-0.00020782-0.00017267i,-0.0010523+0.00032383i,-0.00094347+0.00032226i,-0.00034804+0.000388i,1.5283e-05+0.0001983i,8.1702e-05+0.00065494i
0.00082935-0.00035531i,0.00086505-0.0003629i,0.00011621-9.5744e-05i,-0.000508-0.0003385i,0.00059091-0.00097535i,0.00066826-0.0010051i,-0.0003312-0.0011099i,-0.00045702-0.00032968i,0.00011919+0.00013983i,-2.0035e-05-0.00045495i,-0.00040708-0.00060244i,0.00013833-7.4493e-05i,0.00057785+0.00012301i,-0.00028745+0.00079234i,-0.00071406+0.0007105i,-9.9321e-05+0.00032302i,0.00053871+0.00021932i,0.00092251+0.00019619i,0.00073765+0.00034578i,-2.5364e-05+0.00034747i,-0.00044715-0.0001391i,4.4907e-05-0.00026109i,0.00046084-4.0248e-05i
0.00065619-0.0017601i,-0.00063477-0.0022651i,-0.0019316-0.003121i,-0.0023856-0.0022245i,-0.0022963-0.00016804i,-0.0012598+0.00025846i,-0.00054549-0.00028188i,-0.00060257+0.00015149i,-0.00039398+2.0759e-05i,0.00020984-0.00051788i,0.00065407-0.00059999i,0.00064064-0.00083915i,0.00096383-0.0002426i,0.001404+0.00075925i,0.0010086+0.00080157i,-5.6249e-05+0.00053241i,-0.00039448+0.0002639i,0.00054249+0.0002998i,0.00091865+0.00046197i,0.00040286+0.00022097i,-0.00046065-0.00095977i,-0.00035457-0.0012984i,-0.00021314-0.00046739i
-0.00062886+0.0010417i,-0.00088836+0.0022821i,-0.00035581+0.0025429i,0.00026927+0.0011787i,0.00010308-0.00021444i,-5.3345e-05-0.00065548i,-7.8364e-05-0.00038405i,9.0871e-06-0.0007467i,-0.00027075-0.0003549i,-0.00048834+0.0011123i,0.00014749+0.0010197i,0.00031874+0.00016266i,0.00034534+0.00022794i,0.00062805+0.00051358i,0.00079493+0.0004725i,0.00047641-0.00094129i,-0.00029674-0.0017172i,-0.00043992-0.00064491i,-0.00051128-6.6092e-05i,-0.0011758+0.00013887i,-0.00146+0.00047501i,-0.00059706+0.00020139i,6.7198e-05+4.217e-05i
0.00072163-7.3588e-05i,-0.00091409-0.00031954i,-0.001-0.00025336i,-0.00015367-0.00030541i,0.00032461+7.3141e-05i,0.00023851+0.0004495i,0.000674+0.00063432i,0.00061986+0.0002116i,0.00033548-0.00015737i,-0.00013604+0.0002877i,-0.00043158+0.00018256i,0.00035334-0.00025593i,0.00073924-0.00076651i,0.00031548-0.00045804i,0.00027265-5.6396e-05i,0.00049458-1.2567e-05i,0.00054756+0.00048148i,0.00013028+0.00029836i,-0.00069081-0.00011641i,-0.00068743+7.6219e-05i,0.0002173+9.7763e-05i,0.00047753-7.1746e-05i,0.00076256+0.00021714i
0.00014435+0.00046646i,0.0010293-4.3883e-05i,0.0017908-0.00031491i,0.00048952-0.00081088i,-0.00082992-0.0010548i,-0.00039847-0.00076781i,-0.00010292-5.6564e-05i,-0.00084452-0.00020983i,-0.00019577-0.0012137i,0.00058219-0.0008974i,-0.0003148-0.00048719i,-0.00087656-0.00052678i,-0.0010423-0.0006604i,-0.0011042-0.00012727i,-0.0002587+0.00057812i,0.00024171+0.00024484i,0.00035492-0.00016503i,0.00019356+0.00018895i,-0.00069114+0.00099982i,-0.00050241+0.00089101i,-0.00035324+0.00010108i,-0.00073927-0.00039211i,-0.001167+6.9943e-05i
0.0001522-0.0001248i,-0.00034976-0.000474i,-0.0010474-0.00059058i,-0.0010274+6.9347e-05i,-0.00078317+0.00022741i,-0.00086178+0.00033964i,-0.00078822+0.00055093i,-0.00065857+0.00029858i,-0.00018226-7.5591e-06i,-0.00038297-0.00033154i,-0.0012681+0.0002504i,-0.00032037+0.00028906i,-0.00015497+0.00064666i,-0.00052713+0.0011596i,0.00062059+0.00091436i,0.00094947+0.00054668i,0.00037869+1.733e-05i,-0.00040316-0.00037429i,-0.00085482-0.0010184i,-0.00062406-0.00043864i,-0.00060159+3.5705e-05i,-0.00018307-0.00044238i,0.00025789-0.00014518i
-0.00051384-0.00042541i,-8.8458e-05+0.00025282i,2.7966e-05+0.00034918i,-0.00021808-0.0004064i,0.00017481-0.00062181i,0.00076797+0.00042419i,0.00058913+0.0010116i,-4.4401e-05+0.0012944i,-0.00034535+0.0014129i,5.6019e-05+0.00035914i,0.00047014-0.00048257i,3.2287e-05-0.00091682i,-0.00068973-0.00088108i,-0.00064002+9.5083e-05i,-0.00059253+0.00033832i,-0.00082594+0.00015485i,-0.00034266+0.00051973i,-0.00013412+0.00016141i,0.0003877-0.00058744i,0.00068311-0.00037142i,0.00036907+8.1436e-05i,0.00039376-2.9397e-05i,0.00051807+0.00043683i
-0.00066553+0.00053666i,-0.0012274+0.00070431i,-0.00061084+0.00048568i,0.000181+0.00044504i,-2.3487e-05-0.00052269i,0.00028723-0.00040015i,0.0011459+6.2871e-05i,0.0011925-0.00031319i,6.8722e-05-0.00026154i,-0.00030181+5.1873e-05i,0.00012468+0.00021078i,2.7358e-05+0.00017706i,-0.00023245+2.8765e-05i,0.00037599+0.00017806i,0.0010979+0.00069408i,0.0011422+0.00038574i,0.0011033+0.00058151i,0.00049324+0.00072232i,0.00021208-0.00045977i,0.00058881-0.00085119i,0.0008453-0.00029923i,0.0013957+0.0002511i,0.00099144+0.00016645i
0.0013305-0.00046468i,0.00086776+0.00062781i,-0.00028182+0.00011005i,-0.0011251-0.00089817i,-0.0010301-0.0010253i,-0.00038981-0.00073707i,-0.0002132-0.00067842i,-0.00077991-0.0010507i,-0.00023665-0.0011807i,0.00020219-0.00040862i,-0.00079625-0.00018175i,-0.00098841-0.00029336i,-0.00086223+0.000448i,-0.00051054+0.00083223i,-0.00028239+0.0010079i,-0.00048132+0.0016079i,-0.00074079+0.0010235i,-0.00096705-0.00021241i,-0.00096766+0.00018942i,-0.00067655+0.00081514i,-0.00014773+0.00027602i,-0.00022865-0.00016594i,-0.0001951-0.00040285i
0.00071232+0.0016654i,0.0011382+0.0010258i,0.00065984+0.00014041i,0.00054062-0.00040537i,0.0012161-0.00064357i,0.00067845+1.1295e-05i,-0.00010264+0.00083254i,0.00043273+0.00081012i,0.0010008-1.5174e-05i,0.00087397-0.0012055i,0.00063261-0.0012866i,0.00020603-0.00049488i,-0.00039621+0.00051872i,-0.00055069+0.00067009i,-0.00030566+0.00013058i,-0.00036415+0.00080866i,-0.00082219+0.0017877i,-0.00059947+0.0015025i,0.00028964+0.00053368i,0.00047262+0.00021601i,-0.0001111+0.00012095i,3.1576e-05-0.00013908i,0.0010379-0.00020944i
0.0015229+0.0014094i,0.0010361-0.00011496i,0.0007455-0.00031768i,0.00086131-0.00032799i,0.00040681-0.0012906i,0.00014743-0.0019782i,-0.00014512-0.0011768i,-2.2705e-05-0.00029117i,0.00096501+0.00012963i,0.00159+0.00047543i,0.0012705+0.00026642i,0.00070259+0.00066937i,0.00016928+0.00034439i,-0.0004931-0.00071802i,-0.00063398-0.00056968i,0.00025348+7.3426e-05i,0.00073011+0.00061741i,0.00086559+0.00066837i,0.0006788+0.00057451i,0.00044933+9.84e-05i,0.00055516-0.00021765i,0.00041946-0.00036537i,-0.00011371-0.00047824i
-0.00067547-0.0010758i,-0.00036589-0.0011545i,0.00087849-0.00076053i,0.00087736-6.3017e-05i,-0.00040086-0.00020788i,-0.00094322-0.00014154i,-0.0010831-0.00053403i,-0.00095344-0.00092582i,-0.00025282-0.00039732i,0.00016361-0.00019416i,-4.0799e-05-0.00068232i,-0.00033053-0.00094028i,-0.00066411-0.00024083i,-0.00097589+0.00068239i,-0.00067312+0.00087532i,0.00021333+0.00068753i,0.00039523+0.00048582i,0.00035962+3.7735e-05i,0.00073817+9.2432e-05i,0.0002474+0.00054101i,-0.00036141+0.00022765i,-0.00013262-0.00051878i,0.00044167-0.00048615i
2.0685e-05-0.00016269i,-0.00073995-0.00015075i,-0.0017468-0.00044272i,-0.00086079-0.00083114i,2.433e-05-0.00055998i,-0.00039033+0.00027861i,-0.00098335+0.0007939i,-0.00095222+0.00031208i,-3.3548e-05-0.00033668i,6.1405e-05-0.00031326i,-0.0001516-8.9285e-05i,0.00070708+0.00035535i,0.00073197+0.00097686i,-0.00040017+0.00064185i,-0.00061943+0.00039762i,-5.4234e-05+0.00039319i,-0.00015564-0.00041607i,-0.00068963-0.00041285i,-0.00081155+2.323e-05i,-0.0012858-0.00010416i,-0.0013785-0.00020162i,-0.00081943-0.000596i,-0.00019224-1.0906e-05i
-0.0023195-0.00019074i,-0.0017381+0.00058914i,-0.00098435+0.0012538i,-0.00055939+0.0013347i,0.00050832+0.00046304i,0.00080663-0.0001853i,0.00011159-0.00010811i,-3.5594e-05+0.00047356i,0.00038549-2.9448e-05i,0.0009548-0.00038716i,0.00057621+0.00029945i,0.00014085+0.00042069i,0.00020337+0.00011855i,0.00022191+0.00030518i,0.00059739-0.00032795i,0.00052062-0.00070094i,-0.0001386+0.00039062i,-0.0001748+0.00057682i,-0.00014587-0.00015615i,-0.0006116+0.00035455i,-0.00025671+0.0001748i,0.00055929-0.00030002i,0.00054759+0.00058845i
0.0027841+0.0011074i,0.002972+0.00096965i,0.0035185+0.00046238i,0.0030136-7.2897e-06i,0.0015359-0.00056051i,-7.7464e-05+6.4628e-05i,-0.0009921+0.0003462i,3.7017e-05-0.00034098i,0.00049951-0.00048i,0.00034428-9.3939e-05i,-0.00024098+6.1017e-05i,-0.00071314+0.00037582i,-0.00049336+0.001064i,-0.00079222+0.00071059i,-0.0017576+0.0001429i,-0.0019965+0.00017138i,-0.0013428+0.00010579i,-0.00080427+0.00020117i,-0.00043478+0.00057498i,-0.00036824+0.00028997i,-0.00053193-0.00019314i,-0.00088164-0.00010389i,-0.00078739-0.00025128i
0.00042679-0.0014798i,1.6088e-05-0.0013596i,-0.00047989-0.0008564i,-0.00019447-0.001054i,0.0004006-0.00057719i,0.00045135-0.00013732i,0.00015249-0.00039327i,0.00044894-0.00028743i,0.00023825+7.1944e-05i,-1.5739e-05+0.00070687i,0.00019378+0.00056454i,6.5185e-05+0.00020454i,-0.00040327-0.00035664i,-0.00044383-0.00042802i,6.2002e-05+0.0001663i,0.00086671-0.00013138i,0.00080428-0.000434i,0.00048624-0.00029638i,-0.00027986+7.599e-05i,-0.00082282+0.00026165i,-0.00017877+0.00054236i,0.00061336+0.00090223i,0.0004996+0.00060932i
0.0015639-0.00054874i,0.0011606-0.00062234i,0.00051235-0.0005165i,-7.0601e-05-0.00037385i,-0.00053318-0.00033799i,-0.0011464-0.00012458i,-0.00076932+0.00081649i,-9.8682e-05+0.0010387i,-0.00048396+0.00028284i,-0.00091993+0.00034214i,-0.0010625-5.8009e-05i,-0.00050522-0.00084754i,-0.00020785-0.00030039i,-0.00070068+0.00039418i,-1.5356e-05+0.00028886i,0.0004308+7.7086e-05i,0.00027669+0.00010721i,0.0003404+0.00063587i,0.00036559+0.00074061i,0.00024164+0.00020615i,0.00012146-0.00060728i,0.00022415-0.0008791i,-0.0002409-0.00071036i
-0.00067031+0.00028741i,0.00097088+0.00066142i,0.0017232+0.0012512i,0.0014042+3.855e-06i,0.00015331-0.0006508i,-0.00051544+0.00032149i,-0.00020816+0.00049796i,-0.00062576-0.00031674i,-0.00014584-0.00072141i,0.00066579-0.00028429i,0.00043128+6.1336e-05i,0.00018209+0.00030152i,0.00039067+0.00021734i,0.00048225+0.00016748i,0.00032845-0.00033531i,-0.00032224-0.00061385i,-0.00023107-0.00036392i,-0.00014834+8.9053e-05i,-0.0003436+0.00038905i,-0.00044156+0.00062453i,-0.00040846+0.00058551i,-0.00031609+0.00020674i,-0.00049257+0.00012663i
-0.0014118-0.00019439i,-0.001343+0.00064923i,-0.00071029+3.6545e-05i,-6.9204e-05+0.0012585i,-0.00082747+0.0022741i,-0.001189+0.0011865i,-0.00055251+0.0001867i,-0.00026074+0.00054465i,-0.00063247+0.00097307i,-0.00063463+0.00025011i,-7.7956e-05-0.00051958i,0.00054588-0.00031582i,0.00076555+6.3018e-05i,-5.9714e-05+0.00055015i,-0.0012868+0.00067193i,-0.0010187+0.00034164i,-0.00029068-6.7847e-05i,0.00025876-0.00051224i,0.00060401+9.505e-05i,0.00015758+0.00044004i,-7.1376e-05-0.00013342i,-0.00059231-0.00037909i,-0.00055665+0.0007304i
