-0.0010191+0.00050353i,0.00019468+0.00063599i,0.00054125+0.00040729i,0.00060172+0.00019061i,-0.00010492+0.00020275i,-0.0010233+0.00034151i,-0.00089828+0.00052603i,-0.00051344+0.0010668i,-0.00011851+0.0011373i,-0.00018431+0.0010061i,2.6009e-05+0.00079562i,0.00046634+0.00012836i,-0.00013702-0.00091954i,-0.00047586-0.00093345i,0.00027939-0.00081342i,0.0011194+2.335e-05i,-1.5704e-05+0.00089159i,-0.0013812+5.1059e-06i,-0.00061723-0.00074906i,9.8441e-05-0.0011622i,5.3241e-08-0.00090155i,0.00037799-0.00071631i,0.00049505-0.00038715i
-0.011554+0.014752i,-0.040076+0.025332i,-0.079545+0.023919i,-0.067707+0.013917i,0.054243-0.027349i,0.21283-0.10756i,0.27306-0.17992i,0.22004-0.19909i,0.11585-0.15441i,0.033881-0.081091i,0.0062814-0.038218i,-0.0082195-0.027608i,-0.024463-0.011526i,-0.023207+0.0031813i,-0.017061-0.00019618i,-0.021322-0.0099743i,-0.024878-0.013696i,-0.020765-0.011483i,-0.01516-0.0059939i,-0.0075067+0.0016363i,0.0038826+0.0038698i,0.0062202-0.0018472i,-0.0036664-0.0054793i
0.014099-0.010979i,0.04173-0.0058887i,0.084114+0.045337i,0.11193+0.1307i,0.064923+0.19682i,-0.049552+0.25371i,-0.11589+0.33088i,-0.090693+0.34719i,-0.031048+0.239i,0.0015643+0.10878i,0.021812+0.057336i,0.044314+0.041922i,0.043026+0.016112i,0.028712-0.0037574i,0.025924-0.012319i,0.037474-0.017426i,0.058881-0.026765i,0.071996-0.035029i,0.058412-0.030783i,0.03245-0.019276i,0.015563-0.0098589i,0.0087403-0.007841i,0.0082669-0.013804i
-0.013933+0.010202i,-0.046988+0.0026104i,-0.10349-0.05375i,-0.16296-0.15184i,-0.16963-0.24139i,-0.12078-0.28717i,-0.081675-0.29271i,-0.058058-0.24774i,-0.037083-0.14101i,-0.022327-0.044952i,-0.020255-0.016146i,-0.021014-0.0096621i,-0.006788+0.0022429i,-0.0034473+0.005902i,-0.025592+0.0083036i,-0.048467+0.021045i,-0.06151+0.038542i,-0.060941+0.050294i,-0.040639+0.049585i,-0.016872+0.036445i,-0.0086082+0.021685i,-0.0084506+0.017005i,-0.004314+0.019724i
0.019058-0.012459i,0.058054-0.0033509i,0.13379+0.044642i,0.22011+0.12238i,0.24684+0.19389i,0.21563+0.2027i,0.20561+0.1509i,0.17957+0.089205i,0.09348+0.044237i,0.029072+0.021498i,0.010248-0.0011371i,-0.011267-0.018829i,-0.029844-0.01383i,-0.015845+0.0017214i,0.020902+0.0077334i,0.041733-0.0084311i,0.036635-0.0297i,0.022793-0.03227i,0.011658-0.023395i,0.0046365-0.022341i,-0.0056922-0.026553i,-0.017986-0.0174i,-0.022804+0.0034876i
-0.021065+0.0064524i,-0.064419-0.020729i,-0.1531-0.11233i,-0.27741-0.2365i,-0.34945-0.2792i,-0.30372-0.17177i,-0.23247-0.035746i,-0.17757+0.0081975i,-0.09185-0.0018579i,-0.024635-0.0074833i,-0.0089336+0.0089329i,0.0064635+0.026608i,0.023247+0.018678i,0.0070562+0.009781i,-0.023692+0.023673i,-0.02694+0.05014i,-0.0077379+0.069847i,0.006844+0.062475i,0.0069187+0.031028i,-0.0011643+0.0088135i,-0.001002+0.0038627i,0.0063187-0.006457i,0.0072326-0.021895i
0.019383-0.0074127i,0.057341+0.014468i,0.14126+0.094797i,0.27014+0.19959i,0.34933+0.21488i,0.28493+0.09293i,0.13699-0.034559i,0.026983-0.05151i,-0.011383-0.022924i,-0.022594-0.014515i,-0.029071-0.0025663i,-0.037429+0.012018i,-0.046648+0.018275i,-0.027564+0.016687i,0.0089833+0.0046196i,0.020329-0.012367i,0.015962-0.024659i,0.019153-0.025817i,0.021789-0.016056i,0.019662-0.0022846i,0.023024+0.0088937i,0.032189+0.012226i,0.037769+0.010637i
-0.021891+0.009534i,-0.072958-0.02022i,-0.19182-0.097819i,-0.35227-0.17187i,-0.38669-0.1542i,-0.20628-0.047831i,0.023768+0.029234i,0.11888+0.03082i,0.084929+0.017551i,0.04772+0.015564i,0.05923+0.0049841i,0.085364-0.01466i,0.088266-0.029463i,0.048709-0.03503i,-0.010163-0.033654i,-0.047746-0.026299i,-0.062581-0.014393i,-0.071936+0.0014362i,-0.071731+0.019197i,-0.054916+0.031693i,-0.03235+0.035182i,-0.015137+0.029726i,-0.0072819+0.018642i
0.019512-0.00091346i,0.055673+0.050233i,0.13403+0.18143i,0.25827+0.33258i,0.31632+0.34174i,0.18205+0.18967i,-0.023424+0.095337i,-0.073225+0.10089i,-0.0055674+0.061947i,0.0076865+0.0039325i,-0.025104+0.0033969i,-0.038363+0.023244i,-0.032913+0.034745i,-0.0060321+0.042213i,0.02853+0.03657i,0.039308+0.025909i,0.028527+0.018873i,0.015316+0.0094856i,0.014689-0.003027i,0.024127-0.017998i,0.017838-0.02978i,-0.0085921-0.02725i,-0.02696-0.01764i
-0.018244+0.00059171i,-0.050595-0.042053i,-0.11638-0.14069i,-0.21324-0.23352i,-0.24721-0.22789i,-0.14535-0.18222i,-0.018805-0.21979i,0.0018429-0.2413i,-0.011926-0.14009i,0.019098-0.045961i,0.032126-0.034629i,0.013692-0.037209i,-0.0010404-0.034645i,-0.017113-0.037987i,-0.030991-0.040315i,-0.030432-0.044577i,-0.014113-0.048342i,0.010705-0.041659i,0.023625-0.025763i,0.018705-0.011477i,0.016699-0.01005i,0.025711-0.01864i,0.032347-0.022958i
0.018949+0.0082284i,0.050759+0.069689i,0.11972+0.20651i,0.21939+0.32288i,0.25426+0.27786i,0.19549+0.16212i,0.14313+0.1554i,0.12483+0.14059i,0.05916+0.036686i,-0.020807-0.0067711i,-0.018656+0.013151i,0.0057389-0.0029741i,-0.009748-0.021284i,-0.020663+0.0028629i,-0.0066085+0.044853i,0.021906+0.079543i,0.054864+0.10043i,0.07426+0.097199i,0.068377+0.066238i,0.046807+0.035903i,0.026061+0.027339i,0.0054085+0.033166i,-0.011449+0.044359i
-0.014345-0.012289i,-0.012533-0.09316i,0.011382-0.27541i,0.025291-0.46682i,-0.0071309-0.44702i,-0.089205-0.22083i,-0.18111-0.03536i,-0.20709+0.060312i,-0.13927+0.10586i,-0.059174+0.075873i,-0.041276+0.038088i,-0.039133+0.055888i,-0.0093261+0.071848i,0.0099381+0.036701i,-0.0039088-0.020698i,-0.043507-0.057777i,-0.088121-0.06522i,-0.11034-0.051248i,-0.10109-0.028945i,-0.07722-0.018428i,-0.058065-0.018615i,-0.037354-0.015681i,-0.015129-0.014746i
0.01019+0.012586i,-0.013265+0.078207i,-0.097459+0.22043i,-0.21022+0.37193i,-0.24301+0.3589i,-0.14638+0.1515i,-0.021959-0.038195i,0.034948-0.085575i,0.043588-0.040957i,0.054703-0.0017083i,0.061354-0.015737i,0.047533-0.043383i,0.025577-0.04317i,0.0057107-0.0093659i,-0.0049674+0.038398i,0.003732+0.06829i,0.020148+0.062568i,0.021438+0.034939i,0.012859+0.010945i,0.016858+0.0012561i,0.027629-0.0037792i,0.02338-0.012433i,0.011745-0.016856i
-0.0078646-0.022331i,0.016998-0.1128i,0.088318-0.31573i,0.18206-0.53964i,0.25142-0.54343i,0.25787-0.24476i,0.26364+0.03446i,0.26638+0.062701i,0.19114-0.017187i,0.06851-0.032194i,-0.0086363+0.027114i,-0.0094547+0.077444i,0.016282+0.066403i,0.030514+0.01759i,0.036911-0.025735i,0.038552-0.042493i,0.03775-0.034923i,0.03494-0.020746i,0.018816-0.012273i,-0.004801-0.0063654i,-0.011852+0.0026963i,0.0039328+0.0080147i,0.023266+0.0078505i
-0.0012785+0.023008i,-0.084527+0.10805i,-0.30423+0.32693i,-0.5779+0.63407i,-0.67125+0.74317i,-0.50491+0.46566i,-0.36553+0.10214i,-0.33243-0.014232i,-0.22326+0.0090196i,-0.084125-0.0087578i,-0.015078-0.047231i,0.0027538-0.084323i,-0.013721-0.10026i,-0.044401-0.060919i,-0.068769-0.0059692i,-0.086886+0.022113i,-0.090091+0.031246i,-0.06849+0.03577i,-0.029345+0.038463i,-0.0010297+0.037078i,0.0050105+0.034035i,-0.0036047+0.031678i,-0.022915+0.030962i
-0.002351-0.015673i,0.081443-0.055843i,0.30374-0.1734i,0.59307-0.36269i,0.71985-0.48884i,0.56807-0.45749i,0.33721-0.33531i,0.17429-0.23856i,0.043138-0.16239i,-0.015667-0.069567i,-0.0060352-0.010418i,-0.0067579+0.030831i,-0.0017754+0.081563i,0.032182+0.080432i,0.075033+0.022902i,0.1063-0.034868i,0.1075-0.065321i,0.081648-0.065883i,0.049904-0.046346i,0.02889-0.029994i,0.010515-0.031361i,-0.0053824-0.035897i,-0.0033376-0.037483i
0.00086408+0.020779i,-0.077982+0.072625i,-0.26593+0.25082i,-0.44466+0.56681i,-0.43127+0.78056i,-0.26022+0.696i,-0.14108+0.50419i,-0.080842+0.42686i,0.011291+0.35364i,0.04366+0.19955i,0.0090611+0.090782i,-0.011232+0.041031i,-0.039615+0.0014683i,-0.070825+0.0075448i,-0.079682+0.058686i,-0.082463+0.10989i,-0.076567+0.13648i,-0.051081+0.13171i,-0.018739+0.09765i,0.0069612+0.058182i,0.028591+0.035873i,0.044772+0.025336i,0.049821+0.017625i
0.0095395-0.013732i,0.11558-0.036357i,0.38566-0.15695i,0.67603-0.46311i,0.65284-0.77959i,0.28997-0.7526i,0.023952-0.44729i,0.028323-0.26268i,0.058257-0.22478i,0.038163-0.15957i,0.032265-0.093108i,0.041269-0.059023i,0.07521-0.05233i,0.087831-0.075i,0.039662-0.091739i,-0.0091326-0.080447i,-0.015267-0.056506i,-0.0042946-0.045653i,-0.0062753-0.043071i,-0.014733-0.029913i,-0.015177-0.01145i,-0.01662+0.0048525i,-0.022472+0.019594i
0.0038323-0.0035888i,-0.075296-0.040591i,-0.2695-0.07478i,-0.46696+0.0047963i,-0.39716+0.19858i,-0.034629+0.286i,0.26522+0.13877i,0.28109-0.0068269i,0.14208-0.022508i,0.021713+0.016444i,-0.0063074+0.065344i,0.023603+0.076091i,0.023514+0.065699i,0.010526+0.06334i,0.030341+0.024433i,0.035996-0.040038i,0.0046996-0.066918i,-0.023956-0.047898i,-0.029095-0.019284i,-0.015969-0.009803i,-0.0053812-0.020685i,-0.014753-0.036937i,-0.030165-0.044118i
-0.0094054+0.0023379i,0.014564+0.026955i,0.043635+0.011019i,-0.047792-0.10995i,-0.29814-0.23165i,-0.48837-0.17543i,-0.47003+0.024823i,-0.35699+0.10735i,-0.24007+0.064329i,-0.1041+0.025124i,-0.030002-0.013924i,-0.057954-0.018699i,-0.094108+0.0042898i,-0.091888+0.01744i,-0.051614+0.05355i,0.017208+0.082799i,0.066308+0.053838i,0.076024+0.0017674i,0.056764-0.029268i,0.022644-0.032844i,0.0043392-0.023836i,0.016277-0.011656i,0.036869+0.0055566i
-0.0034241+0.0031111i,-0.034424-0.032512i,-0.14545-0.046846i,-0.21477+0.079223i,-0.066019+0.25067i,0.14445+0.19759i,0.14174-0.040904i,0.021876-0.11964i,0.014679-0.030004i,0.041842-0.004977i,0.023542-0.01895i,0.034051-0.032343i,0.043938-0.071859i,0.0049902-0.080057i,-0.058275-0.037262i,-0.098963+0.038895i,-0.080903+0.12104i,-0.042815+0.16291i,-0.01127+0.14813i,0.017448+0.096188i,0.021996+0.049124i,0.0052906+0.034081i,-0.013666+0.029513i
-0.017757+1.8957e-05i,-0.035923+0.053971i,-0.037796+0.18588i,-0.026246+0.29346i,-0.044028+0.24149i,-0.043033+0.11201i,0.0057966+0.066619i,0.042904+0.10182i,0.018598+0.11656i,-0.016986+0.10172i,-0.0073042+0.084516i,0.024051+0.077868i,0.07883+0.09363i,0.1376+0.078116i,0.1316+0.00085923i,0.053021-0.075569i,-0.03875-0.098951i,-0.087389-0.082944i,-0.093526-0.050314i,-0.079164-0.0089902i,-0.054639+0.024614i,-0.031408+0.034257i,-0.0062348+0.01972i
0.012007+0.013236i,0.069434+0.014314i,0.22467+0.0046128i,0.48707+0.026086i,0.68344+0.082199i,0.56634+0.088859i,0.28442+0.08557i,0.15859+0.050722i,0.14521-0.069221i,0.07181-0.13476i,-0.0081758-0.098474i,-0.049985-0.066712i,-0.10641-0.037539i,-0.13824+0.018083i,-0.098566+0.05553i,-0.026373+0.040608i,0.017412-0.011383i,0.026396-0.05282i,0.026143-0.04954i,0.027437-0.021509i,0.038249-0.0095382i,0.048219-0.026651i,0.038632-0.038649i
-0.0070716-0.023026i,-0.039845-0.063687i,-0.11434-0.14381i,-0.21628-0.2879i,-0.26901-0.40996i,-0.22517-0.37108i,-0.15357-0.26599i,-0.13787-0.16653i,-0.12943-0.024698i,-0.052561+0.069038i,0.014838+0.05978i,0.0071132+0.036582i,-0.018004+0.030098i,-0.017345+0.024624i,0.016115+0.035934i,0.069549+0.050007i,0.11504+0.041583i,0.12396+0.024439i,0.08881+0.001718i,0.041101-0.023919i,0.0072579-0.03167i,-0.0075658-0.014482i,-0.011299+0.01504i
-0.0010443+0.018881i,0.016462+0.053588i,0.051119+0.084012i,0.060492+0.082653i,0.0082153+0.036222i,0.0021527+0.013947i,0.10879+0.032897i,0.20758-0.019028i,0.18584-0.10011i,0.11952-0.091209i,0.09216-0.057701i,0.084467-0.06471i,0.074364-0.10562i,0.013853-0.13741i,-0.10422-0.089803i,-0.19109+0.029942i,-0.19943+0.14976i,-0.13885+0.20377i,-0.044625+0.16337i,0.012922+0.078229i,0.020499+0.02285i,0.017126+0.0040237i,0.014499-0.0077169i
0.017439-0.026517i,0.0086579-0.064696i,-0.10043-0.11196i,-0.29556-0.077401i,-0.36192+0.065521i,-0.20696+0.16554i,-0.066515+0.12992i,-0.083213+0.087733i,-0.10748+0.066211i,-0.10646+0.013123i,-0.10149+0.026441i,-0.030475+0.10087i,0.054345+0.15388i,0.11857+0.14994i,0.16653+0.027725i,0.13276-0.14045i,0.049423-0.21261i,-0.0019345-0.18648i,-0.017109-0.11181i,-0.0035198-0.0441i,0.0025247-0.020301i,-0.016445-0.0137i,-0.024612-0.0093775i
-0.026921+0.026672i,-0.086678+0.099647i,-0.18166+0.27667i,-0.20094+0.49876i,-0.12204+0.48714i,-0.11578+0.19689i,-0.22234+0.017464i,-0.21697+0.121i,-0.070724+0.21991i,0.016825+0.16815i,0.01786+0.10533i,-0.0037648+0.058094i,-0.048267-0.0062941i,-0.077082-0.013932i,-0.026579+0.05313i,0.062177+0.092592i,0.10071+0.066339i,0.069898+0.034331i,0.012754+0.028799i,-0.012935+0.036801i,0.0072177+0.037627i,0.039968+0.032493i,0.069235+0.026018i
0.02941-0.023589i,0.093072-0.029634i,0.22075-0.060247i,0.32462-0.10918i,0.3028-0.094851i,0.24167-0.015162i,0.20493+0.010627i,0.11841-0.027452i,0.030707-0.038703i,0.026106-0.01686i,0.040379-0.0091186i,0.02796-0.0095893i,0.028425-0.011984i,0.012476-0.0155i,-0.064666+0.017187i,-0.12453+0.098389i,-0.093912+0.15561i,-0.024324+0.11664i,0.0074148+0.027112i,0.0043994-0.014418i,0.0093306-0.0059851i,0.0028768+0.0017794i,-0.034033+0.015674i
-0.077262-0.014344i,-0.18448-0.064589i,-0.2817-0.16654i,-0.22121-0.26275i,0.04039-0.28871i,0.24281-0.24382i,0.25179-0.12234i,0.25856-0.025517i,0.23858-0.057672i,0.085145-0.066385i,-0.00082059+0.0198i,0.031567+0.068244i,0.055638+0.073478i,0.067158+0.051449i,0.057515-0.033862i,0.0015598-0.11002i,-0.065299-0.11333i,-0.096263-0.053428i,-0.070879+0.022465i,-0.023142+0.039189i,-0.013312-0.00089513i,-0.035899-0.022593i,-0.033966-0.0056436i
-0.021647-0.0025907i,-0.051283+0.049152i,-0.15477+0.2054i,-0.38425+0.35851i,-0.64728+0.42684i,-0.64334+0.43039i,-0.38924+0.29458i,-0.24324+0.094617i,-0.21527+0.023475i,-0.12626-0.022938i,-0.077538-0.082899i,-0.079552-0.059316i,-0.060647-0.013279i,-0.036785+0.034892i,0.033181+0.085964i,0.12774+0.080958i,0.18376+0.042429i,0.1721+0.015012i,0.085981+0.010429i,0.015937+0.023028i,0.025467+0.0090371i,0.046386-0.035535i,0.026283-0.051608i
0.025965-0.057037i,0.035625-0.26922i,-0.027044-0.68677i,-0.15555-0.96828i,-0.10272-0.83476i,0.13452-0.56255i,0.20884-0.45789i,0.04552-0.45085i,-0.10438-0.37673i,-0.082975-0.20347i,-0.015851-0.070092i,-0.036857-0.020732i,-0.10861+0.022404i,-0.20431+0.075232i,-0.32806+0.16974i,-0.39426+0.30763i,-0.34791+0.40245i,-0.20942+0.37825i,-0.042585+0.23552i,0.060511+0.085434i,0.095035+0.032754i,0.096557+0.03601i,0.075416+0.020535i
0.10651+0.091283i,0.19507+0.26954i,0.16567+0.51841i,0.13803+0.80327i,0.24905+0.77398i,0.32378+0.40465i,0.24201+0.14269i,0.23564+0.13596i,0.32148+0.14537i,0.25111+0.12372i,0.15512+0.11734i,0.13865+0.036273i,0.093212-0.05701i,0.06653-0.10637i,0.052723-0.25583i,-0.076115-0.44287i,-0.26623-0.44522i,-0.36685-0.2491i,-0.32369-0.0145i,-0.19009+0.11018i,-0.070675+0.13033i,0.0044673+0.11597i,0.063194+0.083071i
-2.2089+6.9644i,0.63438+7.2819i,4.2694+7.1723i,6.112+4.0566i,6.0413+0.30906i,3.9766-2.4959i,0.95934-2.4933i,-0.62859-0.5029i,-0.17621+1.1435i,0.90269+1.1802i,0.98555+0.23291i,0.29388-0.42299i,-0.50542-0.57709i,-1.1889-0.19282i,-1.1725+0.49237i,-0.58471+0.84614i,-0.038449+0.73086i,0.19824+0.27972i,0.062158-0.20947i,-0.2099-0.36234i,-0.28894-0.29779i,-0.18761-0.22585i,-0.030112-0.17032i
0.12196-0.088701i,0.14783-0.18357i,0.046258-0.37832i,0.089595-0.60034i,0.31366-0.8665i,0.2138-0.94564i,-0.12526-0.61912i,-0.22559-0.30988i,-0.21736-0.27455i,-0.21186-0.17531i,-0.097312-0.02655i,0.0022429-0.0022198i,0.050851-0.00020067i,0.074704-0.00043377i,0.022261+0.0026878i,-0.051175+0.041639i,-0.10093+0.066234i,-0.11994+0.060984i,-0.10446+0.034149i,-0.086111+0.002742i,-0.077265+0.00070389i,-0.065826+0.018836i,-0.041626+0.031259i
0.027688-0.0053617i,0.15721+0.087969i,0.3871+0.35823i,0.52765+0.67831i,0.27768+0.83017i,-0.099612+0.85104i,-0.097509+0.75235i,0.12034+0.43503i,0.14192+0.083304i,-0.0067409-0.039023i,-0.0726-0.024446i,-0.050765-0.029031i,-0.038523-0.0041212i,0.010954+0.041259i,0.071522+0.005602i,0.080484-0.081963i,0.080876-0.16474i,0.056541-0.20609i,-0.0055816-0.15646i,-0.041333-0.066011i,-0.031724-0.027047i,-0.0038421-0.040248i,0.0243-0.057362i
-0.051206-0.0057805i,-0.11631-0.11501i,-0.21239-0.29593i,-0.41847-0.39541i,-0.66447-0.20103i,-0.72762+0.076967i,-0.54218+0.11481i,-0.29337+0.012364i,-0.095329-0.024934i,0.035211-0.07449i,0.033961-0.1592i,-0.02685-0.18175i,-0.054914-0.16825i,-0.062289-0.12033i,-0.046902-0.0087408i,0.01582+0.1013i,0.097122+0.1339i,0.11644+0.080997i,0.069284+0.015514i,0.031444-0.0042767i,0.031501-0.0048423i,0.035772-0.0058913i,0.019012-0.00050483i
-0.039119+0.055004i,-0.043248+0.20826i,0.072444+0.48301i,0.3951+0.63442i,0.71721+0.38947i,0.68013-0.048446i,0.33971-0.25298i,0.058987-0.19011i,-0.044957-0.089657i,-0.049543-0.022054i,-0.020773+0.011202i,-0.00089431+0.030804i,0.057926+0.073781i,0.14054+0.060203i,0.15466-0.034398i,0.097011-0.12552i,-0.0036094-0.15553i,-0.079785-0.11802i,-0.072141-0.064225i,-0.042608-0.028551i,-0.051688+0.0045466i,-0.072219+0.031233i,-0.064185+0.025109i
0.0382+0.026473i,0.13265+0.014552i,0.3646-0.06406i,0.65185-0.24487i,0.66289-0.41725i,0.29719-0.38003i,-0.071531-0.12671i,-0.16485+0.042618i,-0.12706+0.026773i,-0.10476+0.010024i,-0.08447+0.0079683i,-0.089879-0.0045729i,-0.11797+0.016794i,-0.11472+0.041725i,-0.067301+0.04273i,-0.013147+0.0069903i,0.008012-0.048064i,0.009546-0.063015i,0.018391-0.041592i,0.022819-0.026708i,0.018977-0.023569i,0.026646-0.022446i,0.046352-0.026986i
0.014229-0.023225i,0.034329-0.076324i,0.01472-0.22534i,-0.11082-0.40703i,-0.23919-0.37264i,-0.21088-0.1695i,-0.078713-0.1126i,-0.015178-0.14993i,0.0040255-0.072871i,0.052174+0.012159i,0.065916+0.0052898i,0.052576-0.03808i,0.047125-0.090594i,0.014437-0.109i,-0.045132-0.04548i,-0.065788+0.060558i,-0.022739+0.12744i,0.021867+0.11704i,0.025678+0.065373i,0.010977+0.018936i,-0.0019343-0.010391i,-0.015302-0.020569i,-0.03957-0.015548i
-0.0048958-0.015253i,-0.069054-0.068825i,-0.25992-0.095754i,-0.50059+0.0063768i,-0.53036+0.17081i,-0.24642+0.23099i,0.13738+0.15391i,0.33252+0.034081i,0.25819-0.037088i,0.10798-0.039333i,0.03454-0.028022i,0.0066142-0.015307i,0.0090835+0.020736i,0.050957+0.035317i,0.098799+0.00043271i,0.11932-0.038973i,0.099431-0.060587i,0.052453-0.067917i,0.0080617-0.058824i,-0.023004-0.042417i,-0.041767-0.022983i,-0.041032-0.011106i,-0.026485-0.019932i
-0.010141+0.010185i,0.062142+0.085628i,0.30066+0.16339i,0.59034+0.046336i,0.52754-0.16811i,0.11845-0.089376i,-0.14741+0.19217i,-0.19391+0.2343i,-0.21854+0.10761i,-0.1784+0.051452i,-0.10509+0.01466i,-0.095461-0.0027996i,-0.1024+0.018098i,-0.09028+0.023131i,-0.060382+0.020112i,-0.021551+0.0080248i,0.00027521-0.013257i,0.011382-0.012549i,0.024919+0.0010307i,0.025071+0.011843i,0.014853+0.026718i,0.021592+0.038902i,0.033983+0.039307i
0.0070229-0.0093437i,0.028544-0.14861i,0.0010589-0.43075i,-0.11387-0.58849i,-0.13054-0.39378i,0.0020317-0.1838i,-0.0062826-0.25276i,-0.16266-0.26944i,-0.15754-0.10346i,-0.030613-0.016542i,0.037725-0.016156i,0.073446-0.025827i,0.088713-0.048436i,0.071192-0.062438i,0.034089-0.081206i,-0.014238-0.093405i,-0.045226-0.069801i,-0.047221-0.038997i,-0.041353-0.019064i,-0.038296-0.001661i,-0.036071+0.0061955i,-0.045295+0.0033349i,-0.062185+0.0060896i
-0.025523+0.028693i,-0.16345+0.21179i,-0.37558+0.65339i,-0.42649+1.1148i,-0.23769+1.0739i,-0.039765+0.56007i,0.058034+0.17101i,0.17203+0.066422i,0.22516-0.010655i,0.1246-0.06378i,0.016214-0.037327i,-0.020445+0.0044784i,-0.010824+0.03632i,0.023688+0.04276i,0.047256+0.022755i,0.051538+0.0062765i,0.052748-0.010761i,0.042397-0.032223i,0.021122-0.037879i,0.01712-0.02661i,0.032521-0.021324i,0.037944-0.025665i,0.032686-0.025055i
0.064742-0.012624i,0.31441-0.079902i,0.77262-0.33698i,1.0368-0.76003i,0.71271-0.91478i,0.19474-0.50884i,0.069658+0.039561i,0.14204+0.21093i,0.075383+0.12492i,-0.013973+0.071646i,-0.02912+0.047204i,-0.021549+0.01178i,-0.0067355-0.028673i,0.0029183-0.049536i,0.0062757-0.018378i,0.0137+0.024686i,0.012102+0.038447i,0.0010814+0.033479i,-0.001762+0.020844i,-0.0002352+0.0084907i,-0.0006246+0.012354i,0.010707+0.024447i,0.02563+0.019259i
-0.071477-0.052697i,-0.31543-0.18202i,-0.79477-0.3758i,-1.1932-0.47098i,-1.0763-0.38809i,-0.65593-0.29489i,-0.45557-0.29484i,-0.44364-0.22202i,-0.3286-0.042642i,-0.13525+0.050128i,-0.029018+0.021635i,-0.01017-0.0124i,-0.01326-0.015171i,-0.030078-0.0082567i,-0.03845-0.0031971i,-0.02294-0.01431i,-0.009553-0.031548i,-0.0099809-0.032768i,-0.0072015-0.01863i,0.00089913-0.0062758i,-0.0039155-0.0085165i,-0.017176-0.016079i,-0.025411-0.020164i
0.011557+0.076404i,0.10091+0.32238i,0.31979+0.7953i,0.58212+1.2363i,0.67666+1.198i,0.54238+0.66743i,0.30738+0.11592i,0.14882-0.13373i,0.11974-0.15131i,0.1181-0.11254i,0.072817-0.064442i,0.020428-0.0046511i,-0.0062804+0.03837i,-0.0052536+0.05211i,0.02107+0.038798i,0.051607+0.0047173i,0.069765-0.022223i,0.084446-0.022033i,0.086371-0.013869i,0.056143-0.01403i,0.016257-0.012536i,-0.00051582-0.0057532i,0.0058185+0.0028946i
0.035436-0.061431i,0.068212-0.24004i,0.10957-0.51144i,0.16915-0.63473i,0.21595-0.4279i,0.20411-0.079833i,0.22493+0.17074i,0.28042+0.20904i,0.21843+0.050048i,0.058381-0.061389i,-0.0095897-0.041694i,0.0086511-0.034622i,0.0092966-0.046643i,0.0069349-0.048914i,-0.0081472-0.056593i,-0.038375-0.031864i,-0.043843+0.0034126i,-0.038408+0.0032593i,-0.046575-0.012591i,-0.056399-0.011978i,-0.05157+0.0089919i,-0.035709+0.024192i,-0.028318+0.020358i
-0.031902+0.039859i,-0.075816+0.13505i,-0.11642+0.2171i,-0.18589+0.09349i,-0.32095-0.13605i,-0.38262-0.08331i,-0.27025+0.15607i,-0.15489+0.22849i,-0.15072+0.20149i,-0.12831+0.1792i,-0.056384+0.10362i,-0.01306+0.028502i,0.012202+0.0079987i,0.020821+0.0093972i,0.0050171+0.023278i,-0.0030161+0.037291i,-0.0017884+0.026511i,-0.009228+0.0015856i,-0.015792-0.0094995i,-0.0045178-0.0052005i,0.016189-0.0063034i,0.019739-0.01629i,0.0094259-0.02205i
0.052176-0.04111i,0.13301-0.18126i,0.20403-0.44942i,0.14271-0.66132i,-0.0021571-0.61997i,-0.085955-0.49703i,-0.13777-0.48954i,-0.19655-0.41034i,-0.13821-0.17811i,0.0071741-0.050376i,0.036177-0.058524i,-0.0058569-0.042573i,-0.0034603-0.0296i,0.01535-0.041033i,0.044095-0.041856i,0.061016-0.060558i,0.039939-0.075801i,0.011788-0.057904i,0.0040562-0.029622i,0.012481-0.015401i,0.011457-0.01945i,7.7385e-05-0.017696i,0.0030134-0.0021849i
-0.065428+0.032617i,-0.18812+0.15447i,-0.32048+0.42031i,-0.28476+0.67642i,-0.10028+0.67739i,0.025502+0.46486i,0.043514+0.28094i,0.072111+0.13815i,0.09069-0.038542i,0.021261-0.11135i,-0.043853-0.051265i,-0.057552+0.0036411i,-0.06007+0.01747i,-0.054957+0.003303i,-0.054131-0.026531i,-0.067346-0.035741i,-0.084707-0.019846i,-0.084998+0.0056099i,-0.062516+0.020557i,-0.038046+0.014831i,-0.023282+0.0073078i,-0.016677+0.009721i,-0.018506+0.0090921i
0.072508+0.0046014i,0.24102+0.010542i,0.51519+0.0098335i,0.72801+0.015529i,0.69068+0.04737i,0.47198+0.10978i,0.32841+0.18967i,0.25241+0.1752i,0.096906+0.10012i,-0.017334+0.096967i,0.0092055+0.086709i,0.042201+0.027338i,0.025923+0.017317i,0.015213+0.046478i,0.012268+0.068586i,0.015838+0.093735i,0.033216+0.10827i,0.049391+0.096212i,0.053747+0.06528i,0.039828+0.03639i,0.0233+0.024375i,0.025943+0.011444i,0.027864-0.012524i
