-0.0010191+0.00050353i,0.00019468+0.00063599i,0.00054125+0.00040729i,0.00060172+0.00019061i,-0.00010492+0.00020275i,-0.0010233+0.00034151i,-0.00089828+0.00052603i,-0.00051344+0.0010668i,-0.00011851+0.0011373i,-0.00018431+0.0010061i,2.6009e-05+0.00079562i,0.00046634+0.00012836i,-0.00013702-0.00091954i,-0.00047586-0.00093345i,0.00027939-0.00081342i,0.0011194+2.335e-05i,-1.5704e-05+0.00089159i,-0.0013812+5.1059e-06i,-0.00061723-0.00074906i,9.8441e-05-0.0011622i,5.3241e-08-0.00090155i,0.00037799-0.00071631i,0.00049505-0.00038715i
0.00046069-0.00092864i,0.00050936-0.001076i,0.00023993-0.00066593i,-0.00025124+2.0383e-05i,-0.00019058+0.00084691i,-0.0001453+0.00033861i,0.00018751+7.3482e-06i,0.0007243+0.00045229i,0.00031527+0.00025913i,-0.00056924-0.00020002i,-0.00028182-0.00031717i,0.00052658-0.0004668i,0.00024928-8.5057e-05i,1.0669e-05+0.00021311i,0.00066171+0.0005299i,0.00089105+0.00082195i,0.00032068+0.00038001i,-7.1761e-05-2.8028e-05i,5.5692e-05+0.0004004i,-0.00037483-1.375e-05i,-0.00058155-0.00029767i,-0.00032275+0.00040773i,0.00045344+0.00055137i
-0.0017973-0.00048472i,-0.0009635-0.00085652i,0.0007222+6.9429e-06i,0.00067732+0.00096497i,0.00018758+6.2064e-05i,-4.1674e-05-0.00052237i,-0.00037173-8.7795e-05i,-0.0004183-0.0011585i,-5.4166e-05-0.001494i,0.0003085-0.00058947i,0.00045492+0.0001924i,-9.6978e-05+0.00035032i,1.0466e-05-0.0010689i,0.00039684-0.0011101i,-0.000216-0.00019243i,-0.00018886+2.1379e-05i,0.00043687+0.00058315i,0.00030121+0.0007571i,-0.0001056+0.00034633i,0.00071835-0.00012351i,0.0006715-0.00028666i,-0.00059275-0.00063755i,-0.00024799-0.00068409i
0.00043782-0.00072108i,0.00027908+0.00021584i,-0.00072234+0.00068806i,-0.0008493-0.00021062i,-0.00029454-0.00026568i,8.1881e-05-0.00016221i,0.0001163-0.0016295i,0.00029067-0.0017649i,3.5996e-06-0.0012413i,8.5225e-05-0.0013218i,0.00050166-0.0014053i,0.00063025-0.00069472i,0.000582+0.00045013i,0.00090882+0.00090941i,0.0012886+0.001643i,0.0015078+0.0012341i,0.0016786+0.00027872i,0.0012794+0.00067794i,0.00037269+0.0010739i,-5.2495e-05+0.00060814i,4.1178e-05+0.00051718i,5.5836e-05+0.0012296i,-0.00012472+0.00060682i
0.00037123+0.0011057i,-0.0012647+0.0012115i,-0.00066332+0.00094844i,0.00134+0.0010218i,0.0026563+0.0014076i,0.0024294+0.00066517i,0.00082275+0.0002801i,0.00026317+0.0004169i,0.00027967-5.8669e-06i,-0.00017922+0.00017144i,-0.00019725+0.00019389i,-0.00031905-0.00028254i,-4.8294e-05-0.0002841i,0.00045293-2.9408e-05i,0.00059042-6.9131e-06i,0.00025816-2.5401e-05i,2.8798e-05-0.0001627i,0.00027854-0.00057399i,0.00011201-0.00081284i,0.00014844+0.00025099i,0.00014807+0.00069685i,-5.353e-05+0.00053158i,0.00031575+0.00058389i
-0.00030396+0.00040295i,0.00053144+0.0018592i,0.0010322+0.0022936i,0.00054969+0.0019675i,0.00017938+0.00050553i,-0.00055745-0.001413i,-0.00085665-0.0021971i,0.00050362-0.0014956i,0.00074793-0.0006278i,0.00041973-0.0004041i,6.8545e-05-0.00042427i,-2.6083e-05-0.0010176i,0.00056419-0.0010619i,0.00073324-0.00040782i,0.00093361+0.00017084i,0.00078459+8.9868e-05i,0.00041546+0.00039549i,0.00064933+0.00080844i,0.0014763-0.00017062i,0.001495-0.00089259i,0.0012237-0.00023507i,0.00076568+0.00024047i,8.7832e-05+0.00026666i
-0.00061578-0.00041086i,-0.0016561-0.00045894i,-0.0021368+0.00056393i,-8.0126e-07+0.0018815i,0.0013829+0.0019821i,0.00065663+0.00042615i,-0.00041424-0.00095869i,-0.0005338-0.00077534i,-0.00013712-0.00031023i,-0.00010654-0.00024132i,0.00028069-0.00052424i,0.0005987-0.0010191i,0.0005835-0.0010065i,-0.00018861-0.00018599i,-0.00077953-6.4215e-05i,-0.00024192+0.00070394i,5.0871e-05+0.00099918i,0.0004049+0.0004283i,0.00078259+0.00038239i,0.00066864+0.0004893i,-0.00015337+0.00016988i,-0.0012614-0.00014886i,-0.0016307-0.00019523i
0.0015947+0.0012422i,0.0016103+0.0011352i,0.0013925+0.00071984i,0.0021902+0.00016247i,0.002083-0.00070237i,-5.964e-06-0.00021273i,-0.0018486+0.00054379i,-0.001001+0.0005211i,0.00018119-0.00014672i,0.00027118-0.00090526i,3.1344e-05-0.0010138i,-0.00049919-0.0009015i,-0.00056571-0.00066752i,9.4668e-05+0.00019568i,-0.00011974+0.00045503i,0.00016714-4.7785e-05i,0.00084503-0.00018174i,0.0006532+0.000247i,0.00063768+0.00083862i,0.0007979+0.00053292i,0.00049399-0.00048234i,0.00039612-0.00094612i,0.00085949-0.00053348i
0.00031753-0.00031761i,-0.00066348+0.00044874i,-0.001054+0.00097922i,2.8672e-05+0.0017078i,0.00055733+0.0016103i,0.00099774+1.2989e-05i,0.00094512-0.00059876i,-0.00014648-0.00049249i,-0.00084978-0.00038824i,-0.00056715+0.00046992i,3.5475e-05+0.0010156i,0.00018509+0.00099423i,0.00050741+0.00030371i,0.0007798-0.00077943i,0.00054417-0.00018174i,-0.00015533+0.00026221i,9.2094e-05+0.0004601i,0.00064507+0.0010658i,0.00013324+0.00035922i,-6.7629e-05+0.0001743i,-0.00013722+0.00090806i,-0.00027723+0.0009376i,-0.0002226+0.00025925i
0.00091724-0.00079233i,0.00037494-0.00081485i,0.00053735-0.00078234i,7.7851e-05+0.00020127i,0.00012704+3.3791e-05i,0.00023029+0.00016687i,0.00052874+0.00019083i,0.00064256-0.00036797i,0.00052394+9.5766e-06i,9.2679e-05-1.1327e-06i,0.00016651-0.00031404i,0.00068654-0.00018028i,0.00019766-7.3781e-05i,-0.00022954-0.00019164i,0.00018977-0.00011622i,0.0004544+6.4087e-05i,0.00046165+0.00021573i,0.00035234+0.00011056i,0.00027338+0.00018557i,0.0004969+0.00032292i,6.5374e-05+0.0003065i,0.00028682+0.00073043i,0.0007748+0.00050612i
7.1983e-05-7.0632e-05i,-0.00088845+0.00070943i,-0.0012069+0.00060429i,-0.00070563+0.0014239i,-0.00072436+0.0016883i,-0.001225+0.00012307i,-0.00086011-0.0003012i,-0.00012457+0.00044389i,-0.00028927+0.0007104i,-0.00038569+0.00082585i,-0.00016754+0.001104i,0.00037311+0.0010441i,0.00067515+0.00077117i,0.00056044+0.00015541i,0.00033545-0.00034184i,0.00047986+0.00022513i,0.00032571+0.00014092i,0.0004236-0.00047546i,0.0011835-0.00086702i,0.00072195-0.0004851i,0.00077344-0.00016631i,0.0010173-0.00032162i,0.00050383-0.0002366i
