-0.00077987+0.00018792i,-2.2916e-05-0.00044392i,-0.00034446-0.00081877i,0.0001375-0.00096929i,-3.8468e-05-0.00042141i,-0.0014053-0.00019186i,-0.0018791-0.00029083i,-0.00061217+0.00060705i,0.00075553+0.00061456i,0.001205-0.00032402i,0.00087334-0.00050492i,0.00021761-0.00032552i,0.00074383-0.00022772i,0.00081172-0.00012912i,3.9067e-05-1.416e-05i,-0.00020116+8.2855e-05i,0.00027108-0.0002903i,0.00010558-0.00069701i,-0.0011485-0.0011151i,-0.00084673-0.00064655i,-9.9063e-06-0.00030079i,0.00012555-0.00023757i,0.00025735-0.00012341i
0.0013257+0.00040286i,0.00090524+0.00055741i,-4.9705e-05-0.00087279i,-1.7398e-05-0.0017849i,0.00031351-0.0021082i,-0.0003638-0.0016199i,-0.0008912-0.00070517i,-0.001217+0.00024846i,-0.0012837+0.00015542i,-0.0012945-0.00056435i,-0.00079248-0.00057575i,-0.00023831-0.00043107i,-9.57e-05-0.00061122i,0.00099434-0.00019613i,0.0016926+0.00059092i,0.00062647+7.6749e-05i,-0.00034737-0.00085687i,-8.9381e-05-0.0010184i,0.00020381-0.00027778i,-0.00016393-6.7709e-05i,-0.00052387-3.0614e-05i,7.2459e-05+4.8491e-05i,0.0012424+0.00023703i
-0.00058388-0.00095284i,-0.00021538-0.00041142i,-3.9931e-05-0.00064433i,-0.00057039-0.00080259i,-0.0011054-4.3742e-05i,-0.00042979-3.2564e-05i,0.00011275-0.00024127i,-0.00056826+0.00036851i,-0.00038589+0.00063753i,3.5625e-05-4.0653e-05i,-0.00025818-0.00020626i,-0.00060371+0.00030073i,0.00038618+0.00038659i,0.00081813-3.9235e-05i,0.00053562-0.00031033i,0.00062947+0.00053313i,0.00020697+0.00074517i,-6.9703e-05+0.00034277i,-0.00021849-0.00023794i,9.298e-05-0.00082606i,0.00057049-0.0006026i,0.00041025-2.3917e-05i,7.3416e-05+0.0003307i
0.0013566-0.00047332i,0.0012259-0.00048049i,0.0016479-0.00060169i,0.0010864-0.00015636i,0.00032382-0.00038372i,8.7982e-05-0.0006146i,-9.3713e-06-0.00074152i,0.00088286-0.00095055i,0.00028462-0.00058369i,-0.00077808-7.5766e-05i,-0.00032365+0.00106i,-0.00032363+0.0011689i,-2.3898e-05+0.00044966i,0.00079479+0.00081165i,0.0013961+0.00090891i,0.00074104+0.00049957i,-0.00059409+0.00064372i,-0.00087249+0.00081573i,-0.00040414+0.00079056i,-0.00022302+0.00050476i,-5.8627e-05+6.4408e-05i,-0.00018595-0.00026177i,-0.0007105-0.00023589i
6.204e-05-1.5979e-05i,0.00023962-0.00019859i,-1.9955e-05-0.0001856i,0.00053238+1.0352e-05i,0.00061033-0.00084151i,0.00054438-0.0015111i,0.00014473-0.001667i,-0.00055445-0.00093814i,-0.00066767+0.00013008i,-0.00047037+0.00033809i,0.00014885+0.000276i,0.0010474+0.0007164i,0.00087677+0.00064147i,0.00058879+0.00020053i,0.00049312+0.00030405i,-2.2124e-05+0.000674i,0.00027364+0.00041449i,0.0011782-0.00023415i,0.001258+0.0001609i,0.00054571+0.00062832i,0.00018553+0.00015514i,8.3723e-05-4.0804e-05i,0.00063407-1.9916e-05i
0.00027369+0.0010001i,3.6216e-05+0.0011861i,0.00078118+0.00094956i,0.00033833-0.00075074i,-0.001392-0.0016539i,-0.0026103-0.0012714i,-0.0028711-0.0001218i,-0.0022903+0.0012178i,-0.001204+0.0013441i,-0.00079901-1.607e-05i,-0.00077987-0.0011876i,-0.00041002-0.00086858i,-5.8791e-05+2.4115e-05i,0.00010931+0.00050338i,0.00065226+0.00033882i,0.0006155-0.00014526i,0.00054264-0.00074151i,0.000716-0.00062945i,0.00037324+0.00016334i,0.00022151+0.00034805i,0.00036491+0.00079134i,0.00023437+0.00068041i,-0.00023064-0.00011611i
0.00025384-3.3502e-05i,0.00032518-0.00078016i,0.00045443-0.001098i,0.00080483-0.0011725i,0.00059475-0.0017671i,0.00027198-0.0015359i,0.00060936-0.0010082i,0.00087668-0.00095785i,0.00018415-0.00091949i,-0.00061468-0.00087559i,-0.0001997-0.0004508i,0.00013143-0.00066856i,-3.7504e-05-0.0008092i,-4.9021e-05-8.2406e-05i,0.00020827+0.0001998i,0.0004732-0.00050948i,0.00056698-0.00083854i,0.00091856-0.00019536i,0.00092159+0.00096241i,0.00070582+0.0011574i,0.00021963+0.00039587i,-0.00047933-0.00022001i,-0.00051801+1.8411e-05i
-0.00025738-0.0013022i,0.00010317-0.00010948i,-0.00073286+0.00030056i,-0.0013112+5.3721e-06i,-0.00057549+0.00033825i,-0.00046731+0.00040203i,-0.00035306-0.00022148i,-6.3128e-05-0.00015243i,-0.00029129+6.8478e-05i,-0.00026276-0.00031428i,-0.0003873+0.00011248i,8.0787e-05+0.00045854i,0.0007894-8.0509e-05i,0.00027814-0.00038304i,-0.0002429-0.00027319i,-5.896e-05-0.00061741i,0.00021016-0.00094163i,-0.00028441-0.00055592i,-0.00018821-0.00024446i,0.00032583+0.00019285i,-0.00033594+0.00076856i,-0.001054+0.00025496i,-0.00059719-0.00025685i
0.00094863+0.00082315i,0.00021165+0.00075134i,0.00051988+0.001437i,0.0016349+0.00092509i,0.0018837-5.1849e-05i,0.0011452-0.00080171i,0.00041749-0.0015361i,0.00074576-0.0013834i,0.0013118-0.00090268i,0.00094507-0.0013862i,0.00014012-0.0015144i,-0.0002323-0.00047682i,-0.00022168-0.00039821i,0.00015266-0.00046777i,-1.1577e-05+1.81e-05i,-0.0003863+0.00033181i,-0.00061574+0.00054647i,-0.00087461+0.00016539i,-0.00054714-0.00039977i,0.00014315-0.00062014i,0.00024392-0.0011336i,0.0002275-0.0012078i,-1.8306e-05-6.229e-05i
-2.9758e-05+0.00054567i,0.00023303+0.00048067i,-0.00017219+0.00033724i,0.00067614-0.0007386i,0.001386-0.0011022i,0.0010963-0.0012447i,0.00050744-0.0010896i,-0.00024817-0.0010633i,-0.00075465-0.0006633i,-0.00036707+0.00027905i,3.4459e-05+0.0012886i,-0.00016727+0.00092333i,-0.00029484-7.9305e-05i,-0.0011739-0.00075998i,-0.0016911-0.00091534i,-0.00094578-0.0010853i,8.7168e-05-4.6628e-05i,7.6059e-05+0.0015316i,-3.3176e-05+0.00080857i,0.0008987-0.00077208i,0.0010622-0.0014819i,0.00041411-0.0012539i,0.00037757-0.00088101i
0.00098401-0.00027945i,0.00067724-0.00059734i,0.00024861-0.0010836i,-0.00042361-0.0014499i,-0.00032006-0.0011959i,0.00034879-0.0005932i,0.00074454-0.00031612i,0.00083449-0.00055532i,0.00018322-0.0010159i,-0.00041724-0.00074139i,-0.00059817-0.00020021i,-0.00022874-7.2869e-05i,-3.5478e-05-0.00017633i,-0.00024589+8.0888e-05i,4.6859e-05+0.00038616i,0.00022256+0.00039263i,-0.00043812+0.00061194i,-0.00086415+0.00060125i,-2.155e-06+0.00051145i,0.00026833+0.00065448i,-0.00041147+0.00056953i,-0.00049739-1.0965e-05i,-0.00079251-8.4606e-05i
0.0010898-0.00010023i,0.00073463-0.0013033i,0.00033345-0.0013025i,0.00017973-0.00073003i,-0.00033459+0.00014204i,-0.00067721+0.00075857i,-0.0002087+0.00044941i,0.00011746-2.3204e-05i,0.00025915+0.00039073i,6.64e-05+0.00028618i,9.937e-05-0.00036405i,-0.00033609-0.00055637i,-0.00029143-0.00016784i,0.00051615+0.00016339i,0.00050577+0.00048728i,-0.00029911+0.00068603i,-0.00053328+0.0006148i,-0.0001834+0.00048944i,4.3923e-05+0.00059383i,-0.00061095+0.00026183i,-0.00083538-0.0003912i,0.00035042-0.00039383i,0.00063985-0.00026938i
-0.0010534-0.0006989i,-0.0011431-0.0014664i,-0.00061336-0.002013i,-0.0003289-0.0011375i,-0.00031042-0.00020256i,8.386e-05-0.00069988i,-0.00017104-0.0012808i,-0.0005597-0.00091614i,-0.00049183-0.00051117i,-0.00038741-0.00079443i,-0.00051373-0.00068246i,-0.00051885-1.0523e-05i,-0.0002532-4.6708e-05i,0.00026935+0.00025177i,0.00049976+0.00055369i,-7.9278e-05+5.7482e-05i,7.652e-05+0.00060525i,0.00080213+0.00078174i,1.9757e-05+0.00059338i,-0.00066681+0.0009378i,-0.00015791+0.00074299i,0.00038511+0.00010993i,0.00024325-0.00059677i
-0.00022094-0.00011543i,0.00036958-0.00055201i,0.00099254-0.00042611i,0.0016734-0.0013214i,0.0010145-0.002114i,-5.051e-06-0.0017902i,1.8672e-05-0.0015344i,9.8064e-05-0.0006172i,-0.00026473-0.00012628i,0.00023999-0.00056242i,0.00069147-0.00057715i,0.00049171-0.00059691i,0.00090965-0.00041662i,0.0011251+3.3571e-05i,0.00087026-7.2272e-05i,0.00046946-0.00049731i,3.0009e-05-0.00023636i,-0.00025765+0.0008716i,0.00036829+0.00041954i,0.00098505-0.0001693i,0.00039958-0.00024428i,-0.00035793-0.00048502i,-0.0010205-0.00072494i
0.00037113+0.00084043i,0.00051071+0.00049604i,0.00013977-0.00019429i,-0.00078945-0.00027394i,-0.00096331-0.00015072i,-0.00035893-0.00024913i,-0.00094796-5.7345e-05i,-0.0010968+0.00052401i,-0.00021711+0.00096734i,4.7605e-05+0.00032392i,-0.00033631-0.00029844i,-0.00072857-0.00064142i,-0.00019954-0.00024757i,0.00021697+0.0005472i,0.00058214+0.00048719i,0.00059408+0.00057573i,0.00037105+0.00081757i,0.0002253+0.00068261i,-0.00033553+0.00012565i,-0.0001646-0.00044535i,0.00048096+0.00027606i,0.00079642+0.00095497i,0.0010574+0.00024333i
0.00055143+0.00084168i,6.4533e-05+0.00069726i,0.00032808-0.00056837i,0.0011489-0.00044207i,0.00098515-3.924e-05i,0.00057804-0.00023304i,-9.7968e-05-8.2664e-05i,-0.00095474+0.0004383i,-0.00053698-0.0001708i,-0.00021488-0.00081049i,-0.00064865-0.00076164i,-0.0011922-7.0935e-05i,-0.0010742+0.00076549i,0.0001511+0.00079352i,0.00028857+0.00030129i,-0.00052065-0.00026944i,-0.00061956-0.00062425i,-0.000961+0.0004085i,-0.0013657+0.00075148i,-0.00099532+0.00017475i,-0.00036978-0.00050206i,0.00016093-0.00021742i,0.00044081+0.00058418i
0.00036199+0.00026635i,0.00052693+0.0009402i,0.001327+0.00054884i,0.0013759+0.00034666i,0.0010519+0.00079557i,0.0014047+0.00053058i,0.0012364-0.00031788i,0.00095661-0.00094786i,0.0013498-0.0012695i,0.00099745-0.00064752i,-2.1853e-06-0.00019539i,0.000446+9.7241e-05i,0.001007+0.00039143i,0.00058485+0.00052658i,0.00053271+0.00053274i,0.00054447+0.00028443i,0.00016159+0.00037279i,-0.00043232+0.00067216i,-0.00088898+0.00033739i,-0.00050493-0.00031272i,0.00053972-0.00016778i,0.0015921+0.00031163i,0.0012702-9.1644e-05i
-0.00040291-0.0014481i,0.00046512-0.0015855i,-0.00017924-0.0014005i,-0.00091608-0.0020632i,-0.0011347-0.0023357i,-0.00081537-0.0016431i,-0.00064556-0.00065938i,-0.00018998-0.0005353i,0.00040541-7.5793e-05i,-0.00016713+7.6982e-05i,-0.0013498-0.00038235i,-0.0011594+0.00067315i,0.00059363+0.00066213i,0.0013305+0.00011658i,0.00075366+0.0002614i,8.1584e-05-0.00017857i,0.0001452-0.00013083i,0.00032039+8.6104e-05i,-0.00045722-0.00015893i,-0.0005849-0.0002344i,0.0002534+0.00068666i,0.00017143+0.0014041i,-0.0011929+0.0014403i
0.00074382-9.0878e-05i,0.0002243-0.00062352i,0.00021304-5.2839e-05i,0.00062044-2.1016e-05i,9.3299e-05-0.00058822i,-0.00078503-0.00045143i,-0.00064749-0.00027453i,-0.00070924-0.00059335i,-0.0010127-4.2769e-05i,-0.00040629+4.9226e-05i,0.00033569+0.00044526i,0.0001306+0.00075559i,-0.00014738+0.00038353i,-2.5213e-05+0.00017944i,0.00024027+0.00032585i,0.00060208+0.00011624i,0.00087215-0.00063249i,0.00043071+4.3425e-05i,3.198e-06+0.00052796i,6.2174e-06-0.00049937i,0.00055152-0.00092324i,0.00052373+6.1734e-05i,0.00013641+0.00097366i
0.0015064-0.0014367i,0.001382-0.00043631i,-2.2899e-05-0.00076048i,-0.00099443-0.00092558i,-0.00058241-0.00010247i,-0.00066824-0.00013543i,-0.00090576+5.3748e-05i,-0.00047607-0.00064815i,0.00036173-0.0012907i,7.0251e-06-0.00071087i,-0.00090553-0.00026275i,-0.00066541+0.00072238i,6.9425e-06+0.0011526i,1.4315e-06+0.00090973i,0.00026691+0.00038002i,0.0004548+0.00041709i,-0.00012831+0.00044161i,-5.1065e-05-0.00023982i,-0.00021577-0.00039353i,-0.00044949+0.00015861i,5.2914e-05+0.00030512i,-0.00017008+0.00011637i,-0.00071259+0.00023282i
1.9717e-05+0.0012864i,0.00022712+0.00067692i,0.00093765+0.00099576i,0.0021985+0.00092675i,0.0029101-0.00091531i,0.0023327-0.0023481i,0.0012138-0.0018453i,0.00023575-0.0011986i,2.0366e-05+0.00010442i,0.00081942+0.00052202i,0.0011305+0.00018661i,0.00079902+0.00034788i,0.00040983+7.7882e-05i,-9.1094e-05+2.9558e-05i,-0.00053499+7.3288e-05i,-0.00050878-0.00021908i,-0.00036827+0.00031416i,0.00025062+0.0009029i,0.00082091+0.00073225i,0.00026453+0.00042391i,-0.00066295-0.00050523i,-0.00064907-0.00088953i,-0.0001381-0.00038054i
-3.0252e-05-0.0016579i,0.00014664-0.00074864i,-0.00025794-0.00093834i,-6.1433e-05-0.002036i,0.00041284-0.0020688i,0.001156-0.0016714i,0.0012801-0.00098749i,0.00063706-0.00050563i,0.00034984-0.00058124i,-0.00035154-0.00015888i,-0.00032793+0.00010851i,0.00029115+0.00027783i,0.0004267-0.0003394i,0.00072257-0.00077232i,0.00091015-0.00025897i,0.00058393+0.00016993i,-3.2142e-06+0.00021265i,3.6904e-05+0.00045942i,0.00040893+0.00077384i,-0.0001141+0.00026813i,-0.00038317+0.00029356i,4.9107e-06+0.0010274i,1.4773e-05+0.0009631i
0.00021404+0.00076386i,0.00024179+5.4754e-05i,0.00026942-0.00094905i,-9.358e-05-0.0012728i,-0.00069894+9.2564e-05i,-0.0015223+0.00093852i,-0.0016296-4.0325e-05i,-0.00012737-0.00047489i,0.0013052+0.0004576i,0.0010468+0.00072182i,-0.00017804+0.00022024i,-0.00021008-9.2715e-05i,0.0004365+0.00015906i,4.7184e-05+0.00077547i,-0.00029067+0.0007625i,-1.5541e-05+0.00025255i,7.1157e-05-5.676e-05i,7.3336e-06+0.00047224i,0.00068823+0.00074321i,0.00060267+0.00050864i,-0.00072055+0.00012641i,-0.0010084-0.00057143i,-0.00066969-0.00029786i
0.00040779-3.4909e-05i,0.0004471+3.6537e-05i,-0.00048805+0.00014383i,-0.00044876+0.00031007i,-0.00029008-7.1212e-05i,0.00010517-0.0001148i,0.00038834+0.00084182i,-0.00067995+0.00048623i,-0.00099809-0.00028227i,-0.00034914-0.00021686i,-0.00030199-0.0001158i,9.75e-05-0.00027515i,0.00033283-0.00057463i,0.00013132-0.00083254i,9.1349e-05-0.00088651i,0.00035378-0.00076249i,0.00060906-0.00045353i,0.00010166-0.00037822i,-0.0001336-0.00044932i,-2.9841e-05+9.4663e-05i,-0.00027071+6.9068e-05i,-0.00034184-0.00055713i,-0.00019966-0.00037968i
0.00055946+0.00069539i,0.00010421+0.00024804i,-0.0004843-0.00065351i,-0.00037141-0.00077409i,2.2485e-05-9.4775e-05i,0.00047894-0.00026712i,0.00071717-0.0010928i,0.00021863-0.00079162i,-0.00014488-7.41e-05i,-0.00047695-2.6007e-05i,-0.00078259-0.00014261i,-0.00086025+4.9021e-05i,-0.00062857+0.00034204i,-0.00036289+0.00025013i,-0.00065615-2.958e-05i,-0.001685+0.00029703i,-0.0014921+0.00050148i,-0.00079388+0.00028958i,-0.00020582-0.00026116i,2.4502e-05-0.0007087i,-0.00054596-0.00026204i,-0.00058228+0.00022073i,0.00043053+0.00030792i
0.000118+0.0008477i,-0.00019349+0.00097507i,-0.00105+0.00093381i,-0.00097416+0.0010416i,0.00048338-0.00012727i,0.00084717-0.0014858i,-0.000788-0.00026534i,-0.00078385+0.00032715i,0.00022705-0.00012742i,4.5309e-05+5.8067e-06i,-0.00027821+0.00032641i,-0.00019608+0.00042565i,0.00043799+0.001029i,0.00043617+0.00069256i,0.00044946+7.7968e-05i,1.6641e-05+3.9389e-05i,-8.6144e-05-0.00044577i,9.2816e-05-0.00012913i,-0.00027051+0.00047391i,-0.00027358-2.9551e-05i,1.2814e-05-0.00021783i,6.2198e-05+0.00036328i,0.00028315-8.3441e-05i
-5.777e-05+0.0003614i,0.00080459-9.7348e-05i,0.0015208-0.0012648i,0.0017518-0.002398i,0.00097105-0.0020493i,-0.000105-0.0015136i,-0.00065578-0.0017856i,-0.00074953-0.0011811i,-0.00050182-0.0012498i,-0.00010388-0.001979i,-0.00038025-0.00093125i,-0.00077597+0.00033065i,-0.00038259+0.00078142i,4.7879e-05+0.00066759i,0.00012478+0.0002408i,-0.0004446+0.00016025i,-0.0006383-2.9302e-05i,-0.00041278-0.00010958i,-0.00023976+0.00010978i,7.6459e-05+0.00017433i,-0.00023576+0.00044184i,-0.0010145+0.00023097i,-0.00042614-0.00020572i
-0.00035476+0.00038539i,-0.0013165+0.00023787i,-0.0019502+0.00025227i,-0.0014796+0.00012946i,-0.00072359-0.00026265i,-0.00026081-0.00033013i,-0.00047748-0.00063578i,-0.0003798-0.00066651i,0.00060995-0.00010475i,0.00078092-0.00032804i,-0.00034669-0.00038393i,-0.00083831-0.00026636i,-0.00042577-8.0057e-05i,-0.00012445+0.00035351i,-0.00019405+0.00075489i,-0.00071222+0.00013455i,-0.00065673-0.00031525i,2.373e-06+0.00018322i,-0.00023532-0.00015635i,-0.0014509-0.00022167i,-0.0010129+9.946e-05i,0.00027244+0.00013513i,-0.00044733+0.00016002i
-0.00058527-0.00057228i,0.00059017-0.0011285i,0.0012961-0.0011933i,0.00063965-0.0013111i,-4.8424e-06-0.0007853i,0.00033262-0.0003724i,0.00031421-0.0004879i,6.8234e-05-0.0003857i,-0.00027374+0.00019841i,-0.00054814+0.0011887i,-0.00042753+0.0011362i,-0.00034648+0.0002515i,0.00010638-1.1218e-05i,0.00046946-5.5848e-05i,0.00023897-8.3216e-05i,-0.00014791-9.7143e-05i,0.00032522-0.00044821i,0.00062816-0.00076999i,0.00021557-0.00030967i,-0.00064723+0.00014813i,-0.00081814-0.00063405i,-1.6036e-05-0.0010188i,-1.6576e-05-0.00034272i
-0.00026171-0.001197i,0.00012027+6.4385e-05i,5.4775e-05+0.00081562i,-0.00015524+0.001668i,-4.0519e-05+0.0015511i,0.00042527+0.00068717i,0.00023937+0.00026243i,-0.00032248+3.018e-05i,-0.00034889-0.00016598i,-0.00064319-0.00085337i,-2.8844e-05+5.4392e-05i,0.00050607+0.0010517i,0.00050427+0.00067439i,0.0010735+0.00016826i,0.0010834+0.00033393i,-1.4062e-05+0.0005352i,-0.00027156+0.00034259i,-0.00019141+0.0002083i,-7.6276e-05+0.00031703i,0.00039087+0.00069054i,0.00046377+0.00052453i,0.00049314+0.00010131i,4.7243e-05+5.5002e-05i
-7.458e-05-0.00072588i,0.0012156-0.00095247i,0.0016414-0.0022683i,0.0019193-0.0038239i,0.0019739-0.0038248i,0.0013745-0.0026753i,0.00087832-0.0014073i,-0.00023587-0.00050927i,-0.00020971-0.00021745i,-8.8291e-06-0.00075514i,-0.00076656-0.00069964i,-0.0011451+0.00030607i,0.00018425+0.00050836i,0.0011003+0.00041829i,0.00060969+0.00036783i,0.00035556+0.00062589i,-1.7334e-05+0.00052527i,-4.731e-05-5.3616e-05i,-1.2688e-05-9.3026e-05i,9.018e-05-0.00050382i,4.744e-05-0.00096307i,-0.00030713-0.00016121i,-0.00015711+0.00090449i
-0.00016987+0.00026606i,-0.00065184+0.00030599i,-0.00068189-0.00025071i,0.00029913+5.4796e-05i,0.00059904+0.00043916i,0.00028227+0.00024447i,-0.00054774+0.00011985i,-0.0010917+0.0002828i,-0.00064379-0.00027374i,9.9052e-05-0.00031603i,-0.00022155+0.00013871i,-0.00070613+0.00016117i,-0.00046957-0.00010299i,-0.00060432-5.8978e-05i,-0.00048572+0.00034461i,-0.00066055+0.00068152i,-0.00036426+0.00032635i,0.00066804-0.0004145i,0.00032094-0.00052066i,-0.00080158-0.0003639i,-0.0011191-0.00048159i,-0.00074181-0.00053871i,-0.00030984+3.5719e-05i
