-0.0013109+0.00054096i,-0.00056675-0.00066308i,-0.00027194-0.0010377i,-0.0014935-0.00067843i,-0.001838+0.00018498i,-0.0010215+0.00031752i,0.00043842+0.00052199i,0.0020561+0.0016726i,0.0013667+0.0014348i,7.5168e-05+0.00089933i,-8.892e-05+0.0010278i,-9.5914e-05+0.00044292i,-0.001119+0.00015315i,-0.0015026+0.00041664i,-0.00065124+0.00064535i,-0.00073704+0.00069165i,-0.00029894+0.00021644i,0.00022736-9.642e-05i,-0.0004231-0.00039428i,-0.00084303-0.00053224i,-0.00044311-0.00048997i,0.00034872-0.0005703i,0.00050468+8.5628e-06i
-0.00090547+0.00047009i,0.00065173-3.5108e-05i,0.00047696-0.00084571i,7.0008e-05-0.00015137i,0.00013318+0.00091861i,0.00040951+0.00074523i,0.00055885-0.00074655i,0.00088612-0.0016171i,0.00092263-0.00065855i,0.00039907-0.00019033i,0.00062945-0.00088558i,0.00075432-0.0011374i,-6.6899e-05+0.00012705i,-0.00085718+0.00069258i,-0.00098382-9.5815e-05i,-0.0013725-0.00022446i,-0.0011927+0.00042983i,-0.00045715+0.00040912i,-0.00013868-0.00035984i,0.00067525-0.0004253i,0.0013799+5.5742e-06i,0.00094121+0.00024961i,-1.0257e-05+0.00035314i
2.5606e-05-0.00061722i,0.00040808-0.0011624i,-0.0010132-0.0016487i,-0.001747-0.0014201i,-0.0014505-0.00080411i,-6.0003e-05-0.00043195i,0.00086767-0.00041625i,0.00052291-0.0010282i,-7.3259e-05-0.0017026i,-0.0009269-0.00086199i,-0.0015664+0.00024327i,-0.0018489-5.5811e-06i,-0.0017609-0.00068421i,-0.00093432-0.00028501i,-0.00047766+0.00028748i,-0.00086165+0.00065311i,-0.0010944+0.0004928i,-0.00099784-0.0001539i,-0.00053364+1.4154e-05i,-0.00014568-0.00028025i,0.00053746-0.00033567i,0.00043754-0.00027968i,0.00011462-0.00022707i
0.00028265-0.00029364i,0.00010845-0.00083615i,0.00076449-0.00025518i,0.0013098-0.00029723i,0.00095288-0.00016926i,0.0013657+0.00058725i,0.0014093+0.00020751i,0.00045507-0.00044622i,-0.00060919-0.00022646i,-0.00058639-0.00020365i,-0.00031524-0.00020144i,-0.00069543+0.00017416i,-0.00053108-7.9262e-05i,0.00034235-2.7194e-05i,0.00045085+0.00018089i,-0.00030048+0.00017931i,6.7641e-05+0.00029182i,0.001011+0.00026748i,0.00083248-0.00065241i,0.0007007-0.00079591i,0.00054052+0.00025313i,-2.4756e-06+0.00048794i,-0.00024392-0.00055387i
0.0018352-5.2686e-05i,0.0020136-0.00011873i,0.0019079-0.00080672i,0.0010819-0.0010719i,-5.1397e-05-0.0015593i,-0.0009891-0.0026689i,-0.00074223-0.0024535i,-8.3221e-05-0.00076225i,-0.00011262-0.00016047i,-0.00019974-0.00037106i,-0.00029838-0.00044038i,-0.00033898-0.0004487i,-0.00051909+0.00042478i,-0.00079792+0.0010059i,-0.001309+0.00096291i,-0.0016537+0.00022913i,-0.00064089-9.773e-05i,3.4287e-05+0.00062683i,3.0749e-05+0.0011589i,-0.00012605+0.00053411i,9.8954e-05+0.00057091i,-3.7252e-05+0.0014665i,0.00023753+0.0013088i
0.00086178+0.0012581i,0.0011992+0.0013254i,0.0017745+0.00044729i,0.0019735-0.00040404i,0.0014332+0.00011062i,0.00099613+0.00048308i,0.00096921-0.00035744i,0.00055568-0.0011711i,-0.00032629-0.000379i,-0.00029274+0.00026537i,0.0006547-0.00010084i,0.0011789-0.00038219i,0.00072735+0.00011386i,-0.00053632+0.00040325i,-0.0013122-0.00010353i,-0.00080076-6.1976e-05i,-0.00027216+7.8531e-05i,-0.00042292-0.00039756i,-8.1532e-05-2.4909e-06i,0.00023246+0.00028898i,-0.00065013+0.00032372i,-0.00084502+0.00060448i,0.00023561+3.8835e-05i
0.0013029-0.00015478i,-6.1565e-05-0.00041841i,-0.00022306-0.0011928i,-0.00034475-0.00098076i,-0.00041085-0.00090155i,-1.625e-05-0.00090175i,0.00079273-0.00041148i,0.0010766-0.00035567i,0.0001903-0.0006846i,-0.00076411-4.7878e-05i,-0.00087343+0.00044197i,-0.00033022+0.00015049i,-0.00036719-0.00014997i,-0.00075933-0.0004335i,-0.00078077-5.7879e-06i,-0.00034668-5.8531e-06i,3.9149e-06-8.5162e-05i,-0.0001148+0.00017376i,-0.00037672+0.00020819i,-0.00042371-0.00011424i,0.00011726-2.311e-05i,0.00060455-0.00061789i,0.00048818-0.001163i
-5.6807e-06+0.00096642i,0.00029975+0.0010316i,0.0011819+0.00017743i,0.0012102-0.00020277i,0.00094637-0.0004834i,0.00077081-0.00062467i,0.00051336-0.00042698i,-3.7341e-05-0.00048192i,0.00010063-0.00062083i,-0.00012374-0.0011473i,-0.001203-0.0010438i,-0.0010184-5.2682e-06i,0.00068246+0.00010947i,0.00064648-0.00058282i,-7.9623e-05-5.8249e-05i,0.00022732+0.00083506i,0.00062991+0.00052243i,0.00070719+0.00070049i,0.00044166+0.00077477i,0.00010385+5.7051e-05i,-8.3024e-05-0.00036948i,0.00039864-0.00019235i,-5.6258e-05-0.00010853i
0.0010594-0.00038929i,5.4581e-05-0.00075369i,0.0001668-0.0011685i,0.00015145-0.0016948i,0.00015947-0.001871i,0.00010376-0.0011126i,0.00079882-0.00033898i,0.00085786+0.00010517i,0.00065769+0.00012071i,0.00067232+0.00065046i,-0.00042566+0.00086844i,-0.0013978+0.00082871i,-0.0013207+0.0011936i,-0.00078365+0.0008047i,-0.00076252+0.00062169i,-0.00062691+0.00074002i,-3.9168e-06+0.00076615i,0.0002882+0.00040792i,7.4813e-05-4.7998e-06i,-0.00078499+4.7933e-05i,-0.00032278+1.2925e-05i,-0.00023168-0.00038114i,-0.00082724-0.00017895i
0.00071716+0.00053921i,0.00068848+0.0018651i,0.001393+0.0013731i,0.0014563-6.713e-05i,0.0011762-0.00094723i,0.00094855-0.0010956i,0.00070832-0.00071543i,0.00019597-0.00019146i,-0.00024954+0.00018969i,-0.00020137+0.00038839i,7.1869e-05-0.00058061i,0.00010242-0.0007155i,-0.00029858-0.00071082i,-0.001016-0.0013727i,-0.0010108-0.00099434i,-0.00030598-0.0010952i,0.00016402-0.0014094i,-0.00034609-0.00031312i,-0.00090468+0.00011589i,-0.00039688-0.0004493i,0.00019873-0.00025718i,0.0002409-0.00018069i,0.00054013-0.00021951i
-0.0022088+0.00095536i,-0.0012074+0.00061547i,-0.0013098+0.0019277i,-0.0015562+0.0025336i,-0.00094504+0.0015403i,0.00076586+5.1588e-05i,0.00095608-0.0014581i,-0.00025406-0.0013027i,-0.00036213-0.00028294i,0.00024873+0.00046921i,0.00089146-2.2007e-05i,0.00010467-0.0011788i,-0.0010641-0.00084377i,-0.00107-0.00035523i,-0.0014618-0.00017639i,-0.00073146+0.0001978i,2.2186e-05+0.00066157i,3.9981e-05+0.00032891i,0.00022432-0.00062001i,-0.00010121-0.0014541i,-0.00033141-0.001387i,-8.4699e-05-0.00080043i,0.0003001-0.0013298i
-0.0012049-0.0030327i,-0.0015149-0.0023355i,-0.0018959-0.00090001i,-0.0011763+0.00032084i,-0.00054414+0.00076126i,0.00046995+0.00062637i,0.0017981+3.3777e-05i,0.0018425-0.00016301i,0.00036861-0.00015804i,-0.00066427+0.00024174i,9.4066e-05+0.00059139i,0.00041544+0.00084981i,0.00029348+0.00072531i,0.00023731+0.00019021i,-0.0009122-0.00016296i,-0.00088533-0.00022177i,2.2102e-05-3.886e-05i,0.00037926+0.00011252i,0.00028881+0.00012343i,-0.0001881+0.00084406i,-0.00021833+0.00069971i,0.0002809+0.0007076i,0.00039777+0.0010334i
0.00083701-0.0021067i,-0.00020706-0.0023523i,-0.0012789-0.0029738i,-0.0016881-0.0020583i,-0.00095894-0.0013441i,0.00040081-0.0014848i,0.00090718-0.00078039i,0.00091201-0.00077398i,-0.0001957-0.0012274i,-0.0014576-0.00057918i,-0.0012973-0.00024715i,-0.00081413-0.00024481i,-0.0011778+0.00036593i,-0.0014802+0.00091687i,-0.00083839+0.00095892i,-0.0002088+0.00023454i,9.2528e-05-0.00028568i,0.0003368-0.00015664i,0.00017896-0.00048815i,-7.6578e-06-0.00074926i,-0.00013025-5.6615e-05i,-8.8036e-05+6.9285e-05i,0.00068784+6.9885e-05i
0.0011981-0.00224i,0.00083809-0.0016899i,-3.9659e-05-0.0020939i,-0.00082027-0.0016768i,-0.00077289-0.00039656i,-0.0009915-0.00016576i,-0.0011105-0.00053758i,-0.00036939-0.00026352i,8.0735e-05-6.6517e-06i,-0.00063339-0.00028773i,-0.0011217-0.0001064i,-0.0013419+0.00041036i,-0.0017308+0.00045174i,-0.001362+3.7674e-05i,-0.0007487+0.00019006i,-0.0010375+0.00041681i,-0.00062626+0.00036552i,-0.00063357-0.0002849i,-0.00068526-0.00054574i,-0.00027779-0.00052601i,-7.0305e-05-0.00054053i,-7.9617e-05-0.00078713i,0.00020567-8.7621e-05i
-0.0033762+0.00018705i,-0.0032342+0.001023i,-0.003367+0.0028248i,-0.0017014+0.0029095i,0.00036208+0.0025292i,0.0013047+0.0016828i,0.0010774+0.00030494i,0.00089466-0.00067699i,0.00094332-0.00028378i,9.1435e-05+0.00026005i,-3.7673e-05+3.8605e-05i,0.00012321+0.00047454i,-0.00028314+0.00095817i,-0.00046081+0.00059941i,-0.00038503+0.00011076i,0.00055569-3.2639e-05i,0.0013371+0.00032887i,0.00073148+0.00038649i,-0.0003259-7.0492e-05i,-0.0010324+0.0001258i,-0.00057914+0.00031163i,0.00040852-1.3407e-05i,0.00088502-0.00054922i
0.00023683+0.00021269i,-1.6995e-06+2.1287e-05i,0.00057093+0.0002218i,0.0016122+0.00048731i,0.0010872-2.6752e-05i,0.00017101-0.00031256i,0.0004101-0.00022926i,0.00080359+9.2548e-05i,0.0015094+0.00025748i,0.0018139+0.00018381i,0.00068475+0.00010179i,-0.00064287+0.00032552i,-0.0010265+0.00020425i,-0.0015199-7.5146e-05i,-0.0019994-0.00044992i,-0.0010782-0.0003637i,0.00029296-0.00019479i,0.0008736-0.00048379i,0.001044-0.00025826i,0.00042212-0.00063672i,-7.9037e-05-0.0015554i,-0.00027311-0.0012993i,-0.00012567-0.00095416i
0.00098552+0.00086934i,0.00020562+0.00058069i,0.00057341+0.00012258i,0.00093422-0.00064455i,0.00022706-0.0011198i,-0.00011385-0.00074787i,0.00034411-0.00095725i,0.00018236-0.0013129i,0.00024085-0.0014923i,0.00088953-0.00089193i,0.00015969+3.0919e-05i,-0.00044967-1.0313e-05i,-0.00017475-0.00019752i,-0.00044452+1.2157e-05i,-0.00060977-0.00047156i,-0.00010169-0.00065061i,0.00026999+0.00029613i,0.00031585+0.00087535i,0.00029597-9.303e-05i,0.00034444-0.000844i,-0.00035828-6.8652e-05i,-0.00073931-5.2568e-06i,-0.00049387-0.00049886i
-0.0024669-0.0011547i,-0.0021888-0.0013831i,-0.001919-0.001138i,-0.0016177-0.00086022i,-0.00090645+0.00030051i,0.00046439+0.0008168i,0.0013718+0.00047396i,0.0011277+0.00026978i,0.00031441+0.00016512i,-0.00022687+0.00040865i,-0.00032818+0.00076456i,-0.00019553+0.00073432i,-0.00014231+0.00070684i,-0.0003206+0.00024986i,0.00012806-0.00033246i,-7.8806e-05-0.0008098i,-0.00036416-0.00079253i,-0.00018404-0.00044456i,1.7379e-05-0.00014356i,-0.00011193+0.00038273i,-0.00061491+0.000363i,-0.00034209+2.9867e-05i,0.00024612-3.649e-05i
0.0025776-0.0009262i,0.0026476-0.0011734i,0.0013441-0.0020795i,-0.00040605-0.002002i,-0.0013204-0.0016231i,-0.00051731-0.0011008i,0.0012709-0.0010183i,0.0014817-0.00053313i,0.000556-0.00021179i,-0.00048302-0.00099363i,-0.00065803-0.00062651i,-0.0007611+0.00028701i,-0.0010219+0.00047348i,-0.0012115+0.00063884i,-0.0011705+0.0003096i,-3.5263e-05+0.00025444i,0.00029619+0.00026361i,-0.00010891-0.00012878i,-0.00017881+0.00042804i,0.00047673+0.00080671i,0.00093323+6.2338e-05i,0.00016498-0.00034817i,-0.00051279+0.00011633i
0.00021601-0.0019101i,-6.8028e-05-0.0021782i,-0.0003949-0.0022592i,-0.00049662-0.0010083i,0.00010877+0.00054833i,0.00075118+0.00075809i,0.00039713-0.00024669i,0.00013084-0.0014405i,0.00019887-0.0012814i,-0.00037467-0.00050361i,-0.00035075+0.00033227i,-0.00020027+0.0010033i,-0.0011889+0.00053824i,-0.0015576+8.5024e-05i,-0.00081464+3.9181e-05i,-0.00029198+0.00015561i,-7.0851e-05+0.00021429i,-3.1378e-06-0.00086438i,-6.6662e-05-0.0011528i,0.00012654-0.00050523i,-0.00017271+0.00039911i,-0.00037485+0.0013721i,0.00052289+0.0013769i
-0.0023168-0.00047638i,-0.0015193-0.00077153i,-0.00222+0.0003198i,-0.0020118+0.0010795i,-0.00025426+0.00053588i,0.00080271+0.00018677i,0.0010201-0.00016295i,0.00079019-0.0011975i,-0.00037499-0.0014785i,-0.00081908-0.00070108i,6.4385e-05-0.0005156i,0.0002818-0.00069035i,-0.00030435-0.00062393i,5.8481e-05+0.00020979i,0.00022969+0.0006248i,0.00010674+0.00021311i,0.00022685-1.5097e-06i,0.00025901+0.00028855i,0.00056882+0.00029685i,0.00088368-0.00065229i,0.00073215-0.0013384i,0.00056787-0.00045621i,0.00051116+7.0142e-05i
0.001217+0.0012796i,0.0012502+0.0016388i,0.001782+0.0022885i,0.0019677+0.0012543i,0.0018796-0.00012861i,0.0015815-0.0010387i,0.0010359-0.0017269i,0.0009408-0.0019187i,0.00082869-0.0007488i,-0.00034603+8.6786e-07i,-0.00093714-0.00098001i,-0.00090418-0.0015303i,-0.00049924-0.00069425i,-0.00070059-0.00017073i,-0.0012788-0.000422i,-0.00092112-0.0003879i,-0.00029149-5.6995e-05i,4.2559e-05-0.00021761i,0.00013354+0.00038161i,0.00060912+0.00045617i,0.00080805-0.00026578i,0.00024117+4.5744e-05i,-3.6006e-05-0.00028476i
0.00096407-0.001387i,0.00040164-0.00071821i,-0.00044745-0.0010968i,-0.00071688-0.0010492i,-0.00044432-0.00074997i,6.996e-05-0.00077611i,0.00042246-0.00048489i,0.00053794-0.00090288i,1.3854e-06-0.0012085i,-0.00069411-0.00013439i,-0.00033332+0.00041527i,-0.00042326+0.00059401i,-0.0014444+0.00038347i,-0.0011245+0.00043034i,-0.0006829+0.0011656i,-0.00090787+0.00081297i,-0.00054874+0.00062211i,-7.4676e-05+0.00066937i,-0.00018255+1.7406e-05i,0.00018494-0.00033842i,0.00056089-3.4166e-05i,-2.4731e-05+0.00026553i,0.00012635+0.0001204i
-0.00033402-0.00024988i,0.00026515-0.0010082i,-1.1061e-05-0.0011747i,-0.00012531-0.00095083i,0.00085842-0.00079332i,0.001586-0.00037933i,0.0017174-0.00028166i,0.0012202-0.00059697i,0.00063077-0.00012373i,0.00041555+0.00044518i,-1.4321e-05+0.0004909i,-0.00076434+3.2544e-05i,-0.00094081-0.00075831i,-0.0012806-0.00057728i,-0.0014545-0.00058934i,-9.416e-05-0.00047831i,0.0010688-0.00033374i,0.00069045-0.00035317i,0.00026591-0.00032215i,0.00041792-0.00087771i,0.00033405-0.00094352i,0.00023941+0.00050895i,-4.4752e-05+0.00086493i
-0.001573-0.002412i,-0.0010045-0.0014493i,-0.00077716-0.00048736i,-0.0010412+0.00039662i,-0.00055141+0.00094537i,0.00055451+0.00046284i,0.00098109+0.00018849i,0.00025674-0.00052456i,0.00029471-0.00097625i,-0.00023137-9.9846e-05i,-0.0013025+0.00015043i,-7.8876e-05+0.00021791i,-0.00026244+0.00041019i,-0.00064763+0.00022464i,0.00061969+0.00051746i,0.00050146-1.1021e-06i,0.00013999-0.00068013i,0.00051311-0.00014893i,0.00076543+0.00013155i,0.00090748+0.00032995i,0.00077326+0.00055902i,0.00022312-1.3614e-05i,0.00023777-0.0009093i
0.0013432+0.00046196i,0.0016402+0.00066736i,0.0016463+0.00036897i,0.0011704-0.0010229i,0.00027154-0.0016606i,0.00039127-0.0017453i,0.00050353-0.0011454i,-0.00011359-0.00023548i,-0.0005054-0.00033445i,0.00018095-0.0011371i,0.00080477-0.0016446i,0.00068797-0.0020288i,-0.00029942-0.001459i,-0.0014723-0.00027849i,-0.0013721-0.00040115i,-0.00040954-0.00077413i,0.00023739-0.0008517i,0.00085492-0.00070291i,0.0010063-0.00075888i,0.00063328-0.001417i,0.00059927-0.00093133i,-2.4001e-05-0.00062615i,-0.00065664-0.0008313i
-0.000513-0.0019771i,-0.0006388-0.0026149i,-0.0014682-0.003008i,-0.0018368-0.0015342i,-0.001218-0.00067254i,-0.000387-0.00031498i,0.00032652-0.0004685i,0.00060361-0.00061315i,0.0001361-0.00087037i,-0.00077549-0.0009307i,-3.5577e-05-0.00041951i,0.0012501+1.9191e-05i,0.00063864+0.00031993i,-0.0010873+0.0005712i,-0.0010481+0.00043314i,1.6146e-06+0.00033784i,0.0010446+0.0001638i,0.001074+0.00034413i,-0.00044641-9.9764e-05i,-0.00065483+4.2869e-05i,-0.00036287-4.5372e-06i,-0.00056006-0.00077554i,-0.00047325-0.00061348i
-0.0011558+0.00018266i,-0.00035945+0.00058976i,0.00044687+0.00030181i,0.00039741+0.00052969i,0.00045463-6.2398e-05i,0.0010883-0.00084868i,0.00071041-0.00072757i,-0.00020725-0.00087049i,-0.00014813-0.00087243i,-7.4376e-05-0.00086126i,-0.00035667-0.00073476i,-0.00031505+9.4644e-05i,-0.00034545+0.0002513i,-0.00040232-0.0004131i,-0.00064622-0.0007909i,-0.00081229-0.00082219i,-0.00071122+0.00013446i,-0.00015884+0.00046687i,0.00016066-0.00015639i,0.00076178-0.00023115i,0.00070731+0.00011245i,0.00036716+0.0001844i,4.9993e-05+0.00011661i
-0.0006442-0.0017247i,-0.0022433-0.0018843i,-0.0028194-0.0018078i,-0.0019798-0.00036416i,-0.00059412-0.00013023i,0.00036041-0.00028236i,0.0009199-0.0010948i,0.00066295-0.0023116i,-0.00022718-0.0021181i,-0.0012629-0.0012489i,-0.0018725+0.00031903i,-0.0014107+0.0008913i,-0.00092584+0.0011545i,-0.00020889+0.0014366i,0.00033156+0.00069883i,5.6749e-06-0.00021262i,-1.9665e-06-6.4162e-05i,0.00038058+0.00040098i,0.00089358-0.00012279i,0.00073574+0.0001074i,-0.00026459+0.00077569i,-0.0003113+0.00043888i,0.00046645+3.5345e-05i
-0.00017192-0.0012002i,-0.0011423-0.0014188i,-0.0028633-0.00059492i,-0.0018651+0.0004429i,-4.5789e-05+0.0012497i,0.00045378+0.00070005i,-0.00011908+0.00017398i,-0.00059068+0.00022201i,-0.00067939+0.00043169i,-0.001148+0.00033303i,-0.0011186+0.00084424i,-0.00079897+0.00053131i,-0.00051706-0.00012238i,-0.00048574-6.1067e-05i,-0.0011542-0.0003252i,-0.0010406+0.00014239i,-0.00031675+0.0006134i,0.00013478+0.00028056i,0.00049289-0.000302i,0.00055183-0.00042402i,-0.00032257-0.0005399i,-0.00055516-9.6107e-05i,-8.2369e-05+0.00012729i
-0.0023158+0.00092067i,-0.0012342+0.001161i,-0.00020023+0.0014848i,0.001125+0.00079735i,0.0016458+0.00045481i,0.0013153+8.3183e-05i,0.001067-0.00059601i,0.00075632-0.00086031i,0.00069571-0.00090335i,0.00031568-0.00093188i,0.00014829-0.0013532i,0.00021271-0.0010246i,-0.00055582-0.00028158i,-0.00094799+0.00053386i,-0.00060758+0.00083886i,-0.00065766+0.00019871i,-0.00099348+0.00057709i,-0.00045129+0.00088351i,0.00061783+0.00049363i,0.00057417+0.00097022i,0.00026249+0.00069774i,0.0004583+1.1482e-06i,0.00069628+5.372e-05i
-0.00067424+0.00019654i,-9.3749e-05+0.00083556i,-0.00022287+0.0013979i,0.0001807+0.0015472i,0.00096842+0.00089744i,0.0018962-0.00047898i,0.0022651-0.0011102i,0.0010912-0.00099128i,-3.2976e-05-0.00013548i,-0.00078144+0.00090616i,-0.0011367+0.00096393i,-0.00085954+7.1552e-05i,-0.00064003-0.00020797i,-0.001227-0.00028773i,-0.0011273-0.00036983i,-0.00072523-0.00029474i,-0.00058447-0.0006851i,-1.9407e-05-0.00090174i,0.00018947-0.0004776i,-0.00039783-0.00013456i,-0.00036582+0.00030453i,0.00014627+0.00083198i,5.167e-05+0.00072214i
