-0.00073545+0.00057236i,-0.0010366+0.001625i,-0.0022237+0.0041233i,-0.0018304+0.0039405i,-0.001213+0.0026914i,-0.0011364+0.0014879i,-0.00097366+6.4053e-05i,-0.00016998+0.00012068i,0.00039205+0.0011437i,-0.00019611+0.00095664i,-0.00064676-0.000374i,-0.00010068-0.00044762i,0.00051778+0.00022273i,0.0013765+8.9883e-06i,0.001266+0.00029394i,0.0002164+0.00045748i,-0.00013764+0.00010606i,-7.9678e-05-0.00054378i,1.9454e-05-0.00068265i,-0.00012139+0.0008434i,-0.00033738+0.0017928i,-0.00062906+0.0006552i,-0.00018526-0.00024481i
0.0011005+0.00040829i,-0.00096444+0.0017904i,-0.0013674+0.0038203i,-0.00029164+0.0039807i,0.00036257+0.0021749i,-0.00064404+0.00087842i,-0.0012341+0.00047837i,-0.00035832+0.00053372i,0.0003886+1.1053e-05i,0.00047498-0.00038037i,-0.00012318+3.0283e-05i,-0.00050111+0.00050128i,0.0002612-4.4213e-05i,2.6825e-06-0.00042962i,-0.00078447-0.00076752i,0.00023043-0.00097337i,0.0011776-0.0004515i,0.001093-0.00079232i,0.00038529-0.0009124i,-0.00016746-0.00015187i,-0.00032949+0.00056087i,-0.00050097+0.00039678i,-0.00035462+0.00055829i
4.8586e-05+0.00041693i,-0.00052168+0.0015398i,-0.001113+0.0038355i,-0.00085161+0.0038232i,-0.00035136+0.0018705i,-0.00062394+0.00065419i,-0.00040512+0.00062153i,-0.00028264+8.0611e-05i,2.0149e-05-0.00056099i,0.0010418+4.8077e-05i,0.0013894+0.00040381i,0.00085248+0.00011299i,-0.0002552-6.8342e-05i,0.00023219+0.00040598i,0.00072275+0.00029814i,1.9912e-05-0.00010952i,3.3874e-05+8.0255e-05i,0.00010858+2.2853e-05i,-0.00047419-6.0431e-05i,-0.00018712-0.00015845i,0.00039385+0.00056266i,-0.00012029+0.0010692i,-0.00054661-3.9202e-05i
0.0013857+0.00091125i,0.0010606+0.0017905i,0.00063149+0.0022382i,0.00055031+0.0022179i,-0.00027915+0.0012708i,-0.0011499+0.0011983i,-0.0014026+0.0011053i,-0.0011573+0.0013463i,-0.0010552+0.00054775i,-0.0010715-0.00054464i,-0.00045657-3.2943e-05i,0.00010845-0.0001729i,0.00055671-0.00098221i,0.00049685-0.00023223i,-0.00016878+0.00023286i,-0.00023822-0.00069167i,-0.00020907-0.00039517i,-0.0013821+0.0002444i,-0.0018254+0.00019106i,-0.00089875+0.00026704i,-0.00021974+0.00037148i,0.00022475-0.00020801i,-0.00026445-0.00012134i
0.0012023+0.00036869i,-2.1081e-05+0.0008783i,-0.00018545+0.0020984i,0.00049789+0.0018356i,-0.00028235+0.00092561i,-0.00093192+0.00086639i,0.00026393+0.00067635i,0.0010567+0.00080555i,0.00088671+0.00059034i,0.00069233+0.00011724i,0.00030476-0.00021857i,0.00029108+0.00018804i,0.00045535+0.00084247i,0.00085538+0.00091993i,0.00082503+0.00096503i,0.00053353+0.00067343i,0.00034605+0.00092686i,0.00016018+0.00077599i,4.9709e-05-0.0003805i,-0.00073476-0.00061147i,-0.0011339+0.00020435i,-0.00047931+0.00059516i,-9.2096e-05+0.00027096i
0.00062471+0.0018908i,-0.00014799+0.0031089i,0.00084935+0.0038011i,0.0024985+0.0029802i,0.0018187+0.00089596i,-0.0011366-0.00074901i,-0.0015308-0.00073911i,-0.00023968+0.00046831i,-0.00037876+0.00058061i,-0.00045593+2.1438e-07i,0.00069502+5.9331e-06i,0.0014572+2.0884e-06i,0.0006594+0.00037909i,0.00098988+0.0012486i,0.001098+0.00098382i,0.00028954-0.00017589i,0.00070543-0.00038351i,0.00057693-0.00014156i,-0.00012948+0.00014152i,0.00035319+0.00049919i,0.00042768+0.00072082i,-0.00045619+0.00035277i,-0.00063445-0.00048353i
0.00023259+0.0017726i,0.00023788+0.0024011i,0.0010358+0.0031153i,0.0020103+0.0019522i,0.002322-0.00080106i,0.0010584-0.0019425i,-0.00045757-0.0012688i,-0.00019703-0.00038473i,0.00019217+9.9682e-05i,0.00038735+0.00065255i,0.00060178+0.0007732i,0.00047305+0.00011319i,0.00028742-5.208e-05i,0.00076586+0.00036737i,0.0013182+0.00063641i,0.0012903+0.00030033i,0.00075562+8.9044e-05i,-0.0003996+2.0235e-05i,-0.00085361+0.00055423i,-0.00024236+0.00079029i,0.0002392+0.00012442i,-5.0785e-05+0.00021263i,0.00012693+0.00016964i
-0.00027841+0.0010716i,0.00042793+0.0021351i,0.0011415+0.0037238i,0.0010835+0.0035317i,0.00020182+0.0023975i,-0.000531+0.0014797i,-0.00058264+0.00093149i,-0.00028235+0.0012605i,-0.00029431+0.0018689i,-0.00029657+0.0016876i,-7.6336e-06+0.00070749i,-0.00025076+0.00026512i,2.8254e-05+0.00068233i,0.0010037+0.00088118i,0.0017646-2.6515e-05i,0.001249-0.00057098i,0.00019952-0.00053544i,0.00017837-0.00094037i,0.00031316-0.00053047i,0.00031379+0.00043654i,0.00015773+0.00073785i,-0.0002937+0.00056466i,-0.001158+0.00036442i
-0.0010064+0.00019782i,-0.00014703+0.0028506i,0.00095864+0.0055647i,0.0017984+0.0048909i,0.0017524+0.0017598i,0.00046954-0.00042797i,-0.000274-0.00060156i,0.0003034-0.00018185i,-0.00018576+0.0002091i,-0.0012373+0.0012702i,-0.0010972+0.0013884i,5.0009e-05+0.0015927i,9.6892e-05+0.0018184i,-0.00022908+0.0013602i,0.0003531+0.00082884i,0.00093611-0.00023424i,0.00078314-0.00074289i,0.00048496-0.00067157i,0.00027452-3.0805e-05i,0.00024282+0.0011177i,0.0002118+0.00060779i,-0.00050601+2.2244e-05i,-0.00082174+0.0003196i
0.0013882+0.0005214i,0.00097935+0.0028598i,8.9441e-05+0.0049199i,0.00026335+0.0046249i,0.00083815+0.0028947i,0.00074786+0.0020032i,0.00019576+0.0015602i,0.00038756+0.00091903i,0.0012698+0.00066884i,0.0016923+0.00072743i,0.0014029+0.00022193i,0.0014601+0.00028116i,0.0014077+0.00068078i,0.00034348+0.0005306i,3.3891e-05+0.00026936i,0.00088058-0.00011318i,0.00083357-0.00012763i,0.00039961+0.00083857i,0.00040841+0.00074671i,-9.7591e-06+0.00017026i,-0.00070805-0.00069549i,-0.00089596-0.00095148i,-0.00029886-0.0006013i
0.0015374-0.00032496i,0.00052543+0.00095864i,3.3236e-05+0.001395i,0.00095944+0.0011748i,0.00095399+0.00057322i,-0.00095514-0.00012366i,-0.0016984-0.00010614i,-0.00077053-0.00070794i,-0.00013278-0.0015762i,0.00014563-0.0013566i,0.0005205-0.00092661i,0.00052582-0.00091193i,0.0002433-0.000353i,-0.0005978+0.00013222i,-0.00022669+0.00022251i,0.00031321-0.00017762i,0.0006469-0.00016382i,0.00056032+0.00039292i,0.0002435+0.0007764i,0.00031796+0.00060481i,-0.00019939+4.0593e-05i,-3.1918e-05-0.00045992i,0.00054017-0.00068666i
0.0014849+0.0011324i,0.0010764+0.0021826i,0.00077128+0.0027936i,0.00032624+0.0026626i,-0.00037857+0.0010308i,-0.00056873+0.00034114i,-0.00069947+0.0016072i,-0.0011008+0.0015353i,-0.000953+0.00050485i,-0.00059612-0.00032146i,-0.00034442-0.0011251i,0.00033155-0.0014502i,0.00033601-0.00052216i,-0.0010124+0.00056962i,-0.00071694+6.7121e-05i,0.00026991-0.00029003i,0.00047698+0.00013476i,4.5716e-05+0.00057088i,-0.00014936+0.00086204i,-8.0468e-06-0.00018529i,3.5169e-05-0.0014187i,0.00029658-0.00038257i,-1.0739e-07+0.00044805i
0.00038187+0.0014647i,2.8163e-05+0.0021573i,7.5637e-05+0.0024563i,0.00079924+0.0011978i,0.00040229-0.00013438i,-0.000724-8.5747e-05i,-0.0010132+0.00016758i,-2.8706e-05+6.46e-05i,0.00039628+0.00077723i,-0.0004117+0.0010999i,-0.00013694+0.001075i,0.00021416+0.00092651i,-0.00010386+0.00040465i,-2.8593e-05+9.5675e-05i,0.00052429+0.00024618i,0.00066641+0.00047361i,0.00083+0.00041127i,0.00030699+0.0010226i,-0.00033833+0.00061134i,-0.00038009-0.00038999i,-8.8663e-05-0.00077555i,7.4937e-05-0.00057303i,0.00010964-0.00022694i
0.00040235+0.0017677i,0.00025627+0.0024989i,-1.7205e-05+0.0034863i,-0.00019579+0.0033224i,-0.0012016+0.002319i,-0.0012947+0.0014381i,-0.00043328+0.0010614i,-0.00038854+0.001222i,-0.00074931+0.0015339i,-0.00090817+0.0013308i,-0.00075947+0.00023289i,-0.00069885-1.9934e-05i,-0.00031266-8.4324e-05i,0.00028443+0.00022685i,0.00065309+0.00033286i,0.0010369+0.00032073i,-1.6606e-05+0.00035716i,-0.00082615+4.5972e-05i,-0.00018852+5.5074e-05i,-5.3271e-06+0.00043186i,-8.2466e-05+0.00029589i,-4.0342e-05+0.00016841i,-0.00073085+0.00035071i
0.00082609+0.0013218i,5.359e-05+0.0023517i,0.0003861+0.0034331i,0.0010967+0.0017851i,0.00066162-3.9551e-05i,-0.0012415+0.00057413i,-0.0023333+0.00099591i,-0.0015612+0.00014028i,7.9258e-05-0.00026974i,0.00058394-0.00050456i,0.00023793-0.00046838i,-0.00017782-0.00033515i,-8.0337e-05-0.00063752i,0.00062329-0.00083828i,0.00072979-0.0010595i,0.00060765-0.00062945i,-0.0002475-5.6286e-05i,-0.00035194-0.00018916i,-0.0006859+0.00022833i,-0.0011523+0.00085785i,-0.00062103+0.00084509i,-3.6082e-06+0.00032796i,0.0001762-0.00012133i
-0.00037293+0.0014756i,-0.00072016+0.0022379i,0.00022382+0.0035885i,-7.7408e-05+0.0033824i,-0.00065499+0.0019581i,-0.00087771+0.0010336i,-0.0010421+0.0009512i,-0.00068482+0.00075942i,0.00011165+0.00033556i,-0.00038562+3.0491e-05i,-0.0009953-0.00011254i,-0.00075266+0.00030613i,-0.0006806+0.001083i,-1.4946e-05+0.0011141i,0.00084163+0.00082537i,0.00049376+0.00074943i,-0.00058027+0.000103i,-0.0010403+0.00028802i,-3.0625e-05+0.00032942i,0.00014065+9.147e-06i,-0.00018492+0.0010599i,0.00024895+0.0013025i,0.00052294+0.0005281i
-0.0007306+0.0015977i,-0.00038043+0.0022973i,0.00034439+0.0041691i,0.0011554+0.0034019i,0.0019212+0.0011658i,0.001507+0.00058174i,0.0012767+0.00044127i,0.0010845+0.00018706i,-6.8114e-05+0.00057495i,1.3816e-05+0.0010853i,0.00090983+0.0011817i,0.0012449+0.00096614i,0.0010489+0.00061842i,0.00043061+0.00057175i,-0.00012489+0.00041229i,-0.0002563-0.00030096i,-0.0002415-0.00089119i,-0.00037213-0.0010491i,-0.00014126-0.00084264i,-0.00020136-0.00019794i,-0.00056094+0.00024264i,-8.3479e-06+0.00011195i,0.00032255+6.0861e-05i
0.0015266+0.00078922i,0.0001558+0.0013344i,0.00016949+0.0023842i,0.00070958+0.0021741i,-0.00032912+0.0010619i,-0.0010954+0.00062641i,-0.0005239+0.00025399i,0.00032634+0.00040662i,0.00040855+0.0011748i,-0.00016435+0.0015509i,-0.00036006+0.00116i,-0.00030553+0.00053967i,0.00021975+0.00044127i,0.0012501+0.00054293i,0.0017293+0.00022741i,0.00062915-0.00021311i,-0.00044038-0.00017464i,-0.00013071-0.00044771i,0.00046645-0.00034868i,9.7132e-05+0.00034693i,-0.00026657+4.7954e-06i,-1.2974e-05-0.00026622i,-0.00019638-0.00095228i
0.00144+0.00075077i,0.0008383+0.0014312i,0.00013113+0.0015489i,0.00052189+0.0012449i,-0.00027367+0.00013616i,-0.0015816-4.0075e-05i,-0.0022032+0.00084433i,-0.0016107+0.00037834i,-0.00070579+6.6575e-06i,-0.00055742+0.00046444i,-0.00044655+0.00044967i,4.3369e-05-0.00030296i,-0.00014883-0.0002663i,-0.00019185+0.00051779i,0.00024643+0.00072108i,-0.0001891+0.00037021i,-0.00010841+0.00033166i,1.4384e-05+0.000401i,1.2998e-05-0.00033346i,-0.00028332-0.00054553i,-0.00089979-0.00061456i,-0.0011922-0.00066998i,-0.00058373+0.00024469i
0.00021477+0.00079486i,3.9831e-05+0.0025478i,-0.00011268+0.0038733i,-0.00010818+0.0029509i,-0.00053297+0.0013278i,-0.00096486+0.00053002i,-0.00075257+0.00060528i,-0.00012411+0.00066374i,-0.00014033+0.00061149i,-0.00051435+0.0007694i,-0.00078063+0.00087904i,-0.0011001+0.001521i,-0.00058424+0.0020156i,0.00027017+0.00095544i,0.0001989+0.00021884i,-6.776e-05+0.00036804i,0.0001408+0.00034994i,0.00029824-0.00010513i,7.7075e-05-0.00038281i,-0.00054683-0.000945i,-0.00040108-0.00059528i,0.00051523+0.00060228i,0.00074129+0.00043222i
0.0014068+0.0019177i,0.0016894+0.0022704i,0.00040256+0.0028812i,0.0008414+0.0020103i,0.00036153+0.0011137i,-0.0014408+0.0009832i,-0.0010103+0.00099741i,0.00089464+0.0011301i,0.00080778+0.00087458i,-0.00043615+0.00058039i,-0.00040601+0.00053231i,3.2375e-05+0.00096902i,0.00034957+0.0007347i,0.00061418+0.00015641i,-3.4361e-05+3.3653e-05i,-4.5719e-05+0.00029707i,0.00096972+0.00048287i,0.00090597+0.0001247i,4.5371e-05+0.00059195i,-0.00063477+0.0011933i,-0.00033878+0.0010961i,-0.00017819+0.00070597i,6.5957e-05+0.00043315i
0.0015132+0.00085917i,0.00099731+0.0014542i,0.00094079+0.002608i,0.00068011+0.0019711i,-6.3869e-05-8.8931e-05i,-0.0013859-0.00049159i,-0.0015821-3.9346e-05i,-0.0011338-0.00039588i,-0.00015981-0.00086683i,0.00015529-0.00036424i,0.0001422-0.00016322i,0.00060678-0.00042841i,0.0005914-0.00016229i,0.0012691+0.0004914i,0.0017134+0.00040495i,0.0018954+3.3679e-05i,0.0014232+0.00026729i,0.0005618+0.00060891i,-0.00026017+0.0010545i,-0.0011349+0.0011164i,-0.0012052+0.00083703i,-0.00033014+0.00044705i,0.00049681-1.2591e-05i
-0.00095319+0.0008747i,-0.0011521+0.002548i,-0.00084145+0.0041151i,0.0004656+0.004138i,0.00068951+0.0021379i,-0.00027673+0.00049111i,-0.00069482+0.00049864i,-0.00048191+0.00059377i,-0.00063122+0.0004258i,-0.00081411+0.000203i,1.0204e-05-0.00050187i,0.00071933-0.00087536i,0.00034275-0.0007021i,0.00043308+0.00013427i,0.00029294+2.6681e-05i,-8.8797e-06-0.00080049i,-8.0585e-05-0.00068541i,-0.00015048-0.00084729i,-0.00011162-0.00048038i,-0.00014204-0.00018725i,-0.00079522-0.00025031i,-0.0011516+3.0879e-05i,-0.0008462-0.00041687i
0.0025336+0.00074355i,0.0026894+0.0017772i,0.0018056+0.003076i,0.0012843+0.0019414i,0.00061277-0.0011597i,-0.001273-0.0013183i,-0.0012859+0.00025174i,-0.00029224+0.00080531i,-0.00034707+0.00057012i,-0.00072718-5.878e-05i,-0.00074639-0.00037239i,-0.00015839-0.00012261i,-0.00023686+0.00060942i,-0.00011883+0.00089i,0.00030266+0.0007825i,0.00022919+0.00023009i,0.00032791-0.00032621i,0.00094144+8.6042e-05i,0.00082213+0.00048109i,0.00050207+0.00050984i,0.00068075+0.00028081i,0.00043244+0.00035535i,-0.00010128+1.2549e-07i
0.0015867+0.00048892i,5.8793e-05+0.001908i,-0.0011447+0.0029726i,-0.0010156+0.0028861i,-0.0010773+0.0025514i,-0.0016859+0.0018523i,-0.0014499+0.00076795i,-0.00010411+0.00052283i,0.0008403-0.00031411i,0.00078349-0.00055314i,0.00065573-0.00048891i,0.00080778+0.00022251i,0.0006792+0.0013137i,0.00012153+0.0011453i,0.00028063+0.00063693i,0.00054827+0.00046067i,0.00029649-5.3108e-06i,-2.0576e-06-0.00032832i,-0.00066624-0.00030756i,-0.0010356-0.00035905i,-0.00020957+6.5284e-06i,7.0727e-05-0.0001109i,-0.00046304-0.00034267i
0.0005687+0.0013264i,0.00084705+0.0019894i,0.0014347+0.0017156i,0.0018309+0.00075132i,0.00065628-0.00064294i,-0.00067015-0.0012026i,-0.00051207-0.00072871i,0.00018821-0.001332i,0.00019349-0.001329i,7.9232e-05-0.0004468i,0.00074343-0.00047068i,0.0007483-0.00033768i,0.00035795+5.6918e-06i,8.8167e-05+0.00019798i,5.8085e-05-0.00017024i,-4.2155e-05-0.00056285i,-0.00062524-0.00074632i,-0.00049433-0.00061408i,6.1132e-05-5.832e-05i,0.00044321+0.00078132i,-0.0001027+0.00093732i,-9.8362e-05+0.00019331i,7.7898e-05+0.00012597i
0.0012538-0.0008499i,0.00083724+0.0014564i,-0.00015069+0.0041555i,-0.00074681+0.0045269i,-0.0013212+0.0031326i,-0.0017217+0.0013149i,-0.0011979-0.00019319i,-0.00015247-0.00075953i,0.00028373-0.00098949i,1.3785e-05-0.00062606i,0.00026158-0.00019616i,-0.00036104-0.00090839i,-0.00088616-0.00078613i,0.00021603-6.2526e-05i,0.00095961+0.00023188i,0.00080208+0.0002421i,0.00075768+0.00052944i,0.00050416+0.00069407i,0.00040264+0.00039041i,-3.6401e-05-2.74e-05i,-0.0003026+0.00019069i,-0.00024693+0.0005801i,-0.00049424+0.0002885i
0.00020926-0.00021363i,-0.00068193+0.0011578i,-0.0011915+0.0014366i,-0.000601+0.0011017i,0.00056482+0.0010561i,0.00013718+0.0010929i,-0.00014037+0.0011115i,0.00040474+0.00073492i,-0.00055645+0.00013763i,-0.0011662-3.1591e-05i,-0.00074917+2.8061e-05i,-0.0001964+0.00049203i,0.00043741+0.0012839i,1.8472e-05+0.001502i,0.00038089+0.0011589i,0.0012699+0.00086074i,0.00030882+0.00097423i,-0.00059864+0.00026364i,-0.00031973-0.00098875i,-9.0841e-05-0.00084794i,-0.00038102-0.00059584i,-0.0004857-0.00099036i,-0.00029534-6.3532e-05i
0.0009756+0.00043256i,-0.00033029+0.0019138i,-0.00053367+0.0033315i,-0.00046762+0.0040136i,-0.00099622+0.0026103i,-0.00094368+0.00036246i,-0.0010542+0.00023596i,-0.00031532+0.00054832i,0.0010183+0.00044523i,0.0020124+0.00032305i,0.0019548+0.00037045i,0.00066599+0.00025528i,0.00038653+0.000281i,0.00052722+0.00025274i,0.00047763-0.0002122i,0.0007215-0.00047823i,0.00046238-0.00039366i,0.00017944-0.00045857i,-0.0001831-0.0006389i,-8.8626e-06-3.3791e-05i,0.00050593+0.00029759i,0.00067118+0.00027896i,0.00028556+0.00038307i
0.0006061+0.0021795i,0.00046076+0.0020672i,0.00093886+0.0021005i,0.0017659+0.0014008i,0.0008223-0.0002537i,-0.00099807-0.0011279i,-0.0012093-0.0007789i,-6.0231e-05-2.2762e-05i,0.00034392+9.0597e-06i,-0.00019495-0.00033215i,-6.8481e-05+4.9864e-05i,0.00012409+0.00040362i,0.00016015+1.6686e-05i,0.00054753+0.00032784i,0.00085746+0.00073186i,0.00079446+0.00061366i,0.0005871-0.00031947i,-8.1998e-05-5.6951e-05i,-0.00017605+0.00096102i,0.00051325+0.00065567i,0.00081917-0.00024712i,0.0014556-0.00032947i,0.000401+0.00021611i
-0.00020874+0.0010664i,0.00057416+0.0028491i,0.00058364+0.0046052i,0.00084382+0.0042038i,0.0010058+0.0023097i,0.00099976+0.00091588i,0.00033216+0.00047038i,-0.00072294-6.0893e-05i,-0.0005852+0.00025505i,-0.00026255+0.00099367i,-0.00026711+0.00074931i,8.1081e-05+0.00034271i,0.00071226+0.00036348i,0.0001617+0.00025215i,7.2036e-05+0.00025384i,0.0011356+0.00028244i,0.00080991-0.00019043i,-0.00011588-0.00032263i,-0.00055504-0.00020664i,-0.00057327-0.00013331i,-5.6899e-05+0.00011087i,0.00012944+0.00023975i,0.00010228+0.0011975i
0.00037919+0.0023254i,-6.8636e-05+0.0032071i,0.00059773+0.0043769i,0.001031+0.0031413i,0.00039358+0.00011837i,-0.0011116-0.00099171i,-0.0013314-0.00029784i,-0.00059341+0.00058938i,-0.00050829+0.00050134i,-4.5412e-05+8.9155e-05i,-4.4487e-05+0.00027945i,-0.00049881+0.00069316i,-0.0013536+0.0012442i,-0.0011304+0.0015624i,0.00010669+0.00096884i,0.00091877-5.5094e-06i,0.00097748-4.3713e-05i,0.000486-7.9593e-05i,-0.00012447-0.00011576i,-0.00037952-0.00014734i,-9.0544e-05+8.7429e-05i,0.00047286+5.106e-05i,0.00033358-0.00028201i
0.00013151+1.5209e-05i,-8.6229e-05+0.001193i,-0.00042261+0.002603i,2.0933e-05+0.0029902i,0.00019854+0.0024355i,-0.00061918+0.0011091i,-0.00073778+0.00035119i,0.00011744+0.00070913i,0.00030935+0.0012015i,0.00051438+0.00079507i,0.00098869+0.0010852i,0.0014098+0.0011301i,0.0011973+0.00082648i,0.00031419+0.00073297i,9.2558e-05+0.00011354i,-0.00019054-0.00048851i,-0.0007014-0.00042578i,-0.00051557+0.00026236i,0.00030944+0.0007572i,0.0004027+0.0007101i,-0.0002316+0.00029007i,-0.00053132+0.00027505i,-7.8595e-05+0.00050918i
