0.0005738+0.0004171i,0.0014062+0.00041066i,0.0015939+0.00052567i,0.00043376+0.00063257i,-0.00039569+0.00037585i,0.00017188+9.2064e-05i,0.0011913+0.00010135i,0.00091027+0.00032461i,-3.1045e-06+0.00080306i,0.00031858+0.00071388i,0.0011386+0.00046111i,0.00044804+0.00084638i,-4.4722e-06+0.00042094i,-4.4597e-05+0.00021439i,-0.00017989+0.00045431i,-0.00042944+0.00048548i,-0.0004222+0.00046939i,-0.00040785+0.00015665i,-0.00045625-0.00011796i,-0.00011286+0.00036198i,0.00016351+0.00040258i,0.00074619+0.00014i,0.00048313-0.00011619i
-0.0014679-0.00027244i,-0.00089138-0.00049327i,-0.00062775+5.9368e-06i,-0.0008865+0.00025597i,-0.00026758+0.00089506i,0.00081975+0.0012615i,0.0013082+0.00068275i,0.0012883+0.00019973i,0.00088309-0.00027875i,0.0002466-0.00057447i,-0.00031763-0.0001451i,9.8146e-06+0.0003986i,0.00083124+0.00019244i,0.00063007-0.00045038i,-0.00015375-0.00081802i,-0.00011323-0.0011226i,0.00037733-0.0013278i,3.1896e-05-0.0014262i,-0.00057339-0.00038251i,-0.00085209+0.0004189i,-0.001055+0.00037885i,-0.0010906-0.00028838i,-0.00074092-0.0017184i
0.0028333+0.0011948i,0.0026986+0.00027037i,0.0025261-0.0010325i,0.0010716-0.0016223i,-0.00088612-0.00055862i,-0.00031205+0.00093i,0.00070931+0.00080378i,0.00051622+0.00071356i,0.00058872+0.00031218i,0.00071578-0.00033762i,0.00044268-0.00038223i,-0.00028304-0.0001847i,-0.00044517+0.00026876i,0.00068682+0.0011059i,0.0011508+0.0010554i,0.00044469+0.00031791i,-1.8703e-05+0.0007221i,2.7931e-05+0.00072768i,-0.00011547+0.00048528i,-0.00025547+0.00041352i,9.4353e-05+0.00065686i,0.00023246+4.1158e-05i,0.00018427-0.00050571i
0.0011497-0.0010197i,0.0014145-0.0011221i,0.00066487-0.00046004i,-0.00038904-0.00018099i,-0.00099328+0.00010614i,-0.00059292-1.1201e-05i,-2.3467e-06-0.00047438i,0.00020217-0.00054376i,0.00056005-0.00066415i,0.0010494-0.00072429i,0.00080266-4.9521e-05i,0.00077996+9.2577e-05i,0.00094221-0.00028174i,0.00038144-0.00041207i,0.00019873-0.00057035i,0.00014951-0.00018379i,0.00041785+1.9729e-06i,0.00076691+6.5315e-06i,0.00084432+0.00040462i,0.00060542+0.00027458i,-0.00032821+6.4701e-05i,-0.00067322+0.00032324i,-0.00045145+0.0003161i
-0.0022903+0.0016989i,-0.0022282+0.003278i,-0.00076701+0.0035927i,0.00043509+0.0019721i,0.00097901+0.0011228i,0.0012179+0.00071736i,0.00098627-0.00024399i,0.0012012-0.000521i,0.00083539-0.00033208i,0.00065324-0.00029106i,0.00080101+4.9766e-05i,8.6849e-05+3.2695e-05i,-0.00011446+0.00028243i,-0.00042476+0.00098978i,-0.0010431+0.0010239i,-0.00054645+0.00012704i,-0.00056406-0.00014817i,-0.00091764-0.00010809i,-0.0006236+7.1789e-05i,-0.00013157+0.00047633i,-0.00038434-0.00027361i,-0.00016937-0.00063984i,0.00037599+0.00073242i
0.0027511-0.00019195i,0.0026312-0.00032888i,0.0010224-0.0019764i,0.00036325-0.0020747i,0.00024147-0.00043903i,0.00032552+0.00090022i,0.00060916+0.0012947i,0.00080542+0.00081544i,0.00062531-0.00048488i,0.00072062-0.00094232i,0.00086709-0.00032664i,0.00074141-4.4316e-05i,0.00065916+0.00085012i,8.3646e-05+0.0012916i,-9.1517e-05+0.0011509i,-0.0005587+0.0006298i,-0.00044034-0.0004522i,0.00045405-0.00019329i,2.3529e-05+0.0009734i,-0.00055855+0.0013987i,-0.00089897+0.00080301i,-0.000994+0.0007812i,-0.00014256+0.00039737i
0.0027546+0.0010734i,0.0026724+0.00030178i,0.0024933+5.8301e-05i,0.0016989+0.00025382i,0.00046217+0.00044849i,0.00035517+0.0010103i,0.00086755+0.00088046i,0.0011564+0.00038819i,0.00081351+0.00026265i,0.00062485+0.00032125i,0.00026854+0.00046503i,-0.00015883+0.00071431i,-0.00030311+0.0013443i,-0.00015109+0.0013268i,-0.00025537+0.00098095i,-0.0011879+0.0010482i,-0.0016794+0.0010351i,-0.00059394+0.00035941i,0.00024467-0.00023267i,0.00015649-5.1384e-06i,0.00033492+0.0002211i,0.00011412+0.0001317i,-0.00048646+0.00047857i
-9.4834e-05+0.00069989i,0.00044645+0.00085237i,-7.8471e-05+0.0012832i,-0.00081825+0.00059727i,-0.0012957+0.00075939i,-0.00048203+0.0011458i,0.00093836+0.00062872i,0.00081671+0.0003172i,5.3911e-05-0.00012577i,-2.3411e-05-0.00026616i,-0.00038851-0.00039672i,-0.00055162-0.00023519i,-1.5252e-05+3.6416e-05i,-0.00015588+0.00021565i,-0.00059008+0.00056143i,-0.00039552+0.00051551i,0.00020119+0.00018966i,0.00091019-0.00040458i,0.0003279+7.1808e-05i,-0.00066319+0.00039009i,-0.00038658+8.742e-06i,0.00029667-0.00012201i,0.00027563+0.00037879i
0.0010821-0.00076715i,0.0013907-0.00059136i,0.0009315-0.0008258i,0.0011792-0.00079473i,0.0007974-0.00036496i,0.0013577-0.00024057i,0.0013607-0.00034892i,0.00051012-0.00022386i,-8.7955e-05+0.00093183i,-0.00021287+0.0020237i,2.7999e-05+0.00099065i,4.9098e-05-6.8168e-05i,-0.00011233-0.00013425i,-0.00041245-8.6919e-05i,-0.00020109+0.00011236i,0.00037495-0.00030429i,0.00076658-0.00068051i,-2.0427e-05-0.00042684i,-0.00039812+0.00049526i,6.3817e-05+0.00023044i,0.00042412-0.00075207i,0.00011995+0.00039047i,-3.5685e-05+0.0007212i
0.00083693-0.00051984i,0.0009415-0.00054587i,0.00096895-0.00094957i,0.00046132-0.00078015i,-0.00065308+0.00030353i,-0.00044339+0.00090533i,0.00014192+0.00066996i,0.00024892+0.00042838i,0.00037436+0.00049841i,0.00073715+0.00072905i,0.00078833+0.00090773i,0.00018184+0.0004366i,-8.3251e-05+0.00044234i,0.00028295+0.0011894i,-3.9073e-05+0.001275i,-0.00047814+0.00049829i,-0.00059797+0.00017331i,-0.0010425+0.00068718i,-0.00088176+0.00036528i,-0.00010649-0.00011375i,0.00040703+0.00010112i,0.00021904-0.00013184i,-1.6714e-06-0.00031791i
0.0011528+0.0015676i,0.0024834+0.0010697i,0.0040221+0.0011298i,0.0033808+0.00085185i,0.0014569+0.00091698i,0.0009411+0.00085626i,0.0013308+0.0004628i,0.00042377-0.00012108i,0.0003042-0.00034043i,0.0011206-0.00022498i,0.001185-0.0009402i,0.00074532-0.0010843i,-0.00056224+0.00054035i,-0.0015765+0.00092456i,-0.0012408-4.4528e-05i,-0.00056871-0.00025758i,-0.0010143-0.00046759i,-0.0010545-0.000384i,-0.00045184-0.0004872i,-0.00011397-0.0005184i,0.00036057+0.00027752i,0.00041674+0.0005183i,6.7394e-05+0.00095499i
0.00027332+0.00021937i,0.0012257-0.00040901i,0.0011283-0.00092534i,-0.00047227-0.00022916i,-0.0012431+0.00032542i,-4.3403e-05+0.00089882i,0.0009266+0.0014482i,0.00046254+0.0012909i,0.00090181+0.00045192i,0.00076894-0.00033517i,-2.9186e-05-0.00032226i,0.00021098+0.00013447i,0.00069041+0.00056671i,0.0005691+0.0011595i,0.00019717+0.00082368i,0.00033831+0.0001268i,0.0001911+5.9103e-05i,-5.6955e-05-0.0002007i,-0.00089601-0.0013678i,-0.00094572-0.0015006i,-0.00026099-0.00043437i,1.6727e-06-0.00036868i,0.00034243-2.7123e-05i
0.0014097-0.00080352i,0.0010675-0.00028101i,0.0002857+0.00041343i,-0.00050449+0.00050741i,-0.00151+0.0007585i,-0.0011981+0.00083227i,-4.3183e-05+0.00052659i,6.0415e-05+0.00033335i,0.00010531-0.00014778i,0.00014831-0.00044358i,-0.00043809-0.00010281i,-0.0007947+0.00045573i,5.5125e-05+0.00016783i,0.0011183-8.4728e-05i,0.00081245+0.00017411i,0.00061118+0.00064743i,0.00056951+0.00097122i,-0.00031109+0.00010827i,-0.00016324-0.00066275i,6.1772e-05-0.00065237i,-0.00020871-0.00039586i,3.209e-05-0.00055219i,0.00023791-0.00020499i
7.9081e-05+0.00041958i,0.00016878+0.00031501i,-0.0015422+7.4236e-05i,-0.0018058-0.00044375i,-0.00096707+0.0003113i,-0.00056451+0.0013741i,-0.00038463+0.0011156i,-0.00026448+0.00055647i,0.00027159+0.00052328i,0.00031866+0.00010738i,-7.7409e-05-0.00033515i,-7.5771e-05+0.0003202i,-0.00011149+0.00053272i,0.00079174+0.00020809i,0.00097889-0.00036695i,0.00025642-0.0010758i,0.00022729-0.001484i,0.00068087-0.0012763i,-8.5797e-05-0.00044927i,-0.00048628+8.767e-05i,-0.00056837+0.00042692i,-0.00067412+0.00032931i,-0.00027244-0.00013502i
0.0025606+4.0144e-05i,0.0033835-0.00040052i,0.0026569-0.0012584i,0.0015957-0.0018071i,0.00096453-0.0011353i,0.00076326+0.00026557i,0.00064598+0.0014979i,1.6648e-05+0.0013003i,-0.0002087+0.0003455i,-3.4097e-06+0.00010283i,-0.00091129+0.0002749i,-0.00082387-0.00049805i,-0.00017829-0.00026235i,-0.00015367+0.00051929i,-3.4598e-05+0.00049157i,0.00021854+0.0003169i,0.000158+0.00032989i,-0.00037948+0.00017749i,-0.00097017+0.00051175i,-0.0010286+0.00082697i,-0.0006338+0.00089653i,-3.1357e-05+0.0003705i,0.00071386+0.00021016i
0.00047972+0.00080874i,0.0010636-0.00013651i,0.0013035-0.0004144i,0.00057197-0.00039204i,-0.00017941+0.00017507i,-0.00046176+0.001408i,-0.00092033+0.0014126i,-0.00091517+0.00010074i,-5.7506e-05-0.00047062i,0.0010045-0.00035686i,0.0011579-0.0008833i,0.0011064-0.00070564i,4.283e-06+0.00040355i,-0.00089781+0.0011116i,-0.00032231+0.0010227i,-0.00016266+0.00057845i,-0.00066593+0.00048609i,-0.00057731+0.00021254i,-0.00032347-0.00057275i,0.00018862-0.00061242i,0.00032529-0.000399i,0.0002315-0.00052866i,-5.0452e-05-0.00014226i
0.001975+0.00031555i,0.0023274-0.00050546i,0.0020488-0.00086786i,-2.6885e-05-0.00095093i,-0.0009658-0.00048654i,0.00062224+0.00054613i,0.0013957+0.00072582i,0.0010922+0.00026051i,0.00072123-3.2453e-05i,0.00028043-0.00033067i,0.00034377-0.00024144i,0.00035787+0.00051458i,-0.00018409+0.00050711i,-0.00022143-0.00027779i,-0.0002739-0.00036618i,-8.5118e-05-0.00013801i,0.00010099-0.00059436i,0.00012747-0.00071643i,0.0010308+0.00016946i,0.0010711+0.00049687i,0.00046916+0.00035153i,0.00015275+0.0001273i,0.0005607-0.00054829i
0.0017809-0.0011755i,0.0021332-0.0018582i,0.0012938-0.0020291i,0.00028491-0.0014371i,-0.00066444-8.0481e-05i,-0.00053588+0.00069484i,0.00050443+0.00033425i,0.00043068-1.8955e-06i,-0.00024987-0.00042991i,-0.00017428-0.00046054i,-0.00022385-0.0002985i,-0.00077302+0.00026913i,-0.00091135+0.00017958i,-0.00073951+0.00015982i,-0.00050023-0.00021541i,-0.00015841-0.00054969i,-6.4351e-05+5.1697e-05i,-0.00054445+0.00070247i,-0.0011245+0.0007027i,-0.001005+6.3807e-05i,-0.0003305-0.00056266i,0.00017036-0.00034712i,0.00017428+0.0001817i
