-0.0030113+0.0020575i,-0.0034187+0.00085635i,-0.0040853-0.00026504i,-0.0031429-6.6583e-05i,-0.0026268+0.0013222i,-0.0016673+0.0016757i,-0.0002649+0.00097611i,0.00074242+0.0008915i,0.0010001+0.00065879i,0.00027793+0.00017473i,0.00019686+0.0001576i,-4.7365e-05+0.00010855i,-0.00047645+0.00047919i,-0.00063925+0.00072431i,-0.0010286-4.5689e-05i,-0.00067273-0.00054678i,9.8266e-06-0.00030636i,0.00023673-0.00048135i,0.00024398-0.0008928i,0.00020857-0.00082469i,6.0955e-05-0.00017539i,-0.00058317+0.0001957i,-0.001263-0.00020594i
0.0014373-0.00091419i,0.001094-0.0016068i,-3.352e-05-0.0014555i,-0.00080933-0.0002434i,-0.0012081+0.00031426i,-0.0013127+0.00031601i,-0.00072026+0.00017653i,-0.00053677+0.00020906i,-0.00089721-4.6271e-06i,-0.0010574+1.1363e-05i,-0.0010947+0.00010611i,-0.00029682+0.0002288i,0.00046152+0.00042321i,-0.00059994-0.00018497i,-0.00077641-0.00079224i,0.00023658-0.00083734i,0.00016381-0.00011798i,4.1342e-05+0.00022114i,-0.000541+0.00010255i,-0.0012815-0.00014007i,-0.001431-0.00097666i,-0.00087232-0.0013925i,0.00014494-0.00094563i
-6.2821e-05+0.00021123i,-0.00011778+0.00027396i,-0.0014133+0.0010202i,-0.0016906+0.0020108i,-0.00079859+0.001653i,-0.0002325+0.00059337i,-8.4949e-06+0.00039572i,0.00091431+0.00068167i,0.0015309+3.7032e-05i,0.00027701-0.00077506i,-0.00081121-0.00099363i,0.00015187-0.00078727i,0.00015918+0.00019486i,-0.00077874+0.00099216i,-0.00058836+0.0011018i,-0.0002481+0.00018075i,0.00032774-0.00045077i,0.0007262+0.00017793i,0.000371+0.00035012i,0.00015228+0.00031278i,0.0003154+0.00016257i,0.00026372-0.00059487i,-4.1039e-05-0.00095865i
-0.002179-0.00093534i,-0.0024669-0.00068904i,-0.0028911-0.0006836i,-0.0013775-0.00028426i,-0.00045477+0.00088172i,-0.00048893+0.00094i,-0.00038411-0.00045963i,-0.00074069-0.001132i,-0.0010352-0.00033512i,-0.00049066+0.001188i,-0.00025194+0.0017117i,-0.00062073+0.0011168i,-0.00046448+0.001035i,0.00041078+0.00070964i,0.00044037+0.00035915i,0.00036491+0.00060999i,-0.00016893+0.00016116i,-0.0010447+7.3154e-05i,-0.00085881+0.00069282i,0.00040606+0.00017771i,0.00076696+0.00011302i,7.9474e-05+0.00021891i,0.00057178+0.00030872i
-0.00090672-0.00069315i,-0.0017028-0.0010413i,-0.0021808-0.0013601i,-0.0019125-0.00035872i,-0.00098864-6.9991e-05i,-3.065e-05+0.00050631i,0.00034132+0.00036881i,0.00015561-0.00034294i,9.6499e-05-0.00023887i,-0.00043175-0.00057247i,-0.00086863-0.00065309i,-0.00060725-0.0001612i,-0.0007202-7.2603e-05i,-0.00088979+0.00015543i,9.811e-05-0.00022142i,0.00097075-0.0003679i,0.00096-0.00044225i,0.00044612+3.4045e-05i,0.0001646+0.00017239i,-0.00012486-1.0853e-05i,-0.00013655+0.00049758i,0.00035281+0.0005281i,0.00060465+0.00037422i
0.0022266+0.0011451i,0.001439+0.00019666i,0.001527+0.00092496i,0.0013429+0.0017098i,0.00012995+0.00096508i,-0.00072757+0.00018986i,-0.00051481+0.0010617i,-0.00029235+0.0013107i,7.3427e-05+0.00054053i,0.00026705-6.7909e-05i,0.00098764-0.00069698i,0.0010817-5.8376e-05i,1.3092e-05+0.0006695i,-0.00051921+0.00063476i,-0.00060992+0.00013101i,-0.00085385-0.00049186i,-0.00084484+9.5658e-06i,-0.00055689-7.1388e-05i,0.00037229-8.347e-05i,0.00090663+0.00075857i,0.00033717+0.00064463i,-8.3246e-05-6.9933e-05i,7.6596e-05-7.843e-05i
-0.0019252+0.0022555i,-0.0019922+0.0016023i,-0.002887+0.002033i,-0.0024005+0.0013986i,-0.00061537+0.00099164i,0.00024937+0.00026801i,0.00042469-0.00062761i,0.00024859-0.00017246i,-0.0001324-6.7763e-05i,-0.00052787-0.00039837i,-3.3864e-05-0.00011827i,0.00042526-3.892e-05i,6.3438e-05+0.00047224i,0.00020982+0.00077968i,0.00061418-0.00019763i,0.00052222-9.3535e-05i,0.00014797+0.00028807i,-9.7709e-05+0.00011653i,2.9716e-06-1.4531e-06i,6.7011e-06-0.00031759i,-0.00046578-0.00034858i,-0.0003555+0.00018697i,9.8159e-05-9.6205e-05i
-0.0026712+0.00047193i,-0.0029679+0.00042697i,-0.0024274+0.00062341i,-0.0016904+0.00055279i,-0.00058789+0.0010136i,-0.00027312+0.00041247i,-0.00039105-0.00022449i,-0.00064351-0.00065966i,-0.00029895-0.00041659i,0.0008333+0.00041279i,0.00097159+0.00029997i,-5.3707e-05+0.00013448i,-0.00020617+0.00063418i,3.6278e-05+0.00059959i,0.00023101-0.00010544i,0.00080111+9.0274e-05i,0.00057693+0.00059015i,0.00032438-0.00020309i,0.00017918-0.0011383i,7.8108e-05-0.0010516i,-0.00045436+0.00017477i,-0.0011837+0.00097304i,-0.0011893+0.00020826i
0.0023143-0.00019983i,0.00029626-8.8198e-05i,-0.00082923-0.00062365i,-8.4052e-05-2.2129e-05i,0.00027799+0.0010306i,-0.00017195+0.0013204i,6.3495e-05+0.00040296i,0.0010512-0.00048926i,0.00095003-0.00052378i,4.4744e-05-0.00045972i,-3.6342e-05+0.00016815i,-0.00020823+0.00051333i,-0.00072897-0.00048361i,-0.00063662-0.00074133i,5.7635e-05-0.00034106i,0.00034203-0.00032308i,-0.00048801-8.0614e-06i,-0.00096473+0.00044661i,-0.00019453+0.00051412i,0.0003655+7.8831e-05i,0.00029003-2.2634e-05i,0.00056827-0.00025529i,0.0017252-8.0332e-05i
0.0011518+0.00024016i,0.00040378+9.2826e-05i,-0.0012579-0.00074501i,-0.0015931-0.001078i,-0.0014042-0.00068369i,-0.0013398-0.00066473i,-0.0007329+0.00022668i,0.00028272+0.00019255i,0.00076921-0.00079156i,0.00030374-4.1955e-05i,5.7741e-05+0.0010314i,0.00022216+0.00069198i,0.000669+6.0731e-05i,-9.6908e-05-0.00036932i,-0.00052981-0.00070447i,-0.00050096-0.00041089i,-0.00038771+7.7185e-05i,0.00028234+0.00012759i,-9.6945e-05-0.00028676i,1.2334e-05-0.00054295i,0.00032391-0.00079322i,4.5088e-05-0.00055836i,0.00010778-0.00023987i
0.0011203-0.0025062i,0.00059196-0.001829i,9.1988e-05+0.00014036i,-0.00011193+0.0015086i,5.8954e-05+0.00078607i,-0.00023893+5.3416e-05i,-0.00032424-0.00016764i,0.00010797+0.00019347i,0.00090928+0.00026911i,0.0013902+0.00028795i,0.00045365+0.00024215i,0.00024862-0.00039245i,0.00097383-0.00015652i,0.00082128-0.00021915i,-0.00032733-0.00045691i,-0.00062112-0.00055957i,-3.8229e-05-0.00066561i,-0.00010022+0.00014777i,-0.00062963+0.00057334i,-0.0015772-4.1808e-05i,-0.0012639-0.00091545i,-0.00045134-0.00047208i,-0.00066925-0.00015553i
0.0016644+0.0028169i,0.0010815+0.0012806i,0.0010808+0.00069846i,0.00089479+0.00070103i,0.00084544+0.00035153i,0.00075688-0.00067501i,0.00018509-0.00031878i,6.893e-05+0.00023422i,0.00037748-0.00010241i,4.9063e-05-0.00024706i,-0.00028609-0.00049521i,0.00057437+0.00022549i,0.00060338+0.00095093i,-5.5959e-05-0.00022387i,-0.00013758-0.00074325i,3.7407e-05-0.00036092i,-0.00012665-2.6449e-06i,-0.00092021-0.00030046i,-0.00049952-0.00054473i,-0.00010829-0.00046674i,0.00029032-0.00020862i,0.00080991-0.00046282i,0.000259-0.00078168i
-0.00092086-0.00077478i,-0.0011246-0.00076833i,-0.0011461-0.00085308i,-0.00099299-0.00026262i,-0.0015037+0.00012033i,-0.0013093-0.0005867i,-0.00049157-0.00025651i,0.00021698-0.00049816i,0.00014033-0.0012374i,-0.001309-0.0010319i,-0.0012601-0.00086399i,0.00014825-0.00018447i,0.00015997+0.0006615i,-0.00074088+0.0010011i,-0.00064084+0.00076229i,-1.4724e-05+0.00026043i,0.00092462-0.00025711i,0.00092685-0.00053073i,0.00070388-0.00071106i,0.00096525-0.00070648i,0.00018068-0.00039084i,-0.00045821-0.0005602i,-0.00042242+5.2655e-05i
-0.00023065-0.00034245i,-0.00044997-1.1548e-05i,-0.00081969+0.00029321i,-0.001029+0.0013736i,-0.0013452+0.0012265i,-0.0019535+0.00016168i,-0.0012047-0.00018046i,-0.00031023+0.00032448i,-0.00030064+0.00067154i,0.0001221-2.2265e-05i,0.00049594-0.0004331i,0.00014603-0.00014936i,0.00019309+0.00031466i,0.00026831+0.00080977i,0.000155+0.0006025i,0.0002839+0.00056113i,0.00037816+0.0011414i,0.00054006+0.0010408i,0.00057307+0.00054695i,0.00013197-0.00030482i,0.00043295-0.00061016i,0.00044394+0.00027983i,-0.00044187+0.00063189i
-0.001094+0.0025372i,-0.0015676+0.0024346i,-0.0011125+0.0028595i,-0.00067829+0.0028475i,0.00018994+0.0023686i,0.00081131+0.0011021i,0.00054484+0.00023593i,0.00057816+0.00011503i,0.0010751-0.0004728i,0.00051109-0.00028329i,-6.5425e-05+0.00036986i,0.00054028+0.00055202i,0.00033133+0.00043437i,-0.00038087+0.00013445i,9.2808e-05+9.7412e-05i,0.0011123+0.00017723i,0.0017322-0.00022535i,0.0012252-0.00032255i,0.00066411-8.0711e-05i,7.872e-05+0.00016189i,-0.00074739-5.9309e-05i,-2.9758e-05-0.00045284i,0.00095594+0.00041989i
0.00046454-0.00021329i,-0.00052546-0.00064074i,-0.0007335-0.00049387i,-0.0015895-0.0002009i,-0.0024512-0.00089781i,-0.0022336-0.0015066i,-0.0015773-0.0011366i,-0.0005165-0.00064591i,0.00045769-0.00038299i,0.00048455-0.00030032i,-0.00016861-0.00011944i,-0.00073655-0.00056892i,-0.00097982-0.00066279i,-0.0012344-9.9036e-05i,-0.0012344+0.00015622i,-0.00087182+0.00087241i,-0.00026305+0.001032i,0.0004099+0.00034537i,0.0006374+7.6268e-05i,0.00036191-3.8799e-05i,-0.00046746+0.00065936i,-0.0011786+0.0006014i,-0.0012188-0.00012718i
0.00052316-0.00034655i,-0.00058121+7.6281e-05i,-0.0016451+0.0007803i,-0.0012728+0.00086679i,-0.00096878+0.001176i,-0.001093+0.0014089i,-0.00011114+0.00074269i,0.00079018-0.00013103i,0.0004404-0.00044536i,-0.00053938-3.5152e-07i,-0.0004343+1.3926e-06i,-0.00038359-0.00038831i,-0.00060391+0.00041797i,5.4744e-05+0.00083684i,0.00076806+0.00059555i,0.00057795+0.00071672i,0.0003348+0.00073548i,0.00053382-0.0003989i,0.00087442-0.0011635i,0.0005279-0.00042927i,-9.0365e-05+0.00048465i,9.9126e-06+0.00055909i,1.3009e-05-6.9812e-05i
0.00066398-0.00025692i,0.00088947-0.00044345i,0.00029561-0.00032649i,0.00024098-0.00047025i,0.00016659+6.416e-05i,-0.00040952-3.0265e-05i,0.00050335-0.00080874i,0.001164-0.00019987i,0.00033192-8.6575e-05i,-1.2674e-05-0.00032563i,-0.00028451+0.00038449i,-0.00047375+0.00077196i,-0.00045163+0.00046695i,-0.00018462-8.8649e-05i,-6.7282e-05-0.00039582i,1.0395e-06-0.00096154i,0.0003926-0.00102i,0.00067913-0.00017978i,0.00076323-0.00060011i,0.00053096-0.000837i,-0.00017751-0.00021976i,-0.00076719-0.00029886i,-0.00094973-0.00035795i
-0.0019039+0.00019369i,-0.0020101-9.6318e-05i,-0.0039244+0.00055044i,-0.0046549+0.00092276i,-0.0036693+0.0010067i,-0.0017384+0.00084032i,-0.00085079+0.0004156i,-0.0011956+0.00027165i,-0.00063+0.0009799i,0.00019252+0.0021166i,7.5165e-05+0.0020973i,-0.0001576+0.0011994i,-0.00025045+0.00072145i,-0.00061254+0.00098718i,-0.00050617+0.0013546i,-0.00021124+0.00068547i,-0.00030343+6.2331e-05i,0.00023268-2.0931e-05i,0.0011009+1.8438e-05i,0.00093992+0.00041018i,-6.6657e-05+0.00069247i,0.0001197+0.00066842i,0.00043302+0.00023067i
0.0034404+0.0016626i,0.0028734+0.00063316i,0.0019873+0.0001483i,0.00028226-0.00027075i,-7.911e-05-0.00091148i,-0.00011634-0.0006385i,-5.6204e-05-0.00017214i,0.00030281-0.0003388i,0.00080453-0.0007147i,0.00091246-0.00010048i,0.00028213+0.00056437i,-0.00026271-5.2664e-05i,-0.00057232-0.00099449i,-0.00088064-0.00091991i,-0.00063821-0.00059503i,-0.00040072-0.00077634i,-0.00041167-0.00075585i,-8.5243e-06-0.00058375i,0.00044408-0.00063899i,-4.158e-05-0.00078908i,-0.00034766-0.00082286i,-0.00020709-0.00071012i,-9.1042e-05-3.4271e-06i
-0.0006661+0.002713i,-0.0010724+0.0028485i,-0.0010518+0.0034559i,-0.0014247+0.0031153i,-0.0012071+0.00073985i,-0.00095893-0.0010969i,-0.00049735-0.00060236i,-0.00048051-0.00016439i,-0.00026987-0.00041727i,0.00013727+0.00015279i,0.00015123+0.00063325i,-0.00018115+0.00019281i,9.0806e-05-0.00043466i,0.00074405-0.00046014i,0.00058098-0.00017737i,5.3779e-05+2.7583e-05i,4.8784e-05-0.00038472i,0.00035432+9.4285e-05i,0.00042465+0.00055092i,-0.00020273+1.3942e-05i,-0.00047393-0.00071872i,-0.00027305-0.00066713i,-0.0003865+1.5792e-05i
-0.0027127+0.0013168i,-0.0022109+0.0018079i,-0.0019478+0.0029177i,-0.0015569+0.002894i,0.00048728+0.0012035i,0.0015954+0.00026669i,0.00080195+0.0006906i,0.0003905+0.00096302i,6.2302e-05-9.2249e-05i,-0.0004096-0.00061521i,0.00020127+0.00050646i,0.0010394+0.00043971i,0.00090722-8.4236e-05i,3.7597e-05+0.00027534i,-0.00046662+0.00047716i,-0.00072946+0.00030791i,-0.00079251+0.00020336i,-0.00056034+0.00067183i,-0.00065429+0.001174i,-0.00057977+0.0006418i,-0.00050579-0.00019418i,-0.0008399+0.00023105i,-0.00046407+0.00053588i
0.0012966+1.7445e-05i,0.00053538-0.0009915i,-0.001209+6.1065e-05i,-0.001638+0.0015078i,-0.00177+0.00098392i,-0.0023773-0.00033435i,-0.0021004-0.00056752i,-0.0016602-0.00032467i,-0.0011358-0.00029859i,-0.00037847-0.0001769i,-6.4603e-05+0.00076073i,-0.00045527+0.0012898i,-0.00096812+0.00027349i,-0.0003897-8.7532e-05i,0.00018576+0.00027622i,-0.00048692+0.00020492i,-0.00097413+1.762e-05i,-0.00018562-0.00066731i,0.00063146-0.00085098i,7.1073e-05-0.00076903i,-0.00025859-0.00084975i,0.00021861-0.0011294i,0.00035679-0.0010797i
0.00055405-0.00089574i,-0.00014621-0.00088669i,-0.001106-0.00088862i,-0.0017504-0.00081462i,-0.0011514-0.00062538i,-0.00073448-0.00087513i,-0.00050288-0.00055643i,0.00029948-0.00032298i,0.00049414-0.00092208i,0.00014517+5.0535e-05i,-0.00026121+0.0014081i,-0.00025475+0.0016546i,-0.00031999+0.0012127i,-0.00042258+0.00057664i,-2.7115e-05+0.0002609i,-0.00011722+0.00013147i,-0.00078608+0.00049644i,-0.0010503+0.0010398i,-0.00040128+0.0011033i,0.00023799+5.0185e-05i,0.00065689-0.00071138i,0.00062535-0.00067895i,0.00028316-0.00041266i
-0.0001762-0.00043032i,-0.00052652+0.00010039i,-0.0014953+0.0013512i,-0.0014965+0.0019275i,-0.00086658+0.0011139i,-0.00018014-0.00069552i,-1.348e-05-0.00078012i,-0.00080017+0.00057675i,-0.00095658+0.0010295i,-0.0010265+0.00062536i,-0.0014117-9.2039e-05i,-0.00098502+4.7314e-05i,1.9393e-05+0.00066599i,-1.7687e-05+0.00074999i,5.6466e-05+0.00039884i,-0.00037066+0.00041181i,-0.00051994-0.00015701i,0.00051742-0.00043158i,0.00060468-0.00012253i,0.00050332+0.00017361i,0.00052452+0.00034138i,0.0004192+2.5293e-05i,0.0009274-0.00040474i
0.0031351+0.00018719i,0.0022651-0.00069002i,0.00080524-0.00097865i,0.00079465-0.00065803i,0.00045447-0.00070194i,-0.00055592-0.0015588i,-0.0008748-0.00085856i,-0.00041212+0.00049414i,6.8637e-05+0.00047i,-0.00050305+0.00033666i,-0.00092399+0.00019892i,-0.00032056+7.4469e-05i,0.00019868+0.00061411i,-0.00020726+0.00038363i,-0.00091988-0.00055938i,-0.00023053-0.0006291i,0.00045036+0.00064569i,0.00029836+0.0015957i,0.00024956+0.0011527i,4.9988e-05+0.00067506i,0.00047866+0.00042044i,0.00042286+0.00078626i,0.00017929+0.00051639i
0.0010031+0.00026575i,0.00044169+0.00032396i,-0.0013932+0.00088432i,-0.0019777+0.0014466i,-0.0015884+0.0012508i,-0.00090584+0.00031077i,-0.00071086+4.6004e-05i,-0.00038544+0.00030003i,-0.00053204-0.00049594i,-0.00042751-0.00082215i,0.00024142-0.0001144i,6.4672e-05+0.00015356i,5.6801e-05+0.00019379i,0.00028947-0.00026357i,-0.00045228-0.00064159i,-0.0010247-0.00011647i,-0.0012188+0.0003292i,-0.00042342-0.00026665i,0.00029899-0.0010372i,3.5177e-05-0.0003421i,-0.0001525+0.00054743i,8.5113e-05+0.00029392i,0.00014597-0.00029852i
-0.0031039-0.0015118i,-0.0034103-0.0018576i,-0.0040306-0.00039654i,-0.0024696+0.0010385i,-0.00040321+0.0011068i,-0.00024305+0.00027012i,-0.00045636-0.0002505i,-0.00029077-0.00048916i,-0.00073838-0.00064871i,-0.00055022+0.00028337i,-0.00027646+0.0013084i,-0.00032275+0.00095763i,5.2531e-05+0.0005371i,-0.00019397+0.00018524i,-0.00022317+0.00040883i,0.0002005+0.00076197i,0.00046595+0.00022143i,0.00048703-0.00036938i,0.00070178-0.00030241i,0.00010268-0.0003542i,0.00023992-0.00028134i,0.00090842-0.00023698i,0.00066117-9.5985e-05i
0.0019296+0.00098492i,0.0011421+0.00062639i,0.00048007+0.00086642i,-0.00046898+0.00095701i,-0.0011048-0.00051561i,-0.00059-0.0014183i,-7.1544e-05-0.0010539i,0.00063036-0.0011736i,0.00033727-0.0016374i,-0.00072981-0.0012851i,-0.00079473-0.00091278i,-0.00051121-0.0011677i,-0.0012356-0.00084838i,-0.0016021-0.00066197i,-0.00062854-0.0010035i,-0.00069974-0.00079371i,-0.0011786-0.00037231i,-0.00049536-0.00010591i,-0.00018377-0.00027899i,5.7933e-05-0.00064623i,0.00041426-0.00061474i,0.00024583-0.000151i,-9.8728e-05+0.00051192i
-0.0023238+0.0006466i,-0.0015648-0.00042157i,-0.0020764+0.00056924i,-0.0021165+0.0013612i,-0.0018304-9.2266e-06i,-0.0010127-0.00053283i,7.6756e-05+6.9834e-06i,0.00015757-7.4831e-05i,4.2331e-05+0.00035541i,-0.00057373+0.00086749i,-0.00052256+0.00089601i,3.2997e-05+0.0006043i,0.00047977+0.00025569i,0.00071808+0.00020376i,0.000466+0.00067909i,-0.00019283+0.00089598i,-0.00013564+0.00037552i,0.00043349+4.1085e-06i,7.727e-05-0.00036452i,-7.0464e-05-0.0013358i,-3.1706e-05-0.0010241i,0.00036835-0.00027333i,0.00042187-0.00018912i
0.00075952-0.0019023i,0.00064433-0.0019298i,5.544e-05-0.00011474i,-0.00088578+0.001451i,-0.0014108+0.0015987i,-0.0018488+0.00072365i,-0.0024275+0.00032015i,-0.0018366-0.00017371i,-0.00068656-0.00078982i,0.00029579-0.0003438i,0.00060848+0.00048383i,0.00021801+0.00053467i,0.00033204+0.0001442i,-0.0001227-8.4409e-06i,-0.00084709+0.00046512i,-0.00083353+0.0010916i,-0.00055048+0.00074188i,0.000178+7.8716e-05i,0.00076181-3.1661e-06i,0.00020025+3.4323e-05i,5.173e-05-0.00045406i,-5.7168e-05-0.00023434i,0.0001046+0.00073332i
0.00098859+0.00065294i,-2.1499e-05-0.00073154i,-0.00029734-0.0011522i,0.00014044-0.0003968i,0.0011086-0.00040484i,0.00060663-0.0010591i,-0.00069965-0.0014385i,-0.0011952-0.0011971i,-0.00015712-0.0010328i,0.00091437-0.00078475i,0.00073985-0.00050977i,0.00066119-0.000623i,0.0010848-0.00035155i,0.0015577+0.0004542i,0.0010175+0.00084722i,-0.00013103+0.00098752i,0.00013735+0.00086401i,0.00075+0.000362i,0.00029384+0.00025499i,-0.00074665+0.00028948i,-0.00082457+5.0503e-05i,-0.00021901+0.00033066i,-0.00023279+0.0001381i
