-0.0010806+0.0025592i,-0.0011797+0.0032308i,-0.0002334+0.0034546i,0.0011944+0.0025411i,0.0016324+0.002817i,0.0004459+0.0026221i,-0.00024914+0.0021757i,0.00028305+0.0016057i,0.0016293+0.0017033i,0.0016577+0.00087358i,0.0014242-0.0005197i,0.0011346-0.00040526i,0.0002116-6.6572e-06i,-0.00035825+0.00026887i,-0.00071112+0.00012287i,-0.00055511+0.00012862i,0.00040111+9.8606e-05i,9.7396e-05-0.00062559i,7.6585e-05-0.00039325i,9.7463e-05+0.00029359i,-0.00067808-0.00020622i,-0.00062402+7.4747e-05i,-0.00026675+0.00010125i
0.0014261+0.0017606i,0.0027415+0.0017471i,0.0023907+0.0026154i,0.0019157+0.0023464i,0.002525+0.0016133i,0.0023968+0.001625i,0.0014372+0.0013283i,0.00099275+0.0012387i,0.0011815-0.00010411i,0.0015182-0.00021686i,0.0011395+0.00064964i,0.00052441+0.00033121i,0.00063495+0.00040342i,0.0003358+0.00019172i,-0.00048842-0.00025347i,-0.00021839-0.00044429i,6.9184e-05-0.00011556i,-0.00038536-4.7612e-05i,-4.6219e-06-0.00063244i,0.00027678-0.00012519i,-0.00023329+0.00020479i,-0.00066483+0.00016682i,-0.00082714+2.5209e-05i
-0.0013674+0.0012076i,-0.00035795+0.0025153i,0.00041025+0.0027856i,0.0011711+0.0023205i,0.0018254+0.0027897i,0.0016709+0.0027328i,0.0015709+0.0013585i,0.0019426+0.0010115i,0.0021197+0.0010593i,0.0017605+7.8978e-05i,0.001371-0.00025578i,0.00088064+0.00044588i,0.00057963+0.00072858i,0.00027123+0.00020922i,0.00049165+0.00022803i,0.00055628+0.00058752i,0.00022111-0.00050599i,0.00019718-0.001363i,-0.00041242-0.0007201i,-0.00039395+1.5547e-05i,-2.3085e-05+0.00067519i,-0.00025982+0.00083043i,0.00031144+0.00039323i
0.00056431+0.00093248i,0.0012019+0.00038504i,0.0019228+0.00017091i,0.0016346+0.00040348i,0.00035939-0.0001004i,-0.00060166+8.3515e-05i,9.244e-05+0.00081339i,0.0013069+0.00028324i,0.0017916-0.00010929i,0.001208+0.00033931i,0.00086306+9.9969e-05i,0.0010889-0.00070334i,6.4507e-05-0.00015481i,-0.00067828+0.00069863i,-0.0003133+0.0006624i,0.00013906+0.00023748i,0.00017742+0.00017586i,-0.00036108-2.231e-05i,-0.00021442-0.00089406i,0.00022241-0.0014299i,0.00018525-0.00045476i,-0.00027119+0.00043458i,-0.00018994+0.00042948i
0.00085862+0.0015612i,0.0013409+0.0021184i,0.0016077+0.0023183i,0.002285+0.0028102i,0.0021352+0.0035336i,0.0018447+0.0036167i,0.0020427+0.0022656i,0.0028191+0.00039189i,0.0029172-3.8185e-05i,0.0020314-7.5446e-05i,0.0011676-0.0010353i,0.0010191-0.0012342i,0.00053716-0.001089i,-0.00044222-0.00050121i,-0.00013587-4.345e-05i,0.00054694+0.00062499i,2.2122e-05+0.0011797i,-0.00080788+0.0006631i,-0.0011246+0.00054965i,-0.00063708+0.00056641i,4.4115e-05-0.00011953i,0.00016604-0.00050528i,-0.00023557-0.00037576i
0.0025832+0.0012891i,0.0016841+0.0021874i,0.0014158+0.0026702i,0.0014793+0.0014462i,0.0013571-0.00050428i,0.0005393-0.0002952i,0.00064156+0.00098256i,0.0013472+0.00091289i,0.0011096+0.00035178i,0.00066349-0.00093656i,0.00055575-0.0014319i,0.00045451-0.000792i,0.00023232-0.00051315i,5.4346e-05+0.00027164i,-0.00040448+0.00089047i,-0.00093755+0.00064056i,-0.00035539+0.00064814i,0.00010113+0.00030444i,-1.7964e-05-0.00030227i,8.5966e-05-0.00011864i,0.00026357-0.00016146i,-0.00028088-0.00022039i,-0.0010456-5.6506e-05i
0.0017427+0.0029383i,0.0019699+0.0029511i,0.0024289+0.0033987i,0.0027264+0.0028811i,0.0022949+0.0018936i,0.0011872+0.0016006i,0.00073651+0.0017343i,0.00061913+0.00051213i,0.0013523-0.00036767i,0.0022262-0.00075778i,0.0013889-0.0011817i,0.00068664-0.00065381i,0.00078038-0.00070233i,0.00017013-0.0011791i,1.0078e-05-0.0011592i,-0.00015433-0.00069836i,-0.00064892-0.00015584i,-0.0005003+0.0002851i,-0.00059645+0.00070031i,-0.00030533+0.00028762i,0.00035602+0.00054639i,-0.00013367+0.00054035i,-0.00047109-0.00046381i
0.00085034-0.0013237i,0.00060148-0.0013514i,-0.00010794-0.0013641i,-0.001256+0.00022539i,-0.00086192+0.0014368i,0.00019344+0.0013786i,0.00095433+0.0014486i,0.00061705+0.0010004i,0.00087373+0.00016091i,0.00086032-0.00056796i,0.00019148-0.00026991i,-5.1508e-05+4.4963e-08i,-0.00016086-0.0006164i,-0.00016151-0.00084508i,0.00033229-0.00084921i,0.0007734-0.00023657i,0.0002921+0.00054164i,-0.00017524-0.00050872i,-0.00028662-0.00097045i,-0.00057803-9.0311e-05i,-0.00023515-6.6925e-05i,-0.00021803-0.0002394i,-0.00049459+9.1289e-05i
-0.0017168+0.00030397i,-0.0010909+0.0013648i,-1.7558e-05+0.0017981i,0.0010672+0.0022879i,0.001466+0.002615i,0.0018155+0.0029798i,0.0012062+0.0020737i,0.0010253+0.00068749i,0.0018037-4.8758e-05i,0.0015469-0.00032283i,0.00056075-0.00029931i,0.00060652-0.00051081i,0.00056001-0.00029872i,0.00023323+1.7175e-05i,0.0002727-0.00063621i,-0.0002331-0.00012632i,-0.00038984+0.00085268i,-0.0005981+0.001053i,-0.00026931+0.00087649i,0.00029008+0.00044103i,-0.00014223+0.00026041i,-0.00013251-0.00019601i,-5.5953e-05+3.7567e-05i
0.00052108-0.00013565i,0.00085719+0.00017542i,0.0011975+0.00052775i,0.0015787+0.00021483i,0.0011736+0.00031632i,0.00047631+0.00070966i,0.00067252+0.00042672i,0.0011252-0.00054197i,0.0012852-0.00053287i,0.0012802-0.0002258i,0.0010063-0.0009094i,0.00034392-0.00087819i,0.00060943-0.00025997i,0.0011024-0.00018025i,4.559e-05-0.00075827i,-0.00063667-0.0012754i,-0.00037996-0.00030464i,0.0002922-5.4581e-05i,0.00081262-0.00078417i,0.000328-0.00092838i,-0.00018282-0.0010567i,0.00025625-0.001037i,-6.1328e-05-0.00026864i
-0.001145-0.00029513i,0.00032912+0.001248i,0.000142+0.0019264i,0.0010975+0.0016207i,0.0020877+0.0023698i,0.001696+0.0031437i,0.00080475+0.0031073i,0.0011643+0.0021915i,0.0014112+0.00058742i,0.00092531-0.00077648i,0.00029221-0.00066892i,0.00055873-9.8753e-05i,0.00066403+0.00057369i,-0.00010765+0.00060402i,-0.00017824+0.00028536i,-0.00030881+6.4142e-06i,-0.00087798-0.00019268i,-0.00080481-8.4462e-05i,-0.00047983+0.00018556i,-0.00055187+0.00055509i,-0.00062977+0.00047328i,-0.00063702+0.0006965i,-0.00074828+0.0010914i
-0.00094208-0.00083553i,-0.0013641-0.0010485i,-0.00089296-0.0016236i,0.00027286-0.00066608i,0.0011508-0.00026845i,0.0020882+0.00069396i,0.0018136+0.0014154i,0.00080161+0.00054425i,0.00089725+0.00032695i,0.00032391+0.00056i,-0.00031142+0.00023438i,-0.00013507+4.2075e-05i,-0.00023382+1.0527e-05i,-3.6061e-05+0.0003772i,0.00020512+0.00055934i,4.9429e-05-0.00011538i,0.00024088+0.00013196i,0.00078433+0.00072077i,0.00079997+0.00014976i,0.0009984-0.00021992i,0.001045-0.00013482i,0.00023608-0.00010732i,-0.00029731+0.00013211i
0.00069874-0.0019057i,0.00086651-0.0011376i,0.0016238-0.0014133i,0.002379-0.00072226i,0.0016843+0.00022655i,0.00088306+0.00093606i,0.0015338+0.0013577i,0.0018113+0.00069053i,0.001377-0.00046909i,0.0013409-0.0016168i,0.00058694-0.0013796i,-0.00036528-0.00030193i,0.00012761-0.00036259i,0.0003271-0.00080184i,-3.7289e-05-0.00039255i,-0.00039121+0.00039059i,-0.00011584+0.00036503i,-3.6546e-06-0.00011552i,-0.00059473+0.00030625i,-0.0005261+0.00078981i,-0.00047998+0.00047581i,-0.00021497+0.00027798i,-0.00026681-6.8921e-05i
7.0737e-05-0.00075471i,-0.00033655-0.00088553i,0.00039691-0.0010081i,0.00062369-0.00028572i,0.00083726+0.00072967i,0.0014731+0.0013774i,0.0014574+0.00099599i,0.0013122-0.00033521i,0.0016713-0.0007496i,0.0016007-0.00035896i,0.00097149-0.0007519i,0.00060619-0.00094798i,0.00059722-0.00054002i,0.00036888-0.00039072i,-0.000247-0.00038806i,-0.00099059-0.000143i,-0.00084078-0.00014905i,0.00041076+4.3115e-05i,0.00067748+0.00038767i,-0.00060249+0.00063415i,-0.00058769+5.4168e-07i,0.00025251-0.00070163i,0.00023436-0.00082686i
0.002308+0.00015602i,0.0021117+0.00095594i,0.0015272+0.0010945i,0.0014442+0.00044988i,0.00093264+0.00052295i,0.00043342+0.0012382i,0.00081755+0.0018229i,0.0011714+0.0016697i,0.0017655+0.0010281i,0.0014442+0.0003866i,0.0010657-0.00018864i,0.00049913-0.00037103i,3.1238e-05-0.0011365i,8.3194e-05-0.0012008i,7.0186e-05-0.0008221i,0.00023464-0.00083396i,0.00058485-0.00056702i,0.00019124+0.00028999i,-0.00030858+0.00039014i,-0.00024655-0.00084886i,-0.00034304-0.0013904i,0.00034612-0.00027229i,0.00094195+0.00079853i
0.0020199+0.00047531i,0.0017357+2.7995e-05i,0.0021554+0.00042191i,0.0020029+0.00056004i,0.00097194+0.00099625i,-2.2659e-05+0.001258i,0.00014366+0.00075072i,0.001273-1.8353e-05i,0.001755-2.4906e-05i,0.0012001-0.00013312i,0.00053271-0.00044138i,0.00059817-0.00036327i,0.00027016-0.0003628i,2.3332e-06-0.00025523i,0.00020607-4.045e-05i,0.00067999-0.00050569i,0.00028961-0.00020573i,-0.00010291-0.00013227i,-0.00021587-0.00025718i,-0.00049608+5.8557e-06i,-0.00041602+9.6011e-05i,-0.00026995+0.00012763i,-0.0003122+0.00015393i
-0.00077466-0.00089944i,-0.00084938+0.00044989i,-0.00079734+0.0010247i,-0.00022861+0.0013344i,-0.00012695+0.0010115i,-0.00022102+0.0011169i,0.00029546+0.001292i,0.00067548+0.00084782i,0.0003787-0.00036852i,1.4439e-05-0.00081757i,-0.0003152-0.00097799i,0.00018195-0.00088937i,0.00061004+0.00025921i,0.00076514+0.00017958i,0.00047601-8.464e-05i,-0.00071577+0.00072214i,-0.00084311+0.00086i,-0.00022097+0.00030699i,-0.00022954+1.5191e-05i,-3.3449e-05+0.00099011i,5.8096e-05+0.00067377i,0.00034567-0.00026634i,0.0005722+0.00014344i
-0.0010813-0.00096836i,-0.00028615-0.00098035i,-0.00074402+0.00023909i,4.6347e-05+0.00093317i,0.0012202+0.0011181i,0.0010201+0.0014075i,0.00041621+0.0012954i,0.00052654+0.0002777i,0.0014904-0.00057584i,0.0016172-0.00048847i,0.00084253-2.7573e-05i,0.00083189+0.000147i,0.00037866+0.00014923i,-0.00064455-0.00010839i,-0.0012364-0.0005165i,-0.00064506-0.00051838i,-0.0004188-4.2085e-05i,-0.00053311+0.0001309i,-0.00052724+5.7575e-05i,-0.00033344+1.2959e-05i,-0.00046908-0.00011634i,-0.0013873-7.2483e-05i,-0.0013258-0.00012012i
