-0.00046552+0.001595i,-1.2599e-05+0.00017424i,-0.0012643-0.00039655i,-0.0013254-0.0012658i,-0.0014198-0.0005119i,-0.0019736+0.00012545i,-0.0014888+0.00012497i,-0.00025164+0.00090723i,0.00019493+0.0011949i,0.00054034+0.00014872i,0.00092001-0.00096685i,0.00043379-0.0010079i,-0.00056352-0.00076302i,-0.00083338-0.0005889i,-0.0002493-0.00065085i,-7.4359e-05-0.00058594i,0.00026203+0.00023188i,0.00085557+0.00015007i,0.00025558+4.327e-05i,-0.00011554+2.5756e-05i,-0.00013537+0.0001792i,-0.001192+0.00031358i,-0.00086667-0.00026917i
-0.0004794+0.0021427i,-0.0010699+0.002699i,-0.00010238+0.0017291i,0.00066488+9.7274e-05i,-0.00039632-0.0014632i,-0.0015768-0.00129i,-0.0010036-0.00098291i,-0.00040189-0.00056625i,-0.00030441-1.8232e-05i,0.00033637-0.00033961i,0.0005578+3.2757e-06i,0.00015347+0.00027861i,-0.00046005+0.00069139i,-0.0007829+0.00089787i,-0.00035107-0.00024548i,0.00015238-0.00053793i,-0.0002018-0.00031843i,-0.00016553-0.00093918i,-3.9964e-05-0.00072589i,-0.00055518+7.4055e-05i,-0.00074306-0.00024524i,-0.0003746-0.00045831i,-0.00043669-0.00081628i
-0.0017337-0.0010586i,-0.0021574-0.0011955i,-0.00040691-0.001705i,0.0001901-0.0020108i,-0.00081006-0.0021412i,-0.0012215-0.0017692i,-0.0013377-0.00030999i,-0.0011033+6.6922e-05i,-0.00030025+0.00023262i,0.00023855+0.0007304i,0.00038909-0.00049884i,-1.5844e-06-0.0005351i,-0.00057631+0.00055248i,-0.00090849+0.00064014i,-0.00024926-5.1309e-05i,0.0010041-0.00040527i,0.0013324-0.00047851i,0.0012605+6.684e-05i,0.00073312+0.00066097i,0.00035984-3.051e-05i,0.00012099-0.00011518i,-0.00037871+0.0013203i,-0.00032657+0.0015993i
0.0025882-0.0019546i,0.0026662-0.00094647i,0.0015832+4.4291e-05i,-0.00074591-2.812e-05i,-0.0018874-0.00027127i,-0.0014569-0.00047139i,-0.00051284-0.00062645i,0.00053295-0.0001193i,0.00093499+0.00032826i,5.3877e-05-0.00018703i,-0.0010511-0.00013326i,-0.0010148+0.00095872i,0.00016666+0.0010069i,0.0010854+0.00064496i,0.00084017+0.00019727i,-9.8498e-05-0.00031571i,-0.00047711-0.00042507i,3.5328e-06+0.00013089i,3.0374e-06+0.00034414i,-8.1679e-06+0.00082677i,0.00055678+0.0010776i,0.00044102+0.00020822i,0.00016558-0.00019762i
-0.00053845+0.0012971i,-5.3009e-05+0.0014081i,0.00011166+0.00026455i,-5.739e-05-0.0006164i,-0.00072085-0.00051729i,-0.0014195-0.00022754i,-0.0015714-0.00077447i,-0.0011631-0.00034524i,-0.0008612+0.0003334i,-0.0005631+0.00066018i,-0.00050274+0.0011825i,-0.00026775+0.0010024i,0.00049059+0.0010535i,0.00049055+0.00145i,-5.678e-05+0.00050617i,-0.00020485-0.00028237i,-0.00036425-0.00036809i,-0.00055447-6.3949e-05i,-0.00021714+0.00034041i,-0.00028965+0.00020089i,-7.6703e-05-0.00039524i,0.00045747-0.00060227i,0.00038207-0.00025325i
4.9356e-05+0.0012051i,-0.00063528+0.0023168i,-1.492e-05+0.0014308i,0.00012628+0.00014655i,-0.00062788+6.4618e-05i,-0.002283+0.00010872i,-0.0029101+0.00064224i,-0.0011316+0.0014183i,-0.00034338+0.0012528i,-0.00026836+0.00015527i,0.00030047-0.00026579i,0.00079347-5.1115e-05i,0.00023132+0.0005652i,-0.00028614+0.00070046i,0.00011178+0.00037566i,0.00015542+0.00048745i,-0.00013222+8.7718e-05i,0.00012629+2.1003e-05i,-0.00037343+0.00045209i,-0.00047551+0.00055626i,0.00016697+0.00021566i,0.00071987-0.00030258i,0.00095942-8.0514e-05i
-0.001376-0.00071425i,-0.0011114-0.00080821i,-0.00032762-0.00047952i,-0.00079611+0.00014616i,-0.0013748-0.00065622i,-0.00078702-0.00090414i,-0.00013374-0.00016651i,-5.4506e-05+8.5768e-05i,-0.00024651-2.6411e-05i,-0.00043741-6.1697e-05i,0.00010251+2.1317e-05i,0.00055237+5.0394e-05i,0.00086079-0.00050377i,0.00045897-0.00071764i,-0.00031248-0.00025752i,0.00028531-0.00018556i,0.00057717-0.001033i,0.00019932-0.0010362i,0.00046814-0.00053775i,0.00011557-0.000361i,-0.000833-4.5486e-05i,-0.0012971-0.00013805i,-0.00064775+2.6533e-05i
1.9442e-05-0.00079323i,-0.00070322-0.00072699i,-0.00084702-0.00027304i,-0.00052508-1.7741e-05i,0.00031629+0.00043553i,-0.00068594+0.00033658i,-0.0017455-3.123e-05i,-0.00032176+0.0004082i,0.00016845+0.00053878i,-0.00051619+0.0001835i,0.00019337+3.947e-05i,0.00055529-0.00045627i,0.00043973-0.0006524i,0.00050764+0.00025968i,-6.4146e-05+0.00049128i,-0.00038824+0.00039275i,-0.00065815+0.00074074i,-0.0007019+0.00080342i,-0.00028569+0.00036529i,-0.0002899-0.00014271i,-0.00047959-0.00095075i,-7.1603e-05-0.00097627i,-0.00010518+0.00014249i
0.00061862+0.00076906i,0.00075947+4.0572e-05i,-0.00016922-0.00050856i,-0.00097159-0.0003033i,-0.0010706-0.00080166i,-0.00086172-0.00079128i,-0.0013557+1.4457e-05i,-0.00087895+0.00084761i,0.00018349+0.00077699i,-0.0001856+0.00070353i,-0.00095709+0.00098033i,-0.00060501+0.00036991i,4.9626e-05-0.00017366i,3.1205e-06-0.00037533i,0.00022075-0.0005547i,0.00012001-0.00032428i,-0.00021491-0.0001952i,-7.2362e-05-6.8115e-05i,0.00057181+0.00027473i,0.00083138+0.00039926i,0.00093605+1.3333e-05i,0.00077323-2.3511e-05i,-3.0389e-05+0.0003891i
-0.0019441+0.00091763i,-0.0018563+0.002084i,-0.00063011+0.0022233i,-3.0079e-06+0.0014173i,0.00013552+0.0005965i,-6.5913e-05+0.00019067i,-0.00031446-0.00012957i,-8.5489e-05-0.00012009i,-0.0004202-0.00084454i,-0.00094221-0.00088856i,-0.00029006-0.00016845i,-0.00023932-0.00013153i,0.00013491+1.336e-05i,0.00065377-0.00047099i,0.00012987-0.0012048i,-1.842e-05-0.00065387i,-5.2987e-06-0.00024105i,0.0003376-5.0435e-05i,0.00012714+0.00027951i,-0.00066634-0.00019835i,-0.00022432-0.00069311i,0.00039558-0.00035218i,0.00051639-0.00045537i
-0.0013224+0.00084061i,-0.00088316+0.0019898i,-9.7908e-05+0.0023291i,0.00098786+0.0017204i,0.0011754+0.00041741i,-7.4806e-05-0.00056322i,-0.00078087-0.00074978i,-0.00029419+0.00019482i,-0.00037205+0.00093942i,0.00025394+0.00081279i,0.0006957+0.00025625i,0.00024608-0.0010881i,-0.00046263-0.0018299i,-0.00099519-0.00072881i,-0.0011627-3.6883e-05i,-0.00054849+1.7585e-05i,1.187e-05+0.000118i,7.7708e-05+0.00029446i,-0.00026783+0.00016448i,-0.00032738-0.00012407i,-0.00020511-0.0002764i,2.0532e-05-0.00033551i,0.00051242+4.5656e-05i
0.0013916+0.00065116i,0.00094617-0.00041776i,0.00038385-0.0009984i,0.00047458-0.00080197i,0.00061961-0.001063i,-0.0003662-0.0022254i,-0.00091577-0.001746i,-0.00089766+0.00010884i,0.00025426+0.00047114i,0.0008776-0.00080972i,0.00026263-0.00081125i,-0.00043282+9.0393e-06i,-0.0010333+8.417e-05i,-0.0012669+0.00015507i,-0.00084417+0.00025291i,-0.00048084+0.00046502i,-0.00019259+0.0001998i,0.00046154-0.00047268i,0.0009666-0.00074973i,0.00093505-2.7168e-05i,0.0001147-0.00013552i,-0.00050494-0.00033153i,-0.00056294-0.000165i
0.0001679+0.0022167i,0.0015198+0.0023839i,0.0011225+0.0021554i,0.0010317+0.0015398i,0.0015112+0.0011733i,0.00041272-0.00042964i,7.947e-05-0.0016726i,0.00025203-0.00096843i,-0.0003918-0.00034099i,-0.00082031-0.00015476i,-0.00024183+0.00024634i,-0.00033124+0.00066552i,-0.0009752+0.00051666i,-0.00049477-0.00043182i,0.00011814-0.00050949i,0.00022463+0.00023085i,-0.00020179-4.5189e-05i,0.00012867-0.0012652i,0.00047974-0.001319i,0.00012609-0.00052895i,-0.00046452-4.5675e-05i,-0.00056771+4.936e-05i,-0.00046645-0.00048822i
-0.0024186+0.001415i,-0.0026974+0.0025184i,-0.0021351+0.0026348i,-0.0005551+0.0016207i,-9.8657e-05+0.00085314i,-0.00049832-0.00042462i,-0.0005206-0.0011258i,-0.00043348-0.00062646i,-0.00029939-0.00047163i,-0.00038645-0.00072865i,-0.00018949-0.00048033i,0.00021838-1.4196e-05i,0.00043251-5.2166e-05i,0.00017547-0.00043414i,-0.00048933-0.00056794i,-0.00085798-0.00061629i,-0.00050671-0.00075891i,-7.4171e-05-0.00079724i,-0.00048968-0.00092734i,-0.00048122-0.00075368i,0.0001793+4.9785e-05i,7.6933e-05-0.00018989i,0.00072998-0.00035793i
-0.0038899-0.0007875i,-0.0044547-0.0013357i,-0.0033661-0.00015769i,-0.0015826-1.0947e-05i,-0.00048035-0.00035572i,-0.00031869-0.00039901i,-0.0003151-0.00055152i,0.000479-0.00076858i,0.00043381-0.0011358i,-0.00024124-0.00050362i,-0.00025912+0.00035875i,6.8316e-05+0.00081344i,0.00046603+0.001044i,0.00088631+0.0010093i,0.0012621+0.00022483i,0.0010105-8.6904e-05i,0.00051189-8.1036e-05i,3.9118e-05-5.7665e-05i,-0.0001921-0.00051342i,-0.00055209-0.00086268i,-0.00057233-0.0003177i,-0.00011216-0.00032894i,0.00028096-8.1135e-05i
0.002323-0.0013227i,0.0024277-0.0021155i,0.0014934-0.0020317i,1.197e-05-0.0014758i,6.8707e-05-0.00076442i,-9.6249e-05-0.00039825i,-0.00087853-0.00038809i,-0.00088071-0.00049345i,-0.00030683+0.00039901i,-0.00027185+0.00047314i,-0.00026198-0.00019473i,0.0002408+0.00039419i,-0.00054786+0.00017576i,-0.0011563-0.00061116i,-0.0012345-0.0007383i,-0.00090916+0.00033952i,0.00038081+0.0011219i,0.00072889+0.00051154i,0.00023842+6.4237e-05i,-0.00017627+0.00026114i,-0.00047465-6.7872e-05i,4.6717e-06-0.000456i,2.8608e-05-0.00034527i
0.0017329+0.0014798i,0.0015843+0.0023292i,0.00092383+0.0020314i,0.00041823+0.00068328i,0.00029262-0.00018274i,-0.00074983-0.00020871i,-0.0014751+0.00039799i,-0.00084554+0.00012909i,-0.00041001-0.00046774i,-0.00032357+0.00018204i,-9.2747e-05+0.00032637i,0.0001434+0.00035593i,-0.00017032-3.3141e-07i,8.7848e-05-0.00060044i,0.00043712-9.5506e-05i,0.00088425-0.00017614i,0.00032954-0.00028663i,-0.00073145-0.00012586i,-0.00035804+0.00014629i,-0.00023691+0.00089598i,-0.00059947+0.001144i,-0.00048604+0.00084104i,-0.00034746+0.0005431i
-0.0039334+0.0016086i,-0.004025+0.0024374i,-0.0023564+0.0027076i,-0.00091589+0.0015173i,-0.0004119+0.0004499i,-0.00045154-0.00029059i,-0.00040695-0.0012804i,-0.00063887-0.00077743i,-0.00064004-0.00010598i,-0.00029422+0.00015967i,-0.00013459+0.00062039i,-6.3016e-05+0.00015139i,0.0003316-0.00061089i,0.00041659-0.0009925i,0.00052283-0.0010607i,0.00084562+0.00029933i,-6.6141e-05+0.00078184i,-0.00038233-2.1551e-05i,-0.00030622-0.00011034i,1.6747e-05+0.000368i,0.00031729+0.00030186i,-0.00035496+4.3357e-05i,-0.00051158-0.00030804i
-0.0018087-0.001275i,-0.0016723-0.00083197i,-0.0012678+2.4848e-05i,0.00032545-0.00050778i,0.00044195-0.00090836i,-0.00069504-0.00049831i,-0.0010436-9.7883e-06i,-0.00026709-5.4218e-05i,0.00022448+0.00010182i,0.00015689+0.00031762i,0.00084694+0.00083072i,0.00066883+0.0010584i,-0.00023086+0.00022266i,-0.00047178-0.0010275i,-0.00027057-0.0015237i,-4.4635e-05-0.0016755i,0.00036428-0.001125i,0.00069035-0.00062173i,0.00011501-0.00024694i,-0.00056346+0.00013302i,-0.00062955+0.00033862i,-0.00039093-0.00022736i,-0.00021643-0.00090016i
0.00044832-0.0010605i,0.00046549-0.00011482i,0.00098172+0.00025798i,0.00064738-0.00028073i,-0.00075386-0.00012765i,-0.0017784-0.00031574i,-0.0011571+9.7401e-05i,-0.00034607+0.00066374i,-8.9584e-05+0.00025143i,0.00017087-6.614e-05i,0.0005259+0.00022434i,0.00056653+0.00027645i,0.0002886+5.3318e-05i,0.00025151+0.00022744i,0.00059849+0.00016325i,0.00043458-0.00063684i,0.00023997-0.00056582i,0.00030004-0.00023737i,0.00055521-0.00050819i,0.0004611-0.00037293i,2.6482e-05-0.00018633i,-0.00012834+0.0003876i,-6.4604e-05+0.00099487i
0.0012455+0.0012152i,0.00081533+0.0014263i,0.00095965+0.00070525i,0.00037054-0.00080619i,-0.00042577-0.0016381i,-0.0012308-0.00068854i,-0.0019478+0.00032095i,-0.0011982+0.00082275i,0.00010958+0.00071577i,0.00067049+0.00080712i,0.0003761+0.00091299i,0.00024817+6.566e-05i,-1.7814e-05-0.00085436i,-0.00060776-0.00078608i,-0.00064368-0.00040674i,-0.00017331+0.00025542i,-0.00037904+0.00026678i,-0.00070077-0.00021362i,-0.0008516+0.00024331i,-0.00085687+0.0010227i,-0.00079946+0.0010151i,-0.00069004+0.00041111i,-0.00017718+0.00052317i
-0.0012153+0.0023701i,-0.00036449+0.0030503i,-0.0001237+0.0031294i,-7.5474e-05+0.0012844i,0.00038853-0.00046925i,-1.3952e-05-0.0015286i,-0.0006523-0.0019326i,-0.00046903-0.00041845i,-0.0003826+0.00084685i,0.00025933+0.00054713i,0.0010717+0.00039419i,0.00041374+0.00077865i,-0.0010018+0.00011906i,-0.00099107-0.00061407i,0.00020344-0.00067739i,0.0010589+0.00047114i,0.0010135+0.00079514i,0.00070485+0.00034602i,-0.00026022+0.00070968i,-0.00088836+0.00057149i,-0.0011939+0.0001999i,-0.0011296+7.6719e-05i,-0.00036141-4.6306e-05i
-0.0027057-0.0011375i,-0.0018312-0.00048826i,-0.00031446+1.4922e-05i,4.2842e-05-4.9927e-05i,-0.00018622-0.00040014i,0.00016474+0.00020618i,-6.3008e-05-0.00013097i,-0.0001149-0.00028911i,-0.00013807+0.00032297i,-0.00028369+0.00048391i,0.0001816+0.000336i,-6.6388e-05+0.00070352i,1.1586e-05+0.0010016i,0.00051643+0.0004126i,0.00061063-9.2087e-05i,0.00059322-7.4248e-05i,0.0010076+5.4449e-05i,0.00065919+0.00055767i,8.9546e-05+0.00083782i,0.00017437+0.00051643i,4.1009e-05-3.1247e-05i,-0.00032947+0.00032681i,-0.00038505+0.00098829i
0.0008571-0.00067715i,0.0010459-8.5003e-05i,0.00073797+0.00044594i,0.00048457+0.00030507i,0.00059688-0.00056331i,-0.00059252-0.0013588i,-0.001675-0.0011813i,-0.0014346-0.000907i,-0.00035381-0.00083214i,0.0004279-0.0006823i,2.6622e-05+6.5778e-05i,2.1587e-05+7.9292e-05i,-6.1722e-05+0.00024256i,-0.00053061+0.00097836i,-0.00050184+0.00084624i,-0.00044853+0.00047836i,-3.079e-05+7.7576e-05i,0.00023219-8.906e-06i,-0.00041154-0.00011731i,-0.00071747-0.00029176i,-0.00072142-0.00071027i,-0.00045611-0.00030806i,-0.00072007+0.00052427i
0.00046397+0.00031797i,0.00090249+0.0013644i,0.00069704+0.00049288i,4.4602e-05+0.0002144i,-0.00016939+0.00028546i,-8.5593e-05-0.00018439i,-0.00022694-0.00047806i,-0.00064346-0.00030148i,-0.0011154-0.00032604i,-0.0010599-0.00079798i,-0.00058324-0.00083305i,-7.2813e-05-0.00063962i,0.00013381-0.00021858i,0.0004974+0.00063536i,0.00086096+0.00026509i,0.00048179+0.00012235i,-0.00032845+0.00029469i,-0.00022521-9.3035e-06i,-8.7591e-05-0.00050685i,0.00021604-0.00067847i,5.9793e-05-0.00057194i,-0.00071445+0.00025008i,-0.00019757+0.00096345i
-0.0016306+0.0012685i,-0.0016203+0.0008897i,-0.0012249+0.00068766i,-0.00060767+0.00042347i,-0.00047084-5.4066e-05i,-0.00035023-0.00040762i,-1.9137e-05-0.00058696i,0.00015817-0.00034166i,-0.00032325-0.00013133i,3.6907e-05+0.00052196i,0.0007221+0.00094837i,0.00059833+0.00016553i,0.00039028-0.00033245i,0.00046496+1.8307e-05i,0.00064527+5.5164e-05i,0.00030748+0.0002256i,0.00025643-1.2313e-06i,0.00022446-0.00022883i,1.4919e-05-0.00056094i,0.00046844-0.00032896i,0.00046246+0.00042227i,-0.00019081+3.2546e-05i,0.00058865-0.00067763i
-0.00076359-0.0025072i,-0.0010909-0.0026646i,-0.0017008-0.002166i,-0.0012378-0.00073806i,-0.00092945+0.00060761i,-0.00081884+0.0012819i,-0.0010126+0.00059103i,-0.0012706-6.8803e-05i,-0.00082361+0.00035204i,-0.00034705+0.00037552i,-0.00018519+0.00029822i,-0.00033914+0.0011067i,-0.00051247+0.0012131i,0.00030732+0.00078643i,0.00057241+0.0001459i,-9.526e-05-0.00033737i,-1.4549e-05-0.00054641i,-5.9783e-05-0.00039784i,-0.00038456+0.00039157i,-0.00018103+0.00023839i,-0.00012296-0.00026518i,-0.00026397-0.00018613i,-0.00049191+0.00029715i
0.0016198-0.00099349i,0.0012992+4.8711e-06i,0.0015326-0.00055474i,0.00050476-6.827e-06i,-0.0007155+0.00065298i,-0.0012216+0.00046473i,-0.00055921+0.00041842i,-0.00053393+3.3266e-05i,-0.00038139-0.00039448i,-0.00073696-3.8194e-05i,-0.0011943-0.00017896i,-0.00037132-0.00047968i,1.271e-05-0.00047883i,-0.0002249-1.1246e-05i,-0.00013372+0.00014514i,0.00013559-0.00029724i,2.924e-05-0.00022751i,-8.3157e-05-0.0002499i,9.255e-05-0.0002345i,0.00063942+0.00019068i,0.00091089-5.9092e-05i,0.00067398+0.00018755i,7.4382e-06+0.00037942i
