-0.0029905+0.0018308i,-0.0021124+0.00072399i,-0.0017219+0.0012898i,-0.001451+0.0016627i,-0.0012468+0.0011924i,-0.00089699+0.00076767i,-0.001027+0.00089421i,-0.00042278+0.0014441i,0.00065571+0.0018978i,0.0021099+0.0012356i,0.0021598+0.00010763i,0.00071608-0.0012945i,0.00012546-0.0019951i,0.00025087-0.0016485i,-0.00020164-0.00046149i,-6.8879e-06-0.00027333i,0.00038178-0.00026314i,0.0003952-0.00020223i,0.00055102-0.00010208i,0.00018178+0.00019457i,-0.0001098+0.00020269i,0.00042339+0.00010385i,0.00054329-0.00016856i
-0.00035433-0.00084798i,-5.2889e-05-0.00064633i,4.6877e-05-0.00059267i,0.00010297-0.00044087i,-0.00034629-0.00068202i,-0.0014418-0.00058709i,-0.00088088+0.00079473i,0.00082657+0.0014729i,0.001924+9.4157e-05i,0.0012823-0.0011025i,0.00063484-0.00080678i,5.6374e-05-0.00082177i,-0.00015156-0.00058863i,-0.00012958+0.00010356i,2.8505e-05+0.00015172i,0.0005178+0.00089167i,0.00036636+0.00079316i,-0.00055939+0.0001553i,-0.00043781+0.00042612i,0.00010352+0.00079036i,-0.0001691+0.00043891i,-0.00038168-0.00060014i,-0.00042381-0.0011406i
-0.0014222-0.00028378i,-0.0014046-0.00013677i,-0.00077009-0.00010856i,-4.5654e-05+0.00032508i,0.00040365+0.0010722i,0.00031417+0.00077225i,-0.00035147+0.00043668i,-0.00066269+0.00033845i,-2.7647e-05+0.00013736i,3.4047e-05-8.6686e-05i,-0.00025349-0.00031089i,0.00055213-4.9498e-05i,0.00081216+1.4402e-05i,-0.00029-9.7774e-05i,-0.00041616+7.4481e-05i,-0.00022049-0.00018782i,-1.3623e-05-0.0010562i,0.00027221-0.00094563i,0.00013896-0.00028266i,0.00048672+0.00011988i,0.00075483-9.2879e-05i,0.00051959-0.00040187i,0.0002717-0.00030089i
0.00067428+0.001666i,0.0001351+0.001997i,-0.0010116+0.0010521i,-0.00034442+0.00016019i,0.0010899+0.00017752i,0.0012159+0.00018836i,0.00018789-8.4345e-06i,0.00042722+0.00010192i,0.0004988-0.00011444i,0.00053699-3.5244e-05i,0.00075519-0.00027833i,-0.00013107-0.00028353i,-0.0004979-8.1394e-05i,-0.00040887+0.00020952i,-0.0005503-0.00050751i,-3.9257e-05-0.0014645i,0.00033978-0.0012313i,0.00033769-0.00038654i,-0.00061064+0.00053761i,-0.0013512+0.00086109i,-0.00068442+0.00027374i,-0.00054805-8.5593e-06i,-0.00091843+7.5936e-05i
-0.0019401-0.0021775i,-0.0016643-0.001007i,-0.0011071-0.00053208i,0.0001497+0.00022085i,0.00044553+0.00082848i,-3.9341e-05+0.0011105i,-0.00010491+0.00049351i,-0.00012112-0.00036705i,-0.00036972-0.0004855i,-0.00063458-0.000318i,-0.0001886+0.00010865i,0.00045818+0.00068125i,0.00067395+0.00042609i,0.00084228+7.418e-05i,0.0005896-0.00013202i,-0.00027117+0.0001507i,-0.00041196+0.00034143i,-0.0003181+0.00052567i,-0.00064523-1.5033e-05i,-0.00016664-0.00052482i,0.00043727-0.00039427i,0.0007118+0.00047208i,0.00081193+0.00083544i
0.00026064-0.0017648i,-1.6411e-05-0.0012496i,-0.00034023-0.00083617i,-0.0012274-0.00030162i,-0.0010393+6.7579e-05i,-0.00050144+0.00041446i,0.00044814+0.00093206i,0.00081121+0.00087931i,0.00067561+0.00039444i,0.00010082+0.00036509i,-0.0002316-0.00034243i,0.00015875-0.00093833i,9.0121e-05-0.00069202i,0.00021335-0.00069706i,0.00068049-0.00054269i,0.00028452-0.00032972i,-0.00026413-0.00020811i,-0.00034645+8.6902e-05i,0.00022466+0.00025344i,0.00037555+0.00012371i,-0.00015249-0.00069011i,-0.00011272-0.00084068i,8.3223e-05-0.00052021i
-0.0013803-0.00013776i,-0.00050529+0.0011356i,-0.00036246+0.0012412i,-0.00062467+0.0009592i,-0.00053243+0.0015723i,-0.0002857+0.00083826i,-0.00066093-0.00045954i,-0.0002425-0.00023816i,0.00053289+0.0011187i,0.00078011+0.0022375i,0.0010466+0.0015205i,0.00060908+0.00026684i,-5.5555e-05-0.00043981i,-0.00046119-0.00030949i,-0.00050682-0.00027864i,-0.00080059-0.00040514i,-0.00052943+0.00019093i,-0.00041974+6.1501e-05i,-0.00025127-0.00030694i,9.4079e-05-0.00018722i,0.00040643-0.00012609i,0.00036547+0.00046804i,-0.00041228+0.00011364i
-0.0001969-0.0001802i,0.00010902-0.00037251i,-3.7106e-05-0.00013634i,0.00046375-0.00022864i,0.0011009-0.0011255i,0.0017022-0.0021917i,0.0010145-0.0013554i,-5.4438e-05-0.0006085i,-0.00019802-0.00073115i,-8.1337e-05-0.00052754i,0.00036907-0.00069537i,0.0011464-0.0014273i,0.0014155-0.0014446i,0.0012485-0.00067569i,0.00094626-0.00015365i,0.00044726-0.00064701i,0.00052247-0.00047468i,0.0006105+0.00010127i,0.00021155+0.00043428i,0.0002692+0.00061002i,0.00028897+0.00072524i,0.00018623+0.00052932i,-0.00052609-0.00050543i
-0.00091669-0.00030797i,-0.00065168-0.0013259i,-0.00018037-2.2962e-06i,0.00079433+0.0009268i,0.0012047+0.00043688i,0.00040667+0.00011917i,-0.00042822-9.0267e-05i,-0.00045085-0.00027748i,-0.00016628+0.00013918i,0.00019595+0.0011379i,0.00091608+0.0012347i,0.00069949+0.00062568i,8.1259e-07+0.00045634i,3.1702e-05+0.0011029i,0.00091791+0.0012351i,0.0010327+6.3169e-05i,-5.1216e-05-0.00040811i,-0.00086714-0.00016965i,-0.0014332-0.00032781i,-0.00063319-0.00047564i,0.00066212+0.00021443i,0.00072184+0.00044842i,0.00017913-0.00015989i
-9.3654e-05+0.00045008i,0.00055656+0.0005274i,0.0011844+0.00084071i,0.0015294+0.00075875i,0.00022631+0.00019209i,-0.00097619-0.0004534i,-0.00036286+0.00020436i,0.0003912+0.0014666i,0.00011492+0.0012269i,0.00024934-3.3537e-05i,0.00060329-0.00044742i,0.00041162-6.0616e-05i,-0.0003866+0.00096459i,-0.00090747+0.0014898i,-0.00050266+0.0012695i,-0.00023182+0.00056725i,-0.00018487-0.00010412i,-0.00010925+0.00013029i,-0.00056745+0.00057297i,-0.00012121+0.00089979i,2.8525e-05+0.00081985i,-0.00036209-0.00026921i,0.0001117-0.0010458i
0.0010308+0.0019562i,0.0014337+0.00073529i,0.0017285+0.00035681i,0.0017041-0.00039951i,0.0011522-0.001429i,5.3938e-06-0.001591i,-0.00053715-0.00052981i,-0.00036613+0.00040521i,-0.00013587+0.0010782i,0.000191+0.00097946i,0.00023281-2.9146e-05i,0.00030522-0.00080717i,4.6372e-05+4.0488e-06i,0.00085056+0.00030273i,0.0012789+0.00018109i,-3.4009e-05-0.00027288i,0.00010858-0.00062377i,0.00056991-0.00059391i,0.00077103-0.00024642i,0.00041694+0.00064538i,-0.00068898+0.00076265i,-0.00041398-0.0003429i,0.00013269-0.00059448i
-0.0011907+0.00081883i,0.0003599+0.0010549i,0.0012236+0.00088446i,0.001096+0.00035045i,0.0011524-0.00029121i,0.0010185-0.00023499i,0.00079285+0.00013318i,-3.9287e-05+0.00055114i,-0.00082365+0.00053924i,-0.00094358-1.2827e-05i,-0.0006086-0.0002895i,-0.00059093-0.00036534i,-0.00026301-5.9528e-05i,-5.3177e-06-0.00011152i,-8.1878e-05-0.00091383i,6.2164e-05-0.00099956i,0.00021196-0.00046077i,-0.00057561-7.7982e-06i,-0.00091712+0.0001318i,4.5167e-05-0.00010701i,0.00055153-0.00040959i,0.00027098-5.4272e-05i,0.00038369+8.0458e-05i
-0.00012242-0.0014667i,-0.001157-0.00065958i,-0.0016762-0.00020129i,-0.00084112-0.00033534i,-0.00056381+0.00046667i,-0.00046941+0.0014954i,2.9516e-05+0.00080638i,0.0005955-8.8136e-05i,0.00029954+0.00027083i,0.0005272+0.00054293i,0.0012555+0.0005171i,0.00086713+9.7396e-05i,0.00014497-0.00063601i,-0.00010614-0.00067387i,0.00036429-7.4671e-06i,0.00040224+0.00011432i,-0.00020887-0.00027436i,-0.00039323+0.00011014i,-0.00028282+0.00040087i,-0.0001723-4.401e-05i,0.00026347+0.00017094i,0.00013518+0.00028496i,-0.00030427+0.00023062i
-0.00026732-0.001666i,-0.0011034-0.00047202i,-0.0024223+0.00032356i,-0.0026786+0.00065i,-0.0012815+0.00052189i,0.00017982+0.00071191i,0.00043903+0.00084319i,-4.435e-05+0.0006499i,-0.00027117+0.00016575i,-0.00045291+0.00067177i,-0.00043494+0.00090907i,-0.00046861+0.00072462i,-0.00050283+0.00086761i,0.00098469+0.00029523i,0.0011767-0.00091561i,0.00066104-0.00097693i,0.00016639-0.00048646i,-0.00040016-0.00039179i,4.3948e-05-0.00029001i,0.00055197+0.00024786i,0.00038526+0.00014772i,-7.3538e-05-0.00085331i,-0.00057911-0.00049474i
-0.00054961-0.00042433i,-0.00055103-0.00034464i,0.00021703+0.00045747i,0.00087184+0.00085119i,0.0006077+0.00083185i,-0.00036663-0.00019808i,-0.00057209-0.0010893i,-9.4507e-05-0.0010914i,-0.00043413-0.00066009i,-0.0007173-2.1562e-06i,-7.5908e-05+0.00011138i,-9.2612e-05+5.3673e-05i,-0.00048988-0.00025932i,-0.00038703-3.911e-05i,4.0321e-05+0.0011163i,5.8794e-05+0.00099877i,0.00013458+0.00025762i,0.00019295+0.00020538i,-0.00022285+4.9053e-06i,-0.00064799+0.00011405i,-0.00013292-4.1874e-05i,0.00039288-0.00082352i,0.00014743-0.0014768i
0.00077248+0.00027659i,0.0016801-0.00049786i,0.0026633-0.001724i,0.0026991-0.0019484i,0.001589-0.001771i,-0.00022396-0.0014625i,-0.00060044-0.00046306i,0.00037914+0.00067879i,0.00052266+0.00049345i,0.00035731+0.00015875i,0.00045449+0.00041583i,0.00018389-0.00045004i,5.8813e-05-0.00087073i,4.0851e-05+0.00061634i,-5.709e-06+0.0013955i,-0.00030622+0.00084046i,0.00013908+0.00041996i,0.0012837-8.4972e-05i,0.0014186-0.00018632i,0.00092676+0.00035156i,0.00047134+0.00062371i,0.00013375+0.00038505i,0.00046142-8.5731e-05i
0.00046161+0.0022386i,0.00013777+0.0021846i,0.00062592+0.0014417i,0.00052849+0.0005226i,0.0005143+0.00012016i,0.00057255+0.00014548i,0.00038654+0.0008697i,0.0004207+0.0012718i,0.00012573+0.00091797i,0.00019362+0.00097744i,-1.3505e-06+0.00066216i,-0.00042678+1.0662e-05i,-0.0006405+1.9146e-05i,-0.00071417+0.00054707i,-0.00051556+6.9275e-05i,-0.00055561-0.00036875i,-0.00045843+6.1666e-05i,-0.00034833+0.00073396i,-0.00044619+0.00068584i,-0.00046467+0.00041327i,-0.00088479-0.00010041i,-0.00083379+4.0209e-05i,-0.00041972+0.00018973i
-0.00084301-0.00019644i,-0.0019449+0.00068531i,-0.0011776+0.0014755i,-0.00029326+0.0010364i,-0.00049211+0.00073076i,0.00039973+0.0003111i,0.00081809+0.00068641i,0.00085039+0.0007704i,0.00057758+0.0007863i,-2.9393e-05+0.0013869i,4.698e-05+0.001i,0.0002685+0.00029877i,0.00043496-0.00045393i,0.00057713-0.0009562i,0.00012957-0.00090065i,-5.653e-05-0.00047331i,0.0002572+0.00010694i,8.5167e-05+4.4791e-05i,0.00012787+4.8705e-05i,0.0003603-0.00014154i,0.0003301-6.6707e-05i,-0.00010104+6.7184e-05i,-0.00041441-0.00011231i
-0.0012191-0.0023328i,-0.0022287-0.0014583i,-0.0028475-0.00075742i,-0.0014227-0.0004025i,0.00025146+0.00060413i,0.0010845+0.0012421i,0.0011936+0.00065659i,0.0014392+0.00033957i,0.00070935+0.00051319i,0.00047868+0.00058886i,0.00054615+0.00023776i,4.339e-05+0.00010201i,0.0001886-0.000272i,0.00026237-0.00035493i,0.00015735-0.00090176i,0.00019646-0.001003i,-0.00015028-0.00059227i,-0.00044677-0.00040294i,-0.00082414-0.00017139i,-0.00068484-0.00041084i,3.5346e-05-0.00034341i,0.00058859-0.00036941i,0.00050943-0.00068196i
0.00078554+8.5812e-06i,0.0010457-0.00085975i,0.0010792+0.00015061i,0.00098952+0.0022717i,0.00066721+0.0022217i,0.00019814+0.00061974i,1.6053e-05+0.00055569i,-2.2909e-05+0.0012966i,0.00024131+0.00076451i,-6.9643e-05+0.00023666i,-0.00048362+4.0043e-05i,-0.00024529-0.00044794i,0.00032637-0.00056951i,0.00022152+0.00017787i,-0.00013955-0.00030393i,-8.2605e-05-0.0012877i,0.00024417-0.0010254i,0.00017816-0.00031719i,-7.7472e-05+0.00018528i,0.00029207+0.00029028i,0.00064414-0.00028096i,0.00099732-0.00091287i,0.0010487-0.00043192i
0.0012538+0.00010038i,0.0009696+0.0003852i,0.00079545+0.00022501i,0.00046239+0.00016443i,-0.0003917-7.1241e-05i,-0.0003302-0.00029929i,0.00032844-0.00023517i,0.00045553+0.00011347i,0.00031157+0.00065628i,0.0003013+0.00069387i,0.00054675+0.00033261i,0.0004955-0.00025423i,0.00043472-0.00066009i,0.00077731-0.00082654i,0.0012486-0.00025651i,0.0007268-0.0002086i,0.0008248-0.00082448i,0.00055743-0.00063952i,0.00011564-0.00014941i,0.00021522+0.00043507i,-0.00024679+0.00067206i,-0.00049697-0.0002218i,-0.00038295-0.0011082i
-0.00040312-0.0011339i,-0.0021443+0.00022427i,-0.0014233+0.00039299i,-0.00031587-0.00037712i,-0.00030465-0.00058749i,-0.00084314+0.00019801i,-0.0010768+0.00034688i,-0.00062171+0.00057592i,-0.00073528+0.00039381i,-0.00075599+0.00021916i,0.00066406+0.00037215i,0.001343+0.00066536i,0.0011437+1.3448e-05i,0.00088652-0.00032976i,0.00061906-0.0001561i,0.00049725-0.00014585i,0.00050985-0.00011857i,0.00044149-0.00026393i,2.1586e-05-0.00027134i,5.0115e-05-0.00011143i,0.00058816-3.2823e-05i,0.00072125+0.00025989i,0.00011639+0.0001483i
0.0029106-0.00029357i,0.0026889-0.00058711i,0.0026413-0.0011063i,0.002722-0.0012662i,0.0019512-0.00076317i,0.00048719-0.00068002i,-6.7338e-05+4.1397e-05i,-7.9627e-05+0.0013014i,0.00026197+0.0019568i,0.00044996+0.0016856i,0.00050346+0.00035684i,0.00020054-0.00033196i,0.00042809+0.00054163i,0.00067651+0.0013289i,0.00026354+0.0018435i,-0.00026256+0.0016615i,-0.00050693+0.00033617i,6.0615e-05-0.00077963i,0.00022739-0.00073461i,-0.00011262+0.00055135i,-0.00033987+0.00092771i,-7.6009e-06+4.1792e-06i,-0.00012744-0.00079489i
0.00039169+0.00099534i,0.0010855+0.00042609i,0.0014279-0.00012096i,0.00056644-0.0005325i,0.0005955-0.00077639i,5.1811e-05-0.00049207i,-0.00047146+0.0001006i,-0.00052275+0.00069791i,-0.00019422+0.00034986i,-0.00020461+5.3569e-05i,-0.00098337+6.9944e-05i,-0.0014749-5.5784e-05i,-0.00087565+0.00013006i,0.00016455-0.00010488i,0.00041426-0.00029382i,0.0010005-0.00016314i,0.00077417-0.0003805i,-2.9849e-06-0.00044769i,-0.00020214-0.00029559i,-0.0003032-0.00048684i,-0.00037897-0.0009182i,5.7933e-05-0.00094768i,0.0005819-0.00055771i
-0.0027776-0.00092732i,-0.0025337-0.0019134i,-0.0018485-0.0012511i,-0.00070754-0.00026045i,0.00067897-0.00057144i,0.0007062-0.00047113i,-1.9933e-05+0.00041171i,-0.00014559+0.00020858i,0.00016591-0.00055036i,0.00092607+0.00019986i,0.00057454+0.00046287i,-0.0004821-0.00070434i,-0.00079478-0.0014479i,-0.00061633-0.001471i,0.0002329-0.00073108i,0.00041701-0.00050444i,-0.00012957-9.6651e-05i,3.62e-05+0.00044352i,0.00038537+0.00022475i,0.00058402-0.00024994i,0.0010864+2.7494e-05i,0.0011931+0.00041537i,0.00040485-0.00026395i
0.0033073+0.0010105i,0.0031765+0.00051858i,0.0027818+0.00045549i,0.0015275+0.00078076i,0.00030876-4.5345e-05i,-0.0003138-0.00077387i,7.5856e-05+2.9997e-05i,0.00084713+0.00093057i,0.0010755+0.00088228i,0.00099912+0.00028605i,0.00053811-0.000486i,-0.0002747-0.00047601i,-0.00090094-0.0001848i,-0.0011731-0.00083438i,-0.00066828-0.00098477i,-0.00032462-0.00062423i,0.00018095-0.0004099i,0.00064222+0.00046591i,0.00036561+0.00082738i,0.00038314+0.00025833i,0.00048176+0.00050524i,0.00065089+0.00040276i,0.0011341-0.00025949i
-5.7043e-05+0.0012168i,-0.00028895+0.00085052i,-0.00078681+0.00025962i,-0.0003959+0.0002742i,0.00040108+0.0004365i,0.00014326-0.00037915i,0.00035637-0.00054035i,0.00080524+0.00023596i,0.00027259+0.00076903i,0.00066033+0.0009458i,0.0016388+0.0012116i,0.00065112+0.00085329i,-0.00073326+0.0002509i,-5.2832e-06-0.00027444i,0.00068563-0.00037119i,0.00042676-1.5016e-05i,0.00033138-4.0282e-05i,0.00020317-6.4743e-05i,5.777e-05-0.00027718i,-0.00029851-0.00038754i,-0.00018887-0.00058403i,0.00027318-0.00023277i,0.00032311+0.00051772i
-0.0018315-0.0013577i,-0.0011778-0.00064522i,-0.00090539-0.00058406i,-0.00066882-0.00066363i,-0.00043905-5.1311e-05i,-0.00075663-0.0006149i,4.8442e-05-0.00040489i,0.00089925+0.00038158i,0.00070617+0.00043955i,0.00045476+7.6139e-05i,0.00077595-0.00059314i,0.0014244-0.0001599i,0.00091155+0.00044068i,-0.00012433+7.6221e-05i,-0.00014119-0.00017286i,0.00056692-0.00030613i,0.00036822+0.00016066i,-0.00036115+0.00053401i,-0.00099785+0.00035245i,-0.00078374+0.0006924i,0.00012453+0.00064213i,1.6522e-05+0.00012186i,0.00026207+0.00026922i
0.0029765+0.0012269i,0.0031295+0.00072924i,0.0027991+0.00022889i,0.0027366-0.00054019i,0.0021606-0.00097223i,0.0011832-0.00081235i,0.00073491+2.0492e-05i,0.00026119+0.00087673i,0.00085751+0.0007757i,0.0013052+0.00034282i,0.00096907+0.00049772i,-8.3938e-05+0.00010678i,-0.00088288-0.00090035i,-0.0010298-0.00017952i,-0.00066503+0.00036065i,0.00012134-5.6715e-05i,-0.00027623-0.00027206i,-0.00035904-0.00087855i,3.1328e-05-0.00079974i,1.7708e-05-0.00031368i,0.00066807+0.00011272i,0.00082142+0.00040299i,-0.0003648+0.00034054i
-8.7815e-05+0.002357i,8.8962e-06+0.0025029i,0.0010644+0.00056795i,0.00059545-0.00069028i,-0.00047113-0.00030268i,-0.00079621-0.00071994i,-0.00037812-0.00048128i,-0.00043143+0.00078886i,-0.00057316+0.00061253i,-0.0004948+0.00022213i,-8.8589e-05-4.2333e-05i,-4.8472e-05-0.00050021i,-1.4186e-05+0.00017147i,-0.00029244+0.00037392i,0.00020762-0.00040281i,0.00066279-0.00062023i,0.00036466-0.00029493i,0.00025313+0.00017583i,-0.00075635+0.00060611i,-0.0015774+0.0014248i,-0.0012358+0.00078693i,-0.00012352+7.7125e-06i,0.00038346+0.00010629i
-0.0015248-0.0019298i,-0.0017321-0.00073573i,-0.0015879+0.0008684i,-0.0016832+0.0013679i,-0.00054674+0.00041742i,0.00075672+0.00060228i,0.00061021+0.00085956i,0.00089239+1.8526e-05i,0.0015094-0.00027839i,0.00057984+0.00023761i,-0.00016272+0.00012718i,0.00035757+4.2881e-05i,0.00019412+0.00010459i,9.0284e-05-0.00028365i,-0.00013288-0.00077962i,-0.00017826-0.000795i,-6.6195e-05-0.0003071i,-0.00019869+7.6051e-05i,-0.00057383+7.0186e-05i,-0.0010495+0.00025089i,-0.0011835+0.00024414i,-0.00041978+0.0002813i,0.00089544+0.00012114i
0.00028835-0.0010415i,0.00033738-0.0017857i,-0.00051817-0.0013689i,-0.00090126+0.00017028i,-0.00050239+0.0010507i,-0.0005126+0.00060322i,-0.0003539+0.00037579i,-0.00042505+0.00056488i,-0.00061999+0.00057743i,-0.00048288+0.00015445i,0.00018297+6.8061e-05i,0.00068504-6.387e-05i,0.00088477-6.1022e-05i,0.00089363-0.00051629i,0.00018819-0.00086775i,-0.0002284-0.0011983i,-9.516e-05-0.00040049i,0.0002857+0.000383i,0.00059968-0.00036745i,0.00039016-0.00051877i,0.00079262-0.00020624i,0.00068931-0.0005176i,0.00077697-0.00049745i
0.0014802+0.0030172i,0.0029766+0.0023954i,0.0030628+0.0014604i,0.0023275+0.0004403i,0.001748+8.0581e-05i,0.00021246-0.00071008i,-0.00090918-0.00098862i,-0.00016832-0.00027751i,0.00084026+0.00066307i,0.0015578+0.0006091i,0.0015661-0.00025773i,0.00058977-0.0010026i,-0.00075283-0.00013484i,-0.0012883+0.0009249i,-0.00063087+0.00086354i,0.00046703+0.00085804i,0.00019458+0.0010754i,0.00019482+0.00098731i,0.00022636+0.00074921i,-0.0010837+0.00023671i,-0.0012196+0.00028422i,-0.00046607+0.00028599i,0.00017396-0.00089166i
