0.00086636-0.0010212i,0.00021678-0.0016202i,-0.0015656-0.0015245i,-0.0019938-0.0022124i,-0.00082083-0.0014603i,-0.00093926+0.00052028i,-0.00053214+0.00035981i,0.00022233-0.00010312i,-0.00054455-0.00016754i,-0.0014101-2.6186e-05i,-0.0015746+0.00066735i,-0.0016234+0.00081283i,-0.00083805+0.00079973i,0.00015834+0.00052384i,0.0010088-8.3144e-05i,0.00083564-0.00035879i,0.00036665-6.103e-05i,0.00046162+0.0005311i,0.00099961+0.00024711i,0.00094126-0.00040067i,0.00082759-0.00047418i,-0.00032037-0.00037221i,-0.0010962-0.0001117i
0.00050812+0.00062185i,-0.00012279+0.00098912i,-0.00027576+0.00034697i,0.000553-0.00096835i,0.00082-0.0016479i,0.00039978-0.00059636i,-9.6948e-05-0.00013288i,-0.00035693-0.00029298i,0.00020184-0.00078521i,0.00022272-0.00061484i,-0.00063598+7.4229e-05i,-0.0006558-4.9936e-07i,-0.00039444+0.00023028i,-0.00050492+0.00091834i,-0.00067062+0.00086825i,-0.00062381+0.00093414i,-0.00046253+0.00015122i,7.0189e-05-0.00040964i,0.00039394+3.1563e-05i,0.00050526-0.0005581i,-0.00011936-0.00053287i,-0.0010654+0.00050903i,-0.001215+0.00038148i
-0.001094+0.0013141i,-0.00086494+0.00049808i,0.00023703-0.00072026i,0.00029952-0.00078643i,-0.00039496+0.00022827i,-0.00029406-0.00067401i,1.8558e-05-0.0012309i,-0.00046354-0.00045593i,-0.0012036-0.00050653i,-0.0010591-0.00050267i,-0.00081698-0.00035971i,-0.00141-0.00060476i,-0.0016058-0.00019476i,-0.0010043+0.00011248i,-0.00042475+0.00093314i,0.00037103+0.0017183i,0.00063766+0.0013952i,-5.8196e-05+0.0011719i,-0.0005612+0.0011588i,-0.0003712+0.00063602i,-0.00021056+0.00034388i,-1.976e-05+0.00081636i,-0.00020544+0.00085886i
0.0011427+0.0030076i,0.0018609+0.002076i,0.0019481+0.0025105i,0.0021401+0.0015034i,0.0018709-0.00010112i,0.001269-0.00029881i,0.00056257-0.00036514i,-0.00014987-0.0010928i,-0.00031718-0.001115i,-0.00013994-0.00048348i,0.00014105-0.00035624i,-0.0004655-0.00012466i,-0.00080249+0.00015515i,0.00024836+0.00029743i,0.00043966+0.00063673i,-0.00016895+0.00085819i,-0.00015737+0.00074986i,0.00026978+0.00049065i,-7.8605e-07-0.00035761i,-0.00036745-0.0012711i,-0.0004384-0.00046174i,-0.00084735+0.00049506i,-0.0011041+1.6605e-05i
-2.9717e-05+0.00035999i,0.0003283+7.9635e-05i,-0.00060702-0.00071893i,-0.00067874-0.0016949i,9.2084e-05-0.0014073i,0.00052365+0.0002306i,-0.00013088+0.00063273i,-7.8068e-05-0.00067917i,0.00050885-0.0011314i,-9.4739e-05-0.00035447i,-0.0010607+0.00011546i,-0.001336+0.00012394i,-0.00094017+0.00038546i,-0.00031743+5.2089e-05i,-1.7275e-05-0.00013992i,-0.0001844-0.00039708i,0.00026843-0.00019769i,0.00042749+0.00016555i,0.00050421+7.165e-05i,0.00054606+0.00014077i,8.86e-05-0.00025415i,-0.00021499-0.00021413i,-0.00046797+1.2815e-05i
-0.0024183+0.0005872i,-0.002907+0.00090281i,-0.0027865+0.0018704i,-0.0020297+0.0029776i,-0.0016416+0.0029854i,-0.00073947+0.0013162i,-0.00047145-0.00027489i,-0.00076033-0.00073876i,-0.00065682-0.00079553i,-0.00039837-0.00071536i,-0.00064705-0.00041866i,-0.00047278+0.00049124i,-0.00057304+0.001239i,-0.0014571+0.0013197i,-0.0012913+0.00077849i,-0.00081071+6.4135e-05i,-0.00088105+0.00034356i,-0.00088616+0.00045312i,-0.00098121+0.00015962i,0.0003011-0.00070681i,0.0013748-0.00068503i,0.00080907-0.00037496i,0.00018036+0.00011442i
6.4036e-05+0.0021242i,0.0023228+0.0015405i,0.0031504+0.00019377i,0.0034404-0.00080784i,0.0025986-0.00084193i,0.00045229-0.0012641i,-0.00093738-0.0016964i,-0.00084847-0.0010139i,-0.00018379-0.00013987i,-0.00036867+0.00058248i,-0.000887+0.00071633i,-0.0014083+0.00035876i,-0.0013134-5.2524e-05i,-0.00037425+0.00011522i,0.00043373+0.00091608i,0.00098063+0.0011141i,0.001129+0.00044207i,0.00053024+0.00049231i,0.00059658+0.00088214i,0.00035962+4.8419e-05i,8.2791e-05-0.00076934i,-0.0002056-0.00068505i,-0.00090468-0.00057623i
0.0023083+0.0024992i,0.0025189+0.00084212i,0.0022887-8.9138e-05i,0.0017937-0.0006509i,0.0011956-0.00035313i,-0.00034206-0.0001314i,2.6379e-05-0.0010506i,0.00081242-0.0014026i,0.00065613-0.001223i,0.00016972-0.0014095i,-0.00035-0.0017037i,-0.00095865-0.0002476i,-0.0019012+0.00084093i,-0.0012537+0.00053013i,-0.00035822+0.00056633i,-8.7636e-05+0.0011139i,0.0002219+0.0012725i,-0.000122+0.00083968i,0.00015952+0.00034669i,0.00037339-0.00022376i,-0.00010765-0.0012193i,0.00031199-0.0010662i,-0.0002142+6.6461e-06i
0.00041613-0.00040173i,0.00024442-0.0014735i,-5.641e-05-0.00058721i,-0.00029046-9.429e-05i,-6.1463e-05-0.00010043i,-0.00015633-0.00030354i,-1.6459e-05-0.00068997i,0.0003088-0.0007834i,-0.00020008-0.00042569i,-0.00069613-0.00029667i,-0.00053402-0.00040213i,-0.00055468-2.5298e-05i,-0.00026578-0.00021044i,0.00078463+8.8489e-05i,0.0011133+0.00090377i,0.00065039+0.0012197i,0.0005101+0.00084762i,0.00028099+7.2125e-05i,-2.4282e-05+8.3893e-06i,-0.0004023+0.00029444i,-0.00062946+0.00025825i,-0.00037726+0.00020622i,-0.00016645+6.5666e-05i
0.001629-0.0012992i,-0.00033792-0.00054752i,-0.0022644-0.00094973i,-0.0026609-0.0023583i,-0.0028332-0.0021856i,-0.0025045-0.001189i,-0.00079343-0.0010426i,-7.3659e-05-0.0011457i,-0.00067637-0.0010697i,-0.001242-0.0010575i,-0.001246-0.00053801i,-0.00056186-1.8573e-05i,-6.2486e-07+0.00051664i,0.00038659+0.0011226i,0.00022624+0.0005556i,-0.00030101+0.0002886i,-4.6908e-05+0.00053293i,0.00011895+0.00035812i,-0.00020127+0.00053591i,-0.00011007+0.00073344i,0.00076606+0.00071289i,0.00039595+0.00046443i,-0.00057859-0.00011932i
