0.15603-0.13426i,0.26658-0.22359i,0.24464-0.26446i,0.099442-0.24554i,0.0037594-0.20582i,-0.01378-0.1692i,-0.02074-0.099978i,-0.0034334-0.02084i,0.026016+0.0046744i,0.033131+0.0019945i,0.028918+0.0090785i,0.020435+0.020336i,0.010006+0.025625i,0.00090172+0.018148i,-0.010851+0.0044396i,-0.022463-0.0049957i,-0.026317-0.0081079i,-0.018057-0.0033119i,-0.003445+0.0050069i,0.0058093+0.011292i,0.0067167+0.01793i,0.0045294+0.0247i,0.00034198+0.023127i
-0.014453+0.20134i,-0.028523+0.34795i,0.007393+0.37128i,0.079598+0.26078i,0.10177+0.16873i,0.085002+0.1335i,0.057516+0.064395i,0.0019745-0.0075975i,-0.043457-0.0089646i,-0.047698+0.014323i,-0.037627+0.016069i,-0.027655+0.0044264i,-0.018267-0.0068895i,-0.0072254-0.0081924i,0.0092491-0.0044987i,0.026138-0.0043703i,0.032834-0.0076982i,0.023416-0.0096965i,0.0061491-0.0056097i,-0.0044323-0.00055268i,-0.004549-0.0014999i,-0.0027411-0.0032643i,-0.0027484-0.00011841i
-0.13247-0.14467i,-0.23178-0.2632i,-0.27387-0.26547i,-0.23455-0.15868i,-0.16842-0.1135i,-0.12498-0.11982i,-0.064449-0.072596i,0.01812-0.025214i,0.052859-0.033883i,0.036529-0.046667i,0.021498-0.03534i,0.018749-0.016764i,0.018574-0.0030919i,0.012786+0.00075711i,-0.0021404-0.00012454i,-0.020577+0.00088467i,-0.029744+0.0044416i,-0.02108+0.0060579i,-0.0036124+0.0019484i,0.0065599-0.0046095i,0.0082377-0.0078897i,0.010602-0.0089526i,0.013248-0.0093949i
0.19157+0.0051459i,0.34937+0.018051i,0.38287-0.0029448i,0.26579-0.028973i,0.17109+0.018379i,0.15432+0.066748i,0.096331+0.046559i,0.002701+0.035777i,-0.021274+0.057843i,0.0023026+0.055392i,0.005792+0.029753i,-0.0056497+0.010042i,-0.012513+0.00023903i,-0.011368-0.0027386i,-0.0029974-0.0043192i,0.006492-0.010383i,0.0090786-0.013966i,0.0037407-0.010292i,-0.0018094-0.0039138i,-0.0023981+0.00086054i,-0.005575+0.0032569i,-0.01575+0.0055011i,-0.020465+0.0053901i
-0.13142+0.13311i,-0.25405+0.23933i,-0.26768+0.27381i,-0.16636+0.19124i,-0.12684+0.064312i,-0.15775+0.0027862i,-0.11838+0.0049418i,-0.038649-0.014513i,-0.022398-0.048293i,-0.035205-0.043751i,-0.022297-0.020945i,0.00058334-0.0085927i,0.011718-0.0042248i,0.0084456-0.0025251i,-0.002142+0.0031931i,-0.011281+0.015372i,-0.013479+0.02472i,-0.0086785+0.021682i,-0.0052022+0.0088323i,-0.006522-0.0021821i,-0.0023168-0.0026009i,0.0091879+0.0029594i,0.014556+0.0062418i
-0.0017691-0.18133i,0.0096698-0.34377i,0.00038176-0.37466i,-0.0045569-0.22492i,0.065404-0.077209i,0.13311-0.046653i,0.089242-0.04555i,0.023974-0.0027022i,0.027609+0.02635i,0.040043+0.013148i,0.019626+0.0028206i,-0.0036439+0.0043318i,-0.012211+0.0037044i,-0.0084483+0.0032988i,0.0013617+0.00093872i,0.0095927-0.0071945i,0.012437-0.013618i,0.010846-0.008868i,0.0072049+0.00091949i,0.0034337+0.0047859i,-0.00064477+0.0019237i,-0.0026124-0.0016903i,-0.0012416-0.0020549i
0.12863+0.12021i,0.23546+0.2414i,0.26645+0.25585i,0.16645+0.12569i,0.0024744+0.029193i,-0.082551+0.044074i,-0.040927+0.045509i,0.0021251-0.002141i,-0.019328-0.017177i,-0.035025+0.0046369i,-0.015946+0.010879i,0.0032692+0.00023431i,0.0095187-0.0069426i,0.0062624-0.0074531i,0.00044403-0.001235i,0.002374+0.0087298i,0.0090816+0.01257i,0.011341+0.0080052i,0.0085771+0.0040385i,0.0031301+0.0070053i,-0.00084237+0.0067037i,-0.0014561-0.0056316i,-0.0023416-0.017997i
-0.16895+0.00095382i,-0.32872-0.011379i,-0.36226-0.0041981i,-0.19569+0.026822i,0.011051+0.0043898i,0.087657-0.059524i,0.051092-0.0517i,0.024312-0.00094545i,0.036641-0.00030681i,0.030735-0.024717i,0.0068463-0.018886i,-0.0076675+0.0015349i,-0.012167+0.010285i,-0.0071646+0.0083323i,0.00097322-0.0015505i,0.00028571-0.014304i,-0.005187-0.02111i,-0.005074-0.020908i,8.4118e-05-0.017357i,0.0051053-0.012643i,0.0052153-0.0044361i,-0.0013467+0.01007i,-0.0076078+0.021252i
0.11467-0.11906i,0.23563-0.22132i,0.25265-0.2615i,0.093602-0.19278i,-0.071685-0.049451i,-0.095065+0.05686i,-0.048839+0.047366i,-0.033108+0.0032723i,-0.037244+0.011275i,-0.017987+0.03006i,0.006108+0.014329i,0.013861-0.0088876i,0.012668-0.017032i,0.0041944-0.012065i,-0.0023848-0.0022147i,-0.00072593+0.0028764i,-0.0002756+0.0037025i,-0.0044506+0.0040433i,-0.0065823+0.0026316i,-0.0047431-0.0008961i,-0.00092739-0.0046171i,0.0041603-0.0066171i,0.0077915-0.004672i
0.0036335+0.1593i,-0.015407+0.31506i,-0.0035333+0.36486i,0.072202+0.22395i,0.11889+0.014016i,0.069797-0.093933i,0.0094641-0.072972i,-0.00093857-0.03156i,0.0021345-0.035922i,-0.0113-0.039018i,-0.018899-0.012449i,-0.011633+0.012224i,-0.0035585+0.019033i,0.00019897+0.011905i,-0.001963+0.00024519i,-0.0084261-0.0047444i,-0.012679-0.0026938i,-0.012585+0.0010933i,-0.011455+0.0042248i,-0.012067+0.0025941i,-0.012423-0.00018264i,-0.0048952+0.00076816i,0.0070296+0.00069182i
-0.11068-0.11306i,-0.20343-0.23675i,-0.25815-0.26686i,-0.2407-0.11245i,-0.15777+0.076817i,-0.049466+0.13159i,0.012927+0.075121i,0.017047+0.02697i,0.017958+0.028474i,0.026437+0.022937i,0.014356-0.0029392i,-0.0052731-0.019567i,-0.011249-0.022614i,-0.0084184-0.014738i,-0.0038375-0.00090104i,0.00045638+0.0081297i,0.004743+0.012139i,0.0090294+0.01342i,0.010938+0.011161i,0.0096121+0.0096768i,0.0052146+0.0072334i,-0.0038069-0.0013643i,-0.013093-0.0097721i
0.15584+0.0051307i,0.31085+0.032619i,0.38652+0.02212i,0.29811-0.075903i,0.13721-0.16624i,0.022378-0.14437i,-0.0147-0.054682i,-0.012278-3.8708e-05i,-0.018945-0.00022422i,-0.025215+0.00072405i,-0.0084278+0.014655i,0.0097753+0.018576i,0.014358+0.015618i,0.011572+0.010167i,0.0055619+0.0026846i,0.002072+0.00035919i,0.0018921+0.00051095i,0.0024176-0.00054757i,0.0039162-0.0013618i,0.0035462-0.0023182i,0.003592-0.00039122i,0.0070623+0.0063276i,0.0075685+0.011884i
-0.114+0.092397i,-0.24642+0.17489i,-0.30048+0.23169i,-0.1838+0.24848i,-0.01756+0.22219i,0.059141+0.1379i,0.047149+0.036365i,0.019323-0.013774i,0.017127-0.014822i,0.015758-0.013032i,-0.0033558-0.012477i,-0.017041-0.0073627i,-0.019098-0.0060278i,-0.014731-0.0036179i,-0.0036426+0.00060519i,0.0062257+0.0015863i,0.010755-5.5404e-05i,0.011471-0.0028287i,0.0066018-0.0051679i,0.0013745-0.0046249i,0.00013405-0.0036587i,-0.0013864-0.0037096i,-0.001029-0.00085301i
0.015722-0.14528i,0.054818-0.29881i,0.061531-0.387i,-0.017839-0.34169i,-0.10547-0.23545i,-0.11509-0.125i,-0.065317-0.033057i,-0.019869+0.005306i,-0.013881+0.0065462i,-0.012698+0.0068709i,0.0056466+0.0036985i,0.018343-0.0020867i,0.019908-0.0018812i,0.015458-0.0015454i,0.0071548-0.0046777i,0.00063425-0.010339i,-0.0043169-0.013552i,-0.0079182-0.0098486i,-0.0078132-0.0042044i,-0.0061208-0.0011405i,-0.0045861+0.00057524i,-0.0010976-0.00048245i,0.0036921-0.0035082i
0.081403+0.11167i,0.15389+0.24883i,0.19672+0.32549i,0.20574+0.25311i,0.19053+0.12698i,0.13464+0.034146i,0.056068-0.024439i,0.0070774-0.040986i,0.0049467-0.031468i,0.0059006-0.020907i,-0.0069097-0.0059506i,-0.01493+0.004585i,-0.017247+0.0046267i,-0.015903+0.003872i,-0.01038+0.0028555i,-0.0036643+0.0020987i,0.0022719+0.0024966i,0.0038507+0.00093829i,0.0014978+0.0010531i,0.0020363+0.0021138i,0.0042613-0.00016747i,-0.00090187-0.0012664i,-0.010012-0.00068603i
-0.13085-0.026412i,-0.27548-0.077873i,-0.36389-0.11126i,-0.33103-0.069013i,-0.24189-0.00053985i,-0.13379+0.039173i,-0.027481+0.057219i,0.019955+0.052276i,0.01241+0.036426i,0.0036371+0.018268i,0.004649-0.0025199i,0.0068402-0.012971i,0.010861-0.014047i,0.01056-0.01376i,0.0016281-0.011356i,-0.011539-0.0059087i,-0.019549+0.0025089i,-0.016599+0.0086901i,-0.0090861+0.006663i,-0.0061876+0.001966i,-0.0052431+0.0015828i,0.0011574+0.0029541i,0.0086629+0.0051156i
0.11163-0.068891i,0.24935-0.12273i,0.33971-0.14459i,0.29366-0.13019i,0.18432-0.10142i,0.080125-0.069726i,-0.014253-0.04293i,-0.052977-0.021708i,-0.035506-0.013948i,-0.013839-0.0084151i,-0.0034411+0.0043023i,-0.0018498+0.011473i,-0.0057886+0.013333i,-0.0059487+0.015137i,-4.2459e-05+0.013196i,0.008866+0.0070034i,0.014804+0.00067306i,0.012366-0.00065252i,0.0086269+0.0024869i,0.0074443+0.0032238i,0.0025093+0.00060402i,-0.0044072+0.00054835i,-0.0067145+0.001198i
-0.035397+0.11867i,-0.099332+0.24474i,-0.15043+0.31742i,-0.12444+0.27231i,-0.059469+0.17317i,-0.0027993+0.085228i,0.048005+0.020767i,0.060688-0.0099954i,0.034725-0.0074073i,0.0081082-0.00070686i,-0.0062974-0.0025252i,-0.0068224-0.0060392i,-0.0019116-0.012798i,-0.0035803-0.016132i,-0.0077056-0.0092886i,-0.0084024+0.0034495i,-0.0054597+0.012463i,-0.00045722+0.011461i,-0.00049717+0.0042945i,-0.0039529+0.0023554i,-0.0025678+0.0060142i,0.0025333+0.004516i,0.0067872-0.0034781i
-0.050115-0.10657i,-0.082976-0.24165i,-0.086283-0.33183i,-0.063454-0.28207i,-0.033726-0.16552i,-0.027967-0.070728i,-0.047523-0.0033672i,-0.044899+0.02055i,-0.020628+0.0070378i,-0.0035747-0.0070777i,0.0046917-0.0074943i,0.0049641+5.6929e-05i,0.0040617+0.0095093i,0.0090408+0.014024i,0.014479+0.0078184i,0.01584-0.0062176i,0.012845-0.018742i,0.0084436-0.020147i,0.0077517-0.014422i,0.0083857-0.01172i,0.0053008-0.010554i,-0.00065564-0.0050743i,-0.0079244+0.0045624i
0.097852+0.039069i,0.2076+0.11597i,0.26527+0.17511i,0.20878+0.13862i,0.10808+0.057425i,0.057521-0.0053782i,0.051692-0.051195i,0.039573-0.053671i,0.020809-0.022159i,0.0088655+0.0010901i,0.001754+0.0072082i,-0.00021606+0.00046564i,-0.0048125-0.0093255i,-0.013075-0.0093738i,-0.015067-0.002035i,-0.0097216+0.0075267i,-0.0025114+0.014659i,-0.00015897+0.012912i,-0.0054432+0.0085853i,-0.0090042+0.0091936i,-0.0041506+0.0070735i,0.0027645-0.0016423i,0.0064019-0.00772i
-0.096346+0.034626i,-0.22756+0.047237i,-0.31122+0.040391i,-0.24837+0.030757i,-0.12134+0.02879i,-0.045759+0.047193i,-0.023563+0.078766i,-0.01772+0.071247i,-0.014412+0.029367i,-0.011447-0.00070022i,-0.0072391-0.008374i,-0.00022355-0.0015465i,0.010237+0.0057762i,0.017313+0.0018109i,0.013207-0.0088418i,-0.0011967-0.017419i,-0.014103-0.019164i,-0.014961-0.013876i,-0.006956-0.0082833i,-0.0024013-0.0070789i,-0.0059768-0.0048412i,-0.0096155+0.0025719i,-0.0060016+0.0096764i
0.049373-0.08643i,0.13758-0.18012i,0.19896-0.22692i,0.1429-0.17743i,0.03628-0.097807i,-0.022006-0.070075i,-0.03771-0.081049i,-0.028966-0.066635i,-0.0083698-0.029976i,0.0055359-0.0046014i,0.008113+0.0044207i,0.00053679+0.0019093i,-0.0124-0.00023448i,-0.019033+0.0053367i,-0.013491+0.011819i,5.3563e-05+0.013452i,0.011077+0.010446i,0.012325+0.007633i,0.0078362+0.0086862i,0.0064718+0.010329i,0.0077037+0.0071774i,0.0052599-0.0010434i,0.00081619-0.009819i
0.020272+0.094695i,0.01716+0.22131i,0.0059397+0.29987i,0.023484+0.23526i,0.060877+0.11332i,0.081495+0.057385i,0.082125+0.054548i,0.054908+0.041731i,0.016176+0.019495i,-0.0082916+0.0069389i,-0.015395+0.0032876i,-0.0069137+0.0020744i,0.0054777-0.0046325i,0.0075977-0.013789i,0.00062517-0.015535i,-0.0083422-0.0081729i,-0.01294-7.5658e-05i,-0.0098521+0.0016546i,-0.0052054-0.0050118i,-0.0059806-0.01235i,-0.006837-0.008918i,-0.0020741+0.0022414i,0.0029295+0.0093277i
-0.072436-0.056591i,-0.14905-0.15287i,-0.19073-0.21825i,-0.16654-0.15875i,-0.11925-0.045796i,-0.096646-0.0030733i,-0.087704-0.014919i,-0.054907-0.020217i,-0.014353-0.014206i,0.0079045-0.012125i,0.01241-0.013399i,0.0049274-0.0089777i,-0.0018311+0.0019941i,-0.00031371+0.012693i,0.0057979+0.015621i,0.012508+0.0094858i,0.016357+0.0012928i,0.013944-0.0011562i,0.0092123+0.0032109i,0.0081729+0.0065051i,0.0066297+0.0023964i,0.00084065-0.0057803i,-0.0049875-0.0095633i
0.08456-0.006695i,0.20084+0.012951i,0.28074+0.03143i,0.2412-0.0049321i,0.15113-0.064058i,0.11063-0.071743i,0.09564-0.039925i,0.057619-0.0082721i,0.017888+0.0057157i,-0.0011827+0.010983i,-0.0051792+0.01429i,-0.00064724+0.0091305i,0.0013232-0.0021408i,-0.0034363-0.0098378i,-0.0080997-0.0094064i,-0.0097531-0.0022951i,-0.0084943+0.0060405i,-0.0054901+0.0077486i,-0.006642+0.0028376i,-0.010023+0.0017462i,-0.0079308+0.0060384i,-0.00016089+0.0087518i,0.0077479+0.0082595i
-0.059929+0.05602i,-0.15957+0.11218i,-0.23645+0.14811i,-0.19364+0.15123i,-0.098825+0.13758i,-0.066839+0.11053i,-0.069307+0.072148i,-0.048097+0.028977i,-0.018902-0.001371i,-0.0059224-0.015505i,-0.0051416-0.018248i,-0.0063721-0.010497i,-0.0026554-0.00034497i,0.0040685+0.0042687i,0.009176+0.0012458i,0.010008-0.0074992i,0.006476-0.014118i,0.0046588-0.011022i,0.0077508-0.0035288i,0.011271-0.0013333i,0.008702-0.0035707i,0.0007223-0.0047492i,-0.0059214-0.0033571i
0.004959-0.077405i,0.04435-0.18215i,0.076688-0.26284i,0.041536-0.24873i,-0.016299-0.18711i,-0.014389-0.14075i,0.016576-0.096983i,0.024573-0.045247i,0.014867-0.0083337i,0.0082265+0.0079421i,0.0095857+0.012802i,0.010298+0.0078934i,0.003643+0.00072661i,-0.006332-0.0017521i,-0.011491+0.0015528i,-0.0089779+0.006206i,-0.0030779+0.0074063i,-0.0014062+0.0040785i,-0.0064109+1.771e-05i,-0.0093551-0.00022303i,-0.004995+0.00012247i,0.0021177-0.0011739i,0.0063265-0.00065359i
