-0.0037129+0.00049996i,-0.0022605-0.00041054i,-0.0009799+0.001019i,-0.00074342+0.0027654i,-0.00047813+0.0028955i,-0.00043032+0.0012872i,-0.00030411+0.0011253i,0.00028072+0.0012452i,0.0003193+0.00081706i,0.00038598+0.0005i,0.00089199-0.00016877i,0.0007683-0.0015914i,0.00029839-0.0017352i,0.00039547-0.00091944i,-8.9956e-05-0.00054808i,-0.00016462-0.00011063i,5.67e-05+7.5782e-05i,5.6886e-05-0.00037649i,0.00032302-0.00088449i,0.00075993-0.00032549i,0.00091192+3.5424e-05i,1.4428e-05-0.0004204i,-0.00015638-0.00065135i
0.00066591+0.00021425i,0.00090299+0.0010183i,0.00088951+0.0012832i,0.00073535+0.0002897i,0.00045369-0.00024399i,0.00045164+0.00036089i,0.00036153+0.0007941i,0.00016422+0.0004055i,0.00065619+9.1499e-05i,0.00048917-0.00018999i,-0.00022697-0.00044088i,-0.00016566-0.00022328i,2.2554e-05-0.00025143i,6.1323e-05-7.6077e-05i,-0.00030674+0.0003942i,-9.9237e-06-5.9534e-05i,0.000564-0.00092733i,0.00049903-0.0005849i,0.00013127-0.00051311i,-0.00061259-0.00040392i,-0.00067415+4.8254e-06i,-0.00024062-0.00030361i,0.00015334-0.0006845i
0.0006881+0.0025425i,0.00051007+0.0017751i,0.0007224+0.00073008i,0.00047848+0.0009494i,-0.00042817+0.00093172i,-0.0007221+0.00063061i,-0.00010764+0.00089984i,-0.00015447+0.0013064i,-0.00093548+0.00057723i,-0.0012071-0.00031629i,-0.00071646-0.00056452i,2.4983e-05+2.9575e-05i,0.00034587+0.0010283i,0.00019447+0.0013316i,-0.00070989+0.00049127i,-0.00016792-0.00012462i,0.0010394+6.6355e-06i,0.00055499-0.00029188i,0.000166-0.00066431i,9.0738e-05+1.7035e-07i,0.00012562+0.00029986i,-0.00016804+7.0121e-05i,-0.00043197+0.00022444i
-0.00065875-0.0010522i,-0.0002937-0.00011288i,-0.00082009+0.00043717i,-0.00081665+0.00084814i,-0.00082909+0.0015258i,-0.00020754+0.0014184i,9.9818e-05+0.00051294i,0.0006608-6.3545e-05i,0.0011871-0.00051041i,0.0004432-0.00070521i,-0.00021346-0.00038204i,-0.00061589-0.00051388i,-0.001455-0.00069017i,-0.0014935-0.000512i,-0.00038458-0.00028971i,0.00053628-0.00011748i,0.0011036-0.00035974i,0.0010948+9.2327e-05i,0.00055343+0.00036888i,0.00043486+0.00084904i,-1.3099e-06+0.00053669i,-0.0010754-0.00021276i,-0.0011632-6.9783e-05i
-0.00076948-0.00037675i,-0.00043032-0.00041079i,0.00025589-0.00034133i,9.8871e-05-0.00015128i,0.00010845+0.00072271i,0.0003017+0.00098328i,0.00019067+0.0005047i,4.1002e-05+0.00034509i,-0.00045739+4.1738e-05i,-0.00057083+0.0004557i,-0.0001796+0.00047885i,0.00038663-0.00012686i,-4.634e-05-4.7335e-05i,-0.00040094+0.00016245i,0.00054359+0.00017335i,0.00036699+0.00027517i,-0.00010111+0.00077075i,0.00046141+0.00098942i,0.00065058+0.00071109i,0.0005002+0.00022365i,0.00054725+7.1382e-05i,0.00032+0.00019481i,-0.00041496+0.00032905i
-0.00139-0.00048566i,-0.00062091+0.00059378i,-0.00075624+0.0012042i,-0.0013201+0.00099891i,-0.00079922+0.00095026i,-0.00072248+0.0004002i,-0.0014525-3.4725e-05i,-0.00093406+0.00045157i,-0.00065512-0.00038083i,-0.00050657-0.0015623i,0.0002383-0.0012361i,0.00046358-0.00013459i,0.00051154+3.0709e-05i,0.00084008+6.1935e-06i,0.00083556+4.7353e-05i,0.00033283+0.00044839i,-0.00043318-4.8179e-07i,0.00014807-0.00064705i,0.0010142-0.00057198i,0.0014715+0.00011367i,0.0013679+0.00059806i,0.00057636-0.00054965i,-0.00020579-0.00082216i
-0.00053788+0.00016178i,-0.001071-0.00059109i,-0.0012286-0.00032027i,-0.00086299+0.0013889i,-0.001359+0.0020344i,-0.00086231+0.0013546i,-0.00024657+0.0010096i,-0.00084722+0.00039102i,-0.0015831+0.00028517i,-0.0011551+0.00017877i,0.00042158-0.00068734i,0.00082297-0.00097705i,0.00033027-0.00043801i,-0.00024552+0.00016024i,-0.00032886+0.00010309i,-1.88e-05+0.00023762i,5.802e-05+0.00016948i,0.00039421-0.00021831i,0.0001457-0.00015817i,-8.6776e-05-0.00035526i,0.00014352-0.00078021i,-0.00031511-0.00054474i,-0.00060929+0.00010567i
0.00062543+0.00067626i,0.0011563+0.0006117i,0.0011509+0.00063999i,0.00068549+0.0012873i,-0.00046268+0.0018109i,-0.0014016+0.0014434i,-0.00059372+0.00072894i,0.00044058+9.1789e-05i,0.00099224-8.7874e-07i,0.00046467+0.00011765i,-0.000543+0.00027443i,-0.00036467+0.00065806i,-0.00026527+1.3568e-05i,-0.00012067-0.00051559i,8.1404e-05-0.00015876i,6.0666e-05-0.00013865i,4.2017e-05+5.0207e-05i,-0.00042575+0.00048134i,1.302e-06+0.00078995i,0.00066938+0.00063482i,0.00089412+0.00032935i,0.0013825+0.00058844i,0.001218+0.00016189i
0.00041967+0.0016444i,-0.00021271+0.0019252i,7.1436e-05+0.0016865i,0.00043269+0.00090853i,0.00033463+0.00067137i,0.00021768+0.00053299i,-0.00076639-0.00053243i,-0.00078138-0.00034752i,-0.00019438+0.00034711i,0.00043661+0.00028471i,-3.386e-05+0.0012671i,-0.00060353+0.0012378i,-0.00055547-1.9355e-05i,-0.00040921-0.00035791i,-0.0001439-0.0002261i,-0.00082625-0.00065377i,-0.0012955-0.00055542i,-0.00068095+0.00059921i,0.0001101+0.0011973i,0.0002874+0.00078569i,-0.00016137+0.00061584i,-0.00052581+0.00060294i,-0.0006474+0.00097508i
-0.0015545+0.0006287i,-0.00053325-0.00032591i,-0.00050555-0.0003555i,-0.00037079-0.00011983i,0.00089232+0.00057144i,0.00066929+0.0006079i,7.1333e-05+0.00014832i,0.00064554-0.00045027i,0.0013456-0.00073813i,0.0011857+0.00027056i,-5.8029e-05+0.0008843i,-0.0010719-0.0003692i,-0.0012972-0.0011757i,-0.00055631-0.00074988i,-6.0395e-05-0.00037937i,-0.00022387+0.00021396i,-0.00012319+0.00035986i,0.00022596+0.00019263i,0.00082412-0.00055527i,0.00096111-0.0012572i,-9.9587e-05-0.0012095i,-0.00080083-0.0012047i,-0.00015425-0.00058218i
-7.615e-05+0.00056609i,-0.00045016+0.00045101i,-0.00076156+0.0013782i,-0.00038443+0.0017273i,2.837e-05+0.0013405i,0.00010132+0.0014951i,0.00021033+0.00094503i,0.00026202+0.00047608i,-0.00031688+0.00016821i,-0.00091295-0.00060524i,-1.1554e-05-0.00040569i,0.00087624-3.1129e-05i,0.00020031+0.00052883i,-0.00059628+0.00039881i,-0.00072865-0.00018374i,-0.0003052+4.9397e-05i,-0.00048245+0.00039476i,-0.00070053+0.00017628i,-0.00039502-0.00029352i,-0.00036177+0.00051752i,-0.00082541+0.00066798i,-0.00030006+0.00037213i,-4.9757e-05+0.00035027i
0.00065736-0.001525i,0.00063875-0.00099053i,-0.00034869-0.00037212i,-0.00032722-0.00046265i,-0.00028381+0.00014393i,-0.00029846+0.00068072i,0.00029583+0.00068787i,0.00070639+0.00016738i,0.0011226-0.00028662i,0.0010066+0.00034444i,0.00045155+0.00040353i,-0.00024622+1.4937e-05i,-0.00077717-8.5055e-06i,-0.00033055+0.00036763i,0.00016617+0.00041574i,-0.00034561-5.8824e-05i,-0.00067688-0.00093362i,-0.00021631-0.00059238i,0.00034591+0.00011987i,0.00029575-0.00022679i,0.000113-0.00090568i,0.00016519-0.00097729i,0.00029147-0.00061889i
-0.00096083+0.0012592i,-0.00083937+0.0011526i,-0.00035504+0.0017182i,0.00019893+0.0025106i,-7.3128e-05+0.0025028i,-0.0008094+0.0014167i,-0.00049213+0.0010556i,3.3707e-05+0.00134i,-0.00047169+0.00060315i,-0.0002003+0.00015209i,0.00060327+0.0004651i,0.00043477+0.00012375i,0.00019822-0.00055145i,-0.00023728-0.0011169i,-0.00043076-0.0012448i,0.00020764-0.00092671i,-0.00045101-0.00014066i,-0.00084004+0.00022245i,-0.00026028+0.00023811i,9.3514e-05+0.00027371i,0.0003507+0.00053859i,0.00064957+0.00013104i,0.0001186-0.00018317i
-0.0019975-0.00016461i,-0.0017033+0.00038079i,-0.0016051+0.0007402i,-0.0012502+0.0016406i,9.9572e-05+0.0024324i,0.0010132+0.0016899i,0.00019813+0.00061255i,-3.0319e-05-0.00021575i,0.00029516-0.00059324i,-7.8655e-05-0.00034234i,0.00019592-0.00085674i,0.00027108-0.0015279i,0.00030395-0.00092818i,0.00040411-0.00053407i,0.00086798-0.00049936i,0.00043231-0.00062125i,0.00040421-0.00076486i,0.00059392-0.00044811i,-2.6845e-07-0.00034338i,-0.0003115-0.00027734i,-0.0006184-0.00016472i,-0.0009278+0.00022003i,-0.00064032+8.6724e-05i
-0.0011783+0.0012592i,-0.00062474+0.0015343i,-0.00082221+0.0016333i,-0.00070789+0.0014267i,-0.00058474+0.0011458i,-0.00030348+0.00064826i,-2.1181e-05+0.00024893i,-0.00041066+0.00051602i,-0.00079155+0.00075995i,-0.00015513+0.00025905i,0.00019338-0.00025831i,-7.9444e-05-0.00010445i,-8.9028e-05+0.00040495i,-0.00067549-0.00015424i,-0.00019202-0.00050341i,0.00076046+1.8266e-05i,-9.537e-05+0.00037195i,-0.00070169+0.00050871i,-0.00099364+0.00049552i,-0.00086987+0.00013194i,-0.00025639-0.00052548i,-0.00061248-0.00030902i,-0.0006803-0.00033091i
0.00021504+0.0003127i,8.9545e-05+0.00037741i,-0.00071073+0.0011754i,-0.00062237+0.0019279i,0.0003169+0.0016205i,0.00043272+0.00089415i,-0.00020383+0.00055347i,-0.00066651+0.00071524i,-0.00090024+0.00040218i,-0.00081559-1.5369e-07i,-0.00048859+0.00097236i,-0.00030634+0.0016201i,-0.0003279+0.0013629i,-0.00022676+0.0015647i,-0.00017772+0.0017529i,-0.00054114+0.0013884i,0.00018509+0.00073394i,0.00049452+0.00087882i,-8.5723e-05+0.00062331i,0.00010069+0.00085385i,1.4449e-05+0.00093136i,-0.00047718+0.00024454i,-0.00058814-0.00050785i
0.0010626-0.00019508i,-0.00060696+0.00048449i,-0.0008753+0.00044538i,-0.00026968+0.00053097i,-0.00061481+0.0016675i,-0.00077918+0.0016188i,-0.00052297+0.00016316i,-0.00088775-0.00011107i,-0.0011795+5.8353e-05i,-0.00079862-0.0004564i,-0.00068849-0.00030002i,3.4368e-06-0.00037156i,0.00099334-0.00010108i,0.00031871+0.00037231i,-0.00057859-0.00029302i,-0.00045922-0.0013872i,-6.4575e-06-0.0015913i,0.00011583-0.00076802i,0.00084064-0.00016665i,0.00083825+5.156e-06i,6.8524e-05+0.00037835i,-0.00048784+4.3616e-05i,1.4487e-06-0.00041456i
0.00020092-0.0001233i,-1.0064e-05-0.00020075i,-0.00022368-6.9995e-05i,-0.00054623+0.00075532i,-0.0013176+0.0016208i,-0.0013362+0.0013779i,-0.00019669+0.0012097i,-3.4467e-05+0.00084847i,-3.7145e-06+0.00017513i,0.00045056+0.00030395i,0.00066883+0.00020126i,0.00087313-0.00032793i,0.00099912-0.0009944i,0.00088102-0.00042613i,0.00012976+0.00057196i,-0.00036803+0.00098566i,0.00024198+0.00048033i,0.00061767+0.00036416i,0.00048435+0.00017303i,0.00073916-0.00035911i,0.001349-0.00040071i,0.0011368-0.00070909i,8.7924e-05-0.0008588i
0.000836-0.00090721i,0.00065015-0.00081446i,-0.00023957+0.00042229i,9.4782e-05+0.0016047i,0.00071511+0.0016876i,0.0013086+0.00084554i,0.0015522+0.00016381i,0.00061869-0.00029194i,0.00033611-0.0010054i,0.00020882-0.0009825i,-0.00035492+0.00010536i,-0.00016359+0.00012269i,0.00032279-0.00045168i,0.00063061-0.0007347i,0.00093926-0.00063566i,0.00054073+0.00017667i,1.0092e-05+0.00065129i,0.00021558+4.3341e-05i,-0.00056771+0.00014103i,-0.00056676+0.00034284i,-5.3805e-05+0.00060236i,-9.5735e-05+0.00074113i,-0.00050272+0.00086734i
0.00091307+0.00091349i,0.00097715+0.00020981i,0.00012177-0.00018325i,-0.0012841+0.00039766i,-0.0012864+0.00064534i,-0.00049472+0.00082157i,-0.00056153+0.00095784i,-0.0012055+0.0010355i,-0.00091953+0.00063384i,-0.00070875-0.00012832i,-0.0013066-0.00086259i,-0.00078379-0.00041447i,0.00012462+0.00013392i,0.00055155-0.00014075i,0.00060797+0.00044261i,0.00012847+0.00011984i,-0.00035343-0.00072081i,0.00015444-0.00066847i,0.00017717-0.0008171i,-0.00029214-0.0002454i,0.00025096-0.00044089i,0.00098864-0.00046276i,0.0017215+0.00050972i
0.0019167-0.00061928i,0.0026145-0.0012208i,0.0017868-0.0011327i,0.0004044-0.00015727i,-0.00028327+0.00063036i,-0.00028942+0.0017562i,-0.00042301+0.0015224i,-0.00044421+0.00060698i,-6.0555e-05+0.00050814i,-0.00021075-5.0711e-06i,-0.00049877-7.946e-05i,-1.8878e-05+0.00058233i,0.00048735+0.00030583i,-0.0003719+0.00050407i,-0.0006717+0.00044536i,0.00057838-0.0001476i,0.00055635-0.00040576i,-8.3757e-05-0.0008653i,0.00035727-0.001037i,0.00096889-0.00099194i,0.00046311-8.1509e-07i,-0.00040685+0.00020852i,-7.9668e-05-0.00085165i
0.00062801+0.00026111i,0.00060195+0.0012354i,0.00054937+0.00061337i,0.00045405+0.00047547i,0.00044574-3.2718e-05i,-0.00019207+8.2278e-05i,-0.00055152+0.00036293i,-1.8692e-05+0.00043921i,0.00058207+0.00062335i,0.00051581-0.00010267i,1.8415e-06-0.00057768i,-0.00088605-0.00067696i,-0.0013911-0.0004833i,-0.00035641+0.00046036i,0.00010555+0.0010897i,1.0167e-05+0.0011277i,0.00027967+0.00091443i,0.00064509+0.00015746i,0.0010181-0.00015402i,0.0010035+0.00020817i,0.00042838-5.8051e-05i,-0.00023467-0.00020734i,-0.00041824-0.00039031i
-0.00067725-0.00069817i,-0.0014945-0.00019333i,-0.0011752-0.00028258i,-0.0002837+0.0001563i,-0.00046957+0.00085018i,-0.0011696+0.0012806i,-0.00067547+0.00038788i,0.00029309-0.00025965i,0.00046654-3.0253e-05i,-5.6715e-05+0.00014569i,-0.0011828-0.00024138i,-0.00061379-0.00099198i,0.0004356-0.00036539i,0.00033081+0.00082015i,-0.0003289+0.00024276i,-0.00065408-0.00024655i,-0.00061086+0.00028532i,-0.00023776+0.00078768i,0.00049926+0.00063268i,0.00088134+7.4504e-05i,0.00067357-0.0003109i,0.00057512-0.00016379i,-0.00035079-0.00053395i
0.00078003+0.00029322i,0.0010298+0.00027615i,0.000884-1.659e-05i,0.00029194-0.00019911i,0.00040648+0.00033733i,7.203e-05+0.0013469i,9.0025e-05+0.0015906i,0.0001827+0.00061961i,0.00021758-3.3024e-05i,2.0853e-05-0.00050444i,-2.9955e-05-0.0011272i,5.6579e-06-0.0010639i,5.9268e-05-0.00061166i,7.8472e-06-0.00046679i,-0.00048692-0.00027815i,-0.00076702-0.0002491i,-0.0012529-0.00070885i,-0.0016038-0.00067306i,-0.00062486-0.00039218i,0.00049407-0.00010187i,0.00081245+0.00017376i,0.00054407+0.00014832i,0.00058444+0.00010973i
0.00035384-0.00040345i,0.00032834+0.00059998i,-8.7106e-05+4.5334e-05i,-0.00026682+0.00022847i,-0.00033121+0.00058589i,-0.00035374+0.0004853i,-0.00019055+0.00025545i,-5.177e-05+0.00033001i,-0.00018633+0.00060047i,4.6001e-05-0.00042265i,6.6309e-05-0.0012199i,-0.00031911-0.0012873i,-0.00053339-0.00018524i,-6.5031e-05+0.0013158i,0.00022657+0.0012664i,-0.00024893+0.00010128i,-0.00046813-0.00058617i,-5.9806e-05-0.00056756i,0.00035885-0.00050927i,-1.6279e-05-0.00034161i,-0.00024847-0.00053445i,-9.78e-05-0.00092369i,-0.00039396-0.00092196i
-0.00078279+5.7941e-05i,-0.0015119+0.00033994i,-0.0007921+0.001025i,0.00057909+0.0015648i,0.00067015+0.0015154i,-3.7177e-05+0.0011962i,-7.6919e-05+0.00047853i,-0.0002536+5.9802e-06i,-4.3865e-05+0.00013145i,0.0006476-0.00026413i,0.00026126-0.00082508i,-2.1272e-05-0.00031432i,-0.00048764-0.00014549i,-0.00065079-0.00068349i,0.00010854-0.00064749i,0.00044804-8.8376e-05i,0.00082851-0.00024904i,0.0010257-3.1797e-05i,0.00020522+0.00031545i,-0.0004822-7.7002e-05i,0.00033832-6.938e-05i,-3.1061e-05+8.5918e-05i,-0.00064606-0.00022703i
-0.0003731-0.00072425i,-0.0011927-8.5482e-05i,-0.0016552+0.0014422i,-0.00060255+0.0017867i,0.00034173+0.0012188i,0.00034682+0.00088151i,0.00028677+0.0013724i,0.00076812+0.00069706i,0.00079707+0.00039473i,0.00018164+0.0011969i,0.00037564+0.0010446i,0.00056852+0.00076526i,0.0015139-1.0795e-05i,0.0014389-0.0012496i,0.0010957-0.0012286i,0.001268-0.000296i,0.00022787-0.00018026i,-0.00051379-0.00066034i,-0.00048088-0.0005539i,-0.00032628-0.00013947i,-0.00023047+0.000507i,-0.0002492+0.00083473i,-0.00014514-0.00022068i
5.4358e-05+8.9225e-06i,-0.00049475+0.00022948i,-0.00058182+0.0004542i,-0.001077+0.00070113i,-0.0012706+0.0017418i,-0.00058233+0.0014672i,0.00044172+0.00051528i,0.00088004-8.8849e-05i,0.00078569-0.00029559i,0.00043553-0.00040307i,3.8251e-05+8.9509e-05i,-8.0756e-05+0.0007169i,-0.00011395+0.00043448i,0.00011624+0.00058415i,3.643e-05+0.00055307i,-0.00042433+0.00065047i,-0.0005773+0.00012908i,-0.00021823-0.00016652i,-0.00019565+0.00040364i,-0.00049416+0.00041474i,-0.00041469+0.00031482i,-0.00013417-0.00024082i,0.00026103-0.0003582i
0.0019855-0.0012713i,0.0023286-0.00063926i,0.0013168-0.0010277i,-0.00025923-0.0009375i,-0.00016055+0.00048984i,-0.00010933+0.0010428i,-0.00080949+0.00061416i,-0.00087724+0.00032642i,-0.00088302-0.00047122i,-0.000657-0.00065148i,-0.00074187-0.00050521i,-0.00064934-0.00054639i,-0.00073859-0.00056719i,-0.00025738+0.00023677i,0.00050728+0.00075794i,0.00029052-0.00012835i,-0.00016981-0.00010921i,-0.00036692+0.00068248i,-0.00042879+0.00077684i,0.00031145+0.00051196i,0.00035812+2.9742e-06i,0.00033511-0.00028544i,0.00040147-8.4729e-05i
-0.00065532+0.0004162i,-0.00043295+0.0016945i,-0.00036685+0.0019981i,-0.0003915+0.0015052i,0.00042313+0.00089285i,0.00017661+0.00040956i,-0.00038798+0.00032043i,-0.00035076+0.00040683i,3.1711e-05+0.00031076i,0.00045766+0.00058956i,0.00014787+0.0011857i,0.0003517+0.00036196i,0.0005667-0.00023882i,-4.0598e-05-0.00017008i,0.00028505-0.00024538i,0.0003617+0.00017118i,-0.00055103+0.00068223i,-0.00017422+0.00019771i,8.2771e-05-0.00030395i,3.8033e-05+0.00037969i,-0.00018838+0.00050789i,-0.00039335+0.00046061i,-0.00052812+0.0010376i
-0.00054233-0.0014052i,-0.00058931-0.0017612i,-0.00077634-0.001486i,-0.00088008-0.00011815i,-0.00091627+0.0013748i,-0.0008659+0.0026469i,-0.00039729+0.0023808i,-0.00033618+0.0015737i,-0.00086764+0.0016351i,-0.00011123+0.0013521i,2.5255e-06+0.0011819i,0.00052623+0.00091072i,-3.6342e-05+0.00010369i,-0.0011659+0.00024155i,0.00014051+0.00043391i,0.00045978-0.00027805i,0.00015064-0.00059311i,0.00055653+8.8614e-05i,0.000615+0.0010852i,-4.6232e-05+0.00096594i,-0.00069038-0.00053753i,-0.00031282-0.0011196i,-6.464e-05-0.00034549i
0.0008225-0.0024091i,0.0012775-0.0020936i,0.00059569-0.00152i,-0.0001974-0.00015591i,-0.00078215+0.00079894i,-0.0012646+0.0015681i,-0.00079971+0.00085998i,0.00051305+0.00076986i,0.00090301+0.0011834i,0.00068164+0.00060392i,0.00074639-0.00010316i,0.00067838-0.00068351i,0.00071867-0.00073623i,0.00021166-0.00095653i,-0.00029564-0.0002264i,-0.0010943+0.0010124i,-0.0015947+0.00072733i,-0.00064424-0.00023643i,0.00033474-0.00028009i,4.9554e-05+0.00051528i,-0.00017811+0.00053646i,2.5317e-05+0.00037547i,0.00039851+8.9788e-05i
