0.00034691-0.00059808i,0.00033585-0.0011282i,-0.00080389-0.0013325i,-0.002174-5.4638e-05i,-0.0025211+0.0010069i,-0.0018039+0.0020602i,0.00023695+0.0022951i,0.0014801+0.0017083i,0.0014966+0.0012476i,0.00055384+0.00060398i,-0.00046509-0.00028885i,-0.00027391-0.0005419i,0.00047917-6.0106e-05i,2.7631e-05+0.00075642i,-0.00035932+0.00056148i,0.00054067-0.00021308i,0.00055457-0.00024155i,0.00041862-0.00049607i,0.00017636-4.3456e-05i,-0.00010993+0.00068959i,7.6633e-05+0.00066598i,0.00010404+0.00056244i,6.2445e-05+0.00047885i
9.3288e-05+0.0021309i,0.0010368+0.0017445i,0.00099681+0.00053959i,1.1192e-05+0.0010494i,-0.00039038+0.0012088i,0.00024949-1.8538e-05i,0.00028483-0.00060964i,4.8602e-06-0.00026464i,0.00048958-0.00036684i,0.0011132-0.00067618i,0.00043971-0.00046059i,0.00021707-0.00063657i,0.00032274-0.00079381i,-0.00013672-0.00035858i,-0.00059821+0.000129i,-0.00048998+0.0005087i,2.3551e-05+0.00023302i,-7.4165e-05-0.00010976i,-0.00089071-0.00015042i,-0.0008397-2.562e-05i,-0.00060066+0.0001008i,-0.00044725-0.00016029i,-0.00042092-0.0003944i
-0.00043875+8.4921e-07i,-0.00041144+0.00023828i,-0.00039564+0.00095596i,-0.00037573+0.0013617i,-0.00075987+0.0006247i,-0.00081662-5.6723e-05i,-0.0001648+0.00030886i,4.1432e-05+0.00057809i,-4.7639e-05+0.00053189i,0.00050162+0.0002313i,0.0010577-3.8222e-05i,0.0006276-0.00053231i,-7.9031e-05-0.0011119i,-0.00020623-0.00056799i,4.6991e-05+0.00059113i,-0.00018239+0.00073923i,-0.00064009+0.00012334i,-5.968e-05-0.00018954i,0.00030052-0.00015244i,-0.00058911-2.94e-06i,-0.00096472+0.00018985i,-0.00060525+0.00021005i,-0.00055827+2.6909e-05i
-0.0012211+0.00096475i,-0.0010757+0.00136i,-0.00037269+0.0020113i,0.00020559+0.001946i,0.00021806+0.0012225i,-0.00024142+0.00051866i,4.2721e-06+0.00031824i,0.00048038+0.00063017i,0.0004967+0.00058431i,0.00034871+0.0010251i,0.00011781+0.0012325i,-0.00013852+0.00087035i,-0.00055855+0.00024511i,-0.00014375-0.0002517i,0.00026744+0.00027893i,-7.0316e-07+0.00081018i,-0.00030279+0.0005875i,-0.00018515+0.00014114i,0.00019402+0.0003379i,-0.00051723+0.00025824i,-0.0011838+7.7618e-05i,-0.00074536+9.4768e-06i,-0.00061442+8.2736e-07i
-0.00012775-0.0014574i,0.00038563-0.0014772i,0.00025273-0.0011483i,-7.3149e-05+4.425e-05i,0.00026804+0.00083686i,0.00085059+0.0012082i,0.0010444+0.00056262i,0.00077719-0.00013678i,0.00034963-0.00022626i,3.8569e-05+0.00030007i,-0.0004642+0.00094529i,-0.00029276+0.00098566i,0.00050856+0.00087527i,0.00081637+0.00078578i,0.00047285+0.000873i,-6.7364e-05+0.00069899i,-0.00036845+9.5743e-05i,-0.00027382-0.00014678i,-0.0001422+0.0001201i,0.00020897+0.00027146i,0.00026169+3.3991e-06i,-0.00066709-5.4242e-05i,-0.00032464-0.00015837i
0.00061842+0.0014703i,0.0006789+0.0014485i,0.00018323+0.00084684i,-0.00035967+0.00078915i,-0.00059667+0.00039197i,-0.00023841+0.00014663i,1.8563e-05+0.001019i,3.2807e-05+0.00088823i,7.0275e-05-0.00050983i,-1.1427e-06-0.0010315i,-0.00051206-0.001054i,-0.00049183-0.00071919i,2.0272e-06-0.00016238i,0.00027828+0.00025383i,0.00014287-0.00018724i,7.4621e-05-0.00012048i,0.00033909+0.00041023i,4.3936e-05+0.00050495i,-3.5948e-06+0.0005392i,0.00060434+0.00052791i,0.0010711+0.00056603i,-0.00014374-0.00012641i,-0.001254-0.001077i
0.00055805+0.0012789i,0.0010261+0.00089723i,0.0011312-0.00021095i,0.00039534-0.0007632i,-0.00038703-0.00047556i,-7.046e-05+0.00011113i,0.00027752+0.00046712i,-0.00036962+0.00016291i,-0.00049186-0.00027639i,-0.00024103-0.00078714i,0.00027588-0.001356i,0.00078567-0.00077441i,0.00033672+4.7883e-05i,0.00032563-0.0001266i,0.00041763-0.00061901i,0.00076624-0.00033889i,0.00079441-0.00021101i,-9.4126e-05-0.00024217i,-4.9213e-05+0.00013144i,-0.00030383+0.00023155i,-0.0003132-1.8333e-05i,0.00061014-1.0061e-05i,0.00088834+0.00039032i
0.0019654+0.00088482i,0.0010427-0.00026825i,0.00053176-0.00088754i,-0.00015579-0.00043213i,-0.0003776-0.00015878i,-0.00037617+0.00052107i,8.529e-05+0.0012885i,0.0008877+0.0012081i,0.0012449+0.000899i,0.0012671+0.00051776i,0.0008621+4.7594e-05i,0.00035367+0.00037108i,0.00013812+0.00029778i,0.00063297-4.4073e-05i,0.00032138-0.00016931i,-0.00016296-0.00046885i,-0.00071904-0.00071183i,-0.00040407-0.00052895i,0.00052333-0.00044787i,0.0012049-0.00046881i,0.0012158+5.0687e-05i,0.00019209-8.7081e-05i,-0.00020095-0.00095509i
-0.0012771+0.00071849i,-0.0003113+9.6264e-05i,1.0561e-05+3.6944e-05i,5.8883e-05+0.00040743i,0.0006111+0.0010478i,0.00051325+0.00090702i,0.00056027+0.00014801i,0.001043-8.3052e-05i,0.00037482+0.00041313i,-0.00011805+0.00033761i,-7.4256e-05-0.00023931i,-0.00083194-0.0003999i,-0.00067165-0.0003348i,-2.6111e-05-4.9926e-05i,-0.00010921-0.00038253i,0.00018793-6.726e-05i,0.00012657+0.00054099i,-0.00031365+0.00034708i,-0.00051319+0.00051422i,-0.00038728+0.00023151i,-0.0004396-0.0005332i,-0.00063871-0.0012241i,-0.00029808-0.0011787i
-0.00014507-0.00095467i,-0.00025819-0.00095696i,0.00053363+0.00025065i,0.00054456+0.00072455i,-0.00019013+0.00070814i,0.00066273+0.00072649i,0.0013331+0.00031154i,0.00099349+0.00042329i,0.0010384+0.00033192i,0.00078034+0.00046158i,0.00062855+0.00072837i,0.0014968+0.00084515i,0.0015905+0.00044203i,0.00062423+0.00038963i,0.00036197+0.00027724i,0.00040918+0.00022096i,0.00027617+0.0008552i,7.0988e-05+0.0005553i,7.5107e-05-0.00021309i,0.0001464+0.00016172i,0.00032137+7.3501e-05i,0.00087009+5.8262e-05i,0.0007538+8.8409e-05i
0.00091122+0.0016769i,0.0012718+0.00050095i,0.0004303-0.00028392i,-0.00051985+4.8271e-05i,-0.0015692+0.00037434i,-0.0017693+0.0002258i,-0.00086763+0.00060222i,-0.00064492+0.00053478i,-0.0007938-0.00030634i,-0.00061823-0.0003643i,0.00056797+0.00049257i,0.00085445+0.00075149i,-0.00032631+0.00086415i,-0.0010037+0.0010333i,-0.00097936+0.00046651i,-0.0001439-2.4235e-05i,0.0011229-0.0002164i,0.0012424+5.8687e-05i,0.00051846+0.00098524i,-4.935e-05+0.00050813i,0.00022142-0.00062849i,0.00037498-0.00026367i,0.00058541-4.3282e-05i
0.0016656+0.0011002i,0.0010206+0.0010282i,0.00023921+5.8664e-05i,-0.00027437-0.00061961i,0.00052793-0.00031761i,0.00062277+0.00057787i,-0.00021859+0.00019636i,-0.00076514-0.00060245i,-0.0007119+1.6358e-05i,-0.00029329+0.00042592i,-0.00040399-2.9379e-05i,-3.8129e-05+0.0002644i,0.00054471+0.00029965i,0.000186-8.2498e-05i,0.00018094-0.00019327i,0.00069819-0.00035502i,0.0004992-0.0001757i,8.9188e-05-5.9847e-05i,-0.00020809-0.00011487i,-0.00032292+0.00039666i,-5.8773e-05+0.0004599i,0.00027261+0.00042925i,0.00086883+0.00099536i
-8.7506e-05-9.3714e-05i,0.00057082+5.1818e-05i,0.0011735+0.00047601i,0.00078067+0.00062117i,0.00015194+0.0013317i,-0.00041614+0.0018334i,-0.00061733+0.0010211i,0.00011361+0.00056897i,0.00060028+0.00015025i,0.00053324+9.1411e-05i,2.1414e-05+0.00021457i,-0.00046208+0.00021687i,-0.00044267+0.00036502i,0.00024328+6.1643e-06i,-0.00026495+0.00019519i,-0.00067593+0.00080817i,3.5074e-05+0.00065071i,0.00041725+0.00067915i,0.00058509+0.00094109i,0.00028401+0.00012989i,0.0001494+6.1645e-05i,-2.173e-06+0.00096806i,-0.00068832+0.00039289i
-0.00076506+0.00011975i,-0.00031174+0.00027194i,0.00023166+0.00050473i,9.3551e-06+0.00051924i,-0.00081774+0.00057198i,-0.0010407+0.0006438i,-0.0003714+0.00037373i,0.00037119-0.00058561i,0.0003909-0.0005222i,0.00018512+5.8812e-06i,0.00034525-0.0003334i,-6.9234e-05-8.7764e-06i,0.00013854+0.00085898i,0.00071037+0.00092039i,0.00047419+0.00022913i,-0.00020058+0.00023993i,-0.000324+0.00019862i,-0.00030798-0.00054257i,-0.00071655-0.00038824i,-0.0011849+0.00015434i,-0.00085901+7.1508e-05i,-0.00064012+0.00018648i,-0.00061235+9.3287e-06i
0.0017743+0.00050129i,0.0016153+0.00054192i,0.0016356-0.00033122i,0.00061195-0.00019263i,-0.0001246+6.9211e-06i,0.00042671+0.00058761i,0.0013795+0.00094243i,0.00096735+0.00036229i,0.00062463+0.00022992i,0.00083404+0.00027226i,0.00025766+0.00036884i,-0.00037359+0.00066289i,-0.00040367+0.0003699i,0.00022761+0.00052987i,0.0004508+0.0014572i,0.00046707+0.0017444i,0.00060219+0.0012697i,0.00062791+0.00045764i,0.00080527+0.00035196i,0.00095324+0.00027197i,0.00079703+9.7477e-05i,0.00025656-0.00010373i,-0.00042044+0.00044248i
-0.0013602+0.001662i,-0.0006769+0.0010104i,-0.00062274+0.00072904i,-0.00057097+0.00062355i,-0.00044989+0.00053468i,0.00039503+0.0001295i,0.0011032-0.00038547i,0.0008884-0.00051786i,0.00047475+0.00023716i,-5.8281e-05+0.00075754i,8.471e-05+0.00099861i,0.00034804+0.00084834i,0.00084751+0.00036761i,0.001238-0.00051647i,0.00072768-0.00078i,1.4879e-05-0.0010301i,-0.00020575-0.001589i,0.00011798-0.0015002i,-0.0002881-0.00089329i,-0.0014688-0.00024116i,-0.00099808-0.00036526i,0.00023331-0.00046237i,0.00023623-0.00034791i
-0.0011054-0.00024613i,-0.00079691-0.00038584i,-0.00035052-0.00079678i,-0.0001903-0.0003356i,4.6482e-05+0.00030692i,2.9648e-05+0.00078229i,0.00042099+0.0002246i,0.0013724-0.0001794i,0.0012613-0.00023652i,0.00023895-0.00048661i,0.00015431-0.00059945i,-7.0654e-05+3.4173e-05i,-0.00066182+0.00053562i,-0.0003833+8.6666e-05i,0.00032826-3.857e-05i,0.00075141+5.9064e-05i,0.00064612-0.00031814i,-0.00022337+0.00029203i,-0.00075637+0.00061729i,5.3343e-05+0.00012128i,0.00085535-0.00053193i,0.00072744+9.8471e-05i,5.6047e-05+0.00071098i
-0.0018266+0.00055728i,-0.0014311+0.00025289i,-0.00081329+2.1018e-05i,-0.0012402-8.4624e-05i,-0.0013171+0.00037482i,-0.00074054+0.00046269i,-0.00048626+0.0004243i,-0.00041006+0.0002457i,0.00076091+0.00023237i,0.00099141+0.00026345i,0.00078428+0.00027168i,0.0015177+0.00085415i,0.0013704+0.00058622i,0.00062112-0.00038798i,-0.00023509-0.00088107i,-0.00011388-0.0010268i,0.0001969-0.00036326i,-7.2348e-05+0.00013331i,0.000408+0.00025648i,0.00081069+7.4365e-05i,0.0015331-0.00045249i,0.0017354-0.00053233i,0.00052193+1.3629e-08i
0.00069788+0.0018583i,0.00177+0.0022128i,0.0017949+0.0019715i,0.0017809+0.0012824i,0.0015064+0.00074058i,0.0015066+0.00071306i,0.0015396+0.00072076i,0.0010875+0.00047103i,0.00096643+0.00077446i,0.00076861+0.00075127i,0.00075331-0.00016336i,0.00052374-0.00077i,-0.00024502-0.00070623i,-0.00039889-4.7819e-05i,-0.00045098-6.8389e-05i,-0.00087065-0.00038716i,-0.00069557-0.00053083i,-0.00018426-0.00055153i,-0.00055964-0.00022971i,-0.00097767-0.0001052i,-0.00056008+0.00025319i,-0.00012818+0.00063159i,0.00022838-6.2747e-05i
-0.00085317-9.828e-05i,-0.0003801+0.00025061i,-0.00047119+0.00026878i,-0.00022162-2.1414e-05i,-3.3337e-05+0.00015048i,0.00018973+0.00062868i,0.00027083+0.00033339i,0.0005902+8.2198e-05i,0.00062144+0.00055788i,0.00075894+0.0014374i,0.0010597+0.0015199i,0.0006863+0.00055904i,0.00032561-0.00011512i,0.00063972+2.9858e-05i,0.00074003+0.00070482i,6.3646e-05+0.0012254i,-0.00036437+0.00086061i,-0.00031759-0.00016515i,-0.00020866-0.00085472i,0.00011151-0.00055507i,0.00011408-0.00075059i,0.0001724-0.001145i,0.00017897-0.00011907i
0.00095254-6.349e-06i,0.0008837-0.00077181i,0.00095086-0.00073742i,0.00049842+9.1747e-05i,0.00048968+0.0014275i,0.00090954+0.0013851i,0.0013359+0.00059384i,0.00093371+0.00016116i,-0.00043337+0.00020305i,-0.00077073+3.5213e-05i,-0.00022926-0.00050913i,6.2035e-05-0.00026148i,0.00019476-0.00077775i,9.9187e-06-0.00061744i,-8.7456e-05+0.00054112i,0.00020888+0.00052565i,0.00054382+0.00023491i,0.0005141+3.3556e-05i,-1.7201e-05-4.6678e-05i,-0.00032782-0.00020904i,0.00016855-4.5459e-06i,0.00054886-0.00033935i,0.00088526-0.00088588i
0.00071851-0.00023607i,0.0012302-0.0014548i,0.0012231-0.0016124i,0.000308-0.00015358i,-0.00083055+0.0008309i,-0.00074303+0.00067263i,0.00016099-0.00037458i,0.00023228-0.0008301i,0.00042207-0.00056878i,0.00080274-0.00061843i,0.00015117-0.00056426i,-0.00054305-0.00016565i,-0.0005754+0.00026918i,-0.00016708+0.00018659i,0.00042875-3.0665e-05i,0.00058102+6.568e-05i,0.00044441+0.00014837i,0.00071794+0.00035145i,0.00096598+0.00054299i,0.00089188+0.00081485i,0.0010714+0.00028412i,0.0010319-0.00039336i,0.00027922-0.00033827i
0.00095507+0.00074601i,0.00058781+0.0011628i,0.0013341+0.0014785i,0.001551+0.0010782i,0.0012774+0.00059294i,0.0014762+0.00082963i,0.00073743+0.0010837i,0.0004518+0.00067953i,0.00034959+2.8349e-05i,2.0537e-05-0.00075909i,1.5961e-05-0.001281i,2.4045e-05-0.00024535i,0.00068566+0.00026014i,0.0005597-0.00064552i,0.00011346-0.00069369i,0.00019889-7.0155e-05i,0.00011879+0.00038989i,-0.0002589+0.0001387i,-0.00044172-0.00027231i,-0.0004727-1.6584e-05i,-0.00068738-0.00024381i,-6.3796e-05-0.00082553i,0.00045083-0.00070017i
-0.0013267-0.00085574i,-0.0024323-0.00044371i,-0.0019598-8.4592e-06i,-0.00048189+0.0012497i,0.00030465+0.0022295i,0.00099929+0.0015i,0.0010523+0.00057072i,0.00056577-0.00022088i,0.00047437-0.00027622i,-1.2036e-05+0.00021961i,0.00030231-0.00010519i,0.0015358-1.6655e-05i,0.0017336+1.7858e-06i,0.00093254-0.00070218i,0.00064188-8.6611e-05i,0.00076636+0.00023865i,0.00084531-0.00020293i,0.00069519-0.00039142i,-0.00043212+7.0384e-05i,-0.0012096+0.0001978i,-0.00075913+0.0004899i,-0.0002787+0.00024432i,-0.00038347-0.00043121i
1.1745e-05-0.00013142i,-0.00039515-0.00050933i,-0.00072367-0.00099166i,-0.0009992-0.0004383i,-0.00052954+0.00083588i,3.0403e-05+0.00081276i,0.00058024+0.00014802i,0.00095646+4.3181e-06i,0.00041062+8.0226e-05i,0.00015719+0.00023804i,-0.00024949+0.0001481i,0.00024798-6.7318e-05i,0.00059992-0.00025742i,0.00015993-0.00045224i,-0.00010347-0.00014086i,-0.00011369-0.00013026i,-0.00029865-0.00054622i,-0.0005947-0.00033954i,-0.00071206+0.00023703i,7.5265e-05+0.00035025i,0.00075401-0.00032357i,0.00052632+1.2648e-05i,0.00027201+0.00036746i
-0.0012659+2.6818e-05i,-5.7708e-07+0.00087793i,0.0008655+0.0015853i,0.00084563+0.0012958i,0.00025121+0.001263i,0.00080957+0.00092111i,0.0013631+0.00032716i,0.00082681+0.00037086i,0.00038617+0.00063068i,0.00036724-0.00033947i,0.0005061-0.00076501i,0.0004693-0.00010105i,0.00069365+0.00023927i,0.00070017+1.7383e-05i,5.9176e-05+0.00014842i,-0.00016501+0.00016629i,-8.4646e-05-0.0002599i,0.00024987-0.00082472i,0.00049766-0.00076497i,5.9208e-05+0.00013064i,-0.00046534+0.00040376i,-0.00042189+0.00013432i,0.00037785-0.00016439i
0.0014626-0.00092373i,0.00073384-0.00019589i,-0.00022169-0.00052011i,-0.00065924-0.00045132i,-0.00087521+0.00024334i,-0.00048766+0.00044767i,-0.00026108-0.00048897i,0.00056647-0.00084318i,0.001135-0.00015856i,-0.00039675-3.0138e-05i,-0.0013779-0.00034059i,-0.00083635-0.00034742i,-4.7495e-05-8.3515e-05i,0.00031297+0.00027499i,0.00013389+0.00014271i,0.00021392+0.00039593i,2.4391e-05+0.0010356i,4.0478e-05+0.00088811i,5.767e-05+0.00027097i,-0.00042469-0.00024086i,8.8508e-05-0.00062801i,0.00037419-0.00027785i,-0.00083675+0.0003971i
-0.0020676-1.4644e-05i,-0.0021035-0.00074749i,-0.0020983-0.00051597i,-0.0010639+0.00073911i,-0.00033258+0.0020089i,-0.00065866+0.0012753i,-2.7033e-05-0.00034155i,0.00041814-0.00050381i,0.00023803+0.0004109i,0.00059726+0.00021719i,0.00049383+0.00010353i,0.00055714+0.00090819i,0.00022377+0.00047431i,-0.00033745-0.00080479i,-1.2089e-05-1.7214e-05i,2.5419e-05+0.00054053i,-0.00051503-1.2503e-05i,-0.00026359+0.0002915i,-8.0907e-05+0.00021405i,-0.0003126-0.00055731i,-7.993e-05-0.00083292i,0.00025672-0.00087025i,0.00027972-0.00050801i
-0.00026835+0.0012212i,0.00042147+0.0014643i,0.0013127+0.0018174i,0.0015027+0.0011262i,0.0014654+0.00111i,0.00094623+0.0010349i,3.2332e-05+0.00093453i,-0.0002673+0.00058989i,2.053e-05+0.0001905i,0.00047436-0.00032647i,0.0007123-0.0014628i,0.00095513-0.0020659i,0.0012965-0.0012198i,0.00041122-0.00024436i,-0.0001898-0.00024453i,0.00030368+0.00014826i,0.00062128+0.0008732i,0.00053733+0.00095375i,0.00054412+0.00018367i,0.00019402-0.00053325i,-6.5206e-06-0.00060262i,9.0067e-06-0.00062848i,-6.5928e-05-0.00040888i
-0.001533+0.00053429i,-0.0015101+0.00096334i,-0.0014197+0.0022432i,-0.00072219+0.0020931i,0.00015256+0.0012194i,0.00096815+0.0011791i,0.00091217+0.00084643i,0.00013142-0.00013828i,-7.8458e-05-0.00040499i,-0.00034367+0.00017174i,-0.0003948-0.00021951i,-0.0001246-0.0008545i,-0.0003337-0.00080825i,-0.00028192-0.0014469i,0.00035593-0.0012088i,0.00088529-0.00099582i,0.00083997-0.00015957i,-7.198e-05+0.00041701i,-0.0013209+0.0003003i,-0.0013343+0.00050984i,-0.00044522-4.1789e-05i,-0.00022107-0.0003381i,-0.00022768-0.00013885i
5.9222e-05+0.00049712i,-0.00048086+0.00088402i,-0.0012496+0.00016341i,-0.00077706-0.00038903i,0.00027722-0.00023885i,-9.3244e-05-0.00052614i,-0.00018875+0.00019586i,2.7107e-05+0.0011731i,0.00034211+0.00015933i,0.00076446-0.00042097i,0.00028556-6.7389e-05i,0.00030458-1.676e-05i,0.00080015-5.0079e-05i,0.00091054-0.00055226i,0.0011841-0.00083828i,0.00044726+4.0074e-05i,-2.442e-05+0.00050128i,0.0005512+0.00057714i,0.00056536+0.00064104i,9.7239e-05+7.3331e-05i,0.00041117-0.00040102i,0.00026332-0.00052085i,9.5437e-05+6.8169e-05i
0.00016191+7.9771e-05i,0.00088765-5.9521e-05i,-8.6937e-05+0.00025474i,-0.0014453+0.00046114i,-0.0012165+0.00096653i,-5.6303e-05+0.00099778i,0.0004227+0.0005895i,0.00087247+0.00049103i,0.0013087+0.00051263i,0.00064985-3.3483e-05i,-0.0003713-0.0003153i,-0.00090255+7.2546e-05i,-0.00032097-0.00026795i,0.00084835-0.0001709i,0.00097641-9.6414e-05i,0.00045644+0.00013142i,0.00022477+0.00011546i,0.00027608-0.00016958i,6.7677e-05-0.00031332i,-0.00015426-0.0005789i,6.7862e-05-0.00037249i,0.0004242-0.00018642i,0.00043913-7.1084e-05i
