-0.00042956+0.00046992i,-0.0015747+0.00076232i,-0.0024929+0.00078363i,-0.0027779+0.00023841i,-0.0022118-0.00066242i,-0.0012885-0.00035358i,-0.0018771+0.00083395i,-0.0018283+0.0015744i,-0.00029611+0.00060167i,0.0011424-0.00045215i,0.0016706-0.00048532i,0.00068325-0.00086958i,0.00013263-0.00087204i,4.3657e-05-0.00044146i,0.00070135+9.8973e-05i,0.00040412+0.00038181i,-0.00094863+0.00031321i,-0.0015424+0.00014219i,-0.0009847+9.5848e-05i,-0.00035708-0.00013412i,-0.00012195-0.00028684i,2.8177e-05+3.819e-05i,-3.4135e-05-0.00012623i
-0.00047607-0.0015041i,-0.0011906-0.001595i,-0.002323-0.00050096i,-0.0014035+0.00028962i,-1.9417e-05-9.2284e-05i,0.00017485-0.0010673i,-0.00058232-0.00093739i,-0.00093535-0.00048461i,-0.0011827-0.00035181i,-0.00043148-0.0002248i,-6.1481e-05-0.00046721i,0.00047408-0.00065684i,0.0011243-0.0008707i,0.00017499-0.0010745i,-0.00046808-0.00033592i,0.00021045-0.00010435i,0.00018168-8.366e-05i,-0.00088598+0.00017935i,-0.00047484-8.2735e-05i,0.00067488-0.00056726i,0.00062094-4.8597e-05i,-3.1002e-05+0.00037975i,8.189e-05-0.00032173i
0.0020346+0.0031789i,0.0033543+0.0033921i,0.0047641+0.0023114i,0.0033579-0.00085954i,0.0015448-0.0026644i,0.00010494-0.0025679i,-0.0012819-0.0017214i,-0.00049333-0.0009114i,0.00085874-0.00097506i,0.001063-0.0013389i,0.00045918-0.0013166i,-0.0005859-0.0017704i,-0.0015023-0.0018857i,-0.0010712-0.00088951i,-0.00043634+0.00015515i,-0.00056426+0.00031257i,-0.00027884+0.00043991i,0.00013993+0.0013366i,-0.00021107+0.00054534i,-0.00034016-0.00028478i,0.00024642-0.00057586i,0.00017775-0.0002366i,-0.00025535+0.00065737i
-0.0016609+0.00033701i,-0.001471+1.4731e-05i,-0.0022218+0.00088406i,-0.0017257+0.0021516i,-0.00052387+0.0012951i,0.00045988+0.00012164i,0.00085311-0.0004865i,0.0013137-0.00073021i,0.00066874-0.00026127i,-0.00050662+8.5937e-05i,-0.00023464-1.833e-05i,-1.3143e-05+6.7567e-05i,-0.00054821+0.0002562i,-0.00037435+0.00031072i,-0.00044361-0.00024798i,-0.00047433-0.00065482i,-0.0007382-0.00059258i,-0.0010491-0.00071661i,-0.00043777-9.5325e-05i,-0.00039855+0.00026513i,-0.00013529-6.3397e-05i,-0.00020552-0.00028052i,-0.00044242+7.4779e-05i
-0.0010242+0.0009i,-0.00051811-2.6769e-05i,-0.00041152+0.00022514i,0.00021268+2.98e-05i,0.0011581-0.00082606i,0.0010533-0.0015309i,0.00013621-0.0016525i,-0.00042006-0.001688i,-0.00056628-0.001869i,-0.00042252-0.00097582i,0.00041286+0.00031832i,0.00084424+0.00026586i,0.00063347-0.00086373i,0.00083704-0.0013006i,0.0005374-0.00087887i,0.00013855+6.5939e-05i,9.4395e-05+0.00036288i,0.00023106+0.00019701i,0.00034438+0.00034517i,-0.00015733+1.1786e-05i,-0.00054967+4.2348e-05i,-0.00061174+0.00012666i,-0.00058443+0.00059357i
-0.0016422+0.0026277i,-0.0013344+0.0025468i,9.2988e-05+0.0026066i,0.0012104+0.0026349i,0.0017305+0.0011011i,0.0010652-0.00011366i,9.5409e-05-0.00054426i,-0.00023545-0.00087981i,-8.3289e-05-0.00057712i,0.00037083-4.5236e-05i,0.00034921+0.00050058i,0.00069157+0.00017713i,0.0009341+5.0365e-05i,0.00027576-0.00022472i,6.0194e-05-0.0004442i,0.00011874-0.00039142i,-0.00033012+0.00010804i,5.6207e-05-3.8747e-06i,-0.000515-0.00046841i,-0.0015095-0.00010254i,-0.00065668+0.00058992i,0.00041479+0.00087862i,0.00050597+0.00043124i
-0.0026234-0.0017606i,-0.0032595-0.0011597i,-0.0029146-0.0006927i,-0.0011409+8.2791e-05i,0.00034082+0.00026771i,0.00059837-0.00062598i,-0.00012965-0.0010059i,-0.0011981-0.0008359i,-0.0016892-0.00060486i,-0.0015584-0.00017066i,-0.00080823-6.321e-05i,0.0004836-0.00066757i,0.0012044-0.00092615i,0.00080875-0.0012601i,3.6662e-05-0.00099169i,-0.00032932-0.00018652i,-0.00040689-0.0002725i,-0.00043226-0.00012837i,-1.0766e-05+0.00016051i,-0.00010665+0.00030218i,-0.00062737+0.00055437i,-0.00067712+0.00026109i,-0.00089454+0.00041744i
0.0010744+0.0025683i,0.00025973+0.0032902i,0.000751+0.0026494i,0.0020267+0.0014347i,0.0014902-0.00021453i,0.00033592-0.0016012i,-0.00062291-0.0015661i,-0.001084-0.00087725i,-0.0011121-0.0005339i,-0.00091481-0.00055891i,-0.00036909-0.00048418i,0.00030328-0.00059119i,-0.00035635-0.00030045i,-0.0010524-0.00059317i,-0.0010417-0.00065566i,-0.00075916-0.00012738i,-0.0007956-0.00049848i,-0.00078984-0.00085738i,-0.00032933-0.00087493i,-0.00011555-0.00076718i,0.00027745+1.5183e-06i,0.00041697+0.00072223i,0.00014886+0.00065026i
-0.00084003-0.0013893i,-0.0013329-0.001071i,-0.0016394+0.00030404i,-0.00078983+0.00045534i,0.00043189-0.001138i,0.00087278-0.0014972i,0.00016941-0.00038317i,-0.00061013+0.00023016i,-0.00067097-0.00039264i,-0.0003185-0.00098657i,0.00057492-0.00055051i,0.00077537-0.0003758i,-0.00029922-0.00038135i,-0.00034858-0.00037279i,0.00039574-0.00039231i,0.00030654+0.00027819i,-0.0010173+0.00036653i,-0.0016485+0.00093733i,-0.00054388+0.0013546i,-0.00017047+0.00079581i,-0.00024713+0.00012563i,0.00028379+0.00030388i,0.00022158+0.00032971i
0.00032647+0.0026941i,0.0012414+0.0032474i,0.0021695+0.0035992i,0.0021679+0.0017202i,0.0015781-0.00047732i,-0.00011735-0.0015979i,-0.0005293-0.0010166i,-0.00015082-0.00041165i,-0.00061461-0.00035208i,-0.00032263-4.8579e-05i,0.00026703-5.3716e-05i,0.00027081-0.00033196i,-0.00018249+1.499e-06i,-0.00086425+0.00024767i,-0.0010283-0.00014949i,-0.0013463-0.0004399i,-0.0013542-0.00022464i,-0.00043194-0.00016208i,0.00027481-0.00021779i,0.00024263+0.00034391i,9.9703e-05+0.00090801i,-0.00010032+0.00036106i,0.00032066-0.00011939i
-0.00013451-4.5293e-05i,-0.00070368-0.00044613i,-0.00060647-0.00088973i,0.00087227-0.00075143i,0.0015484-0.0016238i,0.00042799-0.0022831i,-0.00082442-0.0016429i,-0.00057616-0.00056192i,-0.00015887-0.00021902i,-0.00019931+0.00015503i,0.00032609+0.0003112i,0.0012128+0.0010127i,0.00082831+0.0010455i,0.00031701+0.00022924i,0.00066044+0.00055545i,0.00027457+0.00085552i,-0.00054721+0.00037021i,-0.000753+0.00018449i,-0.0007931-1.5584e-05i,-0.00083325-0.00036148i,-0.00062016-0.00046831i,-2.196e-05+8.501e-05i,0.00063745+0.00076976i
0.0012291-0.00061174i,0.0013349+0.00014928i,0.0016543+0.00079059i,0.001857+0.00036798i,0.00094344-0.0004619i,0.00019868-0.00086018i,0.00046496-0.00017186i,0.00065601+0.00059986i,0.00047897+0.00052065i,0.00027613-0.00029291i,0.00023441-0.00060583i,0.00044603-0.0001838i,0.00066027-0.00018628i,0.00070708+0.00011874i,0.00050258+0.0004808i,0.00045829+8.0489e-05i,1.3485e-05+6.0262e-05i,-0.00013876+0.00068012i,8.9802e-05+0.0005411i,1.4457e-05-6.8948e-05i,-3.5301e-05-2.3491e-06i,-0.00026655+0.00085345i,-0.00042057+0.00073431i
0.0001772+0.00020155i,-0.00079831+0.00026984i,-0.0018838-0.00029481i,-0.00076332-0.00076981i,0.00029514-0.0013681i,-0.00023702-0.00096755i,-0.00082722-0.00043481i,-0.0012039-0.00016975i,-0.0010382-0.00032793i,-0.00029013-7.1048e-06i,-3.872e-05+0.0004447i,0.00033205+0.00047955i,0.00071612+0.00015276i,0.00049239-0.00092888i,0.00051082-0.001156i,8.5094e-05-0.00043914i,-0.00033365-7.3137e-05i,-0.00016287-0.00063233i,-0.00013394-0.00079327i,0.0001758+0.00031607i,0.00063123-0.00010868i,0.00060826-0.0011763i,-7.0935e-05-0.00090886i
0.00028495-0.0025507i,-0.0012937-0.0027653i,-0.0021228-0.0028904i,-0.0021919-0.0015949i,-0.0012672-0.00056627i,-0.00024669-0.0007468i,-0.00063923-0.00053035i,-0.00056815+0.00028104i,-0.00061189-8.1963e-05i,-0.00087848-0.00016877i,-0.00060164+0.00055442i,-0.00056599+0.00064919i,0.00012104+1.5911e-05i,0.0010025-0.00094615i,0.0010131-0.0017352i,0.00030904-0.001165i,-0.00027428-0.00058026i,-0.00085556-0.00060086i,-0.0013209-0.00041138i,-0.00091947-0.00012551i,-0.00026772-0.00041826i,-0.00025292-0.00025186i,-0.00061704+6.9639e-05i
0.0019992-0.0010321i,0.0011707-0.00066518i,0.0011177-0.0014095i,0.00045985-0.0013075i,-0.00051218-0.00079073i,-0.0011327-0.00043799i,-0.00062446-0.00029519i,2.062e-05-0.0011064i,9.4944e-05-0.001332i,-7.0037e-05-0.00111i,4.1985e-05-0.00037818i,0.00046588+0.00044125i,0.00062655+0.0010543i,0.00053255+0.00045813i,0.00078085-0.0010761i,0.00046368-0.0013941i,-1.2878e-05-0.00073824i,0.00011541+5.7464e-05i,-0.00033418+0.00055688i,-0.00026563+7.2614e-05i,6.1628e-05+0.00016251i,-0.00055908+0.00043097i,-0.0011204-0.00016319i
-0.0013786-0.00041484i,-0.00051618-0.00086686i,0.00053729+0.00053158i,0.00055897+0.00084592i,0.00050773-0.00027534i,-0.00021217-0.00037708i,-0.00030321-0.00083127i,0.0005568-0.0014274i,-2.3894e-05-0.0011841i,-0.00031326-0.0009558i,0.00016746-0.00015351i,2.9576e-05+0.00024526i,0.00028069-0.00027922i,0.00021103-0.00087461i,-0.00046555-0.00080649i,-0.00063412-0.00080144i,0.00029028-0.00050802i,0.00046694+0.00056298i,-0.00030849+0.00083548i,-0.00083531+0.00091124i,-0.00069761+0.00065732i,0.00023684-0.00035385i,0.00041488-0.00011094i
0.0017954+0.00095255i,0.0010755+0.001091i,0.0016505+0.00081653i,0.0011495-0.00073285i,0.00015408-0.0022304i,-7.0177e-05-0.0016519i,-5.8155e-05-0.0008126i,0.00033484-0.00044095i,0.00024458+0.00039375i,-3.9451e-05+0.000308i,3.0555e-05+1.2212e-05i,0.00020401-0.00073984i,0.00015082-0.00098307i,8.9641e-06-1.7452e-06i,-7.4385e-05+0.00036543i,-0.0003025+0.00071512i,-0.00015838+0.00067581i,-0.00031282+0.00041166i,-0.0010552+0.00044681i,-0.0003935-5.1561e-06i,-0.00027032+0.00057243i,-0.00032453+0.00084785i,0.00010568+0.00024499i
-3.0358e-05-0.00026675i,-4.6462e-05-8.7332e-05i,-0.0011305-0.00041839i,-0.00052369-0.00041219i,0.00056706-0.00012288i,0.00059372-0.00043916i,0.0010318-0.0005271i,0.00079066-0.0001953i,-0.00050077-0.00024319i,-0.0013379-0.00013809i,-0.00076257+0.00044641i,0.00012373+0.0013924i,0.00014051+0.0010225i,0.00023482+4.7293e-05i,4.395e-05-0.00077723i,0.00026888-0.00088423i,0.00076724+5.0786e-05i,0.00013573+0.00078816i,-0.00045081+0.00055272i,-5.0018e-05-4.8646e-05i,0.0002711-0.00040176i,0.00040299-0.00032755i,-0.0001967-0.00014621i
-0.00075663-0.00031433i,-0.00053201-0.000156i,-0.00062656+8.5606e-06i,-0.0001134-1.3345e-05i,0.00030663-0.0011133i,8.0195e-05-0.0018982i,0.00017246-0.0016103i,0.00033484-0.0010935i,-0.00016125-0.00051921i,-0.00036079-0.00013318i,0.0008933-0.00014475i,0.0012504+8.9037e-05i,0.00042251+0.00033417i,-0.00019629+0.00012627i,-0.0012172-3.7489e-05i,-0.00096394-0.00036284i,-0.00015773-1.1762e-05i,-0.00013341+0.00055917i,8.9624e-06+0.0012722i,0.00036241+0.0011406i,0.00070852-1.2201e-05i,0.0010094-9.991e-06i,0.00072573+0.00032325i
0.00013528-0.0013794i,-0.00016008-0.0025659i,-0.00022552-0.0027796i,-0.00029783-0.0014247i,-0.00047477-0.0012167i,0.00017408-0.0013782i,0.00053427-0.0010387i,-1.7683e-05-0.00065241i,-0.00034132-0.00081238i,0.00028652-0.00020589i,0.00034017+0.00066118i,0.00053149+0.00090954i,0.0012697+0.00019204i,0.00093024-2.7172e-05i,0.00019561+0.00047586i,8.0433e-05+4.6142e-05i,0.00011956-0.000227i,-8.2112e-05+0.00050724i,0.00011653+0.00061561i,0.00053219+0.00044805i,0.00011811+0.00030619i,-0.00050007-5.0577e-05i,-0.00072726-0.0004453i
0.0005674-0.00070932i,0.0016121-0.0012629i,0.0022125-0.0016573i,0.0017131-0.0019286i,0.00077156-0.0028534i,-0.00054428-0.0030635i,-0.00034123-0.0014564i,-0.00029017+0.00010643i,-0.00053304-0.00047134i,-0.00022758-0.0006703i,0.000103-0.00017582i,0.00095379-0.00019348i,0.00092406-0.00011359i,0.00072554+0.00032587i,0.0005604+0.0010407i,-0.00013118+0.0012474i,-0.00029357+0.00047214i,0.00019797-0.00017372i,0.00043973-0.0002179i,0.0003791+0.00012061i,0.00059418-3.1102e-05i,0.00051624-0.00067391i,0.00084043-0.001143i
0.0029032+9.8264e-05i,0.0023089+0.00021788i,0.0026607-0.0014776i,0.0016034-0.0024048i,-4.692e-05-0.0031363i,-0.00081833-0.0026893i,-0.00051238-0.0013313i,5.4543e-05-0.00073171i,-0.00047224-0.00033044i,-0.0014573-4.9544e-05i,-0.00056745-0.00017033i,0.00039284-0.000364i,0.00055554-0.00051692i,0.00031344-0.00028772i,-3.1927e-05-0.0004348i,0.00036476-0.00056599i,0.0010206-0.00049814i,0.0013036-0.00025913i,0.00047462-0.00028936i,0.00016811-8.1197e-06i,0.00073653+0.00030781i,0.00079373+0.00017884i,0.00090923-0.00052494i
0.0016326+0.0016869i,0.0017928+0.0018192i,0.0024239+0.00092889i,0.00097366-0.00046675i,0.0003074-0.0013717i,0.00028035-0.0014215i,0.00019027-0.00094273i,7.6325e-05-0.00044156i,-0.00068563-0.00045145i,-0.00076824-0.00084063i,1.2237e-05-0.0011182i,0.00063695-0.00097434i,0.00040407+1.3037e-05i,-0.00035211+0.00057353i,-0.00084563+0.000221i,-0.00092044+0.00034983i,-0.00012906+0.00041049i,-0.00026217+0.00069448i,-0.00079367+0.00046969i,-0.00027095+0.00014312i,0.00031259-0.00051427i,0.00025844-0.00062343i,0.0004788-0.00045028i
-9.0014e-05-0.00048164i,0.00057505-0.00092438i,0.00041386-0.001276i,0.00069875-0.0013019i,0.00042538-0.0011885i,-0.00041285-0.0012899i,-0.00031189-0.0014216i,0.00012813-0.0012091i,4.9954e-05-0.0006667i,-0.00067964+0.00018378i,-0.00057364+0.00060527i,-0.0003399+0.00063051i,-0.00058783+0.00014263i,-0.00026242-8.3229e-05i,0.00020561+0.00081469i,0.00058721+0.00073417i,0.00070242+0.00032963i,0.00062161+9.541e-05i,0.00017404+7.3072e-05i,-0.00032112+0.00078356i,-6.3234e-05+0.00041954i,2.2122e-06+0.00011729i,0.0001476+0.0001795i
