0.0018896-0.00054447i,0.00072525-0.0011443i,-0.00079556-0.0014663i,-0.00083956-0.0015141i,-0.001359-0.0006943i,-0.0018769+3.4031e-05i,-0.0016981+0.0013433i,-0.00024976+0.0022171i,0.0020515+0.0011741i,0.002924-0.00012226i,0.0016818-0.0011412i,0.00022101-0.0011975i,0.00019296-0.00047792i,0.00022392-0.00072373i,-0.00023859-0.00092569i,0.000113-0.00034868i,0.00010013+0.00046371i,5.8669e-05+0.00068587i,0.00061997+0.00089851i,0.00060874+0.00069932i,0.00057015+0.00012984i,-0.0002186-0.00044831i,-0.0012407-0.00041763i
-0.00047293-0.0023152i,-0.00046252-0.0024783i,-0.00011084-0.0032446i,0.00021823-0.0024897i,-0.00038101-0.00068581i,-0.00069694+0.00062558i,-0.00063797+0.0010407i,-0.00013338+0.00068747i,0.00068932+0.00027486i,0.00040625+0.00011368i,-0.00039725-0.00023971i,0.00028016-0.00084911i,0.0011914-0.00051515i,0.00086776+0.00058899i,0.00024657+0.000996i,0.00039948+0.00028346i,0.00032326-0.00061857i,0.00041654-0.00012449i,0.00060141+0.0004005i,0.00034137+0.00016219i,0.00019204+0.00017775i,0.00019789-3.1054e-05i,-0.00024585-4.123e-05i
-0.00051198-0.0007924i,-0.00095295-0.0015907i,5.9601e-05-0.0013583i,0.001761-2.1006e-05i,0.0024447+5.5142e-05i,0.0018623+0.00020082i,0.00084879+0.00025595i,-0.0002969+0.00057654i,-0.00031735+0.00070616i,1.1364e-05+0.00038761i,-9.5221e-06-0.00021935i,0.00022832-0.00054025i,0.00038637-0.00032698i,-0.00013941-0.00027688i,-0.00012421+2.9176e-05i,-4.125e-05+0.00063395i,-8.7275e-05+0.00010937i,-0.00021219-8.968e-05i,-0.00016519+0.00026307i,0.00026228+0.0002551i,0.0001367-6.5828e-05i,-0.00018933-0.00030928i,-0.00019934+0.00020497i
0.00022816-0.0015575i,0.00033121-0.0013653i,-0.0014649-0.00085758i,-0.00090092-0.00082172i,0.00056909-0.00069543i,0.0007627-9.1245e-05i,0.00055605+0.0010438i,-0.0002019+0.002392i,-0.00029899+0.0022715i,0.00067213+0.0016874i,0.00089773+0.00064238i,0.0013087+0.00029469i,0.00094913+0.00069327i,-0.00024689+0.00096112i,-0.00018363+0.00019872i,0.00010103-0.00044412i,-0.00022408-0.00029877i,-0.00040476-0.00016216i,-0.00060686-0.0005857i,-0.00080608-0.00071223i,-0.0010047-0.00029928i,-0.00046441-0.00043193i,-0.00021145-3.1716e-05i
-0.00078884-0.0020682i,-0.00032427-0.0019472i,-0.00064744-0.0020747i,-3.2168e-05-0.00075902i,0.00077269+0.00095751i,0.0014088+0.00027109i,0.00080322-2.5604e-06i,8.19e-05+0.0017231i,-0.0006764+0.0023685i,-0.00072139+0.0014632i,3.748e-05+0.00042573i,0.00071713-0.00019358i,0.0012414+0.00014595i,0.00091231+0.00039246i,-8.2614e-05+0.00065084i,-0.0008554+0.0011448i,-0.00033575+0.0013107i,0.00028192+0.00043056i,0.00068258+0.00051614i,0.0005672+0.00096391i,-0.00027498+0.00084542i,-0.00013755-9.9419e-05i,1.9693e-06-0.0007919i
0.00078363-0.0005678i,0.0009726-0.00093611i,0.001766+0.00024595i,0.00091993+0.001125i,0.00086766-1.9659e-05i,0.0013479-0.00076994i,0.00047022-0.00013925i,-0.00062841+0.00040573i,-0.00093552+0.000384i,-7.5778e-05+0.00046526i,0.00055705+0.00036394i,0.00013705+0.00068505i,-0.00064876+0.00025399i,-0.00091817-0.00097328i,0.00010759-0.0012205i,0.00090832-0.001092i,3.4386e-05-0.0011076i,-0.0010957-0.00051404i,-0.00023267-4.8044e-05i,0.00094802-0.00017856i,0.0012401-0.00020234i,0.00098928-0.00027757i,0.00043573-0.00023938i
-0.0004243-0.0010524i,4.4862e-06-0.0009175i,0.00063864-0.00031917i,0.00089317+0.00013633i,0.0016717+6.3885e-05i,0.0012123-0.0001649i,-9.0323e-05+0.00026356i,-0.00082745+0.0010927i,-0.00071726+0.0013752i,-0.00027591+0.00093893i,7.9454e-05+0.00094497i,-3.5446e-05+0.00051042i,0.00014898-0.00021931i,0.00030711-0.00061674i,6.9283e-05-0.00039i,2.1705e-05-0.00058056i,0.00040958-0.0015528i,1.936e-05-0.0013279i,-0.00055607-0.0003569i,-0.00020838+0.00021645i,0.00032741-0.00038101i,0.00013808-0.0010114i,-0.00020367-0.00070871i
-0.0020848+0.0019013i,-0.0019404+0.0016325i,-0.00094499+0.0020257i,0.0010423+0.0017039i,0.0025109+0.00076i,0.001483-0.00033511i,-0.00037287-0.00018155i,-0.0014182+0.00097968i,-0.00071831+0.0014037i,0.0010053+0.00088967i,0.0020329-0.00016792i,0.0011794+0.00036513i,0.00051755+0.0009546i,0.00024241+0.00098595i,7.7503e-05+0.00082687i,-3.113e-06+0.00049934i,-0.00018111+0.00029009i,-3.5308e-05+0.00011459i,0.00062726+0.00020353i,0.001213+0.0003909i,0.00066236+0.0002268i,-0.00020507-0.00023786i,-1.3029e-05-0.00031928i
0.00022895+0.00090947i,-0.00057807+0.0011489i,-0.0001085+0.0013036i,0.0011054+0.0013823i,0.0018297+0.00061912i,0.0021817-0.00065543i,0.00080922-0.0010552i,-0.00046745-1.3279e-05i,-0.00019752+0.0010912i,0.00048333+0.0006655i,0.00097266+0.00041568i,0.00093764-3.8637e-05i,0.001073-0.00034622i,0.00080265-0.00028809i,1.4134e-05-0.00054693i,0.00036542-0.00073055i,0.0010224-0.00017548i,0.00059655+0.0005984i,4.4049e-05+0.00039325i,0.00032857-0.00013637i,0.0013782-0.00073576i,0.0012452-0.00036014i,0.00032054-0.0002436i
0.00087933+0.00032688i,0.0019145-0.00064403i,0.0023366-0.00069141i,0.0019584-7.5384e-05i,0.0020034+0.00046399i,0.0013005+0.00012759i,0.00062291+1.5485e-05i,-5.7414e-05+0.0010865i,-0.00061451+0.001184i,-2.1465e-05+0.000579i,0.0005206+8.7889e-05i,0.00029605-0.00024158i,0.00050999-6.6147e-06i,0.0010296+0.0004585i,0.00091425+0.00082265i,0.0011009+0.00055969i,-0.00046904+0.00018632i,-0.0015854+0.00011186i,-0.00042089-0.00021361i,0.00045336-0.00026983i,0.00015317+6.6359e-06i,-0.00013416+4.7678e-05i,5.5132e-05+0.00032887i
-0.00043525+0.00081988i,-0.00031346-0.00020632i,-0.00014451-0.0010412i,0.0019222-0.00083507i,0.0026028-0.00089479i,0.0018273-0.00014109i,0.00026096+0.00098867i,-0.00068327+0.0018551i,0.00057212+0.0019701i,0.0012394+0.0011188i,0.00069766+0.00071725i,0.00093069+0.00029213i,0.00086264-0.00020556i,0.00037703-0.00013256i,-0.00055187-0.00041248i,-0.00028067-0.00051438i,0.0008882+0.00013606i,0.00021341-2.3777e-05i,-0.00032972-0.00034691i,3.3415e-05-0.00022326i,0.00061724+0.0001493i,0.00035296+0.00041694i,-0.00013989-0.00019417i
0.00023997-1.5897e-05i,0.00054391+0.00055635i,0.00082733+8.7354e-05i,0.0011432-0.00013094i,0.0011323-0.00031983i,0.00056737-0.001039i,3.0013e-05-0.00056881i,-0.00057185+0.00081678i,-0.00027042+0.0011961i,-0.00015695+0.00076719i,0.00016947+0.00013547i,0.00083934-0.0004031i,0.00074612-0.00054088i,6.2236e-05-0.00011917i,-0.00049949-3.3093e-05i,-0.00066728-0.00021444i,-0.00073246+2.8207e-05i,-0.00044899+0.00040494i,-0.00033052+0.0007652i,-0.00089176-0.000105i,-0.0010069-0.0010016i,-7.2043e-05-0.0005759i,0.0010981+1.9775e-05i
0.0004616+0.0013222i,-0.00033582+0.0011076i,-0.00017134+0.001768i,0.0012275+0.0014843i,0.0023156+0.00065964i,0.0018236+0.00068018i,0.0010692+0.0011939i,0.00030429+0.001612i,0.00099298+0.0011262i,0.0021367+0.00038597i,0.0020829-0.0001191i,0.0012882-0.00036702i,0.00075114-0.0002864i,0.00043144-0.00025787i,-2.6785e-05+0.00042622i,-0.00041047-7.6327e-06i,-0.00029931-0.00071546i,0.00042002-0.00010269i,0.0007614+0.00066313i,0.000961+0.00065812i,0.0010624+0.00079555i,0.00075991+0.00085865i,0.00015957-0.00014822i
-0.00059987+0.00046956i,-0.00075174+0.00070962i,-0.00094831+0.00090014i,0.00071814+0.00051139i,0.0026983-0.000183i,0.002802-0.00098204i,0.0011996-0.00040207i,-0.00033843+0.00096146i,-0.00025889+0.001367i,0.0007655+0.0016246i,0.0014355+0.00099563i,0.0015649-0.00032456i,0.00019892-0.00010259i,-0.00093512+0.00049162i,-0.00031035+0.00029506i,-4.3475e-05-1.2066e-06i,-0.00044984-0.00041679i,-0.00034049-0.00036281i,0.00043092+8.5063e-05i,0.00083456-0.00028476i,0.0009136-0.00095057i,0.0005842-0.0011499i,0.00042801-0.00097742i
0.00076198-0.0026026i,-0.00050204-0.0019462i,-0.0019637-0.00091319i,-0.00090888-0.00084446i,0.0012684-7.7163e-05i,0.0017468+0.00066812i,0.00055137+0.00080818i,-0.00057425+0.0010725i,-0.0010774+0.00085172i,-0.00018143+0.00018905i,-4.9289e-05-0.00063015i,-0.00068783-0.00076676i,-0.00076255-0.00043307i,-0.00020798-0.00018163i,0.00034384-0.00016632i,0.00010465+0.00027168i,-4.5107e-05+0.00029442i,0.00056899+0.00038978i,0.00087707+0.00023046i,0.00050072-0.00045941i,2.6571e-05-0.00057632i,-0.00037301-0.00010201i,0.00020287+0.00022054i
0.00094767-7.841e-05i,0.00049549+0.0014867i,5.818e-06-0.00013709i,0.00025126-0.00056918i,0.0013997-0.00027824i,0.0018793-0.00050076i,0.0010159+0.00062667i,0.00039444+0.001932i,0.00096046+0.0018525i,0.00047165+0.0010406i,-0.00012663+0.00025613i,0.00067939+0.00030685i,0.00081498+0.00086111i,0.00031798+0.00086953i,7.0927e-05+0.00026317i,0.00019704-0.00021463i,-0.00017752-0.00090909i,-9.7913e-05-0.00014917i,-0.00022226+2.6307e-05i,-0.00010237-0.001153i,0.00027794-0.00015532i,0.00017381+0.00067436i,-0.00025133+0.0001944i
-0.00038508+0.0011869i,-9.5505e-05+0.00040139i,0.00047682-0.00068259i,0.0021309+2.713e-05i,0.0029787+0.00067779i,0.002039+0.00071787i,0.00073833+0.00086015i,-0.00011749+0.0010863i,-0.00015215+0.0011025i,0.00068237+0.0011182i,0.0012449+0.00055536i,0.00053616-0.00014788i,-0.00035848-0.00021939i,-0.00066892-0.00027278i,-0.00062482-0.00023871i,-0.00063511-0.00036423i,-0.00031953-0.00070978i,-4.4471e-05-0.0003485i,0.00066237+0.00021273i,0.0012324+0.00045102i,0.0013081-6.1009e-05i,0.00082702-0.00020803i,0.00013254+6.7122e-05i
-0.00096358+0.0024642i,-0.00062063+0.0026444i,-0.00017408+0.0028633i,0.00077401+0.0012272i,0.0022085+9.8042e-05i,0.0017755-0.00047835i,0.00031983-0.00060374i,-0.00024187+0.00049315i,0.00044382+0.0018407i,0.00088132+0.0014567i,0.00083161+0.00062079i,0.00049394+0.00041877i,0.00024522+0.00031418i,-1.0029e-05+0.00052163i,-0.00057924+0.00036978i,-0.00011033+0.00014236i,0.00032024-2.8005e-06i,-0.00021955-2.5643e-05i,2.1306e-05-0.00050613i,0.00049304-0.0003152i,0.00062415-0.00017903i,0.00070613-0.00076524i,0.00098998-0.00046467i
0.0024031-0.00086432i,0.0019552-0.0010705i,0.0024171-0.00084038i,0.0026914+0.00025992i,0.0023398+0.00098541i,0.00099172+0.0014299i,0.00013976+0.0015007i,0.00020197+0.0013033i,6.2892e-05+0.00093086i,-5.3142e-05+0.00098i,0.00042318+0.00061339i,0.0004887+0.00019353i,8.4176e-05-5.7356e-05i,7.6848e-05-0.00053307i,0.00044196-0.00055592i,0.00016623-0.00113i,0.00018168-0.001466i,0.00037994-0.00016563i,0.0012845+0.00040485i,0.0018306-8.4497e-05i,0.0013999-0.00038604i,0.00028527+0.00016005i,-0.00018485+0.00011438i
-0.00093703+0.00046193i,-0.0009557+0.00013539i,-0.00059368-5.2722e-05i,0.00020747-9.0736e-05i,0.0010386-0.00044905i,0.00063827-0.0013654i,0.00054289-0.00096116i,0.00045179+0.000164i,0.00045527+7.9799e-05i,0.0003146+3.3924e-05i,0.00050597-0.00031582i,0.00083851-0.0010055i,0.00069581-0.00068408i,0.00033835+0.00012316i,0.0002053+0.00041191i,0.00069069-9.9125e-05i,0.00033719-0.00076284i,-0.00030828-0.00012876i,-0.0005442+0.00062581i,-0.00086303+0.00027906i,-0.00088321-0.00011104i,-0.00041995-0.00053977i,-0.00018287-0.0012674i
-0.0019158-0.00068024i,-0.0022633-0.0010197i,-0.0017759+7.0446e-05i,-0.00063331+0.0011748i,0.00040607+0.0011879i,0.00076548+0.00030667i,0.00065485-0.00030745i,0.00024875+0.00048902i,0.00023425+0.0011811i,0.00028601+0.00085735i,0.00035058+0.00040296i,-3.3471e-05+0.00036203i,-0.00063771+0.00022531i,-0.0011942-0.00014586i,-0.0013645+0.00023576i,-0.0002231+0.00061697i,0.00051517-8.1603e-05i,0.00052197-0.00032634i,0.00010561+0.0006042i,-0.00052956+0.00090839i,-0.00068055+0.00058441i,-0.00017061+0.00013264i,0.00039136-6.5099e-05i
0.00111-0.00094741i,0.0015504-0.0011073i,0.0027425-0.00091592i,0.0027366-0.0004588i,0.001954-0.00076786i,0.00085641-0.0008761i,0.00042657-0.00056577i,0.0005063+7.6313e-06i,0.00048434+0.00041518i,0.00075566+5.6048e-05i,0.00036506-0.00049528i,-0.0007434-0.00068489i,-0.0010944-0.0009344i,-0.00048213-0.00063832i,-0.00030651+0.00032556i,0.00015751-0.00037316i,0.00099114-0.00074136i,0.00066388+0.0003449i,0.00019564+7.1989e-05i,0.00050575-0.00099157i,-3.194e-05-0.00089305i,-0.00040736-0.00093686i,3.3513e-05-0.00064292i
-0.0016187-0.0006323i,-0.0014992+0.00023074i,0.00061489-0.00074055i,0.0021097-0.00055012i,0.0023214+0.00058419i,0.0022026-7.6994e-05i,0.0013025-0.0002492i,0.00085039+0.00089215i,0.00091498+0.0013929i,4.5247e-05+0.00062605i,-0.00060069+0.0001373i,-0.00035249+0.00046898i,-0.00024247+0.00038093i,0.00023944+0.00086157i,-0.00015082+0.0014873i,-0.0005866+0.00096797i,-0.00029207-1.7375e-05i,0.00036133-4.8944e-05i,0.00023355+3.0974e-05i,-0.00010979-2.0202e-05i,-0.00026078+0.00024076i,-0.000422+0.00056862i,-0.00017077+0.00036618i
-0.00060488-0.00094641i,-0.001134-0.00036476i,-0.0016917+0.00030613i,-0.0017161+0.00046917i,6.5711e-05+0.00032069i,0.0014908-0.00025252i,0.0012366-7.4551e-05i,0.0013741+0.0010961i,0.001184+0.0019604i,0.0004187+0.0018216i,0.00026065+0.00079321i,0.00018178-0.00058563i,-8.5193e-05-0.00091936i,-0.0004603-0.00041605i,-8.4804e-05-0.0001179i,0.00010546+9.7165e-05i,3.5835e-05+0.0008742i,4.6231e-05+0.00081727i,-0.00018105+0.00032825i,-0.00039369+0.00019673i,-0.00012275-8.2148e-06i,0.00046942-9.4683e-05i,0.00025706+0.0001235i
0.0027702-0.00046392i,0.0031885-0.00043089i,0.0029433-0.00035706i,0.0025958+0.00023668i,0.0027472-0.00018645i,0.0026572-0.00069039i,0.0013198-0.00044114i,0.00040293+0.0010432i,2.5055e-06+0.0020018i,0.00027329+0.0015232i,0.00079839+0.00064724i,0.00061862-0.00026984i,-0.0001287-0.00046069i,0.00029141+0.00027202i,0.00070846+0.0004168i,0.00031694+0.00011581i,-8.8922e-05+7.0011e-06i,-0.00016046-0.00040392i,0.00023528-0.00067092i,0.00075158-0.00019185i,0.00024848+0.00028772i,-0.00031483-0.00037137i,0.00028961-0.00066529i
-0.00089185-0.00072079i,-0.0010367-0.00075522i,-0.001173-0.00064834i,0.00039984-0.00042697i,0.0016207+0.00038907i,0.0010683+0.00098222i,-7.6378e-05+0.0013673i,-0.00044328+0.0016371i,0.00026123+0.0017141i,-2.8415e-05+0.00088158i,-0.00022833-0.00030296i,-0.00010136-0.00044263i,-0.00028087-0.00040294i,-0.00027802-0.00048587i,-0.00038895-0.00030307i,-0.0009095-0.00045786i,-0.00057493-0.00051944i,-3.7325e-05+0.00030902i,-0.00018344+0.00079976i,-0.00031182+0.00093489i,0.00011615+0.00044777i,-0.0001792+0.00029951i,-0.00087046+0.00065605i
-0.0017326-0.0016777i,-0.001927-0.0025861i,-0.00019386-0.0026191i,0.001089-0.0018027i,0.0022035-0.00089755i,0.0021733-4.8135e-05i,0.00083593+0.0006954i,0.00027905+0.00065436i,0.00024142+0.00091842i,0.00030928+0.00098909i,0.00038792+0.00019701i,0.00039996-0.00033274i,0.00054545-0.00039419i,0.00048836+3.1091e-05i,-6.1697e-05+0.00073158i,0.00031956+0.00090987i,-0.00038655-5.3573e-05i,-0.00068352-0.00066667i,-0.00027146-0.00014134i,0.00039635+0.00017574i,0.00081832-0.00031427i,0.0010024-0.00027672i,0.00089334+6.6423e-05i
-0.00032305+0.0015582i,-0.00060364+0.001805i,-5.1125e-06+0.0018151i,0.0011997+0.0020363i,0.001645+0.0015485i,0.0010472+0.00048812i,8.1611e-05+0.00080122i,-0.00019898+0.0018428i,0.00045586+0.0021866i,0.000887+0.0017945i,0.0010707+0.0010003i,0.00061579+0.00033096i,1.6315e-05-0.00025803i,0.00021069-8.151e-05i,0.00022225+8.8198e-06i,0.00011481-0.00016532i,-0.00051431-1.1462e-05i,-0.0013281-0.00034887i,-0.00091542-0.00059082i,-0.00047232-1.9685e-05i,-0.00027637-6.8178e-05i,-0.00049363-0.00021036i,1.6014e-05+0.00027999i
-0.00029281+0.0010023i,0.00019727+0.001702i,0.00081775+0.0022009i,0.0016613+0.00091788i,0.0024193-0.00023847i,0.0022138-0.00035895i,0.00088566-0.00022185i,0.00019329+0.00039998i,0.00078198+0.00087251i,0.0010359+0.00048185i,0.00099041+0.00020906i,0.00073983+0.00065003i,8.6841e-05+0.00094303i,0.00020561+0.0003358i,0.00059862-0.00024619i,0.00044017+0.00058136i,0.00022655+0.00081117i,-0.00030477-1.6979e-05i,-0.00094146+4.9154e-05i,-0.0014443+0.00016206i,-0.0013746-8.0558e-05i,-0.00032336+0.00015114i,0.0002059+0.00010692i
0.00069579-0.00017996i,0.00039007-0.00087993i,0.001065-0.0010984i,0.00044453-0.00032538i,0.00038554+0.00032975i,0.00082533-3.2242e-05i,0.00035134-0.00039099i,7.4394e-05+0.00057125i,0.00028399+0.00099636i,0.00091422+0.00071843i,0.0015893+0.00085737i,0.0019579+0.0010007i,0.0011679+0.00093502i,0.00029392+0.00017557i,3.3455e-05+0.00017441i,0.0001233+0.00037601i,0.00028239+7.8053e-05i,0.0001763+0.00053818i,0.00044141+0.00065396i,6.1407e-05+0.00064225i,-0.00048864+0.00010726i,-0.0001693-0.00071904i,-0.00056608-0.00060502i
-1.8902e-05+0.0012712i,0.00018388+0.00067554i,0.0014953+0.00043255i,0.0022908+0.00029492i,0.0028797+0.00013856i,0.0018901-7.8775e-05i,0.00024976-0.00011783i,-0.00011648+0.00032828i,-7.3408e-05+0.00057295i,0.00070275+0.00034915i,0.0013707-0.00086902i,0.00070109-0.0010383i,0.00018779-0.00026387i,0.00070007-9.1428e-05i,0.00095951-0.00025009i,0.0010119-0.00025309i,0.00064927-2.1936e-06i,-0.00062916-0.00026326i,-0.00099909-0.0011073i,-0.00045439-0.0012112i,-0.00065678-0.00047719i,-0.00043521-5.3905e-05i,-0.00079829+8.9828e-05i
-8.6529e-05-0.002642i,-0.00057848-0.0017926i,-0.00038746-0.0020243i,-0.00073963-0.00086471i,-0.00055038+1.3495e-05i,0.00041319+8.39e-05i,7.2058e-06-0.00033716i,-0.00098272+0.00011327i,-0.0006542+0.00067701i,-0.00016855+0.00057978i,-2.4697e-05+0.00073742i,0.00030801+0.00089474i,0.00017477+0.00032074i,-0.00014785-0.00049199i,-0.00011829-0.00018536i,-0.00036629+0.00014511i,-0.00097788-0.00012138i,-0.0011212-0.00027818i,-0.00025857-0.00019908i,0.00030901+0.00031871i,-0.00036976+0.00017628i,-0.00057744+0.00048444i,4.0966e-05+0.00083049i
