0.0027148+0.0010007i,0.0024026-0.00041483i,-4.7441e-05-0.0020944i,-0.0021742-0.0025472i,-0.0027772-0.0015767i,-0.0029683-0.00034935i,-0.0023193-1.0437e-05i,3.4905e-05-0.000443i,0.0019265-0.00080819i,0.0012874-0.0012402i,0.00014986-0.00074334i,0.00036282+3.4003e-05i,0.00089099+0.00030175i,-0.00013511-0.00014889i,-0.00077868-0.00023139i,-0.00068995+0.00071312i,-0.00068143+0.00075408i,8.6593e-05+0.00021223i,0.0010812+0.00032022i,0.00078799+0.00018537i,0.00024777-0.00052486i,-0.00021917-0.00047759i,-0.00069839+2.2114e-05i
0.0016946-0.00032185i,0.0014066-0.0014599i,0.0016223-0.0019798i,0.00087252-0.0017899i,-5.4077e-05-0.00086867i,-0.0001985-0.00018222i,-8.9068e-05-0.0013041i,-0.00060645-0.00098368i,-0.00022335+0.00011717i,0.0010744+0.00030811i,0.00096086+0.0004683i,0.00010775-2.8233e-05i,-0.00074761-0.00088457i,-0.00076624-4.2743e-05i,-0.00027539+0.00057536i,-0.00016996-5.9157e-05i,-0.00028359-0.00014498i,-0.00027926-0.00034069i,0.00026274-0.00061734i,0.00069885-0.00068577i,0.00063368+3.8458e-05i,5.1043e-05+0.00073912i,-0.00037397-4.5191e-05i
-0.00026754+0.00044219i,-0.00067035+0.0010804i,-0.00030464+0.00047472i,0.00033752+0.00037475i,0.00084257+0.0001878i,0.00069315-0.0001275i,0.0004141-0.00022736i,-2.4036e-05-0.00040146i,-0.00048016-0.00063609i,-0.0005277-0.00044303i,-0.0010348+0.00035817i,-0.0012351+0.00014444i,-3.4948e-05-0.00057076i,0.00075831-0.00021042i,0.00053251-9.5021e-05i,0.00029227-0.0003732i,-0.00031838+0.00011982i,-0.00091939+0.00046952i,5.6674e-05+0.00033014i,0.00049902+0.0005135i,-0.00041989+0.00098648i,-0.00054788+0.00074266i,-0.0010922-0.00029427i
0.0008791-0.00066559i,0.00067321-0.00055554i,0.0011051-0.00075514i,0.00095653-0.00071693i,0.00055482-0.00011315i,0.00055402-0.00065775i,-7.3693e-05-0.0012593i,-0.00042188-0.00038951i,0.00019371+0.00031142i,0.00049612+0.00073524i,-0.00027012+0.00091584i,-0.00025404-3.4772e-05i,-4.4908e-05-0.00053526i,-0.00067503-0.00025712i,-0.0012637-0.00023007i,-0.00056519-0.0001894i,0.00033252-0.00046556i,0.00015907-0.00073805i,-0.00025022-0.00038463i,-0.00015269+3.6716e-05i,8.064e-05+7.4136e-06i,0.00021843-0.00012844i,0.0001345-0.00036426i
-0.0018623-0.0026795i,-0.00065593-0.0026826i,-0.00019845-0.0011504i,7.6311e-05+0.00077462i,-0.00018477+0.0016752i,0.00034284+0.00054263i,-0.00034412-0.0005462i,-0.00070985-0.001182i,9.0216e-05-0.00056843i,0.00049799+0.0004441i,0.00042414+0.00050106i,0.00062183+9.2464e-05i,0.0012882+0.00079577i,0.0016569+0.0012786i,0.001683+0.00083892i,0.0014195-3.0024e-05i,0.00028807-0.00035379i,-0.00039741+0.00012503i,-0.00046704+0.00045664i,-0.00082631+0.00012186i,-0.00024252-0.00067523i,0.0007486-0.0011203i,0.00038791-0.00088202i
-0.0022172-0.00028178i,-0.0026314+0.00031252i,-0.0025208+0.0006398i,-0.0014788+0.00039179i,-0.00060263+0.00011997i,0.00014057-0.0007308i,0.00050608-0.0012178i,0.00021514-0.00069275i,0.00011504-0.00014162i,0.00051857+0.00090029i,0.00045927+0.0014038i,0.00055728+0.00047773i,0.00073442-0.00086414i,0.00040226-0.00057138i,1.0184e-05+0.00014135i,-5.0648e-05-0.00022094i,0.00062664-0.00019733i,0.0014722+8.8475e-05i,0.0011576+7.7119e-05i,9.3615e-05+0.00046229i,-0.00011784+0.00012898i,-0.00043833-0.000295i,-0.00081523-1.7518e-05i
0.00012228-5.2243e-05i,-0.00042474-0.00089094i,-0.00074943-0.00050783i,0.00069307-0.00017395i,0.0012879-6.6423e-06i,0.00040733-0.00077227i,-6.0179e-06-0.001455i,-0.00062887-0.00061732i,-0.00049391+0.00010751i,-4.3254e-05+0.00019951i,-0.00015865+0.0001662i,-0.00044629+7.2278e-05i,-0.00064589-0.00010977i,-0.00038453+0.00055327i,-2.493e-05+0.00058617i,1.3637e-05-0.00042724i,0.00011285-0.00049137i,0.00066272-0.00072776i,0.00059354-0.00048886i,-0.00019036+1.8229e-05i,-0.00071918+0.00029465i,-0.00096455+0.00050758i,-0.00015949+0.0003274i
0.00086044-0.001198i,0.00088648-0.00090736i,-0.00047878-0.0018399i,-0.0019566-0.0012975i,-0.0021392+2.5058e-05i,-0.0010889+0.00087435i,-0.00034493+0.00032971i,0.0005549-0.00020682i,0.0010168-0.00080466i,0.00089677-0.00094281i,0.00022074-0.00028388i,0.00027808-4.506e-06i,0.0014209+0.00044532i,0.00098319+0.0012122i,0.0001276+0.001583i,0.00023987+0.0014502i,5.5195e-05+0.00046558i,-0.00022193-1.5199e-06i,0.00012058-0.00034008i,0.00052026-0.00099036i,0.00027885-0.00044997i,-0.00024087-0.00036872i,-0.00058091-0.00052664i
-0.00061566-7.2076e-05i,-0.0005386-0.00076168i,-0.00045134-0.0010328i,0.0005355-0.0010856i,0.00096099-0.0012053i,0.00075434-0.0012469i,0.00071159-0.0015887i,0.00084419-0.00087506i,0.00090398+5.5479e-05i,0.00064417+0.00027911i,0.00035923+0.00013962i,-6.3221e-05-0.00035562i,0.00027869-0.00041831i,0.00079423-0.00017649i,0.00012208-0.0005708i,-0.00016048-0.00083299i,-0.00015665-0.00097653i,-0.00026765-0.00075686i,-0.00039167+0.00019639i,-0.00085403+0.00023209i,-0.00065801-0.00038077i,-0.00057269-0.00053827i,-0.00044913-0.00010161i
0.00063216-0.0012608i,0.0013031-0.0004756i,0.0011896-6.5119e-05i,0.0011308+0.00040734i,0.0015248+5.2744e-05i,0.0012489-0.0012973i,0.00014415-0.0025852i,-0.00040901-0.001314i,-0.00027271+0.00036133i,0.00024697+0.00058887i,0.00046531+0.0004441i,0.00083718+0.00026362i,0.00074843-0.0004295i,0.00044905-0.0010725i,0.00037909-0.00088236i,0.00055473-0.00054604i,0.00044262-0.00061614i,8.2346e-05-0.00036563i,9.4456e-05+0.00032772i,-0.00055977+0.00068466i,-0.00072987+0.00078535i,-0.00068613+0.0001232i,-5.4742e-05-0.0010101i
0.0023445+0.0010898i,0.0018819+0.0011382i,0.0019901+0.00077994i,0.0010768-0.00010257i,-3.7946e-06-0.00081095i,-0.00055491-0.00085001i,-0.0012612-0.00012112i,-0.00055396+0.00023291i,0.00093057-2.5005e-05i,0.00050115-8.9431e-05i,0.00021019+0.00025746i,0.00071629+0.00053759i,0.00036847+0.0002608i,-0.00022615+1.8851e-05i,-0.00063551+0.0005054i,-0.00077405+0.00071389i,-0.00046638+0.00014367i,-0.00049879+0.00030202i,-0.00032392+0.0011032i,-0.00032952+0.0013433i,-0.00061947+0.00083769i,-8.4613e-05+0.00022039i,0.00019248-0.00023954i
-0.00017631-0.0015985i,0.00080478-0.0017712i,0.00053111-0.0011938i,-0.00019521-0.0010973i,-0.00041788-0.00084873i,-0.00072723-0.00098821i,-0.00057869-0.0015061i,-0.00053122-0.0010888i,-0.00061705-0.00073106i,-0.00024017+4.6701e-05i,-0.00032852+0.00079821i,-0.00044711+0.00046838i,0.00011306+0.00036685i,0.0005882+0.00089911i,0.0005575+0.00085235i,0.00082667+0.00087765i,0.00067325+0.00067377i,-0.00050426+0.00070158i,-0.0011672+0.00099587i,-0.00050415+0.00051739i,-6.6027e-05+0.00036765i,-3.7516e-05-0.00032631i,-0.0001391-0.00069652i
-0.00091496-0.0011099i,-0.0014005-0.0015103i,-0.0021812-0.0014613i,-0.0013629-0.0010227i,0.00032862+3.173e-05i,-0.00071003+0.00095129i,-0.0021394+0.00038277i,-0.0019293+0.00028033i,-0.00092978-6.6236e-05i,-9.6454e-05-0.00072179i,0.00051881-0.00042603i,0.0010864-0.00045233i,0.00081479+0.00015819i,0.00030124+0.0007751i,0.00019233+0.00058671i,-0.0001011+0.00040589i,2.3509e-05+0.00047405i,-0.00032541+0.00011398i,-0.00020075-0.00075484i,0.0011053-0.00065115i,0.0013339-0.00034419i,0.00034124-0.00019294i,-0.00057376-1.7418e-05i
0.001724-0.00014842i,0.0010761-0.00027131i,0.001711-6.4695e-05i,0.0019344-0.00012348i,0.00095685-0.00089315i,-0.00050518-0.0011801i,-0.00077046-0.0013811i,-8.1814e-05-0.00068991i,0.00097192+9.1746e-06i,0.0016869+0.00044843i,0.0014232+0.00054225i,0.00052259-1.1514e-06i,-0.00021296-0.00044934i,-0.00042939-0.00085419i,0.00038742-0.00075768i,0.00038895-4.076e-05i,6.7671e-05+0.0005327i,0.00057902+0.00031237i,0.00062862-0.00035364i,0.00011547-0.00062873i,-0.00027533+2.2188e-05i,-0.00018659+0.00016619i,0.00037209-0.00050447i
-0.00095072-0.00022354i,-0.00070512+0.00013103i,-0.00033864+0.00037853i,-0.00020194+0.0012079i,-0.00026037+0.00090256i,-2.1177e-05-0.00073873i,-0.00043878-0.00083265i,-0.00057963-0.00024284i,-0.00035655+0.00036412i,-5.579e-05+0.00030986i,0.00023934+0.00079191i,0.00082295+0.0015142i,0.0010917+0.00078408i,0.00038388-0.0004499i,0.00027926-0.00054718i,0.00068444-5.6634e-05i,0.00088261+0.0002364i,0.00040006+0.00030719i,-0.00012255-0.00028594i,-0.00045943-0.00024396i,-0.00048403+3.2388e-05i,-0.00041487+0.00036263i,-0.00063747+0.00087788i
-0.0017952+7.4918e-05i,-0.0021022+0.0001043i,-0.0017525+0.00046804i,-0.00082902+0.00040555i,-0.00020496+0.000541i,0.00010601-5.6067e-05i,0.00024855-0.00042577i,-0.00030098-0.00027485i,-0.0010107-0.00013826i,-0.00041526-0.0006164i,0.00063414-0.00029502i,0.00077452+0.00090694i,0.00019117+0.001154i,0.00027367+0.00025984i,0.00052962-0.00055581i,0.00046284-0.00061691i,0.00017171-0.00021292i,0.00030524+0.00029262i,0.0003592-0.00023072i,-0.00023205-0.00054438i,-0.0012112-0.00046467i,-0.00090916-0.00074325i,0.00016298-0.00069617i
0.0024972-0.00087364i,0.0023754-0.0017996i,0.0017069-0.0024895i,0.0011658-0.0023033i,-1.6432e-06-0.0020345i,-0.0014178-0.0023145i,-0.0011468-0.0021976i,-2.3032e-05-0.00086531i,-0.00012346-1.6801e-05i,-0.00035221+0.00020022i,-0.00027087+0.0003747i,-0.00046254+0.00080278i,-0.00064698+0.0019628i,-0.00066338+0.0013775i,-0.00033157+8.6794e-05i,0.0003388+0.00053733i,0.00060801+0.00084052i,0.00017736+0.00038342i,0.00015869+9.7957e-05i,0.00040032+0.0002484i,0.00087926+0.00019612i,0.00052305-0.00014128i,0.0002086-0.00035269i
0.0013812-0.00050483i,0.001269-0.00089334i,0.0014883-0.00042124i,0.0015301-5.8136e-05i,0.00098379+0.00016379i,0.00017869-0.00075429i,-0.00079761-0.00096463i,-0.00083504-0.0001804i,-0.00036104+0.00042223i,-0.00019714+0.00044542i,0.00048523+0.00060998i,0.00085013+0.00058672i,0.00034202+0.00022678i,-0.00035744+0.00028819i,-0.0003609-6.4772e-05i,-0.0001707-4.6688e-05i,0.00019458+0.00063687i,0.00010754-4.4511e-05i,-0.00020039-0.000376i,-0.00035004+0.00025642i,-0.00040648-0.00059913i,-0.00081599-0.0011112i,-0.0008244-0.00048049i
0.0010571+0.0024652i,0.00076715+0.0023044i,0.00095412+0.0016399i,0.0008943+0.00098657i,0.0010586+0.00011811i,0.0010203-0.00090548i,0.00022388-0.0009056i,-0.00052014-0.00021164i,-0.00035743+0.00036241i,0.00017675+0.00058699i,0.00084031+1.8781e-05i,0.00086454-0.00018836i,0.00047556+0.00014788i,0.00019161+0.00028866i,-0.0004145+0.00052993i,-0.00050206+0.00017821i,-0.00016414-8.6638e-05i,0.00023187+0.00015378i,-2.7813e-05-0.00020703i,-0.00039019-0.00054483i,-0.00050141-0.00053926i,-0.00087791-0.00087573i,-6.9502e-05-0.00024557i
-0.0017693-0.00084827i,-0.0013771-0.0016166i,-0.00052974-0.0016498i,-0.00021393-0.00044431i,0.00014822+8.4167e-05i,0.00054348-0.0001383i,0.00037449-0.00082825i,-0.00015735-0.00095343i,-0.00067481-0.00023674i,-0.00037836+5.2003e-05i,0.00058718+0.00032556i,0.00087874+0.00048908i,0.00083603+5.3933e-05i,0.0012257+0.00015622i,0.001299+0.00030385i,0.00032686+2.7099e-05i,-0.00027717+0.00029058i,-0.00017645+0.00041168i,-0.00033953+0.00048837i,0.00035165+0.00028592i,0.00046304-0.00020625i,-0.00017763-4.1379e-06i,-0.00045915-7.5753e-05i
0.00053203+0.0004789i,0.0011035+0.0010702i,0.0014462+0.0020855i,0.0017468+0.0013041i,0.0020132+0.0003526i,0.002105-0.00094358i,0.0010461-0.0016793i,-0.00033761-0.00094734i,-0.00021076+5.682e-05i,0.00074811+0.0001558i,0.0010048-0.00016499i,4.7087e-05-0.00014108i,-0.00044096-0.00047522i,0.00022847-0.0011866i,0.00085851-0.0012801i,0.0006277-0.0010804i,-0.00063364-0.00028737i,-0.00087136-4.3608e-05i,-0.00049123-0.00026063i,5.705e-05+0.00017955i,0.00010567+2.8373e-05i,-0.00027576-0.0006294i,-0.00011088-0.00049304i
0.0003442-0.0013633i,0.00049842-0.0011282i,0.00035875-0.0012164i,-5.9995e-05-0.0015007i,-2.427e-05-0.0014345i,-0.00017702-0.0011301i,-2.5439e-06-0.00096795i,6.9476e-05-0.0011004i,-0.0002159-0.00071234i,0.00041512+0.00019964i,0.00068078+0.00036078i,0.00046783+9.249e-05i,0.00016611+0.00047736i,-0.00017617-5.3105e-05i,-0.0004889+0.00016996i,-0.00050499+0.00091156i,-3.8895e-05+0.00025452i,0.00032434+0.0002627i,0.00024105+0.00010154i,-0.0001285-9.2206e-05i,-0.00080591+0.00069699i,-0.00071822+0.00093201i,-6.6115e-05+0.00097773i
0.00069937+0.00077208i,0.0011484-0.0001388i,0.0010675-0.00043106i,0.00057506-0.00043155i,4.2854e-05-0.00057653i,-0.00041372-0.0010182i,-0.00079764-0.0017927i,-0.00054613-0.0010895i,-0.00040763-3.4495e-05i,-0.00041824+5.5698e-05i,0.0003789+7.8463e-05i,0.001429-0.00012989i,0.0015043-0.00070342i,0.00030769-0.00043809i,-0.00012653-4.4648e-05i,-3.0843e-05+0.0002829i,-3.5062e-05+0.00062138i,-0.00044305+0.00033483i,-0.00046082+0.00022341i,-0.0006666-0.0001186i,-0.00064142-0.00018522i,-3.6268e-05+0.00063091i,-0.0002915+0.0010333i
0.00097941-0.00082604i,0.00052423-0.0018342i,-0.0002355-0.0016178i,-6.2167e-05-0.00043106i,0.0003131-0.00046921i,0.00028621-0.00029001i,0.00019105+8.4181e-05i,-0.00032924-0.00034312i,-0.0011692-0.00041955i,-0.00050941+2.9876e-06i,0.00059179+0.00020558i,0.00045157-0.0002092i,9.9893e-05-0.00074082i,0.00018484-0.00098786i,0.00029159-0.00074826i,0.00022736-0.00033965i,0.0008569+0.00055742i,0.00026242+0.00049557i,-0.00029644+0.00027419i,0.00060235+0.0001668i,0.00096912+0.00052823i,0.00068881+0.0006275i,-7.7112e-05-0.00018451i
0.0018067-0.00085193i,0.0019632-0.0014179i,0.00063417-0.001402i,-0.00092244-0.0010296i,-0.0015314-0.00086269i,-0.00075571-0.0011933i,-0.00031246-0.00098866i,-0.00032302-0.00053909i,0.00027025+0.00030981i,0.00071815+0.00027026i,0.00060476-0.00011233i,-0.00014773+0.0002857i,-0.00094789+0.0005345i,-0.00078641+0.00027886i,-4.1908e-05+0.00079186i,0.00027698+0.00064257i,0.00041145-0.00027617i,0.00018075-0.00038998i,5.2732e-05+0.00014317i,0.00037674-0.00053314i,0.00061683-0.001086i,0.0013259-0.00049697i,0.0013754+0.00014574i
0.00076619+0.00033892i,0.0010357+0.0003947i,0.00093999+0.0003349i,0.00076009+0.00033913i,0.00014688-0.00053691i,-0.00070058-0.0011899i,-0.00059829-0.00097363i,-0.00070442-0.0001971i,-0.00033514+3.9259e-05i,0.00016952-0.00041698i,0.00020274-0.00043263i,0.00053878-0.00032485i,0.00036053-0.00016915i,-0.00012867-5.9501e-05i,0.0001199+0.00032982i,0.00018126+0.00045673i,0.00017352-0.0003251i,-3.4669e-05-0.00086829i,-0.00076135-0.001023i,-0.0010031-0.0010593i,-0.00063875-0.00081787i,-0.00055109-0.00061443i,-0.00029134-0.00035128i
-0.0012377+0.00025911i,-0.0011003-0.00020927i,-0.00089789-0.00047689i,-0.00067014-0.00064869i,0.00039486-0.0014343i,0.00104-0.0017869i,0.00057371-0.00089369i,-0.00039034+0.0011669i,-0.00020486+0.0010868i,0.00054503-1.398e-05i,0.00042182+0.00088405i,0.00022227+0.0015189i,-0.0002266+0.0011626i,-6.9013e-05+0.00032666i,0.0004587-0.00019579i,0.00032579-0.00015243i,0.00046315+0.00035514i,0.00030214+0.00031131i,-0.00034937-0.00033508i,0.00010225-0.00072468i,0.00062604-0.00053229i,0.00038353-0.0003273i,0.00022908-0.00018724i
-0.0022496-0.0008741i,-0.0023335-0.00011968i,-0.0023718+0.00078329i,-0.00083597+0.001132i,0.001323+0.00094073i,0.0010122-0.00028757i,-0.00042499-0.0016922i,-0.00027792-0.0016009i,0.00032003-0.00061245i,0.00035587+0.00030722i,0.00012245+0.00015583i,0.00072267-0.00043852i,0.0010983+0.00026039i,0.00059777+0.00050981i,0.0010836-0.00019785i,0.0011725-0.00034661i,0.00064027-0.00034096i,-0.00011098-0.00028765i,-0.0011038-0.00023377i,-0.00040671-0.00026465i,-0.0002131+9.5461e-05i,-0.00036809-3.9547e-05i,0.00020693-0.00094387i
0.003149-0.00031581i,0.003334-0.00033315i,0.0020301-0.00028495i,0.0015967-0.00065207i,0.0014464+8.2147e-05i,0.0010775-0.00010789i,6.4638e-05-0.0019009i,-0.00010584-0.0020936i,0.00022786-0.0011748i,3.9365e-05-0.00068867i,-0.00066542+2.1654e-05i,-0.001154+0.00077907i,-0.0001674+0.00078171i,-1.8552e-05+0.0001524i,8.0924e-07+0.00021606i,0.0003796+0.00080094i,0.00020681+0.00065544i,-5.6068e-05+0.00037581i,0.00018239+3.61e-05i,0.00033088-0.00020159i,0.00042267-0.00013576i,0.00029976-1.4882e-05i,-0.00046121+6.8021e-05i
-0.00052033+0.0004027i,-0.00061041+0.00096677i,-0.00017974+0.0012153i,0.00045634+0.0014748i,0.00068235+0.0010578i,0.00028819-4.5818e-05i,-9.2342e-05-0.0010199i,-4.6214e-05-0.0010717i,-0.0001386-0.00045447i,-0.0006893+0.00017908i,-0.00057711+0.0005568i,-0.00011218+0.00054903i,0.00032333+0.00057359i,0.00022201+0.00053707i,-6.0717e-06+0.00016918i,0.00013187-4.0968e-05i,-8.5865e-05+0.00051554i,-0.0004557+0.00085365i,-0.00011809+0.00052998i,0.00077382+0.00025398i,0.00065616+7.9205e-05i,-0.00022708-5.5261e-06i,-0.00046792+9.6924e-05i
0.00051989-0.00013043i,-0.00017283-0.00057306i,-0.00045508-0.0020403i,-0.00086811-0.0019514i,-0.0015329-0.00085538i,-0.0013683+0.00011594i,-0.00073849-0.00052135i,-0.00076515-0.0011677i,-0.00057687-0.00068532i,0.00022021-0.00042633i,3.7294e-05-9.7555e-05i,-0.00024342+0.00023848i,3.8919e-05+0.00013377i,0.00019943+0.00051723i,0.00020444+0.0014315i,0.00028095+0.0009711i,0.0002678+2.5581e-05i,-0.00012086+3.661e-05i,-0.00042242-0.00010378i,-0.00047625-0.0001469i,-0.00090343+8.5056e-05i,-0.0012214+6.9668e-05i,-0.001156+0.00033499i
0.0018348+0.0017124i,0.0033745+0.00084513i,0.0034883+0.00029834i,0.0023023-0.0008198i,0.0011241-0.0018333i,-0.00018981-0.0016236i,-0.0011551-0.00074138i,-0.00083249+0.00032164i,0.00018763+0.00097862i,0.00043525+0.00061665i,0.00010038+0.00025672i,-0.00014985-0.00023516i,0.0001522-0.00013519i,-0.00028014-0.00026513i,-0.00026012-0.00107i,0.00012542-0.00087982i,0.00034114-0.00042153i,0.00054927+0.00024071i,5.2425e-05+0.00089723i,1.9221e-05+0.001297i,0.0001568+0.00092164i,-0.00043563-0.00027782i,-0.00033779-0.00090453i
