-0.002279-0.00057677i,-0.0026448-0.00037734i,-0.0039182+0.00061492i,-0.0032559+0.0014464i,-0.0013706+0.0027562i,-0.0011603+0.00244i,-0.0013613+0.0018987i,-0.00043117+0.0010975i,0.00071395-0.00017421i,0.00054821-0.00085794i,0.00043161-0.00076525i,0.00067465-0.00058574i,0.00069575-0.00084256i,0.00097297-0.00048637i,0.00035801+7.5489e-05i,0.00036504+2.3217e-05i,1.472e-05-0.00035867i,-0.00043827+8.5503e-05i,-0.00027397-0.00011521i,-5.3243e-05-0.00053928i,0.00017474-0.00021659i,0.00023044-0.000349i,0.00051331-0.00082972i
-0.00064848-0.0011035i,-0.00043846-0.00066256i,-0.00014021-0.00071642i,0.0012548+5.3502e-05i,0.0021142+0.00062098i,0.0018213+0.00077286i,0.00062625+0.0012281i,-6.1211e-05+0.00010566i,9.2655e-05-0.00093502i,-0.00034798-0.0014714i,-0.0004052-0.0011422i,-6.879e-05-9.538e-05i,-0.00020885+0.00012924i,-0.00058826+0.00068731i,-0.00059465+0.00024243i,-0.00056715-0.00091896i,-0.0010249-2.5827e-05i,-0.00040735+7.8665e-05i,0.00080199-4.6335e-06i,0.00014289+0.00028744i,-0.00073235+0.00019377i,-0.00090233+0.00015259i,-0.00089227+0.00027353i
0.00043462+0.0018436i,0.0013729+0.0020075i,0.00138+0.0017352i,0.00068279+0.0011698i,0.00044321+0.00042816i,0.00010116-0.00063122i,-9.6528e-05-0.00042714i,1.2839e-07+8.4056e-05i,0.0002704-6.902e-05i,5.3336e-06-0.00052507i,-0.00049441-0.0011498i,-0.00051437-0.00077767i,-0.00063856-0.0011393i,-0.00014024-0.0019764i,0.00033873-0.0014397i,0.00091596-0.00073449i,0.0007735-0.00058105i,-1.9365e-05-0.00066211i,8.5998e-05-0.001103i,0.00024488-0.00096502i,-0.00023854+0.00022852i,-0.00057509+0.0011909i,-0.00034224+0.00080196i
0.0014184-0.0012391i,0.00055209-0.0015143i,0.00036028-0.0022934i,0.00039245-0.0016843i,0.00072757-0.00060427i,0.00098031-0.00054712i,0.00023399-0.0007783i,3.8858e-05-0.00095761i,0.00097176-0.00062567i,0.00054468-6.711e-05i,-0.00035771-0.00035121i,-0.00061437-8.3848e-07i,-0.00057405+0.00085575i,-0.00010511+0.00083188i,0.00027688+0.00050614i,5.6679e-05+0.00067222i,0.00048817+0.00071863i,0.00012289+0.00073585i,-0.00032926+0.00048807i,0.00038692+0.00016567i,0.0009914+0.0005594i,0.0005133+0.00096031i,0.00030914+0.00077812i
0.00038331-0.00096417i,0.00044091-0.0014437i,4.4101e-06-0.001032i,6.1847e-05-0.00068473i,-0.0013167-7.6618e-05i,-0.0022943+0.00030734i,-0.00094581-0.00012277i,0.00065056-0.00029193i,0.00039821-8.7137e-05i,-0.0010071-0.00030255i,-0.00067354-0.00068922i,0.00039378-0.00057064i,0.00092843-0.00026092i,0.00070901+2.1309e-05i,-3.5823e-05+0.0002819i,-0.00054994+0.00015108i,-0.00091879-0.00025826i,-0.00090616-0.00035594i,-0.00074164-0.00016176i,-0.00026128-0.00018471i,-0.00013822-0.00025673i,-0.00028855-0.00018792i,-0.00025792+9.0382e-05i
-0.0004568+0.00086755i,0.00036919+0.0014587i,0.0012821+0.0021125i,0.0011853+0.0018726i,0.001166+0.00073209i,0.0007703-0.00035857i,-0.00034125-0.00012557i,-0.00042468-0.00027772i,0.00026811-0.00020745i,0.00066603-1.2942e-05i,0.00067581-0.00029865i,0.00015103-0.00033057i,-0.000221-0.00075422i,-0.00049545-0.00029134i,0.00017261+0.00061714i,0.00052466+0.00048587i,0.00056014+0.00056724i,0.0008322+0.00032173i,0.00067777-3.7191e-05i,-0.00010342-0.00058207i,-0.00094955-0.0002452i,-0.0012214+0.00073139i,-0.0006231+0.0003752i
-0.00014429+0.0014772i,4.5513e-05+0.001592i,0.00071647+0.0014959i,0.0021207+0.00070823i,0.0029233-2.9787e-05i,0.0021224+4.19e-05i,0.00066962+0.00026073i,8.9584e-05-0.00029601i,0.00028942-0.0012965i,0.001044-0.0015546i,0.00085643-0.0010289i,0.00083635-0.0004942i,0.00099216-0.00037218i,0.00036663-0.00018283i,-0.00016969-3.6572e-05i,3.8324e-05+5.5869e-05i,0.00036494+0.00011651i,-0.00013525-9.4439e-05i,-0.00016808-0.0001059i,-0.00066546-2.8582e-05i,-0.00058328-0.00038767i,0.00012316-8.3433e-05i,-0.00030239+0.00069326i
-0.002488-0.00060999i,-0.0013403-0.00018719i,-0.0015577-0.00045685i,-0.0016655+0.00066177i,-0.0019527+0.0012625i,-0.001144+0.0013084i,0.00028764+0.00059971i,0.00058914-0.00042141i,6.8899e-05-0.0011926i,-0.00083028-0.00040975i,-0.0012308+0.00057378i,-0.00038184+0.00064961i,0.00013067+0.00033731i,-0.00050636+0.00028535i,-7.6543e-06+0.00061388i,0.00035881+0.00055904i,-0.00027489+0.0003576i,0.00013663+0.00060152i,0.00021773+0.00049534i,-0.00052924+0.00033598i,-0.0010641-0.00017665i,-0.00035592-0.00018646i,-0.0005024+0.000201i
0.0027199-0.0014586i,0.0015792-0.00083526i,0.00043601-0.0014854i,-0.00046365-0.0019963i,-0.00062917-0.0013936i,-0.00041607-0.0010654i,0.00015337-0.00095655i,-0.00010862-0.0011198i,-0.00069538-0.0012773i,-0.00074335-0.00091185i,-0.00050286-0.00088355i,-0.00031212-0.00082764i,-0.00068033-0.00092993i,-0.00069222-0.00055359i,-0.00021173-0.00011221i,-0.00015633+0.00011957i,0.00015352+0.00086259i,0.00033602+0.00091223i,0.00025637+0.00029001i,-9.4277e-05+0.00023357i,-0.00041877+7.3131e-05i,-0.00077426-0.00015479i,-0.00060834-8.1694e-06i
-0.001734+0.00098905i,-0.001543+0.0020188i,-0.00044546+0.0033254i,0.00028629+0.0029047i,0.00089874+0.0028173i,0.0012107+0.0026278i,0.00037807+0.00058357i,-0.00021907-0.00071816i,-0.00072528-0.00050559i,-0.0004544-0.00083131i,0.00037354-0.00053051i,0.00053885+0.00044234i,9.5581e-05+0.0011601i,-0.00020867+0.0012112i,-0.00043119+0.00068531i,-2.8015e-05+0.00017157i,-2.321e-05+0.0003126i,-0.00077712+0.00072459i,-0.00076095+0.00062503i,-0.00013903+1.4732e-06i,0.00014294+0.00016019i,-0.00051882+0.00035703i,-0.00057619+0.00028824i
0.00014277-0.0014806i,0.0006789-0.001952i,-0.00094559-0.0016963i,-0.0015459-9.7661e-05i,-0.0011767+0.00057158i,-0.00016895+0.0004228i,0.00047652+0.00041034i,2.3546e-05-0.00045597i,-0.00038373-0.00093439i,-0.0010885-0.00017473i,-0.0016118-0.00017324i,-0.0010624-0.0004395i,-0.00044506-5.3437e-05i,-1.3227e-05+0.00010645i,0.00022276-0.00048633i,0.00035001+2.5527e-05i,0.000519+0.00076899i,0.00057059+0.00084065i,0.0010656+0.00051107i,0.0011998+0.00036634i,0.00056947+0.00037563i,0.00023012+0.00033701i,0.00011031-0.00025226i
8.1548e-05+7.9893e-05i,-0.00026576-4.3064e-05i,-0.00029982+0.00080572i,-0.00011851+0.00018426i,0.00061483+5.6886e-05i,0.00083222+0.00042308i,-3.3804e-05-0.00083477i,-0.00035803-0.00091026i,0.0001612-0.0009472i,0.00041461-0.0013726i,1.5094e-05-0.0011179i,-0.00029321-0.0011309i,-0.00084092-0.0011995i,-0.00049448-0.00066507i,0.00070122-0.00064178i,0.0012668-0.00067052i,0.00042386-0.00047103i,-0.00022262-0.00051263i,0.00052094-3.0776e-05i,0.00095761+0.00011939i,0.00088455+0.00036116i,0.00067023+0.00051708i,0.00077503-2.0341e-05i
-0.00038533-0.00091939i,-0.00042141-0.0015421i,-0.000373-0.00015488i,-9.3817e-05+0.0011033i,4.1652e-05+0.00072007i,-0.0002492-8.4693e-05i,-7.9605e-05-0.0002603i,0.00026659+0.00022902i,0.00016924-0.00031088i,-0.00085497-0.0014612i,-0.001404-0.00068326i,-0.00088188-4.2796e-05i,-0.00014604-0.0007719i,0.00057291-0.00078247i,9.8145e-05-0.0002628i,-0.00095883-0.00016055i,-0.00071198-0.00034797i,-4.3079e-05-0.00016904i,9.5013e-05+0.00079068i,2.1603e-05-7.8911e-05i,-1.8154e-05-0.00071573i,0.00019805-0.00031936i,-0.00022043+3.4659e-06i
-0.0004756+0.001672i,-0.00045317+0.0013792i,-0.00016284+0.0020213i,0.00063212+0.0019362i,0.0013584+0.00067747i,0.0013625-0.00067291i,0.0015145-0.0006435i,0.0016566-0.00051214i,0.0013766-0.0010596i,0.00044752-0.00062654i,-0.00011939-6.1715e-05i,0.00044683+0.00015938i,0.00016004-0.00052121i,-0.0001392-0.00054834i,0.00019709+0.00062618i,0.00055646+0.0016391i,-3.2372e-05+0.0017596i,-0.00026966+0.0014963i,0.00023526+0.0011868i,0.00044449+0.00048438i,0.00028717+0.00011472i,-0.0002324+0.00013205i,-0.00071603+0.00013511i
-0.0022155+0.0002575i,-0.0012163+0.00025981i,-0.0015569+0.00060696i,-0.00077641+0.00083529i,0.00090003+0.00026881i,0.0012484-0.00077542i,0.00063588-0.0013768i,0.00042564-0.0010422i,0.00022635-0.00096781i,-0.00088457-0.0016995i,-0.0010238-0.0013135i,-0.00042709+0.000261i,0.0001998+0.00063895i,0.0001872+0.00014152i,0.00035947+8.2196e-06i,0.0004146+0.00039319i,0.00014853+0.00057196i,8.7507e-05+0.00023143i,-0.00038028+0.00024078i,-0.00060326-0.00019751i,5.7065e-05-0.00035025i,6.2219e-05+0.00041699i,-0.00053014+0.0002013i
-0.00035133-0.00125i,-0.0010869-0.0014193i,-0.00088134-0.0016747i,-0.00039655-0.00060955i,0.00024685-0.00016098i,0.0005029-0.00026189i,0.00072601-0.00012529i,0.00082528-0.00089061i,-0.00019249-0.0015489i,-0.0010751-0.00095342i,-0.00063269-0.00072419i,0.00022036-0.00047295i,0.00025802-0.00010169i,-0.000587+7.764e-05i,-0.0011346+0.00046441i,-0.00085254+7.6063e-06i,6.0097e-05-0.00033396i,0.00051875-5.1615e-07i,-0.00041087+0.00024221i,-0.00084451+9.1401e-07i,-0.00033658-0.00027383i,0.00019445-0.00057421i,-0.0004241-5.9383e-05i
0.00097847+0.00094217i,0.001386+0.0011122i,0.0024655+0.00090007i,0.0012501+0.00037532i,-0.00012312+0.00021718i,0.00013848+0.00028924i,0.00011981-0.00033299i,0.0001515-0.0006364i,0.00031805-0.00052838i,0.00023874-0.00048889i,0.00060219+0.00014525i,0.00048253+0.00058424i,-0.00033876+0.00040391i,-0.00038128+0.0003386i,0.00065713+0.00080769i,0.00097721+0.00020017i,-0.00023765-0.0001286i,-0.00083237+0.00045987i,-0.00068328+0.00048461i,-0.00054173+0.00036802i,-0.00044307+0.00053929i,-0.00033282+0.00028573i,6.2981e-05+0.00031415i
-0.0015385-0.0014061i,-0.0011697-0.00039474i,-0.0019621+0.00029392i,-0.00075107+0.00042505i,0.00084664+0.0018613i,0.0013169+0.0026947i,0.00069617+0.0014408i,-0.00034545-5.7086e-05i,-0.0006297-0.00080482i,-0.00096554-0.00071415i,-0.0014731-0.00065514i,-0.00087931-0.00086965i,0.00037141-1.651e-05i,0.00071564+0.00060002i,0.00066043-0.00010251i,0.00069579-0.00043935i,0.00022546+0.00034536i,0.00017761+0.00052277i,0.00073765+0.00024295i,0.00073588+0.00032948i,0.00051401-0.00027251i,0.00033609-0.00091443i,-0.00017414-0.00013318i
0.00030871-0.00042053i,0.00034612-3.938e-05i,-0.00017106-0.00026062i,2.1354e-05-0.00078689i,0.0001839+7.8599e-05i,8.167e-05+0.00055427i,6.0565e-05+0.00064244i,-0.00024055-8.8363e-05i,-0.00041929-0.0011297i,-0.00048388-0.0010665i,-0.00030387-0.00053738i,-0.00033148-0.00025358i,-0.00025328+0.00045642i,5.9562e-05+0.00053854i,0.00055515-0.00015056i,0.00043636-0.0003635i,0.00020928-0.00029025i,0.00095392-0.00015811i,0.00053475+0.00016419i,-0.00076147+0.00091872i,-0.00089629+0.0015173i,-0.00015927+0.0010701i,-8.8416e-05+0.00046733i
0.00047283-0.00026072i,0.00034692-0.00069572i,-7.4894e-05-0.0013712i,0.00036507-0.0020277i,0.00063701-0.001672i,0.00065364+0.00017491i,0.00022629+0.00079297i,0.00036679+0.00013027i,0.00045183-0.00044854i,0.00047198-0.0010917i,0.00049259-0.00038618i,-0.00034734+0.00012048i,-0.00044009-3.8802e-05i,-0.00027826-0.00015819i,-9.1767e-05+0.00072373i,-5.8916e-05+0.00075796i,0.00050934+1.3658e-05i,0.00083285+0.00051423i,0.00023617+0.00077736i,-0.00011743+0.00023201i,0.00043607+0.00035609i,0.00017084+0.00080253i,-0.0007003-7.4467e-06i
-0.0001487-0.00075027i,-0.00090769+0.00054667i,-0.0020466+0.0006044i,-0.0019353+0.0015404i,-0.00083689+0.0027385i,0.00044812+0.0021651i,0.0005954+0.00019914i,-0.00050367-0.00094668i,-0.00063182-0.0010534i,-0.00077868-0.00093266i,-0.0011913-0.00021748i,-0.0002887+9.8136e-05i,-0.00073134-0.00042913i,-0.00065414-0.00042483i,0.00062433+0.00020765i,0.00038996+0.00061959i,-0.00013073+0.00024123i,-0.00013129-0.00061123i,-0.00015631-0.00047704i,-0.00028556-0.00015165i,-0.00079105+0.00010425i,-0.00036644+0.00028484i,0.00013261+8.427e-05i
-0.0012344-0.00088213i,-0.00076768-0.0014101i,0.000143-0.0010123i,0.00038786-0.00093637i,0.0006314-0.00077712i,0.0003777-0.000428i,-2.2708e-05-0.0016653i,-0.00015413-0.0026111i,6.3387e-05-0.0020389i,-1.0035e-05-0.00108i,-0.00087368-0.00018858i,-0.0014741-0.00019541i,-0.0012835-0.00057537i,-0.0007805-0.00049496i,-0.00044568-0.00065531i,-9.9452e-05-0.00021198i,0.00033527+0.00042974i,0.00059703-7.0753e-05i,0.0013844-0.00042783i,0.0012918+0.00027712i,0.00063179+0.00023133i,0.00043518-0.0004592i,0.00046508-0.00048381i
6.0322e-05+0.00067788i,0.00075561+0.00084179i,0.0010702+0.00045301i,0.0016346+0.00014085i,0.0013354+0.00036676i,0.00025359+0.00059881i,-0.00056588-7.1181e-05i,-0.0010367-0.00053398i,-0.00076489-0.001234i,-7.545e-05-0.0010702i,0.00013026-0.00072277i,0.00016929-0.00084145i,-0.00023086-0.00059794i,-0.00042937-0.00022163i,4.7932e-05+0.00050925i,-0.0004785+9.0796e-05i,-0.00071195-0.00098021i,9.8451e-05-0.00087505i,-0.00045934-0.00070161i,-0.0011057-0.00065393i,-0.00031891-6.8811e-05i,0.00020489+0.00030822i,-8.2617e-05+0.00086608i
-0.00013798+0.00067897i,-0.00063724+0.001044i,-0.00037874+0.00053526i,-0.00066033+2.7211e-05i,-0.00034718-0.00012163i,0.00038563+0.00050985i,0.00070346+0.00082234i,0.00054425-0.00063718i,-2.9706e-05-0.001942i,-0.00062341-0.001721i,-5.1664e-05-0.00054479i,0.00033468-0.0006773i,-0.00010507-0.0013932i,-0.00058744-9.3198e-05i,-0.0012328+0.0011241i,-0.0016405+0.00067488i,-0.00096409+0.00011168i,0.00040623+0.0003376i,0.0010128+0.00084602i,0.00067849+0.00074776i,0.00013384-0.00035729i,-9.5193e-05-0.00067653i,0.00016475+7.6039e-05i
0.00073114-0.0021409i,0.00023617-0.0028225i,-4.4636e-05-0.0020825i,-0.00097708-0.00016243i,-0.0013288+0.00044267i,-0.00025684+0.00032614i,6.1363e-05+0.0002605i,-0.00031042-0.00041505i,-0.00047749-0.0012247i,-0.00099349-0.00069424i,-0.00098908-0.00055076i,-0.0005772-0.00060054i,-0.00093088-0.00060382i,-0.0010213-0.00083396i,-0.00073088+5.7415e-05i,-0.00090838+0.00030142i,-0.00080865+0.00046278i,9.5014e-05+0.00073921i,0.00046674+0.00017533i,0.00021234-0.00033157i,0.00024576+0.00045571i,0.00028907+0.0007998i,0.00023496-0.00032464i
0.0023343+0.0021298i,0.0018706+0.0010198i,0.0020642+0.0007445i,0.0022075+0.00052809i,0.0018074-3.117e-05i,0.00034341-7.6468e-05i,0.00018023+0.00019195i,0.0010125-6.09e-05i,0.00108-0.0008969i,0.00057989-0.0010625i,8.4736e-05-0.00044334i,-0.00035393-3.3462e-05i,-0.00095021-0.00026199i,-0.00072585-0.00077231i,-0.00058787-0.00049099i,-0.00082501-0.00038211i,5.6323e-05-0.00058569i,0.00079494+0.00058916i,-6.8038e-05+0.0015355i,-0.00088302+0.0012302i,-0.00099164+0.00096829i,-0.001122+0.00055871i,-0.0011753+0.00074733i
0.0020182+5.0017e-06i,0.0013085-4.9735e-05i,0.0024298+0.00034888i,0.002313+0.00040072i,0.0012923+0.00069914i,0.00065605+0.00068138i,0.00012716-0.00022364i,8.2084e-05-0.0003943i,6.9778e-05-5.5354e-05i,-0.00017135-0.00038885i,-0.00042997-0.00055173i,-0.00053658-0.00098622i,-0.00037937-0.00095524i,-0.00029085+0.00030636i,5.9304e-05+0.00085371i,0.00020029+3.9483e-05i,4.6675e-05-0.00039959i,0.00024359+0.00016345i,-0.0002627+0.00077384i,-0.0010411+0.00068761i,-0.00051758+0.00051917i,0.00076288+0.00051818i,0.00076613+0.00013642i
-0.00054506+0.0010421i,0.00024322+0.0012929i,0.00066617+0.00024332i,7.3691e-05-0.00087965i,-0.00024184-0.0002375i,4.0881e-05+0.00078293i,-0.00029654+0.0007755i,-0.00022899+0.00043474i,0.00014718+5.9429e-05i,-0.00070657-0.00058016i,-0.00072657-0.00079891i,-2.6622e-05-0.00073818i,0.00011922-0.00093797i,-6.0968e-05-0.00070767i,-0.0001373-0.00058241i,0.00034249-0.00085278i,0.0010094-0.00065532i,0.0007648-0.00030231i,0.00018744-0.00018352i,-5.7643e-06+0.00036712i,-0.00050034+0.00036346i,-0.00036555-0.0002489i,0.00058081+0.00038473i
0.00065539-0.0028673i,-0.00041995-0.0025231i,-0.002152-0.0015841i,-0.0017306+0.00039006i,-0.0006811+0.0012638i,0.00037875+0.00073803i,0.00089272+0.00058103i,0.00086802-0.00047452i,0.00065612-0.0011305i,-0.0004086-0.00095656i,-0.00094896-0.00056242i,-0.00069829-0.00025976i,-0.0007077+0.00035397i,-0.0011626+0.00053701i,-0.0012373-3.3174e-05i,-0.00061262+5.5579e-05i,-0.00017706+0.00025738i,-0.00035619+8.1274e-05i,-0.00024773+0.00015318i,-0.0001287-4.0518e-05i,-0.00036253-0.00093855i,0.0004935-0.00073535i,0.00086497-0.00055292i
0.00045708+0.0018942i,0.00074567+0.0023804i,0.0013517+0.0015659i,0.0022585+0.00096269i,0.0021165+0.001358i,0.0015453+0.000958i,0.0011016-0.00057977i,0.00077032-0.0015204i,0.00043181-0.0013252i,-0.00012539-0.0012097i,-0.00059933-0.0010008i,-0.00051526-0.00054324i,3.72e-05-0.00034312i,0.0005507-0.000106i,0.0011702+0.00011063i,0.0018891+0.00084209i,0.0012486+0.00080906i,0.00035748+5.6077e-06i,0.00038124-0.00048131i,0.00044474+6.3941e-06i,-3.4491e-05+0.00050745i,9.2692e-05+0.00071637i,0.00046894+0.00067458i
0.0015995+8.2815e-06i,0.0010554+0.000536i,0.0010237+0.0020678i,0.00011845+0.0014273i,0.00078364-1.6369e-05i,0.0012626-0.00064463i,0.00068105-0.00056335i,0.00038872-0.00041131i,-9.3864e-05-0.00073399i,-0.00082319-0.001569i,-0.00083464-0.00092639i,-0.00063421-1.6741e-05i,-0.00080984-0.00068402i,-0.00070005-0.0012217i,-0.00019803-0.0011562i,-0.00012546-0.0011036i,-0.00029906-0.00038311i,3.0893e-05+0.00024349i,0.00039373-0.00029976i,0.00038147-0.00021141i,0.00048985+0.00019921i,0.00031504+0.00013657i,0.00033736+0.00030052i
-0.0015272+0.00086371i,-0.0017226+0.00060914i,-0.0013611+0.00092012i,-3.4978e-05+0.0012883i,0.00040333+0.00086818i,0.0010865+0.00052227i,0.00051566+0.00040874i,-0.00058472-0.00029392i,-0.00068846-0.0014732i,-0.00091116-0.0012488i,-0.0012822-4.1131e-05i,-0.0012544+4.6783e-05i,-0.00075758-0.00049876i,-0.00021006-0.00018214i,0.00040442+0.00035185i,0.0002149-0.00036768i,0.00019822-0.00027442i,0.00026761+0.00099402i,0.0001893+0.00086755i,0.0003985+0.00089469i,0.00018276+0.00048151i,0.00035475-0.00041269i,0.00034245-0.00013073i
