-0.0021294+0.00014801i,-0.00074494-0.00055173i,-0.0015842-0.00022669i,-0.0024837+0.0015376i,-0.0016665+0.0034316i,-0.00060159+0.0032099i,-0.00028889+0.0014219i,-0.00028531+0.00047687i,-0.00017401+0.00060188i,0.00050796+0.0016876i,-6.573e-05+0.0010682i,-0.0003316+0.00011248i,-0.00042771+0.00023711i,-0.00073778+0.0003242i,-0.00031871+0.00062567i,-0.00024789+0.0010322i,1.5943e-05+0.00062638i,9.6446e-05+0.0005653i,-0.00025992+0.00030512i,0.00057062-0.00047703i,0.0011414-0.00027429i,0.00081093+4.7658e-05i,0.00014047+8.5861e-05i
0.00022879+0.00074627i,0.00088186+0.0014122i,0.00038707+0.0012063i,-0.00077866+0.00045562i,-0.00085198+0.0010522i,-0.0002263+0.0015096i,-4.0208e-05+0.00043138i,0.00022984+2.2331e-05i,0.0004655+0.00059439i,0.00010587+0.00044414i,0.00014483-0.000493i,-3.4657e-05+0.00016234i,-0.00065068+0.00082933i,-0.0004362+0.00021732i,0.00030896+0.00039056i,0.00011097+0.0013409i,-0.00043376+0.0016385i,-0.00024361+0.0004836i,-0.0002558-5.366e-05i,-2.9935e-05-4.3457e-05i,0.00012178-0.0002016i,1.9129e-05-9.2881e-05i,0.0004123-8.7026e-05i
-0.00094003-5.7723e-05i,-0.00071917+0.00020048i,-0.00057001+0.00051016i,-0.00083866+0.0011327i,-0.0004711+0.0013344i,0.0008002+0.00099555i,0.0012312-8.0104e-05i,0.00036809-0.00084429i,-0.00047666-0.00060077i,-0.0011046-3.5707e-05i,-0.001326+0.00044468i,-0.00067584+0.00095827i,-0.00060917+0.00050152i,-0.00062834-0.00048832i,0.00030612-0.00051664i,-0.00013118+0.00067167i,-0.00062626+0.0017165i,0.00027809+0.0010146i,0.00074362+4.6334e-05i,0.00011728-0.00016731i,-0.00031499-0.00036184i,-5.9706e-05-0.00049047i,0.00036236+0.00017771i
0.0021793-8.8958e-05i,0.0017573-0.00072863i,0.0007767-0.0013254i,0.00048583-0.00059339i,0.0003156-0.00028187i,6.5621e-05+0.00013208i,0.00028608-0.0004104i,-0.00012512-0.00067898i,-0.00051547-0.00077328i,-0.00081259-0.00052389i,-0.0016875+0.00040203i,-0.0016028+0.0016247i,-0.0013079+0.0010586i,-0.00072199-0.00068707i,-6.8494e-05-0.00021293i,0.00015073+0.00043195i,0.00021514+0.00022602i,0.00016443+0.00030695i,0.00053454+0.00064292i,0.00032586+0.00022393i,0.00048579-0.00035965i,0.0013432-0.000584i,0.00012624+4.4188e-05i
0.00041242+0.00071361i,-0.00011347-0.00046594i,0.00048327-0.00074794i,0.00033811-0.0013444i,-0.00016245-0.00095138i,-0.00045363+0.00051646i,-0.00073209+0.00062817i,-0.00024056-8.1012e-05i,0.00013992-0.00040815i,-0.0001275-0.00016146i,-9.3841e-05+0.00069353i,-0.0004694+0.00088933i,-0.00073805+0.00053826i,-0.00023322+0.00042713i,-0.00011439+0.00059319i,-0.00093472+0.00095492i,-0.00072821+0.00078718i,8.0805e-05-6.5954e-05i,0.00063097-0.00053174i,0.0004244-0.00022639i,-7.6486e-05-0.00041859i,-0.00042115+7.8888e-05i,-0.0006955+0.00013125i
-0.00064967-0.00075249i,0.00042315-0.0009155i,-0.0002489-0.0010597i,-0.0012236+2.417e-05i,-0.00064151+0.0011522i,0.00028759+0.00051258i,0.00042488-0.00070045i,0.00012889-0.00047139i,-0.00042084+4.1064e-05i,-0.0002664-0.00021249i,-0.00024814-0.00021919i,-0.00073838-0.00036475i,-0.00044698+0.00051769i,-1.8754e-05+0.0016032i,-0.00065376+0.0010052i,-0.00065895+3.7181e-05i,-0.00083331+0.00035943i,-0.0010723+0.00048887i,-0.00028463+0.0004539i,-3.3038e-05+0.00033113i,4.8294e-05-0.00010441i,0.00020891-3.5812e-05i,-0.00014526-1.9515e-05i
0.00072001+0.00093916i,-0.00019771+0.0010184i,0.00046784+0.0011259i,0.00080083+0.00072046i,4.6768e-05+0.000701i,-0.00052785+0.00066348i,-0.00013178-4.2436e-06i,3.0548e-05-0.00035748i,-0.00069305-0.0007104i,-0.00075425-0.00028745i,-0.00068544+0.00070373i,-0.00079681+0.00015437i,-0.00031319-0.00020213i,0.00065941+0.00046248i,0.00070966+0.00031526i,0.00017491+7.3793e-05i,0.00013492+0.00050464i,-0.00023914+0.000583i,-0.00046898-1.3308e-05i,-0.00036279-0.0002129i,0.00077639+0.00011581i,0.0011651+0.00081859i,0.00043554+0.0016113i
0.0012835-3.6804e-05i,0.0016376-0.00029818i,0.00029302-0.0011645i,-0.0015671-0.0018003i,-0.0018922-0.00068251i,-0.0014728+0.0007476i,-0.00053417+0.00036563i,0.00063419-0.00028317i,0.0010679-0.00047432i,0.00017848-0.00059662i,-0.00074719-0.00035843i,-0.0013139+0.00034251i,-0.00080621+0.00069456i,-0.00052371+0.00049387i,-0.00040938+0.00012416i,0.00018602+0.00052571i,0.00056197+0.0013279i,-5.8369e-05+0.0013233i,-0.00044394+0.00031747i,0.00013187-0.00055548i,0.00034663-0.00078141i,0.00011993-0.00014069i,-2.8287e-06+0.00011008i
0.001532-8.6117e-05i,0.00082536+0.00012702i,0.00069661-0.00031912i,0.00064857-0.00080185i,8.9032e-05-0.0010129i,-0.00046796+0.00042163i,0.00049393+0.00024641i,0.00038191-0.0013459i,-0.00038455-0.0018567i,-0.00058179-0.001248i,-0.00080032+0.000288i,-0.00060897+0.0013023i,-0.00075711+0.00077874i,-0.00072387+0.00049981i,6.2202e-05+0.00068583i,0.0010475+0.00050528i,0.00088444+0.00021618i,0.0004201-0.00038922i,0.00067344-0.0010132i,0.0013392-0.0014993i,0.001197-0.0011881i,0.00015783-0.00044735i,-0.00036596+0.00020253i
-0.0024289-0.00212i,-0.0038145-0.0022949i,-0.0056707-0.00086779i,-0.0052592+0.0015762i,-0.0036863+0.0031416i,-0.0018478+0.0027088i,-0.00028054+0.0002328i,0.00010338-0.0017386i,-0.0006077-0.0017212i,-0.00092438-0.0008854i,-0.00084002+0.00040875i,-0.00097007+0.00066745i,-0.00063799+0.00024381i,0.00065284+0.00067781i,0.0010054+0.00088502i,-7.5008e-05+0.00029039i,-0.00075607+0.00039278i,-0.00055177+0.00077473i,-0.00049939-0.00012921i,-0.00060202-0.00031004i,-0.00020857-0.00038111i,-0.00016591-0.00029146i,-0.0001688+0.00074939i
0.0014466-0.00029449i,0.0014399-2.8944e-05i,0.001354+0.00049608i,0.0010104+0.0011899i,0.00030804+0.00077747i,-0.00098077+0.00034269i,-0.0011349+4.101e-05i,-0.00077123+0.00038517i,-0.00016721-0.00019405i,-0.00028901-0.0004734i,-0.00078516+0.00017708i,-8.7211e-05+0.00064002i,-0.00049445+0.00090555i,-0.00077564+0.00065721i,-0.00013452+0.00025643i,6.6018e-05+0.00044552i,-3.1669e-05+0.00053119i,2.5259e-05+0.0007242i,0.00017808+0.00064314i,7.3802e-05+0.00021087i,0.00010444-0.00060786i,0.00042827-0.00071437i,0.00034375-0.00075065i
-0.00011291-0.00059869i,-0.00035817-0.0017239i,-0.0005949-0.0019738i,-0.0017133-0.0011982i,-0.0027719-0.00020282i,-0.0014483+0.0012707i,2.4527e-06+0.001462i,0.00051079+0.00089993i,6.1825e-05+0.00058495i,-0.00056992-0.00038266i,-0.00042251-8.1556e-05i,-0.00037665+0.0012247i,-0.00064034+0.00074483i,2.032e-06-0.00030697i,-0.00023812-0.00026782i,-0.00095159-0.00022911i,-0.00052567+0.00059313i,0.00026327+0.00073517i,0.00031892-3.9645e-05i,-0.00015342-0.00038727i,-0.00039245-0.00058413i,-0.00073677-0.00027716i,-0.0004121-0.00025952i
0.0031867+0.0028484i,0.0038485+0.00041628i,0.0038967-0.00084843i,0.0018922-0.00087985i,0.0010512-0.00063735i,0.00080882-0.00017251i,6.0077e-05-0.00047745i,-0.0004029-0.00053014i,-0.00080924-0.00010301i,-0.00038611-0.00030481i,-9.0888e-06+0.00013766i,-0.00052992+0.00074643i,-0.00060572+0.00081398i,-0.00010534+0.00070328i,0.00068092+0.0013073i,0.00043883+0.0019987i,-8.5532e-05+0.0019466i,5.2146e-05+0.00055191i,9.633e-06-0.00016194i,-0.00025722+0.00039894i,0.00050976+0.00042386i,0.0011455-0.00022419i,0.00071287-0.00042831i
0.00057461-0.0014806i,-0.00040898-0.002453i,-0.0010645-0.0030044i,-0.001484-0.0020345i,-0.0021213-0.00033966i,-0.0017663+0.0010006i,-0.00077357+0.001363i,-0.00076159+0.00061334i,-0.00084353-0.00040303i,-0.00029105-0.00057801i,-0.00026463-0.00069987i,-0.00039775-0.0002386i,-0.00057664+0.00061871i,0.00010677+0.0009006i,0.001271+4.1778e-05i,0.0013477-0.00029378i,0.0010422+0.00022098i,0.00041421+0.00070238i,-0.00018367+0.00022278i,-0.00013473-6.0756e-05i,0.00018374+0.00015422i,-0.00053599+0.00025179i,-0.0014287+0.00053229i
0.0023215+0.0019402i,0.0014381+0.0010121i,0.00074497-0.00069548i,0.00026159-0.0013425i,-0.00011931-0.00049046i,1.1228e-05-7.9176e-05i,0.00014933-0.00032518i,0.00030632-0.00010209i,0.00010153+3.0625e-05i,-0.00026222-0.00073113i,-0.00029486-0.0011185i,-0.00055306-0.00054935i,-0.00087013-0.00011078i,-0.00085129-0.00013329i,-0.00084935+0.00055255i,-0.00038416+0.00098552i,0.00011731+0.0012334i,0.00013516+0.00091975i,0.00069741+0.0002246i,0.00050894-0.00026484i,-0.00016184-0.00058018i,-0.00044842-0.00049967i,-4.6809e-05+0.00024041i
0.0014173-0.0018026i,0.00017267-0.002392i,-0.00066623-0.0020017i,-0.0010051-0.0016258i,-0.0010133-0.0011565i,-0.00044916-3.6687e-06i,0.00029168+0.00082161i,-2.3141e-05+0.00061205i,-0.0001578-0.00076061i,0.00062604-0.0014126i,-9.0882e-05-4.2383e-05i,-0.00079919+0.00091249i,2.1732e-06+0.0002894i,0.00086583-0.0008426i,0.00096214-0.00098601i,0.00035675-0.00016815i,0.00031387+0.00018053i,0.00077764+0.00087432i,0.00069578+0.00086998i,0.00062374+0.00035708i,0.00037381+0.00023804i,-0.0001865-0.00061563i,-0.00035852-0.00063851i
0.0014799+0.0010288i,0.0022675+0.00087275i,0.0011565-0.0010837i,-7.2611e-05-0.0013478i,7.7676e-05+0.00062861i,-0.00028676+0.0010654i,-0.0005788+0.0013187i,-0.00035996+0.001122i,-0.00053514+0.00020121i,-0.00052385+0.00029338i,0.00011046+0.00071159i,0.00016563+0.00073406i,-0.0007771+0.00054704i,-0.00017832+0.00021613i,0.00064383+0.00051712i,0.00031479+0.00097374i,-0.00051513+0.00084876i,0.00015002+0.00021431i,0.0013612-7.9953e-06i,0.00065366+0.00043339i,-0.00068426+0.00075728i,-0.00067515+0.00090916i,-0.00043759+0.00061613i
-0.00086832+0.0020935i,-0.00014595+0.001565i,0.00064048+0.0020369i,0.0013484+0.0028633i,0.0020409+0.0016965i,0.0016391+0.00026447i,0.0010244+7.161e-05i,0.00094885+0.00028592i,0.00034826+0.00046661i,0.00031019+7.2959e-05i,0.00044159-0.00061343i,0.00033282-0.00093519i,1.6176e-05-0.00052448i,-0.00012299+0.00012728i,-1.4321e-05+0.00031599i,-5.4391e-05+0.00014406i,0.00023659+0.00013684i,0.00091553+6.7946e-05i,0.0010427-0.00035455i,0.00074181-0.0008957i,0.00078124-0.0010574i,0.00054916-0.00062332i,0.00022472-0.00070266i
0.00089729-5.9514e-05i,0.0019139-0.001019i,0.0014431-0.00077836i,0.00060998-0.00095796i,0.00062968-0.00070119i,7.7915e-05+0.00014455i,-0.0001219+0.00048932i,-0.00035345+0.00025153i,-0.00055253+6.047e-05i,1.6474e-05+0.00015127i,0.00065788+0.00060999i,-0.00027147+0.00033727i,-0.0011367-7.2241e-05i,-0.00063471-0.00030663i,-0.00040058-7.6011e-05i,-0.00083812+0.00092819i,-0.00027802+0.00044664i,0.00095647-5.6435e-05i,0.00089305+0.00087646i,2.3775e-05+0.00025911i,-0.00065675-0.00029744i,-0.00075063+0.00022703i,-0.0004558+2.7444e-05i
-0.0002+0.0023197i,0.00053389+0.0016092i,0.001219+0.0013871i,0.002047+0.00081807i,0.0023263+1.8699e-05i,0.0011468-0.00031407i,0.00037579-0.00032237i,0.00023902-0.00016339i,-0.00039286+0.00029274i,-0.00034527+0.00028216i,-0.0003647+0.00047306i,-0.0011454+0.00058209i,-0.0011131+0.00028523i,-0.00019112-0.0001013i,0.00026487-0.00030129i,-0.00020514+0.00011008i,-0.00035715+0.00017404i,0.0003503+0.00010619i,-0.00012386+0.00025252i,-0.0011501+0.00014278i,-0.00045813-0.00062138i,-5.6644e-05-0.00048483i,-0.00017747-2.8609e-05i
-0.0010074+0.0005488i,-0.00010502-1.207e-05i,0.00031396+3.2288e-05i,-0.00010016-9.5685e-05i,-6.7156e-06+0.00026124i,0.00028775+0.00098609i,0.00022996+0.00074114i,-0.00049403+0.00015971i,-0.0013139-0.00062681i,-0.0013708-0.00039477i,-0.00082116+8.4356e-05i,-0.00028675-0.00023168i,-0.00020622+0.00018681i,-0.0008118+0.00077774i,-0.0013798+0.0005429i,-0.0009227-0.00016308i,-0.00091242-0.00044073i,-0.0006553-0.00026974i,0.00033779-0.00015406i,-0.00013717-0.00048224i,-0.0008057-0.00054238i,-0.00072005-9.0928e-05i,-0.00033379+0.00012585i
0.00032086+0.0001337i,0.00073392+0.00046288i,0.00031074+0.00022335i,-0.00044969+0.001376i,-0.0001969+0.0024766i,0.00093622+0.0017087i,0.0011946+0.00031592i,0.00061694-0.00086162i,5.564e-05-0.0013349i,-0.00010301-0.00041681i,-0.00011589+0.00022074i,-0.00051177+0.00094366i,-0.00015869+0.0010406i,0.00069593+0.00049671i,0.00043959+0.00035704i,-0.00015716+6.2271e-06i,0.00055301-0.00018683i,0.0019276+3.3297e-05i,0.0010148-2.6722e-06i,-0.00024483-9.3162e-05i,-8.0519e-06-0.00044869i,0.00065685-0.00081507i,0.0002121-0.00062644i
-0.0013445-0.00028054i,-0.0015489+0.00022386i,-0.0018372+0.0016725i,-0.0022329+0.0019743i,-0.00099739+0.0017608i,0.00044628+0.0013468i,0.0001285-0.00021588i,-0.00083691-0.00088454i,-0.0012648-0.00017971i,-0.0010107+4.5713e-05i,-0.0010095+0.0001961i,-0.00090188+0.00032576i,-0.00066797+0.00021578i,-0.00040419+0.00018966i,-0.00020956+0.00023209i,0.00020407-0.00050938i,0.00045273-0.00055803i,0.0005784+0.00042355i,0.00063281+0.00034333i,0.00018875-0.00013701i,-0.0006943-0.00082726i,-0.00073938-0.00071687i,0.00015636-5.3412e-05i
0.00030542+9.6298e-05i,0.00015905+0.0011016i,-7.5917e-05+0.0020537i,-0.00036248+0.0026609i,-0.00066911+0.0022573i,0.0008602+0.0010746i,0.0019715+5.1892e-05i,0.00098747-0.00039859i,-0.00015429-0.00070182i,-0.00045226-0.00025068i,-0.00089914+0.0013887i,-0.00087193+0.0017942i,-0.00066626+0.0013859i,-0.00030836+0.0010993i,-1.7318e-05+0.00022444i,-0.00028763-6.5145e-05i,-0.00040827+0.00014632i,-0.00030999-0.00029034i,-8.5275e-05-0.0003992i,0.00016762-0.00059638i,-1.3009e-05-0.0003239i,-0.00041952+2.8197e-05i,-0.00046531-0.00020237i
-0.0041902+0.0006989i,-0.0023638-2.899e-05i,-0.00056856+0.00069165i,-0.00038713+0.0020443i,-0.00037129+0.0019954i,0.00043533+0.0015441i,0.0010472+0.00052422i,0.00049778-0.0010376i,-0.00067136-0.00076368i,-0.00082487+0.00011832i,8.0651e-06+0.00047358i,0.00040493+0.00070131i,-4.6159e-05+0.00052353i,-0.00062144-3.1111e-05i,-0.00084923-0.00044506i,-0.00049275-0.00032129i,3.5476e-05-7.9573e-05i,-0.00026202-0.00042332i,-0.00052951-0.00050929i,-0.00022797-0.00034814i,0.00015029-0.00084681i,0.00035087-0.0010696i,0.00068362-0.00015545i
0.00029447-0.00034451i,0.00060543-0.0010325i,0.0009756-0.00038353i,0.00065311+0.00085675i,-0.00052135+0.0010777i,-0.00014378+0.0004619i,0.00064083+0.00035344i,7.6881e-05-7.428e-05i,-0.00045991-0.0010657i,3.55e-05-0.00098403i,0.00021993-0.00027565i,0.00039725+0.00052176i,-3.6824e-05+0.0013697i,-0.00031619+0.0012559i,-0.00015418+0.0012175i,-9.2697e-05+0.0010357i,0.00051215+0.00062558i,-1.9508e-05+0.00093364i,-0.0007798+1.4851e-05i,-0.0004908-0.00077256i,-0.0003008-0.00015771i,-0.00041923+0.00068947i,-0.00038257+0.00025188i
0.00056071-0.0028581i,-0.00058478-0.0035702i,-0.0016696-0.0032485i,-0.0021221-0.0021063i,-0.0021775-0.00019616i,-0.001239+0.0018523i,-0.00013389+0.0013396i,0.0003708-0.00030278i,-0.00016296-0.00096182i,-0.00078526-0.00046339i,-0.0010175+0.00031152i,-0.0010734+0.00054376i,-0.00062038-0.00027905i,-0.0001081-0.0013212i,0.00041386-0.00092925i,0.00074496-0.00017002i,0.00068709-7.9989e-05i,7.3166e-05-5.4363e-05i,0.00039204-0.00058321i,0.00056459-0.00081481i,-0.000138-0.00086151i,0.00018098-0.0010248i,0.00043622-7.4418e-05i
-0.0016272-0.00079811i,-0.00084363-3.2102e-05i,-0.00059367+0.00030366i,-0.00088769+0.0012313i,-0.00095097+0.0022401i,-0.00047283+0.0021447i,-0.00039285+0.00058098i,-0.0007537-0.00072844i,-0.00079115-0.00020997i,-0.00084503+0.00071356i,-0.00060778+0.00021029i,-0.00017459-0.00055055i,-0.00017192-1.0786e-05i,-0.00037911+0.00023058i,-0.00032192-3.8581e-05i,-0.00045749-9.6973e-06i,-0.00038656-0.00024409i,0.00026376+0.00034648i,-0.0004456+0.00019829i,-0.00075078-0.00047398i,-0.00032909-0.00070885i,0.00012828-0.00070663i,-7.1756e-05-0.00034041i
-0.0011609-0.00084344i,-0.0011186-0.00068909i,-0.00099967+0.00012672i,-0.00063553+0.001186i,0.00037622+0.002443i,0.0010556+0.0023987i,0.00079681+0.00071372i,0.00043003-0.00043549i,-7.2202e-05-0.0013296i,-0.0006249-0.001214i,-0.00065551-0.00019599i,0.0003228+0.00076403i,0.0010926+0.00060899i,0.00031494+4.64e-05i,-0.00020835+0.00022188i,-0.00011663+0.00010307i,0.00048801-0.00055467i,0.00091707+7.0096e-05i,0.0012072+0.00013091i,0.00056594-0.00052586i,0.00013541-0.00064158i,0.0011927-0.00067667i,0.00084303-0.00011473i
-0.00024399-0.0012512i,-0.0018819+0.00043388i,-0.0024408-0.00082659i,-0.0022275-0.0013278i,-0.0018686-1.0445e-05i,-0.0010381+0.00080371i,0.00013+0.00083583i,1.6288e-05+0.00021752i,-0.00096222-0.00014869i,-0.0015211-0.00027706i,-0.0011687+0.00013498i,-0.00049998+0.00072385i,2.1561e-05+0.00031059i,0.00062756+8.9689e-05i,0.00022647-0.00016638i,0.0001181+0.00032155i,0.00051059+0.00055577i,0.00070929+0.00017315i,0.00091189-0.00022708i,0.0005135-0.00051754i,-0.00068844-0.00022525i,-0.0011156-0.00014265i,-0.00072647+1.6076e-05i
0.00065145+0.00052231i,0.00052448-0.00039281i,0.0007276-0.00099342i,0.00016994-0.0005622i,-5.189e-05+0.00083866i,0.00023089+0.0016748i,-0.0002876+0.00076588i,-0.0007028-8.2261e-05i,-0.00039848-0.00053814i,-5.2839e-05-0.00067974i,-0.00010804-0.00040524i,-0.00050685+0.00023485i,-0.00016509+0.0010253i,-0.00010482+0.001098i,-0.00055829+0.0003309i,-0.00082923+0.0002362i,-0.00067343+0.00077978i,-0.00057212+0.00091998i,-0.00079454+0.00013923i,-0.00022715+0.00020627i,0.00038487+7.7651e-05i,-0.00010942-0.00086557i,-0.00043463-0.0010536i
0.0017092+0.0022097i,0.0029392+0.00088449i,0.002896-0.00070168i,0.0017446-0.0014628i,0.00073072-0.00050213i,0.0008473+0.00028963i,0.00091287-0.00067999i,0.00081525-0.0016996i,0.0011679-0.0011805i,0.00054338-0.00069192i,-0.00014935-0.00094035i,0.00020169-0.00013278i,0.00037442+0.0007408i,-1.0301e-05+0.00060298i,0.00032384+5.4797e-05i,0.00081946+6.6555e-05i,5.5163e-05+0.00077293i,-0.00017798+0.00060813i,0.00017972-0.00060113i,-2.8473e-05-0.0011333i,-5.5951e-05-0.00065338i,-0.00077935-0.00010243i,-0.0010865-0.00033423i
