0.00037436-0.00095482i,0.0012783+0.00030781i,0.001018+0.00043539i,8.5724e-05+0.0001018i,-0.00056896+0.00064683i,-0.00092883+0.0011326i,-0.0013681+0.0014623i,-0.0009439+0.0011543i,-0.00019377+0.00066582i,-4.49e-05+0.00059666i,-0.00057261+0.00057853i,-0.0004751+0.00011825i,0.0001083-9.6272e-05i,0.00015938-6.7962e-05i,-0.00030935+7.7991e-06i,5.6307e-05-0.0007087i,0.0013439-0.0009826i,0.0011722-0.0004731i,0.00011694-0.00080336i,-0.00047081-0.00069549i,0.00015794-4.3384e-05i,0.00096292-0.00031551i,0.00025528-0.0011683i
-0.0014413-0.00051261i,-0.0020322-1.146e-05i,-0.0031005+0.0010921i,-0.0026775+0.00085749i,-0.0012946+5.2488e-05i,-0.00051138-1.7672e-05i,-0.00029544+4.1084e-05i,-0.00043439+0.00012896i,-0.00071383+0.00093453i,-0.00046003+0.0016117i,-0.0004056+0.0011024i,-0.00082592-0.0006846i,-0.0009358-0.0013563i,-0.00041504-0.00077747i,-1.7609e-05-0.00014068i,0.0002474+0.00016897i,0.0003099-0.00013131i,0.00022546-0.00045733i,2.9762e-05-0.00041883i,-0.00061778-0.00030562i,-0.00043449-0.00036951i,-0.00015351-0.0004282i,-0.00031186-0.00033859i
0.00014742-0.00025885i,0.00041361+0.00048738i,-0.0010184+0.00017744i,-0.0023809-0.00013801i,-0.0023088+0.00067348i,-0.0022499+0.0016699i,-0.0017427+0.0013587i,-0.00025339+0.00061915i,-0.00011788+0.00026126i,0.0004126+0.00018454i,0.00070195+0.00019753i,0.00052752+0.00024913i,0.00028613+0.00027548i,0.0001226+0.00022646i,0.0001431+0.00024725i,-0.00014195+0.00061141i,-0.00068945+0.00042977i,-0.00077841-0.00027385i,-0.00048887-0.00013095i,0.0002671-0.00011581i,0.00055131-0.00034331i,0.00022562-0.00044042i,-0.00018175-0.00068683i
-0.00064924+0.00053642i,-0.00072059+0.00052736i,-0.0001849+0.00024096i,-0.00036971+0.0003106i,-0.0011647+0.00031397i,-0.0012046+0.0010315i,-0.001003+0.001001i,-0.00064232+0.00079046i,0.00027337+0.00049884i,0.00084626+8.9566e-05i,0.00061099-3.6035e-05i,0.00025979+0.00040802i,0.00031036+0.00094755i,-0.00031966+0.00026326i,-0.00099895-8.0685e-05i,-0.00080738+0.00035902i,-0.00072525+0.00042751i,-0.00085694+6.4733e-05i,-0.00064958+0.00022935i,-0.00013182+0.00051913i,-0.00012425+0.00023622i,-0.00034103+0.00022974i,2.4724e-05+0.0006899i
0.00076813-0.00088574i,0.00051657-0.00059697i,-0.00054864+7.5523e-05i,-0.00035786+0.00011567i,-9.0775e-05+0.00067438i,-0.00068647+0.0009518i,-0.0008851+0.00083187i,-0.00058155+0.00091694i,4.7173e-05+0.00068775i,0.00018735+0.00075337i,0.00091567+0.00077438i,0.0013299-0.00021559i,0.00028673-0.00089766i,-0.00033279-0.00031574i,-0.00059-4.2926e-07i,-0.00017571-0.00037872i,0.00045573+6.1472e-05i,-4.705e-06+0.00014634i,-0.00019579-0.00016618i,0.00041902-0.00050784i,0.00058874-0.0004614i,0.00014933+0.00013536i,0.00019568+0.00044413i
-0.00030621+0.0015393i,0.00033913+0.0024732i,0.00015442+0.0027148i,1.2443e-05+0.0020133i,-0.00012508+0.0012087i,-0.00052165+0.00082088i,-0.00027576+0.00079762i,0.00034296+0.00049963i,0.00047697+0.0004896i,0.00042914+0.00076711i,0.0004395+0.0004099i,7.8993e-05-7.998e-05i,0.00010723-0.00089237i,-0.00015412-0.0010271i,0.00025816-0.00063982i,0.00076217-0.00036091i,0.00078455-0.00020869i,0.00018351-0.00028171i,-0.00074634-0.0006316i,-0.00044566-7.4726e-05i,-2.3598e-05+0.0004561i,-0.00022441+6.8863e-05i,0.00019901+1.9316e-05i
-0.0013293+0.00053693i,-0.00099492+0.00034351i,-0.00041505+0.0008736i,-8.025e-05+0.00050875i,0.00042786+0.00026671i,0.00020452+0.00024933i,-7.6422e-05+4.4121e-05i,0.00011454+0.00055205i,-0.00026595+0.0011543i,-0.00046431+0.0011914i,0.0003074+0.00034704i,0.00056315-0.001224i,0.00017676-0.0014722i,-0.00033644-0.001234i,-0.00075606-0.00060609i,-0.0003882-4.6655e-05i,-5.2059e-05-0.00041956i,3.5551e-05-0.00059261i,-0.00042521-0.00057109i,-0.00082295+1.6405e-05i,-0.00012652+0.00013404i,0.00039697-0.00054127i,0.00070497-0.00051869i
-0.0022724-0.00068495i,-0.0019323-0.00018633i,-0.0015999+0.00058161i,-0.0012931+0.0014536i,-0.0015438+0.0017157i,-0.0014067+0.0004271i,-0.00060733+0.00053323i,-0.00063244+0.00084543i,-0.0014161+0.00054519i,-0.00080194+0.00093661i,9.4679e-05+0.0010761i,6.3881e-05+1.9395e-05i,9.7135e-05-0.0007495i,-0.00014553-0.00096873i,-0.00059189-0.00075386i,-1.2892e-05-7.5497e-05i,0.00065877+0.00018961i,0.0010356+0.00019499i,0.00059992+0.00056481i,-0.00039219+0.00041666i,-0.00023864-0.00051647i,-5.4594e-05-0.0010711i,-0.00022774-0.00090108i
-0.00057245-0.00097582i,-0.00031977-0.00042579i,-0.00065968-0.0002346i,-0.0023137-0.00018277i,-0.0032002+0.00085772i,-0.0018954+0.0015829i,-0.00050557+0.00091687i,-0.00048628+0.00078938i,-0.00077+0.0015651i,-0.00053348+0.0012094i,-0.00050072+0.00077162i,0.00024043-0.00028211i,0.0016784-0.0011697i,0.0020252-0.0009629i,0.0011788+6.5165e-05i,0.00010834+1.7226e-05i,-0.00023081-0.00056798i,-0.00037475-9.6269e-05i,-0.00028112+0.00026423i,0.00034367+0.00050991i,0.00091477+0.0002912i,0.00069462-0.00042745i,0.00052192-0.00030424i
0.0010898-0.00050275i,0.00075326-0.00011039i,0.00083905-0.0004243i,0.00025688-0.0002317i,-0.00034488+0.001012i,-0.00014436+0.0011781i,-3.2525e-05+0.0014725i,0.00021848+0.0012506i,0.00084915+0.0008445i,0.0010108+0.0011207i,0.00082367+0.00052753i,0.00049395-0.00082418i,0.00027329-0.0011829i,0.00038535-0.00048989i,0.00014229+0.00025027i,-0.00024099+0.00014125i,-0.00023403-0.00010633i,-0.00045724+0.00045942i,-0.00010513+0.00038822i,0.00059195+0.0004207i,0.00034727+0.00047088i,-0.00015708+0.00051508i,-0.00061086+0.00047537i
