-0.0010949-0.00026672i,0.00054569-0.0010621i,-0.00098659-0.00071654i,-0.0012665-0.00015394i,-0.00055747+0.0013447i,-0.00015005+0.0014159i,0.0002407+0.0013449i,0.00059741+0.0021183i,0.00081956+0.0018865i,0.00093247+0.0011648i,0.0009542+0.00014004i,0.001186-0.00044638i,9.6565e-05-8.3482e-05i,-0.0010311+0.00010528i,-0.00083084+0.00024997i,-0.0007181+0.00049564i,-0.00050094+0.0001994i,-0.00053801-0.00040578i,-0.0010109-0.0002685i,-0.00097225+0.00016946i,-0.00065051-0.00060825i,-0.00044411-0.0010633i,-0.00041318-0.00066034i
0.00049129+0.00035167i,0.00050301+0.00089199i,0.0012058+0.0018186i,0.0018076+0.0014279i,0.0016157+0.00038348i,0.00072494+0.00013995i,-0.00015225-0.00050727i,-0.00067606-0.00082548i,-0.0011338-0.0005739i,-0.0010158-0.0006946i,0.00044216-0.00079744i,0.0011012-0.00082488i,-0.00023781-0.00095332i,-0.00099924-0.00093431i,-0.00049907-0.00054943i,-0.00018071+8.2563e-05i,-2.7114e-05-0.00031003i,0.00029595-0.00027156i,-0.00015125+0.0004177i,-0.00057915-3.8459e-05i,0.00034048-0.00048747i,0.0010094-0.00069229i,-5.7118e-06-0.00050123i
-0.00026055-0.0015565i,-0.0013418-0.0010153i,-0.0017489-0.00010398i,-0.00018701-1.5183e-05i,0.00087488+6.9423e-05i,0.00064482+0.000733i,-0.00033626+0.00050294i,-0.0011303-0.00032615i,-0.0008604-0.00074745i,-0.00036196-0.0006712i,-0.00010527-0.00068567i,-0.00045304-0.00067072i,-0.00081645-0.00019008i,-0.0010602-0.00016443i,-0.0010808-0.00050596i,-4.8241e-05-0.00091218i,0.00041128-0.00052492i,2.5926e-05+8.5069e-05i,0.00059801+0.00011996i,0.0010054+0.00011518i,0.0011219-0.00024933i,0.00091418-0.00041893i,-0.00034322-0.00026981i
-0.00072367+0.00028291i,-0.00043563-0.00012219i,0.0007363+0.00022516i,0.0019258+0.00090691i,0.0023741+0.0013194i,0.0019585-7.8213e-05i,0.0013547-0.00068276i,0.00058763-0.00040154i,-0.00018367-0.00093187i,-0.0013062-0.00067134i,-0.0023411+2.8815e-05i,-0.0020793+0.00037496i,-0.0012184+0.00082726i,-0.00034867+0.0011399i,5.2995e-06+0.00028736i,-9.8066e-05-0.00041164i,9.0689e-05-0.00073713i,2.2596e-05-0.0005858i,-0.00051031-0.00018381i,-0.00059665-0.0001586i,-6.621e-05-0.00062655i,0.0003621-0.0014037i,0.00069617-0.0012261i
-0.00050011+0.00084779i,-0.00047244+0.0017891i,-0.00076379+0.0028528i,-0.00034454+0.0015815i,0.0012248-0.00012865i,0.0018156-0.00067615i,0.0014542-0.00044559i,0.00054688-4.4819e-05i,-0.00057295-5.5892e-05i,-0.0005989+0.00029862i,0.00034624+0.0012522i,0.00085194+0.001521i,-6.926e-05+0.00090944i,-0.0004391+0.00031813i,2.7127e-05-0.00048798i,-0.00043948-0.00044041i,-0.0005073+0.00030028i,9.14e-05-8.3816e-05i,-7.4847e-05-0.00068977i,-0.00051442-0.0009152i,-0.00043747-0.00055251i,-0.00036721+0.00012337i,-0.00031253+0.00067768i
-0.00062154-0.00078082i,-0.00038908-0.0010192i,-0.00077461-0.00021242i,-0.00056582+0.0009643i,2.6077e-06+0.00049509i,0.00093936-0.0005344i,0.0010888-0.00069363i,0.00043123-0.0010296i,6.9962e-05-0.00055344i,-2.0972e-05+0.00094394i,0.00010596+0.0017741i,0.00067261+0.0019505i,0.0011645+0.0010005i,0.00035468-0.0003089i,0.0001164+0.00016804i,0.00052549+0.00069179i,0.00022252+0.00025637i,-5.6782e-05-0.00010351i,-0.00040571-9.152e-05i,0.00044696-0.00029588i,0.00099227+2.5136e-05i,-0.00047148+0.00031693i,-0.00089831+0.00075139i
-0.00018105-0.00098753i,-0.00012521-0.0005165i,-0.00070816+6.4168e-05i,-0.00036381+0.00056001i,0.0005498+0.00088197i,0.0009554-2.8689e-05i,0.00028285-0.00045773i,-0.00063583-0.0003597i,0.00016681-0.00018651i,0.00098182+0.00069253i,0.00076353+0.00067897i,0.00066179-0.00086308i,0.0007433-0.00097378i,0.0004823-0.00057098i,0.00023559-0.00094286i,0.00038593-0.0012846i,0.00019901-0.0014698i,-0.00030551-0.0011826i,-0.00036224-8.8209e-06i,-0.00033815+0.00025897i,-0.00038269-0.00024085i,-2.4615e-06-3.9247e-05i,8.1241e-05+0.00022818i
0.001066-0.0012075i,0.00021011-0.00064897i,-0.00026025-0.00066994i,-0.00020008-0.00050807i,-0.0001805-0.00035371i,-0.00063706+0.00019372i,-0.0010669+0.00074533i,-0.00095829+0.00035895i,-4.6735e-05-0.00019336i,0.00071896-0.00054803i,0.00013731-0.00081491i,-0.00055306-0.0013436i,-0.00075019-0.00047643i,-0.00045133+0.00045106i,-0.00023724-0.0001623i,-8.2291e-05-0.00053841i,-0.00017598-0.00071292i,-0.00047049-0.00032154i,5.3159e-05+0.00049591i,0.00063994+0.00024517i,0.00066302+0.00016745i,0.00030743+6.7722e-07i,6.7879e-05-0.00050662i
-0.0011514+0.00017011i,-0.0011859-0.0007269i,-0.00026441+0.00076055i,0.0020574+0.0020043i,0.0027408+0.001113i,0.0019946-0.00035607i,0.0010434+2.4693e-05i,0.00043634+0.00040194i,0.00075463-0.00013035i,0.00052179-0.0002792i,-0.00017133-8.2592e-05i,-0.00066566-0.00023368i,-0.00083639-0.0005032i,-0.0001998-0.00041943i,0.00054058-3.0759e-05i,6.3526e-05-0.00010286i,-0.00086082-0.00019436i,-0.00064026-0.00011952i,0.00043535+4.4876e-05i,0.00049871+1.0731e-05i,0.00012809-0.00070924i,0.00047007-0.0012572i,0.0002845-0.00074302i
-0.00059366+0.000462i,0.0013296-0.00013844i,0.0027822-0.00013547i,0.0044591+0.00041799i,0.0049246+0.001035i,0.0036094-1.4713e-05i,0.0028872-0.00029242i,0.0023006+0.00041705i,0.0006161+0.00081321i,-0.00051797+0.00087301i,-0.00077607+0.0012589i,-0.00081111+0.0010831i,-0.00045184+0.00069472i,-0.0004438+2.1814e-05i,-0.0002901-0.00033918i,1.9717e-05+9.0004e-05i,5.9226e-05+0.0001728i,-0.00030101+0.00020226i,-0.00033871+8.5052e-05i,-0.00011527-0.00011646i,-0.00019641-0.00046075i,-0.00073669-0.00068794i,-0.00069082-9.952e-05i
0.00087681-0.00023591i,-0.00075011-0.00089207i,-0.00054383-0.00096565i,0.00071832-0.00063983i,0.0012888-0.00033074i,0.0014708-0.00037248i,0.0015127-0.0012957i,0.0017052-0.0012514i,0.00083815-7.8281e-06i,-0.00013455+0.0011309i,-5.519e-05+0.00097678i,0.00027328+0.00048207i,0.00093776+0.00040393i,0.00068897+0.00047927i,-8.492e-06+0.0004393i,-0.00038928+0.00011113i,-0.00019618+0.000277i,-3.2624e-05+0.00066275i,-8.9869e-05+0.00065243i,-7.1864e-05+0.00066289i,-0.00025892+0.00036401i,-0.00022043-0.00028286i,-0.00049852-0.00095415i
0.00010303+0.00019534i,-0.00071-0.00012989i,-0.00066969-0.0011497i,0.00079081-0.0010984i,0.0013387-0.00049055i,8.5295e-05-0.0004769i,-0.0011506-0.0011552i,-0.0012327-0.0013595i,-0.0014513-0.00055793i,-0.0010239-4.6435e-05i,0.0005608-2.0841e-05i,0.0010888-0.00012926i,0.00017495-9.6014e-05i,-0.00019686+0.00055911i,6.7384e-05+0.00059923i,0.00042645-0.00036416i,0.00065635-0.00085885i,0.00046365-0.00088524i,0.00070553-0.00049568i,0.0005265-0.00056668i,-7.1384e-05-0.00051602i,-0.00012844-0.00026591i,0.0004259-0.00023568i
-0.00016487-0.0013671i,-0.00082468-0.00045634i,-0.0014702+0.00080315i,0.00028016+0.0017454i,0.0016928+0.0015658i,0.0010866+0.00047579i,9.6728e-05+0.00020279i,-0.0012075+0.00019045i,-0.0011758+0.00026346i,0.0009415+0.00024923i,0.0018536-0.00048369i,0.00085271-0.0016482i,0.00026465-0.0013068i,2.6162e-05-0.00048638i,-0.00057754-0.00041152i,-0.00063654+1.7491e-05i,-3.7157e-05+0.00030762i,0.00054797+0.00011394i,9.7354e-05-0.00029469i,5.4639e-05-0.00027526i,0.00017778-0.00023265i,-9.6201e-05-0.00039337i,6.5685e-05-0.00082659i
0.00050434-0.0012669i,0.00040103-0.00054141i,8.1808e-05+1.8221e-05i,0.00019901+0.00035053i,0.00085935+0.0010898i,0.00060852+0.001589i,5.3915e-05+0.0019425i,0.00056425+0.0013158i,0.0012811-0.00035935i,0.0016676-0.0009706i,0.00018818-7.8537e-05i,-0.0012039+0.00016092i,-0.00073999-0.00066571i,-0.00024232-0.0010428i,-3.8007e-05-0.00058287i,0.00037098-0.00029788i,0.00045923-0.00038956i,0.00012292+5.6844e-05i,-0.00041449+0.00055185i,-0.00039978+0.0011195i,0.00022135+0.0013097i,0.00063934+0.00063493i,0.00030477-0.00020472i
-0.00050124-2.1533e-05i,0.00013293-6.9026e-05i,0.00094772+0.00052736i,0.0023039+0.0015599i,0.0040449+0.0017913i,0.0032839+0.0013157i,0.0016406+0.00086303i,0.00080991+0.00027474i,0.00096724-0.00039951i,0.00017593-0.00059564i,-0.00093047-5.2441e-05i,-0.0010246+0.00080961i,-0.00095767+0.00060637i,-0.00097669+0.00024861i,-0.00065135+0.00032137i,-0.00024823-0.00034992i,-0.0001442-0.001103i,-0.00015611-0.00035829i,0.00015323+0.00073905i,2.0596e-05+0.0010349i,-2.7656e-05+0.00025011i,0.00064599+0.00017969i,0.00067568+0.00064044i
0.00036719+0.00028467i,0.0014289+0.00082149i,0.0024664+0.0013663i,0.003149+0.00086258i,0.0026112-0.00021001i,0.0022334-0.0012163i,0.0017657-0.0013943i,0.0011393-0.00097523i,0.00015711-0.00097169i,-0.0008381-0.0003117i,-0.00085025+0.001242i,-5.7802e-05+0.0014332i,-1.0671e-05+0.00063736i,-0.0004351-0.00017601i,-0.00060701-0.0001638i,-0.0010739-0.00027745i,-0.0012762-0.0011949i,-0.00071781-0.00084461i,-0.00033223+0.00021752i,-0.00027353+0.0004953i,-0.00044101-0.00010421i,-0.00066962+4.6471e-05i,-0.0010633+0.0002608i
0.00082311-0.00082543i,-0.00050694-0.00089811i,-0.00081933-0.00055905i,-0.00026787-0.0015632i,0.00041032-0.0025504i,0.00051998-0.0021576i,0.00087523-0.0013056i,0.00090109-0.00079738i,0.00039456-0.00013869i,0.00080122+0.00054716i,0.0020471+0.0009352i,0.0017395+0.00094583i,0.00041477+0.001441i,-0.00015229+0.0012813i,0.00050776+0.00058225i,0.00061167-0.00032136i,-0.00035295-0.0010837i,-0.00039125-0.0015434i,-0.00012515-0.00069873i,8.354e-05+0.00018308i,3.5116e-05+0.00045965i,-0.0005876-0.00019404i,-0.0003645-0.00050395i
0.001183-0.0013582i,0.00098454-0.0025149i,-0.00039271-0.0030119i,-0.0018643-0.002806i,-0.0022069-0.0015627i,-0.0020911-0.00040811i,-0.0015334-0.00031668i,-0.0010852-0.0002927i,-0.00075046+7.9415e-05i,-0.00023386+0.00062287i,0.00058215+0.00013047i,0.00119-0.00037962i,0.00077806+0.00035696i,0.00043097+0.00088881i,0.00016941+0.00064347i,0.00019284-0.00050519i,0.00029488-0.0013628i,8.3961e-05-0.0011303i,7.3872e-05-0.00046717i,0.0003576-0.00018226i,0.00060762-0.0004581i,0.00083558-0.00027208i,0.00030915+0.00026465i
-0.00058612-0.0011833i,-0.00047059+0.00023983i,-0.00067929+0.0020313i,-0.0003486+0.0027059i,-0.0003738+0.0020799i,-0.0006317+0.0014855i,-0.0015213+0.00086673i,-0.0018417+0.00070175i,-0.0004561+0.00053134i,0.00067348-0.0006895i,0.00081698-0.0016073i,0.00063371-0.0007737i,0.00087019-0.00042929i,0.00049378-0.00077884i,-0.0003026-0.00088951i,-3.2379e-05-0.00076416i,0.00048316-0.0010453i,-0.00028942-0.0014686i,-0.00091137-0.00041993i,-0.00044275+0.00023202i,-0.00022638-0.00040478i,-0.00031741-0.00060015i,-0.00027633-0.0007526i
-0.00098675-0.0010372i,-0.00027282-0.0006429i,-0.00084148-0.00053481i,-0.0011969+0.00061709i,-0.00032273+0.0010952i,0.00077972+0.00061145i,0.00088012+0.0009081i,0.00073635+0.0012906i,0.0006944+0.00042441i,0.00030175-0.0007931i,-0.00014156-0.00073072i,-0.00056651+0.00021853i,-0.00068654+0.00040962i,-0.00060669-0.00049623i,-0.00074687-0.00093833i,-0.0011638-0.00036978i,-0.00053062-0.0002192i,0.00062577-0.00033267i,0.00084466+0.00032997i,0.00057706+0.0010284i,0.00060792+0.0010153i,0.0010509+0.00068927i,0.00044367+0.00021075i
-0.00051473+0.00066727i,0.0016196+0.0017892i,0.0041025+0.0025735i,0.0042822+0.0020405i,0.0038667+0.00058592i,0.0038803+0.00013511i,0.0027608+0.00073302i,0.0016214-0.00015648i,0.0013244-0.0013062i,0.00022554-0.001167i,-0.00020336-0.00025782i,1.3488e-05+0.00052477i,-0.00061281+0.00074131i,-0.0012947+0.00012247i,-0.00014579+0.00035679i,0.00083628+0.00068945i,0.00039219+0.00014924i,-0.0004097+0.00015894i,-0.00051418+0.00017554i,-0.00011697+0.00013611i,0.00020444-0.00044109i,0.00059459-0.0011534i,0.00017022-0.0010431i
-0.00016799+0.0011481i,0.00041977+0.00018538i,0.0011592-0.00033217i,0.0013733-1.9557e-05i,0.0017467-0.00052466i,0.0017215-0.0011238i,0.001787-0.0018072i,0.001439-0.0023034i,7.7207e-05-0.0014551i,-0.00082176+0.00022343i,-0.0002648+0.001223i,0.00094456+0.0017758i,0.0012566+0.0014934i,-0.00022006+0.00065808i,-0.00075637+7.306e-05i,0.00028539+0.00046852i,0.00019913+0.00019194i,-0.00086807-0.00014807i,-0.001067-3.0268e-05i,0.00027273+0.00010961i,0.0013542-2.9772e-05i,0.00096692-0.00076491i,0.0007149-0.00063903i
-0.00064381-0.00059897i,-0.00021241-0.00075077i,0.00083001-0.00062707i,0.0011151-0.00046658i,0.0012925-0.00068305i,0.00031114-0.0023087i,-0.00076863-0.0029353i,-0.00089588-0.0019991i,-0.00071243-0.00073424i,-4.7903e-05+0.00064633i,0.0010456+0.00099873i,0.0013996+0.00015744i,0.00064775+0.0004242i,-0.00030207+0.0010084i,-0.00010478+0.00085357i,0.00017147+0.00029607i,3.8416e-05-0.00013035i,2.3391e-05+0.00045222i,0.0006684+0.00032606i,0.00098101+0.00042126i,-0.00014826+0.00078798i,-0.0006602+0.00074655i,-0.00015679+0.00074698i
-0.00078989+0.00051487i,-0.00075901+0.00074791i,-0.00063808+0.0015567i,5.9926e-05+0.0013599i,0.0015625+3.7459e-05i,0.0015201-0.00095638i,-0.00056528-0.00096174i,-0.0016232-8.0377e-05i,-0.0011761+0.0011057i,-0.0002636+0.00097505i,0.00016708-0.00081844i,-5.247e-05-0.00124i,-0.00021494-0.00024881i,-0.00035909+0.00012964i,4.1588e-05+0.00015284i,0.00041206+0.00047915i,0.00027093+0.0013791i,-0.0011764+0.0012021i,-0.0018385+0.0004898i,-0.0015581+0.00022196i,-0.0011943-0.00034734i,0.00027429-0.00046907i,0.001049-8.9613e-05i
0.00037978-0.0013594i,0.00081494-0.00073021i,0.00085268-0.0013643i,0.0012107-0.0017203i,0.00071905-0.00076293i,-0.00039407+0.000166i,-0.00055952+1.7609e-05i,-0.00057721+0.00027848i,0.00036382+0.00044805i,0.00075404-0.00033952i,-0.00025869-0.00054491i,-0.00084062-0.00025191i,-0.00027456+0.00039294i,0.00018774+0.0005535i,8.5972e-05+0.0003274i,-0.00038788+0.00038377i,-0.00074856+3.2832e-05i,5.2781e-05-0.00081227i,0.00064033-0.00026575i,0.00038048+0.00021123i,0.00058401+0.00025453i,0.00059316+0.0010803i,-0.00034854+0.001008i
0.00095047-0.0031096i,0.00085653-0.0032556i,0.00085408-0.00328i,0.00026194-0.00098656i,-0.00070749+0.00084238i,-0.00074589+0.0014423i,0.00045926+0.0015007i,0.0014609+0.0003553i,0.0016629-0.0011136i,0.00085478-0.0016804i,-0.00066061-0.00054602i,-0.0016129+0.00066769i,-0.00095055-4.6995e-05i,-0.00012784-0.00068818i,-0.0001413-0.00083561i,-0.00016894-0.00090199i,-0.00032036-0.00067734i,-0.00053814-0.00019633i,-0.00021964-0.00012949i,0.00038041-0.00011233i,0.00013174-0.00026688i,-0.00038112+1.9154e-05i,-0.00046682+0.00041093i
-0.00088739+0.0014826i,-0.0014155+0.0012075i,-0.00023703+0.0002373i,0.0015486+0.00026845i,0.0025351+0.00028406i,0.0034456-0.00084796i,0.0033664-0.00095111i,0.0022783-0.00080599i,0.00073219-0.00099482i,-5.2349e-05-6.9754e-06i,0.0005468+0.00066306i,0.00071927+0.00025084i,0.0004366+0.00049792i,-0.00051266+0.0013704i,-0.0011111+0.00080036i,-0.00042784+0.00016051i,0.00028266-0.00029755i,0.000472-0.00065121i,-0.00073011-0.00017628i,-0.0010766-4.1864e-05i,8.8134e-05-0.00013779i,0.00052792-6.4315e-05i,0.00064057-0.00020314i
-0.00051959+0.0003302i,-0.00054525+0.00067778i,0.00011818+0.0019745i,0.0008913+0.0022149i,0.0014997+0.00053373i,0.0014674-0.00096384i,0.001314-0.0023324i,0.00019097-0.0021831i,-0.0019328-0.00052337i,-0.0017871+0.00045827i,0.00012005+0.0011138i,0.001258+0.00048483i,0.0016243-0.0001529i,0.0013849+0.0006335i,0.0010147+0.00028314i,0.00071918-0.0011569i,0.00051378-0.0013671i,0.00078615-0.00043766i,0.0017897-0.00030652i,0.0016747-0.00022764i,0.00025288-0.00020129i,-0.00095627-0.00066827i,-0.00056063-0.001201i
-0.00018098+0.0011746i,0.000745-0.0007574i,0.002098-0.0012356i,0.0020978-0.00067412i,0.0012226-0.00075727i,0.00087996-0.0016736i,0.00037862-0.0022419i,-0.00073885-0.0020284i,-0.0016501-0.00072536i,-0.0017307+0.00049834i,-0.00030636-8.0012e-05i,0.0010064-0.00064966i,0.00096855+0.00050452i,0.00065927+0.00048031i,0.00057629-0.0002978i,0.00079288-0.00035308i,0.00065126-0.00033904i,-0.00048004-0.00065143i,-0.00083018-0.00033036i,-0.00055111+0.00016398i,-0.00030858-0.00015591i,-0.0002612+0.00036702i,-0.00038361+0.00031282i
