6.2646e-05-0.00017318i,-0.0003692-0.00050531i,-0.00018078+0.00041266i,-0.00092809+0.00028401i,-0.00099943-0.00029879i,-0.00011047-0.00032313i,-3.6773e-05-0.00049727i,0.0004645-0.00025627i,0.00079143+7.8788e-05i,0.00023352-0.00067784i,0.00035024-0.001077i,1.3358e-05-0.00075775i,-0.0006894-0.0012089i,-0.00037468-0.00097218i,0.00026738-0.00061584i,0.00014175-0.00033937i,-0.00054098+0.00058101i,-8.1664e-05+0.00033716i,0.00029845-0.0001948i,-4.4917e-05-7.9643e-05i,6.3184e-05+0.00018761i,-5.5578e-05-0.00015517i,-9.6625e-05-0.00036496i
8.8124e-05-0.00086243i,-0.00026429+0.00010142i,-0.00051519+0.00019369i,-0.00013868+0.0003351i,-0.00063824-0.0002707i,-0.00042015+0.00019017i,-0.00055367+0.00040134i,-0.00091693-0.0001971i,-0.00039668+0.00012626i,-0.00017371+0.00043497i,-0.00051126+0.00012279i,-0.00089253-1.6645e-05i,-0.00083814+5.3191e-05i,-0.00059814-0.00036644i,-0.00027695-0.00085311i,-0.00011891-0.00072487i,-0.00048755+7.3242e-05i,-0.00013712+0.00062805i,0.00046545+0.00045325i,0.00018561+1.3668e-05i,-1.2255e-05-2.466e-05i,0.00016615+0.00023581i,0.00011044-0.00015185i
-0.00049741+0.00070947i,-0.00083042+0.0006261i,-0.00029136-0.0002039i,-0.00016496-0.00031655i,-0.00028909+0.00039133i,0.0001542+0.00035606i,0.00016437+0.00026694i,-7.5948e-05+0.0003034i,0.00045968-6.5361e-05i,0.0002782+6.2092e-05i,-0.00062898+0.00022332i,-0.0010373+5.5204e-05i,-0.0010429-7.9876e-05i,-0.00063025+0.00023399i,-0.00022533+0.00038535i,0.00014223-0.00052506i,-0.00033997-0.00085244i,-0.00079116-0.00067538i,-0.00069745-0.00029288i,-0.00034801+0.00025276i,-0.00032679+0.00034401i,-7.8182e-05+0.00086784i,0.00040859+0.00092923i
-0.00091205-0.0033261i,-0.001551-0.0019557i,-0.0014694-0.00041861i,-0.0007247+0.00023391i,-0.00025578+0.0008877i,-0.0001871+0.00077205i,0.00055193-0.00029928i,0.00081828-0.00073685i,3.1506e-05-0.0011287i,-3.8045e-05-0.0013545i,-5.8956e-05-0.00071278i,-0.00013539-0.00020611i,-4.1539e-05-0.00068504i,0.00025488-0.0018432i,0.00060875-0.0017431i,0.00067521-0.00023141i,0.00063878+0.00058131i,8.7405e-05+0.00029463i,-0.00046198+0.00016867i,-0.00041212-0.0002866i,0.00035304-0.00056448i,0.00069538+0.00014075i,0.00051261+0.00066755i
0.00093002+0.0016466i,0.00089458+0.00098164i,0.0013742+6.8315e-05i,0.0013532-0.00057718i,0.00080378-0.00098817i,-9.4162e-05-0.00088241i,-0.00036517-0.00061936i,6.6782e-05-0.00025991i,0.00080996+8.3569e-05i,0.0011951-0.00010601i,0.00022397-0.0004164i,-0.00017285-0.00082113i,-1.4068e-05-0.00067971i,-8.1944e-05-0.00017234i,-0.00019139-0.0003014i,0.00038851-0.00030645i,0.00088117-0.00037618i,0.00063793-0.00019094i,-0.00013464-0.00021911i,-9.3137e-05-0.00035006i,-0.00022316-4.0862e-05i,-0.00064325-0.00031392i,-0.00049718-0.00027195i
0.00038099+0.0019182i,-0.00029545+0.0020164i,-0.0003501+0.0016753i,-0.00017397+0.0016099i,5.9954e-05+0.00094154i,0.00056974+0.00010928i,0.00015664+2.0798e-05i,-0.00019874-0.00024897i,6.0144e-05-0.0008339i,0.00030714-0.00037624i,-0.00037256-0.00013717i,-0.00068126-0.00044879i,-6.2966e-05-0.00081407i,-0.00010008-0.00064441i,-0.00026509-0.00019087i,-0.00018051-0.00014471i,-0.00020924-1.5807e-05i,5.0468e-05+0.00097056i,2.6943e-05+0.0012924i,0.00011957+0.00053946i,-0.00021077+0.00040668i,-0.00021559+6.6171e-05i,-0.0003448-0.00045917i
-0.0011894-0.0010316i,-0.00057017-0.00039266i,-1.1851e-05+0.00035443i,-0.0001915+0.00064822i,-8.7549e-05+0.00049854i,0.00067707+0.00041418i,0.00049144+0.00047364i,0.00010071-0.00022894i,0.0002564-0.0010071i,2.1998e-05-0.0002106i,-0.00080901-2.662e-05i,-0.00097189-0.00085531i,-0.00052935-0.0013554i,-0.00018761-0.0011448i,-0.00036971+6.5157e-05i,-0.00024841+0.00031536i,0.00021776+0.00021941i,0.00015457+0.00018912i,0.00044368-8.9722e-06i,0.00090469-0.00022938i,0.0012199-0.00021202i,0.0006249+1.5486e-05i,-0.00053586-1.9104e-05i
-0.00025852+0.0014859i,0.00065866+0.0013812i,0.00052969+0.0011333i,-4.2499e-05-0.00033155i,0.00036375-0.0013419i,0.00068537-0.0011695i,0.00042905-0.0010201i,-0.00021745-0.00047224i,2.7943e-05+0.00020459i,0.00047906+0.00049302i,-0.00013211+9.3252e-05i,-0.00062769-0.00033703i,0.00027691-0.00058464i,0.00027251-0.00053967i,0.00031451-0.00062171i,0.00037701-0.00087051i,-0.00082591-0.00044203i,-0.0010532+0.000145i,0.00031526-0.00039474i,0.00052809-0.00027454i,-0.00038265+0.00020826i,-0.00089523-0.00016779i,-0.00025428-0.00018718i
0.00026553-0.0029869i,-0.00079105-0.0021503i,-0.0018437-0.0016142i,-0.001756-0.00013271i,-0.00075283+0.0011328i,0.00022499+0.00068669i,0.00043167+0.00024556i,0.00027022+0.00058731i,0.00032846-0.00019689i,3.5318e-05-0.0014911i,0.0002203-0.0019922i,0.0011091-0.00087279i,0.001014+0.00018906i,0.00061973-0.00043515i,3.7237e-05-0.0010551i,-0.00025696-0.0010561i,-0.00094935-0.00080765i,-0.0011105-0.00058706i,-0.00014848-0.0004059i,0.00031864-0.00043042i,0.0001218-0.00064718i,-0.00011266-0.0010554i,-0.00042703-0.00087499i
-0.000738+6.7029e-05i,-0.0004967+0.00038565i,4.0971e-05+0.00020843i,-0.00030387-4.6365e-05i,-0.00073173+0.0004633i,-0.00063936+0.00054653i,7.4187e-05+0.00081104i,0.00030798+0.00089665i,-8.4927e-05+0.00052301i,-0.00021633+0.0005479i,-0.00016768+0.0003645i,-0.0001633+0.00028817i,1.4818e-05+0.00013694i,0.00019935-0.00057382i,0.00075314-0.0010049i,0.000792-0.00071163i,0.00056975+0.00022373i,0.00038497+0.00033915i,0.00026344-0.00026136i,0.00048972+7.2017e-06i,0.0010254-0.00020909i,0.0010793-0.00026535i,0.00052604-6.0064e-05i
