0.0017604+0.00092419i,0.0020723-0.00051563i,0.000733-0.0018677i,-0.0015199-0.0020374i,-0.0024734-0.00051957i,-0.0017658+0.0018262i,0.00037133+0.0028577i,0.0023025+0.0015747i,0.0028454+2.9921e-05i,0.002233-0.00075552i,0.00089731-0.0015787i,-0.00036747-0.0015889i,-0.00060505-0.00082693i,-0.0008655+0.00038893i,-0.0017787+0.00034186i,-0.0017967-0.00042319i,-0.0013709-0.00098377i,-0.0011258-0.00053926i,-0.00025079+0.0008857i,0.0007813+0.00061941i,0.00078902-0.00079267i,-0.00044614-0.001614i,-0.00078504-0.0010543i
-0.00091179+0.0014149i,-0.0012361+0.0016008i,-0.0011255+0.0017598i,-0.00049332+0.0017338i,-0.00015451+0.0022308i,0.00043958+0.003142i,0.0010527+0.0030399i,0.0011975+0.001834i,0.00064593+0.0011263i,-1.0296e-05+0.00040628i,-6.1781e-05-7.7698e-05i,0.00035137+1.5423e-05i,0.0010283+0.00038023i,0.00094135+0.00047708i,0.00041956+0.00022704i,0.00069449+0.00053637i,0.00024627+0.00057389i,-0.00055738-0.0002693i,0.00024788-0.00049615i,0.00051032-0.00014517i,-0.00031076-0.00090864i,0.00016992-0.0012954i,0.00026449-0.00031294i
-0.0017663+0.00022838i,-0.00021251+0.00026298i,0.00044194+0.00047461i,-0.00047894+0.00077904i,0.00033718+0.0019362i,0.0015363+0.0028275i,0.002013+0.0020199i,0.0018523+0.00038682i,0.00047791-0.0003669i,-0.00015798-0.00023869i,0.00024069+0.00043904i,0.00060201+0.00059314i,0.00056367+0.00034183i,0.00012726+1.4588e-05i,-0.00037366-0.00083634i,-0.00052466-0.0012072i,8.4963e-05-0.00089354i,0.00038982+0.00021625i,0.00037437+0.00059556i,-4.7885e-05-0.0011887i,-0.00010538-0.001851i,0.00069532-0.00021684i,0.0007233+0.00048508i
0.0016922-0.0032153i,0.00058832-0.0032143i,-0.0009882-0.0030501i,-0.0009405-0.0012202i,-2.8567e-05+0.00086689i,0.0011058+0.0017933i,0.001958+0.0018638i,0.0019531+0.00084568i,0.00075518-0.00058589i,-0.0003898-0.0010068i,-8.6333e-06-0.00031812i,0.00058418+0.00018853i,0.0014+0.00058662i,0.0016742+0.0012865i,0.00083425+0.0014618i,-0.00012235+0.0011562i,-0.0009444-5.672e-06i,-0.00084541-0.00013369i,2.6306e-05+0.00028877i,0.00066918-0.00030461i,0.00041484-0.00028675i,-0.00027632-0.00020836i,-0.00042912-0.00016529i
1.6194e-05+0.0025154i,0.0009897+0.0017882i,0.00070555+0.0020004i,0.00024196+0.0015539i,0.00043255+0.00079858i,0.00073031+0.0011189i,0.0007391+0.0022622i,0.0010053+0.0019706i,0.001307+0.00066918i,0.0013857-0.00026188i,0.00067476-0.00023933i,0.00056375+0.00016305i,0.00064798-2.2605e-05i,-0.00030232-0.00049938i,-0.00068409-0.00036375i,-0.00049838+0.00026956i,1.3901e-05-0.000111i,-0.00022997-0.00086927i,-0.0012902-0.00074015i,-0.0012257-0.00010702i,0.00025994+0.00037804i,0.00070936+0.00035148i,0.0001162-1.3054e-05i
-0.00041918+0.00031148i,0.00032559+0.00058276i,0.00051173+0.00029788i,-0.00030468+6.3888e-05i,-0.00060697+0.00041277i,8.2777e-05+0.0011216i,0.001006+0.0010518i,0.0013188-8.9721e-06i,0.00087383-0.00036489i,-0.0001817-0.00081316i,-0.00048735-0.0010626i,-0.00013079-0.00091674i,0.00040858-0.0014941i,0.00036652-0.0013232i,-0.00024097-0.00012863i,-0.00035824+0.00060412i,-7.6681e-05+0.00044611i,8.8968e-05+0.00024881i,-0.00032011+0.00059706i,5.8777e-05+0.00072157i,0.00051731+0.00079705i,0.00011889+0.00064036i,-0.0001438+3.9218e-06i
0.0031203-0.00068445i,0.0038741-0.00056164i,0.0027191-0.00028846i,0.0013893+7.038e-05i,0.00020456+0.00090198i,9.1898e-05+0.001841i,0.00092713+0.0020915i,0.0012003+0.00083655i,0.0010719-7.7616e-05i,0.00065413+0.00027321i,0.00031513+0.00030111i,-0.00051801+0.00048802i,-0.00092241+0.00080471i,-0.0005542+0.00052576i,-0.00076373+0.0002027i,-0.0011472+0.00037071i,-0.0011614+0.00069981i,-0.00051493+0.00080775i,-3.7398e-05+0.00098979i,-0.00015328+0.00034589i,-0.00013194-1.3323e-05i,0.00031236+0.00057347i,4.9284e-06+0.00051982i
-0.0019677-0.00018902i,-0.0021037-0.00015123i,-0.0022062+0.00071626i,-0.0013266+0.0016732i,0.00039202+0.0022454i,0.0010968+0.001841i,0.00087872+0.0014685i,0.00056444+0.00079964i,-0.00017369-4.8502e-05i,-0.00066603-1.5639e-07i,-8.1163e-05+0.00040349i,0.00061238+0.0006151i,0.00048309+0.00083976i,0.00038085+0.00047977i,0.00087349+0.00023427i,0.00063876+0.00025735i,0.00011375-4.5164e-05i,0.00048429-0.00020342i,0.00032063-3.4357e-05i,-9.3389e-05-0.00037795i,-0.00021392-0.00074785i,-0.00023206-0.0014145i,0.00025601-0.0011693i
-0.0012585+9.8398e-06i,-0.00072104-0.00033218i,2.4024e-05+0.00014254i,0.00067876+0.00069615i,0.00090443+0.00020376i,0.0010464+0.00028589i,0.0012042+0.00078306i,0.00071462+0.00064289i,-8.36e-05-0.00012871i,0.00014955-0.00092199i,0.0010006-0.0011693i,0.00084283-0.00077945i,-0.00032777-0.00057223i,-0.00039282-0.00060992i,0.0002653-0.00019609i,-7.8354e-05+0.00040633i,0.00011075+0.00023568i,0.00032097+0.000346i,0.00012499+0.00043325i,0.00037317+0.00022678i,0.00055683+0.0002131i,0.00097982+0.00062072i,0.0012111+0.00030227i
-0.0002139-0.001312i,-0.00072363-3.8136e-05i,-0.000185+0.0012221i,-0.00054892+0.0019325i,-0.00069197+0.0018375i,0.00022295+0.001315i,0.0010459+0.00094796i,0.0011457+5.3196e-05i,-9.318e-05-0.00029824i,-0.0008776-0.00075949i,5.174e-05-0.00089029i,0.00065788-0.00034869i,0.00066113-0.00014787i,0.00057284-0.00027005i,0.00046492+9.0697e-05i,0.00064096-0.00027721i,0.00058603-0.00069798i,-0.00015602-0.00044162i,-0.00067005-3.4664e-05i,-0.00031103+0.00063048i,6.3563e-06+0.0002288i,-0.0003863-0.0003535i,-0.00048963+1.1834e-05i
0.0011922+0.0013987i,0.0015259+0.00023077i,0.0018872-0.00040451i,0.00068753+0.00013574i,-0.00020014+0.001003i,0.00058584+0.0018026i,0.0015143+0.0018757i,0.0012268+0.00113i,0.00051631+0.00033752i,9.7606e-05-0.00017101i,-6.8951e-05-0.00015613i,-0.00071428+8.543e-05i,-0.00073266-0.00029867i,-0.00015974-0.0009686i,-0.00010979-0.00092867i,0.00020776-0.00060091i,0.00074882+0.00029285i,0.00059397+0.00044739i,0.00088359-4.8025e-05i,0.0017544-1.6854e-05i,0.00084462-3.1274e-05i,-0.00065107-8.6958e-05i,-0.00075463+0.00012663i
8.1062e-05+0.00074297i,0.0012005+0.00089604i,0.0007101+0.0018666i,0.00054395+0.001873i,0.0011628+0.0010333i,0.0010447+0.00090889i,0.0006183+0.0012914i,0.00067925+0.0012039i,0.00082159+0.00054128i,0.00052467-0.00038837i,-0.0004869-0.00092485i,-0.00078497-0.0011143i,-0.00041853-0.00087904i,-0.00054714-8.8852e-05i,-0.00067493-0.00034368i,-0.00034093-0.00066905i,7.0704e-06-0.00043947i,0.0004437-0.00079069i,0.00079903-0.00097251i,0.00028922-0.00024319i,-0.00019226+0.00083735i,-1.0444e-05+0.00079766i,0.00062468-0.000797i
7.0179e-05-0.002855i,-0.00063509-0.0017355i,-0.00063989-0.0015931i,-0.00042273-0.00055203i,-0.00040716+0.0016097i,0.00039767+0.00289i,0.00097688+0.0023302i,0.00089307+0.00094821i,0.00066576-0.00042584i,0.00010846-0.00079767i,0.00021794-0.00025097i,0.00017281-0.00052465i,0.00059623-0.00067376i,0.00073728+0.00049497i,-0.00059536+0.0014859i,-0.00070836+0.0010872i,-0.00050099+0.00081636i,-0.00056+0.00061491i,-0.00025748+0.00048698i,-0.00035211+0.00055388i,-0.00041516+3.8048e-05i,-9.5623e-05-0.00052486i,-0.00033047-0.00070344i
0.0011065+0.0010566i,0.0010714+0.0010961i,0.0013615+0.001382i,0.0011753+0.00088094i,5.2894e-05+0.00077447i,-0.00082435+0.0021283i,-0.00020039+0.002054i,0.00092819+0.0012543i,0.00051698+0.00088265i,-0.00049208+0.00099042i,-0.00021419+0.0010353i,0.00040492+0.0010086i,-0.00041882+0.0014581i,-0.00098633+0.00080311i,-0.00017349-0.00012715i,0.00019686-0.00012422i,0.00034374+0.00013528i,0.00027805+0.00058003i,2.4225e-05+0.00068796i,0.00023885+0.00039989i,5.9446e-05+0.00083557i,-0.00033642+0.00031375i,-0.00061984-0.00059453i
-0.00064622-0.00085226i,-0.00066165-0.00089741i,-0.00082761-0.00010889i,-0.00062488+0.00097228i,-2.8437e-05+0.0016272i,0.0012444+0.002014i,0.0012435+0.0024919i,0.0004107+0.0017153i,0.00067358+0.00042346i,0.00077928+6.3848e-05i,0.00024206-0.0005575i,0.00040347-0.00094011i,4.6141e-05-0.00065995i,-0.00024374-0.00095166i,0.00026415-0.0013163i,0.00058684-0.00054971i,-6.4332e-05+0.00032867i,-0.00080493+5.865e-05i,-0.00065955-0.00050586i,-8.1709e-05-4.3548e-05i,0.00024377+0.00025318i,4.4043e-05+0.00012806i,-0.00056163-0.00014752i
0.00098135+0.000394i,0.0017439+0.0011335i,0.0017469+0.001432i,0.00094707+0.00054426i,0.00021401-0.00031058i,4.2417e-05+0.001073i,0.00081829+0.0025419i,0.00041172+0.0022721i,2.25e-06+0.0015002i,0.0002579+0.00063611i,-0.00056908-7.1722e-05i,-0.00073024-0.00064016i,-0.00060133-0.00097568i,-0.0010756-0.00099507i,-0.00064335-0.0009147i,-0.00061918-1.0626e-06i,-0.00094129+0.0006271i,-0.00071154+0.00044132i,-0.00014727-0.00022855i,-3.9812e-05-0.00027872i,-0.00011419+0.00028109i,0.00040675+0.00055273i,3.127e-05+0.00019284i
0.0015393+0.00075872i,0.00077638-0.00064896i,0.00074142-0.0014232i,0.00019053-0.00051491i,-0.00033099+0.00031749i,0.00024757+0.0012637i,0.00095848+0.0021615i,0.0012141+0.0017313i,0.00033579+0.00072551i,-0.00055784+4.9251e-05i,-3.1103e-05-9.1026e-05i,0.00032726-0.00042783i,-0.00046182-0.00065519i,-0.00099274-0.00038619i,-0.0014861-6.1413e-05i,-0.0018043+0.00022602i,-0.00044049+0.00070332i,0.0003314+0.00022768i,-0.00035272-0.0003317i,-0.00032785-5.233e-05i,0.00031358+0.00033219i,-3.7966e-05+0.00020093i,-0.00011194-7.3036e-05i
0.00039705-0.00019219i,3.6952e-06+0.0003814i,-3.2477e-05-3.3254e-05i,-0.00021622-0.0005522i,-0.00054029+0.00020795i,-0.00011522+0.0019571i,0.0014138+0.0018809i,0.0014047+0.00067681i,0.00056922+0.00026553i,0.00035671+0.00059927i,0.00020839-8.3737e-05i,-0.0003741-0.00071587i,-0.00053165-0.00013922i,-2.4492e-05+0.00048579i,-0.00051894+0.0003962i,-0.00099523+0.00062171i,-0.00097193+0.00082664i,-0.00012596+0.00021001i,0.00047118-0.00046461i,8.2939e-05-0.00043629i,5.7237e-05-0.00022123i,0.00048205-0.00068989i,0.0009066-0.00043763i
0.00082187-0.0033201i,-0.00060161-0.0022996i,-0.0018044-0.0015997i,-0.0010012-0.0010888i,-0.00078866+0.0007208i,-0.00032585+0.0023833i,0.0015974+0.0018954i,0.0020666+0.00040121i,0.0010428-0.00073597i,0.00014766-0.00074059i,0.00036336-0.00032154i,0.00067629-0.00019887i,0.00057938+0.00053833i,0.00090791+9.8448e-05i,0.00080964-0.0011791i,0.00075844-0.00057945i,0.0010331-0.00023708i,0.00045888-1.2672e-05i,9.2844e-05-0.0002309i,-0.0003209-0.00051101i,-0.00051926-0.00049818i,-0.00019512-0.0010921i,0.0005006-0.00097613i
0.001488+0.0030791i,0.0014301+0.0023678i,0.0017259+0.0015268i,0.0014793+0.00092741i,0.00062087+1.9067e-06i,2.2395e-06+0.0002177i,0.00067429+0.0014003i,0.00099675+0.0015206i,0.00050743+0.0006584i,0.00061752+2.6426e-05i,0.0001315-0.00046387i,-0.00018277-0.00065621i,-3.9401e-05+7.7977e-05i,-7.1488e-05+0.00032542i,-0.0006532-0.00018632i,-0.00088088-0.00026976i,-0.00013637-0.00044522i,0.00052382-0.00064726i,0.00094759-0.00024187i,0.0011801+7.3715e-05i,0.00062739+0.00016701i,-1.8445e-05+0.00085192i,-0.00039256+0.00081579i
-0.00049321-0.0011804i,-0.0012319+9.9501e-05i,-0.0011172+9.4509e-05i,-0.0010753+0.00041224i,-0.00077259+0.0014749i,0.00067301+0.0021077i,0.0017722+0.0023913i,0.0017146+0.0012268i,0.00033032+0.00039665i,-0.0012165+0.00083434i,-0.0015433+0.0010099i,-0.00068519+0.00073951i,0.00012259-3.6536e-05i,0.00075344-0.00020137i,0.00089386-5.4253e-05i,0.00033378-0.00053957i,0.00034923-0.00066142i,0.00076931-0.00030021i,0.00098188-7.6071e-05i,0.00044696-0.00026861i,-0.00025763-0.00040108i,-0.00062425-0.00078367i,-0.00098019-0.0010222i
0.00071151-0.00097642i,0.00036241-0.0008786i,0.00045813+0.00019317i,-0.00010388+0.0010957i,-0.00086902+0.0015191i,-1.2071e-07+0.002707i,0.0012847+0.002609i,0.0014991+0.00062209i,0.0002528-0.00099153i,-0.00072806-0.0013895i,-0.00066158-0.0011883i,1.1893e-05-0.00093306i,0.00057139-0.00081824i,0.00042578-3.458e-05i,0.00036572+0.00045485i,0.00018951+0.00061942i,0.00047843+0.00024182i,0.00015623-0.00031982i,0.00036566-0.00013514i,0.0012354+0.00029607i,0.0010257+0.00047789i,-0.00015785+0.00036956i,-0.00081591+0.00054123i
0.00059885+0.0012763i,0.00086601+0.0011268i,0.00076207+0.00080323i,0.00045188+0.00061612i,0.00011963+0.00092893i,-3.4581e-05+0.0012065i,0.00013969+0.00086655i,0.00068031+0.00046207i,0.00099682-2.1336e-05i,0.00054656-0.00028295i,-0.00025413-0.00026586i,-0.00053792+0.00024775i,-0.00032532+0.0011978i,-0.00027478+0.00056542i,-0.00085761-0.00033968i,-0.00063516+0.00010376i,2.6778e-05+0.0002464i,0.00020982-9.0471e-05i,-0.00019078-0.00014367i,-0.00043815-1.0424e-05i,-0.00010125+2.4409e-05i,0.00021273-0.0010491i,-9.1175e-05-0.0014241i
0.00031876-0.0011823i,0.00045847-0.00065511i,0.00038424-0.00019794i,0.00022434+0.00047203i,0.00023502+0.0010894i,0.0009006+0.0015661i,0.00067353+0.0020225i,0.00024061+0.00103i,-2.2428e-05-2.7407e-05i,0.00053309+0.00032418i,0.00033396+0.00061031i,-0.00069982-3.9425e-05i,-0.0010043-0.0005388i,-0.0012412-0.00028075i,-0.0009824+2.54e-06i,-0.00044631+0.00045018i,-0.00017294+0.00096094i,-0.0001264+0.00067682i,-0.00017912+0.00034417i,3.3218e-05+9.3026e-05i,0.00020118-0.00022238i,-3.2296e-05-0.00023169i,-0.00031973-3.2311e-05i
1.1714e-05+7.5826e-05i,-0.0011432+0.00096239i,-0.0020104+0.00047772i,-0.0017852+0.00099921i,-0.0011765+0.0026803i,0.00014688+0.0035892i,0.0010364+0.0025245i,0.00029638+0.00063585i,-0.00045604-0.00021315i,-0.00052671-0.00022653i,-0.00035548-0.00020562i,-0.00035935-0.00058262i,-0.00012289-0.00041042i,2.4972e-05+8.8707e-06i,-0.00029191-0.00060902i,-6.2413e-05-0.00075159i,0.00045959-0.00015398i,0.00035259+0.00016177i,0.00012756-0.00033375i,0.00015103-0.00070046i,0.00052883-0.0002108i,0.00055643+0.00030368i,0.00016722+0.00036184i
-0.00058647-0.0026132i,-0.00011674-0.0012691i,-0.0005016-0.00041561i,-0.0011248-9.8407e-06i,-0.00086785+0.0012764i,0.00048856+0.0013714i,0.0016278+0.0011463i,0.0016573+0.00033881i,0.0015133+0.00011647i,0.00067642+0.00023184i,-0.00027995-0.00045012i,0.00037786-9.4629e-05i,0.00063976+0.00073912i,0.00022194+0.000457i,0.00056304+0.00038418i,0.0010621+0.00029172i,0.00067314-0.00017117i,0.00039066-7.0415e-05i,0.0012578-0.0002212i,0.0009306-0.00053171i,6.3731e-05-0.00062933i,0.00029152-0.00035592i,0.00069508+0.00034537i
0.0016142+0.0010859i,0.0013933+0.0020014i,0.0007481+0.0012664i,0.00050574+6.9421e-05i,0.0011683+6.5719e-05i,0.00084482+0.001599i,0.00071387+0.0022141i,0.0011727+0.0010948i,0.0009222-4.6394e-06i,0.00022511-0.00050619i,-0.00062777-0.0012504i,-0.0011369-0.0013832i,-0.00016143-0.00032488i,0.00084848+0.00054567i,0.00034025+0.00039782i,-0.00066471-0.00012288i,-0.00060301-0.00063168i,-0.00019853-0.00067928i,0.00026908-0.0003473i,0.00044919-4.3802e-05i,0.00018629-0.00016312i,0.00052091-0.00053938i,0.00019792-0.00035079i
0.00090059-1.7075e-05i,0.00036391-0.0001851i,-2.3458e-05-0.00010279i,-6.2547e-05+3.8683e-05i,-0.00033487+0.00067896i,-0.00047436+0.0018931i,0.00034267+0.0019768i,0.001198+0.001379i,0.0013227+0.00077i,0.0012302+0.00040559i,0.00036135-0.0002324i,-0.00014683-0.00038371i,0.00028535+0.00026708i,9.0837e-05+0.00022905i,-0.00019519-0.00037567i,9.9403e-05-0.00065525i,0.00033477-0.00061886i,0.00023659-8.1602e-05i,-0.00020711+0.00059818i,-0.00059469+0.00043481i,-5.7384e-05-0.00037159i,-0.00017374+2.3061e-05i,-0.00081689+0.00010231i
5.7828e-05-0.0022775i,7.3033e-05-0.0012955i,0.00015912-0.0011046i,-0.00067034+0.00022338i,-0.0017035+0.0018115i,-0.00074172+0.0024452i,0.0011584+0.0024449i,0.0018486+0.0011397i,0.0010931-0.00039706i,0.0010458-0.00048763i,0.0005275+2.8808e-05i,-0.00057233-0.00014317i,-9.8529e-05-0.00018338i,0.00053158+1.1412e-06i,0.00036465+0.00051227i,1.2535e-05+0.00065632i,0.00055461-0.00046717i,-0.0001732-6.1906e-06i,-0.0012997+0.00016742i,-0.00055729-0.00084949i,0.00035506-0.00041401i,0.0006615+0.00033725i,0.0002299+5.1357e-05i
-0.0016678-0.00049222i,-0.00095576+6.2491e-06i,-0.00056587+0.00078099i,-0.00039564+0.0010633i,8.1138e-05+0.0013516i,0.00053893+0.0014122i,0.0010909+0.0011366i,0.0019681+0.00036216i,0.0014561-0.00020968i,0.00063285-8.0346e-05i,0.00072112-0.00010697i,0.00091439-2.5494e-05i,0.00034146+5.0665e-05i,-0.00033825-0.00035807i,-0.00041065-0.00050682i,-0.00044448-0.00024754i,-0.00044353+4.4663e-05i,-0.0004031+0.00032397i,-0.00038741+0.00024072i,7.7345e-05-0.00012852i,0.000263-0.0002385i,0.00035241-6.8578e-05i,0.00027189+0.00015764i
-0.0020192+0.0015467i,-0.00052006+0.00092028i,0.0017866+0.0014146i,0.0019654+0.00053917i,0.0010737-0.00029761i,0.00030837+0.00061943i,0.00036313+0.0011221i,0.0010676+0.00050864i,0.0015028+4.6983e-05i,0.0012403+0.0001098i,0.00084708-0.00021592i,0.00030348-0.00033636i,-0.00024336+0.0002815i,-0.00035212-0.00058759i,-0.00015747-0.0015417i,-0.00046703-0.00080631i,-0.00077126+0.00035661i,-0.00063963+0.00030308i,0.00018256+0.0004486i,0.00063843+0.00026355i,0.00056857+3.1556e-05i,0.00068664+0.00022785i,0.00066528-0.00036199i
-0.00011968+0.0021581i,0.00016816+0.0018836i,0.0006679+0.00087709i,0.0010867+0.0011269i,0.00089307+0.0013078i,5.4773e-05+0.00091767i,-0.00013687+9.0528e-05i,0.00037358-0.00038662i,0.00087941+0.00020324i,0.00083622+0.00022782i,0.00035897-0.00026058i,-0.00024723-0.00061412i,-0.00082394-0.00093187i,-4.9042e-05-0.0010038i,0.00044515-0.00028654i,0.0002342+0.00013099i,0.00018263+0.00024152i,-0.00064941+0.00042293i,-0.00091312+0.00046557i,-0.00053191+0.00039885i,-4.1455e-05+0.00021897i,0.00058084-6.7549e-05i,0.0013012+0.00053091i
0.0015444-9.4532e-05i,0.0017596+0.00075365i,0.0020123+0.00051506i,0.00078069+0.00014971i,-0.00016606+0.00069183i,0.00039272+0.0020845i,0.00084049+0.0029795i,0.00048745+0.0023663i,-2.9429e-06+0.00067005i,-1.971e-05-0.00050059i,-2.6535e-06-0.0010826i,4.6499e-05-0.0013627i,-5.7259e-05-0.00053351i,-0.0011024-7.0832e-05i,-0.0012802+8.8038e-05i,-6.81e-05+0.00054063i,0.0010865+0.00014568i,0.000831+0.00027198i,0.00015664+0.00059854i,0.00013283+0.00032009i,-0.00039466+4.4586e-05i,-1.5329e-05-0.0004164i,0.00089375-0.00026513i
