-0.00044263-0.0010167i,-0.00061155-0.00087942i,0.00057447-0.00050049i,0.00092407+3.7105e-05i,0.00092558-0.00042348i,0.00083664-0.00060438i,-0.00034013-0.0003722i,-0.00055512-0.0003599i,0.00031264-0.00024116i,0.00051355-6.8223e-05i,3.1023e-05-1.8746e-05i,-0.00039947+0.00018105i,-0.00014388+0.00029212i,0.0001003+0.00030025i,-0.00023066+2.3978e-06i,-0.00070084-0.00019113i,-0.00082995-0.00035771i,-0.00047017-7.3154e-05i,-7.4513e-05+9.0182e-05i,-1.6009e-05+0.00020889i,-7.0738e-05+0.00012065i,-0.00056078-1.1703e-06i,-0.00071553-8.8878e-05i
-7.3741e-05-0.0012814i,-1.8051e-07-1.9605e-05i,-0.00047342+0.00070337i,0.00051995+0.00070391i,0.0018739-0.00010304i,0.0015006-0.001329i,2.4312e-05-0.0014637i,-0.00017882-0.00080933i,0.0001386-0.00041075i,-0.00038877+8.7483e-05i,-0.00021013+0.00089753i,-0.00020626+0.0010541i,-0.00055104+0.00080439i,-0.00099128+0.00064312i,-0.00076253-0.00052499i,-0.00025909-0.00085746i,-0.00065108-0.0001629i,-0.00091353+0.00043181i,-0.00089591+0.00045957i,-0.00070368-0.00046492i,-0.00059758-0.000637i,-7.6583e-05+2.3444e-05i,0.00032682+0.00019967i
-0.001881+0.0016644i,-0.0014038+0.0008446i,-3.2184e-05+0.00023162i,0.0010975+0.00041664i,0.001423+0.00056839i,0.0019835-0.00036162i,0.0014001-0.00059114i,-0.00033694+4.172e-05i,-0.0007079+0.0003415i,-0.00015857+0.00024731i,0.00030847+0.00012826i,0.00082646+2.8122e-05i,0.00012465+3.7616e-05i,-0.0004302+8.7788e-05i,0.00013878-2.1116e-05i,0.000242+0.00041589i,-2.984e-05+0.0002837i,0.00027231+0.00011623i,0.00064344-0.00037153i,0.00067831-0.0010238i,0.0003746-0.0008272i,0.00021285-0.00036018i,-0.00031441-0.00034733i
-0.0012836-0.00095437i,-0.0015481-0.00088179i,-9.1409e-05-0.0012093i,0.00054689-0.00166i,0.00074013-0.0014288i,0.00073898-0.00090041i,0.00065142-0.00087933i,0.00072097-0.0011991i,0.00098078-0.00075177i,0.0010806-0.00025538i,0.0011803+2.1504e-05i,0.0010095-9.0162e-05i,0.0012437+0.00031679i,0.00093497+0.00023674i,0.00047125-0.00079567i,0.00052905-0.001098i,9.1832e-05+0.00022719i,-0.00046244+0.00082062i,-0.00049603-0.00011042i,-9.9757e-05-0.00031426i,-6.6006e-05-0.00056688i,-0.00092738-0.0010955i,-0.0011505-0.00093868i
0.00030438+0.00018418i,0.0003619+0.00075163i,9.8229e-05+0.0011501i,-0.00022125+0.00022247i,0.00021187-0.00046288i,0.00051497+0.0003036i,0.00030509+0.00067243i,0.00012725+5.791e-05i,-0.0005942-0.00070039i,-0.00082277-0.00049543i,2.6374e-05+0.00070134i,0.00074248+0.0017915i,0.00076681+0.0013885i,0.00038838+0.00012198i,-8.2945e-05+7.7913e-05i,-0.00045935+0.00043745i,-0.00048973+0.00033819i,8.9286e-05+0.00092937i,-0.00062778+0.0007223i,-0.0007924-0.0005705i,-0.00027056+5.7249e-06i,-0.00053159+0.001404i,-0.00015747+0.0013235i
-0.00059135-0.00032307i,-0.00026657-0.00090437i,-0.0001164-0.0010872i,-0.00023934-5.9488e-05i,0.00088038-0.00018641i,0.0014368-3.8671e-05i,0.0010352-9.6349e-05i,0.00014922-0.0006773i,-0.00046511-0.00070821i,-0.00011994+2.3839e-05i,8.338e-05+0.0012299i,0.0006843+0.0013943i,0.00089559+0.00070107i,0.00046777+0.00040622i,0.00039523+0.00037607i,-0.00012698-2.045e-05i,-0.00022869-0.00032904i,9.2344e-05+0.00030818i,0.00016178+0.00071991i,-8.9163e-05+0.0001361i,-0.00051213-0.00040632i,-1.9019e-05-0.00055439i,0.00043297+0.00074021i
0.00086532-0.00016956i,0.0013073+0.00032111i,0.00093749-0.00016173i,0.00024048-0.00048747i,-0.00057507-0.00025968i,-0.00087911-0.00088015i,-0.00040409-0.0010374i,0.00011502-0.00037681i,-0.00014605+0.00039929i,-0.00047953+0.00090132i,-0.00053856+0.0013462i,-0.00031089+0.0011713i,-2.5637e-05+0.00021538i,-7.5899e-06-0.00054546i,0.00011265-0.00068432i,0.00036122-0.00064963i,9.9635e-05-0.00068478i,-0.00053527-0.00029092i,3.6756e-05-0.00029203i,0.00057286-0.00015201i,-0.00015342-0.00045584i,-0.00063407-0.00014351i,-0.0006087+0.00087287i
-0.001753-0.0014899i,-0.00099027-0.00085207i,-0.00049695-0.0012492i,-0.00050872-0.0015269i,-0.00056504-0.00079482i,-5.5449e-05-0.00016588i,-7.9796e-05+6.742e-05i,0.00041796-0.00016291i,0.00018543-0.0003037i,-0.0011671-0.00035563i,-0.00068838-0.00051384i,0.00054327-0.00032859i,0.00067672+0.00042984i,0.00033091+0.00012225i,0.0004657+4.8274e-05i,0.00028019-0.0004733i,-3.4909e-05-0.00078296i,-0.00028034-0.0002695i,-4.3461e-05-0.00027232i,0.00016809+0.00010994i,0.00022286+0.00030186i,0.00028604+0.00038762i,7.4709e-05+0.00044685i
0.0028057-0.0016272i,0.00099253-0.00051821i,0.00031736-0.0010597i,-0.00029346-0.0014243i,-0.00094628-0.0013286i,-0.0012331-0.0011595i,-0.00023119-0.001133i,9.3519e-05-0.00066468i,-0.0004431-0.00043014i,-0.00055531-0.00042857i,-0.00039624-0.00020917i,-8.4923e-05+0.00012714i,0.00011662+0.00068039i,-0.00016659+0.00059886i,-0.00077903-0.00038907i,-0.00097782-0.0013288i,-0.0015994-0.0013621i,-0.0016287-0.0007701i,-0.00057212+0.00014722i,-4.2235e-05+0.00067569i,-0.00042066+0.00092291i,-0.00062609+0.0009277i,-0.0005187+0.0001746i
0.00085099+2.0561e-05i,0.00097321-0.00019769i,0.000768-0.00043235i,0.00099096-0.0009487i,0.0012336-0.0010991i,0.00019702-0.00067041i,-0.00081509+6.0172e-05i,-0.00050894+0.00086843i,-0.00085333-2.6979e-06i,-0.00059472-0.00074309i,0.0008596+5.096e-06i,0.0012482+0.00088813i,0.00088086+0.0010632i,0.00061676+0.00041376i,6.4333e-05-7.1239e-05i,2.1596e-05-0.00047401i,0.00019124-8.4589e-05i,-0.00033907+0.0010352i,-0.00024836+0.0012077i,-0.00028602+0.00038984i,-0.0011449-9.0254e-05i,-0.0018032-0.00055611i,-0.0015191-0.00060168i
