-0.0042235-0.0021807i,-0.0037946-0.0022015i,-0.0024921+0.00048382i,-0.0018515+0.0021704i,-0.0012897+0.0018381i,-0.00014654+0.0013958i,-0.00026655+0.0014753i,0.00027095+0.0016606i,0.0016141+0.0013444i,0.0020471+4.8776e-05i,0.0017942-0.00086186i,0.00078883-0.0010884i,0.00023697-0.0013812i,-0.0002695-0.0014343i,-0.00091586-0.0010605i,-0.00096755-0.00038844i,-0.0007393+0.00080763i,-0.00065527+0.00065894i,-0.00027253-0.00013542i,0.0004312+0.00034213i,0.00065516+0.00094232i,0.00072704+0.00041412i,0.0004698-4.8017e-05i
0.00061302+0.00099365i,0.0022701+0.0014863i,0.00227+0.001237i,0.0023636-0.00034151i,0.002797-0.0015478i,0.0023608-0.0017029i,0.0009037-0.0015876i,-0.00015911-0.0010874i,9.0275e-05-0.00031316i,0.00050478-0.00062248i,0.00011099-0.0010152i,-0.00029959-0.00072429i,-0.00054997-0.00067937i,-0.00071572-0.0010313i,-0.00064245-0.00098627i,-6.5307e-05-0.00096821i,0.00015701-0.00036782i,-2.934e-05-0.00042082i,-0.00021831-0.00034988i,-0.00027296+0.00045274i,5.616e-05+0.00043816i,-0.00039342+0.00053485i,-0.00023813+0.00091437i
-0.00057559-0.0018081i,-0.0015489-0.00086906i,-0.0017611-0.0016511i,-0.0023294-0.0019892i,-0.0029723-0.0013904i,-0.0021149-0.00040689i,-0.00073612+0.00018473i,-0.00033819-5.4948e-05i,-6.6041e-05-0.00021213i,-0.00081698-0.00014847i,-0.00063833-0.00018383i,-0.00032256+0.00047926i,-0.0009149+0.00057212i,-0.00038064+0.00022273i,0.00032633-0.00028721i,0.000259-9.0965e-05i,0.00018635+5.4365e-05i,0.00034996-0.00030232i,0.00029985-0.00038933i,0.0001337-0.00021306i,4.5492e-05-2.1404e-05i,0.00014367-7.0874e-05i,-0.0001271+0.00021734i
0.0031982-0.0029636i,0.0025398-0.0038393i,0.001623-0.0037556i,0.0011041-0.0030374i,0.0012012-0.0020509i,0.00051234-0.0012426i,9.2924e-05-0.00010427i,0.00053581+0.00067094i,0.00076504-0.00023537i,0.00043783-0.00070665i,-0.00030573-0.00057543i,-0.00087946-0.000336i,-0.00072282+1.6498e-05i,-0.00044898+0.00015348i,-0.00098882-0.00034751i,-0.0013304-0.00021837i,-0.00052923-0.000131i,0.00010917-0.00058316i,0.00032304-0.0007498i,0.00012531-0.00041265i,-0.00028322+7.6433e-05i,-0.00013169+0.00023543i,-0.00014133+0.00053778i
0.0011042-0.00063653i,0.0018564+6.5167e-05i,0.0011593-0.00056736i,-0.00048848-0.001889i,-0.00085382-0.0013452i,2.4948e-05+0.00040605i,0.00019534+0.0008355i,2.4369e-05-0.00030259i,0.00016958-0.0011146i,-9.2515e-05-0.0012197i,-0.00057838-0.00053627i,-0.00047168-7.1979e-05i,-2.3606e-05-0.00038428i,6.5156e-05-0.00025006i,0.00040019-0.0003761i,0.0006327-4.2018e-05i,-0.00060517+0.00071126i,-0.0007861+0.00090952i,0.00025872+0.0009397i,0.00052604+0.00050579i,0.00036407+0.00033266i,-0.00031551+4.352e-05i,-0.00066327-0.0001183i
-0.00056055+0.0010039i,-0.0007109+0.0010537i,-0.00029898+0.0013157i,0.0012162+0.0010126i,0.0022162+0.00048913i,0.0015495-0.00062592i,4.6043e-05-0.00036475i,0.00013262+0.00067335i,0.00092926+0.00044088i,0.00075873-0.0006408i,0.00067074-0.00048806i,-2.8705e-05+0.00010669i,-0.00049672+0.00043345i,0.00017053+0.00020337i,-5.1289e-05-0.00034542i,-0.00040214-0.00034893i,-0.00015827-0.00025156i,4.4364e-05+0.00019833i,0.00019136+0.00060815i,0.00038883+0.00044529i,0.00026866-2.6292e-05i,9.7959e-05-0.00013099i,0.00038502-8.0206e-05i
-3.9077e-05-0.00038684i,0.0005544+0.00036157i,0.00078379+0.00029857i,0.00083066+0.00060291i,6.1387e-05+0.00041408i,-3.248e-05-0.00070127i,2.4007e-05-0.00027502i,7.403e-05+0.00023193i,0.00019279+6.6267e-06i,-0.00018342-0.00050107i,-0.00050715-0.000804i,-0.00069225-0.00039663i,-8.0553e-05+0.00012096i,0.00070625+0.00012808i,0.00084604+0.0001031i,0.00059002+0.00010883i,0.00020784+0.00018695i,-0.0001517+0.00032033i,3.8906e-05-0.00015679i,0.00010842-0.00041448i,-0.00045751-0.00034809i,-0.00023139-2.9963e-05i,0.00012592+0.00068206i
-0.00085685-0.0011625i,-6.0184e-05-0.00080645i,0.00039556-0.00044102i,0.00032658-0.0011677i,0.0011547-0.0010906i,0.0015936-0.00057812i,0.00095423+0.00047216i,0.00021855+0.00042125i,-2.0177e-05-0.00083868i,-5.0038e-05-0.001268i,-6.7885e-05-0.0017463i,3.3609e-05-0.001575i,-0.00039874-0.00033063i,-0.00090395+0.0001396i,-0.00060878+0.00011686i,-0.00049228-0.00022727i,-0.00036761-0.00061819i,-0.000335-0.0010405i,-0.00051466-0.00145i,-0.00078536-0.0012541i,-0.00029615-0.0011264i,-0.00031539-0.00092493i,-0.00067621-5.457e-05i
0.00017895+0.0013501i,0.0004643+0.0014414i,0.0011664+0.0010505i,0.0016378+0.0013028i,0.0012588+0.0011391i,0.0014344+0.0001903i,0.00064293-0.00021644i,-0.00015684+6.1921e-05i,6.5141e-05+0.00019093i,0.00061237-0.0006809i,0.00084434-0.00093227i,-0.00060474-0.00018076i,-0.0014727+9.0058e-05i,-0.00080759+9.3761e-05i,-0.00057517-0.0002053i,-0.0010654-0.00084972i,-0.00053187-0.00075128i,0.00067297-0.0002953i,0.00096785+4.6468e-05i,0.00042283-0.00038509i,-0.00028629-0.00085834i,-0.0004479-0.00023524i,-0.00013875+0.00044658i
-0.0013204-0.0020116i,-0.0010043-0.0011794i,-0.0012215-0.0010355i,-0.0018689-0.0012521i,-0.0011922-0.0017205i,1.4579e-05-0.0010532i,0.00086965+1.1838e-05i,0.0010481+0.00034793i,0.00041404+0.00023114i,-2.1387e-05-0.00062512i,-0.0005362-0.0010304i,-0.00065004-3.1568e-05i,9.9057e-05+0.00046381i,0.0004245-0.00020801i,0.00028205-0.00058989i,-0.0002418-0.00047894i,-0.00067563-0.00060046i,-0.00092593-0.00045318i,-0.00086599-0.00053723i,-3.6163e-05-0.00043648i,0.00032805-0.00062031i,0.00031744-0.00064209i,-0.00012005-0.00031647i
-0.0013928+0.00058392i,-0.0012086-0.00019461i,-0.0011418-0.00010681i,1.5471e-05-8.754e-05i,0.001174+0.00015038i,0.00082894+2.1502e-05i,0.00045924-0.00047698i,0.00041157-0.00037676i,0.00024728-0.00048917i,-1.9689e-05-0.001419i,-2.5747e-05-0.0018157i,0.00030876-0.0012451i,0.0002561-0.0006558i,3.8117e-05-0.00067609i,-0.00035656-0.00058082i,-0.00029585+0.00018323i,0.00026516+0.00019157i,0.00064964-0.00041164i,0.00018565-0.00070014i,-0.00029933-0.00051163i,0.00011177-0.00058102i,8.1775e-05-0.0005569i,-0.00033394+0.00046072i
-0.0033702-0.00067439i,-0.0029375-0.00041937i,-0.0019852+0.00049407i,-0.0014754+0.0013922i,-0.0010819+0.00028753i,-0.00054155-0.00055938i,-0.00010414+2.8036e-05i,9.5347e-05+0.0005079i,0.00044729+0.00021611i,-0.0004297-0.00026068i,-0.00073619-0.0003539i,0.00026636-0.00050164i,0.00069189-0.0012625i,0.00034837-0.0012188i,-0.00011994-0.00056692i,-0.00024947-0.00045332i,-0.00027994-0.0005498i,-0.00017872-0.00075207i,0.00035901-0.00046251i,0.00015147-0.00024035i,-0.00059702-0.00019247i,-0.00064493+0.00016097i,0.00031246+8.5455e-05i
-0.00085393+0.00021129i,-0.0022589+0.00069757i,-0.0023507+0.00020487i,-0.00028778+0.00035638i,0.00026596+0.00062946i,2.7392e-05+0.00035502i,0.0013248+0.00060893i,0.0017037+0.0014768i,0.0011064+0.001141i,0.00056202-0.00052836i,0.00025803-0.00096596i,1.354e-06-0.00047881i,-0.00020901+7.6723e-05i,0.00011223+3.4464e-05i,0.00031672-0.00035909i,0.00025727-0.00026537i,0.00020159-0.00059058i,-0.00034145-0.00049798i,-0.00086451+0.00037496i,-0.0001948+0.00069817i,0.0003179+0.00017138i,-4.6262e-05-0.00018599i,6.7612e-05+0.00016039i
-0.00078205-0.00079148i,-0.0015671-0.0010845i,-0.0015799+0.00064917i,-0.00048615+0.00044464i,0.00040852-0.00064308i,1.7584e-05-0.00057383i,-0.0002935-7.7941e-05i,6.3123e-05-0.00028262i,0.00026297-0.00011833i,-3.5027e-05+0.00033976i,0.00032564+0.00033659i,0.0012223+0.00015881i,0.00019113-0.00019135i,-0.0007539+3.1923e-05i,-0.00018107+4.8815e-05i,4.8964e-05-0.00064607i,-0.00018889-0.0011038i,-0.00058171-0.00026425i,-0.00047595+0.00094993i,-0.00037188+0.0012475i,-0.00029197+0.00084819i,-0.00014047+0.00058921i,-0.00034347+0.00082056i
0.0023352+0.0021388i,0.002647+0.001216i,0.0040155-4.4925e-05i,0.0048024-0.0014334i,0.0034385-0.0019735i,0.001683-0.0014656i,0.00099793+6.3872e-05i,0.00085778+0.0010237i,0.00090806+0.0002195i,0.00040724-0.0011524i,-0.00032313-0.0016093i,-0.00074851-0.00073563i,-0.0005384-2.9046e-05i,2.4298e-05+0.00051467i,0.00023166+0.0011599i,-0.00018281+0.00088896i,0.00014672+0.00087876i,0.00050658+0.00090469i,-0.00035536-0.00014724i,-0.00024536-0.00015437i,0.00055143+0.00041223i,0.00075346+0.00050728i,0.00052709+0.00028976i
0.0021295+7.5884e-05i,0.0022818+0.0003705i,0.0022195-0.00011479i,0.0020011-0.0015103i,0.0011651-0.0025401i,0.00076325-0.0018425i,0.00021671-0.00090043i,-0.00065592-0.0006154i,-0.00037067-0.00090482i,-3.0144e-05-0.0015142i,-0.00080142-0.0010662i,-0.0013411-0.00012459i,-0.00070874+0.00011611i,-4.9179e-05+7.2826e-06i,-0.00016638+3.1714e-05i,0.00013324-0.00055728i,0.00099071-0.0006505i,0.00070823-0.00019643i,-0.00017235-0.00041616i,-0.00032467-0.0012454i,0.00050933-0.00074983i,0.00080458-0.00041574i,5.3671e-05-0.00070712i
0.0012076+0.0015645i,0.0016246+0.00051685i,0.0037564+0.0011045i,0.0037334+0.00085024i,0.0022307-0.0016556i,0.0010376-0.0024116i,0.0005257-0.001346i,0.00018494-0.00068332i,0.00077509-0.0011392i,0.0011742-0.0017633i,0.00019827-0.0014266i,-0.00025931-0.00074247i,-0.00036275-0.00039165i,-0.00019723+0.00015604i,2.1027e-05+0.00068974i,0.00011099+0.00092162i,0.00041889+0.00021761i,0.00044936-0.00075995i,0.00028791-0.0012888i,8.1072e-05-0.00013731i,0.00012993+0.0011836i,-6.507e-05+0.0011836i,-0.0005088+0.00046514i
