-0.0029346+0.0001169i,-0.0030842-0.0012575i,-0.0033944-0.0018076i,-0.0024261-0.001196i,-0.0011676-0.00016985i,-0.00064082+0.001227i,-0.0003916+0.0022474i,0.00063304+0.0018489i,0.0011859+0.00039073i,0.00094932-0.00066106i,0.00043004-0.00063845i,7.6313e-05-0.00054313i,0.00063751-0.0011421i,0.00049609-0.00019158i,-4.7274e-05+0.00079412i,0.00059457+0.00068063i,0.00083798+0.0010289i,0.00055877+0.00054527i,0.00063015+8.7085e-05i,2.8389e-05-3.4787e-05i,-0.00018892-4.3749e-06i,-0.00038787+0.00035128i,-0.00026785+6.7286e-06i
-0.00063359+0.0013992i,-0.00024568+0.0013744i,-0.00059848+0.00083797i,-0.00011815-0.00044444i,0.0010183-0.0012941i,0.0012531-0.00074389i,0.0012572-0.00022136i,0.001443+0.00015172i,0.00062523+0.00046001i,0.00014403+0.00043095i,-8.2597e-05+3.1453e-05i,-0.00081893-0.00025497i,-0.0013852-0.00014896i,-0.00047216-2.285e-05i,7.3661e-05+0.00017783i,-0.00020603+0.00027705i,-0.00022962+0.00037412i,0.00012731-0.00014426i,0.00021066-0.00061677i,3.3653e-05-0.00042357i,-3.8067e-06-0.00057332i,-1.3567e-05-0.00069092i,-0.00046272-0.00014849i
-0.0011803-0.00061108i,-0.00052157-0.00078979i,-0.00018125-0.00027852i,-0.00013376-6.1581e-05i,0.00018489+1.4882e-05i,0.00056373+0.00051586i,0.00064184+0.00049792i,0.00050342+0.00059163i,0.00021111+0.0014089i,-2.3219e-05+0.0013183i,-0.00036467+0.00086999i,-0.00065754+0.0014628i,-0.00026812+0.0015327i,-0.00034309+0.00067284i,-0.00049292-0.00012041i,0.00010415-0.00021889i,0.0002144-0.0002877i,0.00052116-0.00022343i,0.00059232-0.00080322i,-0.00029499-0.0017083i,-0.00085941-0.0013399i,-0.00059378-0.00067434i,-3.7318e-05-0.00048143i
0.00034118-0.00050992i,0.0010281-0.0018835i,0.00097881-0.0024687i,0.00090646-0.0021496i,0.0004918-0.0021537i,0.00020648-0.00066673i,0.00055994+0.0010012i,0.00097977+0.00068186i,0.0009065-0.00048128i,0.00086113-0.00029772i,0.00085765+0.00078034i,0.00017321+0.001056i,-0.00029907+0.00029209i,-0.0002524-0.00019347i,-0.00070759-0.0001609i,-0.00097337+0.00047467i,-0.00046215+0.0005365i,-0.00076151-0.00025511i,-0.00143-0.0010917i,-0.00075982-0.00071129i,0.00019816-6.6274e-05i,0.00023166+0.00040115i,1.8729e-05-0.00010442i
0.0016162+0.001406i,0.00054746+0.0021443i,0.0016971+0.0015409i,0.0027301+0.00052716i,0.0017131-2.0641e-05i,0.00065884-0.00030535i,0.00023348-0.00042887i,0.00035406-0.00025775i,0.0009287-0.00011714i,0.001669-6.3267e-05i,0.0013427-0.00056322i,0.00059691-0.001096i,0.00071163-0.00069044i,0.0002883-0.00010466i,0.00028122-0.00026296i,0.00017926-0.00010294i,0.00040882+0.00034592i,0.00093063+0.00031783i,0.00046645+0.00020291i,-0.00013585+0.00021064i,0.00030558+0.00066335i,0.00058959-0.00031247i,0.00018573-0.00088861i
-6.5834e-05-0.0010353i,-0.00021111-0.0010731i,-0.00073825-0.0015076i,-0.00011125-0.0021561i,7.1915e-05-0.0018726i,6.9799e-05-0.0013217i,0.00025972-0.00087436i,0.00085128+8.2095e-05i,0.0012803+1.1199e-06i,0.00080018-0.00063888i,-9.5951e-05-0.00091437i,-0.00075045-0.00068501i,-0.00047029+0.0004326i,0.00053443+0.00030815i,0.00028179-0.00042321i,-0.00035004-0.00074675i,0.00025591-0.00057083i,0.00065054+0.00038031i,0.00022915+2.2134e-05i,-0.00049064-0.0008932i,-0.00010682-0.00046224i,1.5384e-05+0.00025451i,-0.00017331+0.00063741i
-0.0019098-0.000636i,-0.001899-0.00087023i,-0.0017526-0.00080793i,-0.00083761-0.00038671i,0.00019597-0.00062829i,0.00088842-0.00059464i,0.00096075+9.943e-06i,0.00030968+9.7236e-05i,0.00073247+1.7923e-05i,0.0012217+0.00057879i,-1.4314e-06+0.00037766i,-0.0005749-0.00013827i,1.3231e-05+4.7598e-05i,0.00017067+0.00018377i,7.9897e-05-4.5622e-05i,0.00071023-3.5706e-05i,0.00085055+0.00015842i,0.00030555+0.00037867i,-6.3375e-05+0.0003858i,-0.00036699+0.00018502i,-0.00076146-8.125e-05i,-0.0011743-0.00037474i,-0.00046068-0.00020005i
-0.0013324-0.0017546i,-0.0013248-0.0014533i,-0.0015763-0.0010231i,-0.0020837-3.5118e-05i,-0.0016388+0.0010773i,-0.00047583+0.00092945i,0.00015161+0.00016882i,5.3344e-05+0.00032339i,5.1061e-05+0.00080511i,-1.7936e-05+0.00032577i,0.00021754+0.00019599i,-0.00025979+0.00030828i,-0.00078993-0.00035157i,-0.00051399-0.0003515i,-0.00030164-0.00042211i,-0.00021135-0.00034943i,-0.00053264+0.00019725i,-0.00027136-0.0005263i,0.00017465-0.00069798i,0.00043127-0.00045687i,0.00012232-0.00045232i,-0.00028869+0.00022047i,-0.00037199+0.00038038i
-0.0012775+0.00087628i,-0.0011768+0.00069208i,-0.0010614+0.00025718i,-0.00014057-0.00030163i,0.0011387-0.001128i,0.0017961-0.00088738i,0.0012719+0.00032651i,0.00089549+0.00049943i,0.0012891+0.00010651i,0.00093143-6.6975e-05i,-1.4532e-05+3.501e-05i,-0.00036247-0.00010475i,5.5791e-05-6.3712e-05i,2.0832e-05+5.4998e-05i,-0.00022078+2.6752e-05i,-0.00043085-1.0681e-05i,-3.4874e-05-0.00012431i,0.00095736+0.00016992i,0.00063859+0.00045708i,4.0004e-05+0.00012595i,0.00011+0.00040007i,0.0003569+0.00080083i,0.00014886+0.00022379i
-0.00037213+0.0017214i,0.00021796+0.00093049i,0.00046418+0.0015292i,0.00035997+9.8872e-05i,0.00066627-0.0012733i,0.0012987-0.0006692i,0.0015261+0.00019487i,0.0012258+0.00032082i,0.001581-0.00028059i,0.001525-0.00067764i,0.00074431-0.00017382i,-6.2525e-05+0.00013289i,-0.00069931+0.00011074i,-0.00057722+0.00021802i,-0.00010186-0.00028918i,0.00026678-0.00054259i,-2.0881e-05+7.2455e-05i,-0.00099728-9.8281e-05i,-0.00062276-0.00031629i,-0.00020289+0.00018397i,-0.00035803+0.0005218i,0.00016189+7.0556e-05i,0.00045103-0.00015957i
0.0010739-0.00088422i,0.00045581-0.00084484i,-0.00026611-4.4106e-05i,0.00021858+0.00052445i,0.00059955+0.00018509i,0.00043002-0.00063647i,0.00032399-0.001007i,0.00075043-0.0003926i,0.0012105+0.00018354i,0.00098602+0.00017745i,0.00036085-0.00015016i,-0.00054238-0.00026575i,-0.0008263-0.00057839i,-0.00027846-0.00076993i,0.00016481-0.00016014i,-0.00010802+0.0001609i,-9.7065e-05+0.00048533i,3.4565e-05+0.00038499i,5.7641e-05-0.00030291i,0.00034028-0.00055538i,0.00047373-0.00036232i,0.00015443+0.00011469i,0.00039971+0.00029063i
