-0.0029346+0.0001169i,-0.0030842-0.0012575i,-0.0033944-0.0018076i,-0.0024261-0.001196i,-0.0011676-0.00016985i,-0.00064082+0.001227i,-0.0003916+0.0022474i,0.00063304+0.0018489i,0.0011859+0.00039073i,0.00094932-0.00066106i,0.00043004-0.00063845i,7.6313e-05-0.00054313i,0.00063751-0.0011421i,0.00049609-0.00019158i,-4.7274e-05+0.00079412i,0.00059457+0.00068063i,0.00083798+0.0010289i,0.00055877+0.00054527i,0.00063015+8.7085e-05i,2.8389e-05-3.4787e-05i,-0.00018892-4.3749e-06i,-0.00038787+0.00035128i,-0.00026785+6.7286e-06i
-0.00080148-0.0019225i,-0.001188-0.0016311i,-0.00067044-0.0017486i,-0.00079552-0.0018875i,-0.00063881-0.0016506i,0.00029062-0.001115i,0.00060774-9.2856e-05i,-0.00053787+0.00016159i,-0.00092073-4.0785e-05i,-0.00013109+1.2034e-05i,0.00010199+0.00014194i,-0.00041706+0.00011614i,-0.0007208-5.7652e-05i,-0.00033819-0.00017908i,-5.7277e-05-0.00038339i,-5.9463e-05-0.00082277i,0.00039121-0.00078077i,0.00045805-0.00024393i,-0.000215-1.6039e-05i,-0.00028295+2.0522e-05i,-8.3675e-06+8.393e-05i,-3.7211e-05-6.8541e-05i,-0.00023748+0.00045047i
0.00061228+0.0029984i,0.00077605+0.0023777i,0.0014722+0.00059386i,0.0016368-0.00062114i,0.0011375-0.00092276i,-2.7021e-05-0.00059939i,9.6355e-05+9.1794e-05i,0.0010596+0.00050412i,0.00090479+0.00020608i,0.00036343-0.00017213i,0.00038652-0.00088476i,0.00059494-0.001496i,0.00034628-0.0011109i,-7.826e-05-0.00063221i,-0.00046769-0.00037124i,-0.00072737-0.00049637i,-0.0010858-0.00052949i,-0.00066802-0.00011296i,-0.00019219-0.00035122i,-0.00020777-0.00053522i,-0.00022079+4.6613e-05i,0.00017212-0.00012608i,-0.00014803-9.1084e-05i
-0.0018555+0.0018027i,-0.0014565+0.0017304i,-0.001334+0.0014262i,0.00039385+0.00064518i,0.0019545+0.00015848i,0.0023583-0.00011154i,0.0017655-0.00016167i,0.0010518+5.3879e-05i,0.00081964+0.00036458i,0.00082934+7.8612e-05i,0.0006166-0.00051012i,0.00020875-0.00052621i,0.00039015+0.00021516i,0.00043591+0.00072556i,0.00051706+0.00061338i,0.00089356-3.0447e-05i,0.00081136-0.00039703i,-9.9178e-06-0.00043341i,-0.00022164-0.0006249i,-6.1877e-05-0.00052437i,-0.00053892-0.00020075i,-0.0010005-5.5678e-05i,-0.00057575-9.4781e-05i
-0.0004213-0.00077366i,0.00050787+0.00032662i,-5.3396e-05+0.00033989i,0.00056013-0.00077248i,0.0014706-0.0017492i,0.0011774-0.0018093i,0.0010638-0.00054037i,0.00033288+0.00017354i,-0.0004455-0.00038537i,-0.00071037-0.00046718i,-0.0010798-0.00041968i,-0.00066841-0.00051077i,4.4343e-05-0.00038611i,2.1242e-05-0.00059423i,0.00022419-0.0006965i,0.00027474-0.00028948i,0.00016478+0.00010812i,0.00023073-0.00069788i,0.0004288-0.0013902i,0.00018605-0.00052582i,-0.00038055+0.00017426i,-0.0017157+0.00040839i,-0.0021278+7.0961e-05i
0.0014338+0.0016126i,0.0010878+0.00076803i,0.0016505+0.00024413i,0.0017164-0.00049505i,0.0010272-0.0013892i,0.00026137-0.00096795i,0.00021781+0.00042241i,0.00027464+0.0014765i,-2.0407e-05+0.0010559i,0.00039562-3.4552e-05i,0.00079381-0.00048314i,1.2018e-05-0.00037009i,-6.6234e-05-0.00027984i,0.00061844-0.00050176i,0.00016822-0.00021059i,-0.00057769-0.00027707i,-0.00080298-0.00084347i,-0.0010601-0.00068502i,-0.00096962-0.00057653i,-6.8914e-05-0.00035517i,-1.4863e-05+0.00012575i,-0.00068454-1.4462e-05i,9.9613e-05-0.00050735i
0.0030713+0.0023838i,0.0035866+0.0019954i,0.0040422+0.0019187i,0.002546-6.3753e-05i,0.0019476-0.0015983i,0.0014459-0.0010606i,0.00031902+0.00028306i,-4.6321e-06+0.00050531i,0.00015594+0.00027582i,0.0003157+0.00026406i,-0.00027635+0.0001252i,-0.000402-0.00038137i,0.0007876-0.00097562i,0.0008778-0.00076276i,0.00057603-0.00096232i,0.00031016-0.0012347i,0.00026904-0.00068041i,8.7209e-05-0.0002573i,2.8476e-05+0.00016935i,0.00045018-0.00022658i,0.00098673-0.00038196i,0.00051237+0.0003419i,-0.00040638+0.00040849i
0.0012488+0.00018034i,0.0019589+0.00032676i,0.002495+0.00016892i,0.0019716-8.5824e-05i,0.0014029-0.00071099i,0.00074723-0.0015555i,0.00097452-0.0017578i,0.00092895-0.001358i,0.00061816-0.0011442i,0.00046127-0.00057352i,0.00030936+6.2356e-05i,0.00041929-0.00019795i,0.00019413-0.00047503i,-0.00052522-0.00048662i,-0.00085152-0.00064342i,-0.00048183-0.0004199i,-0.00049125+0.00047532i,-0.00041611+0.0010353i,4.7171e-05+0.0010452i,0.00072933+0.00029783i,0.00038454-0.00029028i,-0.00029676-0.00033141i,5.7245e-05-0.0012389i
0.0023038+0.0010858i,0.0016163+0.00095094i,0.0023658+0.00062735i,0.0027959-0.00042742i,0.0021369-0.0016766i,0.00086177-0.0016506i,-4.93e-05-0.0011204i,4.6388e-06-0.0010676i,0.00081509-0.00031315i,0.001267-0.00012053i,0.001111-0.00041869i,0.00089783-0.00033695i,0.00076649-0.00022454i,0.00078839+1.7303e-05i,0.0010133+0.00045602i,0.00083077+0.00071339i,0.00070356+0.00034183i,0.00030022+0.00025787i,7.2772e-06-0.00014302i,-0.00011823-0.00082134i,-0.00014061-0.0009783i,0.00041453-0.00063999i,-1.4164e-05-3.0161e-05i
-0.0019047+0.00060821i,-0.0029909-0.00045545i,-0.0037621-0.00022728i,-0.002068-0.00029117i,6.4981e-05-0.00016745i,0.0011458+0.00032722i,0.00059796+9.7907e-05i,-0.00020212+5.9734e-05i,-0.00028064+0.00067463i,0.00014283+0.0010321i,0.00018148+0.00040522i,-0.00013404+0.00036179i,0.00015268+0.00083654i,0.00023882+0.00089268i,-8.1653e-05+0.00082929i,-0.00017864+4.859e-05i,5.6603e-05-0.00074965i,0.0008868-0.00044687i,0.00079871+0.00049877i,0.00013849-0.0001835i,-7.0851e-05-0.00060557i,-0.00029815+2.3796e-05i,-4.1784e-06+0.00034968i
-0.00085114+0.0012503i,-0.0021316+0.0014233i,-0.0023812+0.0017142i,-0.0013482+0.00087232i,-0.0005762-1.3528e-05i,-4.5036e-05+0.00042119i,-0.000208+0.0013416i,-0.00051604+0.0014335i,-7.0092e-05+0.00093183i,0.00038938+0.00069484i,3.6828e-05+0.00020421i,-0.00043091+0.00011279i,-0.000482+0.00010056i,7.562e-06-0.00067971i,0.00063165-0.0010165i,0.0011827+0.00031167i,0.00055607+0.0009856i,-0.00033012+0.00081004i,-0.00034072+7.0945e-05i,-0.00057154+4.5394e-05i,-0.00079752+0.00031456i,-0.00028838+0.00059985i,-6.4148e-05+0.00086077i
0.0013255+0.0009982i,0.0014711+0.00085809i,0.0021724+0.00059442i,0.0025019-0.00030267i,0.0023412-0.0011544i,0.0020023-0.0015781i,0.0002448-0.0010556i,0.00034701-0.00090752i,0.0016479-0.00058628i,0.0015144-0.0004611i,0.00076236-0.00095379i,8.4077e-05-0.00020846i,-0.00031148+0.000775i,-0.00021577+0.00031344i,-5.2544e-05-0.00086918i,3.3934e-05-0.0012833i,0.00034822-0.00052962i,0.00018505+0.00020523i,-0.00011694+0.00051887i,-0.0002775+0.00054117i,-0.00027085+0.00052655i,0.00013647+0.00044605i,5.322e-05+0.00021061i
-0.00086269+0.0022052i,-0.00059765+0.0029273i,-4.9659e-05+0.0026843i,0.00091643+0.0019436i,0.0013965+0.0010065i,0.00063712-1.7509e-05i,-0.00035323-1.8558e-05i,-0.00033914+0.00017269i,-2.4127e-05-0.00025792i,0.00019002-0.00034781i,0.00014223-0.0001088i,0.00011623+0.00034024i,-0.00016754+0.00025256i,-0.00035367-6.5501e-05i,-0.00055481+0.00034421i,-0.00078106+2.0918e-06i,-0.00013737-0.0003699i,0.00044926-0.00025556i,0.00074387-8.8671e-05i,0.00066478+0.00027806i,-0.00037726+0.00036939i,-0.00062359+0.00035176i,0.00035927+0.0004718i
-0.001038-7.1704e-05i,-0.00091397-0.0012366i,0.00037208-0.00071907i,0.0013098+6.3283e-05i,0.00074362-0.00014042i,6.8528e-05-0.00030427i,0.00046114-0.00044715i,0.00047243-0.00023202i,0.00063591+0.00043207i,0.00095419+0.0010806i,0.00054716+0.00063627i,-0.00036047-0.00020724i,-9.58e-07-0.00055927i,0.00055261-0.00024315i,-3.2163e-05+0.00028372i,-0.00018005-7.997e-06i,0.00048971-0.00011048i,0.00054788-0.00028123i,-0.00010415-0.00026367i,-0.00034128-0.00020648i,-0.00057473-3.3581e-05i,-0.00068422+0.0005575i,-0.00036356+0.00031884i
-0.0013669-0.0025609i,-0.00070701-0.0027911i,-0.0015176-0.0032208i,-0.001543-0.0025875i,-0.00099988-0.00073391i,0.00052709+0.00062722i,0.0012313+0.00015369i,0.00065199-0.0003262i,0.00024248+0.00037064i,-0.00017709+0.00063543i,2.5138e-05-0.00029413i,0.00033107-0.0010521i,5.197e-05-0.0011138i,0.00033079-0.00011279i,0.00039561+0.00046729i,-7.476e-05-0.00019584i,-0.00087821+0.00013388i,-0.00056887-0.0001311i,0.00053292-0.00069343i,0.00089877-0.00053972i,-3.433e-06-0.00027002i,-0.0014293-5.0826e-05i,-0.0013519+0.00065566i
-0.0018893-0.0016528i,-0.0011388-0.0012265i,-0.0014413-0.00097004i,-0.00035505-0.0011384i,0.00062488-0.00084312i,-0.00056581+0.0004547i,-0.00083982+0.00091667i,3.8616e-05+0.00060686i,0.00079148-0.00013084i,0.0012302-0.00039692i,0.00034901-0.0003471i,-0.00027705-0.00022264i,-0.00037776+0.0001424i,-0.0005613+0.00011013i,-0.00039424+0.00011508i,-0.00012405+0.00023988i,-0.00027647+0.00043797i,-0.00021784+0.00034886i,8.2614e-05-0.00026887i,7.1234e-05-0.00021813i,0.0004523+0.00014935i,0.0009318+0.00040416i,0.00079731+0.00017991i
9.1091e-05+2.7535e-05i,0.00078947+0.00052601i,0.00079597+3.1349e-05i,0.00063931-0.00087898i,0.0014659-0.00053465i,0.0020621+0.00040374i,0.0017012+0.0009465i,0.00097759+0.0010394i,0.0008526+0.00090633i,0.0011328-1.9363e-05i,0.00051663-0.0013179i,-0.00041463-0.0011343i,-0.00054669-0.0001996i,-0.00030268-0.00021263i,-0.00037043+4.6263e-05i,-0.00012224-4.2418e-05i,0.00059815-0.00069699i,0.00072854-0.00056743i,0.00045578-0.00020309i,0.00015227-0.00028607i,0.00025377-0.00042579i,-0.00010429-0.00025344i,-0.00021426+0.00040219i
0.00012058+0.0034588i,-0.00099492+0.0035115i,-0.00017066+0.0026378i,0.0011493+0.00069097i,0.0015862-0.0004234i,0.001384-0.0013656i,6.46e-05-0.00097417i,-0.00054883-0.00055172i,-6.9602e-05-0.0011174i,0.00047968-0.0012438i,0.0002222-0.00088318i,-0.00063872-0.0001939i,-0.0011463+0.00045921i,-0.00047738+0.0003316i,0.00089412+0.00038077i,0.0011324-1.9381e-05i,0.00020622-0.00037377i,-0.00019455-0.00035202i,9.3578e-05-0.00048174i,-0.00027546-2.5545e-05i,-0.00083287+5.5825e-05i,-0.00039394-0.00010633i,-0.0002615-0.0002515i
0.0032604-0.001086i,0.0031194-0.0016338i,0.0033843-0.0024985i,0.0028151-0.0027298i,0.001424-0.0031384i,-0.00013381-0.0010824i,7.2668e-05+0.00067235i,0.00098741+0.0007873i,0.00096714+0.00040407i,0.00031186+8.7572e-05i,-0.00037332+0.0003028i,0.00016791-0.00034803i,0.00066323-0.00052594i,0.00048438+0.00013032i,0.00013077+0.00019471i,-0.00041045-7.8906e-05i,-0.000578-0.00024308i,-0.00025092-0.00051409i,-0.00042654-0.00055238i,-0.00061797+1.0321e-06i,-0.00020259+0.00038602i,-0.00024192+0.00045572i,-0.0010378+0.00036158i
-0.00013674-0.0012951i,0.00021489-0.0021593i,-0.00039836-0.0017304i,-7.7696e-07-0.00070193i,-0.00015006-0.00041339i,-0.00023998-0.00054568i,0.0005536-0.00062234i,0.00085557-0.00025278i,0.00070953+0.00096771i,0.00020826+0.0012017i,0.00072543+0.00031084i,0.00084752+0.00050702i,-0.00026042+0.00043935i,2.178e-05-0.00038065i,0.0002919-0.00022511i,-0.00014548+0.00056214i,-0.00045424-0.00012842i,-0.00044673-0.0014813i,-0.00047081-0.00094601i,-0.0012164-0.00030148i,-0.0010772-3.2271e-05i,-0.0008733+0.00011025i,-0.00096256+8.5492e-05i
-1.2002e-05+0.0001979i,0.00038773-0.0010362i,0.0010452-0.0009603i,0.0015949-0.0007661i,0.00072728-0.0010728i,-3.595e-05-0.0008583i,-4.0913e-05-0.00029706i,-0.00029377-2.5245e-05i,-6.7789e-05+0.00015241i,0.00082634-0.00033033i,0.00154-0.0003491i,0.0010641+0.0002584i,-0.00073958+2.4624e-05i,-0.0011725-0.00017136i,-0.00067272+4.0536e-05i,-0.00091989-0.0006617i,-0.00095775-0.00077577i,-0.00029785-0.00045474i,0.00012434-0.00049595i,-0.00044781+9.3265e-05i,-0.00085961+0.00055751i,-0.00034292+0.00087677i,0.00050373+0.0011573i
-0.00050665+0.00046647i,-0.00075369-0.00022494i,-0.00072573-0.0003695i,0.00040036-0.0010114i,0.0012375-0.0015411i,0.00038239-0.0008992i,-0.00065742+0.00036027i,-0.00017316+0.00074056i,0.00053034+0.00032876i,0.00093638-0.00027098i,0.0004265-0.0011717i,-0.00017996-0.0014334i,-2.6108e-05-0.0014011i,-0.00024119-0.00089939i,-0.00086406-0.00036265i,-0.00059973+1.0051e-05i,0.00026889+4.5798e-05i,0.00071255-0.00049568i,0.00052615-0.00043444i,0.00021117-1.747e-05i,-0.00050012+0.000591i,-0.0005249+0.00018338i,0.00046042-0.00091736i
0.00062966+0.00048969i,0.00055145+0.00022583i,0.00017452-0.00070834i,-0.00045518-0.0021325i,-1.0822e-05-0.0017364i,0.0004267-0.00032862i,0.00028583-0.00033679i,0.00023993-8.036e-05i,0.00015852+5.2308e-05i,-2.6449e-05-0.0010338i,-0.00017911-0.0013446i,-0.00033606-0.00081997i,-0.00041862-0.00061123i,-0.00043236-0.00018736i,-0.00015595+0.000567i,-9.3539e-05+5.9656e-05i,-0.00058013-0.00098247i,0.00010889-0.00058422i,0.00070979-0.00024395i,3.2684e-05-0.00051357i,-0.00058526-0.00012488i,-0.00031096-3.4296e-05i,-0.00064008+0.00014451i
0.00025746+0.00028755i,0.00048749+0.0010601i,0.0010322+0.001548i,0.001358+0.00047991i,0.0011903-0.00048115i,0.0001198-0.00021653i,-0.00035162+0.00017855i,3.9889e-05+0.00013653i,0.00048096-7.2708e-05i,0.00023089-2.047e-05i,-0.0001655+5.2581e-05i,-0.00075665-1.2741e-06i,-0.0010665+0.00014425i,-0.00097876+9.4618e-05i,-0.00056736-0.00012769i,-0.00037227+0.00012117i,-0.00060779+0.00019327i,-0.00018749+0.00027699i,0.00014375+2.7269e-05i,-0.00039297-0.00076422i,-0.00094039-0.000803i,-0.0011451-0.00010578i,-0.0011436+0.00032812i
0.00040791-0.00014579i,0.00089244-0.00017787i,0.0010009-0.00059499i,0.0015685-0.00076773i,0.001954-0.00063392i,0.00097648-0.00030416i,-0.00014313+3.9175e-05i,-0.00075357+0.00042566i,-0.00074416+6.5215e-06i,0.0003963+6.2238e-05i,0.00088807+0.00091773i,-0.0001159+0.00055712i,-0.0006164+0.00054052i,-0.00073537+0.0008341i,-0.0004416+0.00035018i,0.00051236-0.00022261i,0.00027914+5.1355e-07i,-0.00046147+0.00043965i,-0.00010996-0.00054739i,8.3736e-05-0.00071274i,-0.00020296+0.00016305i,-1.9281e-05+0.00077225i,0.00049578+0.00077356i
-0.0021082+0.0010554i,-0.0014531+0.00046706i,-0.00020036+0.00042176i,0.0008084-8.227e-05i,0.00033846-0.00061135i,-0.00088677-0.00032676i,-0.00060295+9.1796e-05i,-0.00046689+0.0002776i,3.9417e-05+0.00095516i,0.00042889+0.0015102i,9.2638e-05+0.00068139i,0.00073415+0.00051398i,0.0010979+0.0011624i,-0.00024876+0.00072128i,-0.0010726+0.00083999i,-0.00046916+0.00022598i,-0.00026803-0.0005479i,-0.00014858-8.2827e-05i,0.00016437-0.00015083i,-1.4427e-05-0.00070118i,-0.00057663-0.0001463i,-0.00049459+0.00023847i,0.00020909+0.00025691i
0.0010262-0.001785i,0.00068213-0.0026537i,0.0016796-0.0032288i,0.00088729-0.0018995i,-0.00034576-0.0011076i,-0.00027984-0.00040538i,0.00034019+0.0004391i,-0.00016536+0.00029318i,-0.00061403+0.00028743i,8.9623e-05-0.0001895i,0.00057795-0.0004181i,1.78e-06+0.00027737i,-0.00048751-0.0002833i,-0.00035701-0.00083751i,3.9082e-05-0.0010395i,-0.00040155-0.001015i,-0.00070363-0.00076055i,-0.00024242-0.0013017i,0.0002846-0.0016058i,0.00060207-0.00072793i,7.4715e-06-0.00041916i,-4.4805e-05+3.4035e-05i,0.00055804+0.00062816i
-0.000612-0.00018249i,-0.00029912-0.0002387i,-7.5416e-06+0.00026658i,0.00072769+0.00024077i,0.0011111+0.00040797i,0.001018+0.00020201i,0.001079+0.00019967i,0.00092559+0.0011141i,0.00069419+0.0016911i,0.00091414+0.00075071i,3.1017e-06-0.00041067i,-0.00085885-0.00051664i,-0.00038434+9.6845e-05i,1.7748e-05+0.00079174i,-5.9313e-05+0.0006176i,-0.00040496+0.00015646i,0.00039758-0.00053481i,0.00073701-0.00062765i,0.00046969-0.00056027i,0.00028097-0.00011906i,0.00036067+0.00039424i,0.00049206+0.00024664i,0.00033399-6.5603e-06i
0.0005855+0.00028458i,0.00021081+0.0011602i,0.00077781+0.00064688i,0.0014053-0.00074664i,0.0015622-0.0014248i,0.0014389-0.0010629i,0.0015211-6.4988e-05i,0.0018965+0.00053478i,0.0015156+0.00051151i,0.00079521+0.0001969i,0.00083575-0.0004294i,3.7624e-05-0.0002408i,-0.0011855-0.00036188i,-0.00083294-0.00046001i,-9.5302e-05-0.00010044i,5.681e-05+0.00026813i,0.00058768-0.00010146i,0.00076989-0.00025827i,-0.00023873+0.00032945i,-0.00042085+0.0011879i,0.0002285+0.0010075i,0.00026956+2.2817e-05i,-0.00018436-0.00039474i
-2.1892e-05-0.0002558i,0.00038781-0.0005799i,0.0005969-0.00039673i,0.00079263-0.00067971i,0.001978-0.00084393i,0.0015256-0.00066087i,0.00060228-0.00047647i,9.351e-05-0.00024602i,-0.00017786-0.00061201i,1.0046e-05-0.00075732i,0.00015678-0.00016275i,0.00014273+0.00038688i,-0.00068509+0.00038963i,-0.0008075+0.00045143i,-0.00010637+0.00053928i,1.1854e-05+0.00024299i,0.00011436+0.00011145i,-0.00017901-0.00065917i,-0.00038122-0.0012205i,-0.00025013-0.0010943i,-0.00041764-0.00017563i,-0.00046235+0.00044887i,0.00030551+0.00039887i
-0.0014304-0.0022123i,2.4465e-05-0.00091228i,-0.00032054+0.00078682i,-0.00038686+0.00057292i,1.6754e-06+0.0003857i,0.00012166+0.00046451i,-0.00017417+2.14e-05i,-0.00080793-0.00010435i,-0.00055077-0.00012576i,0.00037912+2.248e-05i,0.00075134+0.0006651i,0.00048461+0.0014081i,-6.2387e-05+0.0014003i,-0.0001933+0.0011614i,0.00029872+0.00060817i,2.6149e-05+0.00019583i,-0.00032172+4.5045e-05i,-0.00029596-0.00013411i,0.00022716-0.00071609i,2.6012e-05-0.0006359i,-0.00053942+0.00028171i,0.00010425+0.00068152i,9.209e-05+0.00024275i
0.0013807-0.0027203i,0.0017859-0.0027688i,0.0013779-0.0040317i,0.00083245-0.0033035i,0.00052174-0.0016893i,0.0008755-0.00061706i,0.00077674+0.000401i,-6.3602e-05+0.00073004i,-0.00083813+8.4904e-05i,-0.00096277-0.00071282i,1.4168e-05-0.00072048i,-0.00010157-0.00069739i,-0.0011727-0.00025618i,-0.00099391+0.00014333i,-5.3234e-05+0.00044913i,0.00010928+0.00057636i,5.3443e-05+0.00048421i,-0.00013135+0.00024893i,-0.00087182-0.00058546i,-0.00069067-0.00128i,0.00021436-0.00069361i,0.00043774-0.00018337i,0.00033974-0.00019158i
0.0011773-0.0010378i,0.00079595-0.0010191i,-0.0001228-0.0021017i,9.3402e-05-0.002111i,0.00047223-0.00098681i,0.00016724-0.0003462i,-0.00035376+0.00031897i,-0.00055313+0.00093257i,-0.00043492+0.0012282i,-0.00045033+0.0006003i,-0.00015836-0.00075056i,-0.00013133-0.0008003i,-7.3828e-05-0.00040192i,0.00042222-0.00027752i,0.00046925+0.00030402i,-0.00056293-0.00028735i,-0.0008901-0.00042412i,-0.00054066-0.00021133i,-0.00088794-0.00041612i,-0.0011319+0.00061749i,-0.00041043+0.0016711i,-0.00049058+0.0015071i,-0.00073498+0.00068902i
4.5967e-05-0.00054634i,-0.00029979+0.00039973i,7.9855e-06-0.00068275i,0.00035274-0.0013524i,0.00039809-0.00091631i,0.00021934-0.00058472i,0.00062304+0.00065305i,0.00094941+0.0012245i,0.00015106+0.00042536i,0.00055181+0.00022343i,0.00041121+0.00083462i,-0.0006824+0.00053148i,-0.00033529+0.00037512i,-0.00026027+0.00052284i,-0.00036453+0.00038999i,-8.2721e-05+0.00028329i,4.6533e-05+6.6799e-05i,-0.00019789+0.00031827i,-0.00086088+0.00069855i,-0.00034713+0.00014181i,0.00046561-0.00076354i,0.00029358-0.00058625i,0.00059411+0.00022809i
-0.0015296+0.0038574i,-0.0018028+0.0046483i,-0.0013131+0.0048966i,0.00038955+0.0028509i,0.0015028+0.00038898i,0.00044236-0.00055677i,-0.00029315-0.00022888i,-0.00023907-6.9116e-05i,-4.4495e-05+0.0007522i,-3.8297e-05+0.0011504i,9.8107e-05+0.00035846i,-0.00031119-3.6963e-05i,-0.00066056+1.5662e-05i,-0.00045804-2.9375e-05i,-0.00053083-0.00028639i,-0.00017927+0.00047755i,0.00052949+0.0010175i,0.00054459+0.0005243i,-0.00014798+0.00013113i,-0.00082611+0.0006491i,-0.0010131+0.00066755i,-0.00043043+0.00026404i,0.00035052+0.0006128i
0.00072392-0.00043143i,0.00085386-0.00038732i,0.0016831-0.00063973i,0.0017488-0.0014192i,0.0010676-0.0015069i,-0.0003878-0.00077946i,-0.00070144+0.00030728i,0.00057887+0.00061845i,0.00096702+0.00034616i,0.00095937-8.8577e-05i,0.00035393-0.00071714i,-0.00096324-0.00073682i,-0.0012031-0.00022723i,-0.00065666+0.00056642i,-0.00048744+0.00075086i,-0.00060141+0.00026161i,3.7251e-05-0.00030068i,-2.9138e-07-0.00061943i,-0.0002916-0.00038339i,-0.00018187-0.00020108i,5.643e-05-3.266e-06i,-0.00062268-0.00038006i,-0.00038255-0.0012569i
-0.0010443+0.00023717i,0.00059077-0.00074574i,0.0015593-0.00094811i,0.0012579-0.00072937i,0.0017144-0.00080579i,0.0008616-0.0012461i,-0.0006262-0.0011305i,0.00054579-7.1719e-06i,0.0013256+0.00020385i,0.00067801+0.00012274i,-0.0003868+0.00010505i,-0.00094823-0.0006277i,-0.0008084-0.00018674i,-0.00079071+0.0007825i,-0.00016158+0.0012915i,0.00082752+0.00092114i,0.0011828+0.00022355i,0.00026195+1.8449e-05i,9.269e-06-2.6525e-06i,-0.00020046+8.3727e-05i,-0.00067039-2.6395e-05i,-0.00056567-4.7527e-05i,-0.00032767+0.0003419i
-0.0017006-0.00015568i,-0.0012601+0.00024587i,-0.00093673-0.00018759i,-0.00098099-0.00077098i,-0.00034632-2.6103e-05i,0.00031989+0.00088008i,0.00072228+0.0012715i,0.00066687+0.00051152i,-0.00012901-0.00029074i,-0.00068994-0.00028339i,8.3783e-05+0.00024508i,8.9294e-06+0.00046144i,-0.00045423-0.00028894i,0.00024905-0.00064379i,0.0005315-0.0005268i,-2.687e-06-0.00057709i,3.2725e-06-0.00020911i,0.0001557-6.8613e-05i,-0.00030231-0.00046388i,-0.00073934+3.0942e-05i,-0.00029323+0.0006792i,2.1818e-05+0.00085331i,0.00012331+0.00063506i
-0.0015537+0.00058557i,-0.0019047-0.00089726i,-0.0012071-7.1705e-05i,0.00035176+0.00038642i,0.0006866-0.00043065i,0.00067073-0.0011736i,0.00097189-0.00047037i,0.00043404+0.00070168i,0.00043789+0.00052671i,0.00048046+0.0005119i,-7.3829e-05+0.00034948i,-0.0001393-0.00051122i,-0.00010846-0.00029586i,9.8232e-05-0.00034917i,2.5682e-05-0.00070197i,9.3331e-05-0.00094894i,0.00029299-0.00064769i,-0.00070358+5.4218e-05i,-0.00077016+1.9119e-05i,-9.9758e-05+0.00026152i,0.00017604+0.00012981i,-0.00041617+6.7958e-05i,-0.00084756-0.00042881i
0.0004811+0.00069472i,0.00053976-0.00019884i,0.00096052-0.00098601i,0.00095316-0.0015868i,0.00097939-0.0013998i,0.0011658-0.00095838i,0.00097231-0.0008238i,0.00096759-0.00037209i,0.0004051+0.00030941i,0.00049189+0.00063249i,0.0011211+0.00053756i,0.0006685+0.00072057i,-0.00025761+0.00024984i,-0.00032649-0.00048928i,0.00043351-0.00096349i,0.00077336-0.00047275i,-0.00010348+0.00041632i,2.2832e-05+0.00014338i,0.00074258-0.00032246i,0.00084259-0.00061634i,0.001018-0.00056117i,0.00051254-0.0006055i,1.0722e-05-0.00027352i
-0.0022395+0.0018763i,-0.0022408+0.0023032i,-0.00070962+0.0021826i,0.00066991+0.00077194i,0.0019985-0.00013081i,0.0015736-0.00031978i,0.00036246-0.00052573i,-0.00036+0.00012656i,-0.00010801+0.00029477i,0.00011978+0.00082816i,0.00022385+0.0014953i,0.00053314+0.00050346i,0.00065314-0.00025979i,0.00038148-0.00044629i,-0.0006064-0.0006621i,-0.0012756-0.00055773i,-0.00077868-0.00026249i,-0.00024778+0.00032197i,-0.00019648+0.00037674i,-0.00011581-6.5153e-05i,0.00021212-8.9371e-05i,0.00086288+0.00041759i,0.00030075+0.00048486i
0.00040758+0.00012998i,0.00015204-0.00043119i,0.00023785-0.00012536i,0.0012907+0.00044694i,0.0017634+0.00024275i,0.00099702-0.00084951i,0.0001756-0.00042985i,0.0005102-3.4564e-05i,0.00085772+0.00019594i,0.0013472+0.00042686i,0.00076899-0.00011049i,-0.00011232-0.00039589i,0.00047755-0.00099477i,0.00098135-0.00055737i,0.00022811+0.00057758i,0.0002768+0.00028338i,0.0013721-0.00010097i,0.0011979+7.3449e-05i,0.00018302-0.00074813i,-0.00054105-0.0010938i,-0.00026531-0.00021074i,0.00012373+0.00030119i,0.00010248+8.7378e-05i
0.00031129-0.000215i,-0.00024271+0.00028911i,-0.0005473-0.00032253i,-0.00012649-0.0014056i,0.00067577-0.0010853i,0.00074645-0.00071716i,0.00029495-0.00088326i,0.00062174-0.0011037i,0.00082894-0.00096926i,0.0010472-0.00090571i,0.00015018-0.00083337i,-0.00016402-0.00098722i,0.00035021-0.00061702i,0.00017267-0.00032412i,5.7635e-05-0.00045214i,9.6709e-05-0.00045869i,0.00037224-0.00028082i,0.00029565+0.00028751i,0.00022892+0.00019094i,-0.00068471-0.00023931i,-0.0015278-1.0993e-05i,-0.0013143-2.5558e-05i,-0.00089465-0.00027036i
