-0.0045294-0.00070519i,-0.0051468-0.00069731i,-0.0058067+0.0006856i,-0.0053892+0.0026609i,-0.0038424+0.0026095i,-0.001796+0.0033662i,-0.00061503+0.003438i,-0.00054211+0.0017991i,-0.00064192+0.0013539i,4.4147e-05+0.0016365i,0.0013961+0.00052256i,0.0018201-0.00067874i,0.0010499-0.0011313i,0.00020903-0.00086977i,-0.00038128-0.0012114i,-0.0003955-0.0010341i,-0.00050997+0.00038535i,-0.00020974+0.001195i,8.6381e-05+0.0010722i,-0.00071233+0.00041429i,-0.0014361-0.00052515i,-0.0006251-0.00045941i,0.00031801+0.00037794i
0.0013546+0.0022429i,0.0016924+0.0011118i,0.0013978+0.0010209i,0.00025899+0.00049005i,-0.00036748+0.00026081i,-2.4782e-05+0.00063575i,0.00059297+0.00043982i,0.00033324+0.00019182i,-0.00043358-0.0002075i,-0.00040613-0.00012562i,0.00039692+0.0004815i,0.0010658+0.00097522i,0.00010608+0.00088816i,-0.0004882+0.00083795i,0.0002916+0.00081097i,0.00028082+0.0003167i,-0.00080174+0.0002944i,-0.00073294+0.00049805i,-0.00030309+0.00026665i,-0.00032442-0.00026065i,-0.00038922-0.00015058i,-0.00033062+0.00052257i,-8.9875e-05+0.00056347i
0.00069504+0.0031733i,0.00078889+0.0032002i,0.0016408+0.0029395i,0.0015941+0.0019031i,0.00013551+0.00052473i,-0.00054261-0.0002517i,0.00012956-0.00047891i,0.00058829-0.0010053i,-0.00058384-0.00067121i,-0.00083085-2.2865e-05i,0.000741+0.00051962i,0.00070252+0.00057217i,-9.8938e-05+0.00033924i,-0.0005841+0.00078302i,-0.00053268+0.0013761i,0.0005263+0.0012364i,0.0011172+0.0010794i,0.00032732+0.0010931i,4.5267e-05+0.0011183i,0.00015322+0.00093423i,-0.00035724+0.00034413i,-0.00066897-0.00093073i,-0.00044795-0.0013163i
0.0022006+0.00074317i,0.0010413-0.00098763i,0.00084346-0.0022921i,-8.0784e-05-0.0027491i,-0.0011778-0.0019244i,-0.00086509-0.001098i,0.00016113-0.0010899i,0.00068814-0.00053938i,0.00014195-0.00019996i,0.0001946-9.3703e-05i,-0.00026088+0.00061938i,-0.00099906+0.0010597i,-0.00059219+0.00060637i,0.00026127-0.00021902i,0.0010763-0.00024693i,0.001027+0.00051094i,0.00077027+0.00070181i,0.00023392+0.00030803i,-2.307e-05-0.00016308i,0.0003196-0.00091825i,0.00051166-0.0010183i,0.00015308+1.6223e-05i,3.4825e-05+0.00025633i
0.0011138-0.0028673i,-0.00017419-0.0022894i,-0.00033996-0.0021545i,-0.00083986-0.0013787i,-0.0022737-0.00065032i,-0.0016053-6.993e-05i,-0.00041235+0.0006191i,-0.00011863+0.00043083i,-0.00057378+0.00011387i,-0.00073403+0.00074632i,-0.0010119+0.0011178i,-0.00030636+0.00070978i,0.00072721+0.00034679i,0.0010762-0.00018847i,0.00044157-0.0003988i,-9.0446e-05-6.3075e-05i,-0.00042808+0.00054179i,-0.0010177+0.00036461i,-0.00061123+0.00058119i,0.00033237+8.2767e-06i,0.00071058-0.00062465i,0.00035705+0.00032981i,0.00024745+0.0010599i
0.00057674-0.00054371i,0.00042591-0.00067593i,-0.00019472-0.00064435i,-0.0011347-0.00017771i,-0.0014028+0.00027725i,-0.0010694+0.0011413i,-0.00060897+0.0014384i,-0.0004005+0.00069161i,-0.00073262-0.00022524i,-0.00073427-0.00037829i,-0.00044758+0.00028809i,0.00054306+0.00050003i,0.00076801+0.00017988i,0.00047737+0.00022876i,0.0012591+9.5356e-05i,0.00065266-0.00026234i,-0.00028128-0.00016755i,-0.00035569+0.00013994i,-0.00037444+0.00011281i,-6.0192e-05-0.00068593i,0.00022712-0.00074797i,0.00089825-0.00056455i,0.001312-0.00016399i
0.00034999+0.00047048i,0.0012011+0.00066457i,0.0017944+0.00018384i,0.0016875+0.00042915i,0.0014577+0.0015926i,0.00028846+0.0019809i,-0.00024684+0.0012288i,-0.00047535-0.00011072i,-0.00068064+0.00011773i,-0.00064321+0.00096804i,-0.00059333+0.0010212i,-0.00063029+0.00089178i,4.803e-05+0.00036354i,0.00077739-0.00013068i,0.00037323-9.2639e-05i,-0.00031865-0.00015837i,2.7424e-05-0.00070491i,0.00033334-0.00020543i,9.6603e-05+0.00055927i,1.789e-05+0.00048546i,8.4044e-05+6.2275e-05i,-7.1982e-05-3.1286e-05i,7.7989e-05+0.00025477i
-0.00051505+1.0025e-05i,-0.0017714+0.00028943i,-0.0033674+4.7916e-05i,-0.0031661+0.0004658i,-0.0021092+0.00036147i,-0.0012024-0.00035986i,-7.2524e-05-0.00048466i,0.00035104-0.00035928i,0.00036179-9.556e-05i,0.00019659-0.0002285i,-0.00018841-0.00049255i,-0.00038849-7.6492e-05i,0.00020376+0.00077138i,0.00018518+0.00099823i,3.0407e-06+0.00072416i,-5.6672e-05+0.00073358i,0.00012422+0.00079821i,0.00017518+0.00098155i,-0.00027172+0.00085966i,-0.00054555+0.0004068i,-0.00010714-0.00037323i,0.00012183-7.6214e-05i,-0.00024071+0.00019866i
-0.00016488+0.0019472i,0.00012106+0.0020665i,-0.00023513+0.0016161i,-0.00057858+0.00083663i,-0.00037732-0.00033433i,0.0002894-0.00061756i,0.00066212-0.00061015i,0.00027092-0.0010114i,-9.2155e-05-0.0013315i,0.00025361-0.00049729i,0.00093854+0.00012197i,0.00043961-0.00011893i,-0.00063156+0.00028376i,-0.00040838+0.00026708i,0.00057527+0.00022875i,0.00081453-3.1472e-05i,-0.00029648-0.00011734i,-0.00085402+0.0007589i,-0.00067026+0.00071989i,-0.00043476+0.00063384i,0.00022033+0.00067202i,-7.0004e-05+0.00025266i,-0.00031712+0.0001211i
0.0003093+4.2426e-05i,0.00030905+0.00087096i,-0.00095972+7.0941e-05i,-0.0019326+4.9032e-05i,-0.0017105-7.7314e-05i,-0.001505-8.1101e-05i,-0.0008903+0.00020709i,-0.00043865-0.0005733i,-0.0011307-0.00013437i,-0.0011969+0.00027524i,-0.00033036-0.00013063i,0.00036962-0.00023721i,0.00072987+0.00074882i,0.00048746+0.0016589i,0.00014448+0.00096772i,-0.00039458+1.4339e-05i,-0.00051681+0.00011471i,0.00012179+0.00019346i,0.00037497-0.00048176i,-2.3863e-05-0.00091257i,9.8263e-05-0.00096824i,-2.8087e-05-0.00074711i,-0.00028597-7.4494e-05i
0.00071493+0.0023275i,-2.9465e-05+0.0013971i,-0.00021801+0.00050505i,-0.00029445-8.7481e-05i,-0.00097099+0.0007271i,-0.00075467+0.001701i,-7.4422e-05+0.0013273i,-9.8376e-06+0.00036013i,-0.0005827-0.00013556i,-0.00097796+0.0001212i,0.00021449-0.00011806i,0.0014588-0.0001587i,0.00099186+0.000824i,-0.00018144+0.0010785i,-0.00012562+0.00047194i,0.00015565-6.082e-05i,0.00028307-6.9356e-05i,0.0011443-0.00031629i,0.00036385-0.00030646i,-0.00097417-6.2631e-05i,-0.00059714-0.00051914i,0.00017454-0.0010985i,0.00025994-0.00048852i
0.0012537+0.00011233i,0.0017539+0.00092175i,0.00086131-0.00045799i,-0.0012234-0.00099721i,-0.0018708-0.0007671i,-0.0016445+0.00064625i,-0.0017716+0.00058135i,-0.0014266-0.00034918i,-0.00026587-0.00081618i,0.00023818-0.0006358i,0.0006947+0.00056263i,0.00055996+0.0012426i,-0.00020912+0.00081461i,0.00046172+0.00074065i,0.00093787+0.0010401i,0.0005897+0.0011863i,0.00060107+0.0012179i,0.00070392+0.00023413i,0.00034333-0.00057634i,0.00025253-0.00040931i,0.00065186+2.0293e-06i,0.00028779-3.3978e-05i,0.00020801-0.00030154i
0.00013972-0.00094256i,-0.00016546-0.0012608i,-0.0012264-0.0017894i,-0.0027411-0.0024059i,-0.0030399-0.0020244i,-0.001786-0.00089171i,-0.00039391+6.703e-06i,-0.00034069-0.00031284i,-0.00051639-6.2757e-05i,-0.001021+0.0007864i,-0.00056273+0.00049349i,0.00025844+2.0431e-05i,0.00097264-0.00058727i,0.00077638-0.00065314i,0.00029406-0.00010024i,-0.00024139-0.00025756i,-7.8762e-05-1.3409e-06i,0.00064957+0.00033307i,0.00084477-0.0004187i,0.00060768-0.00081058i,6.9283e-05-0.00050152i,0.00071546-0.00022152i,0.0014031+0.00046916i
-0.00073483+0.00021961i,-0.00012959-0.0014198i,0.00062868-0.0015532i,0.00029921-0.00078532i,-0.00079909-0.00038487i,-0.0013613-0.00043602i,-0.00061956-0.00041432i,-2.0945e-05-0.00016853i,-0.00066115-0.00026132i,-0.00061256-0.00041256i,0.00051909+0.00010554i,0.0006933+1.0003e-05i,0.00010808-0.00023719i,0.00010719+0.00012326i,0.00054992-0.00045368i,0.00072347-0.0010465i,0.00061246-0.000214i,0.0002117+0.00073297i,-0.00020203-7.8505e-06i,-0.0002508-0.00041559i,-0.00019294+0.00037525i,-0.00042544+0.0011726i,-0.00060077+0.0013023i
-0.00039997+0.0014443i,-0.00080757+0.0020359i,-0.00095242+0.0022473i,-0.0012478+0.0015614i,-0.0019616+0.0003213i,-0.0020703-0.00048067i,-0.00088655-0.00032853i,-0.00024434-0.00047518i,0.00019969-0.00038806i,0.00072657-0.00016912i,0.00063212-0.00031404i,0.00049563-0.00099722i,6.8708e-05-0.00077277i,-0.00013925-0.00022857i,0.00011944-0.00037657i,0.00022464-0.00055665i,0.00048171-0.00037055i,0.00058155+8.988e-05i,0.00064529+0.00061317i,0.00032655+0.00081349i,-4.9301e-05+0.00075975i,-0.00047135+0.00061191i,-0.00062781+0.00039164i
-0.00047295-0.00033986i,-0.0013714-0.00071614i,-0.0015327-0.00069549i,-0.0016622-0.00073859i,-0.0018792+2.9373e-05i,-0.00040746+0.0011388i,0.00078322+0.00057907i,0.0010203-0.00050644i,0.0002098-0.00050554i,-0.00035486-0.00027041i,0.00018645+0.00075657i,-1.5058e-05+0.0013648i,-0.00011898+0.00093796i,0.00047453+0.00022614i,0.00038507-0.00012084i,0.00014826-0.0001271i,0.00023927+0.00016145i,0.00061397+4.1636e-05i,0.00088682-0.00039896i,0.00048741-9.9483e-05i,0.00049109+0.0001713i,-0.00034444-0.0001273i,-0.0015437+0.000188i
0.0014909+0.00074954i,0.0017115+0.00085795i,0.0017568+0.00078167i,7.8732e-05+0.00029226i,-0.0013505+0.00014553i,-0.0014646+0.00013717i,-0.0010657-0.00057686i,-0.00033938-0.00015946i,-0.00096019+0.00092713i,-0.001959+0.00096932i,-0.00099341+0.00060016i,0.00025126+0.00056901i,0.00053675+0.0008789i,-0.00011181+0.00097843i,-0.0003814+0.00085051i,-0.00013873+0.00027565i,0.0001778-0.00061309i,0.00070928-0.00058346i,0.0011342-0.00028486i,0.0005888-0.00017224i,-0.00056677-6.2896e-05i,-0.00032008-0.000406i,0.0004444-0.00012196i
0.001584-0.0012188i,0.00080488-0.0010455i,0.00043137-0.0013146i,-0.0010284-0.00093866i,-0.002055-9.2413e-05i,-0.0014747+0.00082388i,-0.0005742+0.00046275i,-0.00039391-0.00017503i,-0.00086878-0.00046613i,-0.00058403-6.5843e-06i,-0.00012712+0.00061839i,-3.1362e-05+0.0012774i,0.00026938+0.0017065i,0.00058073+0.00060914i,0.00082883-0.00041116i,-7.3002e-05-0.00045645i,-0.00070283-0.00034656i,-0.00033892-0.0001971i,7.249e-05-5.9957e-05i,-0.00024604+0.00013379i,-0.00019759-4.5044e-05i,-0.00018285-0.00055086i,-0.0012739-0.00064995i
-0.00047048+0.0009724i,-0.00069093+0.0017792i,-0.00016073+0.0024922i,-0.00060677+0.0028858i,-0.00027161+0.0020456i,-3.9939e-05+0.00085234i,3.3659e-05-0.00013985i,0.00058287-0.00031878i,0.00026347-0.00013608i,0.00031591+0.00049469i,0.00029693+0.00051399i,-8.0388e-05+0.00024122i,0.00014632+4.501e-05i,0.00011274-6.0134e-05i,-3.6866e-05+9.2364e-05i,0.00020673+2.1281e-05i,0.00040603+6.759e-06i,2.2735e-05-0.00022252i,-0.00060584-0.00054355i,-0.00037612-0.00035549i,0.00069081+0.00018312i,0.0010197-0.0001976i,0.00040169-0.00065417i
-0.0019661+0.00094887i,-0.0024406+0.0010281i,-0.0022763+0.00032733i,-0.00205-0.00046397i,-0.0017885-0.00045659i,-0.0006543-0.001197i,0.00028852-0.0012543i,0.00025026-0.00064286i,-0.0001023-0.00016833i,-0.00018872+0.00028249i,0.00074218-0.00015992i,0.001284-0.0001663i,0.0010205+0.00025896i,0.00069762-0.0004327i,0.00056737-0.0005118i,0.00020528-0.00033134i,0.00048966-0.00017308i,0.0006991+0.00035624i,0.0007269+0.00051816i,0.00082198+0.00026i,0.00079499-0.00050871i,0.00067609+1.5446e-05i,-2.4084e-05+0.00072443i
0.001643+0.00063027i,0.0018094-0.00050449i,0.0018725-0.00075025i,0.0010074-0.00051686i,-0.00026428-0.00034862i,-0.0006329-0.00018896i,-0.00033972-0.00046289i,0.00054294-0.00020962i,0.00076086+0.00017863i,0.00057362-0.00026894i,0.00026059-0.0006031i,-0.0003276+0.00049136i,-0.00067786+0.0010813i,-0.00051846+0.00031434i,-0.00033448+0.00019595i,-0.00057248+0.00083081i,-0.00030565+0.00066432i,0.00011479+0.00019671i,0.00026317+0.00027245i,0.00051138-0.00024593i,0.00016587-0.00055041i,3.5898e-05-0.00012862i,0.00019297-0.00028951i
-0.00037989+0.0012559i,-0.00051398+0.0013519i,0.00019314+0.0017956i,-0.00025177+0.0019822i,-2.7913e-05+0.00080822i,0.00038978-0.00045274i,-0.0002308-0.00033422i,-0.00011591-0.00017021i,-8.7308e-06-0.00037232i,-8.9027e-05+2.5639e-05i,-0.0001078+0.00058268i,-0.0005488+0.00044616i,-0.000355+0.00066887i,0.0001639+0.00067517i,0.00014984+0.00028323i,0.00032955+0.00032625i,0.00093343+2.7256e-05i,0.00067176-5.5467e-05i,-0.00046683+0.00012687i,-0.00096677+0.00010373i,-0.00046589-0.00035007i,-0.00013355+4.6085e-05i,-5.1768e-05+0.00039424i
-0.0018269+0.00049889i,-0.0014857+0.00055821i,-0.00060776+0.00078579i,-0.00086861+0.00070926i,-0.0011278+0.00085427i,-0.00095474+0.00074683i,0.00020051+0.00038952i,0.00068784-0.00028464i,0.00013167-0.0010314i,0.00010414-0.00089811i,7.3391e-05+0.00053164i,-5.1163e-05+0.0007374i,0.00025482+0.0001962i,2.332e-05+0.0002886i,-0.00021292+0.00059208i,-0.00051484+0.00087166i,-0.00022941+5.0918e-05i,0.00018932-0.00079925i,0.00029047-9.1597e-05i,0.00039209+0.00043078i,0.00029048+0.00014906i,0.00050171-0.00074751i,0.00056949-0.0011624i
0.00071151+0.00043777i,-0.00023803-0.00025415i,-0.0014054+0.00035581i,-0.00097065+0.00036171i,-0.0011471+0.0011383i,-0.0014214+0.0010542i,-0.00094064+0.0003147i,-0.00028746+8.3884e-05i,0.00035592+0.00059182i,0.00077702+0.0012066i,0.0012456+0.00076834i,0.0014506+0.0006148i,0.00095152+0.00019687i,-5.424e-05-0.00067457i,-0.00021242-0.00054787i,-0.00014435-0.0003388i,-0.00013524+0.00024039i,-0.00035023+0.0016093i,-0.00087871+0.0016732i,-0.0006919+0.00066423i,-0.0002496-3.2586e-05i,5.0439e-05-0.00041068i,0.00037167-0.0010701i
-0.0015387+0.00023045i,-0.0016739+0.0002939i,-0.0022009-0.00025736i,-0.002114-0.00068726i,-0.0019677+0.00018918i,-0.0018236+0.00057338i,-0.00082714+0.00022071i,0.00033847+0.00051879i,0.00042782+0.0008032i,9.2719e-05+0.00019292i,0.00035113+0.00021192i,0.0010061+0.00072455i,0.0011925+0.00069721i,0.00034661-0.00028714i,-0.00052277-0.0007508i,-0.00023382-0.00062421i,-9.1671e-05-0.00026226i,-0.00052161+0.00012182i,-0.00031543-0.00018302i,-0.00095021-0.00029139i,-0.0013279-0.00058573i,-0.00054543-0.00071454i,0.00044365-0.00025971i
3.5063e-05+0.0006927i,-4.355e-05+0.0009198i,0.0002931+0.00077366i,-0.00031163+0.00055591i,-0.0011126+0.00069642i,-0.00084426+0.00075496i,0.00012923+0.000553i,0.00016086+2.3208e-05i,-0.00036722+0.00013238i,-0.00031595+0.00049899i,5.5537e-06+0.00060286i,8.265e-05+0.00029851i,0.00072178+0.00010163i,0.00097614+0.00076247i,0.00076641+0.00084708i,0.00059419+0.00084006i,0.00038591+0.00093934i,0.00075867+0.00018038i,0.001417-5.7313e-05i,0.0007304-0.00040921i,-0.00032305-0.00042752i,-0.0007782-0.00067147i,-0.00066676-0.00060622i
-0.0014048+0.0010946i,-0.0013442+0.0016512i,-0.0017859+0.0021677i,-0.0013949+0.0016146i,-0.00046533+0.00095339i,-0.00022721+0.00070198i,-0.0003218+0.00078079i,-0.0011291+4.1258e-05i,-0.0014451-0.00023511i,-0.00083836+7.7339e-05i,4.4764e-05+0.00021239i,0.00098372+0.00033279i,0.00098232-0.00011154i,-2.3187e-05-0.0002956i,-0.00045271-0.00028i,4.1028e-05-0.00033076i,0.00024309-0.00052258i,0.00024596-0.00017428i,0.00014869+4.2922e-05i,0.00034044+0.00022626i,0.00056202+7.8339e-05i,0.00068694-0.00021059i,-0.00024903+0.00011811i
-0.00066049+0.0002008i,1.8188e-05-0.00057473i,0.00055538-0.0012208i,0.00022172-0.00057682i,-0.00045278-0.00046031i,-0.0010626-0.00039842i,-0.000869-0.00056065i,-0.00055372-0.000353i,-0.00023629+6.9691e-05i,0.0004185+0.00049998i,0.00032857+0.00044103i,0.00013684+0.00010714i,0.00037732+0.00062258i,0.00023067+0.0012002i,0.00019187+0.00083299i,0.00036887+0.00074896i,0.00029677+0.00056481i,0.00050944+2.3092e-05i,0.00035006+0.00030255i,-0.00055309+0.00057145i,-0.00082746+0.00035934i,-0.0004831+0.00025217i,0.00017449+0.0001447i
-0.0010931-0.0022183i,-0.001509-0.0013787i,-0.0012341-0.00010282i,-0.0012482+0.001312i,-0.001802+0.0018127i,-0.00016465+0.0010767i,0.0011796+0.00022774i,0.00064474+0.00029613i,0.00014346+0.00061635i,0.0004577+0.0010932i,0.0008545+0.0012298i,0.00072857+0.0004872i,0.00089386-0.00034146i,0.00058759-0.000483i,0.00014368-7.4693e-05i,0.00070869+4.6101e-05i,0.0001257-0.00055228i,-0.00030364-0.00092375i,0.00036224-0.00054299i,0.00028999-0.00012919i,-0.00012246-0.00018189i,-6.5998e-05-6.4354e-05i,-4.7363e-05+0.00012586i
-0.00058382-0.00014211i,0.00026823+0.00016557i,-0.0001018+0.00049013i,-0.0011411+0.0009483i,-0.0019281+0.0010355i,-0.0019324+0.0011288i,-0.001499+0.00079361i,-0.00066321+7.3439e-05i,4.074e-06-0.0002695i,0.00020133+9.0741e-05i,0.00028426+0.00063202i,0.00070002+0.00089107i,0.00050376+0.00059434i,-0.0002185+0.00072336i,6.7542e-05+0.00053445i,-0.00014307-0.00012782i,-6.1129e-05-0.00035522i,0.00043039-0.00038471i,0.00088954-0.00049455i,0.0010932-8.8183e-05i,-1.4539e-05+0.00035707i,-0.0007388-0.0002894i,-0.00089934-0.00054795i
-0.00070157+0.00015117i,-0.0012584-0.00032588i,-0.00051968-0.00058431i,-0.0010226-0.00025393i,-0.0018517-0.00046827i,-0.0013756+0.00035911i,-0.00079602+0.00066894i,-0.00057291+9.511e-05i,-0.00081019-0.00023208i,-0.00039476-0.0002992i,6.941e-05-0.00027973i,0.00011132-0.0005709i,0.00010494-0.00021956i,-0.00061551-0.00027409i,-0.00064893-0.00020042i,-0.00034156+0.0004367i,-0.0009082+0.00010305i,-0.0012146-0.0003407i,-0.00027046-0.00053506i,0.00017218-0.00079103i,-0.00019803-0.00048327i,0.00016855-0.00013279i,0.00047016-0.00011282i
-0.00096403-0.00079075i,-0.0013956-0.0010752i,-0.0024369-0.0011646i,-0.0032563-1.4146e-05i,-0.0031505+0.001288i,-0.0019191+0.0013964i,-0.00055461+0.0010261i,-0.0010176+0.00010823i,-0.0012356-0.00014487i,-0.00089903+0.00043523i,4.1046e-06+0.0011154i,0.0011796+0.00041452i,0.0013085-9.0268e-05i,0.00084063-0.00034087i,0.00074489-0.00042828i,0.00063196-0.00017703i,0.00010834-0.00019864i,-0.00042201+0.00038754i,-7.8941e-05+0.00056031i,0.00093416+0.00010348i,0.00083089-8.8129e-05i,-0.00035657-0.00021522i,-0.0006856-5.3086e-06i
