-0.0025054-0.00028677i,-0.0024711-6.8736e-06i,-0.0019814+0.0011473i,-0.00057287+0.0003218i,-7.1995e-05-0.00051615i,-0.00027594-7.61e-05i,-0.00033415+0.0008017i,0.00031785+0.0010304i,0.00099017+0.0004726i,0.0015599-0.0011128i,0.0021317-0.00086904i,0.0013676+0.00032502i,0.00062632+0.00061845i,0.00080113+0.00090009i,0.0010693+0.00031845i,0.00031513-8.9625e-05i,-0.00010708+0.00015054i,0.00053514+0.00032604i,0.00078112+0.00028744i,-0.00024623+4.9201e-05i,-0.00042459-0.00018481i,-0.00019475-0.00028563i,-0.00047347-0.00050319i
0.0011798+0.0019116i,0.0016308+0.0025737i,0.0028356+0.0025775i,0.0030614+0.00097287i,0.0024273-0.00095977i,0.0010344-0.0016457i,0.00027892-0.0011916i,0.00067486-0.0010644i,0.00067816-0.0014168i,0.00033783-0.00098575i,-9.8282e-05+3.4242e-05i,-0.00015121-0.00044241i,-0.00048871-0.000943i,-0.00073102-0.00045034i,-0.00017056-0.00078819i,0.00065205-0.00071896i,0.00091827-0.00068722i,0.00074816-0.00092859i,0.0010361-0.00032676i,0.0014686+0.00029599i,0.00076073+0.00029536i,-0.00012464-0.00059985i,4.0213e-05-0.00056724i
-0.00067074-0.00074542i,-0.0015208-0.0004815i,-0.00057159-0.00063791i,0.00038886-0.0010732i,8.0628e-05-0.001895i,9.1078e-06-0.0020995i,0.00035137-0.00194i,-0.00018729-0.0014592i,-0.00062845-0.0007313i,-0.00017328-1.8321e-06i,-0.0003594+0.00066571i,-0.00043495+0.00052094i,9.5985e-05+0.00056583i,0.00031096+0.00080748i,0.00065671+0.00056865i,0.00077558+9.564e-05i,0.0007673-0.00065448i,0.0010202-0.00038631i,0.0011019+1.2237e-05i,0.00027757+0.00011803i,-0.00043153+0.00034801i,-3.3567e-05+0.00017736i,0.00028615-7.961e-05i
0.0013162+0.000763i,0.0014295+0.00060048i,0.0017527+0.00047434i,0.0015893-0.00056927i,0.00094392-0.0023917i,0.0010887-0.0030412i,0.00057755-0.0012778i,-0.00070429-0.00014358i,-0.00081307-0.00017946i,-0.0003425+0.00033893i,-0.00059404-0.00018312i,-0.00024681-0.00099355i,9.3247e-05-0.00018278i,-0.00061209+0.00035699i,-0.0010177+0.00030335i,-0.00020172+0.00037825i,0.00012861-0.00021418i,-1.8323e-05-0.00088161i,-0.00021366-0.00079944i,-0.00057596-0.0008034i,-0.00066689-0.00030561i,-0.00028635+0.00047073i,0.00039559+0.00087625i
-0.0012921+5.3165e-05i,-0.0023034-2.2228e-06i,-0.0035956+0.0011551i,-0.0022508+0.0013858i,-0.00071958+0.00012794i,-0.00019447-0.00098191i,0.00031806-0.00084293i,-0.00039928+0.00022834i,-0.0009713+0.00020805i,-0.00074283-0.00010382i,-0.00015047-0.00034362i,0.00037602-0.00036378i,-0.00045681-0.00013515i,-0.00064502-0.0006329i,-0.00045276+6.1058e-05i,-0.00058081+0.00053467i,-5.6589e-05+9.4288e-05i,-7.4805e-05-0.00036021i,2.0337e-05-0.0004721i,0.00038773-0.00021832i,0.00084077-0.00062533i,0.0004795-0.00066004i,-4.6491e-05-0.00019752i
-0.00020897-0.0020441i,0.00044758-0.0025825i,-0.00029627-0.0020503i,-0.0014541-0.0013817i,-0.0016283-0.0011404i,-0.00061844-0.00077126i,0.0010267-0.00041043i,0.0018238-0.00063413i,0.00090407-0.0011154i,2.0435e-05-0.00072156i,-7.1669e-06-0.00011581i,0.00079624-0.00045958i,0.001452-0.00040481i,0.0010324-0.00012963i,0.00048715+0.00018481i,0.00093035+0.00031625i,0.0012068-2.8744e-05i,0.00031409-7.526e-05i,-0.00013976-0.00013135i,0.00024585+1.1629e-05i,0.00047285+0.00032865i,0.00031096+0.00019729i,0.0011232+0.00025265i
0.0025+0.00089058i,0.0024796+0.00073534i,0.0015099-0.00069442i,0.00016016-0.001544i,-0.00076296-0.0021846i,-0.00082397-0.0022736i,-0.00026238-0.0014707i,0.00048934-0.00044341i,-5.2428e-05+0.00016416i,-0.00058583-0.00030526i,-0.00011669-0.00022698i,5.8565e-05-0.00055753i,-0.00045629-0.00090174i,-0.0014256-0.00062601i,-0.0010242+2.5716e-05i,6.4076e-05+0.00030473i,7.6553e-05-0.00010457i,-3.8233e-05-0.00036242i,0.00011843-9.0941e-05i,-0.0001999-4.0899e-05i,-0.00024448+0.00091531i,0.00045342+0.0015733i,0.00066934+0.00028627i
-0.0010013-0.00033325i,-0.0013216-2.3e-05i,-0.0013703+0.0004723i,-0.0001616+0.00016875i,0.000698+0.0003485i,0.0010239-0.00016969i,0.0012128-0.0012008i,0.00071383-0.0006404i,0.00012673-1.1784e-05i,0.00053686-0.00012448i,0.00091138-0.00023846i,0.00040186-0.00025561i,-0.00020979-0.00021896i,-0.00085191-0.0004044i,-0.0015441+3.0739e-05i,-0.0014907+0.00043404i,-0.00091485-4.3587e-07i,-0.00070021-0.00059568i,8.0618e-06-0.0005099i,0.00051137-0.00034075i,4.8829e-05-0.00053496i,-4.2451e-05+5.9048e-05i,0.00043152+0.00060015i
0.00038217-0.00068736i,0.00045243-0.00025108i,-0.00058236-0.00077615i,-0.00078384-0.00024574i,-0.00039759-0.0005395i,-0.00093294-0.0011677i,-0.00093725-0.0011413i,-0.00025209-0.0009315i,-0.00014886-0.0010819i,-0.00039015-0.00045585i,-0.00071261+0.00011838i,-0.00044673+0.00055184i,0.00029815+0.0003997i,0.00068344+0.00027907i,0.00056712+0.00038657i,0.00051986-0.00017199i,8.735e-05-9.3164e-05i,-0.00082049+0.00031719i,-0.0012908-0.0007992i,-0.0003226-0.001782i,0.00075248-0.00086074i,0.00021433-3.1244e-06i,-0.00010443-0.00053147i
-0.00089712+0.00075245i,-4.2507e-05+0.00055069i,0.0010529+0.00043944i,0.00061589+1.5429e-05i,-0.00014479-0.00064373i,0.00034399-0.0011201i,0.00088278-0.0012259i,0.00035629-0.00066458i,-0.00038516-0.00088745i,0.00039533-0.0013587i,0.0013254-0.00042255i,0.00092226+0.0005053i,0.00044309+0.00092208i,-9.9348e-05+0.00060517i,-0.00025493-0.00010406i,0.00015586+0.00025418i,0.00021523+0.00072544i,0.00029372+0.0012666i,-0.00033537+0.00069055i,-0.00066257-0.00069897i,7.7637e-05-0.00038566i,0.00041756+0.00053609i,-0.00027667+0.00070315i
0.00075114-1.4562e-05i,0.0012339+0.00039435i,0.0015316-5.0339e-05i,0.00066901-0.0015503i,0.00041891-0.0023621i,-0.0001891-0.0014864i,-0.00049127-0.000387i,4.5027e-05-0.00033178i,-0.00022267-0.00043135i,-0.00023587-0.00018555i,0.00010884+0.00030085i,0.00058999+0.00047039i,0.00020852+0.00077795i,-0.00038692+0.00098633i,-0.00023485+0.00035635i,-0.00017063+6.6465e-05i,-9.5356e-05+0.0004331i,5.766e-05+0.00089403i,0.00022943+0.00037677i,0.00043299-5.9006e-05i,0.00060785+0.00057992i,0.00025824+0.0010815i,-0.00029264+0.00091287i
0.00010317+0.00044721i,-0.00065619+0.00028436i,-0.000574-0.00024953i,-0.00015467-0.00021647i,-0.00054783-0.00055039i,-0.00062816-0.0009677i,-0.00016178-0.00068917i,0.00013794-0.00086181i,0.00053703-0.000355i,0.00023307+0.00042839i,8.0597e-05+0.00052669i,0.00062722+0.00035626i,0.00070194+0.000228i,0.0001408+0.00049203i,-0.00024504+0.00037168i,-7.7244e-05+0.00020692i,-0.00034083+0.00030402i,-0.00071971+0.00033588i,5.4387e-05+0.00033989i,0.00020275+0.00032088i,0.00019864-1.446e-05i,0.00020183-4.7533e-05i,-0.00051203-0.00030639i
0.001101-0.0012745i,0.00032898-0.001769i,0.00040872-0.00062077i,0.0007529-9.5361e-05i,0.00016592-0.00067086i,-0.00048046-0.00075327i,2.2366e-05-0.00042993i,0.00051229+0.00012865i,0.00024036+0.00026379i,-0.00025859+0.00027539i,-4.0586e-05+0.0004813i,0.00013301+0.00094299i,-0.00035767+0.00059025i,-0.00078067-0.00014092i,-0.00045079-0.00041197i,-0.00038267+9.5115e-05i,-0.00055415+0.00066606i,-0.00060886+0.00043822i,-0.00030273+0.00016808i,-1.9436e-05-0.00090901i,-3.8582e-06-0.0010986i,-0.00030555-0.00026296i,-0.00072197-0.00046127i
-0.0011036-0.00078643i,-0.00053058+0.00077799i,-0.00076992+0.00091871i,-0.00044681-0.00016089i,5.8471e-05-0.00067431i,2.8207e-05-0.0009338i,6.1747e-05-0.0010081i,0.00087382-0.00036818i,0.0011384-0.00068712i,0.00073623-0.00095482i,0.0002388+8.5392e-05i,-0.0002267+0.0010338i,-0.00021522+0.001038i,-0.00049353+0.00035332i,-0.00031715-2.106e-05i,-0.00010496-7.3599e-05i,-0.00034512-0.00060899i,-0.00010107-0.00027188i,-0.00014331+0.00066556i,-0.00057895+0.00041539i,-0.00073907+9.1707e-05i,-0.00085404-0.00052952i,-0.00041431-0.00092417i
-0.00038255+0.00089563i,-0.00090608+0.0010465i,-0.00026247+0.00011046i,0.0012746-0.0014863i,0.0015938-0.0021817i,0.00059803-0.0020106i,0.00035169-0.0016793i,0.00064519-0.0016407i,0.00077958-0.000686i,0.00076566+0.00035312i,0.00073355+0.00034787i,6.1048e-05-0.00075206i,-0.00029501-0.0010788i,0.00030664-0.00052662i,0.00044305+3.8163e-05i,0.0002712+0.0010101i,0.00011526+0.000347i,-0.00034019-0.00019056i,-0.00038261+0.00050622i,-6.0673e-05+0.00071197i,5.102e-05-0.00020255i,-0.00074238-0.00058467i,-0.00083842-0.00051242i
0.00046967+0.00059663i,-6.0818e-05+0.00046401i,0.00012298+0.00055752i,0.00040932-0.00040258i,2.7048e-05-0.0012016i,3.634e-05-0.00096694i,-0.00024841-0.00090346i,8.7551e-05-0.0011108i,0.0016931-0.00053147i,0.0018177+9.083e-05i,0.00068375+0.00061016i,0.00028616+0.00078419i,-0.00010248+8.8663e-05i,-0.00014046+2.9311e-05i,0.00059593+0.00043757i,0.00079633+0.00053653i,0.00062635+0.00016694i,0.00045609+0.00033298i,0.00047451+1.9258e-05i,0.00116-0.00035389i,0.0011319-0.00012418i,0.00079449+0.00036974i,0.00052914+3.8949e-05i
-0.00045721-0.0015467i,-0.0019994-0.0006755i,-0.0021262+0.00027206i,-0.00088356+0.00066184i,-0.00050672+0.00038911i,-1.1352e-05-0.0001587i,0.0010422-0.0007304i,0.0014104-0.00095093i,0.0010137-0.00093098i,0.00046752-0.00026138i,5.0612e-05+7.316e-05i,0.00019176+1.6657e-05i,0.0006125+0.00026248i,0.00081085+0.00020268i,0.00025929+0.00099197i,-0.00032246+0.00095973i,-0.00060951+0.00035317i,-0.00028791+0.00021295i,0.00033534+0.00069034i,0.0009534+0.0013745i,0.0012914+0.0009313i,0.00077784+0.00018215i,0.0004031+0.00020181i
0.0013184-0.00031869i,0.00051743-0.00027543i,0.0011909-0.0008404i,0.0014973-0.0015031i,0.001252-0.0014236i,0.00056539-0.00089568i,0.00029774-0.0002202i,-0.00028199+0.00058725i,-0.00058273+0.00072005i,-9.8139e-05+1.9832e-05i,0.00020611+5.9356e-05i,8.0511e-05+0.00019146i,0.00011067+0.00028075i,6.2823e-05+0.00021183i,9.5955e-06+0.00014002i,-0.0001204+0.00040394i,-0.00034582+0.00024321i,-0.00041297+0.00057492i,0.00037653+0.00029261i,0.00072732-0.00025194i,0.00062742+1.722e-05i,0.00065146+0.00038659i,-6.3961e-07+0.00051701i
-0.0011631+0.0003013i,-0.0013107+0.00056988i,-0.0013369+0.000625i,0.00029874+0.00069837i,0.0016043+0.0001837i,0.0010926-0.00088836i,0.00067973-0.00080744i,0.0008895-0.00047314i,0.00073172-0.00052788i,0.0001909-0.00059066i,-0.00010635-0.00047806i,-0.00051646-8.3874e-06i,-0.00067954+7.285e-05i,0.00010483+7.9075e-06i,0.00018247-0.00030167i,-2.5249e-05-0.0006714i,0.00028909+0.00011683i,-6.2878e-05+0.0005094i,0.00021062-0.00036873i,0.00092527-0.00075738i,0.001213-0.00025132i,0.00032837-5.4481e-05i,-0.00025692+7.7384e-05i
-0.00212+0.0016448i,-0.0023957+0.0022838i,-0.002265+0.0019496i,-0.00043189+0.0011355i,0.0011876+0.00018391i,0.0016289-0.0012439i,0.0014208-0.0013075i,0.00099806-8.1497e-05i,0.00048243+0.00045138i,0.00037539+0.00021398i,-0.00013916-2.3062e-05i,-0.00016884-0.0005284i,0.00039702-0.00042023i,0.00048442-3.2888e-05i,-0.00025035+0.00018098i,-0.0012567+0.00034458i,-0.0014469+0.00046799i,-0.0007691+0.00035379i,-0.00083011-0.00010412i,-0.00025891-2.4881e-05i,0.00039511+0.00034399i,0.00029894+0.00075918i,0.00029736+0.00040242i
0.00011433-0.00076149i,-0.00056887+0.00012232i,-0.0010679+0.00055749i,-0.00091551+0.00020497i,-0.00049899-0.00023428i,-0.00028345-0.00066042i,0.00056833-0.00096354i,-2.8355e-05-0.00084329i,-0.0011023-0.00028259i,-3.8439e-05-0.00026191i,0.00055418-0.0003891i,0.00038255-0.0005745i,0.00054682-0.0006714i,-0.00015418-0.00046946i,-0.0010723-0.00079421i,-0.00019194-0.00097486i,0.00059652-0.00053751i,0.00063529-8.3599e-05i,0.00085988+7.2338e-05i,0.00034591+0.0005521i,-0.00023364+0.0010872i,-0.00027207+0.001071i,-0.00017919+0.00031278i
6.66e-05+0.00051024i,-4.7855e-06-8.6788e-05i,0.00050711-0.00014511i,0.0015479+0.00056565i,0.0023614+0.00015153i,0.0019731-5.2116e-05i,0.0015883-0.00042558i,0.0014679-0.00094736i,0.00077107-0.0010512i,0.00078387-0.00067687i,0.00058052-0.00029167i,0.00023993-0.00040382i,-0.00014637-0.00026512i,-0.00035179+0.00014605i,2.5356e-05+0.00053783i,-0.00029065+0.00048606i,0.0002406-0.00028728i,0.00081144+8.7061e-05i,3.5024e-05+0.0011211i,-0.00050742+0.00097821i,-0.00024638+0.00030165i,-0.00027577-3.6744e-05i,-0.00043282-9.5308e-05i
0.00015832+0.0017848i,-0.00023388+0.0017544i,0.00074936+0.00027025i,0.0015613-0.00072732i,0.0012958-0.00087984i,0.00063698-8.8806e-05i,9.6707e-05+9.9446e-05i,0.00015936-2.8412e-05i,0.00048739-0.00058377i,0.0011459-0.00071408i,0.00047028-0.00050606i,-0.00021052-0.0010346i,-0.00013203-0.00055437i,-0.00055432-0.0001581i,-0.00099371-0.00058918i,-0.00076392-0.00057182i,-5.7184e-05-0.00048645i,0.00070854-0.00046784i,0.00060868-1.0467e-05i,-6.7347e-05+0.00010699i,-0.00046175-0.00034039i,-0.00015962-0.00022727i,0.00024446-9.5645e-05i
0.00099049+0.00052993i,0.0014413-7.8864e-05i,0.00099046-0.00080239i,0.00039645-0.001293i,-8.5216e-05-0.0013544i,-0.00039569-0.0017463i,-4.1702e-05-0.001102i,0.00064112-0.00093449i,0.00054884-0.0010287i,-0.00022345-0.00041951i,-0.00036355-0.00035766i,-0.0003913-0.00042453i,0.00023627-1.807e-05i,0.000895+0.00046146i,0.00025056+0.00047056i,-0.00054901+0.0001281i,-0.00067924+0.00051733i,-0.00016054+0.00067611i,6.4761e-05+0.00025713i,-0.00014382+0.00015552i,-0.00033026+0.00062787i,-0.00031349-3.3199e-07i,-0.0003283-0.0010386i
0.0016255+0.00059032i,0.00085661+0.00084923i,0.0014375+0.0010276i,0.0019695+0.00019655i,0.0011563-0.0012807i,0.00039185-0.0017573i,0.00019136-0.00092884i,-0.00023607-0.00019096i,-7.8516e-05-0.00013474i,0.00060065-0.0002235i,0.00034965-4.1458e-05i,-0.00026512-8.9913e-05i,-0.00025812-0.00074596i,0.00016275-0.00097945i,0.00032887+0.00036008i,0.00026895+0.00084837i,0.00013907+0.00025888i,-5.0862e-05+0.00081975i,-0.00031903+0.00096053i,-0.00028855+0.0001229i,-0.00070137-0.00031336i,-0.001117-0.00028131i,-0.00062659-0.00011655i
