0.002016+0.0010606i,0.0019291-0.000309i,0.00040911-0.0025576i,-0.00067445-0.0030092i,-0.00093279-0.0014678i,-0.0018559+0.00061503i,-0.0019252+0.0019209i,-0.00060177+0.0023784i,0.00032716+0.0017943i,0.00080296+0.00091168i,0.0011095-4.6036e-05i,0.0011888-0.0012717i,0.00098631-0.0014768i,0.00071459-0.00062107i,0.00010598+8.7138e-05i,-0.00090368+0.00060441i,-0.00056307+0.00081334i,0.00054546+0.0013115i,0.00048661+0.0010164i,0.00072714-0.00044948i,0.00071827-0.0012979i,0.00022388-0.0014653i,-0.00016348-0.00080661i
0.00080196+7.5389e-05i,0.00219-0.00019324i,0.0034999-0.00020768i,0.002898-0.0011149i,0.0014423-0.0015576i,-0.00047294-0.00093071i,-0.0010001-0.00019088i,-0.00060024+0.00039659i,-0.00034089+0.00036033i,0.00072231-0.00014423i,0.0012169-2.9308e-05i,0.00020373+0.00053663i,-3.8116e-05-0.00036858i,-0.00043898-0.0011481i,-0.0013526-0.0011745i,-0.00095591-0.00053622i,-1.2989e-05-0.00016504i,0.00068016-6.4836e-06i,0.00080693+0.00033875i,0.00040062+4.6819e-06i,0.00027606-0.00011i,0.000398+4.7157e-05i,0.00036365-0.00032999i
-0.0019115-0.0010504i,-0.0026123-0.00034733i,-0.0026467+0.00098788i,-0.0019083+0.00099574i,-0.0011862+0.0002858i,-0.00075809+0.0004154i,-0.00089499+4.5636e-05i,-0.0013839-0.00047041i,-0.00094541+0.00033966i,-0.0003415+0.00094606i,8.2137e-05+0.0010585i,0.00068157+0.00060778i,0.0006624-0.00018091i,0.00018995-0.0006617i,-2.2756e-05+2.9914e-05i,-0.00014691+0.00074402i,-0.00039316+0.00062746i,-0.00060692-0.00029731i,-0.00029805-0.00094903i,0.00012421-0.00037621i,-0.00021877+0.00029263i,-5.7819e-05+0.00069909i,0.00017154+0.00066003i
-0.0017819-0.00016424i,-0.00095858-0.00085365i,-0.0010199+0.00028489i,0.00044769+0.00061336i,0.00082599-1.1947e-05i,0.00021279-0.00023474i,1.1155e-05-0.00080481i,0.00025886-0.00018483i,0.00096266+0.00071895i,0.0013418+0.00073291i,0.0006069+0.00030998i,0.00040648+0.00026865i,0.00088788+0.00024421i,0.00060232-0.00028086i,-5.962e-05-0.00024949i,-0.00037387-0.00026865i,-8.1833e-05-0.00078009i,3.9137e-05-0.00064345i,-9.5833e-05-1.5496e-05i,0.00028376-0.00036931i,0.00031616-0.0010662i,-0.00027055-0.001164i,-0.00058276-0.00018726i
-6.07e-05-5.6547e-05i,0.00029594+0.0014515i,0.00090837+0.0024979i,0.0012261+0.001508i,0.000598+0.00023039i,0.00016985-0.00016984i,-0.00028187-0.00072819i,0.00014523-0.00044586i,0.00015356-0.00019733i,-0.00015564+4.2928e-05i,-0.00050234+9.7719e-05i,-0.00050371-0.0003479i,0.00017161-0.00022724i,0.00029593-0.00018516i,-4.1268e-05-0.00058729i,-0.00026204-0.00084584i,-0.00018736-0.0012155i,0.00023093-0.00088633i,0.00077003-0.00062281i,0.00086439+0.00025684i,0.00046299+0.00068197i,0.00045482+0.00044934i,2.7687e-05+0.00063348i
-0.00079319+0.0011621i,-0.00088397+0.0019263i,-0.0011203+0.0013787i,-0.00031811+0.00014207i,3.5385e-05+1.6917e-05i,-0.00029553+0.00020369i,0.00010469+0.0001791i,0.00017569+0.0001618i,0.00024374+0.00054062i,0.00018897+0.00097405i,0.00073114+0.00028797i,0.00063505-2.0739e-05i,6.0541e-05+0.00063154i,0.00020613+0.00086817i,-6.6197e-05+0.0007692i,-3.5081e-05+0.0011105i,0.00018448+0.000809i,-0.0005002+0.00025803i,-0.0006945+0.00026026i,0.00010314-0.00015338i,0.0012201-0.00025164i,0.00078935-0.00031791i,-0.00032174-0.00066966i
-0.00043004-0.00093428i,-0.00036462+8.1209e-05i,1.5209e-05+7.966e-05i,0.00043811-0.00018613i,0.00052399+0.00028009i,0.0009694+0.00019815i,0.00044102-3.9868e-05i,-0.00065769-0.00028625i,-0.00074732-0.0006051i,-5.6193e-05-0.00029235i,-0.0002981+0.00033826i,-0.00056505+0.00081937i,-0.00040789+0.00020275i,-0.00069755+0.00012161i,-0.00033787+0.00037571i,5.302e-05+9.8038e-05i,-0.0006042+0.00016548i,-0.00092794+0.00021398i,-0.00060652+0.00028366i,-0.00016346+4.293e-05i,0.00079416-0.00052653i,0.00096832-0.00018019i,-0.00025852+9.728e-05i
0.0013552-0.0018819i,0.0014095-0.0011814i,0.0016018-0.0015174i,0.00076897-0.0016548i,0.00014204-0.00078685i,-0.00034731+0.0001218i,-0.0010117+0.00070922i,-0.0010226+0.00043061i,-0.00026062-0.00018415i,-0.00033737-0.00028527i,-0.00076185-0.00027326i,-0.00062728+7.6579e-05i,-0.00017175-9.6094e-05i,0.00064171-0.00027014i,0.00063731-4.026e-05i,-0.00013291-0.00046038i,-0.00042064-0.00027584i,-0.0005556+0.00061517i,-0.00014814-5.9167e-06i,0.00015167-0.0010028i,-0.00023808-0.00099098i,-7.031e-05-0.00026421i,0.00020053+0.0004934i
-8.9138e-05-0.0016893i,-8.5852e-05-0.00098211i,0.00018971-0.00052091i,0.00086279-0.00082031i,0.0011167-0.00047161i,0.00073299-0.00080502i,0.00018991-0.00084998i,-0.00011472-9.46e-05i,0.00015002+0.00041986i,0.00030766+0.0008236i,0.00013325+0.00021671i,0.00050185-0.00061668i,0.00063417-0.00036649i,0.0003529+9.713e-05i,0.00021107+0.00033282i,0.00031031+0.00067397i,0.00049006+0.00055506i,0.00092607+4.3874e-05i,0.0014891+1.5406e-05i,0.0013909+0.00032171i,0.00061105+0.00055381i,-0.00028136+0.00084058i,-0.00044656+0.0004556i
-0.00021601+0.00054249i,-0.00030616+0.00017237i,0.00035111-0.00055703i,0.00086945-0.00071561i,0.0010872-0.00045556i,0.00057989+0.00056159i,-0.00042483+0.00087886i,-0.00085126+0.00091543i,0.00014108+0.0011505i,0.00082075+0.001039i,0.00031384+0.00065788i,-0.00017108+0.00053389i,0.00042753+0.0008939i,2.6499e-05+0.00071307i,-0.00059762+0.00050126i,0.00011244+0.00060127i,0.00069821+0.00084923i,0.00093839+0.00056843i,0.00086285-4.8145e-05i,0.00026234-0.00014649i,0.00012699-0.00013181i,0.00029285+8.8181e-06i,-7.4088e-06+1.9108e-05i
0.00020673+0.00031476i,0.0012769+1.872e-05i,0.0012825+0.00017108i,0.00092975+0.001122i,0.0008394+0.0012453i,0.00063046+0.00050918i,5.5695e-05+2.1607e-05i,-0.00033284+0.000356i,-0.00047555+0.00091081i,-0.00027323+0.00044981i,0.00059221-0.00064308i,0.00040372-0.0011794i,-0.00087066-0.00032851i,-0.00088431-1.2591e-05i,1.9431e-06-0.00042268i,-2.414e-05-5.1783e-05i,8.1929e-05+0.00039424i,0.00031672+0.00056275i,0.00016995+0.00031509i,-9.0663e-05-0.00055053i,-0.00033565-0.00092492i,6.5705e-05+3.1431e-05i,-0.00018676+0.0009617i
0.00044732-0.00042316i,-0.0003174-0.00086902i,-0.00076233-0.00070775i,0.0008657+0.00026252i,0.0016381-0.00041637i,0.00037484-0.00034532i,-0.00045532+0.00041435i,-0.00035417+0.00041666i,-0.00012173+0.00028956i,-0.00017823+0.00049939i,-0.0002408+0.00048863i,0.0003459+0.00037144i,0.00043072+0.00026181i,0.00061439-0.00017057i,0.00081586-0.00027772i,-0.00023093+1.1764e-05i,-0.00026554-0.00066012i,6.1273e-05-0.00079923i,-0.00013379+0.00066282i,0.00019544+0.0011091i,2.8304e-05+0.00030687i,-0.00072646-0.0003724i,-0.00061628-0.00051895i
-0.0012062-0.0028345i,-0.00071589-0.0032894i,-0.00028259-0.0036217i,-0.00063727-0.0019777i,-0.00020826-0.0011589i,0.00057821-0.00083296i,0.00020624+0.00021759i,-0.00033496+0.00042348i,-0.0008952-7.2138e-05i,-0.00066798+0.00010165i,-0.0010865+0.00065029i,-0.0015784+0.00052705i,-0.001258+0.00088066i,-0.00056043+0.00091831i,-0.00022672+0.00033961i,-8.4255e-05+9.4394e-05i,-0.00054943-0.00062271i,-0.0011977-0.00061813i,-0.00098788+0.00030433i,-0.0009914+0.00064655i,-0.0013609+2.8196e-05i,-0.00083985-0.00068809i,-0.00018884-0.00044056i
-0.00024177+1.6807e-05i,0.00031028+0.00067608i,0.00073506+0.00073708i,0.00030604+0.00080387i,-0.00010488+0.00016941i,-0.0011457-3.4797e-05i,-0.0016938+0.0005907i,-0.00052087+0.00016623i,0.00063448-0.00094787i,0.0005386-0.00074086i,0.00060506-0.00092225i,0.00040875-0.001299i,-0.0003883-0.00059131i,-0.00024067+0.00033851i,0.00046953+0.00023567i,0.00086872-0.00012071i,0.00072988+0.00022667i,-0.00015029+0.00078526i,-0.00073065+0.00062241i,-0.00062997+1.9606e-06i,-0.00049786-0.00019125i,7.2197e-05-4.9474e-06i,0.00076758+0.00053309i
0.00093061+0.001032i,0.00013311-0.00046921i,-4.2861e-05-0.00078326i,0.00042924-0.00026971i,0.00068728-0.00041822i,0.00074217-0.00053895i,0.00037802-0.00018517i,-5.5414e-05+0.00057658i,0.00050589+0.0010843i,0.0013946+0.00068122i,0.0016465-0.00011257i,0.00090348-0.00013967i,0.00066752+0.00068123i,0.00079643+0.00049253i,0.00046091-0.00034051i,0.00016333+8.1653e-05i,-1.5498e-05+0.00097396i,-0.00027089+0.001246i,-0.00026006+0.00076051i,-0.00042118+0.0004423i,-0.00032058+0.00022821i,7.6033e-05+0.00055018i,-0.00011241+0.00076828i
0.0027199+0.00064527i,0.0025241+0.0011158i,0.0027727+0.00067816i,0.0021954-0.00014128i,0.00078552-0.00058495i,-9.2362e-05-0.0011216i,0.00017621-0.00020149i,0.00061083+0.00087645i,0.00043664+0.00046446i,0.00033492-0.00018675i,0.00084312-0.00026795i,0.00069827-0.0002347i,2.4099e-05-0.00029044i,9.5454e-05-8.2185e-05i,0.00058664-0.00025319i,0.00070751-0.00052545i,0.00044395-0.00067094i,9.9226e-05-0.00048279i,-0.00082801+8.7511e-06i,-0.00063616+8.2448e-05i,-0.00057761-0.00037168i,-0.0002722-0.00086772i,0.00060791-0.00078267i
-0.0014606+0.00036316i,-0.0025615+0.00032609i,-0.0022684+0.00088066i,-0.00039827+0.0013028i,0.00019468+0.0015107i,0.00026997+0.000155i,0.00030748-0.0011921i,-0.0003508-0.00090724i,-0.00015416+4.02e-05i,0.00018582+0.0010234i,-1.7242e-05+0.00092936i,0.00017541+0.00073534i,0.0005284+0.00048629i,0.00058491-0.00047865i,0.00016028-0.0010037i,-0.00076697-0.0004238i,-0.00058828-6.9221e-05i,-0.00046952-0.0002576i,-0.00082634-0.00027579i,-0.00047404-0.00062692i,-0.00015118-0.00098191i,-0.00087592-0.00040307i,-0.001016+0.00013884i
0.00020845-0.00030946i,0.0010598-0.00090332i,0.0013634-0.0017724i,0.00092498-0.0014744i,0.00080471-0.0013379i,0.00067735-0.0013366i,0.00069027-0.00082398i,0.00044012-0.00018942i,0.00010113+0.0005673i,0.00010488+0.00044699i,6.0179e-05+0.00057335i,-0.00062831+0.0006133i,3.4621e-05-0.00013025i,0.000299+0.00026722i,-0.00013246+0.00051554i,-0.0004392-0.00035621i,-0.00034541-0.00086968i,0.0001206-0.00034856i,0.00043323+0.00014004i,0.00069388+0.00023495i,0.0001585+0.00069277i,-0.00096626+0.00057134i,-0.0010807+0.00014594i
0.00053015-8.2372e-05i,-8.4356e-05+0.00051195i,0.0005669+0.00079015i,0.00085125+5.1412e-05i,0.00066465-0.00057361i,0.00074259+0.00022528i,0.00017318+0.00013979i,0.00042018-0.00046852i,0.00097462+9.2077e-05i,0.00062427+0.00066681i,-0.00029073+0.00037048i,-0.0012901-0.00011152i,-0.001286-0.00023212i,-0.00071684+0.00014425i,-0.00070104+0.00040333i,-0.00044198+0.00044766i,-0.00022488+0.00062686i,0.00012091+0.00060941i,0.00050208-0.00013521i,0.00050704-0.0008519i,-0.00017549-0.00059064i,-0.00051047-0.00013386i,-0.00036269+8.9824e-05i
0.00071092-0.00047918i,0.00049534-0.001134i,0.0010174-0.00099377i,0.00102-0.0013056i,0.00074788-0.00082085i,0.00056642-0.00015459i,-4.0998e-05+0.00042673i,-0.00080097+0.00055636i,-0.0007056+0.00029201i,-0.00013563+0.00028747i,0.0002343-0.00015507i,5.5462e-05-0.00043467i,0.00019185-0.0011245i,0.0008302-0.00079693i,0.00060853+7.9958e-05i,-0.0005847-0.00030983i,-0.00036479-0.00023109i,0.00018731+0.00042387i,1.0541e-05+0.00035092i,0.00029673-0.0001968i,0.000722-0.0004098i,0.00078456-0.00012091i,0.00043216-3.4644e-05i
0.00033194-0.00067541i,0.00068265-0.00059665i,0.00049238+0.00022852i,0.00036314+0.00028011i,0.00035113-0.00074571i,0.00037388-0.00065054i,0.00049249-0.0006653i,-0.00013045-0.00074364i,-0.0003844+0.00029667i,-0.00061172+0.00064857i,-0.00051672+0.00035484i,4.1543e-05+0.0005513i,-4.9902e-05-9.0722e-05i,0.00043542-7.0313e-05i,8.9057e-05+0.00061652i,-0.00082723-2.5072e-07i,-0.0010125-0.0005445i,-0.00063693-0.00044958i,-3.9143e-05-0.00079818i,0.00039011-0.00093606i,0.00017833-0.00077322i,-0.00026856-0.00045382i,-0.00031713+0.00027059i
-0.00025314-0.00030266i,-0.0012025-0.00063461i,-0.0011997-0.00094369i,0.0001412-0.0014224i,0.0010034-0.00084486i,0.00013801-0.00067127i,-0.00081922-0.00058069i,-0.00026779-0.00052044i,1.8035e-05-0.000135i,-0.0001911+0.0001073i,0.00018509-0.00021267i,-0.00011908-0.00016406i,-0.0004561+0.00051748i,-0.00034076+0.00098143i,-0.00079109+0.00082208i,-0.00060819+0.00044685i,-0.00027698-0.00016798i,-0.00051595-0.00099556i,-0.00034938-0.00087858i,0.00019486-0.00032788i,0.00033849+0.00045333i,0.00027581+0.00069526i,0.00081115+0.00096038i
-0.0010318-0.00069418i,-3.8617e-05-0.00058612i,0.00086673-0.00035027i,0.00028006+0.00014151i,6.6188e-05+0.00094877i,0.00068507+0.00038037i,0.00085275-0.00044964i,-0.00025981+0.00016137i,-0.0012469+0.00058928i,-0.00069609+0.00063118i,0.00071727+0.00078453i,0.00060264+0.00056888i,-0.00025471+0.00042932i,-0.00051493+0.00010516i,-0.00061995-0.00064413i,-0.00017855-0.00077379i,0.00051256-0.00027989i,0.00065572+0.00029756i,0.00081095-0.00050203i,0.00066039-0.001081i,-0.00022003-0.00080189i,-0.00058987-0.00052778i,-0.00026694-0.00060141i
0.0027691+0.00044019i,0.0023024+0.00026785i,0.0023691-6.6322e-05i,0.0022683-0.00019384i,0.0027379-0.0010434i,0.0019922-0.0022319i,0.00075584-0.001792i,0.00036895-0.00023896i,0.00029424+0.0006139i,0.00048371+0.00033747i,0.00057966-0.00091851i,2.098e-05-0.0018157i,-0.00029747-0.00079545i,-0.00046386-1.7545e-05i,-0.00079091-0.00011248i,-0.0009528-0.00082835i,-0.0004619-0.0010052i,0.00020887-0.00041146i,-0.00035961-0.00021594i,-0.00097022-0.00013257i,-0.00021222+0.00051408i,-4.8375e-05+0.00070643i,-6.7364e-05-0.00012949i
0.00168+0.0016767i,0.0010238+0.0015837i,0.0016074+0.0012785i,0.0014549+0.00028572i,0.00095461-0.00062266i,0.00043901-0.0004643i,-0.00022201+0.00012015i,-0.00089934+0.00039119i,-0.00094664+0.0012784i,-0.0002077+0.0015437i,-0.00027726+0.00046757i,0.00047484+5.0374e-05i,0.00091719+0.00044553i,0.00046132+0.00032301i,0.00030864+0.00024406i,0.00010448+0.00069582i,-9.6369e-05+0.00033261i,-0.00067846+0.00036728i,-0.00019268+0.00068548i,0.00054958+0.00037747i,0.00053791+0.00051077i,0.00026073+0.00010315i,-1.9491e-05-0.00071915i
-0.0011311-0.0011081i,-0.0005555+0.0002039i,0.00054088+0.0010194i,0.0023296+0.00016473i,0.0022113-0.00024156i,0.00026321-0.00025888i,-0.00053047-0.00044877i,0.00022832-0.00071309i,0.00021365-0.00031584i,0.00049584+0.00056717i,0.00090003+0.00040793i,0.00017202+0.00027519i,-0.00065881+0.00017151i,-0.00078967-5.6768e-05i,0.00074572-0.00029836i,0.001502-9.2069e-05i,0.0011842-0.00046638i,0.001276-0.00072049i,0.00059837+2.2262e-05i,-0.00050349+8.0069e-05i,-0.00055379-0.00043322i,-0.00012321-0.00070896i,0.00035145-0.00043166i
-0.00031449-0.0018025i,0.00068802-0.00254i,0.00032534-0.0030066i,-0.00052361-0.0028619i,-0.0009154-0.0010663i,-0.0010518+0.0004755i,-0.00051453+0.00066551i,0.00028559+0.00032502i,0.00022574+6.9185e-05i,0.00010393+0.00079302i,0.00033521+0.0013743i,0.00040563+0.0007893i,0.00050944+0.0004213i,0.00014411+0.00083808i,-0.00010361+0.00015282i,-0.00028651-0.00079552i,-0.00055722-0.00048739i,-0.00052197-0.0003192i,-0.00013209-0.00034595i,-3.8713e-05+0.00012377i,-0.00010935+0.00017652i,-0.00062638+0.00037111i,-0.0006459-0.00028128i
0.00063632+0.00054141i,0.0016796+0.0014434i,0.0027208+0.0011372i,0.0017901+0.00078085i,0.00086234+0.00036672i,0.0007315+0.00024425i,-0.0005008-0.00020104i,-0.00069794-0.00065464i,-4.0457e-05+0.0002611i,0.00015994+0.00096667i,0.00014172+0.00048787i,-8.2098e-05-0.0010528i,0.0001048-0.001402i,0.00019917-0.00039422i,0.00044171+9.9229e-05i,0.00075149-8.5608e-06i,0.00027064-0.00016651i,1.5098e-05-0.00071329i,0.00011643-0.0010845i,-0.00079781-0.00034069i,-0.0010132-0.00025194i,-0.00011217-7.1417e-05i,-0.00022294+0.00049961i
