-0.0046532+0.00089542i,-0.0048677+0.0020565i,-0.003506+0.0035594i,-0.0015019+0.0032175i,-0.00049974+0.0025815i,-0.00042891+0.0026798i,-0.00064854+0.0024774i,-8.2683e-05+0.0021038i,0.00041223+0.0011676i,0.0010725+9.9385e-05i,0.0011233-0.0001109i,7.5902e-05-0.0001933i,0.00053623-0.0011533i,0.0016737-0.0016623i,0.0010672-0.0020772i,0.0002318-0.00079499i,-0.00046869+0.0003792i,-0.00019076+0.00035993i,-0.00034619-1.2513e-05i,-0.00065724+5.1995e-06i,-0.00013799+0.00097023i,-1.7673e-05+0.0014063i,0.00041743+0.00068157i
-0.00066301+0.000203i,-6.1634e-06+5.1568e-05i,-0.00029296-0.00026878i,-0.00053157-0.00090149i,-0.00058402-0.00030881i,-0.00016624+0.0010564i,0.00032083+0.0018325i,0.00057337+0.0012043i,-0.00015682+0.00031934i,-0.00019092+6.8242e-05i,0.00043518-8.2359e-05i,0.00028536-0.00061551i,-0.00068142-0.00060607i,-0.00095158-0.00032407i,7.9794e-05-0.00010366i,0.00032647-0.00019755i,-1.0639e-05-0.00059095i,0.00011172-0.0005169i,0.00011101-0.0010597i,-1.4785e-05-0.0015255i,-0.00013824-0.0013942i,-0.00014214-0.0014717i,-0.00021882-0.0012533i
-0.00087367+0.0014989i,-0.00077484+0.0012264i,-0.00087283+0.00067088i,-0.00092018+0.00093359i,-9.4619e-05+0.0011169i,3.6158e-05+0.00099647i,-7.0865e-05+0.00091758i,0.0001188+0.0012173i,-0.00053052+0.00074411i,-0.00036227-0.00041234i,0.00043334-0.00099302i,3.4941e-05-0.00072659i,-0.0007804-0.00053125i,-0.00069914-0.00030061i,-0.00035035-0.00023308i,-0.00063725-0.00058331i,-0.00029224-0.00010536i,0.0002906+0.00024302i,0.00092975-0.00059843i,0.00098052-0.00084573i,0.00064834+0.00051741i,0.00048147+0.00086774i,-6.795e-05-0.00023394i
0.00074168+0.0014113i,0.0016211+0.0015515i,0.0019354+9.3037e-05i,0.0013441-0.0010983i,-0.00020409-0.00038927i,0.00010283+0.00065472i,0.0012718+0.0010259i,0.00085248+0.00056724i,5.7073e-05+0.00010076i,-0.00076984-0.00011258i,-0.00094524-0.00025546i,-0.00024118-0.00034423i,-0.00088318-0.00087585i,-0.001672-0.0011851i,-0.0013928-0.00085948i,-0.00081685-0.00069437i,-0.00058839-0.00025371i,-0.00045046-0.00010604i,0.00023535-2.4316e-05i,2.7337e-05+0.00037758i,-9.1305e-05-7.7243e-05i,0.00041424-0.0010428i,0.00035837-0.00074672i
0.00066133+0.00074135i,-0.00045246-0.00024613i,-0.00089553-0.00063938i,-0.00033998-0.0012153i,-0.0002935-0.0012723i,-0.00086086-0.00035056i,-0.0010713+0.00048505i,-0.00069962+0.00054369i,-0.00027686+0.00018646i,-0.00011228+0.00012376i,-0.0003717+0.00022367i,-0.0010581-1.0388e-05i,-0.00067083-0.00045027i,-0.00033901-0.00046487i,-0.00066809-7.3938e-05i,-0.0012507+0.00023452i,-0.0012238-0.00034187i,-0.00057902-0.00061899i,-0.00017008+0.00020134i,-0.00029107-0.00029925i,-0.00035515-0.00083372i,-0.00095978-9.1504e-05i,-0.0014152+0.00049577i
0.0013118+0.00061681i,0.0016432-6.4271e-06i,0.0010418-0.00072818i,-0.00051896-0.00084089i,-0.0014767-0.00057464i,-0.0012254+0.00055749i,4.6217e-05+0.0014707i,0.00046287+0.00090213i,0.00042322-0.00025685i,-8.5288e-05-0.00063218i,-0.00050787-0.00016042i,-0.00030683+0.00019555i,-0.00053839-1.2159e-05i,-0.00073971+0.00048543i,-0.00065164+0.00058787i,-0.00020808-0.00063002i,0.00024751-0.0004051i,-6.4361e-05+0.0010442i,-2.79e-05+0.0010189i,9.6637e-05-8.8137e-05i,0.00047448-0.00047618i,0.00060789-9.4336e-05i,0.00063455-0.00031944i
0.00017696-0.00054317i,-0.00054073-0.00098766i,-0.00070912-0.00093511i,-0.0012419-0.00042711i,-0.001159+0.00057554i,-0.001029+0.0016782i,-0.00081224+0.0020569i,-0.00023591+0.0012737i,0.00039915+0.001015i,-0.00018828+0.0012369i,-0.00064816+0.00021201i,-0.00017513-0.00046691i,0.00034189+0.00012712i,0.0014379+0.00044483i,0.0015715+0.00053935i,0.00034126+0.00083296i,-0.00021383+0.00088498i,0.00013374+0.00081487i,0.00061568+0.00040848i,-0.00020716-2.3269e-05i,-0.00095109+8.398e-05i,9.5976e-05+0.00030893i,0.00036843+0.00014021i
0.00041401+0.00049825i,0.00095633+3.4839e-05i,0.00046311-0.00088586i,0.00037902-9.5184e-05i,0.00023553+0.0014584i,0.00040617+0.001899i,0.00058157+0.001918i,0.00031947+0.0009462i,0.00018061-0.00033099i,0.00031623-0.0006423i,0.00011146-0.00086313i,0.00034837-0.00093197i,0.0001691-0.00088909i,-0.00016757-0.00049982i,-0.00060402-0.00019037i,-0.0011376+1.6351e-05i,-0.0010807+0.00054334i,-0.00038407+0.00071993i,-6.3426e-06+0.00086726i,0.00021618+0.00077891i,0.00011458+0.00025107i,0.00017108+0.00034538i,0.00056131+0.00058866i
0.0004188+0.00044517i,0.00073595-0.00042196i,-0.00035569+0.00010166i,-0.00083066+0.00039029i,-0.00072811+0.00051559i,-0.00028367+0.00080705i,0.00030733+0.0008913i,0.00027221+0.00063165i,0.00013197-0.00046924i,0.00043033-0.00093371i,0.00024482+0.00015803i,1.5987e-05+0.00062166i,-0.00053315+0.00078128i,-0.000454+0.0010088i,-0.00016344+0.0006241i,-0.00034916-0.0001663i,-0.00071007-0.0008657i,-0.00068619-0.00094624i,-0.0002875-0.00088258i,0.00026488-0.0005498i,0.00050014+0.00013648i,0.00022371+0.00026833i,-0.0003075+0.00021514i
-0.0014028+0.001666i,-0.00098744+0.00059082i,-0.00086406+0.0005614i,-0.00036669+0.00039047i,-0.00030151+0.00033095i,-6.0874e-05+0.00080831i,-0.00020963+0.00057532i,-0.00017013-0.00020269i,0.00011194-0.0001248i,-0.00026524-0.00012631i,0.00017098-0.00045908i,0.00052071-0.00067701i,-2.9448e-05-0.00086923i,-0.0001391-0.0010589i,-0.00052227-7.497e-05i,-0.00091444+0.00026396i,-0.00039424-0.00020337i,-0.00042203+0.00057504i,-0.00059678+0.0010126i,-0.00043944+0.00067723i,-5.8516e-05+0.00098435i,-1.3895e-05+0.0014053i,-3.2264e-05+0.00059423i
-0.0010197+0.00031718i,-0.00072424+0.0013332i,-0.0016744+0.0021052i,-0.0014988+0.0026907i,-0.00036916+0.0021333i,0.00054469+0.00076491i,0.0007818+0.00040912i,0.0011036+0.0008302i,0.00086007+0.00055868i,-0.00029599+0.00016546i,-0.00077969+0.00011294i,-0.00011948-9.8987e-05i,-7.5052e-06-0.00019291i,0.00033553-0.00021691i,0.0011726-0.00042868i,0.00081818-0.00045302i,-0.00036307+8.7606e-05i,-0.00070137+0.00010709i,-0.00032226-0.00046624i,0.000467-0.00029764i,0.00031535-8.9291e-05i,0.00016866-0.0005161i,0.00033634-0.00058385i
-0.00011779-0.00068585i,-0.00024464-0.00080341i,0.00019741-0.0011877i,0.00014233-0.0013801i,0.00037406-0.00013395i,0.00073813+0.00059312i,0.001033+0.0010656i,0.0013016+0.00037989i,0.00078487-0.00014652i,-0.00016997+0.00062585i,-0.00075408+0.00080461i,-0.00024587+0.00053922i,-0.00017376+0.00034769i,-0.00011705+0.00056238i,0.00020291+0.00051862i,0.00016551+0.00013053i,6.977e-05+1.3163e-05i,-0.00019252+0.00057863i,-0.00019058+0.00083413i,-0.00053998+4.363e-05i,-0.00063861-0.00047325i,-0.00031612-0.0002515i,0.00055434-0.00041341i
-0.00038892-0.00015423i,-0.00060129-0.0013266i,-0.00044212-0.0011486i,-0.00035476-0.00070665i,-0.00033133-0.0004759i,-0.00014127+0.0010253i,-0.00015605+0.0019078i,-0.00022404+0.0011261i,-0.0002424+0.00053577i,-0.00052519-0.00023599i,-0.00068773-0.00069778i,-0.00097052-0.00088544i,-0.00030343-0.0010933i,0.0002808-0.00098018i,-0.0006202-0.00058174i,-0.00070548-1.3026e-05i,-0.00014285+0.0001832i,-0.00045325-0.00016357i,-0.0006735+0.00020174i,-0.00010157+0.00049074i,-0.00035757-5.463e-05i,-0.00098312-0.00061345i,-0.00049751-0.0004945i
0.00039949+0.0011488i,0.0010246+0.001089i,0.00086824+0.00043372i,0.00097316-0.00055612i,-6.2826e-05+5.2432e-05i,-0.001296+0.001675i,0.00012849+0.0027232i,0.00086339+0.0026215i,0.00060861+0.00097491i,0.0010038-0.00010179i,0.00076066-0.00019217i,0.00020934-0.00027649i,0.00024565-9.639e-05i,0.00026864-5.1788e-05i,-8.6178e-05-2.2407e-05i,4.9353e-05+4.0115e-05i,2.4377e-05-4.5529e-05i,5.8671e-05+5.4831e-05i,4.1194e-05+0.00024951i,-0.00062193+0.00045569i,-0.00056616+0.00074614i,0.00022505-2.952e-05i,0.00082003-0.00086945i
