-0.0018255+0.00028196i,0.00034008-0.00023854i,0.00042375+0.00035158i,-0.00053715+0.00095349i,-0.00085792+0.0018792i,-0.00029692+0.0021022i,-0.00028941+0.001121i,0.00045654+0.00087352i,0.0010366+0.0013329i,0.0013047+0.0010983i,0.0018231+0.00090807i,0.0010121+0.00044965i,0.00011981-0.00048901i,0.00018916-0.0008002i,-0.00021398-0.00036114i,-0.00080062+0.00010163i,-0.00060183+0.0004765i,-0.00045534+0.00074669i,0.00013637+0.00036459i,-0.00014083+0.00030107i,0.00029451+0.00016473i,0.00082292-0.00066623i,6.1434e-05-0.00052337i
0.0014399+0.0020636i,0.00097573+0.00075987i,0.00093962+2.2779e-05i,0.00055286+0.00032645i,0.00042669+0.00077294i,0.00040386+0.00023405i,0.00069487+0.00024859i,0.00068972+0.00032774i,0.00056358-6.5148e-05i,0.00082141+0.00025818i,0.00071403+0.00039531i,0.00048246+8.2176e-05i,6.9541e-05-0.00011039i,-0.00022252+0.00056696i,0.00014458+0.00098647i,0.00063336+0.00098061i,0.00064618+0.00036448i,0.00063199+0.00024072i,0.0005325+0.00056271i,2.4275e-05+0.00027643i,-0.00041473+0.0003359i,-0.00036194+0.00068943i,-0.00041509+0.0006378i
-9.9722e-05+0.00014274i,-6.0235e-05-0.00058571i,0.00021829-0.00036268i,0.00019087-4.8484e-05i,0.00069118+8.1324e-06i,0.0018444-0.00070304i,0.0020026-0.00043112i,0.0011389-0.00021795i,0.00066268-0.00018573i,0.0012352+0.00010383i,0.0011904+0.00015992i,0.00041573-1.9028e-05i,0.00014174+0.00017745i,-8.0606e-05-9.0158e-05i,-0.00079639-0.0012002i,-0.00045353-0.00071842i,0.00045681+0.00023416i,0.00029242+0.00013202i,-0.00010602-0.00027756i,-0.00039555-0.00041971i,-0.00038735-0.00052158i,-0.00025948-0.00055992i,-3.5043e-05-0.00024589i
0.0011233+0.0010437i,0.0015883-0.00030369i,0.001205-0.00015092i,0.00011562+0.00041741i,-0.0006785+0.00025944i,-0.00095495-0.00045412i,-0.00094419-0.00058082i,-8.6645e-05-2.6763e-05i,0.00042048+0.00013606i,6.3773e-05+0.00028256i,-0.00029647-0.00023691i,-0.00046276-0.00076987i,-0.000512-0.00076622i,3.2484e-05-0.00054297i,0.00027158-0.00040454i,0.00019198-0.00021345i,0.00018689+0.0005099i,-0.00032051+0.00019418i,-0.00020704-0.00041232i,0.00020377-0.00046214i,-4.1278e-05-0.00075099i,-0.00049134-0.00035906i,-0.00081673+5.4507e-05i
-0.00082239-0.0011733i,0.00023634-0.00092264i,-4.4718e-05-0.00088331i,-0.00047774+0.00023765i,-9.4904e-05+0.00098105i,0.00091544+0.00044522i,0.0013761-5.6736e-05i,0.00033037+0.00053256i,-0.00018953+0.0009244i,0.00061481+0.00059107i,0.00065933+0.00059989i,0.00025285+0.00030451i,0.0003736-0.0007039i,0.00025618-0.00080614i,0.00026589-0.00074627i,0.001019-9.4252e-05i,0.00096144+0.00061034i,0.00018199+0.00042939i,0.00053166+3.0224e-05i,0.0007117-8.6118e-05i,0.00015228-0.00016933i,-0.00014436+0.00019494i,-0.00066826+0.00049005i
0.00023044-0.0011341i,0.00057019-0.00095344i,-0.00030492-0.00031942i,-0.0001723+6.7391e-05i,0.00032712+0.00098378i,0.00036257+0.0014246i,7.2108e-05+0.00082052i,-0.00014739+0.00070437i,-0.0001351+0.0010648i,0.00070769+0.00061985i,0.00081456+0.00034074i,0.00034432-4.4275e-05i,-0.00020684+2.0632e-05i,-0.00041381-0.0001577i,0.00017555-0.00085451i,0.00024076-0.00033319i,-0.00015288+0.00021157i,-0.00014547+0.00037626i,-3.0918e-05-4.5687e-05i,-0.00038408-0.0004839i,-3.8817e-05-0.0003687i,0.00042216+7.1942e-05i,6.1044e-05+0.00031615i
-0.0017768+0.00078922i,-0.0002688+0.00077604i,-9.9257e-07+0.00090273i,-0.00033923+0.00067506i,-0.0004986+0.0007555i,-0.00010216+5.0476e-05i,0.00029699-0.00057708i,-0.00066556-6.4815e-05i,-0.00058007+0.0010395i,0.00061173+0.0017421i,0.00064302+0.00082456i,0.000198-0.00073248i,-3.9264e-05-0.00067469i,-0.00056959-0.00039061i,-0.00077581-0.00073703i,-0.0001867-0.00052023i,0.00045868+2.585e-05i,0.0011049+9.6879e-06i,0.00068296-0.00047294i,0.00023981-0.00073468i,8.6499e-05-0.00079313i,-6.4076e-05-0.00032502i,-0.00010654-5.0678e-05i
0.00038429+0.00043737i,0.0010247+1.8477e-05i,0.0015405-0.00069293i,0.00039936-0.0010818i,-0.00067175-0.00066733i,-0.0014623+0.00037018i,-0.0013184+0.00053755i,-0.00020739+0.00046982i,0.00080458+0.0010336i,0.00083962+0.00026046i,-0.0001538-0.0004061i,6.4496e-05+4.9108e-05i,0.00039428+0.00012532i,0.00098494+0.00037989i,0.0010872+8.3833e-06i,-0.00013321+0.00012672i,-0.00063405+0.00061964i,-0.00010613-2.7295e-05i,-5.3582e-05-0.00075298i,-0.00033512-0.000503i,-0.00043333-0.00054263i,-0.00040768-0.000387i,-0.00047243+0.00021603i
0.00053243+0.001146i,0.0016509+0.00039445i,0.00073159+0.001208i,0.00021936+0.00097989i,0.00017827+0.00027275i,1.3164e-05-0.00024258i,-4.1335e-05-0.0003259i,-3.9224e-05-8.2841e-05i,0.00040731+0.00029539i,0.00069612+0.00074318i,0.00019292+0.00067609i,-3.7183e-05+0.0001119i,-0.00035811-0.00045743i,-0.00063565-0.00072538i,2.2982e-05-0.00021324i,0.00079347+0.00073309i,0.00040532+0.0010224i,1.3014e-05+0.00064534i,0.00053075+3.7955e-05i,7.1362e-05-6.9176e-05i,-2.9412e-05+0.00012213i,0.00069263+0.00027396i,0.00059662-0.00046761i
0.00099767-0.00040197i,0.0014954-0.00032637i,0.00046477-0.0010216i,-0.00070943-9.1902e-06i,-0.00076872+0.0018834i,-0.00050746+0.0025244i,-0.00010722+0.0016629i,0.00040449+0.00077089i,0.00038271+0.00057421i,0.00023349+0.00043191i,0.0004093-0.00023123i,-9.5108e-06-8.8186e-05i,-0.00027307+0.00038741i,-0.00034718-4.528e-05i,-0.00089822+0.00036468i,-0.00097506+0.00096875i,-0.00047627+0.001002i,-8.6169e-05+0.00067903i,0.00024657+0.00016309i,0.00018447+0.00053575i,-0.00027252+0.00031421i,-0.00036636-4.6876e-05i,-6.7892e-05-9.8531e-05i
0.00028675-0.001283i,0.00093572-0.00010022i,0.0010673+0.00024225i,0.00033841+0.00053735i,-0.00053834+0.0012044i,-0.00049808+0.00081238i,-0.00019487-8.1681e-06i,-0.00019546+0.00047686i,-0.0003428+0.00062318i,-0.00058102+0.00016298i,-0.00054806-1.7498e-05i,-0.00067517+0.0004793i,-0.00053962+0.0011421i,-0.00011545+0.000167i,-4.928e-05-0.00084093i,-0.00049452-0.0005426i,-0.00011537+0.00021398i,-0.00034964-8.457e-05i,-0.00064179-0.00045014i,-0.00074812+0.00079515i,-0.00081044+0.0014271i,-0.00039406+0.0010157i,0.00022127+0.0011456i
-0.00025499-0.00081857i,0.0012535-0.00068203i,0.0011399-0.0014566i,-0.00025752-0.00085911i,-0.0008486+0.00017011i,-0.0011093+0.00038861i,-0.00059953+0.00032971i,0.0003262+0.00055073i,0.00062771+0.00065438i,0.00033231+0.00021512i,-0.00017547-0.00022842i,-0.00015864-6.6199e-05i,0.00028676+4.308e-05i,-0.00041868-0.00035766i,-0.00078222-0.00036972i,-0.00017643-0.00030828i,0.00054618-0.00010215i,0.0007664-1.3565e-05i,0.00078702-0.0001628i,0.00011035+0.00033924i,-0.00084215+0.0008423i,-0.0005016+0.00058566i,0.00083201+0.00046663i
0.0020287+0.00039388i,0.001825+0.00031144i,0.0011129+0.00069548i,0.00022632+0.0006472i,0.00025046+1.7313e-05i,-9.3817e-05-0.00020585i,6.0401e-05-0.00044522i,0.00050253-0.00051035i,0.00024605-0.00030484i,-6.5681e-05-0.00028784i,-0.00023572+9.1774e-05i,0.00024865-5.956e-05i,0.00058501-0.00054103i,0.00034262-0.00051352i,0.00014022-0.00012777i,-0.00014914+0.00069619i,-0.00052802+0.00095192i,-0.00030255+0.00016195i,-0.00027779+0.00013827i,-0.00043602+8.8876e-05i,0.00013559-0.00026312i,0.00043902-0.00055025i,-5.0312e-05-0.00043074i
0.00076704-8.1627e-05i,0.0014357-0.00019669i,0.00096465+9.5685e-05i,0.00021147+0.00063138i,0.00059369+0.00067117i,0.00090576+0.00024419i,0.00085983-0.00010364i,0.00025817-0.00011469i,1.4269e-06+0.00013076i,0.00042506+0.00014999i,0.00029287+0.00043714i,-0.00032903+0.00058419i,0.00027568+0.00028904i,0.00091474-0.0003964i,9.1309e-05-0.0011848i,-0.00010051-0.00098512i,0.00057661+9.7871e-05i,0.0005539+0.00083169i,0.0007951+0.00069265i,0.00083303+0.00053499i,0.00050539+0.0006665i,7.93e-05+0.00049366i,0.00015112+0.00048599i
-0.00075621-0.00073627i,-0.00041323-3.5965e-05i,-0.00017728+0.0002449i,3.7254e-05+0.0003082i,1.1046e-05+0.00089355i,-0.0003598+0.00056794i,-0.00062374-0.00058106i,-0.00097966-0.00037559i,-0.0014269+0.00020908i,-0.00046723+0.00064802i,0.00071489+0.00086112i,0.00062369+0.00021441i,0.00041419-0.00080872i,0.00022104-0.00099703i,1.1586e-06-0.00069985i,0.0001773-0.00012985i,0.0003639+0.00072789i,0.00089583+0.00067433i,0.00072441+1.4626e-05i,0.00012389+0.00014648i,-2.0269e-05+0.00075618i,-0.00058555+0.00030166i,-0.00064948-5.6767e-05i
0.00043253-0.00075341i,0.0009506-0.00050361i,0.00016593-0.00030532i,-0.00045876+0.0010842i,-0.00058287+0.0016881i,0.00026903+0.00072976i,0.00094824+3.1152e-05i,0.00041032+0.00049547i,0.00015346+0.00050554i,0.00052431-3.7232e-05i,0.00074246-0.00062378i,0.00068858-0.00093858i,0.00025939-0.0010394i,-0.00039804-0.00082229i,0.00026607-0.00038528i,0.00061955-0.0004178i,0.00066251+0.00014817i,0.0013974+0.00068288i,0.00076366+0.0001195i,0.00034722+0.00017209i,-0.00010016+0.00059049i,-0.0010232+0.00039118i,-0.0015033+0.0014012i
-0.00014304+0.00024792i,0.00030818+0.00021614i,0.00082654-8.5659e-05i,0.00092447+0.00028307i,0.00057362+0.00097662i,0.00056936+0.00073939i,6.4508e-05-0.00011718i,-0.00068163+2.8938e-05i,-0.00015756+0.00058707i,0.0006339+0.00061588i,0.00023244-0.00028586i,-0.00019413-0.0012393i,6.7694e-05-0.00099076i,0.00027556-0.00080467i,-3.0623e-05-0.00063761i,0.00018847-2.0348e-05i,-0.00012473+0.00035465i,-0.00024383-8.2593e-05i,0.00061601-2.433e-05i,0.0010763+0.00044639i,0.00050262+0.00025632i,-0.00031719-7.5523e-05i,-0.00011435-7.6031e-05i
-0.00068552+0.00087799i,-0.00063429-0.00080059i,-9.0329e-06-0.00093103i,7.6215e-06+0.00033435i,0.00036429+0.00048003i,0.00024341-0.00015449i,-0.00066316-8.6914e-06i,-0.0011724+0.00070885i,-0.00053483+0.0011208i,0.00026955+0.00089652i,0.00039884+0.00024526i,0.00081995-0.00038911i,0.00058588-0.00022822i,-0.00026623+0.00014848i,-0.00019672+7.0271e-05i,4.3272e-05+5.3624e-05i,-0.00011728+0.00015156i,-8.1373e-05-5.0498e-05i,-0.00042255+0.00011043i,-0.00081582+0.00026519i,-0.00038991+0.00055751i,-0.00069708+0.00077587i,-0.0012429+0.00030524i
0.00156-0.00033822i,0.00082018+0.0006461i,0.0012184+0.0021069i,0.00062011+0.0014923i,0.00022614+6.8789e-05i,0.00024067-4.3806e-05i,-0.00020153-8.0555e-05i,-0.00040639-1.3865e-05i,-0.00072214+0.00027807i,-0.00018708-9.2248e-05i,0.00066108-0.0007476i,0.00046699-0.00032236i,0.00025193+0.00093743i,0.0002169+0.00055677i,0.00085203+3.2666e-05i,0.0010161+0.00031753i,0.00042381-8.5507e-06i,0.0004911-0.00066003i,-0.0001627-0.00063582i,-0.0010179-0.0001649i,-0.00036655-0.00012334i,-6.7643e-05-0.00031575i,-0.0011331-0.00059425i
0.0015216+0.0015266i,0.00022162+0.0003589i,-2.3272e-05-0.00029487i,0.00087847-3.3711e-05i,0.0012804-0.00037341i,0.0004371-0.0016935i,-0.00055093-0.0014435i,-0.0011725-4.8939e-05i,-0.00062524+0.00084773i,0.0004855-4.364e-05i,0.00036116-0.0010032i,9.5239e-05-0.00073558i,0.00025416-0.0002556i,0.00020152+1.4997e-05i,0.00023568+0.00049471i,-0.00031587+0.00046482i,-0.00022441+0.00033732i,0.0005675-0.00019578i,-0.00010591-0.00054373i,-0.00060066-0.00087805i,-0.00026623-0.00047885i,-0.00034025+6.316e-05i,-0.0006791-0.00019745i
0.00037569+0.0012733i,0.0012755+0.00025396i,0.0015069-0.00032948i,0.00062365+0.00019855i,-0.00037061+0.00027839i,-0.00073194-4.7175e-05i,-0.00031356+0.00013772i,-0.0001295+0.00080826i,-5.6503e-05+0.00056605i,0.00058171+0.00022675i,0.00062918+3.9207e-05i,0.00049965+0.00017763i,0.00077965+0.0003189i,4.9974e-05+9.1414e-05i,-0.00040049+0.0001322i,0.0006766-0.00045816i,0.0001768-0.00052398i,-0.00099702+0.00029697i,1.6187e-06+0.00061655i,0.00064668+7.6571e-05i,-9.8194e-05+0.00051009i,-0.00075867+0.00039231i,-0.00062879-2.3743e-07i
-0.0011383+0.00055552i,-0.0011343-0.00019438i,-0.00080605+0.00025598i,2.4526e-05+0.00062225i,0.00069541+0.0008986i,0.00062443-0.00015321i,-0.00010274-0.0011396i,-0.00032685-0.00031957i,0.00019123+0.00065309i,0.00038566+0.00044571i,2.3013e-05-0.00065878i,-0.00028193-0.00024945i,-8.3916e-05+0.00047276i,0.00029011+0.00037747i,0.00034056+0.00025804i,-0.00052005+0.00055664i,-6.5361e-05+0.00089616i,0.0015585+1.3131e-05i,0.00045572-0.00055861i,-0.00068925+9.0358e-05i,4.9338e-05+0.00061997i,0.00025933+0.00070621i,0.00024595+0.00055771i
-0.00089955-0.00097589i,1.8131e-05-0.00035414i,-3.9421e-05+0.00097904i,0.000389+0.0018272i,0.0013973+0.0020039i,0.00047034+0.00044004i,-0.0005062-0.00067976i,-0.00063864-0.00057694i,-0.00015569-3.2497e-05i,0.0002825+0.00089821i,0.00039393+0.00047611i,0.00044073-0.0005099i,0.0002536-0.00039585i,-0.00040126-0.00080141i,-0.0007788-0.0010543i,-0.00032209-0.00055878i,0.00031784-0.00090265i,0.00029387-0.00089259i,0.00017896+0.00014121i,-0.00020593+0.00017098i,-9.2992e-05-0.0004408i,-0.0001963-0.00048118i,-0.0004314-0.00028123i
0.0016175+0.00027441i,0.0017349+0.00026127i,0.0016426+0.00037061i,0.0013409-0.00042865i,0.00072157-9.1392e-05i,-0.00016856+0.00045028i,-0.00056199+3.9868e-05i,-0.00022961+0.00025482i,0.00016396+0.00071251i,0.00036043+0.00072587i,0.0007069-0.00041162i,0.00055689-0.0011475i,-0.00082428-0.00048607i,-0.001323-0.00014359i,-0.00069079-0.00010701i,-4.5709e-05+0.0003824i,0.00023074+0.00046728i,-8.8891e-05-0.00078436i,-0.00013979-0.00051168i,-0.0002779+0.00023976i,-0.00036997+0.00052801i,-9.0297e-05+0.00014583i,0.00013668-0.00045678i
-0.0010584-0.00092422i,-0.00023549-0.0018214i,3.2968e-05-0.0014898i,-0.00053991-0.00047841i,-0.000192+0.00029365i,0.00068525+0.00038216i,0.00046957+0.00041359i,-0.00018884+0.0010275i,0.00019747+0.00049622i,0.00039064-0.00037202i,-3.5209e-05-0.00058461i,0.00016035-0.00054533i,-0.00041754-0.0001637i,-0.00080643+0.00026311i,-0.00019167-0.00013238i,0.00031358-0.000744i,0.00019209+0.00015222i,-0.00013506+0.0010082i,-0.00017348+0.00047134i,0.0001994-0.00027914i,0.00026779-0.00037377i,0.00021871-6.3894e-05i,0.00036211+0.00026076i
0.00026885+0.00037653i,-2.5619e-05+0.00048003i,0.0011801+0.00090664i,0.0014378+0.00060727i,0.00067145+0.00053004i,-0.00037727-5.334e-05i,-0.00092653-0.00065002i,-0.00013472+0.00011041i,-5.7036e-05+0.00013041i,0.00018986-0.00015518i,0.00031397-0.00023124i,1.4347e-05-0.00040093i,0.00014568-0.0001132i,0.00057852+0.00065024i,0.00072735-0.00034816i,0.00026037-0.00071847i,0.00028954+0.00045249i,0.00012989+0.0007781i,-0.00023662+0.00088718i,-0.00010122+0.00066025i,-0.00049915+0.00060675i,-0.00084946+0.00069492i,-4.7101e-05+0.00038279i
6.0611e-05-0.00017752i,0.0006879-0.00038734i,0.00031166-8.7268e-05i,-5.3188e-05-0.00027427i,7.6488e-05-0.00041528i,0.0003017-0.00014868i,0.00035299-0.00022219i,4.4705e-05+0.00015971i,-0.00029068+5.6951e-05i,0.00033112+0.00044058i,0.0005075+0.0011541i,0.00024705+0.0011062i,0.00035244+0.00050435i,0.00030622-5.1663e-06i,0.00037733+0.00017063i,0.00023822+0.0004966i,6.4144e-05+0.0012373i,-6.5441e-05+0.0010493i,-0.00045911+0.00033551i,-0.00013653+0.00011308i,-2.776e-05+6.0762e-05i,-9.1492e-05+0.00014424i,-0.00031925+0.00054096i
-0.00056826+0.00086221i,-6.0729e-05+0.00049896i,0.00040975+0.00047097i,7.346e-05+0.00081733i,0.00038459+0.0007525i,0.00060444+0.00010392i,-0.00055612-0.00024621i,-0.00084253+0.00031704i,0.00027997+0.0012793i,0.0010968+0.00052577i,0.00052473-0.00060499i,0.00010348+6.3242e-05i,0.00051638+9.7269e-05i,0.00053583-0.00046798i,0.00054347-0.00021074i,0.00057633-0.00024251i,5.4896e-05-0.00012354i,-0.00074405+0.00016072i,-0.001064-9.2386e-05i,-0.00072204-0.00015718i,-4.6273e-05+0.00021741i,0.00041022+6.5066e-05i,0.00020049+0.00055719i
-0.00062452+0.00020398i,-0.00057103+0.00022281i,-0.00024838+0.00057771i,-0.00021179+0.00090099i,-0.00022321+0.00053592i,0.00037976-0.00088643i,0.00093868-0.001574i,0.00048676-0.00066137i,0.00016265+0.00027835i,0.00039902+0.00082654i,0.00043972+0.00087054i,0.00038477+0.00020238i,0.00046542+2.2475e-05i,0.00025513-0.00020747i,4.7768e-05-0.00048011i,-0.00017713-0.00034149i,-8.4112e-05-0.00037542i,-6.7118e-05-0.0001601i,-5.0903e-05+0.00032768i,-0.00010982+0.00025859i,-0.00068819-0.00026279i,-0.00047432+7.0266e-05i,-7.6661e-05-4.3252e-05i
0.0011194+0.0017243i,0.0015472+0.0017156i,0.0013556+0.00094601i,0.001042+0.00087459i,0.00082925+0.00056554i,0.00014037-0.00031632i,-0.00014975-0.00025002i,5.4142e-05+3.9277e-05i,0.00043705+0.00051466i,0.00045413+0.00083594i,0.00036879-2.0768e-05i,4.3332e-05-0.0013557i,-0.00051989-0.0009882i,-0.0005733-0.00016426i,-0.0003337+0.00016313i,-0.00055505+0.00097012i,-0.00065048+0.00061082i,-0.00051018-5.5171e-05i,-8.9261e-05+1.5476e-05i,8.5609e-05+0.00011448i,0.00021051-8.9944e-05i,0.00053931-0.00045063i,1.1328e-05-0.00031826i
0.0017505-0.00011399i,0.0016451-0.0001599i,0.000471-0.0012345i,-0.0012506-0.0015581i,-0.0018408-0.00051866i,-0.0014629+0.00010483i,-0.0012198+0.00026791i,-0.00056701+0.00019829i,0.00037849+0.0002652i,0.00063596-0.00023882i,0.0010167-0.00050454i,0.0010974-0.00022102i,0.0007387-7.6582e-05i,0.00042686-0.00022607i,0.00019196-0.00029802i,0.0010792-0.00032315i,0.0011395-0.00024387i,0.00056275+0.00041267i,-0.000375+0.00081791i,-0.00019214+0.0010563i,0.00057373+0.00092411i,0.00077318+0.00038265i,0.00016995+0.00040755i
-7.7758e-05-0.00079196i,-8.813e-05-0.00069532i,-0.00053718-0.00027551i,0.00037814+0.00071204i,0.00098114+0.0016908i,0.00073508+0.0012005i,0.00051634+8.9731e-05i,0.00038553+0.00022319i,0.0002356+0.00048104i,0.00021543+0.00032025i,0.00035256-0.00016367i,-0.00036074-0.00073835i,-0.0010202-0.00072489i,-0.00053307+0.0001064i,-0.00030989+0.0002549i,0.00010197+0.00042858i,0.00059719+0.001079i,0.00056042+0.00042559i,0.0003243-0.00045512i,-0.00026604-0.00062194i,-0.00060026-5.5966e-05i,-0.00083111+0.00041974i,-0.0007705+0.00038638i
