-6.3161e-06+3.4761e-05i,-1.6569e-05+0.00060212i,6.3692e-05-0.00028205i,-0.0006968-0.0003118i,-0.00195+0.00019802i,-0.0027952+0.0002753i,-0.0023485+0.00095352i,-0.0016334+0.0014662i,-0.0013553+0.00084275i,-0.00091748+0.00023397i,5.1724e-06-0.00040964i,0.00032939-0.00017929i,-0.00021462+0.00086571i,5.3482e-05+0.00089924i,0.00033611+0.00052926i,0.00048819-2.2034e-05i,0.00040441+0.00040547i,-2.5611e-05+0.00096986i,-0.00040943+0.0013357i,-0.00032044+0.0014475i,3.6581e-05+0.00046494i,0.00016199-0.00079621i,9.4093e-05-0.0005332i
0.0011913+0.0010565i,0.001658+0.0013744i,0.0018676+0.00073742i,0.0014353-1.9358e-05i,-3.4909e-05-9.3209e-05i,-0.0012464-0.00015213i,-0.0010356-9.6834e-05i,-0.00098903+0.00020266i,-0.00048792+0.00010469i,0.0004135-0.00039994i,0.00060924-0.00080216i,0.00025577-0.00074047i,5.1793e-05-0.00077641i,0.00025326-0.00070868i,0.00091793-0.00028029i,0.00089454+0.00019565i,0.00070727+0.00036266i,0.00029466+0.00015194i,0.00028875+8.9899e-05i,0.00013139+0.00072121i,-0.00018187+0.00080789i,-0.00032165-0.00017132i,0.00023392-0.00032798i
0.00076297-0.00093599i,0.0003562-0.00020274i,-0.0010102-0.00098954i,-0.0017588-0.0015537i,-0.0021671-0.00076996i,-0.0015578+2.5118e-05i,-0.00061976+0.00039962i,-0.00049952+0.00015157i,-1.6109e-05+4.7115e-05i,0.00027714+0.00036455i,-0.00052167+0.00048803i,-0.00032321+0.00026074i,0.00070928-0.00017837i,0.00040367+5.7581e-05i,-0.00071414-0.0001036i,-0.00099209-0.00092377i,0.00022963-0.0011127i,0.0013919-0.00073177i,0.0010456-0.00046219i,-0.00022264-0.00024854i,-0.00055859-0.00020293i,-0.00031301+0.00025075i,-0.00050581+0.00033316i
0.00012286-0.00074572i,0.00055489-0.00046006i,0.00080669-0.00088318i,1.8628e-05-0.00053522i,-0.00075867-0.00081447i,-6.7595e-05-0.00073516i,0.00011054-0.00013832i,0.0002806-0.00073259i,0.00056699-0.0006339i,-0.00016923+9.3044e-05i,-0.00017478-0.00041419i,9.4808e-05-2.7601e-06i,0.00059891+0.00075487i,0.00080509+0.0010155i,0.00079765+0.00087862i,0.00073868+5.7247e-05i,-0.00010472-0.00060749i,-0.0011086-0.00070368i,-0.001067-7.7795e-05i,-0.00018495+0.00061746i,0.00036928+0.00034974i,0.00044037+1.5804e-05i,0.0004965-8.8486e-05i
0.0010698+0.00058893i,0.0012675+0.00056046i,0.0009374+0.00015456i,-0.00050154-0.0011568i,-0.0017868-0.0012967i,-0.0027543-0.00083662i,-0.0018691-0.00054563i,-0.00057907-0.00044407i,6.2569e-06-0.0001869i,0.00039974-0.00049146i,0.00020886-0.00044731i,-0.0005742-0.00019635i,-0.0010735-0.00044597i,-0.00059584-0.0003722i,0.00021359-0.00068123i,0.00054048-0.00054845i,0.00036945-0.00013067i,0.00040534+0.00021799i,0.00037892+0.00030495i,0.00012841-0.00012361i,0.00088273+2.6765e-05i,0.00053382+9.6818e-05i,-0.0001218-0.00039166i
-0.0018054+0.00041735i,-0.0014731+0.00019062i,-0.001564+0.0012395i,-0.00038826+0.0011371i,-0.00054618+0.00085344i,-0.0014036+0.00044162i,-0.00098444+0.00013831i,-0.00079571+0.00047414i,-0.00011182+0.00053657i,-0.00026658+0.00035564i,-0.00053285+0.00010311i,-0.00035168-0.00010963i,-0.0002017-0.00046955i,-0.00026115-0.00022519i,-0.00029297+8.4837e-05i,0.00053637-3.3728e-05i,0.00059929-0.00043337i,2.4847e-05-0.00088889i,0.0004419-0.00070303i,0.00060592-0.00024685i,-4.6321e-05-0.00054177i,2.216e-05-0.00022861i,0.00035162+4.464e-05i
-0.00019359-3.0208e-05i,0.00027189+4.6751e-05i,0.0015562-0.00057716i,0.0020093-0.0011514i,0.00063987-0.00083359i,-0.00062797-0.00093i,-0.00072146-0.0009692i,-0.00030373-0.00037313i,0.00023236-0.00010203i,0.00014426-0.00016801i,-0.0001947-0.00032056i,-0.0008104-0.00049769i,-0.00071375-0.00034903i,0.00052608-0.00056599i,0.001051-0.00074327i,0.00049368+0.00042463i,-0.00051247+0.00090446i,-0.00082446+4.7734e-05i,-0.00038173-5.3828e-05i,-0.00018795+0.00035753i,-5.5973e-05+0.00028058i,0.00026669+0.00020928i,0.00012566+0.00065927i
0.0009783-0.0010992i,0.00080636+0.00056963i,-0.0001594+0.00074523i,-0.0012859-0.00046085i,-0.0015233-0.00066006i,-0.0011648+4.2013e-05i,-0.00061316+0.00043062i,-0.00035533+0.00074172i,-0.00083409+0.00021787i,-0.0013579+0.00020541i,-0.00053648+0.00063164i,1.2754e-05+0.00043365i,-0.00034427-7.5356e-06i,-0.00023287-0.00049568i,0.00057774-9.9091e-05i,0.0011959-0.00019021i,0.00050098-0.00051393i,0.00032974-0.00039832i,0.00058836+0.0003294i,0.00050339+0.00065857i,0.00035477+3.7594e-05i,-4.9567e-05-0.00020461i,-0.00046403-1.4436e-05i
0.0022364+0.00022885i,0.0021454+0.00061283i,0.001291+0.00083805i,-0.00065883-4.0901e-05i,-0.0023762-0.00087756i,-0.0018416-0.00071451i,-0.0008697-0.00045261i,-0.0005001+8.9535e-05i,-0.00029632+0.00039299i,-0.00074056+0.00031993i,-0.00073989+0.00022671i,0.00012583+0.00022683i,0.0010388-0.00038821i,0.00068873-0.0006535i,0.00017265+0.00041236i,0.00015756+0.0010308i,-0.00018867+0.0007341i,-6.3503e-05-0.0002383i,0.00029716-0.00027708i,-0.00030396+0.00037806i,-0.00093173-0.0001302i,5.8434e-05-0.00031767i,0.00099464+3.9987e-05i
-8.9061e-05+0.0005311i,-0.00076717+0.00052589i,-0.00058289-1.9126e-05i,-3.5031e-05-0.00077774i,-0.00021056-0.0011685i,-0.00083242-0.00048365i,-0.00090389+0.00036222i,-0.00052556+0.00037852i,-0.00076534+0.00042879i,-0.00070446+0.00058241i,-0.0004533-7.4354e-05i,-0.00015688-0.00027532i,0.00071028-9.0331e-05i,0.0010408-0.00014318i,-0.00025966-0.00076809i,-0.00063422-0.00093812i,9.3999e-05-0.00019177i,-0.00057873-1.2253e-05i,-0.00057026-0.00054921i,0.00069875-0.00077014i,0.0014172-0.00019428i,0.0014043+0.00052512i,0.00090023+0.00034379i
0.00099616+0.0003269i,0.0012826-0.0003035i,0.0014194-0.00022503i,0.00042213-0.00060191i,-0.00076452-0.00048275i,-0.0010171+5.4526e-05i,-0.00097127-2.6385e-05i,-0.00049841+0.00026391i,0.00036933+0.00043609i,0.00077767+0.00015442i,0.0011434-0.00010003i,0.00079909+0.00059221i,-0.00077183+0.00078743i,-0.0012035+0.00056606i,-0.00070077-3.3834e-05i,-0.00028409-0.0010089i,0.00013654-0.00031399i,0.00022641+0.00050736i,0.00041102-0.00014676i,0.00032081-0.0002537i,0.00034694-0.00064493i,5.1423e-05-0.0011622i,0.00024672-0.00090488i
2.5363e-05+5.4788e-05i,0.00013558+0.0017067i,-0.00037182+0.0017406i,-0.00011189+0.00062401i,5.6867e-05-9.2543e-06i,-0.00032902+6.7093e-05i,-0.00041615-0.00012836i,-0.0007632-0.00065819i,-0.0010961-0.00031733i,-0.0005691+0.00033086i,-0.00017003+0.00081808i,0.00035667+0.00050868i,0.00032257-0.00021789i,0.00010324-0.00071329i,-0.000344-0.00075988i,-0.00016764-0.00088499i,0.0001319-0.0003441i,-0.00054574+0.00017449i,-9.121e-05+8.9277e-05i,0.00056031-7.561e-05i,0.00077881-4.4562e-05i,0.00030965+0.00076749i,-7.4638e-05+0.0013277i
-0.0016363-0.00066627i,-0.0026012-0.00020358i,-0.0023836-0.00087475i,-0.0020549-0.0010763i,-0.0018056-0.0010766i,-0.0014106-0.00087447i,-0.00093913+0.00010039i,-0.00027608+0.00045967i,0.00055565+0.00047347i,0.0014642+0.00054192i,0.00066547+0.00027363i,-0.00047154+0.00019828i,-0.00044334-0.00017442i,-6.3251e-05-0.00064956i,3.2109e-05-0.00064715i,5.608e-05-1.042e-05i,-0.0003141+0.00032377i,-0.001163-8.3906e-05i,-0.0012435+0.00028522i,-0.00055693+0.00043425i,0.00066571+7.8878e-05i,0.00097555-0.00016919i,-0.00028019-0.00074836i
0.0012223-0.0017478i,0.0012087-0.00089594i,0.0018163-0.00095927i,0.0012573-0.0015506i,-0.00088769-0.00086823i,-0.0017319+0.00067344i,-0.0016305+0.00050812i,-0.0010151-0.00070736i,2.8788e-05-0.0003812i,0.00010501-9.5695e-05i,-0.00016492-0.00035208i,-0.00015056-6.2346e-06i,8.9805e-05+0.00033941i,-0.00011077+0.00044207i,-0.00040269+0.00013265i,-0.00019452-0.00067954i,-0.00030526-0.00050307i,0.00027297+0.00090539i,0.0010365+0.0010481i,0.00024629-1.3702e-05i,-0.0012749+9.1752e-05i,-0.00086624+0.00038621i,0.00026536+0.00035952i
0.0029175+0.0014634i,0.0013216+0.0021351i,0.00022211+0.0010388i,9.0976e-05-0.00081344i,-0.00060788-0.0016953i,-0.0007721-0.00095898i,-0.00043901+0.00047808i,-0.0004606+0.00037307i,-0.00040599-0.00063056i,-0.00070144-0.00093048i,-0.0010314+0.00026219i,-0.0008993+0.00047707i,-0.00074028+0.00012075i,-0.0004653+0.0004594i,-0.00026029+0.0007561i,-5.2794e-05-2.7509e-05i,5.188e-05-0.00076616i,0.0003882-0.0004345i,0.00015527+9.1525e-05i,-0.00052957+0.00012893i,-9.7119e-05+0.00013522i,0.00019529+0.00014031i,-0.00015167-0.00089695i
-2.3049e-05+0.0010347i,-0.00076916+0.0011738i,7.8308e-05+0.0016184i,0.0012064+0.00044978i,0.00087068-0.0009317i,-8.33e-05-0.0013599i,-0.00075506-0.00085736i,-0.00066306-0.00027992i,-0.00023493+0.00016045i,0.00018635+0.00040208i,0.00059526+9.6309e-05i,0.00024522+0.00046656i,-0.00034764+0.00092837i,-0.00049822+0.00030305i,0.00015607-0.00062569i,0.00034368-0.00041448i,-0.00036719+0.00015991i,-0.00034203+0.0001674i,0.00044909+7.8129e-06i,0.00054438+0.00026446i,-0.00015571+0.00038939i,0.0004027-1.0053e-06i,0.00053172+0.00047397i
0.00049253+0.0015167i,0.0016932+0.00048712i,0.0022134-0.0011579i,0.0012876-0.0013446i,-0.00037334-0.0006707i,-0.0012884-0.00063306i,-0.0013588-0.00093602i,-0.0011457-0.00090426i,-0.00037468-0.00083746i,-2.0043e-05-0.00026958i,-0.00060993+0.00050211i,-0.00088895+0.00033376i,-0.00075634+0.00039816i,-0.00012901+0.00046289i,0.00048361-0.00010838i,0.0001429-0.0002708i,0.00010787-1.3958e-05i,5.5298e-05-0.0002227i,0.00032939-5.0783e-05i,0.00076946+0.00034327i,0.00070126+0.00034063i,0.0006964+0.00012465i,-0.00010937+9.8719e-05i
-0.0015898-0.0015676i,-0.00089489+0.00050325i,-0.00092878+0.00058013i,3.2013e-05-5.1512e-05i,0.00022528-3.2621e-05i,-0.00050199+0.00020995i,-0.000805+0.00076499i,-0.00059283+0.00047556i,-0.00017172+0.00011586i,-0.00017803+0.00066429i,-0.00015417+0.00081184i,0.00035411+0.00039318i,0.00050904+0.00011547i,-0.00011303-0.00025059i,-0.00016942+0.00023271i,-0.00036511+0.00027841i,-0.00075565-0.00030096i,-0.00075527+0.0004654i,-0.00032432+0.00113i,0.00079247+0.00035195i,0.0014008-0.00026945i,0.0013329-0.00012013i,0.00092029-0.00024192i
0.00025037+0.0027727i,0.00083068+0.0022597i,0.0024309+0.0011688i,0.0020588-0.00040847i,0.00067088-0.0013244i,-0.00014006-0.001098i,-0.00068917-0.00036432i,-0.0005923+0.00031189i,0.00047794+0.0007381i,0.0010295+2.4333e-05i,0.00027189-0.00078385i,-0.00061908-0.00036291i,-0.00085067+0.00081595i,-0.0003675+0.0006196i,-0.00019345+0.00020681i,-0.00058953-3.3116e-05i,-0.00078129-0.00050332i,-0.00046477-4.5244e-05i,0.00020657+0.00048399i,-0.00032276-7.1726e-05i,-8.9123e-05-0.00029981i,0.00051237-0.00049999i,-0.00012386-0.00034672i
0.00059538-0.00012873i,0.00062623-3.3602e-05i,0.00054255+5.5781e-05i,0.00017695-0.0012055i,-3.6484e-05-0.0013431i,-0.00089242+0.00038014i,-0.0011984+0.00080117i,0.00024034+0.00041857i,0.00043572+0.00037093i,-0.00010306+0.00026233i,-0.00025976-0.00048717i,-0.00019133+4.6982e-05i,-0.00023336+0.0011446i,-0.00012165+0.00054522i,0.0003738-0.00012486i,-9.9088e-05-0.00033868i,-0.00084368-0.00072249i,-0.00053612+5.0715e-05i,-0.00044581+8.6773e-05i,-0.00081575-0.00058695i,-0.00078208-5.0612e-05i,-0.00051811+3.5504e-05i,-0.00036875+0.00011189i
-0.00067352-0.0001195i,-0.00057852-0.00060126i,-0.0013851+2.1615e-05i,-0.00076413+0.0009233i,-0.00027082+0.00058583i,-0.0003103-0.00014332i,0.00017921-0.00043295i,-1.3695e-06-0.00011998i,0.00042968-0.00034745i,0.0010132-0.00070654i,0.0005649-0.0010143i,0.00037452-0.00077283i,0.00048415-0.00018544i,0.00017371-0.00067748i,0.00023649-0.00086868i,0.00081691-0.00064305i,0.00048098-0.00014748i,-0.00051044+0.00037594i,-0.0009164+0.0004623i,-0.00034296+0.00013636i,0.00050905-0.00042478i,0.00071962-5.7097e-05i,0.00096002+0.0001747i
0.0015418-0.00013833i,0.0011297+0.00022346i,0.00019165-0.00045128i,-0.00055372-0.0010933i,-0.0015964-0.00082902i,-0.002089-0.00071423i,-0.00083062-0.00088686i,0.00056208+0.00014515i,0.00059417+0.0001167i,-6.7005e-05-0.0002948i,-0.00033424+6.1768e-05i,-0.00040192+4.6396e-05i,8.481e-05+0.00027441i,0.00079244+0.00030801i,0.00063829-0.00081021i,0.00063435-0.0010057i,9.5314e-05-8.2383e-05i,-0.00061254-9.6572e-05i,-0.00042374-0.0001177i,0.00029171+0.00040901i,0.00071877+0.00038835i,0.00077263-1.7817e-05i,0.00036256-0.00031277i
0.0011071+1.6497e-05i,0.00038502+0.00044435i,0.0012661+0.00010982i,0.0014628+6.8521e-06i,-0.00016571-0.00026807i,-0.00053751-0.0001515i,-0.00022797+6.1889e-05i,-0.00035301-4.7129e-06i,-0.00050728-0.00040777i,-0.00011523-0.00075849i,0.00013139-0.00023193i,0.00026959+0.00074933i,-0.00027893+0.00080227i,-0.00033437-0.00042694i,0.0005241-0.00023389i,0.00019147+7.4724e-05i,-0.00080506-0.00023518i,-0.00076747+0.0011554i,-0.00062559+0.0013564i,-0.00049813+0.00027106i,0.00063324-7.4153e-05i,0.00090583-0.00049562i,0.00074284-0.00054425i
-0.00093164-0.00014272i,-0.00037315+0.0016754i,8.3545e-05+0.0013268i,-0.00010839+0.00036668i,-0.0013062+8.1839e-05i,-0.0024679+0.0008345i,-0.0020217+0.0012538i,-0.0014321+0.0016001i,-0.0018615+0.0016751i,-0.0014981+0.00068775i,-0.00042176+4.6848e-05i,0.00029515-0.00056877i,0.00075315-0.0011439i,0.00077571-0.00039758i,0.00019426+0.00066248i,-0.00078336+0.00088356i,-0.0013212+0.00080738i,-0.0010333-3.4211e-05i,0.00034286-0.00095718i,0.00047081-0.00027548i,-0.00016121+0.00044363i,0.00011881+0.00028993i,0.00020277+1.1624e-05i
-0.00016423-0.0018728i,-0.00039387-0.0013618i,1.2506e-05-0.0010518i,-0.00034456-0.00085618i,-0.0009781-0.00010702i,-0.0013114+0.00042678i,-0.00085996-0.00035223i,-0.00064008-0.0007278i,-0.0011486-0.0008825i,-0.00068782-0.0005085i,0.00010304+0.0003737i,0.00025247+0.00065345i,0.00016179+0.00038612i,0.00053038+0.00028992i,0.00030631-0.00049778i,-0.00019318-0.0011164i,-5.2285e-05-0.0010971i,-3.9415e-05-0.0013095i,-9.541e-05-0.0011338i,0.00071339-0.00034316i,0.0012301+0.00023192i,0.00060433+0.00063659i,4.094e-05-4.0688e-05i
0.00033987+0.0016931i,0.0012515+0.001503i,0.0016762+0.00093928i,0.0004343-0.00053394i,2.2029e-05-0.0017726i,1.3932e-05-0.0014606i,2.6699e-05-0.00059123i,-4.1663e-05+0.00037385i,0.00027407+0.00025473i,0.00058868-0.00062145i,0.00018328-0.00086792i,0.00015405-0.00014209i,5.0628e-05-0.0001202i,3.2019e-05-0.00011401i,-0.00024477+7.0864e-05i,-0.00045599+5.6041e-05i,-0.00055434-0.00030693i,-0.00024023-0.00088259i,0.00027452-0.0006792i,0.00076852+0.00055826i,0.00059629+0.00051156i,0.00019156-0.00048245i,0.00054581-0.00086994i
-0.00056087+0.001301i,-0.00072519+0.0022101i,0.00013928+0.0023034i,0.0011203+0.0011057i,0.00037424+0.00019184i,-0.00031913+0.00040017i,-0.00029465+0.00058621i,0.00038268+0.0008505i,0.00058825+0.00077684i,-0.00024958+7.4177e-05i,-0.00066677-0.00013033i,-7.6887e-05-0.00024301i,0.00014531-0.00095395i,-0.0002311-0.0010105i,-0.00015426-6.8913e-05i,5.2934e-05+0.00050621i,-0.00049835+0.0002666i,-0.00095689-0.00019879i,-0.00016067-0.00031265i,0.00044442-0.00013406i,0.00036028+0.00015379i,-5.5597e-05-5.8812e-05i,0.00045114-0.000619i
0.0017018-0.0021425i,0.0014124-0.0013973i,0.00056263-0.00069971i,-0.0011123-0.00063889i,-0.0021291-0.00083147i,-0.0015278-0.000721i,-0.00093371-0.0011854i,-0.0011132-0.00087404i,-0.0010234-0.00022546i,-0.0003349+2.6377e-05i,-0.00028256+0.00047398i,-0.00071854+0.001129i,-0.00028631+0.0013676i,-0.00013759+0.0012178i,-0.00051762+0.00057337i,-9.7621e-05+0.00019624i,0.00035068+0.00016206i,8.4393e-05-0.00022935i,6.0402e-05-0.000217i,-0.00027199-0.00048434i,-0.00088166-0.00019479i,-0.00031346+0.00031811i,0.00054187-0.00063182i
-0.0015503-0.0018133i,-0.00086986-0.00093851i,-0.00039596-0.00022594i,0.00027056+0.0002134i,-3.8338e-05+0.00078759i,-0.00048165+0.00052932i,-0.0002774-3.3759e-05i,-9.4241e-05+4.4515e-05i,-0.00020918+0.00038401i,-0.00010159+0.0012469i,-6.7814e-05+0.00099501i,0.00023644+0.00017295i,0.00031551-0.0002594i,-0.00025841-0.00013139i,-0.00072143+4.8354e-05i,-0.00054035-0.00034351i,-0.00011482-6.8959e-05i,-0.00037445+0.00032354i,-0.00029183-9.7444e-06i,0.00033049-1.0902e-05i,-0.00032082-8.5375e-05i,-0.00073718-0.00021093i,-0.00013338+0.00036891i
-0.001688+9.6569e-05i,-0.0012663+0.00022693i,-0.00015327+0.00043226i,0.00037037+0.00090191i,2.0298e-05+0.00033578i,-8.1298e-05-0.00031406i,-5.5554e-05-0.00017139i,-0.0005918-0.00036234i,-0.00078815-0.00023245i,0.00026056-0.00011414i,0.0010541-0.00021983i,0.00041048-0.00019183i,-2.5232e-05-0.00038213i,0.00047371-0.00050147i,0.00083609+0.00012689i,0.00085676+0.00032899i,0.00025749-0.0002385i,-0.00052635+0.00016307i,-4.0977e-05+0.00072478i,0.00021187+0.00062533i,0.00014838+0.00024387i,0.0013157+0.00057388i,0.0012765+0.0010547i
0.0013535-0.00054774i,0.0014966+0.00010047i,0.00094104+0.0011914i,-8.0022e-05+0.00141i,-0.00022169+0.00050652i,-0.00050206-0.00014992i,-0.0010641-0.00036619i,-0.0014553-0.00013186i,-0.0010249-3.1308e-05i,-0.00014658-0.00048003i,-0.00048574-0.00056157i,-0.001047-0.00055436i,-0.00092626-0.0001515i,-0.00057103-8.4966e-06i,-0.00037137-0.0002359i,-0.00046387-0.00016044i,-0.00030969-0.00022406i,-6.9554e-06-0.00015979i,0.00037568-1.2975e-05i,0.00052072-0.00032661i,-3.1682e-05+0.00062178i,-0.00022382+0.0014833i,-0.00034454+0.0014981i
-0.0022889+0.00076732i,-0.0023864+0.001302i,-0.0018564+0.0021708i,-0.0011099+0.0015319i,-0.00021733+0.00035351i,-1.0059e-05-0.00014794i,-0.00051429-0.00087317i,-0.00022255-0.0012323i,2.5319e-05-0.00038658i,-9.4605e-05+0.00060803i,0.00054071+0.001061i,0.00034364+0.00031066i,0.00024975-0.00049205i,0.00039002-0.00069158i,0.00041708-0.0010416i,0.00022955-0.0012132i,-0.00024773-0.0011478i,-5.4346e-05-0.00052633i,-0.0003728+0.00022475i,-0.00087213-6.1862e-05i,-0.0014234-0.00059446i,-0.0019117-0.0013541i,-0.0011693-0.0010982i
