-0.00064576+0.00025138i,0.00061693-0.00094369i,0.00034377-0.0003163i,0.00011115-0.00081926i,-0.00043361-0.0011824i,-0.00023028-0.00062421i,0.00021812+0.00026036i,0.00077827+0.00041737i,0.0014256+0.0007481i,0.0015107+0.00030339i,0.00075564-0.00094539i,-3.4308e-05-0.00068018i,-3.4745e-05+0.00021768i,0.00037886+0.00035116i,0.0001336+0.00057127i,0.00042655+0.00041348i,0.0011589-0.00061663i,0.00068567-0.00096618i,-0.00039459-0.00031264i,-0.00067109-0.00056479i,0.00032863-0.0010737i,0.00048816-0.00034567i,-0.00034454-0.00046057i
-0.0020006+0.00091486i,-0.0015284+0.00068214i,-0.00016923+0.00082625i,0.0013105+0.00032028i,0.0019005-3.8739e-05i,0.0022889-0.00023454i,0.0011707-0.00069715i,0.00064639-0.0012487i,0.00095864-0.00050416i,0.00052735+0.00056429i,6.4141e-05+0.00041363i,0.00032919+4.4308e-05i,0.00024648+0.00031377i,-0.00025979-0.00019074i,-0.00017116+5.2661e-05i,0.00015566+0.00071705i,0.00055835+9.9902e-05i,0.00060659-0.00014969i,0.00075303-0.00057874i,0.0012119-0.0010052i,0.00073526-0.00055026i,0.00043873+0.00015891i,0.00058797+0.00057674i
-0.00073943+0.0022427i,0.00095641+0.0015342i,0.0011989+0.00097983i,0.0010776+9.4798e-05i,0.0014602-0.0007681i,0.0015242-0.0019861i,0.00032663-0.0020643i,-0.00044893-0.0008767i,0.00028176-8.5546e-05i,0.00058624+0.00019175i,-0.00010451-0.00037912i,-1.6971e-05-0.00061024i,0.00032531-0.00014945i,9.3099e-05-0.00043535i,0.00062192+0.00044638i,0.0008998+0.00067289i,0.00041881-8.8549e-05i,0.00064136-2.0317e-06i,0.00054126-0.00011134i,0.00038395-0.0003135i,6.0772e-05-0.00090594i,0.00053764-0.00047404i,0.0012216-0.00016401i
-0.00028045+0.00081668i,0.00039907-1.4511e-05i,0.0012008-0.00053354i,0.001588-0.00088925i,0.0011218-0.0021921i,-0.00038127-0.0022808i,-0.0014773-0.0017813i,-0.0016857-0.0015285i,-0.00083208-0.00063297i,-0.00017675+0.00040246i,4.5378e-05+0.00069253i,0.00068357+0.00014133i,0.00087532+0.00046005i,0.00021165+0.0013924i,-0.00041881+0.00033674i,-0.00061909-0.00045388i,-0.00066296-0.00014835i,-0.00055023+8.5481e-05i,-0.00090839-0.00046074i,-0.0014453-0.00020316i,-0.00096934+0.00065893i,-0.00095197+0.00025403i,-0.0010978-0.00080928i
0.00049281-0.00026388i,0.0015477-0.001099i,0.00059285-0.0015453i,-0.00093644-0.0014572i,-0.0010688-0.0011179i,-0.00041647-0.001153i,-0.00044969-0.0012382i,-0.00011421-0.00061775i,0.00020877-0.00031215i,-0.0002408-0.00054303i,-0.00025823-0.00064208i,0.00082216-0.00051055i,0.0012751-0.00069858i,0.00071007-0.00056056i,0.00022391+0.00012846i,0.0002561+0.00040018i,0.00031746+0.00028647i,-0.00018514+0.00066122i,-0.00058687+0.00069202i,-0.00058918+0.00041103i,-0.00043073+1.9799e-05i,-0.0007818-0.00038207i,-0.0001025-4.8986e-05i
0.00025505+0.00069045i,-0.00025536-0.00010788i,0.00018607-0.0010987i,0.00087453+2.5289e-05i,0.0008038+5.5952e-05i,3.0949e-05-0.00088754i,-0.00032372-0.00061953i,-0.00025036+0.0001521i,0.00051501+0.00049683i,0.00068067+2.8458e-05i,1.142e-05-0.0007325i,1.6992e-05-0.00040841i,0.00023955-0.00019007i,0.00039065-0.00028366i,0.00045105+0.00055533i,0.00065333+0.0012847i,0.00051058+0.0011178i,-0.00028309+0.0011133i,-0.00059471+0.0010216i,-0.0008616+0.00025428i,-0.0014587+0.00011767i,-0.00035687+0.00051926i,0.00050969+0.00068945i
-0.00063938-0.00086757i,-0.00021133-0.0009185i,0.00075206-0.00095184i,0.00085565-0.00082206i,0.00078083-0.0010522i,0.0006138-0.0018155i,-0.00050668-0.0010708i,-0.001399-9.1548e-05i,-0.0006595+0.00044723i,-8.8527e-05+0.0011679i,-0.00039284+0.0011378i,4.3528e-05+0.0008002i,0.00035089+0.00023313i,0.00049375-0.00050555i,0.00071728-0.0002806i,0.00048186-0.00031555i,0.00038685-0.00094734i,2.5967e-05-0.0004932i,-0.00029307-0.00013635i,-0.0002452-0.00043559i,0.00012337-0.00029878i,0.00050561+0.00039504i,0.00099194+0.0003884i
-0.00055015-0.0029751i,-0.0017263-0.0028867i,-0.0024036-0.0023339i,-0.0013245-0.0012461i,-0.0012044-0.00025875i,-0.00052585+0.00020351i,2.3107e-05+0.00049037i,-0.00037182+8.4442e-05i,-8.4102e-05-0.00049539i,0.0001577-0.0002434i,-0.00036562+0.00045888i,-0.00050622+0.00021343i,-1.3242e-05-0.00025916i,0.00080776+9.2077e-05i,0.0011726+0.00037518i,0.0012597+0.00077737i,0.0010711+0.0004389i,0.00040636-0.0012764i,0.00035747-0.0014778i,0.00046922-0.0011029i,-4.3323e-05-0.00056935i,-0.00014863+0.00066157i,-0.00021431+0.00043302i
-0.00015007-0.0020092i,-6.5191e-05-0.0018866i,0.00092902-0.00095993i,0.0012996-0.00030564i,0.00088522-0.00098232i,0.00055792-0.0021731i,0.00024542-0.0017859i,0.00030671-0.00013571i,0.00073949+0.0011602i,0.00031959+0.00078969i,0.0002549+0.00026248i,0.00022537+0.00057166i,9.1014e-06+9.8436e-05i,0.0003661-0.00069252i,0.00073079-0.00050452i,0.00097599+0.00013229i,0.00070243-5.3521e-05i,0.00019521-0.00088257i,-7.5357e-05-0.0007969i,-0.00040394-0.00049712i,-9.0635e-05-0.00074335i,-0.00011202-0.00051836i,-0.00067536-0.00025853i
-0.0015471+0.0012901i,-0.0012525+0.0011823i,-7.3305e-05+0.0013051i,0.0011673+0.0011728i,0.0014462+0.00012243i,0.00051529-0.00087072i,-0.001173-0.00081017i,-0.0017489-0.00044675i,-0.00075746-7.2343e-05i,0.0010321+7.1958e-05i,0.0010905-0.00030227i,0.00052467-0.00053807i,0.00041692-0.00017848i,5.4014e-06+0.0001672i,-0.00063668+0.00014171i,-0.00082173-0.00037375i,-0.00073145+0.00024535i,-0.00043656-4.8589e-05i,-0.00021802-0.001197i,-0.00032039-0.00097563i,-0.00046945-0.00018065i,-0.00016842+0.00034697i,0.00050647+0.00021949i
-0.0010319+0.00096053i,-0.00019419+0.0005941i,0.0016039-0.00050617i,0.0024287-0.00056249i,0.0018202-0.00045443i,0.00023503-0.00098946i,-0.0010245-0.00027464i,-0.0011126+0.00039857i,-0.00064133+0.00053321i,8.9264e-05+0.00084612i,0.00013481+0.00035874i,-0.00013185-0.00025138i,0.00026628-0.00050785i,0.00097086-0.00011973i,0.00060019+0.00057914i,-0.00017958+0.00044672i,-0.00036933+9.0358e-05i,-0.0011264+0.00048709i,-0.0016465+0.00052024i,-0.00049244+8.3355e-05i,-0.00016861+0.00061752i,-0.000721+0.0011051i,-0.00048011+0.00044903i
-0.0006767+0.0020384i,-0.00080762+0.0013974i,-0.0014257+0.0019226i,-7.7921e-05+0.001458i,0.001388+0.00043996i,0.0010674-5.5647e-05i,0.00041008-0.00077071i,0.00057098-0.00014771i,0.00036418+0.00038261i,0.00013027-3.7715e-05i,0.0001449-0.00016273i,0.00039424+0.00023988i,0.00068598+0.00032615i,0.00062316-8.0722e-05i,6.8431e-05+0.00018196i,-0.00073489+0.00038692i,-0.00029732+1.2469e-05i,0.00027564-0.00012345i,-0.00028592-0.00068001i,-0.00036542-0.00083601i,0.00056182-0.00038978i,0.00088559+0.00019844i,0.00089445+0.00084369i
-0.00027929-6.7734e-05i,0.00045989-0.00028039i,0.00048195-0.00044382i,0.00026701-0.0006347i,0.00057679-0.0011765i,-0.00016196-0.0015905i,-0.0009062-0.0019955i,-0.00017416-0.0012111i,0.00070951+0.00076143i,0.0010458+0.00044895i,0.00053892-0.00051148i,-0.00026639-0.00092979i,4.1421e-06-0.0010023i,0.00030254-0.00077546i,0.00025946-0.00039756i,0.00068496+2.8653e-05i,-6.9764e-05-0.0001064i,-0.0008308-0.00018717i,-5.4906e-06-0.00048862i,0.00076921-0.0010942i,0.00050391-0.00067246i,0.00015262+0.0002692i,0.00015542+0.00038686i
-0.00048316+0.0026319i,0.00094878+0.0031489i,0.0019523+0.0041224i,0.0016573+0.0025241i,0.0018052+0.00020311i,0.001348-0.00073807i,0.00038365-0.00092959i,0.00026828-0.00020328i,0.0006845+3.0859e-05i,0.00066623-0.00076924i,0.00064974-0.00080806i,7.3389e-05-0.00083344i,-2.8561e-05-0.00064083i,6.3034e-05-0.00030474i,1.5668e-05+0.00035028i,2.1576e-05+0.0009064i,6.8962e-05+0.00083536i,-0.00020919+0.0002811i,-0.00076823-0.00049717i,-0.00048982+0.00042889i,-0.00027498+0.0010157i,-0.00056345-9.3245e-05i,3.8079e-05-0.00053534i
0.00044257-0.0014287i,0.00090929-0.0018153i,0.0025338-0.0030713i,0.0024468-0.003133i,0.0012243-0.0022991i,0.0002498-0.0019358i,-0.00050979-0.0010443i,-0.00058871-0.00080585i,-0.0002394-0.0008329i,0.00066257-0.0010479i,0.0011286-0.0011956i,0.00048916-0.0010212i,0.00025478-0.00067982i,9.3739e-05-0.00016969i,-0.00018447+0.00050805i,0.00042712+0.00011953i,0.00062922-0.00049919i,-7.026e-05-0.00044946i,-0.00053568+7.5756e-05i,-0.0014241+0.00018049i,-0.0013502-7.6144e-05i,-0.00030593-0.00020929i,-0.00013976+0.00011586i
-0.0022685+0.00078252i,-0.00096678+0.0017804i,-0.00041312+0.0014142i,-0.0001136-0.00045238i,0.0003868-0.0013064i,-0.0002153-0.0013392i,-0.0011494-0.00071586i,-0.0013831+0.00069883i,-0.00062855+0.00098385i,0.00020683+0.00022583i,0.00019733-3.7235e-05i,0.00023113-0.00070224i,0.00039199-0.0008384i,-0.00020486-9.2483e-06i,-0.0009963-0.00018592i,-0.0007217-0.00061599i,-0.00052888-0.00094596i,-0.0003127-0.0014176i,0.00062496-0.00076592i,-0.00025945+0.00031597i,-0.0012731-0.00010876i,-0.00096233-0.00025006i,-0.00037429-3.4965e-06i
0.00012036+0.00049141i,9.2775e-05+1.4957e-05i,0.00062011-0.00015763i,0.00052258-0.00027173i,5.0508e-05-0.0018121i,-3.6448e-05-0.0023911i,-0.00038175-0.00099701i,-0.00076158-0.00012449i,-0.0002363+0.0003873i,-0.0003624-0.00025464i,-0.0005387-0.00091391i,6.6499e-05-9.3496e-05i,0.00067492+0.00031119i,0.00044141+0.00021558i,0.00016712+0.00018166i,-0.00012832-8.3412e-05i,-0.00022131-0.00028645i,7.8867e-05-0.00034732i,0.00026333-0.00025274i,9.7511e-05+0.00017619i,7.4559e-05+0.00059542i,0.00011111+0.00034913i,0.0001037+0.0001476i
0.0014797+0.00049657i,0.001185+0.00052292i,1.5598e-05-9.2695e-05i,-0.00082007-0.0013167i,-0.00067871-0.0013788i,-0.00067455-0.00022683i,-0.00020548+7.298e-05i,0.00037946+0.00039336i,4.5498e-05+0.00095684i,-0.00081861-8.5462e-05i,-0.0014473-0.00037891i,-0.0011894+0.00050011i,0.00048666+0.00025884i,0.00092011-0.00044364i,0.00013145-0.00010845i,0.00063118+0.00029209i,0.0012209+0.00010841i,0.0014549-0.00011719i,0.0011535-0.00031842i,0.00096661-0.00052713i,0.00060965-0.0003284i,-3.0894e-05-0.0004164i,0.00036389-0.00098096i
0.0013575-0.002171i,0.0010132-0.0025948i,0.00080877-0.0030276i,-9.0455e-05-0.0026184i,-0.00066221-0.0017992i,-4.0607e-05-0.0010223i,-0.00011693-0.00035818i,-0.00024529-0.00041756i,0.00025717+9.547e-06i,8.9427e-05+2.2481e-05i,-0.0004324-0.00012599i,-0.00045658+0.00016877i,0.00029958+0.00033987i,0.00055919-6.0952e-05i,0.00022565-0.00030621i,0.00028517-0.0003855i,0.0007271-0.0007107i,0.00063577-0.00060627i,0.00042486-0.00039415i,0.00073088-5.6303e-06i,0.00010754+0.00015028i,-0.00033678+9.7468e-05i,0.00010751-9.0105e-06i
-0.0013357+0.002174i,0.00071245+0.0018436i,0.0022643+0.0014281i,0.002147+0.00079907i,0.0015503+3.6646e-05i,0.00041628-0.0016781i,-9.1379e-06-0.0023543i,0.00024755-0.00087836i,0.00060205+0.00016472i,0.00079576+0.00053143i,0.00042128+0.00036073i,-0.0001238-6.9703e-05i,0.00068996-0.00022094i,0.00067125-0.00046828i,1.363e-05-0.00027251i,8.382e-05-0.00013565i,-0.00044488-0.00032785i,-0.00058594-0.00022787i,-0.00023133-6.1932e-05i,-0.00048294+5.5752e-05i,-0.00081854-0.00029365i,-0.00032672-0.00064118i,0.00037862-0.00043134i
-0.0017316-0.0017841i,-0.0024773-0.0015234i,-0.0030197-0.00067991i,-0.0022613+0.00013605i,-0.00035765+6.5359e-06i,7.5018e-05-0.00033638i,-0.00067748-0.00073001i,-0.0014248-0.0009391i,-0.00091401-0.00074149i,0.00067642-0.00035706i,0.0015162-0.00052401i,0.0008748-0.00083618i,0.00017132-0.00088557i,2.0882e-05-0.00064795i,-9.8768e-05-0.00059099i,-0.00014842-0.00057801i,-0.00031258-0.00021062i,-0.00059242-0.00031723i,-0.00030543-0.00016155i,-0.00063728+0.00057343i,-0.0011949+8.7856e-05i,-0.0005556-0.00038823i,2.242e-05+0.0001659i
-0.0027849-0.0016503i,-0.0021794-7.742e-05i,-0.0021986+0.00069268i,-0.0010346+0.0010601i,0.00017206+0.0019941i,0.0011624+0.0014317i,0.0011212+0.0003541i,4.7252e-05-1.0186e-05i,-0.00028299-0.00020459i,-7.8085e-05-0.00058799i,0.00012165-0.00037251i,-1.4476e-05-0.00027739i,-7.6646e-05-0.00073927i,0.00017042-0.00035404i,0.00039455+0.00017586i,0.00023902+0.00019532i,-0.00032175-0.00031296i,-0.00094424-0.0011792i,-0.00068351-0.0010661i,0.0001391-0.00029541i,8.1956e-05+0.0001534i,-0.00059823+0.00029803i,-0.00050098+0.00051787i
8.5361e-05+0.00092929i,0.00035493+0.0011175i,0.0011043+0.001658i,0.0021575+0.0012812i,0.0020421-0.00018394i,0.00045215-0.0012053i,-0.00074944-0.00079376i,-0.00037977+0.0001252i,4.1719e-05+0.00043962i,0.00067678+0.00056009i,0.00060004+0.00030794i,0.00041837+2.5541e-05i,0.00049665+0.0002144i,-9.6436e-05+0.0005894i,0.00021387+0.00062902i,0.0010978-0.00016952i,0.0010725-0.00063193i,0.00050585+0.00031195i,-0.00011445+0.00097733i,-0.00023662+0.00041784i,0.00024325+0.00042275i,0.00050963+0.00058173i,-0.00019319+0.00048796i
0.0018858-0.00042271i,0.0020172-0.0010934i,0.0029927-0.0013748i,0.0025342-0.0018536i,0.0012395-0.0019759i,0.00018-0.0017305i,0.00021826-0.0013764i,-1.3105e-05-0.00059685i,-0.00010341-0.00027733i,0.00050292-0.00041678i,0.00028531-0.00014317i,-0.0004305+4.0833e-05i,-0.00018108-5.4087e-05i,-4.4891e-06-0.00036205i,-0.00012097-0.00053416i,0.00028918-0.00031306i,0.00079235-8.3393e-05i,-6.8294e-05+0.00033865i,-0.00041389+0.00053227i,0.00043001+0.00025955i,0.00057813-0.00045694i,-0.00024214-0.00041597i,-0.00049454+1.147e-05i
0.0012909-0.00023195i,-0.00011246-0.0015024i,-0.00033292-0.0022664i,-0.00025646-0.0023513i,-0.00048314-0.0023447i,-0.00085113-0.0014041i,-0.0011896-0.000829i,-0.0001016-0.0011893i,0.00085534-0.00065485i,0.00118-0.00012398i,0.0011372-0.0011528i,0.00018344-0.00099795i,-0.00023693-5.568e-05i,0.00048933-3.7235e-05i,0.0010825-0.00040407i,0.00040561-0.00073581i,-0.00050721-0.00057094i,-0.00036988-0.00016185i,-0.00024258+0.00047113i,-0.00035157-2.0978e-05i,-0.00048145-0.00078771i,-0.0002766-0.00052797i,-0.00040488-0.00073221i
-0.0017386+0.0010165i,-0.00055777+0.00054577i,-1.0226e-06+0.0017129i,0.0011338+0.0015848i,0.0018206+4.0566e-05i,0.0015416-0.0013172i,0.0010994-0.0021425i,0.0006113-0.0017609i,8.2258e-06-0.001561i,-0.00031249-0.0013846i,-0.00013719-0.00098007i,-0.0007088-0.00099068i,-0.0005259-0.0010558i,5.16e-06-0.0012334i,-6.3378e-05-0.0015378i,-4.3014e-05-0.0011531i,-0.00079341-0.0004676i,-0.0010302+0.00014653i,-0.00053308-1.3771e-05i,-0.00023782-0.00081013i,-0.00068995-0.00057747i,-0.0012603+0.00035879i,-0.00065878+0.00080193i
0.00087189-0.00071953i,-0.00023394-0.00072073i,0.00090886-0.0014502i,0.0011309-0.0013398i,-0.00022994-0.0013546i,-0.0009365-0.0017954i,-0.00086403-0.0013455i,-0.00021095-0.0008072i,-0.00034307-0.00038862i,-0.00083567-2.8852e-05i,-0.00061318-0.00054124i,-0.00011567-0.00051661i,0.00039572-0.00048052i,0.00064347-0.00036282i,5.4388e-05+0.0004222i,5.141e-05+0.00080248i,0.00025605+0.00086909i,-7.3841e-05+0.00079403i,-5.2237e-05+0.00052388i,0.00030001+0.00021327i,0.00056354+0.00082978i,0.00042958+0.00080351i,0.00018723+3.5473e-05i
