-1.3771e-05+0.0015015i,3.7375e-06-0.00044131i,0.00044397-0.00034649i,-0.00010396-0.00017759i,-0.00018599+0.00030157i,6.0027e-05+0.0016698i,0.00022469+0.0011989i,0.0005196+0.00080102i,0.00070701+0.0012202i,0.00076376+0.0001399i,0.00012747-0.00080157i,-0.00013686-0.00010865i,0.00049159+0.00074938i,0.00099677+0.00072815i,0.00046116+0.00021731i,0.00079664-0.00011993i,0.00077918+0.00026813i,-7.666e-05+0.00048239i,0.00014163+0.00024058i,0.0003546-0.00019005i,0.0001753-0.00039942i,-0.00014986-0.00067648i,-0.00033345-0.00070927i
-0.00013494+0.002277i,0.0009484+0.002825i,0.0018129+0.0020325i,0.0020217+0.0012458i,0.0016182+0.00035983i,0.00094432-0.00037744i,0.00047222+0.00011679i,0.0001503+0.00023095i,-0.0003805+0.00085883i,-0.00032631+0.001158i,0.00020588-3.3182e-05i,5.4693e-05-0.00070221i,1.8437e-05-0.0014521i,0.00091827-0.0018954i,0.00075974-0.00079692i,-8.4865e-05-0.00020188i,-0.00012108-0.00013078i,-0.00038446-0.00056142i,-0.00023883-0.0010306i,0.0001858-0.00069336i,4.0953e-05-0.00012076i,-0.00059664+0.00033269i,-0.00077795-0.00035425i
-0.0014152+0.00029803i,1.6206e-05-5.1609e-05i,0.00055552-0.00032816i,0.0011583-0.00021854i,0.0014574-0.00035427i,0.00105-0.0010799i,0.00011281-0.0016757i,-0.00044527-0.0014656i,-0.00033625-0.00084662i,0.00033715+2.4739e-05i,0.0008544+8.5956e-05i,0.00064095-0.00032398i,-0.00026951-0.00037154i,-0.00025238-0.00079876i,0.00069118-0.00061246i,0.00079124-8.8623e-05i,0.00040144+7.665e-05i,0.00029935-7.4235e-05i,0.00039991+2.1604e-05i,0.00016934-8.8007e-05i,-0.00014037-0.00030653i,0.00032647+0.00016981i,-9.7837e-05+0.00019816i
0.001141+0.0012805i,0.0018288+0.0018764i,0.001771+0.0021859i,0.0018103+0.0010955i,0.0015973-0.00029689i,0.0003495-0.0013028i,-0.00045466-0.00047406i,-0.00062741+0.00057218i,-0.00043765+0.00057766i,9.4246e-05+7.4308e-05i,0.00029319+8.755e-05i,-0.00021208+0.00010332i,-0.00068822-0.00032793i,-0.00037244-0.00033073i,-0.00048613+9.9789e-05i,-0.0010627+0.00070039i,-0.00051006+0.00019207i,0.00071928-0.00050266i,0.00071006+0.00011635i,8.651e-05+0.00095898i,-0.00017368+0.0010077i,6.0432e-05+6.208e-05i,0.00040672-4.232e-06i
0.00040345+0.0002298i,-0.0001415+0.00050164i,-0.00039524+0.00054915i,0.00065348+0.00015022i,0.0014924-0.00082148i,0.0012619-0.0016091i,0.00069817-0.0011571i,-0.00024572-0.00097884i,-0.00055969-0.001147i,0.00020213-0.00061525i,0.0005132+0.0005742i,0.0007698+0.00093943i,0.00065609+0.00015671i,-0.00023304-3.3527e-05i,-6.0275e-05-0.00024386i,4.1671e-05-0.0007816i,-0.00028517-0.00061288i,-0.00033306-9.6122e-05i,-2.4733e-05-0.00019832i,0.00020838+6.3485e-05i,0.0002632+0.00023821i,9.4369e-05-0.00022605i,0.00032806-0.0006038i
0.0024701-0.00088656i,0.0012159-0.00060485i,0.00031579-0.00085878i,3.6229e-05-0.00054261i,0.0005872-0.00038915i,0.0010664-0.00074732i,0.0011679+0.00010587i,0.00092488+0.0011963i,0.00075095+0.0010664i,0.00099221+0.00031048i,0.00089515-8.7924e-05i,0.00011725+0.00047629i,-7.7868e-05+0.00091759i,-0.00023087+0.00061902i,0.00011524+0.00043404i,0.00093663-0.00017968i,0.00075631-0.00058706i,0.00018116+7.8506e-05i,0.00021641+0.00046758i,-6.8708e-05-0.00017851i,-0.00082061-0.001091i,-0.0011388-0.00081244i,-0.00095673-5.4019e-05i
0.00048179-0.00099816i,0.00093971-0.00078371i,0.00081229-0.00080029i,0.00022025-0.00085676i,-3.9938e-05-0.00051716i,0.00085664-0.00013041i,0.001286-0.0001458i,0.0010642-0.00070138i,0.00094611-0.00079453i,0.00093263-0.00093709i,0.00074182-0.001435i,-0.00013535-0.00066624i,-0.00072687-9.6334e-05i,1.8556e-05-0.0003597i,0.00077108-0.00014042i,0.00026979+0.00089425i,-0.00045571+0.0011411i,-0.00019489+0.00019474i,-8.2145e-05-0.00012413i,-0.00061363+0.00013221i,-0.00038013+0.00020066i,-0.00032315+0.0001791i,0.00077575-4.7408e-05i
0.0024221+0.00075546i,0.0015061+0.00070161i,0.00011815+0.00011633i,4.0976e-05-0.00054338i,0.00011081-0.00058851i,0.00027531+4.5772e-05i,0.00041326+0.00057201i,0.00045305+0.00043296i,0.00082132-0.00025131i,0.00093825-0.00075664i,0.00018138+9.4309e-05i,-0.00032889+0.00051444i,-0.00026195+0.00031926i,4.1784e-05+0.00041447i,0.00019562+0.00037686i,-0.00016996+0.00072418i,-0.0003051+0.00086863i,-0.00018284+0.00095021i,-9.6343e-05+0.00084352i,-0.00061993+0.0002775i,-0.0010222-0.00046599i,-0.00062051-0.00071919i,-0.00038569-4.7543e-05i
0.00034589+0.00058228i,0.001407-0.00014217i,0.001596+6.9434e-05i,0.0015711+0.00051858i,0.0014483+0.00033807i,0.0011401+0.00021944i,0.0011228+0.0003697i,0.00099269-6.4885e-05i,0.00056688-0.00025957i,0.0006583-9.5793e-05i,0.0008311+3.9229e-05i,0.00061247+0.00022976i,0.00011596-0.00039444i,-4.1716e-05-0.00034699i,-0.00014572-0.00014735i,1.3321e-06-0.00053909i,0.00044227-0.00061884i,0.00033235-0.00030339i,-0.0001206-0.00052104i,5.7692e-05-0.00017987i,0.0002879+0.00063111i,0.00085111+0.0010405i,0.001172+0.00043449i
0.0022396-3.0528e-05i,0.0022586+0.00017782i,0.0018763-0.00056741i,0.001184-0.00083864i,0.00043165-0.00082951i,-8.711e-05-0.00099508i,-0.00018785-0.00052289i,0.00034155-0.00058279i,0.00056294-0.00082093i,0.00063073-0.00064388i,0.00022738-0.00045307i,-0.0010701-0.00034885i,-0.0016064+8.1526e-06i,-0.0014557+0.00042094i,-0.001433+0.00049703i,-0.00033235-0.00025492i,0.00017083-0.00034851i,-9.7295e-05-6.5287e-05i,-4.2654e-07+0.00033272i,0.00098548+0.00049554i,0.0013027+0.00029043i,0.00063132+0.00028676i,3.6171e-05+6.2925e-05i
-9.5072e-05+0.0013454i,0.00057328+0.0015967i,0.00035887+0.0010048i,0.00050878+0.00016966i,0.00067393+0.00030336i,0.00047081+0.0010072i,-0.00014383+0.0013425i,-0.00083071+0.00041408i,-0.0006051-0.00023882i,-8.9051e-05-0.00010077i,4.201e-05-0.00013112i,0.00021116+0.00055965i,0.00066202+0.00081597i,0.00029177+0.0001831i,-6.2398e-05-0.0002404i,0.0006848-0.00047203i,0.00028292-0.00058583i,-0.0002015-0.00053602i,-0.00068219-4.3045e-05i,-0.00086435+0.00066717i,-0.00040215+0.00023171i,-0.00015689-0.00055982i,-0.00022126-1.1072e-05i
0.0014472+0.0029988i,0.002673+0.0021005i,0.0028229+0.00057898i,0.0022078-0.0011181i,0.00084561-0.0012146i,-0.0007981-0.00086618i,-0.0011865-0.00092227i,-0.00069499-0.00081911i,-0.0001545-0.00062905i,0.00060453-0.00052483i,0.0002914-0.00029217i,-4.9291e-05-0.00010282i,-0.00039587+0.00064468i,-0.0010877+0.00017355i,-0.00018875-0.00048155i,0.00059775+0.00030263i,0.00020403+0.0006257i,0.00074066+0.00020192i,0.00040208-0.00013911i,-0.00078003-1.9563e-05i,-0.00050935+8.0897e-05i,-0.00019557+0.00020248i,0.00016372-7.9137e-05i
-0.0012688+0.00090824i,-0.00068782+0.0013728i,0.00028164+0.00099258i,0.0014831+0.00053217i,0.0013668+0.001046i,-0.00030979+0.00093085i,-0.00041686+0.00049944i,0.00018188+0.00041596i,0.00052747+0.00046488i,0.00072771+0.00047374i,0.00091658+0.00054215i,0.00046937+0.00067829i,0.00012955-0.00036527i,0.00028916-0.0009605i,-6.173e-05-0.00033911i,-0.0007808+0.00019835i,-0.0015014+0.00037716i,-0.00096401+0.00062142i,7.0555e-05+0.00083915i,0.00014364+0.0007823i,0.00074783+0.00020076i,0.0012079-0.00065203i,0.00079854-0.00084609i
0.00083718+0.0015081i,0.0007315+0.00093484i,0.0016654+0.00064101i,0.0015942+0.00044202i,0.00086058+1.1681e-06i,0.00030913-0.00079703i,8.8136e-05-0.00092508i,0.00022699-0.00038144i,0.00022656+0.00032689i,-0.00016459+0.00046389i,-0.00050094+9.994e-05i,-0.00068601-0.00025497i,-0.00056497-0.00034483i,-0.00039509-0.00078606i,-0.00039981-0.0009311i,-0.0003932-0.00061863i,-0.00019498-0.00023227i,0.00010432+4.3316e-07i,-0.00025828-0.00022334i,-0.00085763-4.7215e-05i,-0.00057832+5.221e-05i,-3.3533e-05+0.00010167i,-0.0001927+0.00028732i
0.0013675+0.0009773i,0.0014467+0.0014501i,0.00073178+0.00045948i,0.00066314-0.00068233i,0.0011454-0.0013792i,0.0017941-0.0015107i,0.0016052-0.00038542i,0.00027496+0.00055589i,0.00015087+3.7016e-05i,-0.00031035-0.00043034i,-0.00096538-0.00064609i,-0.0015405-0.00011835i,-0.0019605+0.00032577i,-0.001291-0.00044166i,-0.00053173-0.00064047i,-0.00054181-0.00088556i,-0.00073819-0.001253i,-0.00019176-4.3041e-05i,0.00035767+0.00065746i,0.0005549+0.00044446i,0.00020036+0.00034655i,0.00010993-0.00025649i,0.0003934-0.00048089i
-0.00029964-0.00021289i,-0.00085401-0.0001538i,-0.0011206-0.00066004i,-0.00054272-0.00012478i,0.00035653+0.00069939i,0.0007844+0.0013596i,0.00087955+0.0010811i,0.00058049-0.00049371i,-1.837e-05-0.00087247i,-0.00053445-0.0004559i,-0.00055325-0.00030615i,-0.00036193-0.00057141i,-0.00012835-0.00038317i,-0.00012544+1.2415e-05i,-0.00032116+0.00039415i,-0.00021473+0.00042992i,-2.3225e-05-0.00013256i,0.00013658-0.00048566i,8.019e-05-0.00062743i,4.4287e-05-0.00031602i,0.00034016-0.00018674i,0.00021404-0.00078137i,-0.00038577-0.0012578i
-0.00044798-0.0011202i,-0.0019429-0.0013039i,-0.0022974-0.0013688i,-0.00092825-0.00089548i,0.00052791-0.00042325i,0.00051626-0.00075411i,0.00054807-0.00084693i,0.00028214-0.00062724i,0.0005155-0.00015509i,0.00096058+0.00033018i,-0.0003142-0.00031388i,-0.0013187-0.00039914i,-0.00099789-0.00031144i,-0.00016479+0.00020608i,0.00065105+0.00084801i,0.00053164+0.00048827i,-0.00012097+0.00015565i,-0.00031264+0.00029684i,-0.00015488+0.00042163i,-0.000147+0.00015546i,-0.00029366+5.8127e-05i,-0.00050387+2.2069e-05i,-0.00048131-9.7859e-05i
-0.0005701-0.00093928i,-0.00040703-0.0012299i,-3.1342e-05-0.0017253i,0.00032245-8.9068e-05i,0.0014694+0.00082068i,0.0029241+0.00033581i,0.0024581-0.0002055i,0.0011654-0.00077593i,0.00040457-0.00077148i,-0.00070944-0.00079698i,-0.00058373-0.00030358i,0.00029493+0.00039874i,0.00081127+0.00039315i,0.001279+4.4602e-05i,0.001134-0.00012115i,0.00082425+0.00045357i,-2.0441e-05+0.00099059i,-0.00071405+0.00037477i,-0.00031517-0.00020296i,8.3906e-05-0.00054251i,0.00010168-0.00069179i,0.00025812-0.00083816i,0.00031514-9.9407e-05i
-0.00085289-0.00098979i,0.00044553-0.00063422i,0.00080065+0.0003702i,-0.00024256+0.0007024i,0.00015513+0.00096565i,0.00061567+0.0007377i,0.000785-0.00028056i,0.00095012-0.0001875i,0.00022352+0.00016452i,0.00046476-0.00019419i,0.00048247+0.00016664i,0.00022581+0.00026843i,0.0012408+0.00040592i,0.00076147+0.00031448i,-0.00034741-0.00023771i,-8.5159e-05-0.00059546i,0.00028139-0.00028784i,3.8156e-05+9.5452e-05i,0.00013264+0.00034855i,3.7567e-07+0.00030747i,-0.00093278+0.00020027i,-0.00084321+0.00084715i,0.00037624+0.0010076i
0.00069084+0.00099743i,0.0025398+0.0004678i,0.0027922+0.00034426i,0.0015738-0.00085632i,0.00054451-0.0015052i,0.00034205-0.0016338i,0.00037731-0.00074991i,0.00043826+0.00069303i,0.00031281+0.0006835i,0.00089237+0.00012027i,0.0013646+5.6943e-05i,0.0011783+0.00021544i,0.0006234+0.00044918i,-0.00031625+0.00049779i,-0.00047955+0.00054588i,0.00012626+0.00048521i,0.00026916+0.00032396i,4.9088e-05-4.426e-05i,-0.00013223-0.00036155i,-0.00019417-0.00020651i,-0.00010864-0.00019721i,-0.00055422-0.0011258i,-0.00049015-0.00094616i
0.0017623+0.0019267i,0.0023523+0.0015446i,0.0021493+0.00027134i,0.0019382-0.0012627i,0.0014728-0.0011746i,0.00075338-0.00097876i,0.0011451-0.00011487i,0.00087779+0.00052529i,8.682e-05-0.00026184i,0.00023691-0.00030582i,0.00019793-0.00023353i,0.00029839-0.00030707i,0.00022139+7.6269e-05i,-0.00095274+0.00067144i,-0.001052+0.00093728i,2.6885e-05+0.00042061i,0.00041581+0.00036351i,0.00044795+9.4327e-05i,0.00023645+0.00037798i,0.00026898+0.00081299i,9.6416e-05+0.00036704i,-0.00038153-2.8941e-05i,-0.00048545-0.0003918i
-0.0017085+0.0014349i,-0.0011776+0.001682i,-0.00076403+0.0010679i,4.2235e-05+0.0011468i,0.00073506+0.00125i,0.00081157+0.00079586i,0.00067275+0.00068738i,0.00011169+0.0011164i,-0.00036594+0.0015737i,-4.7262e-05+0.0013716i,0.00015782+0.00035323i,0.00042086-0.00036554i,0.00053134-9.3618e-05i,-7.3308e-05-0.00012936i,-0.0002048+0.00013809i,1.5905e-05+0.00075761i,-0.00025293+0.00057015i,-0.00052288+0.00013516i,-0.00077904+4.2448e-05i,-0.00031563+0.00028733i,0.00030796+0.00057912i,0.0004262+3.1887e-05i,0.0005176-0.00066352i
-0.0010838+0.00065285i,-0.0011847+0.00066467i,-0.00034789+1.926e-05i,0.00010832-0.00081704i,-3.7528e-05-0.00054155i,-0.00017962+0.00010061i,0.00025852+0.0002386i,0.00027814+0.00015115i,5.4354e-05-0.00043556i,0.00043121-0.00021437i,0.00071178+0.00045219i,2.1535e-05-0.00020144i,-0.00053801-0.00089675i,-0.00081249-0.00086909i,-0.0002536-0.00076105i,0.00034324-0.00073908i,-2.5413e-05-0.00048919i,-0.00044144-1.7215e-05i,-0.00066912+0.0007833i,-0.00059713+0.00074615i,-0.00020614+0.00022242i,-0.00023031+6.0979e-05i,-0.00010494-5.1987e-05i
-7.647e-05+0.0010217i,0.00032736-6.7876e-05i,0.00055299+5.716e-05i,0.0013303+0.00070997i,0.0016583+0.00063149i,0.0016243-9.6238e-05i,0.0012092-0.0004976i,0.00039707+0.00027514i,-0.00011158+0.00056024i,-0.00010495+0.00031016i,-0.00015925+0.00034265i,-0.00031091+0.00017524i,-0.00018841-2.8279e-05i,0.00071294-0.00051616i,0.0014312-0.00063429i,0.0016084-0.00043891i,0.0016183-0.00025251i,0.0012577-0.00028911i,0.0009409-9.1062e-05i,0.0007626-2.0565e-05i,0.00050081+0.00042053i,2.9168e-05+0.0012287i,-0.00047372-2.3125e-05i
-0.00042155+0.00060709i,0.00012209+0.0010232i,0.0013499+0.0012344i,0.0015676+0.00095662i,0.0013286-0.0005876i,0.0011208-0.0013642i,0.00079497-0.00056679i,0.00046584-0.00049489i,0.00024987-0.00066885i,0.00052204+2.8217e-05i,0.00034558+0.00010668i,-6.2673e-06-0.00015605i,0.00036339-0.00049958i,0.00069836-0.001248i,0.00082339-0.0014748i,0.00035361-0.00072714i,8.9276e-05+0.00051116i,-0.00033524+0.00012234i,-0.00031938-0.00044975i,0.00016486+0.00022651i,0.00016612+0.00038823i,0.00033326+8.0542e-05i,0.00043375-0.00029209i
-0.0002553-0.0013047i,0.00045767-0.0012595i,-6.8144e-05-0.00041162i,-0.00046283-0.00034139i,0.00052215-0.00022066i,0.0011246-0.00039661i,0.00089658-0.00066208i,0.00065415-0.00038772i,1.1593e-05-0.00044105i,-0.00084141-0.00067615i,0.00025813-0.00048773i,0.0013346-0.00024124i,0.0011113+0.00048539i,0.00082151+0.00060045i,0.00024167-0.00027915i,8.4101e-05-0.00050207i,0.00083401-0.00021931i,0.0010441-0.00042916i,0.00011735-0.00050195i,-0.00090363-0.00040476i,-0.0005884-0.00076197i,0.00028715+6.5431e-05i,0.00054726+0.00085414i
0.0015374+0.0010892i,0.0014926+0.00021896i,0.0010016-0.0014052i,0.00092227-0.00081832i,0.00073865+0.00015874i,0.00070783+0.00077823i,0.00040687+0.0010662i,-9.4858e-05+0.00085115i,-0.00034705+0.00031156i,-0.00021455-0.00047371i,-5.1392e-05-0.00042681i,-3.933e-05+0.00012435i,0.00025755+0.00055733i,0.00044118-0.00021175i,-0.00018057-0.00065944i,-0.00050354-0.00062775i,-0.00033816-0.0011219i,0.00022704-0.00036277i,6.5191e-05+0.00067745i,0.00015156+0.00049402i,0.00016445+0.00037566i,-0.00029328+0.00029401i,-4.197e-05+3.6885e-05i
-4.7379e-05+0.0012892i,0.00046364+0.00051456i,0.001457+0.00045712i,0.0013481+0.0005799i,0.00153+0.00027967i,0.0013629+0.00010666i,-0.00029173-5.9052e-05i,-0.00096862-0.00014169i,-0.00092101+0.00042613i,-0.00031133+0.00074441i,-0.00014523+0.00027047i,-0.00091222+0.0001744i,-0.00063347+0.00020987i,-0.00020043+0.0004424i,-0.00017035-9.5541e-05i,-0.00011963-0.00041386i,-0.00047982+0.0001206i,-0.00023435-6.8987e-05i,-7.336e-05-0.00011957i,-0.00042686-0.00017534i,-0.00070293-4.7286e-05i,-0.00050181+0.0004399i,-0.00020828-0.00016837i
0.00012454-0.00091157i,5.0352e-05-0.00020085i,-0.00087761+0.00034063i,-0.0013005-4.2673e-05i,-0.00027987-0.00050259i,0.0012952-0.000329i,0.0015414-7.0058e-05i,0.00086287-8.8641e-05i,0.00092157-0.00032648i,0.00043352-0.00021776i,-7.5558e-05+0.00019155i,-0.00051663+0.00054191i,-0.00055569+0.00046733i,0.00035338+0.00082737i,0.00040794+0.00056921i,2.4089e-05-0.00042959i,7.8961e-05-0.00058629i,-0.00016044-0.00032729i,-0.00019854-0.00012865i,-0.00037234+0.00047185i,3.7298e-05+0.00043677i,0.00053116+0.00035359i,0.00020674+0.00033437i
-0.00029353+0.00015793i,0.0001808-0.00029073i,0.0011236-0.00086485i,0.00052378-0.00037921i,-0.00056012-0.00027099i,-0.00070375-0.00048137i,-0.00029919-6.2553e-06i,-0.00029341+0.00036554i,-6.7493e-05-0.00024631i,0.00019064-2.5326e-05i,5.4657e-05+0.00086472i,0.00029963+0.00095329i,-0.00042321+0.00030173i,-0.00080692-0.00016987i,5.0877e-05+0.00034571i,5.1146e-05+0.0012035i,-0.0001391+0.0010545i,-0.0005815+0.00016008i,-0.00030594-0.00055272i,0.00049419+6.9478e-05i,0.0006177+0.0011698i,0.00011927+0.00080915i,-9.3963e-07-6.2535e-05i
0.00052891-0.00064688i,0.00081883-0.000682i,-0.00010553+0.00012392i,-0.00025104+0.0009822i,0.00039405+0.0010855i,0.00055107+0.00086345i,0.00096994+0.000211i,0.00088307-0.00025823i,0.00031908-0.00037168i,-0.00017098-5.8324e-05i,-0.00074681-0.00021332i,-0.0005019-0.00087938i,0.0012442-0.00047449i,0.0016176+0.00019267i,0.001109+0.00014032i,0.00082828+0.00032696i,0.00018217+0.00063362i,-0.00031052+0.00027256i,-0.000622+6.0328e-05i,-4.5422e-05+0.00040599i,0.00064622+0.00073951i,0.00069484+0.00051322i,7.7305e-06-0.00041101i
-0.0010333+0.0014484i,-4.5631e-05+0.00043497i,0.0012549+0.0001398i,0.0014081+0.0006933i,0.0014867+0.00026322i,0.0014681+0.00027143i,0.00047547+8.4665e-05i,-0.00041106+4.6162e-05i,-0.00028517+0.00014434i,0.00024463+3.8489e-05i,0.00013019+0.00018547i,0.00027998-0.00034786i,0.00087596-0.0003543i,0.0003369-0.00028454i,2.6868e-05-0.00033297i,0.00028788-0.00038317i,0.00048437-0.00031214i,0.00021183+0.00018162i,-0.00079651+0.00043676i,-0.0011362+0.0005252i,-0.00076112-9.3483e-05i,-0.00075995-0.001058i,-0.000583-0.0011353i
-0.00044076+0.00063157i,0.00011554+0.0011655i,0.00063054+0.0020538i,0.0012673+0.00096113i,0.0020735-0.00079414i,0.00194-0.001815i,0.001195-0.0016153i,2.1053e-05-0.0010403i,-5.2144e-05-4.1679e-05i,0.00031719+0.00051093i,-0.00050586+0.00032568i,-1.7779e-05-6.4227e-05i,0.00093754-0.0007505i,0.00021505-0.00090095i,-6.2434e-05-0.0012413i,0.00044814-0.00085382i,0.00028518-0.0009395i,0.00067268-0.00068675i,0.0003584+0.00034441i,-0.00016291+0.0012374i,0.00017342+0.0013977i,0.00038146+0.00059449i,0.00055414+0.00021202i
