0.0014996-0.0011609i,0.0020154-0.0014397i,0.0014704-0.0026626i,-0.00030591-0.0014021i,-0.001399+0.0011438i,-0.0014859+0.0017377i,-0.00064784+0.0010409i,0.00061322+0.0012903i,0.0012613+0.00081513i,0.0010866-0.00049645i,0.0006099-0.0010454i,-9.84e-06-0.00032568i,-0.00045085-5.7697e-05i,-0.00051898-0.00040981i,-0.00028688-0.00040013i,-0.00013449-0.00070284i,0.00029645-0.00049297i,0.00053002-0.00036472i,-0.00056973-0.00059255i,-0.0013302-0.00070327i,-0.00036734-0.00049367i,0.00025064-0.00035394i,6.7365e-05-0.00020088i
-0.0015647-0.001054i,-0.0010553-0.0017993i,-0.001251-0.0007979i,-0.00066419+0.00089219i,-0.00012187+0.001598i,0.00040844+0.0012055i,0.00096719+0.00031457i,0.00038318-0.00021103i,-0.00028399-0.00030966i,1.6151e-05+8.4796e-05i,1.5102e-05+0.0011972i,0.00038382+0.0012938i,0.00087362+0.00096035i,0.00074806+0.00041166i,0.00074874-8.9736e-05i,0.00068413+0.00039646i,0.00027459+0.00059621i,-1.7171e-05+9.7568e-05i,0.00039525-2.1165e-05i,0.00031204+0.00075041i,-0.00020768+0.00071029i,9.9625e-05-0.00015269i,0.00013869+0.00017206i
-0.0009768-0.0017582i,-6.9832e-05-0.0018082i,3.4818e-06-0.0013929i,0.00081124+0.00020457i,0.0012894+0.0020968i,0.00086553+0.0022805i,0.00025426+0.0007226i,-0.00018413-0.00019316i,0.00025928-0.0010523i,3.8324e-05-0.0014107i,-0.00026375-0.00037797i,0.00034186+0.00066537i,0.00050898+0.00066563i,0.00051552-4.6953e-05i,0.00039774-0.00048841i,7.6248e-06-0.00081493i,1.8389e-05-0.00081688i,0.00019017-0.0001447i,-0.00036419+3.0159e-05i,-0.00099169+0.0002385i,-0.00098611+0.00019055i,0.00022418-0.00025372i,0.00077063+0.00013214i
-0.002046+0.0013758i,-0.0018999+0.00064486i,-0.0013355+0.0017416i,0.00066823+0.0023847i,0.0024444+0.0019996i,0.0017359+0.0013529i,0.00014717+0.00083793i,0.00022131+0.0005732i,0.0012375-6.3183e-05i,0.00081799+0.00035026i,-0.00030811+0.00067234i,-0.00091357-0.00040721i,0.00016696-0.00039442i,0.00039489-0.00040903i,-0.0001636-0.00079668i,-0.00040193-0.00047698i,2.6023e-05+9.0675e-05i,0.00027616+7.7148e-05i,-0.00053505-0.00020215i,-0.00073292+0.00015621i,2.894e-05+0.00044281i,0.00058644+5.9426e-05i,0.00068649-0.00023635i
-0.0011611+0.00055372i,-0.0014888+0.00070403i,-0.001263+0.00046575i,-0.00014335+0.00055067i,0.0015232+0.0011205i,0.0015872+0.0010322i,-0.00023001+0.00022538i,-0.0012844+0.0002313i,-0.00057514+0.00018374i,0.00032934+7.4614e-05i,0.0002853+0.00037424i,0.00017796+0.00025044i,-0.00010605+0.00034057i,-0.00074136+0.00062084i,-0.00065698+0.0002439i,-0.00029106-0.00015723i,0.0002844-0.00013291i,0.00042924+0.00036693i,-0.00051353-4.4274e-05i,-0.00041472-7.5968e-05i,-0.00037027+0.00035048i,-0.00060702+4.143e-05i,-0.00013232-0.00015016i
0.00034559+0.00064327i,0.00057729+0.00092931i,0.00098443+0.0019389i,0.00095888+0.0022196i,0.0010957+0.0015447i,0.00094102+0.0003121i,0.00045985-0.0003391i,0.00086663-0.00075332i,0.00099092-0.0012358i,0.00050409-0.00099479i,0.0001066-0.00053837i,-0.00041302-0.00053386i,-0.00048684-0.00055186i,9.8771e-05+7.3871e-05i,6.3533e-05+0.00067204i,-0.00029331+0.00027221i,0.00043864-4.634e-06i,0.00060523-0.00012473i,0.00067204-0.00041497i,0.00090321-0.00017817i,0.00091372+5.21e-05i,0.00069193-7.6666e-07i,0.00031356-0.0010853i
-5.3723e-05+0.00068751i,-0.00068656+0.0013189i,7.623e-05+0.00090348i,0.00074248+0.00014284i,0.00042859+0.00060798i,-6.0475e-05+0.0013597i,-0.00044143+0.00023039i,-0.00037662-0.0004919i,7.513e-06+6.0711e-05i,0.00092334-0.0001882i,0.0010064+0.00010046i,-0.00014125+0.00036539i,-0.00042782-8.9113e-05i,-0.0001362-0.00029762i,-0.00055539-0.00024015i,-0.00035099+9.8392e-05i,0.00046999+0.00027034i,0.00037631+6.9637e-05i,-0.0001024-0.0002438i,0.00041106-0.00049189i,0.00052251-0.0011152i,0.00038156-0.00099141i,0.00045854-0.00016748i
0.00041263-0.0014812i,0.0005294-0.0017759i,-0.00047545-0.0020894i,-0.001639-0.00032547i,-0.0013874+0.0018213i,-0.00012344+0.0017935i,-0.00015268+0.001085i,-0.00072845+0.000943i,-0.00038882+0.0004815i,-0.00026067+0.00030083i,-0.00066614-0.00033674i,-0.00060709-0.0004878i,-0.00013983-4.8857e-05i,0.00024887+3.5752e-05i,0.00027885+2.9231e-05i,0.00036407+0.00015254i,-0.00044728-9.6695e-05i,-0.00094125+0.00038604i,0.00017227+0.00045712i,0.00012552-0.00042976i,-0.00047512-0.00075068i,-0.000395-0.00026591i,0.00020368+0.00062354i
9.4526e-05-0.000946i,0.00050274-0.0011501i,-8.7217e-05-0.0001528i,-6.7441e-05+9.9447e-05i,-0.00015067+0.00071351i,0.00015553+0.00069271i,0.00020779+0.00070012i,-0.00016641+0.00025439i,0.00076311-0.00035419i,0.0013444+0.00028523i,0.00077003+0.0010116i,0.00043824+0.0010486i,0.00013744-0.00017318i,0.0004321-0.00050428i,0.00095982+3.0708e-05i,0.0010404-0.0001667i,0.00039975-0.00012785i,-3.7937e-05-0.00044746i,-7.8148e-05-0.00071675i,-0.00042415-0.00052688i,-0.00067197-0.00031299i,-0.00018776-2.4819e-05i,8.9579e-05+2.4449e-05i
-0.002017-0.0013656i,-0.0022906-0.0011214i,-0.0021824-4.8844e-05i,-0.0016442+0.0019266i,-0.00041979+0.0029221i,0.00032733+0.0010079i,-0.00010012-0.00052969i,-0.00075555+0.00050133i,-0.00054586+0.00094008i,0.00032544+0.00059988i,0.00058933+0.00011626i,0.00045419-0.00040294i,0.00063683+0.00015818i,0.00031339+0.00083275i,0.00027646+9.8942e-05i,0.00075741-0.00091418i,0.00011717-0.00057804i,8.27e-05+0.00011606i,0.00018247+0.00026299i,-0.00014444+0.00037049i,0.00071445+3.7896e-05i,0.00098307+9.9205e-06i,0.00034861+0.00016796i
0.00065548-0.00016749i,-0.0004426+0.00028325i,-0.0016086+0.0006824i,-0.0013227+0.00049475i,-0.00072133+0.0002372i,-0.00077198+0.00078906i,-0.00015605+0.00076567i,0.00014998-7.2275e-05i,-0.0001317-0.00024972i,0.00060106+2.7237e-05i,0.00054685+0.00059219i,-0.00058223+0.00077877i,-0.00032125+0.00053417i,0.00029186+0.00017657i,0.00030813-0.00052523i,-6.4127e-05-0.0009093i,0.00025021-0.00039979i,0.00062279-0.00048855i,0.00057844-0.00087698i,0.0004598-0.00038758i,0.00048002+0.00090631i,-2.849e-05+0.0011003i,-7.3137e-05+0.00014857i
0.00021812-0.00065821i,0.00018201-0.00096315i,0.0010401-0.00049855i,0.00096797+0.00045086i,0.0002482+0.0007167i,-0.00012983+0.00082265i,-0.0002106+0.0006487i,-0.00021562+0.00047945i,-9.3617e-05+0.00051948i,0.00027557+0.00073197i,-0.0001711+0.00053451i,-0.00062439+0.00086764i,-0.00085666+0.00056633i,-0.00082138-0.00065271i,-0.00041595-0.00062147i,-0.00052966-0.0001358i,-0.0004252+0.00030553i,-0.00024256+6.152e-05i,-0.00011679-0.0001814i,-0.00052814-0.00015495i,-0.0004581-0.00059969i,-5.744e-05-0.00061922i,2.4871e-05-0.00051793i
-0.00048883-0.0017162i,-0.00063742-0.0013655i,-0.0014378-0.001067i,-0.00049721-0.00053369i,0.0008379+0.0014427i,0.00097489+0.0022667i,0.00037864+0.0011774i,0.00015463+0.00099586i,-1.1041e-05+0.0014192i,0.00042808+0.0013077i,0.00048083+0.00032676i,-0.00057043-0.00036202i,-0.00046381-0.00034095i,-0.0007593+1.5806e-05i,-0.0012221-0.00022986i,-0.00088892-0.00042784i,-0.00055186-0.00048045i,0.00058036-0.00011032i,0.00084309+0.00013607i,8.8609e-05-0.00061874i,-0.00025738-0.0009634i,-0.00092133-0.00034962i,-0.0007122-0.00022528i
-0.0004008-0.00047693i,-0.00077834+0.00012635i,-0.0013681+0.00080616i,-0.00058165+0.00088204i,6.4709e-05+0.00085632i,6.3919e-05+0.00012463i,-0.00066973-0.00099886i,-0.0012101-0.0013248i,-0.00034215-0.00079277i,-0.00018025-0.00043084i,-0.00082686-0.00029089i,-0.00077722+0.00013147i,-0.00039295+0.0006922i,0.00033672+0.00026765i,0.00088977-0.00011589i,0.00075954-0.00014349i,0.0003081-0.00012687i,-0.00012783+0.00014889i,-0.00031593+0.00018674i,1.332e-05+0.0002001i,-0.00021139+0.00076137i,-0.00056821+0.0004165i,-0.00068916+0.00049492i
0.00033873+0.001258i,0.0011916+0.00054829i,0.0017671+0.0010554i,0.0014885+0.00098268i,0.00048528+0.0011661i,-6.1671e-05+0.0017571i,-0.00052738+0.00059179i,-0.00096812+0.00010165i,-0.00018705+0.00086766i,0.00021258+0.00033663i,-0.00076577-0.00032958i,-0.00067441-0.00046544i,-0.00026929-0.00074964i,-0.00022915-0.00030714i,-0.00023299+0.00041081i,0.00018878+0.00061969i,0.00032529+0.00032015i,0.00010917-0.00015743i,4.8771e-05-0.00041198i,7.1804e-05+0.00020128i,0.00020954+0.00065973i,0.00021129+0.00020991i,0.00045727-0.0001609i
-0.0004496-0.0011822i,-0.00059659-0.00096875i,-0.00060465+0.00017947i,-0.00061036+0.0014588i,-0.00013624+0.002298i,0.00062846+0.0018394i,0.00042593+6.1808e-05i,0.0005252-0.00065552i,0.00084396-0.00053662i,0.00063637-0.00024939i,0.00036525-0.00014527i,-0.00062844+7.2556e-05i,-0.0013807+0.00021741i,-0.0011621+0.00019007i,-0.0011136+0.00029386i,0.00010285+0.00057853i,0.001195+0.0002594i,0.0010136+0.00033063i,0.00037764+0.00033741i,-9.8598e-05-0.00045777i,-0.00029029-0.00072178i,-0.00072273-4.9307e-05i,-0.0012741+0.00016134i
3.6172e-05-0.00040264i,0.0016653-0.00069441i,0.0012302-0.001276i,0.00024699+0.00048502i,2.8728e-05+0.0020777i,-0.00012299+0.0016201i,-0.00093837+0.00084298i,-0.0011838+0.00073732i,-0.00062785+0.00075464i,-0.00061524+0.0006804i,-0.00027111+8.0588e-05i,0.0001886-4.8556e-06i,-5.4014e-05+0.00043803i,-0.00023959+0.00066357i,0.000206+0.00060848i,0.0003472+0.00045703i,-0.00019052+6.7315e-05i,-0.00011699-0.0005509i,8.4079e-05-7.6893e-06i,0.00010668+0.00035084i,0.00013036-7.5189e-06i,0.00012349-7.3369e-05i,9.2285e-05-0.00015947i
-0.000375-0.0014946i,-0.0011061-0.0011283i,-0.0018672-0.0016821i,-0.0011257-0.00043451i,0.00046552+0.00094709i,0.00048138+0.0013155i,0.00035448+0.00048653i,0.0010328+0.00019498i,0.00076012+0.00056347i,0.00015043-0.00037634i,2.2839e-05-0.00080109i,0.00024025-1.0553e-05i,0.00041979+0.00012521i,0.00073196-5.4285e-05i,0.0010219-0.00041523i,0.00054525-0.0009179i,-0.0003125-0.00046973i,-0.00082667+0.00030458i,-0.00081524-9.3164e-05i,-0.00063998-0.00076447i,-0.00024-0.00035934i,-0.00036821+0.00054975i,0.00010313+0.00029534i
-0.0004946+0.0016396i,-0.0011178+0.0017195i,-0.0016034+0.001205i,-0.00055871+0.001644i,0.00064248+0.001948i,0.00034048+0.0011898i,0.00054811+0.00083577i,0.0016425+0.00096112i,0.0010458+0.0012134i,-9.1361e-06+0.0010987i,-0.00047602+0.00022798i,-0.00082322-0.00044477i,-0.00072221-0.00073685i,-0.00047715-0.00062861i,-0.00050953-0.00042287i,0.00034981-0.00013954i,0.00096307+0.00046557i,0.0012846+7.6794e-05i,0.00074722-2.7457e-05i,-0.00029487+0.00049094i,-0.00060899+0.00038587i,-0.00010218-0.00024284i,0.00028539+0.00074251i
-0.00085204-0.00043628i,-0.0010101-0.00053247i,-0.00092692-5.8086e-05i,-0.00048705+0.00018147i,3.3116e-05+0.00056131i,0.00018018+0.0012278i,-0.00017689+0.0011105i,0.00052073+0.00042826i,0.00059911+5.5673e-05i,0.0002267+0.00029491i,0.00057235+0.00044231i,-7.024e-05+1.3391e-05i,-0.00049529+0.0002365i,-8.4987e-05+0.0013482i,-0.00065167+0.0010407i,-0.0010027+0.00042192i,-0.00061435+3.0094e-05i,-7.1194e-05-0.00080115i,9.9306e-05-0.0008796i,-0.00012899+0.00014941i,-0.00032952+0.00014781i,-3.2793e-05-0.0001621i,0.00030934+0.00019035i
-0.0032048+0.00066889i,-0.0029304-0.00054304i,-0.0020256+0.00066746i,-0.00076743+0.0026135i,8.5002e-05+0.0033727i,0.00047522+0.0022234i,0.00072746+0.0004983i,0.00063327-3.6611e-05i,-0.00026276-6.5136e-05i,-0.00086621+0.00012699i,-0.00049871+0.0001115i,-0.00013892-0.0004416i,-0.00022697-0.00064941i,-0.00096248-0.00061797i,-0.0010854-0.00028857i,-0.0011327+0.00048472i,-0.0012499+0.00054368i,-0.00085243-2.6471e-05i,-0.0003654+0.00026312i,0.00031027+0.0009833i,-2.5504e-05+0.00088135i,-0.00026083+0.000267i,-0.00028519+0.00040052i
0.0011649-0.00036517i,0.0011536-0.00029494i,0.00092545-0.00064546i,0.00079805+1.2831e-05i,0.00030594+0.00084924i,-0.00025719+0.00082445i,0.00037284+0.00031508i,0.0011463+0.00012918i,0.00080322+0.00025609i,-0.00010502+5.4563e-05i,-0.00013124+0.00037354i,-0.00028321+0.00032482i,-0.00041794-0.0001407i,-0.00074466+0.00036878i,-0.00081276+0.00050183i,-0.00082882-0.00034062i,-0.00075666-0.00065541i,-0.00043797-0.00047542i,-0.00057139-0.00015214i,-0.00071975-0.00032853i,-0.0012515-0.00092006i,-0.00092375-0.00078847i,-0.00011072+0.00050312i
-0.0011207+0.0013976i,-0.00071892+0.001976i,0.00055378+0.0019801i,0.0012467+0.0018245i,0.001209+0.0010421i,0.0008972-0.00059184i,4.4882e-05-0.00138i,-0.00039566-0.00055192i,0.00014859+9.5399e-05i,0.0015768-0.0004222i,0.0016486-0.00042603i,-6.2396e-05-0.00019676i,-0.00056352-0.0011059i,-0.00032429-0.0014291i,-0.00069538-0.0010593i,-0.00032278-0.00046986i,3.9524e-05+0.00045343i,0.00014366+0.00036547i,0.00016907+0.0001799i,9.7971e-05+0.0004191i,0.00045972+0.00069971i,0.00058029+0.0010236i,0.00032377+0.00086801i
-0.00089093+0.00011121i,-0.0010394-0.000633i,2.8491e-05-0.00043611i,0.0011704+0.00070393i,0.00086218+0.0017333i,0.00035063+0.0015828i,-0.00058964+0.00045772i,-0.00082729-0.0008217i,-0.0001035-0.0012207i,-0.00034641-0.0010874i,-0.00082433-0.00062079i,-0.00078119-0.00015707i,-0.0008791-0.00036459i,-0.0010403-0.00075682i,-0.00066627-0.00078587i,0.0001407-0.000155i,0.00077542+0.0001965i,0.0012193-0.00018514i,0.0013209-0.00060025i,0.0010502-0.00027336i,0.00062807+0.00021117i,-2.6938e-05+0.00030502i,-0.00016985+0.00014542i
