-0.00041271-0.00042983i,-0.00056341+9.4662e-06i,-0.00096221+0.00094989i,-0.0015454+0.00086077i,-0.0011942+0.0011892i,0.00022082+0.0016955i,0.00073817+0.0021441i,1.4959e-05+0.0021341i,0.00036729+0.0017615i,0.00092559+0.0014289i,0.0011637+0.00048225i,0.00055191-0.00054146i,0.00024136-0.00075781i,0.00062155-6.057e-05i,0.00029333+0.00053952i,-5.0344e-05+0.00051055i,0.00064426-0.00054943i,0.00096208-0.00021514i,6.061e-05+0.00061657i,-0.00077556+0.00080917i,-0.00066011+0.00021663i,-0.00071982-0.00021364i,-0.00086103+0.00028238i
0.00039216-0.0011725i,0.00085098-0.00010373i,0.00048721-2.7739e-05i,0.00071602-0.00016942i,0.0016623-0.00072684i,0.0019311-0.001637i,0.0013886-0.0015086i,0.00025069-0.00069343i,0.00029744-0.00039864i,0.0012997-0.00016299i,0.00019174-0.0002125i,-0.0011511+0.0001266i,-0.001362+0.0010319i,-0.00079435+0.0013774i,-0.00026468+0.0014256i,0.00025434+0.0010902i,0.0004071+0.00076825i,0.0002527-0.0002595i,-3.5308e-05-0.0010327i,-0.00040383-0.00030804i,-0.00049995+9.0031e-05i,-0.00046842-0.00053524i,-3.4536e-05-0.00091161i
0.0016082+0.0027306i,0.0017818+0.0011003i,0.0019803-0.0002023i,0.0021229-0.0008243i,0.0020364-0.00054882i,0.00068247+0.00066861i,-0.00053946+0.00078198i,-0.00066768+0.00091671i,-0.0004624+0.00050385i,-0.00017532-0.00019225i,-0.00053607-0.00028691i,-0.0014969-4.6305e-05i,-0.001485+0.00022285i,-0.00044352+0.00018944i,0.00057117+0.00039729i,0.0012174+0.00023225i,0.0013442+0.00037617i,0.0013296+0.00056367i,0.0010213+0.00028247i,0.00069543-0.00024499i,0.00034853-0.0003519i,-2.3406e-06-0.00013375i,0.00053665-0.00018743i
-0.0019523-0.0011348i,-0.0013959+0.00033971i,-0.0011538+0.0017436i,0.00041751+0.0014619i,0.0022647+0.0010725i,0.0023214+0.00037045i,0.0014153-0.00035712i,0.0012218-0.00018137i,0.00023839-0.00034394i,-0.0011693-0.00082775i,-0.001211-0.00039669i,-0.00099433+0.00016754i,-0.0013625-0.00051719i,-0.00077221-0.0011184i,0.00042541-0.00055187i,0.00016184-0.00042234i,-0.00012202-0.0008244i,-2.1483e-06-0.00055646i,4.8778e-05+0.0002616i,0.00036836+0.0004325i,0.00067275-0.00014484i,0.0004695-0.00028417i,3.8984e-05-7.0718e-05i
0.0020211+0.00087508i,0.0018794+0.00022261i,0.0010494+0.00042948i,0.0022964+0.00014569i,0.0027687+0.00013244i,0.0012763-1.5232e-05i,0.00055361-0.0007207i,0.00088013-0.00051582i,0.00070284-0.00037843i,-6.9208e-05-0.00086774i,-0.00083458+1.833e-05i,-0.0015288+0.00030257i,-0.0011075+0.00037935i,-0.00047114+0.00076743i,-2.8393e-05+0.00025682i,0.00029135+0.00045598i,0.00031666+0.00071209i,0.00054154+0.00072862i,0.00037939-5.9976e-05i,-0.00049871-0.0008508i,-0.00085151-0.00046799i,-0.00022125+0.00012805i,6.7295e-05+0.00020094i
0.0015657-0.00099519i,0.0014221-0.0014045i,0.0010073-0.0018913i,0.00070781-0.0018613i,-1.505e-05-0.0020984i,5.1651e-05-0.0017827i,1.7308e-05-0.00056399i,0.00033422+6.8757e-05i,0.0003455+0.00022538i,-0.00038864+0.00025807i,-0.000533+0.00039859i,-0.00039711-3.1553e-05i,-9.3265e-05-0.00032596i,0.00064776+0.00021602i,0.0013411+0.00036033i,0.0013611-0.00030027i,0.00099363-0.00094464i,0.0002369-0.00091864i,1.9132e-05-0.00059377i,0.00051849-0.00023823i,0.00037806-3.3366e-05i,-3.5744e-05+0.00016718i,-4.7598e-05-0.00019279i
-0.0010493-0.00050782i,0.00070059-0.00023819i,0.0026334+0.0010129i,0.00249+0.00043268i,0.0017761-0.0008558i,0.0014388-0.0013712i,0.00093236-0.00073374i,0.00058342-0.00017092i,0.00089359-0.00050019i,0.0015081-0.0011444i,0.00099683-0.0011197i,-0.00040889-0.0001897i,-0.0012984+0.00086564i,-0.00078287+0.00083366i,-3.6239e-05+7.4033e-05i,-0.00017048-0.00015815i,-0.00053235-0.0002954i,-0.00041679-0.0004403i,0.00033137-4.2262e-05i,0.0002692+0.00057518i,-0.00028498+0.00063048i,-0.00030034+0.0003035i,0.00031882+0.00028469i
0.00015162+0.001921i,0.00080834+0.0013796i,0.0014179+0.00069718i,0.0019267+0.00073709i,0.0020783+0.00055595i,0.000884-0.00062106i,-7.4697e-05-0.0014384i,-0.00011676-0.0010771i,0.00038889-0.00049591i,0.00065349-0.00049272i,2.5433e-05-0.00037037i,-0.00087969-0.00060449i,-0.0012832+0.00022103i,-0.0016713+0.00090464i,-0.0019802+0.00038946i,-0.0012702+0.00058894i,0.0001333+0.00036652i,0.00042557+0.00048115i,0.0002594+0.00046239i,0.00082615+0.00019437i,0.0010088+0.00054296i,0.00065903+0.00045315i,0.00056604+0.0001334i
-0.00055035+0.00096464i,-0.00018708+0.00054231i,0.00097564+0.0003738i,0.0018613+0.0013229i,0.0022137+0.0013172i,0.0023207+1.5942e-05i,0.0013981-0.00062056i,0.0001987-0.0001818i,5.3421e-05+0.00018546i,-3.5072e-05-0.00047875i,-7.4166e-05-0.0011518i,-0.00083817-0.00070917i,-0.0014134+0.00012339i,-0.00073726+0.00079711i,9.1503e-05+0.0013154i,0.00066477+0.0011723i,0.00098526+8.6773e-05i,0.0010918-0.00087121i,0.00043381-0.00080818i,-0.00063215-0.00071821i,-0.00058561-0.00084475i,-0.00032042-0.00043571i,-0.00010983-0.00030345i
-0.00046492+0.0024315i,0.00074383+0.0020759i,0.0017962+0.0017636i,0.0024258+0.00021333i,0.0022982-0.00099446i,0.001418-0.00167i,0.00026844-0.0015948i,-0.00058698-0.00076179i,-6.8193e-05-0.00031784i,0.00046846-0.00090339i,-0.00010313-0.0014067i,-0.0014478-0.0011873i,-0.0015668-0.00031407i,-0.0012992+0.00053737i,-0.00072981+0.00075364i,0.00084128+0.00043225i,0.0010915-0.00036341i,0.00060279-0.00056358i,0.00022835+0.00014426i,0.00018857+0.00064864i,0.00014213+0.00065432i,-0.00011379+0.00036951i,-0.00088887+0.00055367i
0.0019377-2.7231e-05i,0.0022137+0.00084629i,0.001787+0.0015795i,0.0014401+0.0008222i,0.0023292-8.0624e-05i,0.0023184-0.00018115i,0.0011547-0.00056245i,0.00096112-0.00059856i,0.0014099+2.5825e-05i,0.00083012-0.00019655i,-7.333e-05-0.00013503i,-0.00043806+0.00029258i,-0.00043111+0.00095189i,-0.00030018+0.0014573i,0.000351+0.00083431i,0.00048827+4.9912e-05i,0.00052167-0.00056334i,0.00056294-0.00094872i,0.00032855-0.00094591i,-7.6236e-06-0.00025249i,-0.00033638+0.00061715i,-0.00089922+0.0006386i,-0.00078236+0.00065224i
0.00029403+0.00068447i,-0.00056896-5.2756e-05i,0.0004096-0.00062489i,0.0018311-0.00062787i,0.0019957-0.00067401i,0.0012128-0.0014966i,0.00066578-0.001677i,0.0008987-0.0010606i,0.00051575-0.0003133i,-5.6524e-05-0.000215i,8.8267e-05-0.00063966i,-0.00063471-0.00065187i,-0.0020221-3.5901e-06i,-0.0015331+0.00030364i,-0.00028546+1.1426e-05i,0.00016562-0.00030246i,0.00092077+8.4777e-05i,0.0015032+0.00029324i,0.0012267+0.00042828i,0.00073328+0.00085756i,0.00020004+0.0010196i,-0.0003566+0.00062648i,0.00052406-0.00021785i
-0.00031805+0.00056649i,-0.00015827+0.00092457i,0.0014887+0.0014428i,0.0020789+0.0011039i,0.0018132-0.00036147i,0.0016694-0.0010345i,0.00075245-0.00025337i,2.2239e-05+0.00015209i,-0.00021628-0.00019109i,-0.00059805-0.0003355i,-0.00065995-0.00053284i,-0.00075065-0.00048614i,-0.0012487-0.00020423i,-0.0011415+0.00062795i,-0.00044323+0.00032083i,0.00022544-0.00018661i,0.00054229+0.00015333i,-1.9892e-05-0.00010522i,-0.00026036-0.00041497i,-0.00025922-0.00022167i,5.1295e-05+0.00049257i,-0.00014091+0.00032672i,-0.00022393-0.00018501i
-0.00086805-0.00079942i,-0.0012929-0.00042817i,-0.0017131-0.00030968i,-0.00036879+0.00021101i,0.00083863+0.00055737i,0.00055435+7.1868e-05i,0.0010257-0.00024589i,0.0013465+0.00063672i,0.00027971+0.00098021i,-0.0008166-0.00018348i,-0.00064651-0.00055886i,-0.00046282+0.00061642i,-0.00018744+0.00043869i,0.00012696-0.00037789i,-0.00021089-0.00025253i,-0.00013006-0.00011706i,-0.00018748-0.00032551i,0.00014764-0.00026957i,0.00017815+2.1939e-05i,-0.00071861-0.00054949i,-0.00043157-0.00076883i,0.00011244-0.00028571i,0.00034552+0.00024879i
0.0002329+0.00049095i,4.8111e-05+0.00012604i,0.0010404-0.00049798i,0.0021403-0.00025762i,0.0022666-0.00056201i,0.00084821-0.0016181i,5.0328e-05-0.0014338i,0.00097534-0.00034293i,0.0013432-0.00034362i,0.00052602-0.00094437i,-0.00016672-0.00060384i,-0.00037541+5.5983e-05i,-0.00051825+0.00084276i,-0.00049971+0.0014297i,0.00025296+0.0007347i,0.00056756+0.00019927i,-0.00021819-7.5471e-05i,-0.00039921-0.00056704i,0.0006007-0.00038095i,0.00077525-2.0094e-05i,5.2979e-05+0.00046047i,-7.625e-05+0.00040875i,1.3601e-05+0.00025584i
0.00029954-0.0012674i,0.00038091-0.0014343i,-0.00032857-0.00029211i,-0.00073353+0.00082185i,0.0005953+0.0011322i,0.0013999+0.00023256i,0.0013137-0.0012454i,0.00041837-0.00054353i,-0.000531+0.00045686i,-0.0010103+0.00051492i,-0.0010501+0.00079577i,-0.0006154+0.00087291i,-0.00043567+0.00024486i,-0.00048665+0.00059258i,-0.00028181+0.00086514i,7.9023e-05+0.00031789i,-0.00022739+0.00010917i,-0.00066046+0.00039375i,3.1953e-06+0.0002884i,0.0012227-0.00040111i,0.0012306-0.00051724i,0.0001988+6.0583e-05i,-0.00049346+0.00049016i
0.001878+0.00056053i,0.00062652+6.9685e-05i,0.00033821-0.00066178i,0.0011945-0.0011544i,0.0023509-0.00095231i,0.0017888-0.00082115i,0.000379-0.00061538i,-8.0471e-05-0.00082428i,0.00026298-0.0010339i,0.00023771-0.00066721i,-0.00077212-0.00019725i,-0.00083254+0.0004843i,-0.0010291+0.0011049i,-0.00091538+0.00088047i,0.00017307+0.00080237i,0.00021899+0.00083302i,-0.00014697+0.00026442i,0.00011825-0.00013639i,6.6049e-05-0.00025754i,0.00038712+0.00032096i,0.0010549+0.0011627i,0.00076841+0.0011363i,-0.00046224+0.00049272i
-0.0010793-0.00056078i,-0.00092401+0.00013448i,-0.00030557-0.00021983i,0.0004979-7.2978e-05i,0.00048313-0.00015082i,0.00032694-0.00097336i,6.2191e-05-0.0014044i,-0.00046784-0.0011645i,-7.1842e-05-0.0008243i,0.00014916-8.7511e-05i,-0.00092105+9.1241e-05i,-0.0013473-3.067e-05i,-0.0010649+0.00032885i,4.8109e-05+0.00072205i,0.00085871+0.0010945i,0.00076348+0.0009561i,0.0009021+0.0004615i,0.0011662+0.00050402i,0.00066503+0.00059844i,0.00029467-0.00017783i,0.0004985-0.00055859i,0.00031485-0.00053895i,0.00027362-0.00012247i
0.0017121-0.0034505i,0.00096861-0.0037674i,-0.00049633-0.0049878i,-0.0024049-0.0045381i,-0.0022912-0.0028622i,-0.00071206-0.0016675i,0.00012313-0.0012134i,1.2764e-05-0.0011742i,5.075e-05-0.00058669i,-0.00073762-0.00055372i,-0.0013196-0.0010318i,-0.00032021-0.00029912i,0.00095694+0.0010518i,0.0017732+0.001187i,0.0014026+0.00083784i,0.00058105+0.00062878i,0.00068232+9.0225e-05i,0.0014379+5.032e-06i,0.0019514+4.6988e-05i,0.0016728-0.00020913i,0.00090422-2.3409e-05i,0.00035065-0.00013837i,0.00032836-0.00073108i
0.0016106-7.1613e-05i,0.0012301-6.2205e-05i,0.00060013+0.00054046i,0.0011597+0.00073891i,0.0014762-0.00021601i,0.0018255-0.0009886i,0.0012341-0.00076323i,-1.3269e-05-0.00031145i,-0.00052316-0.00040187i,0.00028541-0.00075734i,0.00042356-0.00021017i,-0.00087065+0.00019683i,-0.0013015+0.00031278i,-0.0011387+0.00054611i,-0.00046772+0.00030769i,-0.00020524-0.00035365i,-0.00064329-0.00056771i,9.3866e-05-0.00024346i,0.00038912-0.00050408i,-0.00027962-0.00012336i,-5.933e-05+0.00032284i,0.00085869+0.00078876i,0.00094059+0.00083142i
-0.00092616+0.001094i,-0.00054182+0.00077093i,-0.00039909-0.00023837i,0.0012811-0.0001441i,0.0021474+2.0124e-05i,0.0016164-0.00085482i,0.00083315-0.0018306i,-7.8686e-05-0.0015935i,-0.0003635-0.0005008i,-0.00037077-0.0007993i,-0.00033459-0.0010545i,-0.00067726-0.0002905i,-0.0016458+0.00072538i,-0.0015728+0.0011707i,-0.00016994+0.00043283i,-4.225e-05-0.00044433i,-0.00043319-0.00047003i,-0.00046967-0.00068988i,-3.323e-05-0.00077875i,-3.0209e-05-4.5195e-05i,-0.00029627+0.00056688i,3.8011e-05+0.00064841i,0.0004761+0.00033518i
-0.00083462-0.0025996i,-0.0010286-0.0021531i,-0.0014406-0.0013581i,-0.00079948-0.00094643i,-0.00030346-0.00080234i,4.3093e-05-5.9651e-05i,0.00018681-0.00052618i,-0.00012036-0.00086809i,-0.00059344-0.00033748i,-0.0013098-0.0001647i,-0.0015313-0.00022796i,-0.001379+0.00014291i,-0.001326+0.0010345i,-0.0010125+0.00057053i,-0.00036386-0.00018548i,0.00017732-0.00045244i,0.00040743-0.00014353i,-8.2102e-05-0.00016769i,-1.2834e-05-0.00025432i,0.00028582+0.00019875i,0.00011145+0.00041606i,0.00013233+0.00061737i,-0.0002073+0.0010586i
-0.0015854+0.0003355i,-0.0024537+0.0007467i,-0.0018142+0.0022733i,7.9589e-05+0.0023372i,0.00087051+0.00066716i,0.00083509-0.00074112i,0.00028381-0.0014459i,-0.00015076-0.00092024i,0.000149+0.00048861i,0.0011554+0.00077305i,0.00072721+0.00027995i,-0.00058571+0.00019052i,-0.00045524+0.00043505i,0.00049966+0.00035738i,0.00063396+0.00045165i,0.00063541+0.00039378i,0.00072015-0.00033614i,0.00024087-0.00052656i,0.00080844+0.00018962i,0.0012441+0.00085702i,0.00044973+0.00068867i,-0.00016375+0.00042996i,-0.00063704+0.00018422i
-0.001403-0.0015972i,-0.001504-0.0010979i,-0.00071403-0.00022014i,0.00031878+0.00022036i,0.0017302+0.00017125i,0.0025276-0.00050022i,0.0020823-0.00084099i,0.0014058-0.0013424i,0.00052586-0.00076513i,-0.00027565+5.1027e-05i,-0.00065416+6.4671e-05i,-0.00063477+0.00056925i,-0.00047639+0.0011545i,0.00013479+0.00028909i,0.0012323-0.00023989i,0.0014455-0.00079139i,0.00025836-0.0010003i,-0.00077754+2.0883e-06i,-0.00090754+0.00030601i,-0.00040134+0.00069949i,-0.00029612+0.0011i,-0.00034924+0.00065507i,0.00018031+0.00065318i
0.0023567-0.00011669i,0.0022519-0.00017662i,0.0026018-0.0010804i,0.001153-0.0012184i,6.936e-05-0.00096855i,0.00051754-0.00071043i,0.00057937-0.00069991i,0.00021529+0.00018377i,-0.00014873-0.00023538i,-0.00089053-0.00089888i,-0.0012012-0.00010033i,-0.0012789+0.0013455i,-0.0013826+0.0015577i,-0.00015506+0.00090795i,0.00057579+0.00037741i,0.00052306+0.00016684i,0.00074819-9.2549e-05i,0.0010383-0.00014155i,0.0010184+0.00050498i,0.00055518+0.00073649i,-0.00013217+0.00012207i,-0.00027106+1.9145e-05i,0.00025356-0.00062164i
-0.0012724+0.00019578i,-0.001814-0.00012535i,-0.0014693-0.0004068i,-0.00017688-0.0010199i,0.0010821-0.0012895i,0.0015577-0.00078899i,0.00099855-0.00015187i,-5.8553e-05-0.00019415i,-0.00060204-0.0010622i,-0.00043238-0.00077854i,-0.00061612+0.00023261i,-0.00068038+0.00051412i,-0.00071078+0.00028526i,0.00047916+0.00018175i,0.0011153+0.00048735i,0.00041574+0.00026527i,0.00075312+8.7281e-05i,0.00054231+8.3019e-05i,5.1591e-05+0.00046479i,0.00079094+0.00077868i,0.0010507+0.00062372i,0.0008243+0.00046452i,0.00060229+0.00032552i
0.00020908+0.0005874i,0.00075303+0.00054249i,0.0015301+0.00047394i,0.0027233+0.00041207i,0.0027118-0.00041676i,0.0014932-0.0013477i,0.0012694-0.0013541i,0.0011257-0.00059452i,0.00071997-0.00067601i,8.9609e-05-0.00066766i,-0.00055806-0.00013444i,-0.00087683-0.00011903i,-0.0011075-0.00038111i,-0.00079717+9.5217e-05i,-0.00062963+0.0010358i,-0.00074804+0.0014386i,-0.00068736+0.0012751i,-0.00017003+0.00089834i,0.0010365+0.0002207i,0.0013135-2.7365e-05i,0.0012033-0.00014291i,0.00096056+0.00028572i,0.00025069+0.0010246i
0.0016512-0.0016496i,0.0021474-0.0010372i,0.0010252-0.0018963i,0.00045797-0.0020565i,0.00071878-0.00052264i,0.0010526-0.00074063i,0.00074516-0.0015167i,0.00021226-0.0011458i,-4.6866e-05-0.001059i,-0.00084919-0.0019854i,-0.00069025-0.0015549i,-0.00021966+7.079e-05i,-0.00058005+0.0011056i,-8.1024e-05+0.0010143i,0.00098367+0.00072397i,0.0016768+0.0001393i,0.0016493+4.6146e-05i,0.0010735+0.00022022i,0.00076047-0.00040649i,0.0010389-0.0011524i,0.00061755-0.00070452i,-0.0010903+0.00063555i,-0.0013767+0.00043114i
-0.00079098-0.0003974i,-0.0011174+0.0011199i,-0.0013033+0.00089489i,-0.00023136+0.00065061i,0.00025528+0.0010983i,-0.00023592+0.00069289i,-0.0007681-0.00069725i,-0.00017919-0.0015099i,-3.3526e-05-0.0018232i,-0.00042457-0.0015436i,-3.975e-05-0.00066125i,8.7066e-05+0.00043129i,-0.00037632+0.0010881i,-0.0008237+0.0010644i,2.6556e-05+0.00065295i,0.00071388+0.00059263i,0.00010682+0.00099421i,-0.00045238+0.00016997i,-0.00034081-0.0011373i,2.0726e-05-0.00058603i,0.00036331+0.00047436i,0.00012568+0.00041864i,-0.00086445-0.00020558i
-0.00024363-0.0016037i,-0.00031573-0.0018643i,-5.6202e-05-0.0019089i,0.00037178-0.0018113i,0.00078993-0.0016914i,0.0013902-0.0015789i,0.0011753-0.0013522i,0.00025399-0.0013509i,8.7512e-06-0.0018948i,0.00010174-0.0018801i,0.00014806-0.0007961i,0.00018119+1.5662e-05i,-0.00035324+0.00088686i,-0.0011244+0.00094438i,-0.00023016-0.00022841i,0.0010746-0.00041053i,0.0010097-0.00023878i,0.0010704-0.00063712i,0.001265-0.00037687i,0.00039941-0.00036953i,-0.0001316-0.00055914i,0.00038789-0.00042984i,0.00069661-0.00054748i
0.0014365+0.0022275i,0.0031628+0.0016309i,0.0034092+0.00090762i,0.0032682+0.00012505i,0.0026317-0.00093825i,0.001798-0.0012843i,0.00095349-0.00087265i,-4.5025e-05-0.00040876i,-0.00030101-0.00019218i,-0.00041652-9.3584e-05i,-0.00052104-5.1796e-05i,-0.00074562+9.5339e-05i,-0.001487+4.2979e-05i,-0.0014368+0.0002997i,-0.00062152+0.00091433i,-3.6106e-05-8.8972e-05i,6.1844e-05-0.00061654i,-9.9476e-05-7.9783e-05i,-0.00024191+1.7928e-05i,5.0075e-05-0.00051034i,0.0007818-0.00069078i,0.00084688+3.607e-05i,0.00013193+0.00020149i
-0.0042394-0.00031785i,-0.0053395-9.9991e-05i,-0.0049096+0.0012656i,-0.0017406+0.0016169i,0.00036891+0.001633i,0.0006236+0.0013771i,0.00039709-0.00049331i,-0.00024481-0.00091638i,-0.00073766-0.00030441i,-0.00033415+0.00080198i,0.00014461+0.0011169i,0.00012841+0.0004217i,-0.00017329+0.00065803i,0.00040965+0.00025133i,0.00053003-0.00035679i,-0.00016209-0.00033666i,0.00022248+0.00040783i,0.00018921+0.00075267i,0.00023146+0.00018513i,0.00017387-0.00020658i,-0.00079133+4.2046e-06i,-3.8782e-05+0.00011926i,0.00094964+0.00016127i
-0.00066057-0.0029036i,-0.0008461-0.0021753i,-0.00066492-0.0014914i,-0.00052271+0.00024522i,2.8241e-05+0.0008962i,0.0011126+0.00086714i,0.00039115+0.00011012i,1.6084e-05-0.00076256i,0.00083015-3.4279e-05i,0.00024502+0.00042473i,-0.00056422-4.6927e-05i,-0.0007221-8.8183e-05i,-0.00057323-0.00030944i,0.00012539-0.00046391i,0.00051542+9.7564e-05i,0.00060874+0.0003282i,0.00037863-0.00014469i,-0.00018494-0.00050317i,-4.0882e-05-6.978e-05i,0.00028098+0.00043372i,-0.00026713+0.00041327i,-0.00094652+0.00014525i,-0.00086238+0.00013068i
