-0.002567-0.00023634i,-0.0023964-0.00049275i,-0.0020384+0.00046376i,-0.00066792+0.0014501i,0.00012889+0.001836i,0.00039327+0.0017363i,0.0002323+0.0017649i,9.9464e-05+0.0016301i,0.00067887+0.0011029i,0.0010266+0.00027526i,0.00094438-0.0002979i,0.00080299-1.8552e-05i,0.00072523+0.0003865i,0.00030124+0.00059439i,0.00016308-0.00043149i,0.00056501-0.0014756i,0.00044705-0.00060324i,0.00064788+0.00061257i,0.00021787+0.00088219i,2.4321e-05+0.00049731i,0.00021252-0.00022056i,-0.00015216-0.00028515i,0.00029877+0.00051142i
-0.00075212-0.00057713i,-0.0005492-0.00066724i,-0.0011006-0.00097051i,-0.00084136+0.00010629i,0.00029781+0.0011787i,-0.00020465+0.0010024i,-0.00082157+0.00063638i,-0.00072241-0.00038178i,0.00019872-0.00081256i,0.00095966-0.0005182i,0.0004885-0.00038166i,-0.00040895-2.1554e-05i,-0.00059559-0.00050938i,4.0636e-05-0.00089535i,0.00090227-0.00023261i,0.00097376+0.00057249i,0.00023331+0.00090132i,-7.9616e-05+0.00028616i,-0.00018438-0.00012135i,0.00017833-0.00017594i,0.00036271-3.1182e-05i,-0.00027486+0.00043232i,-0.0006807+0.00063754i
-0.00029051-0.00082404i,-0.0010668+0.00055447i,-0.001913+0.00070834i,-0.0025966-0.00050156i,-0.0018464-0.001678i,-0.0012989-0.00069071i,-0.00088488-0.00036964i,-0.0010037-0.00048698i,-0.00071411+0.0001934i,0.00010675-0.00017614i,0.00067948+0.00036832i,-0.00019613+0.0010947i,-0.00084014+0.0002035i,-4.6732e-05-0.00023349i,0.00030335+0.0002252i,0.00034592-0.00045498i,0.00016732-0.00054205i,0.0002249-8.9768e-05i,0.00068171+6.3981e-05i,0.00056516+0.00029724i,0.00065588-0.0002072i,0.00071467-0.00092607i,0.0010991-0.0010609i
-0.00046349-0.00049599i,-0.00036946-0.000504i,-0.00015854+0.00098635i,0.00035475+0.001512i,5.7248e-05+0.0014447i,-0.0002816+0.0010334i,-0.00020094-0.00058483i,-0.00027308-0.0015734i,-0.00077552-0.0012941i,-0.00086546-0.00082009i,-5.1015e-05-0.00015945i,0.00099331-0.00073677i,0.0008443-0.0012667i,0.00027167-0.0012718i,0.00020464-0.00096153i,0.00047607-0.00036339i,0.00026668-0.00050909i,-0.00026453-0.00081389i,0.00017402-0.0011747i,0.00033482-0.00023928i,-0.00029778+0.00023946i,-0.00015079+3.4775e-05i,0.00056436+0.00036175i
0.00021604-0.00035558i,-0.00060507-0.00017866i,-0.00025709+0.00061102i,0.00062769+0.0013306i,0.00042318+0.00079485i,0.0006428+6.7712e-05i,0.0012997-0.00063417i,0.00050923-0.0013482i,-0.00054938-0.0014518i,-0.00043808-0.00048125i,0.00011782+9.4746e-05i,0.00011241-6.5938e-05i,-0.00031123-0.00061638i,-8.2304e-05-0.00076199i,0.00049103-0.00032311i,0.001244-0.00033029i,0.0010668-0.00091163i,0.00044935-0.00073933i,0.00026409-8.7007e-06i,0.00020097+8.374e-05i,0.00033153-0.00014097i,-0.00043044-0.00013618i,-0.00099025-0.00026508i
-0.00087954-0.00054043i,-0.00092745-0.00060115i,-0.0014346-0.00050907i,-0.0018421+0.00055514i,-0.0016986+0.0006917i,-0.0011779-0.00065281i,-0.00064373-0.00060471i,-0.00068122+0.0001392i,-0.00049755+0.00050398i,-0.00018472+0.00038883i,-0.00015554+6.4561e-05i,8.6877e-05+4.8428e-06i,1.4687e-05+0.00016928i,-0.00062697-5.0431e-05i,-0.00017449-0.00071132i,2.1168e-05-0.00091502i,0.00044948-0.00022058i,0.00032422-6.2201e-05i,-4.3234e-05-0.00020335i,0.00014085-0.00026651i,-0.00011189-0.00043879i,-0.00024539-0.00069245i,0.000743-0.0005134i
-0.00145+0.00071834i,-0.0012304+0.0013164i,-0.0014797+0.0016668i,-0.00038271+0.001232i,0.00062594+0.001641i,0.00033031+0.0013598i,-0.00016642+0.00053465i,-0.00063145-0.00031883i,-0.00081838-0.00029259i,-0.00047428-0.00077072i,3.3634e-05-0.0013531i,-5.3951e-05-0.00069501i,-0.00047291-0.00063914i,-0.00036933-0.0011749i,0.00028081-0.0012507i,0.0004577-0.0018463i,0.00025404-0.0021031i,0.00037121-0.00070384i,-5.1938e-05+0.00022672i,-0.00055222+0.00068613i,-0.000344+0.0011215i,-0.00088211+0.00093986i,-0.0011685+0.00054773i
0.00062947+0.00013679i,0.00056891-9.3933e-05i,0.0010074+0.00080243i,0.00055194+0.00079497i,-0.00013807-0.00085957i,-0.00065118-0.00077591i,-0.00059078+0.00026456i,-0.00017091+0.00056604i,-2.3516e-05+0.00061594i,0.00016777+0.00074491i,0.00074271+0.00039513i,0.00050417-0.00030244i,-0.00040793-0.00041203i,-0.00063102-0.00039682i,-0.00035338-0.0002768i,7.8671e-05+1.17e-05i,0.00043408+0.00041384i,0.00056221+0.00037068i,0.00012917-0.00024694i,0.00068041-0.00041777i,0.0014002+5.6343e-05i,0.0010684+0.0001212i,0.00022877-0.00048436i
-0.00088953+0.00010467i,-0.00041415-5.7805e-05i,-0.00038206-5.0014e-05i,-0.00052871+0.00049713i,-0.00065537+0.0013707i,-2.4363e-05+0.0012243i,0.00039775+0.00041368i,-0.00026498+0.00035932i,9.0937e-05+0.00034064i,0.00059956-0.00029764i,-0.00033799-5.9279e-05i,-0.00025884+0.00027915i,0.00056702-4.0304e-05i,0.00056637-0.00037232i,0.0001681-4.8621e-05i,-6.94e-05-0.0001915i,7.2736e-05-0.00023682i,-0.00033443-0.00053625i,-0.00019102-0.0014399i,-0.00020075-0.0007199i,-0.00089896-9.5847e-05i,-0.00072322+0.00044914i,-0.00035803+0.00081428i
0.0014272-0.00038223i,0.00056813-0.00099083i,7.7428e-06-0.00070625i,-0.00058096-0.0004962i,-0.00080155-0.00068144i,-0.00070599-0.00036559i,-0.0012253-4.7892e-05i,-0.0005771-0.00010847i,7.2811e-05-0.00070046i,-0.00053924-0.00077901i,-0.00097219+8.8197e-05i,-0.00092382+0.00090155i,-0.00042237+0.0010542i,-8.249e-05+0.0011208i,3.9886e-05+0.0011737i,0.00039803+0.00081073i,7.6442e-05+0.00072752i,0.0004779+0.00092497i,0.00015544+0.00046423i,-0.00074361-0.00030629i,-0.00030866-0.00095943i,-2.5432e-05-0.0014436i,-0.00035911-0.00090341i
6.6881e-06-0.00039118i,-0.0013307-0.0001985i,-0.0019593-0.0016384i,-0.002785-0.0015303i,-0.0025776+0.00021064i,-0.001653+0.0012106i,-0.00081412+0.00095361i,-0.00022728-5.0785e-05i,0.00061475-0.00047049i,0.00071613-0.00072522i,0.00063126-0.00026174i,-4.4314e-05+0.00017188i,-0.00040013-0.00019985i,-2.2594e-05-0.00018851i,-3.8466e-05+0.00048607i,0.00034117+0.0008872i,0.00040267+0.00042926i,0.00050319+0.00010598i,0.00066481+0.00019288i,0.00038686+0.00063615i,-0.00047395+0.0011807i,-0.0007727+0.00057017i,-0.00043096+0.00043661i
-0.0017262-0.00059455i,-0.0010528-0.00085995i,0.00012385+0.00017392i,0.0009369+0.00096284i,0.0016841+0.00052737i,0.0014924+0.00040022i,0.00046207+0.00060074i,0.00019716-0.00031103i,0.00041376-0.00061813i,0.00010574+0.00016649i,-0.00027129-0.00026225i,5.671e-06-0.00041048i,-0.00070211+0.00030593i,-0.0015702-7.1454e-05i,-0.0010837-0.00075022i,-0.00063522-0.0011982i,-0.00049223-0.00063298i,-1.8815e-05+0.00021519i,7.801e-05+0.00028167i,-8.7872e-05+0.00030783i,1.4963e-05+0.00034899i,0.00051638+0.00027692i,0.00062942+1.7897e-05i
0.00019991-0.001596i,-0.0004383-0.000952i,-0.0010017-0.00063776i,-0.0013826-0.00013072i,-0.0017047+0.00043382i,-0.0019289+0.00058889i,-0.0013884-0.00041546i,-0.00085676-0.00068529i,-0.0013965+8.5405e-05i,-0.0014566+0.00063461i,-0.00026744+0.00063924i,0.00071244+0.00017623i,0.00087744-5.2275e-05i,0.00010739+0.00015191i,-7.7668e-05+0.00019504i,0.00029703-0.00042822i,0.0011059-0.00095311i,0.0018023-0.001015i,0.0015517+0.00016856i,0.00069772+0.0010574i,0.00013241+0.00090257i,-0.00049443-0.00012562i,-0.00091671-0.00058145i
-0.00078037+0.0005289i,-0.00071884+0.00054537i,-0.00020175+0.002433i,0.0011108+0.003644i,0.0012648+0.0030802i,0.00098808+0.00098375i,0.00046415+0.00014238i,-0.00024938+2.7699e-05i,-0.00060687+0.00034794i,-0.00038431+0.00052345i,-8.8381e-07+0.00075826i,0.00077468+0.00085734i,0.00079441-4.2062e-05i,-0.00010334-0.0012539i,0.00027078-0.0021669i,0.00072038-0.0013887i,0.00059189+4.5185e-05i,0.00026038+0.00051063i,1.8384e-05+0.00010523i,0.00017841-5.8618e-05i,0.00018651+0.00013266i,0.00051095+0.00018977i,0.00017581-0.00011171i
-0.0002736-0.00057447i,-0.00088406+0.0002735i,-0.0020767+0.00016376i,-0.0026378-0.00021136i,-0.0017343-0.00090567i,-0.00083879-0.00025555i,-0.00076249-3.256e-05i,-0.0014288-0.00097073i,-0.001413-0.00052567i,-0.00042823+0.00038278i,0.00056405+0.00081939i,0.00082741+0.00078046i,0.00032941-0.00029329i,0.00055105-0.00094509i,0.00025378-0.0008061i,1.3791e-05-0.00055989i,-0.00031921-0.000601i,-0.00089878-0.00066872i,-0.00068431-0.00020814i,2.761e-05-0.00026187i,0.00037909-0.00028309i,0.00010953-0.00034873i,-0.00064823-0.00029274i
4.2168e-05+0.00031957i,-0.00075802+0.00083263i,-0.00056239+2.3351e-05i,-0.00013253-0.00028364i,-0.0005008+0.00014625i,-0.0010038-0.00050634i,-0.00063843-0.00077744i,-0.00053166-0.00036313i,-0.00071232-0.0003074i,-0.00040161-0.00030655i,-0.00040096-0.00042448i,0.00030173-0.00054335i,0.00053211-0.001451i,-0.0001473-0.0016687i,0.000182-0.00059533i,0.0011054-7.1778e-05i,0.00088038-0.00024883i,0.00016345-0.00015031i,0.00021378+2.0175e-05i,0.00039501+4.0629e-05i,0.0004971+0.00052411i,6.8806e-06+0.00022986i,-0.0011846-0.00090536i
0.00081451+0.0011836i,0.00048506+0.0011058i,0.00046265+0.00097799i,-0.00053399+0.00044495i,-0.0015044-0.00028871i,-0.0010435-4.3432e-05i,-0.0005706+0.00032374i,-0.001141+0.00024856i,-0.0015672+5.1655e-05i,-0.00032588+9.236e-05i,0.00017879+0.00032169i,-0.0004445+0.00022117i,-0.00021232-9.5966e-05i,-0.00015504-0.00015017i,-0.0002977-0.0002063i,0.0002159-0.00038026i,0.00035181-0.00059608i,-2.397e-05-0.00085618i,0.00012808-0.0010049i,0.00046069-0.0011615i,0.00064079-0.00059325i,-6.3173e-05-5.0792e-06i,-0.00059467-3.4391e-05i
-0.00042969+0.0020813i,-0.0014971+0.0016153i,-0.0019676+0.0010464i,-0.0016663+0.00027467i,-0.0013896-0.0004856i,-0.001363+3.8576e-05i,-0.0014101+3.321e-05i,-0.00077666-0.00036206i,9.628e-05-0.0004804i,0.00014569-0.00086268i,-1.9579e-06-0.00028894i,-4.5777e-05+0.00039348i,-0.00047665-0.00021886i,-0.00037596-0.00055563i,-0.00047965-0.00039274i,-0.00087636-0.00035599i,-0.00088314+0.00028952i,-0.00062759+0.00022929i,-0.0002474-0.00093378i,-0.00062741-0.0012851i,-0.00081403-0.0011145i,-0.00021327-0.00082908i,-0.00014097+0.00056551i
0.00051482-0.0015961i,-0.00011085-0.0008902i,-0.00056133+9.2544e-05i,-0.00071319+0.00072912i,-0.0010408+0.00084773i,-0.0013114-5.5226e-05i,-0.00050064-0.00068768i,0.00028066-0.00075533i,-0.0001092-0.001374i,-0.00047799-0.0010655i,-0.0006781+0.00019688i,-0.00061817+0.00017366i,-7.86e-05-0.00035188i,0.00038744-0.00033378i,0.00026567-0.00045315i,0.00019095+0.00020216i,0.00016514+0.00040051i,-0.00028844-0.0002889i,-0.0001642-0.00041778i,0.00036036-0.0003195i,3.1596e-05+0.00034982i,-0.00074735+0.0012804i,-0.00063701+0.00076248i
-0.00031738-0.0010601i,0.00088391-0.00035416i,0.00018238+0.00047899i,-0.00067677+0.00070553i,-0.00024428+0.0013424i,0.00028936+0.000916i,0.00036372-0.00012177i,0.00018454-0.00042342i,-0.00030588-0.00034075i,-0.000795-0.00049333i,-0.00048982-0.00020768i,0.00033669+0.00015721i,-0.0001013+0.00032537i,-0.00088336+0.00011011i,-0.00097384-0.00057403i,-0.00055157-0.00050935i,-0.00032919-0.00049928i,-0.00074676-0.00093715i,-0.00048936-0.00098043i,-0.00037235-0.00046051i,-0.00084412-0.00019801i,-0.0011634-0.00049199i,-0.0006767-0.00057831i
0.00035554-0.00011616i,-7.1502e-06+0.00020196i,0.00011917-2.8952e-05i,-1.3562e-05-0.00066007i,-0.00048187-0.00083541i,-0.0010559-0.00034561i,-0.0011174+0.00059065i,-0.00085388+0.00065739i,-0.00077173+0.00014666i,-0.00069438-0.00036524i,-3.1485e-05-0.00040842i,0.00030239-0.00046771i,0.00026534-0.00073348i,8.2856e-05-0.00081401i,-0.00089773-0.00047625i,-0.000749-0.00078091i,0.00083926-0.00076647i,0.0011378-0.00039244i,0.00028015-0.00034367i,-0.00011397-0.00039288i,0.00011517-0.00021579i,0.00028668+0.00019424i,-7.3989e-05+8.4476e-05i
-0.00037475-0.00021391i,-0.00042029+0.00070354i,-0.00023455+0.00097029i,9.8247e-05+0.0009663i,-0.00028877+0.0006774i,-0.00034895+0.00017627i,-0.00059937-0.00019324i,-0.00025197-0.0003232i,0.00015456-0.00048261i,-0.00028882-0.00038387i,-0.0001173-0.0003702i,0.00010749+0.00053898i,6.3947e-05+0.00084546i,-0.00057722+0.00061993i,-0.00094704+0.00095253i,-0.00043351+3.4901e-05i,5.9154e-06-0.00038871i,0.00023698-0.00034585i,0.00058656-0.00073033i,0.00054071+0.0001208i,0.00049635+0.00032656i,0.00052617-0.00036223i,0.0010244-0.00023975i
0.0012173+0.0025495i,0.00066501+0.002275i,0.0012499-4.1893e-05i,0.0011796-0.0014849i,0.00031057-0.00091841i,-0.00076641+0.00023384i,-0.00097739+0.00061288i,-0.00082441+0.00055559i,-0.00014719+0.00036431i,1.6548e-05+0.00032309i,4.1143e-05-0.0001772i,0.00018913+0.00013426i,9.7465e-06+0.0010734i,7.3384e-05+0.00049596i,-0.00065114-0.00070372i,-0.00058268-0.001055i,0.00044855-0.00033537i,0.00064294+6.4804e-05i,4.5229e-05+0.00013316i,-0.00061732+1.3663e-05i,-4.5185e-05-4.0226e-05i,0.00051344-2.34e-06i,0.00047398-0.00036379i
-0.00053758-0.00097732i,0.00059738-0.00029563i,0.0008672-0.00016161i,-0.0007671-0.00012672i,-0.001141-9.9694e-06i,-0.00029411-1.9566e-05i,-0.00078349-0.00020996i,-0.0012413-0.0003538i,-0.0013571-0.00039552i,-0.0011052-0.00020737i,-0.00039607+0.00053219i,-0.00021354+0.00078712i,-7.2191e-05+0.00064175i,6.1095e-05+0.00021071i,-0.00090144+0.00033515i,-0.00075304+0.00013605i,0.00050379-0.0003948i,0.00057569-0.00050558i,4.2841e-05-0.00019828i,0.00021654+8.2728e-05i,0.00013024+0.00035299i,-0.00038718+0.00096976i,-6.6799e-06+0.00030153i
-0.00053545-0.00093187i,3.8667e-05-0.0011374i,-0.00031003-0.00045551i,-0.00070874+0.00071996i,-0.00021556+0.001283i,-0.000662+0.00099129i,-0.001257+0.00038617i,-0.00098456+0.00048571i,-0.0007836+0.00068526i,-0.00061359+0.00085632i,-0.00037903+0.0010777i,-0.00021542+0.00039683i,0.00041536-0.0011641i,0.0006017-0.00064394i,0.00049837+0.00012938i,8.816e-05-0.00011209i,-0.00058798-0.00042424i,-0.00036151+0.00035159i,0.00031449+0.0007959i,-0.00022587+0.00081947i,-0.00049714+0.00056602i,0.00027404+0.00024825i,0.00019246+0.00027644i
-0.00085286+0.00028873i,-0.00020267+0.0010166i,-0.00036577+0.0013694i,-0.0004881+0.0014567i,-0.00022465+0.0010403i,-0.00012312+0.00052496i,-0.00031769+0.0001862i,-0.00044546-0.00038549i,-0.00055317-0.0005882i,-0.00082869+0.00031618i,-0.00018393+0.00052687i,0.00075198+0.00069106i,0.0010507+0.0006637i,0.0010705-0.00030443i,0.001142-0.00046494i,0.00029807-0.00010222i,-0.00042187+0.0002812i,-0.00045513+0.0001145i,-0.00099186-0.00020642i,-0.001096-0.00016113i,-0.0006918-0.000315i,3.039e-05-0.00059578i,0.00042744-0.00038758i
0.00014666+0.00054281i,0.00075034+8.9042e-05i,0.00030828+0.00049353i,8.4975e-05+0.00098168i,-9.394e-05-7.3035e-05i,-0.00033146-0.00044517i,-0.00047932+5.1068e-05i,-0.00068131-0.00010387i,-0.0010548-6.802e-05i,-0.00077096+8.6842e-05i,0.00024446-0.00046186i,0.00042109-0.00024037i,0.00015254+0.00077919i,0.00025532+0.00091517i,0.00045461+0.00023326i,0.00031508-4.2993e-05i,-0.0004652-0.0006273i,-0.00027432-0.00099815i,8.4306e-05-0.00035182i,0.00049572-5.1068e-05i,0.00013577-0.00018137i,-0.00074275-0.00055779i,-0.00029035-0.00040276i
-0.0022002-0.00080227i,-0.0018964-9.965e-05i,-0.0022851+0.00081412i,-0.0017412+0.0011319i,-0.00034891+0.00025683i,-0.00025971+0.00028098i,-0.0011718+0.00082465i,-0.0012843+0.00022561i,-0.00052819-0.00038213i,-0.0002599-0.00010926i,-0.00064076-0.00015817i,-0.00042449-0.00012943i,-0.000203+6.0021e-05i,-0.00052926+0.00021164i,-3.8006e-05-0.00024404i,0.0011584-0.00055061i,0.0011496+0.00011746i,-0.00018543+0.00032869i,-0.0011833-0.00037187i,-0.00089827-0.0011451i,-0.00021404-0.0008527i,-0.00031686+0.00013782i,-0.00019955-8.7004e-05i
0.00048617-0.0023928i,-8.4744e-05-0.0018815i,8.4814e-05-0.0021451i,3.3598e-05-0.0011425i,-0.00019581-0.00072614i,-0.00024853-0.00041285i,-0.00041292+0.00036819i,-0.00014575+0.00054875i,-5.891e-05+0.00036558i,4.687e-05-0.00042627i,-0.0006315+0.0001161i,-0.00098748+0.00028604i,-0.00039809-0.00025577i,0.00015548-0.00061025i,0.00026187-0.0001811i,-7.6211e-05+0.0004508i,-0.00026965-0.00043744i,-0.00074032-0.0012078i,-0.00053584-0.00075583i,-7.921e-05-0.00019866i,-0.00026481+0.00055509i,-0.00069904+0.00058402i,-0.0014648-0.00023848i
0.00033666+0.00080484i,2.9936e-06+0.00064i,0.00011888+0.0014552i,2.6358e-05+0.001492i,-0.0008438+0.0011282i,-0.0019463+0.00029489i,-0.0018412-4.9845e-05i,-0.0011641+0.00016667i,-0.00046774+0.00056128i,-1.9134e-05+0.00049956i,-0.00036388+0.00015855i,-0.00057221+0.00027447i,-0.00056935+0.00015599i,-0.00053117-0.00062923i,6.1156e-05-0.00035657i,-0.00024379+0.00013625i,-0.00023557+0.00038268i,0.00023398+0.00027277i,3.4693e-05+6.9423e-05i,-0.00025443+9.336e-06i,-0.00018203-0.00015167i,-0.00017424-0.00059068i,0.00046065-0.00061773i
0.00064077-0.00042562i,0.00073841-0.00091096i,0.00085583-0.00092997i,-0.00020329-0.00010408i,-0.00050853+0.00025046i,-0.00089702+0.00011545i,-0.0015364-0.00051153i,-0.00070465-0.00094806i,0.0002714-0.00051828i,0.00047157+0.0002535i,-2.5863e-05+0.00016523i,-0.00034751-1.498e-05i,-0.00042894+1.9996e-05i,-0.00063581+0.00051536i,-0.00067623+0.00052028i,-0.00030796-0.00018835i,0.00041323-0.00071366i,0.00072054-0.00070308i,-1.7296e-05+6.7243e-05i,-0.0010515+0.00039014i,-0.00089504+3.9064e-05i,-0.00076897-0.00034753i,-0.00078457-0.00055944i
-0.00050298+0.00020165i,-0.0013616-0.00020079i,-0.001039-0.0004696i,-0.0010191+0.00036638i,-0.0012738+0.0005935i,-0.001377+0.00014426i,-0.00049261-0.00042103i,3.1124e-05-0.00054221i,-0.00036586-0.00049283i,-0.00074928-0.00058728i,-0.00050624-0.00056332i,-0.00022797-0.00066489i,-0.00070176-0.00061248i,-0.0007633-0.00087027i,-0.00054421-0.00070844i,-5.2113e-05-4.418e-05i,-0.00015949-5.2478e-05i,-0.00041325-0.00032861i,-0.00033038+3.1883e-05i,-0.00012396+0.0005322i,0.00023081+0.00066893i,0.00025517+0.00038631i,0.00027429-0.00042526i
