0.0029134+0.00041887i,0.002181-0.0002311i,0.00023087-0.0014254i,-0.00036451-0.0026315i,-0.00075731-0.0012137i,-0.001063+0.0013033i,-0.0013353+0.002623i,-0.00098701+0.0028939i,0.00038795+0.0018643i,0.0014265+0.00094771i,0.0013642-0.00031801i,0.00046157-0.0017399i,-0.00030898-0.0012077i,-0.00073488-0.000355i,-0.0012059-0.00023691i,-0.0008077-0.00046262i,0.00021365-0.00031161i,0.00078549+0.00068081i,0.00079536+0.0010008i,7.8202e-05+0.00034402i,0.0002708+0.0001933i,0.00031742+8.1327e-05i,-0.00020345-0.00081222i
-0.0020348-9.1264e-05i,-0.0015026-0.0016441i,-0.00072616-0.0016368i,-0.0006765-0.00063078i,-0.00051363-0.00014331i,0.00029554+0.00056665i,-0.0002222+0.0012947i,-0.0011242+0.00083466i,-0.00081698+0.00020875i,-0.00051371-0.00056097i,-0.00035619-0.0010472i,-0.00022595-0.00090778i,-0.0001628-0.00051321i,0.0002865-0.00016606i,0.00018522-0.00039375i,-0.00012063-0.00037717i,-0.00010659+0.00019191i,0.0001072-9.3994e-06i,-9.4708e-05-0.00073464i,-0.00017105-0.00014726i,0.00023984+0.0009719i,-0.000176+0.00051332i,-0.00057836-0.00067348i
-0.0021675-0.00021546i,-0.001749-0.00082556i,-0.0017776-0.0015876i,-0.001974-0.0018332i,-0.0008745-0.0010253i,8.8627e-05+0.00061757i,0.00027604+0.0010756i,0.00018261+0.0012i,-4.1994e-05+0.0010245i,0.00023127+0.00065837i,-0.00020131+0.00079879i,-0.00017808+0.0010526i,5.7428e-05+0.0013077i,0.00038424+0.0006091i,0.00054016-1.5714e-05i,-0.00021515+6.7958e-05i,-0.00065773-0.00015195i,-0.0004183-0.00028848i,-0.00041553+4.0982e-05i,-0.00045295+0.00061081i,-0.00018615+0.0005637i,0.00048892+6.6369e-05i,0.00088465+0.00021509i
-8.6194e-05-0.0013982i,0.00067946-0.0021825i,-6.746e-05-0.0028366i,-0.00040703-0.0019258i,-0.0001824-5.671e-06i,0.0003918+0.00062133i,0.00036985+3.578e-05i,-9.7019e-05+5.3962e-05i,0.00019852+0.00088886i,0.00036269+0.001411i,-0.00045904+0.0012044i,-0.00075036+0.0010664i,-0.00029111+0.00063146i,0.00031266+0.00021142i,0.00025706-3.2458e-05i,-6.0693e-05-0.00033073i,5.7317e-05-0.00048699i,0.00031798-0.0005223i,0.00010503-0.00078472i,-0.00042702-0.00026058i,-0.00035703+0.00063005i,0.00017853+0.0009524i,0.00082747+0.0010258i
-0.00049664+0.00083742i,1.7796e-05+0.0010196i,-0.00037722-0.00084637i,-0.00028102-0.0023788i,-4.9682e-05-0.0017195i,0.00011815-0.00015177i,5.8453e-05+0.0011336i,-0.00078347+0.0010421i,-0.00073014+0.00044782i,0.00017861+0.00013207i,0.00014876+0.0001379i,-0.00015475-0.00018507i,-0.00032791-0.00021156i,-0.00037444+0.00079847i,-0.00033852+0.0009991i,-0.00070183+0.00066723i,-6.1329e-05-0.00035731i,0.00044546-0.00044502i,6.1863e-05+0.00052884i,9.7524e-05+0.00072745i,0.00021467-0.00012733i,0.00047698-0.0002735i,0.00081388+0.00022977i
0.00088719-0.00052024i,0.0009262+0.00024817i,0.00053667-0.00087491i,0.00074438-0.0012836i,0.0010995+0.00057772i,0.0004487+0.0021267i,7.3905e-05+0.0017272i,3.4514e-05+0.00079342i,0.00084321+6.7318e-05i,0.0006285-0.00012825i,-0.00054303-0.00030859i,-0.0010053-0.00044047i,-0.0013289+4.5715e-05i,-0.00079719+0.00033316i,0.00038663+0.00026284i,0.00037358+0.00010197i,-0.00025272+0.00034161i,-0.00036326+0.00068957i,5.5104e-05+0.00013274i,4.2843e-05+4.7273e-05i,0.0002042-6.0414e-05i,0.0002874-3.9453e-05i,0.00020537+0.00019002i
0.0030176-0.002638i,0.0026716-0.0031909i,0.0021609-0.0045313i,0.00078126-0.0043622i,-0.0012017-0.0032008i,-0.0019651-0.0013953i,-0.0014456+0.00028101i,-0.0006359+0.0008696i,-0.00017106+0.0009355i,4.039e-05+0.00085363i,-0.00045948+0.00024186i,-0.00038735-0.00029723i,-0.00045912-0.00071606i,-0.00069165-0.00062962i,5.2841e-08+0.00016635i,0.00080272+0.00024253i,0.0010269-0.00067389i,0.00062287-0.00097556i,8.2453e-06-0.00058064i,-5.4123e-05-0.0001748i,0.0003285+0.00050837i,0.00082752+0.00036163i,0.00048422+4.1449e-05i
-0.0029632-0.00031694i,-0.0039171+0.00065408i,-0.003166+0.0001981i,-0.0012478-0.00024649i,0.00098947+0.00062934i,0.0018202+0.001663i,0.00040318+0.0018345i,-0.00039571+0.0012869i,-0.0010731+0.00082194i,-0.00035467+0.00010466i,0.0014322+0.00026553i,0.0010983+0.00082995i,8.5258e-05+0.0010715i,0.00036079+0.00058785i,0.00019935-2.8941e-05i,-0.00026696+0.00012545i,0.00058923+0.00028062i,0.00096639-0.00017256i,0.00050018-0.00029976i,0.00047822+0.00016637i,0.00048887+0.00022764i,5.6482e-05+0.00097519i,-0.00045222+0.0012377i
0.0018798+1.072e-05i,0.0018412-0.00033275i,0.0021454-0.00066568i,0.001163-0.0014722i,0.00073746-0.0012192i,0.00046463-0.00038181i,-0.00020734-0.00068644i,-0.00067641-0.00065389i,0.00011006-1.9687e-05i,0.0011314+2.9736e-05i,0.00025718+0.0002417i,-0.00080497+0.00068393i,-0.0004224+0.00023486i,0.00034529-0.0006764i,0.00038877-0.00071878i,-0.00025716+0.00016592i,0.00051084+0.0009434i,0.0014643+0.00065403i,0.00090227-0.00083232i,0.00025211-0.0012899i,-2.7299e-05-0.00058733i,-2.5221e-05+0.00016858i,0.0001911+0.00029663i
0.00018627+0.001719i,0.0012609+0.00048662i,0.0018418-0.00013201i,0.0009589-0.00038937i,-0.00029056-8.8919e-05i,-0.00050826+6.987e-05i,-0.00097-0.00010243i,-0.0009594+2.499e-05i,-0.00053595+0.00011014i,0.00012377-0.00041041i,0.00022245-0.0011871i,-0.00010867-0.001191i,0.00042771-0.00021555i,0.0013458+0.00063753i,0.0010682+0.00015511i,0.00038273+0.00027378i,6.1511e-05+0.00030274i,-0.00041824+0.00013379i,-0.0010097-0.00028887i,-0.0010428-0.00022866i,-0.00091212+0.00044909i,-0.00046687+0.00059571i,0.0001287+0.00049881i
0.00040379+0.00088056i,0.00092315+0.00031301i,0.0024545+0.00045528i,0.0019768+0.00018949i,0.0010372-0.00066926i,0.00054965-0.00025116i,-0.00035822+0.00095579i,-0.00013179+0.00086225i,0.00066023+0.00075664i,0.00089232+0.00023886i,0.0004785-0.00061366i,7.434e-05-0.00082129i,0.00074785-0.00030251i,0.0010243-0.00029467i,0.00086908-0.0001812i,0.00096442-0.00056668i,0.00048341-0.00085037i,-0.0001904-0.00039934i,-0.00059471+0.00024877i,-0.00037486+0.00047006i,6.0722e-05+0.0002656i,-0.00029381+0.00048599i,-0.00056946+0.00066836i
0.00085364-0.0015229i,0.0023102-0.0017596i,0.0021622-0.0024238i,0.0010869-0.0023465i,0.00066598-0.00086281i,0.00054272-0.00010015i,0.00031757+8.478e-05i,3.8663e-05+0.00028781i,-0.00032376+0.00061528i,-0.00071662+8.4714e-05i,-0.00074654-0.00033432i,-0.00011065+2.3038e-05i,0.00038266+0.00016176i,0.00017204+0.00029308i,2.8231e-05-0.00025907i,9.5522e-05-0.00080479i,-0.00019929-2.9519e-06i,-0.00021999+0.00050668i,-7.6958e-05+0.00029144i,0.00012855+0.00027584i,-0.00027138+0.00072152i,-0.00050532+0.00047722i,-0.00035109+3.4238e-05i
0.0006629-0.0011467i,9.743e-05-0.0010991i,0.00035509-0.0027157i,0.00031144-0.0029392i,-0.00086363-0.001656i,-0.0009549-0.00019028i,-0.0007173+0.0003616i,-0.00091674+0.00032062i,-0.00066009+0.00051398i,-0.00051064+0.00066793i,-0.00046291+0.00042439i,-0.00016637+0.00039215i,4.419e-05-0.00015382i,0.00038013+0.00019991i,0.00030555+0.00021029i,-0.00059943-0.00038478i,-0.00032686-0.00050406i,0.0004118-0.00054119i,0.00028537-0.00058875i,0.0002314-0.0010736i,0.000389-0.0008522i,-0.0002373-0.00042904i,-0.0012275-0.0001417i
0.00053629+6.1841e-05i,-0.00058416-0.00027503i,-0.0010993-0.00067527i,-3.3048e-05-0.00070314i,0.0011507+2.394e-05i,0.00093881-1.0894e-05i,0.00023199-0.00021671i,-5.7751e-05-0.00023214i,-0.00026742-0.00019654i,-0.00018049-0.00027729i,0.00046256-0.00058898i,0.00063044+3.4203e-05i,-0.00047013+0.00080491i,-0.0013795+0.0011179i,-0.00070134+0.00037828i,4.512e-05+5.1502e-05i,-3.5032e-05+0.00050598i,0.00031736+0.00049274i,0.00018811+0.0004645i,0.00019939+0.00056422i,0.00045278+0.00026852i,0.00039623-6.7509e-05i,0.0004672-0.00046207i
-0.0020946+0.00064937i,-0.0015031+0.00019101i,-0.0003949-0.00056442i,-6.3064e-05-0.00037111i,0.00032142+0.00069804i,0.00045084+0.0011092i,-0.0007481+0.00083075i,-0.0013372+0.0010632i,-0.00064169+0.00094198i,0.00049153+0.00067101i,0.00046198+0.00012322i,-7.854e-05-5.7047e-05i,0.00014566+0.00067125i,0.00067043+0.00061057i,0.00070293+0.00015093i,0.00065859-7.286e-05i,0.00089649+0.00035736i,0.0008525-4.9674e-05i,0.00099435-0.00026731i,0.00058326+0.00011139i,0.0001086+0.00017423i,-0.0003564+0.00069482i,-0.00034448+0.00079257i
0.003094+0.00053757i,0.0033659-0.00028234i,0.0032361-0.0017758i,0.0023931-0.0023454i,0.00044513-0.0022664i,-0.0010711-0.0012736i,-0.00087593+0.0001541i,-0.00035673+0.00010125i,0.00023242-0.00058707i,0.00073075-0.00091607i,0.0011115-0.0010014i,0.00044027+0.00035325i,-0.00053865+0.0010402i,-0.00046798-0.00018573i,-4.0362e-05-0.00064013i,-0.00018287-0.00016724i,0.0003298+0.00029925i,0.00049367+0.00010636i,-0.00040679-0.00028971i,-0.00042827-6.9197e-05i,0.00015689-9.3668e-07i,6.3065e-05-2.0619e-05i,0.00037428+0.0001359i
-0.0012324+0.00013883i,-0.00055694-0.00031877i,0.00021229+0.00075868i,0.00072335+0.00057863i,0.00088197-0.00040068i,0.00016253-6.8985e-05i,-0.0009954+0.00041724i,-0.0012161+0.00041976i,-0.00065747+0.00084778i,0.00030833+0.00075219i,0.00055115-1.4321e-05i,6.1257e-05-0.00014157i,-0.00026118+2.8398e-05i,-0.00040119-5.0841e-05i,-0.00011327+0.00029236i,0.00037892+0.00081498i,0.00026816+0.00092739i,-0.00026157+0.00073302i,-7.3746e-05+8.481e-05i,0.00046767-8.9801e-05i,0.00081907+0.00032259i,0.00050203-0.00012168i,0.00016478-0.00026512i
0.00089339+0.00043108i,0.0011584-0.00085815i,0.0013267-0.00080011i,0.0004614-0.00030158i,9.0314e-05+5.8984e-05i,-3.0411e-05+0.00027001i,-0.00011466+0.00028453i,0.00015591+0.00056323i,0.0001725+0.00084967i,0.00043949+0.00036654i,0.00049622-0.00032109i,-0.00015591-0.00033636i,-0.00035168+0.00026895i,-0.00049287+0.0010321i,-0.00041924+0.00077868i,0.0003176-6.8754e-05i,0.0005406+0.00012818i,-0.00017451+0.00079076i,-0.00027432+0.00060155i,0.00053469-0.00049357i,0.00059407-0.00045845i,0.00054818+0.00095339i,0.00052637+0.00078022i
0.000258+0.00071067i,0.00039894+0.00067189i,0.0011262+0.00083867i,0.0015461+0.00028108i,0.00050352+0.00025432i,-0.00056126+0.0005206i,-0.00060653+0.00044175i,-0.00040402+4.0885e-05i,0.00037301-0.00047539i,0.00031632-0.00047991i,0.00039176-9.5642e-05i,0.0008406-0.00022326i,0.00047875-0.0004267i,0.0010481+8.2139e-05i,0.00069722+0.00014197i,0.00012725+0.00020314i,0.00060818+0.00087473i,0.00011565+0.0014153i,-0.00045078+0.00087906i,-0.00046942-0.0003222i,-0.00010755-0.00098848i,-0.00043991-0.00044925i,-0.00040665+0.00042227i
-0.00051405-0.00010504i,-0.0012767-0.0013051i,-0.0022171-0.0013988i,-0.0015555-0.00076733i,-0.00031196+0.00029605i,0.00056342+0.00081667i,0.00048285+0.00034528i,0.00069808+0.00073054i,0.0011531+0.00091651i,0.00070987+0.00023958i,0.00030783-0.00015988i,-0.00016246+7.7581e-05i,5.1189e-05+0.00017722i,0.00090367-8.4757e-05i,0.0015181-0.00021151i,0.00094005-0.00021297i,0.00010137-0.00035843i,3.8881e-06-0.0011728i,9.7117e-05-0.0016964i,2.4103e-05-0.0015033i,-0.00010255-0.0013514i,-2.8236e-05-0.0012654i,0.00015464-0.0012665i
0.0024747-0.00042374i,0.0038248-0.0017199i,0.0041527-0.0026521i,0.0025624-0.002948i,0.0016538-0.0025498i,0.00015734-0.00071618i,-0.00077528+0.00042517i,-0.0010757+9.3146e-05i,-0.0011756-0.0002154i,-0.00050217-0.00014164i,0.00025663-0.00011896i,0.00010827-3.7352e-05i,-0.00052342+2.559e-05i,-0.00073167+3.588e-05i,-0.00065394-0.00038627i,-0.00041226-0.00021937i,-0.00060873-0.00010549i,-0.00040072-0.0011526i,7.8642e-05-0.0013114i,0.00072579+6.6918e-05i,0.0012492+0.00052994i,0.00046319+1.6774e-06i,-0.00032467+0.00018362i
-0.0014093+0.00061043i,-0.0013732+8.6905e-05i,-0.0010685-0.00050127i,-0.00039692-0.00041149i,0.00012584+0.00065171i,-0.00028488+0.0014379i,-0.00075204+0.0016075i,-0.00086033+0.0013287i,-0.00022574+0.0009147i,0.00093154+0.00078979i,0.0010837+0.00052118i,0.00076947+0.00046687i,0.00098038+0.0010148i,0.00062953+0.0012764i,-3.9617e-05+0.00070929i,-1.8346e-05+3.6978e-05i,-6.3109e-05-0.00068928i,6.8031e-05-0.00012452i,2.9339e-05+0.00085903i,-0.00038063+0.00062076i,-0.00040189+7.9258e-05i,0.00025515+2.6538e-05i,0.00033664-0.00030061i
-0.0013855-0.0034079i,-0.00024612-0.0041842i,-0.00037069-0.0046497i,-0.00046048-0.0031137i,-0.00064544-0.001313i,-0.00045647+2.0007e-05i,-0.00092618-8.2311e-06i,-0.001162-0.00019161i,-3.8743e-05+0.00079449i,0.00029929+0.0013901i,-0.00053971+0.0011478i,-0.00096046+0.00041808i,-0.00085207-0.00034947i,-0.00072434-0.00013666i,-0.00066443+0.00012733i,-0.00062953+0.00034512i,4.1981e-05+0.0007544i,0.00067465+0.00065991i,0.0010788+0.00040726i,0.00045351+0.00089289i,-0.00027335+0.0004992i,-0.00010092-0.00028708i,0.00011153+0.00045085i
-1.482e-06+0.0012702i,0.00043719+0.00064858i,0.00056446+0.00044139i,0.00055128+3.6864e-05i,-0.00030762-0.00011998i,-0.00056966+0.00030665i,-0.00011191+0.00070941i,-0.00015318+0.00076412i,-0.00028193+0.00060937i,-0.00010043+0.00042461i,9.1212e-05+0.00022105i,-0.00042992+4.419e-05i,-0.00095191+0.00019512i,-0.00068706-0.00065835i,-0.0002416-0.00090392i,-0.00033927+0.00010297i,-8.6569e-05+0.0007353i,-2.9652e-06+0.00052426i,-0.00019568+0.00040949i,-0.00059992+0.00039567i,-0.0014479+0.00044085i,-0.00096712+0.00034149i,0.00038722-0.00013436i
0.00082109+7.3326e-05i,0.0012602-0.001126i,0.00074734-0.0013413i,0.00030241-0.0012181i,-0.00010796-0.00059164i,-0.0012571+4.8839e-05i,-0.0019742+0.00025069i,-0.0013261+0.00089669i,-0.00037242+0.00072842i,3.4921e-05-0.00042209i,-0.00052036-0.00013079i,-0.001375+0.00054158i,-0.00099845+0.00017279i,0.0001571-0.00050212i,0.00038104-0.00051901i,1.5769e-05-0.00012468i,-0.00030597+0.00013614i,-5.6496e-05+0.00032223i,0.00031364-7.7939e-06i,0.00018483-0.000366i,0.00016437-0.0007176i,7.6604e-05-0.0010146i,-0.00023763-0.00069372i
-0.00082152+0.00014676i,-0.0011262-0.00014635i,-0.0013636-0.00032132i,-0.00095107+0.00014379i,0.00065031+0.0013987i,0.0011024+0.0021629i,0.00034991+0.0009839i,0.00010462+0.00012021i,5.5786e-05+0.00094816i,0.0006724+0.0011354i,0.0010791+0.0005012i,0.00055927+0.00090467i,-0.00037443+0.00091285i,-0.00024766+0.0001648i,0.00067724-0.00091757i,0.00086836-0.00066659i,0.00054738+0.00053227i,0.00090439+0.00094589i,0.0015648+2.8744e-05i,0.00066534-4.4315e-05i,-0.00047496+0.00027039i,-0.00031444-0.0002786i,0.00018119-0.00032492i
-0.0011563-0.00043564i,-0.0010216-9.5753e-05i,-0.00057617-0.00091006i,-0.00020245-0.0016809i,0.00073796-0.0012937i,0.0013997-0.00018022i,0.00070345+0.0001878i,-9.171e-05+0.00039682i,9.3222e-05+0.00089159i,0.00048041+0.0011227i,0.00050215+0.00026849i,0.0003826-0.00057968i,0.00024445-0.00025967i,-0.00027439+0.00045322i,-0.00066037+0.00035294i,-5.2796e-05+0.00012426i,0.00043697+8.7725e-05i,0.0008103-7.0195e-05i,0.00075209+0.00024295i,-0.00019252+0.00056715i,-0.00084816+0.00030678i,-0.00043365-0.00030109i,3.22e-05+3.053e-05i
-0.0015833-0.00038728i,-0.00022575+0.00041777i,-4.122e-05+0.0001244i,7.8406e-05+0.00029938i,-0.00034447+0.00078805i,-0.00016783+0.00066432i,-1.2323e-05+0.00036317i,-0.00060313+0.00040505i,-0.00072034+0.00039701i,-1.8233e-05-0.0001731i,0.00011111-3.9066e-05i,-0.0002727+0.00091893i,0.00024731+0.00072408i,0.00030673-0.00050708i,-0.00021649-0.0003202i,-0.00024027+0.00053789i,-0.00020932+0.0004072i,0.00011274+9.9114e-05i,0.00062334-0.00040916i,0.00041095-0.00082628i,-0.00063724-0.00064263i,-0.0012532-0.00033298i,-0.00051206-8.8231e-05i
-0.00052244+0.00089423i,-0.0016225-1.4352e-06i,-0.0015424-0.00047108i,-0.00035458-0.00033719i,0.00064002-8.8064e-06i,0.0011324-5.3017e-05i,0.00025037+0.00013996i,-4.1212e-05+0.00024001i,0.00090096+0.00012295i,0.0015234+9.0326e-05i,0.00083424-0.00045679i,-0.00012665-0.00050976i,0.00026764+1.2369e-05i,0.0010811-7.278e-05i,0.00076276-4.2989e-05i,0.00017487+0.00058048i,-0.00037869+0.00042013i,-0.00090609-0.00014598i,-0.00085414-0.00024655i,-0.00043703-0.00059094i,9.0559e-05-0.00068178i,0.00060966-0.00078075i,0.00077473-0.0010507i
-0.0003024+0.0038337i,-0.00089448+0.0034619i,0.0006187+0.0018832i,0.0019336+8.0967e-05i,0.0014381+0.00030189i,-0.00018102+0.00034774i,-0.00072223+0.00096089i,-0.00041658+0.0013563i,0.00047369+0.00093653i,0.0011469+0.00051292i,0.0011704+0.00035017i,0.0010988+0.00056595i,0.00072497-0.00039761i,-0.00045651-0.0011039i,-0.0010091-0.00049063i,-0.00056353-0.00022229i,-0.00059625-0.00057239i,-0.0005754-0.00020992i,-0.00047207+0.00011616i,-0.00015964+0.00010853i,-0.00033551-0.00043314i,-0.00016907-0.00058235i,0.00063956-0.00066352i
0.00048087+2.0725e-05i,-0.00073899-0.00033399i,-0.00069717-0.00050819i,-0.00015356-0.00012805i,-1.0791e-05+0.00039975i,-0.00020431+0.00068894i,-0.00065787+0.0011041i,-0.00050405+0.0012593i,0.00039938+0.001473i,0.00062234+0.0016246i,0.00020519+0.00084398i,-2.1047e-05+0.00063152i,0.00050386+8.6445e-05i,0.0010838-0.00041732i,0.00072933+0.00017427i,0.00030631+0.00078274i,-0.00042024+0.00089308i,-0.00090822-6.825e-05i,-0.00070025-0.0012844i,-0.0002097-0.00050913i,0.00035541+0.00069088i,0.00043856+0.00046519i,1.8197e-05+7.8836e-06i
0.0015228-0.0003069i,0.0024672-0.00025173i,0.0033049-0.00056994i,0.0026208-0.0010463i,0.0017585-0.00092418i,0.0012052-6.8845e-05i,0.00040664+0.00013971i,0.00031959+6.1815e-05i,0.00045577-3.0097e-05i,0.00015223-0.00012727i,0.00036781-4.1268e-05i,0.00023876-0.00035717i,-0.00025789-0.0002471i,-0.00017252-6.7851e-05i,-0.00012538+0.00012505i,-0.00067676+0.00096766i,-0.00072893+0.0011918i,-0.0010752+0.00024204i,-0.00080847-0.00064153i,0.00019749-0.00048259i,2.7184e-05-0.00054368i,-0.00042687-0.00071993i,-0.00038938-0.00043426i
