-0.0043028+0.00050501i,-0.0039782+0.00019543i,-0.0045585+0.0019251i,-0.0028908+0.0027963i,-0.00065156+0.0026038i,0.00047283+0.002143i,0.00052174+0.0022009i,0.0012602+0.0018641i,0.0024711+0.0014275i,0.0023418+0.0011143i,0.0012974+0.00071647i,0.00096184+0.00058584i,0.0003741+6.6261e-05i,-0.00071117-0.00032979i,-0.00049653-0.00026574i,0.00037638-0.00069487i,0.00092666-0.0007241i,0.00094166-0.00051813i,0.00025051-0.00056241i,-0.00022285-0.00029883i,-0.00014618-0.00013587i,0.00023518-0.00026571i,0.00060571+1.3829e-05i
0.00083453-0.0007823i,0.0012608+0.001186i,0.00083192+0.00079927i,-0.00027265+0.00084782i,-0.00095012+0.0013107i,-0.00016404+0.0013218i,0.00055834+0.0017153i,0.00044969+0.0013908i,0.00020366+0.0007467i,-0.00041409+0.0002556i,-0.00078357+0.00046766i,-0.00063022+0.00097065i,0.00029604+0.00062553i,0.00089897-0.00035689i,0.00090897-0.00061728i,0.00073472-5.7815e-05i,-0.00036684+0.00041399i,-0.00081764+0.00035201i,-0.0003275+0.00011061i,0.00041372+0.00031432i,8.8617e-05-0.00013655i,-0.00012178-0.001065i,0.0001045-0.0010356i
-0.0015664-7.1584e-05i,-0.0025077+0.00019161i,-0.0022246-0.00071173i,-0.001809+0.00059561i,-0.0019766+0.0020368i,-0.00064341+0.0016587i,0.00056706+0.00043907i,0.0008161+0.00036304i,0.0011598+0.00025511i,0.00051293-0.00068209i,-0.00017533-0.0009779i,-0.0004914-0.0004998i,-0.00049325+6.9425e-05i,-0.00061963+0.0006947i,-0.000785+0.00082655i,-0.00089672-0.00012324i,-0.0005884-0.00057451i,-0.00025242+0.0003324i,-0.00074898+0.00099034i,-0.000587+0.00083577i,-0.00024096+0.00027072i,0.00033537+0.00035114i,0.00094324+0.00021567i
0.00026701-0.00053349i,0.0014634-0.0016527i,0.0015537-0.00199i,9.7563e-06-0.0016362i,-0.0013535-0.00099311i,-0.001528-0.00060496i,-0.00030599+0.00015418i,0.00075499+0.00025509i,0.00047557-0.00017956i,-3.5765e-05-0.00028373i,-2.1457e-05+0.00023556i,-0.00021379+0.00052993i,-0.00041855+0.00060431i,-0.00053515+0.00067959i,-0.00013199+9.6541e-05i,0.00067198+5.2986e-05i,-0.00010431+0.0005824i,-0.00083952+0.00036336i,-0.00028947+0.00080866i,0.00036273+0.00096951i,0.00055697+0.00062108i,0.00041301+0.00031093i,0.00064354+6.3966e-06i
0.0020125-0.00029668i,0.0007819+0.00057976i,0.00036666+0.0005032i,0.0010168-0.00062956i,0.0002022-0.0014572i,-0.00066199-0.00051851i,-0.0010935+0.0001008i,-0.00019723+0.00011331i,0.00064231+0.00039523i,0.00054244-0.0001162i,0.00032282-0.00094137i,-0.00018951-0.00063073i,-0.00013+0.00020093i,0.00013341+0.00044162i,0.00012638+6.3414e-05i,-0.00080654-0.00030795i,-0.0016585+5.6135e-05i,-0.00065838+9.8909e-05i,-0.00012607-0.00052591i,0.00012724-0.00081432i,0.00090315-0.00017929i,0.00047862+0.00051652i,-0.00050345+0.00016288i
0.00067152+0.00059618i,0.0015596-0.00011215i,0.0021866-0.00058974i,0.00085172-0.0011523i,-0.00062869-0.0021935i,-0.0010272-0.0012759i,-0.0010347+0.0005531i,-0.00043713+0.00092888i,-0.00010929+0.00067937i,0.00038268+0.00035769i,6.2364e-05+0.00057557i,-0.00043874+0.00072069i,-0.00018583+6.7894e-05i,-0.00031131-0.00018489i,-0.0006569+0.00048045i,-7.1466e-05-8.8428e-05i,0.00039026-0.00053843i,0.00031228+1.0989e-05i,-0.00015801+0.00052952i,-0.00026206+0.00023576i,0.00024269-0.0004544i,0.00029561-0.0006525i,0.00056128-0.00016531i
0.0010669-0.00057291i,-0.00061782+0.00033775i,-0.0017407+0.00083031i,-0.0014009+0.00044044i,-0.00090354+1.6517e-05i,-0.00017596+0.00074587i,0.00039338+0.00094878i,0.00015974+0.0002703i,-6.5441e-05+0.0001282i,-0.00036767+0.00043414i,-0.0010382+0.00025224i,-0.00090107+0.0001059i,-0.00030941+0.00033341i,6.8611e-05-3.1597e-05i,-2.6415e-05-4.3833e-06i,-8.408e-05+0.00042838i,0.00018151+0.0010066i,0.00044656+0.001283i,0.00020471+0.00067583i,0.00053642+0.00037423i,0.00077358+0.00050341i,0.00036075+0.00039985i,0.00048825+0.00062124i
0.001052+0.00085085i,0.0011287+0.00077069i,0.0010485-0.00052106i,0.00073457-0.00035471i,0.00089983+7.2302e-05i,0.00054152-0.00046451i,-0.00011638-5.9922e-05i,0.0008627+0.00013823i,0.0018684+0.00016672i,0.0013927+0.00029191i,8.6227e-05+0.00046833i,-0.00073496+0.00040949i,-0.00058543+0.00029153i,-0.00037164+0.00033191i,9.3945e-05+0.00084471i,0.00065155+0.0010306i,0.00034435+0.00070907i,-0.00043505+0.00018334i,-0.00037154-0.00060583i,8.1476e-05-0.00036361i,0.00021861+0.0004415i,0.00018497+0.00085007i,-0.0005455+0.00059599i
0.00064383+0.0020953i,-0.00014797+0.0028727i,-0.0004438+0.0030415i,-0.0001618+0.0011332i,0.00024193-0.00018176i,7.7536e-05+0.00042214i,0.00016622+0.0012172i,-5.7887e-05+0.0014295i,1.2752e-05+0.0012505i,0.00059863+0.00074358i,-2.6127e-05-1.3224e-05i,-0.0011223-0.00013005i,-0.0014172+0.00032062i,-0.0011259+2.68e-05i,-0.00058298-0.0001416i,-0.00010288-2.1178e-05i,-0.0001253-0.00036657i,-0.00044862-0.0001534i,-0.000898+0.00039917i,-0.0010956+0.0012628i,-0.0009264+0.00078024i,-0.00039658-0.00040441i,-0.00033268-0.00045328i
-0.002186-0.0017591i,-0.0022985-0.0015521i,-0.0020356-0.00043108i,-0.0022008+0.00041138i,-0.0021325+0.00044197i,-0.00089875+0.0010071i,-1.8006e-05+0.00073439i,0.00025123+7.3561e-05i,-0.00041729+0.000263i,-0.00094116+0.00063601i,-0.00016724+0.000109i,0.0010984+0.00040623i,0.0004148+0.00059177i,2.6712e-05-0.00035913i,-1.0982e-05-0.00070939i,-0.00025905-0.00097094i,-0.00056162-0.00062836i,-0.00026965+8.2786e-05i,0.00045738+0.00098297i,0.00018402+0.001454i,0.0002746+0.00085081i,0.00077768+6.8628e-05i,-0.00043992+0.00011436i
0.0003423-0.0017146i,-0.00063932-0.0028762i,-0.00084316-0.001089i,-0.00059903+2.7795e-05i,-0.00027107-0.00050393i,6.3788e-06-0.00078681i,-0.00015069-0.00025461i,-0.00070647+0.00056888i,-0.00020762+0.00090315i,0.0006689+0.00094672i,5.2987e-06+0.00045808i,-0.0013997-0.0001786i,-0.0015491+5.9926e-05i,-0.0006037-0.00010165i,-0.00027062+0.00031068i,-0.00068448+0.00087325i,-0.00086044+0.00047339i,-0.00050754+0.00069945i,-0.00040672+0.0011496i,-0.0004925+0.00056005i,-0.00048386-0.000171i,-0.00041459-0.00053313i,-0.00018813-0.00063529i
0.00095341+0.0015326i,0.0010251+0.00069241i,0.0012822+0.00041804i,0.00063383+5.9484e-05i,-0.00044002-0.00034903i,-0.00097445-6.6476e-05i,-0.00086786+6.7475e-05i,0.00026344-0.00021993i,0.0010221-0.00053224i,0.00045793-0.00018422i,0.00016863+0.00035513i,-0.00016116+0.00019944i,-0.00038906-6.4534e-05i,-4.4345e-05+2.5028e-05i,0.00027782-4.9825e-05i,0.00011113+0.00027898i,-0.00019966+0.00053063i,0.00024237+0.00054209i,0.00021364+8.6569e-05i,-3.8256e-05-0.00062479i,3.6529e-05-0.00064829i,-0.00050614-0.00078707i,-0.00063934-0.00081633i
-0.0014065+0.00090218i,-0.0011749-3.5049e-05i,-0.0013792+0.0002599i,-0.00097269+0.00076652i,-0.00019363+0.00091757i,-0.0003504+0.00027417i,-0.00043137-0.00021115i,-0.00029229+0.00029248i,0.00014452+0.0010836i,0.0003907+0.00070433i,2.4675e-05-5.9287e-05i,-0.00041381-0.00055715i,-0.00056493-0.0005267i,-0.00041338-6.1988e-05i,-0.00034912+5.5109e-05i,-0.0010852-6.4969e-05i,-0.0011958+0.00016719i,-0.00012961+0.0005234i,-0.00022246+0.00011616i,-0.00050047-0.00015485i,8.8434e-05+6.1298e-06i,0.00017168+5.3849e-05i,0.00014592+0.00042911i
0.0021813-0.0010511i,0.0014086-0.00048559i,0.00086181+1.3348e-05i,0.00061586-0.0014532i,0.0010888-0.0012363i,0.00042535+0.00042043i,-0.0004011+0.00092186i,0.00026071+7.4653e-05i,0.0011071-1.9759e-05i,0.00038045+4.856e-05i,-0.00065603-0.0002552i,-0.0004893+0.00019649i,-0.00030372+0.00058671i,0.00013547+5.2391e-05i,7.87e-05+0.00059372i,-0.0002013+0.0011447i,0.00024783+0.0010852i,0.00021056+0.001099i,-0.00010782+0.00074187i,0.00057491+0.00032343i,0.00084429-0.00018037i,0.00034796-0.00058211i,-0.00025408-0.00057995i
0.0030304+0.0023574i,0.0032661+0.00076865i,0.0034084-0.00050077i,0.0023811-0.0018558i,0.00076539-0.0021911i,-0.00027554-0.0011311i,-0.00020038+0.00021373i,0.00031852+0.00037157i,0.0014357+0.0006174i,0.0015308+0.00050807i,0.00065613+0.0004127i,-0.00011524+0.00089444i,-0.00061172+0.00097302i,-0.00060758+0.00035171i,-0.00031024-0.00038187i,-0.00012445+0.00023761i,-0.00017333+0.001038i,-0.00020172+0.0011047i,0.00018929+0.00022258i,0.00027787-0.00033754i,-0.0007026-0.00019471i,-0.00062082-0.00062878i,0.00014733-0.0011291i
-0.0011999-5.3031e-06i,-0.0012273+0.00031318i,0.00014967+0.0013635i,0.0009431+0.0013794i,0.00026278+0.00087969i,-0.00049113-9.0216e-05i,0.0007562+0.00032682i,0.0011894+0.0010851i,0.00054768+0.0011994i,0.00098195+0.0011333i,0.00059131+0.0007806i,0.00022072+5.2887e-05i,0.00031925+0.00043082i,0.00069659+0.00062719i,0.00048051+0.00072016i,-0.00066754+0.0011233i,-0.0006193+0.00069304i,6.9399e-05+0.00056709i,0.00018377+0.00082205i,9.6423e-06+0.0010409i,-3.7681e-05+0.00048149i,0.00063487-0.00061964i,0.00081823-0.00057039i
0.00070471-0.00067262i,-0.00042901-0.0014418i,-0.001755-0.0014367i,-0.0015293-0.00091368i,-0.00053432+0.00030363i,0.00031637+0.0010676i,0.00039584+0.00081214i,0.00023983+0.00059585i,0.00010924+0.00043032i,0.00049133+0.00042315i,0.00021345+0.00048286i,-5.6807e-05+0.00015213i,0.00014739+0.00061241i,2.3334e-05+0.00069779i,-0.00026173+0.00019053i,-0.00055076+0.0001691i,-0.00089037+0.0002575i,-0.00064854+0.00072962i,-0.00034755+0.00011052i,6.1838e-05-0.00087432i,0.00064072-0.00050648i,8.592e-05-0.00029385i,-0.00071367-0.0011013i
0.0010448+0.001757i,3.6378e-05+0.0010784i,-0.00030347+0.00099162i,1.7743e-05+0.00073328i,0.0005488-0.00012134i,0.0005504+0.00014106i,0.00022354+0.00046508i,0.00061663+0.0010202i,0.00060059+0.001574i,0.0004704+0.0010196i,0.00054909-0.00020207i,0.00016603-0.00072484i,-0.00080604+3.0979e-05i,-0.00073609+0.00072676i,-0.0004232+0.0008466i,-8.9251e-05+0.0010947i,0.00046413+0.0012259i,-0.00013449+0.0012624i,-0.00071316+0.0010885i,-3.999e-05+0.0017283i,0.00051474+0.0018488i,0.00051707+0.00096723i,0.00045678+0.00047466i
-0.0011141-0.0019956i,-0.0032348-0.0012143i,-0.0040203-0.00068778i,-0.0033905-0.00052691i,-0.0022883+0.00044266i,-0.00053773+0.0013311i,0.00086704+0.00075654i,0.00075498-1.0289e-05i,0.0004531-5.8193e-05i,-0.00032124-8.0962e-05i,-0.00093591-0.00018604i,-0.0010039-0.00022244i,-0.00014418+0.00022491i,0.00037394+0.00056318i,0.00084664-0.0003193i,0.0011456-0.00096102i,0.0002542-0.00074703i,-0.00040809-0.00079284i,1.9652e-05-0.00034952i,0.00067643-4.5288e-05i,0.00049035-0.00022362i,0.00018737-0.00021777i,0.00051786-0.00043547i
0.0021732+0.00017434i,0.0028912-0.0010393i,0.0025175-0.0013243i,0.00079846-0.0005487i,3.4673e-05-0.00030418i,-0.0001436-0.00070779i,-0.0002564-2.6604e-05i,0.00061522+0.00057662i,0.0012084+0.00066841i,0.00064497+0.00033038i,-0.00013111-0.00054349i,-0.00017488-0.00010287i,-0.00031296+0.0013684i,-0.00059736+0.0007851i,-0.0002372-0.00015745i,-8.2685e-05+0.00066153i,8.801e-05+0.0012842i,0.00011064+0.00064056i,-0.00025084-0.00077441i,0.00038581-0.00058045i,0.0010357+0.00032153i,0.00090788+0.00034833i,0.0006302+1.6576e-05i
-0.0024984+0.0014821i,-0.00085721+0.002379i,-0.00022004+0.001789i,0.00030877+0.00081184i,0.0012358+0.0003821i,0.0014588-0.000199i,0.0011783-0.00037195i,0.0012803-4.9547e-05i,0.00097545+0.00067045i,7.2289e-05+0.0005072i,-0.00020333-2.1961e-05i,-9.9677e-05-7.9097e-06i,-0.00013131-0.00037921i,-0.00045255+0.00010736i,-0.00095269+0.00070796i,-0.00040994-3.3591e-05i,0.0005092+0.00025065i,5.2242e-05+0.00066487i,-0.00051537+0.00048191i,-0.00045657+0.00021975i,-0.00043621-0.00022749i,-0.00040943-0.00026166i,-0.00026529-1.1484e-05i
0.00056992-0.0014568i,0.00045701-0.0018925i,-7.5546e-05-0.0011506i,-0.00043464-3.7094e-05i,-0.00073835+0.00026484i,-0.00061432+0.00026635i,-0.00030586+0.00016336i,0.00018545+0.0010754i,0.00039668+0.0014607i,-0.00013083+0.00068005i,-0.00037935+0.00048152i,-0.00068586+0.0005925i,-0.00065822+0.00059821i,-0.00028399+0.00017743i,-0.00031121-5.7049e-05i,-0.00056605+0.00019424i,-0.00021049+0.00059702i,8.117e-05+6.4334e-05i,4.7124e-05-0.0003753i,0.00032457+0.00021693i,0.00063628+1.5304e-05i,0.00022016-0.00015737i,-0.0003994-2.2784e-05i
0.00014169-0.00038996i,0.00040416+0.0012157i,-0.00075353+0.0020802i,-0.0019505+0.0012587i,-0.00086564+0.00054414i,0.00044497+0.0010856i,-3.8134e-05+0.0017145i,-0.00016333+0.00095188i,0.00091591+0.00049057i,0.0012991+0.0011565i,0.00041715+0.001516i,-5.2079e-05+0.00091453i,0.00025149+0.00058897i,0.00043385+0.00037144i,-0.00029272-4.423e-05i,-0.00090126+0.00010986i,-0.00064425+0.00028213i,-0.0011849+0.00050711i,-0.00092743+0.00032685i,-0.0001123+0.00014085i,0.00032792+0.00046459i,0.00053841+0.00037749i,0.0001301+0.00012112i
0.00013761-0.00029662i,-0.0011493+0.00018562i,-0.00037253-0.0006584i,-7.3723e-05-0.00085091i,-0.0010409-0.00042537i,-0.001326-9.1173e-05i,-0.0011058+0.00052285i,-0.00079929+0.00058746i,-4.0482e-05+0.00036884i,5.0453e-05+0.00063034i,-0.00014854+0.0011139i,-0.00075277+0.0015532i,-0.0010616+0.0012078i,-0.00066286+0.00072089i,-0.00087945+0.00041185i,-0.0016381+0.00026085i,-0.0014355+0.00035083i,-0.00043871+0.00077835i,-0.0002276+0.0010101i,6.6373e-05+0.00026633i,0.00049916-0.00038827i,0.001304-0.00048797i,0.0012814-0.00013191i
0.0003869-0.0016277i,-0.00058975-0.0026625i,-0.0010174-0.0018533i,-0.00028201-0.00048703i,-0.0001906-0.00064934i,-0.0013193-0.0011012i,-0.0012645-0.00060076i,-0.00029909+8.3675e-05i,0.00029615+0.00021812i,0.00052942+0.00091388i,0.00039399+0.00084857i,2.3112e-05+0.0010171i,0.00020255+0.00099707i,0.00031713+0.00016576i,0.00081443+0.00014154i,0.00077146+0.00082292i,0.00057695+0.0011926i,0.00096737+0.00073399i,0.00087588+0.00054788i,0.00046275+0.0003921i,0.00053302+0.00025331i,0.00051108+0.00043611i,0.00028956-0.00051791i
-0.00043632+0.00038373i,-0.00026336+0.00018722i,-0.00072399+0.00035622i,-0.00092503+0.00021957i,-0.00029381+0.00044852i,-0.00036005+0.00057622i,-0.00031075+0.00030311i,-0.00085799+0.00033755i,-0.0011703-0.00015849i,2.4741e-05-0.00043472i,0.00052451+9.4676e-05i,0.0001243+0.00063006i,-0.00058731+0.00073511i,-0.0014276+0.00094643i,-0.0007385+0.00042243i,0.00017989+0.00020959i,-0.00076051+0.00052476i,-0.00093536+0.00013866i,-2.5157e-06-0.00066809i,0.00036304-0.00071871i,0.00028151-0.00036352i,0.000309-4.4141e-05i,-0.00020373+7.6004e-05i
0.00047901+0.00054594i,0.00010282-0.00062797i,0.0013611-0.00088336i,0.0010978-0.0005228i,-0.00033939-0.00096667i,-0.00075833-0.0010648i,-0.00050708-0.00027535i,0.00012172+0.00033117i,0.00053318+0.00070844i,0.00021+0.00046429i,0.00025478+8.9214e-05i,-2.6667e-05+6.7438e-05i,-0.00014983-0.00011247i,0.00028124-2.4487e-07i,-0.00035355-2.5827e-05i,-0.00091075-6.53e-06i,-0.00073136+0.00012412i,-0.00015873+0.00017123i,0.00058726-2.3689e-05i,-3.0519e-05-0.00026766i,-0.00058092+7.9558e-05i,-0.00075381+0.00020341i,-0.00054006-0.00014364i
0.00085674-0.001919i,0.0013405-0.0025803i,0.00066741-0.0022223i,6.9769e-05-0.0002951i,-0.00095973+0.00062647i,-0.0014027+0.00039905i,-5.8488e-05+0.00015385i,0.00078568-4.469e-05i,0.00081584-0.00042016i,0.00044821-0.00023432i,-0.00038912+0.00065614i,-0.0010602+0.00066649i,-0.000239+0.00062285i,0.00053572+0.00066728i,-0.00011689+0.00033188i,-0.00047399+0.00031096i,9.5474e-05-4.0659e-05i,0.00072125-0.00025271i,0.00082785+0.00019343i,0.00070725+0.00048283i,0.00091175+4.3366e-05i,0.00072028+2.0597e-05i,2.8606e-05+0.0005143i
7.7983e-05+0.002333i,0.00090808+0.00065956i,0.0010812-0.0006287i,0.0010164-0.0003932i,0.00015907-0.00031474i,-0.00067674-0.00049174i,-0.00063282-0.0001015i,0.00039947+0.00038632i,0.0010389+0.00055311i,-0.00025558+6.0669e-05i,-0.00053788+8.2292e-05i,-0.00029084-5.3624e-06i,-7.8356e-05-0.00024526i,0.00026772+0.00014788i,0.0002458+0.00071294i,0.00016874+0.00078332i,0.0001335+0.0007169i,-7.8981e-05+0.00077315i,-0.00065068+0.000549i,-0.00078147+0.00070944i,-0.00073662+0.00094789i,-0.00049503+0.00020359i,-0.00018089+0.00039987i
-0.0012642-0.0028419i,-0.0020604-0.0017437i,-0.0022634+0.00022558i,-0.0026914+0.0011467i,-0.0024666+0.00099786i,-0.00092216+0.0011742i,0.00051471+0.0010764i,0.0011708+0.00078655i,0.00073692+0.00095174i,-0.00061167+0.0012033i,-0.0014964+0.0008008i,-0.0015438+0.00017598i,-0.0007318+0.00064873i,0.00064018+0.00093688i,0.00094415+0.00080365i,-0.0002987+0.0011086i,-0.00064272+0.00073808i,-0.00034487-0.00060073i,4.7531e-05-0.0006626i,0.00062029+8.5237e-05i,0.00017411+0.0003512i,-0.00011945+0.00080449i,-0.00015673+0.00085627i
0.0015018-0.0012054i,0.0012129-0.0011641i,-0.0003858-0.0013779i,-0.0012779-0.00092885i,-0.0011492-0.00038956i,-0.00035941-0.00017517i,0.00020627+0.00049861i,0.00030255+0.00097042i,0.0010449+0.00085666i,0.0010512+0.0006704i,0.00017661+0.00060309i,-0.00016981+0.00041213i,0.00011035+0.00012735i,0.00027333-0.00053343i,2.5023e-05-0.00016941i,0.00010168+0.0008282i,0.00037834+0.00057043i,0.00064142+0.00074126i,0.00030639+0.0010695i,7.1224e-05+0.00074881i,-0.00032415+0.00052969i,-0.00069307+0.00074434i,-0.0010286-0.00026456i
-0.00023231+0.00078439i,-0.00082316+0.00083247i,-0.0011209+0.00047311i,-0.00014631-0.00010387i,0.00020027+0.00039928i,0.00046732+0.0012417i,0.00094577+0.00093678i,0.00080592+0.00019555i,0.0004505-0.0002086i,0.00024971+0.00039076i,-0.00047273+0.0011272i,-0.00064554+0.0012988i,-0.00029732+0.00090064i,-0.00069398+0.00076892i,-0.00046838+0.00036917i,0.00017028+0.00027734i,-0.00015529+0.0002056i,-0.00074608+5.0695e-05i,-0.00030776+0.00030957i,0.0009088+0.00025879i,0.0013257+0.00031161i,0.00055175+0.00011517i,-0.00026821-5.9283e-05i
