-0.00037003+0.0012501i,4.4866e-05+0.00031409i,-0.00071358-0.00045732i,-0.00036645-0.00018589i,-0.00010142+0.00064i,-0.00022701+0.0011444i,0.0002962+0.001364i,0.0015369+0.0011321i,0.0020697+0.0007026i,0.0024205-6.7432e-05i,0.0022842-0.00031805i,0.0014269-0.00028417i,0.00072426-0.00063965i,0.00064786-0.00094126i,-0.00012468-0.0010611i,-0.0011113-0.000692i,-0.00084822+4.6207e-05i,-0.00042185+0.00069349i,-0.00025439+0.0005887i,-0.00023974-0.00088123i,-0.00031012-0.0014761i,-0.00039371-0.0010203i,-0.0004181-0.00054601i
0.00093327-3.8549e-05i,0.00080115-0.00043499i,0.00041508-0.00028642i,0.00086122-0.0010448i,0.001201-0.0014403i,0.00065977-0.00066746i,0.00015696-1.1252e-05i,-0.00020386+0.00036313i,8.5023e-05+0.00044316i,0.00026884+0.00039055i,-0.00027137+4.6581e-05i,-0.00030224+6.9495e-05i,2.8869e-06+0.000346i,9.7893e-05+0.00015832i,8.1363e-05-0.00033377i,0.00026331-0.00031119i,0.0003322+7.3825e-05i,-5.3358e-05+0.00031947i,0.00023132-3.2221e-05i,0.00029354-0.00019826i,-0.00057374-0.00072796i,-0.0010964-0.0010247i,-0.00073811-0.00074067i
0.00066414-0.00029005i,-4.725e-05-0.0007606i,-0.00048016-0.0016085i,-0.00045691-0.0026346i,-0.00036986-0.0024008i,0.00071179-0.0018983i,0.0010555-0.00063673i,0.00056268-0.00017336i,0.00054157-0.0015101i,0.00045111-0.0015413i,0.00042134-0.00090662i,0.00055824-0.00036146i,0.00095061+0.00038861i,0.00034012+0.00048897i,-0.0001031-2.3588e-05i,0.00027405+9.0029e-05i,-0.00011065+0.0010352i,-0.00039233+0.0011135i,-0.00055617+0.00044189i,-0.00041356+0.00072591i,0.00012657+0.00060287i,0.00060886+0.00018082i,0.00084602+8.5005e-05i
0.0018009+0.00075954i,0.0012456+0.00010687i,0.0017064+6.568e-05i,0.0023012+0.00060499i,0.0015236-0.00084108i,0.00056564-0.0020203i,0.00043345-0.0011848i,0.00075914-0.00039628i,0.0011387+0.00020864i,0.00079805+3.0209e-05i,0.00056269-6.1261e-05i,0.00028873+0.00038231i,0.00031801+0.00029629i,0.00071746-0.000137i,0.0014322-0.00020159i,0.001687+0.00032852i,0.00029606+0.00054202i,-0.001028-0.00034526i,-0.00092524-0.00053473i,-0.00056104+0.00020947i,-0.00045727+0.00076735i,-0.00024518+0.00082797i,-0.00052895+0.00072385i
-0.00072457-0.00055612i,-0.00046878-0.00072596i,0.00027933-0.0011402i,-4.0911e-05-0.0017806i,-3.6046e-05-0.0013585i,-4.8048e-05-0.00078219i,-0.00046459-0.00066169i,-0.00050376-0.00065756i,-5.9067e-05-0.00075351i,9.8792e-05-0.0010407i,-0.00019225-0.00098179i,-0.00016237+9.7574e-07i,0.00040363+0.00041934i,0.001161-0.00037872i,0.0012893-0.00062508i,0.00081418-0.00014476i,0.0003299-2.0117e-05i,0.00018861+1.7732e-05i,0.00041532+0.00024614i,0.00030269+9.6004e-05i,-6.3959e-06-2.2984e-05i,0.00031841+0.00057582i,0.00034995+0.00073699i
0.001694-0.0010002i,0.0015533-0.00015253i,0.0013344+0.00032574i,0.00088806-0.00048189i,0.00075155-0.0015729i,0.00020746-0.0012148i,-0.00043604-0.00048919i,-0.00012838+8.9777e-05i,0.00046409+0.00055421i,0.0011657+0.00023878i,0.0013856+0.00033431i,0.00073531+0.00027031i,-0.0003602-0.00015983i,-0.0010079+2.5656e-05i,-0.00023319+0.00017412i,0.00021782+0.00085827i,-0.00087273+0.0012055i,-0.0013298+0.00028002i,-0.0014626+6.7203e-05i,-0.0010387+0.00077094i,-0.0006796+0.00073335i,-0.00089982+0.0003048i,-0.00030611+0.00011751i
-0.0011826+0.0011611i,-0.00018977+0.0011366i,0.00091756+0.0010385i,0.000578-6.4093e-05i,0.0012433-0.001262i,0.0013802-0.0010831i,0.00068437-0.0012087i,0.00059657-0.0014631i,-0.00028874-0.00063605i,0.00035961+6.2414e-05i,0.00071558+0.00015251i,-0.00071899+0.0001971i,-0.00072273+0.00053329i,-0.00063676-2.2335e-06i,-0.00058759-0.00030663i,-0.00027883-5.6161e-05i,-0.00050557-0.00047791i,-0.00018671-5.6626e-06i,0.00020141+0.00097619i,0.00038778+0.0010331i,1.2918e-05+0.00015719i,-7.6749e-05-0.00041809i,4.0044e-05-0.00019512i
-0.00054264+0.00028459i,0.00067988+0.00053277i,0.001795+0.0017316i,0.002018+0.0021327i,0.0019625+0.001291i,0.0020698+0.00057002i,0.0010508-0.00062121i,0.00045-0.00051242i,0.00054958+0.00039136i,-0.00020247+0.00031077i,-0.00023485+9.963e-05i,0.00033087-0.00019405i,0.00045743-0.00047657i,0.00084368-0.00028831i,0.00085772+0.00021203i,0.00041597+0.0010999i,-9.8271e-05+0.0018547i,-0.00034322+0.0018597i,-8.31e-06+0.0011772i,-9.2265e-05+0.0011645i,-0.00085529+0.00088044i,-0.001195+0.00017634i,-0.00087884+0.00043044i
0.00074489+0.00045483i,0.0010273-0.0010069i,0.00050353-0.0022987i,-0.00054033-0.0020114i,-0.00097465-0.00052624i,-0.00072053-1.4265e-05i,-7.4812e-05+8.7835e-05i,-7.3842e-05-0.00043917i,0.00013256-0.00055606i,0.0011453+0.00010562i,0.0012543+0.00021633i,0.00047919-2.5409e-05i,0.00019847-0.0004574i,0.00022612-0.00068567i,-0.00022312+0.00028924i,-0.00030391+0.00097164i,-0.00035993+0.00034i,-0.00096892-0.00024498i,-0.00073744+5.3584e-05i,-0.00049945+0.0003891i,-0.00031821+0.00021273i,-5.918e-05-0.00045902i,1.117e-05-0.00060959i
0.0018135-0.0029538i,0.00090608-0.0028343i,-0.00058115-0.0027678i,-0.00045142-0.001676i,0.00062269-0.0011813i,0.00049563-0.00035763i,0.00010005+0.00054445i,0.00042461+0.00057868i,0.00098704+5.4431e-05i,0.00092571-0.00066709i,0.00035929-0.00089672i,-4.862e-05-0.00064103i,0.00021838-3.6913e-05i,0.00027418+0.00038495i,0.00049718-2.0186e-05i,0.00011836-0.00058376i,-0.0007497-0.00039008i,2.8123e-06-6.2292e-05i,0.00066818+0.00034826i,0.00060534+0.00073171i,0.00052972+4.2493e-05i,0.00047827-0.0014057i,0.00081756-0.0020657i
0.0013744+0.0012444i,0.0020362-3.1387e-06i,0.0026479-0.00082109i,0.0022134-0.0011043i,0.00091884-0.00099713i,6.8971e-05-0.00093595i,-0.00060155-0.00059311i,-0.00082653+0.00013312i,-0.0002201+0.00015924i,0.00065962-0.00036328i,0.0013856-0.00038146i,0.00097644+8.8922e-05i,0.00013229-0.00013083i,0.00024721-0.00017294i,-7.8013e-05+0.00025677i,-0.00018962+0.00039238i,0.00028754+0.00078079i,0.00012181+0.00093733i,-0.00039809+0.0007397i,-0.00035885+0.00077451i,-8.3186e-05+0.00046609i,5.0837e-05+0.00022668i,0.00029367+0.00076914i
-0.0011448-0.0018654i,-0.00087243-0.0014529i,-0.00061258-0.00085039i,-0.0004199-0.000232i,-0.00082166-0.001075i,-0.00062067-0.00033517i,0.00020665+0.0008562i,0.0004649+0.00030205i,0.00038744-0.00056485i,0.00030869-0.00085741i,-8.8484e-05-0.00027513i,-0.00029208+0.00083707i,0.00034293+0.00049659i,0.00053469-0.00032441i,-0.00043772-0.00048829i,-0.0008364-0.00053715i,-0.0011263-0.000114i,-0.00070665-0.00011102i,0.00025411-1.3442e-06i,0.00064007+0.00020715i,0.00070632+8.5796e-05i,-0.00019348+7.8308e-05i,-0.00056777+0.00019903i
-0.00019258-0.0007953i,-0.00037886-0.0001951i,-0.00078552+0.00023929i,-0.0012132+5.8442e-05i,-0.00086964+0.00017375i,9.6504e-05+0.00031812i,0.00016065+0.00029838i,-0.00068926+4.2748e-05i,-0.00051913+0.00028425i,0.00036643+0.00043665i,0.00019876-7.0325e-05i,-7.5756e-05-0.00036684i,-1.512e-05+9.2493e-05i,-0.00021222+0.00022445i,-6.8902e-05+0.00046032i,0.00039221+0.00069268i,-0.00019661+0.00071134i,-0.00062805+0.00042316i,-0.00079654-3.8408e-05i,-0.00039615+0.00028471i,0.00026737+0.00052862i,0.00029557+0.00011986i,0.00060653+0.00036672i
-0.001936-0.0013117i,-0.0032641-0.0012884i,-0.0040019-0.00060142i,-0.0027728+0.00063634i,-0.00072+0.00080312i,0.00064292+0.0001245i,0.00040536+0.00042295i,-0.0006836+0.00073535i,-0.00083554+0.00027715i,-5.1098e-05-0.00073337i,0.00025988-0.0010949i,-0.00021707-0.00069023i,-0.00055744-0.00058428i,-0.00040666-0.00063766i,-9.6484e-05-0.0014233i,0.00038065-0.0015268i,-0.00019632-0.00068865i,-0.00028668+2.0806e-05i,-0.0004249+0.00024461i,-0.00080284+0.00097195i,-0.00083802+0.0013412i,-0.00091183+0.00047415i,-0.00066227+1.8604e-05i
0.00058334+0.0021964i,0.0021475+0.0021042i,0.0043003+0.0022013i,0.0042893+6.4615e-05i,0.0034955-0.0016667i,0.0018882-0.0011636i,8.558e-05+0.00010012i,-0.00024669+0.00018044i,0.00052087-0.00047142i,0.0010154-0.00012696i,0.00072714+0.00039849i,0.0005469+0.00030188i,0.00030442-0.00062545i,0.00018767-0.0006745i,0.00018637+0.00018472i,0.00017683+0.00030703i,1.4398e-05+0.00057652i,-0.00036533+0.00048894i,-0.00038539+0.00058408i,0.00017415+0.00060868i,0.00023125+0.00029525i,0.00020969+0.00072177i,0.00054508+0.00079224i
0.00037753+0.00087846i,0.00068194+0.00038344i,9.4345e-05+0.00084944i,-4.7904e-05+0.0014778i,-4.6665e-05+0.00030628i,0.00014007-0.00057939i,0.00072384-0.00037597i,0.00083185+0.00011785i,5.7219e-06+0.00029893i,3.0329e-05+0.0002659i,0.00030574+0.0002303i,-5.4899e-05+0.00021969i,0.00076388-0.00019924i,0.00083568-0.00038465i,7.5968e-05+0.00034614i,-0.00064506+0.00041081i,-0.00074401-0.00016298i,-0.00096731-0.00039069i,-0.00050722-0.00047979i,0.00011383+0.00016863i,-0.00033407+0.00048503i,-0.00030022-0.00023569i,-0.00033812-0.00055301i
5.1997e-05-0.0011353i,0.0003521-0.0014838i,0.0013719-0.00063105i,0.001966-0.0011447i,0.0020265-0.0015543i,0.00084076-0.0011132i,0.00033485-0.0012591i,-0.00032214-0.00068474i,-0.0007658-0.00012173i,-0.00024761-4.3624e-05i,-0.0008188-0.00022456i,-0.00059405+2.1008e-05i,-0.00019838+0.00032084i,-0.00047984+0.00044858i,8.3666e-05+0.00029316i,3.2312e-06+0.00018307i,-0.00019692-0.00091978i,0.00035993-0.0011053i,0.00043618+0.0005011i,0.00028526+0.001429i,0.00037026+0.0014155i,-9.4545e-05+0.0010411i,-0.0003058+0.00017002i
0.0013332-0.0020606i,0.00011544-0.0024974i,0.00021521-0.0029444i,0.0010933-0.0023661i,0.00037911-0.0016954i,-0.00031924-0.0011802i,-0.00026283-0.00026209i,-0.00010713-9.6242e-06i,0.00046593-0.00046909i,0.00058878-0.00061134i,0.00042643-0.00091794i,0.00053907-0.00048347i,0.00074353-3.5993e-06i,0.00098081-7.3814e-05i,-0.00012974-5.1543e-05i,-0.00087208+0.00030204i,-0.00097348+0.00061723i,-0.0010599-0.00024174i,-0.0008965-0.00072527i,-0.00036144-0.00019334i,0.00016751-2.554e-06i,0.0003335-0.00048479i,0.00055261+0.00012085i
0.00041897-0.00044908i,0.0012243+0.00053947i,0.0014445+0.001053i,0.00080396+0.00021582i,0.00031168-0.00071151i,0.00051106-0.0008852i,0.00035438-0.0014663i,7.9232e-05-0.0016871i,0.00071314-0.0010866i,0.0015176-0.00058861i,0.0013844-0.00045624i,0.00084828-0.00054004i,0.00093196-0.00044349i,0.001248-0.00017709i,0.0011868-3.4886e-05i,0.00063755+0.00021915i,0.00042311+0.00093566i,-8.2003e-05+0.0010996i,-0.00053422+0.00050085i,-0.00026415-6.6739e-05i,0.0003748-0.0008791i,0.00032002-0.00074984i,0.0002946-8.9584e-05i
-0.00047763+0.00088083i,-0.00050207+0.0015855i,-0.00016525+0.0019156i,0.00047201+0.0014045i,0.0012926+0.00015598i,0.0013994-0.00053916i,0.00062418-0.00071599i,-0.00020614-0.00029847i,-0.00090656+0.00034278i,-0.00038694+0.00043778i,0.0003456+0.00057236i,0.00010774+0.00074861i,0.00046004+0.00051361i,0.00061454+0.00056974i,-0.0004899+0.00027286i,-0.00042715+0.00027352i,0.00035215+0.00043284i,0.00058296+0.00030634i,0.0007971+0.00068652i,0.00057444+0.00071i,0.00060792+0.00024284i,0.00012396+0.00026864i,-0.00069135+0.00038992i
0.00077926+0.00059705i,0.0022134+0.00054606i,0.0024461+0.00015737i,0.00081943-0.00089805i,0.00038199-0.0012847i,0.00096143-0.00092389i,0.0017096-0.00065191i,0.0016644-0.00041601i,0.0011768-0.00074825i,0.00067713-0.00068079i,0.00028458-0.00058402i,0.00013797-0.00023474i,0.00044052+0.00041962i,0.00087208+0.001105i,0.00073419+0.00078911i,0.00030551+0.00011215i,0.0002848-0.0002933i,0.00030022-0.00045176i,-1.8577e-05-0.0003101i,-0.00030848+0.00038498i,-0.00051087+0.00048493i,-0.00080504-0.00014998i,-0.00080513-0.00031645i
-0.0016834-0.00052264i,-0.0013983-0.00031925i,-9.9232e-05-0.0011915i,0.00080535-0.0012516i,0.00074857-0.0015988i,0.00083838-0.0022945i,0.00066657-0.0014771i,-0.00025788-9.26e-05i,-0.00053127+0.0006696i,0.0001468+0.00079086i,0.00015939+0.00045491i,0.00025458-0.00027981i,0.00089638-0.00082623i,0.00056561-0.00063854i,6.8772e-05-4.0818e-05i,0.00035832-0.00029145i,0.00013373+6.9247e-05i,-3.4287e-05+0.0010787i,1.6791e-07+0.00082708i,-0.00032939+0.00057545i,-0.00037313+1.3339e-05i,6.7655e-06-0.00011981i,-0.00020477+2.4507e-06i
0.0010802+0.00090152i,0.0020051+0.0015614i,0.0016695+0.0013197i,0.00090024+0.00068194i,0.000988-0.00040038i,0.0014848-0.00087081i,0.00041535-0.00072378i,-0.00028673-0.00022148i,0.00057437-0.00011848i,0.0010249-0.00043617i,0.00088876-0.00063873i,0.00040564+9.0364e-05i,0.00011184+0.00050496i,0.00029016-9.8969e-05i,0.00061332-6.5801e-05i,0.00046011+9.8803e-05i,-0.00016502-0.00023976i,-0.00052469-7.4125e-05i,-0.00022798+0.00017715i,-0.00028305-0.00040045i,-0.00045124-0.00059382i,-0.00044115-0.00085705i,-0.00094678-0.00087385i
-0.0007403-0.00030865i,-0.001766+0.0011083i,-0.00047252+0.0014667i,0.00028746+0.00044889i,-0.00027535-0.00072654i,-0.00030162-0.001691i,-0.00033323-0.0014627i,0.0001893-0.00064798i,0.00058068-0.00062374i,0.00028608-0.00021753i,-6.1968e-05+0.00049506i,-0.00016201-0.00015358i,0.00015122-0.00027413i,0.0007091+9.446e-05i,0.00040397+0.00027423i,-0.00025497-0.00010319i,0.00012175-0.00057747i,0.00055852-0.00054464i,0.00095896+0.00018874i,0.0010841+0.00044351i,0.00029201-3.8785e-05i,-0.00036535-0.00017017i,-0.00014478-0.00017326i
0.0023411-0.0010761i,0.0014685-0.00094801i,0.00021713-0.0014847i,6.4042e-05-0.0024533i,-0.00035636-0.002644i,-0.0011834-0.0016692i,-0.00082012-0.00033301i,-0.00020989+0.00017951i,-4.5617e-05-0.00014136i,2.2746e-05-0.0014981i,-9.3843e-05-0.0010034i,-0.00012931+0.00043272i,0.00018704+0.00058701i,0.00044193+0.00063896i,0.00062707-0.00020885i,0.0002896-0.00063003i,-0.00055591-0.00023053i,-0.000527+2.0861e-05i,7.732e-05+0.00038739i,-2.8434e-05+0.00026056i,-0.00043082-8.3114e-05i,-9.3694e-05-0.00032877i,-6.3507e-05-0.00019761i
-0.0019123+0.0014303i,-0.0018291+0.0014476i,-0.00068459+0.00033915i,-0.00016903+7.2217e-05i,-3.89e-05+0.00043354i,0.00028525-0.00025684i,0.00066307-0.00027605i,0.00081545+0.00027292i,0.00090685+0.00025342i,0.0013827+3.3964e-05i,0.00090029-0.00036541i,0.00017221-0.00058652i,-0.00017533-0.00031861i,-0.00070248+0.00069734i,-0.00087567+0.00024571i,-0.00029333-0.00013612i,-0.00029674+0.0006578i,-0.00070324+0.00066586i,-0.00022203-0.00018739i,2.8085e-05-0.00094979i,-7.6484e-06-0.00028059i,2.6445e-05+0.00034118i,-3.1632e-05-4.8845e-05i
-0.00053651-0.0010016i,-0.00059788-0.0015877i,-0.0016014-0.00012593i,-0.0010641+0.00078504i,0.00076033-0.00016237i,0.0019273-1.9177e-05i,0.0011194+3.0711e-05i,-0.00027639-0.00037698i,-0.00060546+5.2912e-05i,-0.00047172+0.00022251i,-0.00052866+3.9553e-05i,-0.00015543-0.0002955i,0.00051958+7.3146e-06i,0.00038488+7.424e-05i,-5.6634e-05-0.00021958i,-7.1885e-05+0.00013254i,-0.00014953+0.00039705i,-0.00055477+0.00010681i,-0.00016698+0.00040598i,0.00081948+0.00036631i,0.00083225-0.00071468i,-0.0005512-0.00079112i,-0.00077718-0.00022498i
-0.0024227+0.0027031i,-0.0011544+0.0023372i,0.00027114+0.0022513i,0.0017301+0.0026191i,0.002236+0.0017774i,0.0015948-0.00015069i,0.0012598-0.00082686i,0.0012685-0.00032544i,0.00078632+0.00019478i,0.00036519-0.00014325i,0.00023888-0.00020698i,0.00057768+0.00018609i,0.00046726+0.00032386i,-0.00036366-0.00070374i,-0.0010085-0.0013677i,-0.00057668-0.00095332i,8.1965e-05-0.00018877i,-1.1797e-05+0.00047312i,-0.00026983+0.00045203i,-0.0002611+0.0003504i,-0.00014333-0.00019605i,0.00015049-0.00092211i,0.00014857-0.00048607i
-0.00039754-0.00069088i,-0.00058331-0.00097991i,-6.3833e-05-0.00065819i,0.00092863-0.00093616i,0.00059261-0.00062413i,0.00027576+2.7597e-05i,0.00027575+1.8389e-05i,-0.00031647-7.2494e-05i,0.00036667-0.00076273i,0.00089494-0.00045829i,0.0002719+0.00023385i,-0.00048329-0.00014413i,-0.0012845-0.00067937i,-0.00020363-0.00031419i,0.00093852+0.00047861i,0.00074003+0.0013752i,0.00016363+0.0015621i,-4.9744e-05+0.00037806i,0.00032866-0.00027012i,0.00053853+1.1368e-05i,-4.5235e-05+0.00014259i,-0.00020632-0.00060815i,-0.00022871-0.0008127i
-0.0014537+0.0013008i,-0.00027608+0.00098781i,-0.0007292+0.00096115i,-0.00055568+0.00018233i,0.00055121-0.00016402i,0.0011929+0.00025976i,0.0019797-0.00015768i,0.0013114-0.0011856i,-8.965e-05-0.0011523i,-0.00055411-0.00070074i,-0.00034942-0.00071149i,0.00019342-0.00041121i,0.00072836-0.00078819i,-0.00013023-0.001033i,-0.0012437-0.00026454i,-0.0010325-0.00078487i,-0.00056349-0.00059553i,-0.00028957+0.00080825i,0.00053911+0.0007086i,0.00089943+4.1742e-06i,0.00043557-0.00067046i,-0.00011125-0.00058349i,-0.00014723+0.00057758i
0.0010354-0.0025936i,0.00051078-0.0027437i,-0.00087665-0.0019977i,-0.0010286-0.00083593i,-0.00078669-0.00028624i,-0.00037539-0.00033649i,0.00075275-0.00071818i,0.00072974-0.0004692i,4.2722e-05-0.00049937i,0.00012939-0.00087919i,0.00039693-0.00026221i,0.00031349+0.00023702i,-0.00079903+3.1545e-05i,-0.0016087-0.00024162i,-0.000991-0.00038294i,0.00024859+0.0003292i,0.00043458+0.0010263i,-0.00054848+0.00071938i,-0.00048071+0.00044935i,0.00022655+0.00033334i,0.0002895+0.00055069i,-0.00079428+0.00024727i,-0.00085075-1.5845e-05i
-0.00060588+0.0023844i,-0.0002703+0.0029561i,0.00014722+0.0023057i,-1.6316e-05+0.00093446i,0.00082737-0.00038451i,0.0011727-0.0011877i,0.00037623-0.0014274i,0.00010589-0.0011907i,0.00037003-0.0005941i,0.0010798-1.7138e-05i,0.0016523-0.00025491i,0.0011609-0.00077092i,0.00052531-0.00090492i,0.00078601-0.00024313i,0.00074555+0.00013349i,0.00010604+0.00028546i,2.7533e-05+0.0010758i,0.00023433+0.0010809i,0.00032591+0.00044045i,0.0009897+0.00082932i,0.0015121+0.00076293i,0.00063533+0.00035082i,0.00018765+0.00057286i
