-0.0010106-0.0014519i,-0.0018382-0.0021772i,-0.0026313-0.0030907i,-0.0028104-0.0020593i,-0.0013926-0.0010789i,-5.2205e-05-0.00069945i,0.0003173+0.0001961i,0.0003718+0.00041747i,4.8362e-05+0.00023651i,0.0005476+0.00057291i,0.00060654-6.9864e-05i,-0.00074027-0.0005567i,-0.0015036-0.00023954i,-0.00087478+0.00013542i,4.6154e-05+0.00021878i,0.00045141-0.00042292i,0.00029442-0.00018194i,0.00042899+0.00046267i,0.00050577+0.00032475i,5.1354e-05-0.00017333i,6.2006e-05-0.00027582i,0.00018749+0.00010994i,0.00052519+0.00052396i
0.00044071-0.00027996i,0.00086265-0.00036089i,-6.0086e-05-0.00023423i,0.00028843+0.00023208i,0.0009079+0.00015606i,0.00087248-0.0006462i,0.0001892-0.00047167i,-9.9783e-05+9.3865e-05i,2.1256e-05+0.00027093i,-0.00015744-1.3677e-05i,0.00025887-0.00024323i,0.0007259-0.0003853i,0.00061108-0.00048785i,0.0004839-0.001036i,0.00090686-0.00062673i,0.00058074-0.00015909i,-0.00019114-0.00034553i,-0.00012259+4.063e-05i,0.00032983-1.0942e-05i,0.00040134-0.0005826i,0.00046276-0.00030061i,0.00027723+0.00062179i,-0.0002117+0.00061187i
0.00036252+0.00064703i,0.0014379+0.0015701i,0.0016814+0.0025209i,0.0013492+0.001406i,0.0021261-0.00057718i,0.0021548-0.0014076i,0.0017308-0.0015313i,0.00090818-0.0013411i,0.00025227-0.00063894i,0.00037142-0.00015443i,0.00020772+0.00059094i,-0.00017467+0.00055298i,-0.00046043+0.00025348i,-0.00081813+6.6949e-05i,-0.0010378-4.2345e-05i,-0.00014249+0.0002872i,0.00063307+0.00088703i,9.5971e-05+0.0012694i,6.3098e-05+0.00088087i,0.00012104+0.0005649i,-8.9209e-06-0.00014341i,0.00054009-8.8269e-05i,0.0010586+0.00078886i
0.001136+0.0022467i,0.0015783+0.0015045i,0.0016776+0.00010418i,0.0015483-0.0011468i,0.0008377-0.00067469i,0.00013044+0.0002038i,-0.00066493-0.0001214i,-0.00082408-0.00033136i,-0.00086697-0.00040271i,-0.00073419-0.0004545i,0.00017263-0.0007843i,0.00026012-0.0012622i,-0.00019132-0.0014713i,-0.00050679-0.0010818i,-0.00045083-0.0010948i,-0.00035892-0.00048873i,-0.00031917+0.00052023i,9.2069e-05+0.00054475i,9.659e-05+0.00061858i,0.00048936+0.00068677i,0.00032224+0.0001503i,-0.00048443-0.00017521i,-3.3878e-05-8.0464e-05i
0.00052516-0.0011204i,-0.0005358-0.0013378i,-0.0011121-0.0011027i,-0.0014296+0.00039908i,-0.0012029+0.00077007i,6.6884e-05+3.2371e-05i,0.00054574-6.0448e-05i,-0.00063393+8.3661e-05i,-0.0013604+0.00032648i,-0.0009623+0.00073797i,-0.00035979+0.0012153i,0.00024206+0.0017127i,0.00088631+0.0021675i,0.0010848+0.0015083i,0.00074857+0.00038324i,0.0001478-0.00057609i,6.574e-05-0.00074836i,0.0004474-0.00050333i,2.6409e-05-0.00054181i,-0.00036941-0.00020564i,-0.0003608+0.00058131i,-0.00023712+0.00041583i,1.8064e-05-0.00031891i
0.00066588-0.0017664i,0.0014868-0.0010145i,0.0016947-0.00015826i,0.0012022+0.00051281i,4.701e-05+0.00054755i,-0.0001063+0.00014697i,0.00061702-0.00077696i,0.00016407-0.0011153i,-0.00083316-0.00018414i,-0.00061723+0.00072476i,-0.00011926+0.00074909i,-0.00038081+0.00048095i,-0.00040198+0.00045476i,0.00035014+0.00023188i,0.00058507+0.0010059i,0.00019704+0.00081978i,5.2598e-05-3.6733e-05i,0.00048819+9.893e-06i,0.00013979-0.00031746i,-0.00037124-0.00020114i,0.00014176-0.0003748i,0.00063753-0.00092671i,0.00065902-0.00060078i
0.0022531-0.00054414i,0.0010274-0.0016516i,-0.00042383-0.0017179i,-0.00042552-0.00088512i,0.00083697+0.00067486i,0.00113+0.0015355i,0.00095389+0.00071211i,0.00078358+0.00072859i,-8.4479e-06+0.0008348i,-0.00016239+0.00025652i,4.0355e-05+0.000219i,-0.00048023+0.00017127i,-0.00093026-0.00036824i,-0.00038741-0.00041691i,0.00011749-0.00031616i,-0.00038179+0.00038208i,-0.00067472+0.00076019i,-0.00054385+0.00032392i,-0.00032715+0.00011909i,-0.000346+7.0041e-05i,0.00044846-0.00030134i,0.0012121-0.00062328i,0.0011382-0.00019126i
0.00045681+0.00017138i,-5.8822e-05-0.00066119i,-0.0011206-0.001156i,-0.00075128-0.0010389i,0.00040553-0.0010581i,0.0011245-0.0014707i,0.0013387-0.0017366i,0.00085809-0.00098356i,-4.9633e-05+4.3417e-05i,-0.0003617+0.00052111i,-0.00058208+0.00047827i,-0.00072238+0.00079468i,-0.0010447+0.00048698i,-0.00092875-1.1103e-05i,8.3706e-05+0.000436i,0.00060496+0.00076649i,0.00037953+0.0010987i,-0.00035283+0.0010196i,-0.00054285+0.00039599i,-0.00014014-0.00021877i,-0.00029382-0.0004214i,-0.00014181-0.00057154i,-0.00028863-0.00066126i
0.00091578-0.00091372i,8.3023e-05-0.0012248i,0.00029059-0.0018092i,0.00042795-0.0019106i,-0.00055038-0.0019977i,-0.00087966-0.0015237i,-0.00045031-0.00061485i,-0.00022285-3.4205e-05i,7.3818e-05+0.00036692i,0.00015998+0.00067849i,-0.0002105+0.0011862i,-0.00017518+0.0013158i,0.00061426+0.00075369i,0.0013703+0.00042573i,0.0009447+0.00057175i,-0.00044138+0.00074374i,-0.00074935+0.00015869i,-0.00027724-0.00034808i,-0.00023579-0.00063328i,-0.00088886-0.00069507i,-0.00078261-0.00025799i,0.00028728+0.00034599i,0.00025851+0.00030711i
0.00021251-0.00066617i,0.0011094-0.00079036i,0.00079132-0.00038439i,0.0015828+0.0002271i,0.0025342+0.0014844i,0.0014459+0.00063841i,-0.000121-0.00092338i,-0.00093779-0.00094828i,-0.0007713-0.00051652i,-0.00055516-0.00037759i,-0.00032287-0.00026847i,-0.00030948+0.00020366i,0.00022545+0.00033754i,0.00086148+0.00034582i,0.00055768+4.6746e-06i,1.2862e-05-0.00029492i,-0.00025042-0.00032466i,0.00020091-0.00041406i,0.00032929-5.836e-05i,-0.00025896-7.088e-06i,-0.00034689-9.503e-05i,-0.00089767-0.00023697i,-0.00091123-0.0010826i
-0.00098263-0.00014172i,-0.0019666+0.00017332i,-0.0018662+5.321e-05i,-0.00010864+0.00015196i,0.0011143+0.0009008i,0.0019715+0.00034151i,0.0017989-0.0005808i,0.00076964-0.00049423i,0.00040298-0.00040851i,0.00075013-0.00068131i,0.00063081-0.00040838i,0.00011334-0.00045175i,-0.00025705+0.00021352i,-0.00031243+0.0013385i,-0.00025288+0.0011064i,-0.0003066+0.00020756i,-0.00039669-0.00057739i,-0.00078453-0.00081752i,-0.00028163-0.00024134i,6.3874e-05+0.00011891i,-0.00024148+0.00035591i,-0.00049216+0.00063166i,-0.00050824+0.00024839i
-0.0012002-0.0019067i,-0.0018305-0.0018586i,-0.0018937-0.0017223i,-0.00039921-0.0014404i,0.0011599-0.00090704i,0.00098904-0.00017605i,0.00040683-0.00093681i,0.00020051-0.0017597i,-0.00021358-0.0013954i,-0.00024436-0.00038389i,-0.00018904+0.00037033i,0.00031893+2.9727e-05i,0.0010726+0.00036373i,0.0014574+0.0007889i,0.001378+0.00043978i,0.000519-0.00024648i,-0.00043145-0.00025252i,-0.0011336-0.00024403i,-0.00077017-0.00069859i,-1.538e-05-8.3135e-05i,0.00036505+0.00040008i,0.0004722+0.00045642i,7.3954e-05+0.00063398i
-0.0021417+0.00062015i,-5.6509e-05+5.3022e-05i,0.00096386+0.00065204i,0.0015174+0.0017765i,0.001912+0.0017797i,0.0022287+0.00034541i,0.002021-0.00091606i,0.00053724-0.0013179i,-0.00026979-0.0003429i,-0.00019082+0.00058029i,0.00034344+0.00045649i,0.00099077+7.712e-05i,0.00026926-0.00043234i,-0.00065798-0.00063218i,0.00028229-0.00022866i,0.00053867+0.00016413i,0.0001225-0.00014269i,1.963e-05-0.00037278i,-0.00029395-0.00012145i,-0.00031306+6.4249e-05i,-0.00018252+0.00025982i,-0.00023259+0.00024582i,-0.00034038-0.00013763i
-0.00086568-0.0002298i,-0.00010669-0.000229i,0.00059844+0.00012917i,0.00085681+0.00011059i,0.0014051-0.00075777i,0.0011961-0.0015873i,-0.0001837-0.0010907i,-0.0012373-0.00072534i,-0.0011142-0.00075352i,-0.00058957+5.9656e-07i,-0.00030631+0.0005365i,0.00030073+0.00038557i,0.00048399+0.00011967i,0.00080989-0.00039082i,0.0011953-0.00027393i,0.0012191+2.3288e-05i,-4.9385e-05+5.0493e-05i,-0.00046801+0.00028383i,-0.00067644+0.00082692i,-0.00081877+0.00028307i,-0.00053421-0.00033737i,-0.00055758-0.00061329i,-0.00039771-0.0010691i
0.0011863+0.0017761i,0.0010907+0.0013205i,0.00094938+0.00056565i,0.0010336-0.00035693i,0.0014099-0.0012374i,0.00078051-0.0017339i,-0.0004686-0.0013762i,0.00015172-0.00079748i,0.00049133-0.00065893i,-0.00022608-0.0012333i,-0.00063766-0.0013191i,-0.00020202-0.00082805i,0.00034605-1.9508e-05i,-0.00037804+0.00031995i,-0.00073591+0.0005848i,-0.00010116+0.00076909i,0.00012647+0.00033324i,4.0394e-05-0.00043475i,0.00037929-0.00079812i,0.00068905-0.00029845i,0.00076154+0.00032813i,0.00079976+0.00032947i,7.6432e-05-0.00036856i
-0.00054673-0.0014283i,-0.00126-0.00097059i,-0.0015481+3.3873e-05i,-0.0011836-0.00071031i,-0.00058488-0.00090972i,0.00014577-0.00049808i,0.00060316-0.00039671i,0.00092503-0.00063036i,0.00023532-0.00075486i,-0.00050221-0.00056215i,-0.00065634+6.54e-05i,-0.0005111+0.00012594i,-0.00011737+0.00024996i,0.00054023+0.0008162i,0.00073215+0.0012184i,-7.519e-05+0.0013189i,-0.00092724+0.00093423i,-0.0003416+0.00010099i,0.0002949-6.3946e-05i,0.00057635+5.831e-05i,-0.00067934-9.5156e-05i,-0.0019881+1.9167e-06i,-0.0011149+0.00055087i
0.00062515+0.00099579i,0.00043402+0.00037132i,0.00036181+0.00035048i,0.00089118+0.00039883i,0.00146-0.00067279i,0.0012832-0.0016741i,0.00023515-0.0009616i,-0.00043922+0.00016559i,-0.00052632+0.00033843i,-0.00056564-8.7438e-05i,-0.00025325+4.4302e-05i,6.8527e-05+0.00052585i,0.00071361+0.00041017i,0.00029791-6.0762e-05i,-0.00072635-0.00071355i,-1.2912e-05+9.4979e-05i,-3.1855e-05+0.00030675i,-0.00097796-0.00057055i,-0.00048436+0.00011031i,-0.00034599+0.00029947i,-0.00093148-0.00046085i,-0.00067583-0.00026735i,0.00062984+0.00034408i
0.0016784-0.001399i,0.0008702-0.0013888i,4.9286e-05-0.0014523i,2.525e-05-0.00015729i,0.0004705+0.00061431i,0.0016046+0.00063146i,0.0017975+0.00025201i,0.0011704-0.00067246i,0.00046488-0.0012232i,-0.00013188-0.00099702i,-8.376e-06-0.00078531i,0.00052804-0.00037732i,0.00048293-0.00048476i,0.00019843-0.0012924i,5.7352e-05-0.0010423i,-0.00052129-0.00014941i,0.00016442-4.6231e-05i,0.00067142-0.00045099i,0.00054006-0.00075154i,0.00023266-0.00051755i,-1.9256e-05-0.00019147i,0.00028391-0.00026679i,-8.4448e-05-0.00032371i
-0.00037375-1.3989e-05i,8.6822e-07-0.0004495i,0.0004994-0.0012486i,0.0006609-0.0013857i,0.0016001-0.0010993i,0.0018741-0.0016395i,0.001059-0.0012495i,0.00050235-3.152e-05i,-0.00031245+0.00046077i,-0.0010133+0.00061475i,-0.00067948-0.00032523i,-0.00012598-0.00068162i,-0.00035203-0.00023382i,-0.0003187-0.00016729i,0.00052313-0.00022985i,0.00041503+0.00025264i,0.00019558+0.00039261i,-5.1033e-05+0.00026714i,-0.0009548+0.00051694i,-0.00086607+0.00053324i,-0.00051704-0.00044483i,-0.00046024-0.0003577i,0.00012971+0.00026604i
0.0010186-0.00049337i,0.0015816-0.00074585i,0.00075078-0.00077611i,0.00011669-0.00050636i,-0.00047183-0.00024047i,-0.00099555+0.00010263i,-0.00050604+8.695e-05i,0.00029497-0.00023286i,0.00044513-0.00049736i,1.4671e-06+3.7628e-05i,0.00020619+0.00018331i,0.00071205+7.6884e-05i,0.00061926+0.00016546i,0.00023203-1.2723e-05i,-0.00047512-0.00044392i,2.0798e-05-0.00022675i,0.00034311+6.8134e-05i,-6.9551e-05+0.00039889i,5.8946e-05+0.00023293i,-0.00025634-0.0002854i,-6.5817e-05-0.00025685i,0.00034985-0.00049414i,0.00021157-0.00043491i
-0.00015605+0.00045712i,0.0003788-0.00038365i,0.00059259-0.00076133i,0.00054616-0.00040643i,0.00043167-0.0002064i,0.00048809-0.000486i,-2.4611e-05-0.00078204i,8.7711e-05-0.00060272i,3.936e-05+0.00016619i,-0.00081655+0.00029143i,-0.00022103-0.00014723i,0.0006112-0.00016051i,0.00043255-0.00010176i,0.00049354-0.00048248i,0.00070313+3.8063e-05i,-0.00034911+0.00061274i,-0.00084447+7.1622e-05i,-6.2285e-05-0.00075956i,0.00026734-0.00072358i,0.00049791-0.00042744i,-0.00014774-0.00048681i,-0.0013767-0.00016894i,-0.00046689+0.00058719i
-0.001592+0.0017816i,-0.0010582+0.0010494i,0.00063923+0.0010569i,0.0020184+0.0010409i,0.0027499-0.00039001i,0.0024054-0.0016021i,0.001599-0.0013565i,0.00098522-0.00075425i,0.00053625-0.0010821i,0.00073766-0.00071249i,0.00037769+0.00012633i,-0.0002868-9.8421e-05i,-0.00047556+5.4647e-05i,-0.00050826+0.00051984i,-0.00047921-0.00012191i,-0.0009158-0.00031118i,-0.00083949+0.00060702i,-0.00049016+0.00066816i,-0.00082586+0.00032734i,-0.00010274+0.00059383i,0.00041742+0.00041367i,5.4843e-05+0.00037333i,0.00014328+0.00016207i
0.0011828+0.00014912i,0.00066538-0.00032735i,-0.00048169+0.00031849i,-0.00082191+0.00078037i,-0.00037896-0.00010035i,-0.00072848-0.00061058i,-0.00013997+0.00039912i,0.00026971+0.00058598i,-0.00029732-0.00042563i,-0.00026156-0.00048665i,-0.00075336+2.7672e-05i,-0.0016097+0.00021932i,-0.0013941-0.000366i,-0.0012977-0.0001269i,-0.00048693+0.00024429i,-0.00033538-0.00017795i,-0.00035521-0.00080482i,-0.00037835-0.001232i,-0.00084361-0.00088576i,-2.8344e-05-0.0003411i,0.00040172-0.00021036i,0.00020138+0.00032807i,-1.6361e-05+0.00075302i
0.00033846-0.0010498i,-0.00015229-0.002084i,1.627e-05-0.0017331i,0.00047114-0.00052916i,0.0012471-8.3748e-05i,0.0014514+0.00034177i,0.0015042-0.00034165i,0.00087061-0.00069629i,-0.00037577-0.00043676i,-0.0011136-0.00068189i,-0.00068749-0.00027951i,-0.00011629+9.5882e-05i,0.00037097-4.0198e-05i,0.00095426-0.00011637i,0.00094575-0.00043656i,0.00098077-0.00055944i,0.0006182-0.00017747i,-0.00060342+4.2787e-05i,-0.00043483+1.9892e-05i,0.00066774-0.00043106i,0.00026206-0.00059282i,-0.00028196-0.00050473i,0.00045735+1.7973e-05i
-0.0017757+0.001261i,-0.0017923+0.0019194i,-0.00050824+0.0014627i,0.0012997+0.0017572i,0.0019446+0.0015364i,0.0023513-0.00046402i,0.0017829-0.0015287i,0.00041933-0.0016566i,-0.00027168-0.0011694i,0.00064814+3.7203e-05i,0.0012403+0.00055397i,0.00094884+0.00047302i,0.00081173-8.6264e-05i,0.00074688-0.00030133i,0.00060666+0.0001741i,0.00032529+7.3181e-05i,-0.00031705+0.00010764i,-0.0011948+0.00041914i,-0.00088829+0.00031646i,-0.00063403-0.00014813i,-0.00095238-0.00051874i,-0.00044796+0.00010321i,-0.00036362+0.00015891i
0.00093977+0.00073868i,0.00047831+0.00041293i,-0.00025701-0.00013344i,-0.00039027-0.00051183i,-9.6334e-05-0.00065262i,-0.0004009-0.00082806i,-0.00031399-0.0001614i,-0.00011674+0.00054667i,-0.00070571+0.00079927i,-0.0011534+0.00079966i,-0.00064102+0.00056984i,6.8649e-05+0.00030022i,-0.00028939+0.00039059i,-0.00062445+0.0015245i,-0.0007436+0.0016851i,-0.0011986+0.00022206i,-0.0015123-0.00060259i,-0.00051974-0.00064883i,-4.9447e-05-0.00018379i,-0.00085079-2.0789e-05i,-0.00096172+0.00019108i,-0.00026524-0.00031096i,0.00071551-0.000898i
0.0018725+9.9282e-05i,0.0021366+0.00020881i,0.0017958-0.00054665i,0.0013385-0.0003981i,0.0013289-0.00022968i,0.0013793-0.0010755i,0.0013704-0.0013533i,0.00036146-0.00019531i,-0.00023861-3.4836e-05i,-0.00055067+0.00019349i,-0.00066835+0.00019793i,-0.00041954-7.0951e-05i,-0.0010373+0.0002206i,-0.00092392+0.00021796i,-0.00023698+0.00050904i,0.00011414+0.0005048i,0.0005505+0.00013759i,0.00021577+0.00033716i,-0.00048329+0.0004292i,7.815e-05-0.00032455i,-0.00036695-0.00016087i,-0.0011297+4.55e-06i,-0.00047338-0.00052946i
-0.00061012-0.00085485i,-0.00055086-0.00081856i,-0.0005848-0.0010322i,-0.0004191-0.0013052i,0.00086484-0.0016978i,0.0025105-0.0014679i,0.0029181-0.00057661i,0.0017912-0.0005867i,0.00036553-0.0010654i,-0.00077682-0.00024217i,-0.0011153+0.00051676i,-0.00053613+0.00027066i,-0.0003334+0.00015839i,-0.00057419-3.8561e-05i,0.00028053+0.00036439i,0.0012462+0.00047845i,0.0011775-0.00067694i,0.00032738-0.00062469i,-0.00071534-0.00041286i,-0.00049705-2.2794e-05i,-0.00051128+3.7645e-05i,-0.0012814-0.00011886i,-0.00063791-0.00017922i
0.00038891+0.0013049i,0.0010931+0.00087199i,0.0021863-0.0003086i,0.0014778-0.0013301i,8.5155e-05-0.0013915i,-0.00029404-0.0017731i,-0.00036907-0.001139i,-0.00017528-0.00027431i,0.00050186-0.00047414i,0.00094453-0.00048019i,0.0004726-0.00010155i,-0.00056819-0.00018809i,-0.000756-0.00028711i,-0.00063185-0.00037728i,-0.0009279+7.4583e-06i,-0.00057778+0.00053264i,0.00013321+0.00081135i,0.00010322+0.00082603i,-0.00055699+0.00037217i,-0.0010389-0.00015997i,-0.00091413+2.4298e-05i,-0.00049938+0.00015391i,0.00025859-0.0001505i
-0.00085746+0.00219i,0.0010472+0.0017335i,0.0012225+0.0010979i,0.0010471+0.00016507i,0.0013205-0.00045021i,0.00093206+9.1408e-05i,0.00055454+0.00061856i,0.00080398+0.00056633i,0.00045477+7.6456e-05i,-4.2589e-05-0.00049447i,-8.5536e-05-0.00082987i,-7.4898e-05-0.0003744i,-0.00033427-1.0587e-06i,-0.00074916-0.00053352i,-0.0010281-0.00034674i,-0.00077295+0.00014289i,-0.00045627+0.00088128i,-0.00045568+0.00093508i,-0.00026872+0.00037494i,0.0001644+0.00067978i,-0.000497+0.0005076i,-0.0010194-0.00069518i,-0.00063087-0.00053544i
-0.00027607+0.0011353i,0.00013542+0.00088073i,4.9191e-05+0.00091311i,0.0008519+0.0011463i,0.0015394+0.0012702i,0.0010348+0.00011012i,-0.00012633-0.00073154i,-0.00026009-0.0010685i,0.00059187-0.00079937i,0.00098704-0.00010034i,0.00047163+0.00043714i,-1.0568e-05+0.00064112i,-0.00048242+0.0006052i,-0.0013822+9.4333e-05i,-0.0012891+0.0001931i,-0.00050455+0.00023591i,-0.0002319+0.00013061i,0.00022772-2.3437e-05i,-8.5849e-05-0.00035574i,-0.0006858-0.00083238i,-0.00044191-0.00048103i,0.00055161+0.00045274i,0.00084066+0.00089217i
-0.0013919+0.00041916i,-0.00039208-0.00024135i,0.00057871-0.00058371i,0.0011444-0.00076622i,0.0016554-0.00086964i,0.0011111-0.00089599i,0.00049431-0.0012327i,7.9109e-05-0.00098458i,-7.0228e-05+5.9465e-05i,0.00049178+0.00036165i,0.00093834+0.00023868i,0.00086427+0.00013524i,0.00067939-0.0003149i,0.00056584-0.000413i,-2.8835e-05+0.00021875i,4.3594e-05+0.00087288i,0.00045463+0.00090379i,-0.00025877+0.00014699i,-0.00097638-0.00077059i,-0.00077381-0.0014975i,-2.4622e-05-0.0012269i,0.00080399+0.00031281i,0.00080676+0.00075596i
