-0.006136-0.00071659i,-0.0045385+0.00045757i,-0.00368+0.0034139i,-0.0029934+0.0048644i,-0.0016672+0.0040211i,-0.00015687+0.0024645i,0.00074524+0.0019843i,0.0014941+0.0019942i,0.0010399+0.0017077i,0.00020509+0.0011779i,0.0020083+0.0007465i,0.0029486-0.00027918i,0.0021679-0.00067821i,0.0011521-0.00074911i,-0.00034532-0.00072548i,-0.00079493-6.791e-05i,0.00044766-0.00013643i,0.00097973-0.00038047i,-0.0001651+0.00017195i,-0.0011181+0.00065312i,-0.00071545+8.3322e-05i,0.00013146-0.00020563i,0.00017066+0.00048056i
0.0013471-0.00079829i,0.0010101-0.00053899i,0.00058246-0.0003058i,-0.0005057-0.000285i,-0.0006718-0.00052409i,-0.00020146-0.00020078i,1.4661e-05+9.0799e-05i,-0.00016582-6.7285e-05i,-0.00060075-0.00065049i,-0.00027795-0.00040584i,0.00021686-0.00019425i,0.00028232-0.00026537i,0.00097586+0.00041611i,0.001259+0.00066128i,0.0010601+0.00036794i,0.0008922+9.58e-05i,0.00034586-0.00032093i,-0.00026223-0.00050772i,-0.00065039+3.2191e-05i,-0.00097537-0.000515i,-0.00077563-0.00105i,-0.00037554-0.0010697i,-0.00038099-0.00074781i
-0.00016702+0.0012288i,-0.00072304+0.0016278i,-0.00021006+0.0014466i,0.0011788+0.00098777i,0.0016087-0.00048051i,0.0011435-0.00091618i,0.0012646-0.0009298i,0.0010697-0.0012503i,0.00046907-0.0003719i,0.00049143+0.00023463i,0.0010581+0.00083502i,0.0013082+0.00083692i,0.00049434+0.00041876i,-0.00010486+0.00015341i,-0.0002561-0.00017196i,-0.00061396+0.00039243i,-0.00072808+0.00090359i,-0.00024108-0.00016323i,-2.045e-05-0.00069774i,1.6992e-05-6.8116e-05i,0.00052857+3.319e-05i,0.0008252-0.00013845i,0.00061318-0.00029658i
0.0016158-0.0011808i,0.0011703-0.0016566i,0.0014258-0.0012765i,0.001674-0.0018465i,0.0011728-0.0012452i,0.0001578-0.00069681i,-9.031e-05-0.0005103i,0.0002998-0.00062385i,0.00029731-0.0012414i,-7.7255e-05-0.00071008i,0.00063761+0.0007246i,0.00086672+0.0010519i,0.0004401+0.00034893i,0.00085664+0.00011039i,0.0006247-0.00035013i,-4.109e-05-0.0012174i,-0.00033151-0.00093751i,-4.9159e-05+3.1384e-05i,-0.00025354+2.1146e-06i,-0.00070307-0.00042703i,0.00011069-0.00053216i,0.00045734-0.00093302i,9.7479e-05-0.00029475i
-0.00045782+7.2444e-05i,-0.0014782+8.5673e-05i,-0.0010629+0.00030408i,-6.7033e-05+0.00012438i,0.00046323-0.00029561i,0.00053034-0.000333i,0.00076584-0.0003516i,0.00075612-0.00087363i,0.0002985-0.00015182i,-0.00039677+0.0010881i,-0.00036189+0.0013807i,-0.00024857+0.001455i,0.00027765+0.0020089i,0.00061393+0.0013542i,0.00067892+0.00026042i,0.00091995+0.0002516i,0.00068887+0.00048211i,0.00031202+0.00031889i,2.8834e-05+0.00033197i,-1.0357e-05+0.0010253i,0.00042049+0.0011802i,0.00040346+0.00041872i,-0.0005237-0.00061924i
-0.00081677-0.00041919i,-0.00067486-0.00084347i,-2.3092e-05-0.00099813i,0.00036159-0.00066948i,0.0011483-0.00092381i,0.0013908-0.0012318i,0.00032869-0.0013479i,0.00057677-0.00079826i,0.0012989+8.0543e-05i,0.00061701+0.00043134i,0.0005979+0.00068603i,0.0011523+0.00058091i,0.00081611+0.00040785i,-0.00041035+6.0474e-05i,-0.0011126-0.00020234i,-0.00059708-0.00015536i,1.3352e-05+0.00035067i,7.49e-05+0.0002512i,0.00010416-0.00066562i,0.00045314-0.00094163i,0.00031503-0.00053361i,-0.00010714-0.00010594i,4.3741e-05-0.00014909i
5.603e-05-0.0024823i,0.00039893-0.0013976i,2.409e-05-0.0016703i,-0.00054508-0.00095796i,-0.00080935-0.000198i,-0.00016951-0.00019217i,0.00067865-0.00015504i,0.00098201+8.6861e-05i,0.0009665+9.3288e-05i,0.00035893+0.00053749i,0.0003484+0.0012143i,0.00067837+0.00054383i,0.0006983-0.0001177i,0.00052613-3.7346e-05i,0.00024064-0.00051177i,0.00016561-0.0009187i,0.00019568-0.0012484i,0.0005514-0.0012195i,0.00071601-0.00060359i,0.00018718-0.00080335i,-0.00022307-0.0011412i,0.00043137-0.00052999i,0.00031727-4.8058e-05i
-0.00016582-4.8163e-05i,-0.00028829-0.00035852i,-0.0010223+0.0013294i,-0.00098509+0.0014983i,0.00083421+0.00032195i,0.0017989-0.00018572i,0.0018789-0.00026467i,0.0018367-0.00026441i,0.0014098-0.00045692i,0.001148-0.00044157i,0.00027113-5.0783e-05i,-0.00043296+0.00049721i,-0.0001742+0.00034497i,1.1217e-05-0.00050368i,-0.00025394-0.00061702i,4.3043e-05-0.00048395i,0.0003511-0.00010555i,0.00024565-2.1126e-05i,-0.00011714+9.0245e-05i,-0.00037494+0.00076489i,-0.00051783+0.00095055i,-0.00033768-0.00019987i,0.00027362-0.00096976i
-0.0014924-0.00033934i,-0.00085593+0.00047202i,-0.00054699+0.0013702i,0.00052706+0.0010736i,0.0016663+0.00032254i,0.0017365-0.00070312i,0.0013714-0.0010236i,0.00051951-0.00065283i,0.00052386-0.00080565i,0.0016449-0.0010091i,0.0018754+0.00014137i,0.0016318+0.00056868i,0.00054227-0.00033946i,-0.0010325-0.00018163i,-0.0013273+4.0677e-05i,-0.0010825-5.2974e-05i,-0.00049333+0.00034627i,7.8046e-05+0.00021717i,0.00044714-0.00030923i,0.00071396+0.00011581i,0.00016651+0.00010625i,3.6573e-05-0.00040565i,-9.4256e-06-0.00055461i
-0.0019039-0.0022471i,-0.0024314-0.0012182i,-0.0028151-8.1338e-06i,-0.0017483+0.00059929i,-0.00010809+0.00073867i,0.00095144+0.00020364i,0.00073869-0.00038434i,-0.00032283-0.00034627i,-0.00039098-0.00081514i,0.00043839-0.00045445i,0.00097253-5.9728e-06i,0.0012214+7.0436e-05i,0.0013223+0.00017008i,0.00070446-0.00067299i,0.00012431-0.00068583i,0.00022231+0.0001519i,0.00031723+0.00037496i,0.00036122+0.00013075i,0.00012911-0.00023744i,0.00011822-0.00028276i,0.00026152+0.00018666i,-0.00018503+0.00078934i,-0.00021011+0.0011031i
9.1679e-05-0.00052062i,0.00075713-0.00020518i,0.0012096+0.00050866i,0.001073+0.00084085i,0.00044745+0.00073015i,0.00048083+0.0002411i,0.00049681-0.00048524i,0.00030244-0.00017908i,-2.9952e-05+0.00017567i,6.8782e-05+0.00080508i,0.00035794+0.0016443i,0.00078199+0.00049667i,0.001116-0.00022805i,0.0007032+0.00025599i,0.00018479+0.00052295i,0.00025773+0.000406i,0.00044773+0.00031392i,0.00060781-0.00021292i,0.00043384-0.00049078i,-5.4456e-05-0.00018378i,-0.00046972+0.00098603i,-0.00024788+0.0010988i,0.00025241+0.00035405i
0.00074392-0.0014912i,0.0009521-0.00048989i,-3.6111e-05-0.00014272i,-0.00077915+0.00010441i,-0.00049729+0.00028126i,0.00010696-0.00013089i,0.00062689+9.4908e-05i,0.0006321-2.3725e-05i,0.000163-0.00069322i,-0.00040971-0.0008414i,-0.00038021-2.8175e-05i,0.00015048+0.00021897i,0.00088678+0.00029186i,0.0001357-4.6537e-05i,-0.00088986-0.00063226i,-0.0008662-9.0405e-05i,-0.0012056-0.00016208i,-0.00092234-0.00020325i,0.00013957-8.3253e-05i,0.00034521-0.0004681i,0.00047711+7.6334e-05i,0.00087904+0.00059996i,0.00071352+0.00027327i
0.00081144-0.0012014i,0.0010498-0.0011916i,0.0015738-0.0014219i,0.00059699-0.0011252i,0.00025988-0.0011209i,-0.00057748-0.0011641i,-0.0013104-0.0010445i,-0.00059869-0.0011239i,0.00011986-0.00058134i,-8.0032e-05-0.00028382i,0.00046654-0.00053733i,0.0010738-0.00035244i,0.00099495-0.00024418i,0.0010329+2.7057e-05i,0.00096565+0.00012148i,0.0008454+0.0003813i,0.00049195-0.00013965i,0.00053647-0.0005042i,0.0005425-0.00051576i,0.00031728-1.3426e-05i,0.0004458-2.7417e-05i,0.0002061-0.00031187i,-0.00069342-2.4953e-06i
0.00027228+0.0013774i,0.0014343+0.0016101i,0.0019642+0.0014814i,0.0021791+0.0003686i,0.0024871-0.00038208i,0.0018853-0.00064255i,0.00085324-0.00029915i,0.00041326-3.5455e-06i,0.00095338+8.1359e-06i,0.0013779-4.2496e-05i,0.0010296-5.8618e-05i,0.0007518+6.6572e-05i,0.00078843-0.00057692i,0.00036979-0.0013221i,0.0001517-0.00022451i,0.00028903+0.00052412i,0.00021558-7.5289e-05i,7.4142e-05-0.0003637i,0.000584+0.00042323i,0.0012463+0.00061832i,0.00094973+0.00023809i,0.00075004+0.00039008i,0.00072585+0.0011318i
-0.0012818+0.0033573i,-0.0021662+0.0034218i,-0.001766+0.0029634i,-0.00035737+0.0017741i,0.00032642+0.00087455i,0.00049259-0.00013738i,-0.00036277-0.0006673i,-0.00081011-0.00020092i,-0.00038838+0.00074264i,-4.6989e-05+0.001439i,0.00026495+0.001676i,0.00036517+0.00065667i,0.00022293-0.00069714i,7.2366e-05-0.0004525i,-6.0445e-06+0.00087357i,-0.00022255+0.0011226i,-0.00030643+0.00029323i,0.00020523+0.00026549i,7.4837e-05-0.00026346i,-0.00061582-0.00064633i,-0.00032467+0.00011393i,-0.00034425+0.00042824i,-0.00086429+0.00040746i
-0.0016132-0.0017759i,-0.0013966-0.0014505i,-0.00067441-0.001177i,0.00018213-0.0010025i,0.00044886-5.0339e-05i,0.0008327+0.00093103i,0.0013164+0.00084138i,0.0017621-0.00065193i,0.0016606-0.00084909i,0.000663+0.00052733i,7.815e-05+0.001166i,0.00041193+0.0012206i,0.0011151+0.0010873i,0.00055196+0.00067434i,7.5387e-07-0.00039457i,0.0001177-0.00073717i,0.00038061+0.00019367i,-9.9356e-06+0.00074349i,-0.00050064+5.9156e-05i,-0.00037385-0.00036477i,-0.00055311+0.00051816i,-0.00088364+0.00043728i,-0.00044076+0.00015384i
0.0013635+0.00063071i,0.0019642+0.001032i,0.0012622+0.00087022i,0.0012816-4.0117e-05i,0.00074541-0.00071587i,0.0004418-0.00062744i,0.0017057-0.00071711i,0.0016297-0.0011261i,0.00084522-0.00059944i,0.00094193+7.6503e-05i,0.00053658+6.6699e-05i,-0.00010607+0.00016398i,-0.00016162+1.2714e-05i,-1.388e-05+0.00015324i,-0.00020956+0.00052339i,-0.00012115+0.00044965i,0.00025057-5.0349e-05i,0.00017206-0.00015949i,-0.00022155-0.00044998i,0.00034314-0.0011227i,0.00098006-0.00056491i,0.00016426+0.00060763i,-0.00054539+0.00056316i
0.00079212-0.002703i,-0.00024863-0.0036987i,-0.0011203-0.0043069i,-0.0013651-0.0022124i,-0.00047307+0.00025371i,0.00064402+0.0006289i,0.00042226-7.4644e-05i,-2.1919e-05+3.3762e-06i,0.00013319-0.0003733i,9.3971e-05-0.00071441i,0.00029538-6.1535e-05i,0.0007361+0.00038846i,0.00052006+0.00051681i,0.0003185+4.5808e-05i,0.0004639-0.00035443i,0.0010479-0.00022016i,0.0012902-0.00020989i,0.00053629-0.00015306i,-0.00018913-1.2035e-05i,-0.00051139-0.00030514i,-0.00044427-0.00048353i,3.5155e-05-0.00077199i,-0.0002588-0.00017176i
-1.7422e-05+0.00010667i,0.00020564+0.00019237i,0.00027584+0.00032272i,0.0015209+0.00069283i,0.0019448+0.00076766i,0.0013376+0.00015481i,0.0007811-0.00022557i,0.00072578-7.8969e-05i,0.00057155-0.00044021i,-6.7524e-06-0.00012487i,0.00045254+0.00049175i,0.0009559+0.00013119i,0.00061368-4.9964e-05i,0.00052954-5.3415e-05i,0.00022816-0.0001112i,0.00022853-0.00076439i,0.00015983-0.00066685i,-0.00021027-0.00031485i,-0.0005947-0.00019792i,-7.4484e-05-0.00012715i,0.00045628+0.00019742i,0.00019103+0.00041783i,-0.00017565+0.00031044i
-0.0019909+0.00024245i,-0.0026225+0.00092101i,-0.002165+0.0019796i,0.00032923+0.0018198i,0.0018128+0.00058696i,0.0022796-0.00035654i,0.0016178-0.00070466i,0.00062718-0.0005534i,0.00065763+4.8256e-05i,0.00057833+0.00029327i,0.0007025-0.00043093i,0.00050148-0.00046169i,-0.00015221-0.00076914i,-0.00045983-0.0011306i,-0.00052863-0.00093823i,-0.00036782-0.00079693i,-3.0556e-05-5.7942e-05i,0.00024251+0.00015466i,0.00059127+0.00033331i,0.00042346+0.00027027i,1.451e-05+0.00030289i,-0.0001445+0.00068191i,-0.00054883+0.00041745i
-0.00026751-0.0017925i,-0.0001302-0.0010811i,-0.00072115-0.00072126i,-0.00036393-0.00016907i,-0.00036097+9.4511e-05i,-2.3712e-05+0.00023558i,0.00045826+0.00025342i,0.00073276+0.00010594i,0.00044121-0.00045279i,-0.00040646-0.00097529i,-0.00065944-0.00023451i,-0.00041131+0.00027659i,0.00068225-0.00018621i,0.0016249+0.00058412i,0.0012246+0.0008212i,0.00094558+0.00039426i,0.0002467+6.3935e-05i,-0.000218+0.00010773i,0.00018137+0.000235i,0.00011472-0.00049779i,-0.00068137-0.00029111i,-0.00095783+0.00023714i,-0.00075794-0.00025294i
0.0034111+0.0010554i,0.0037192+0.00031199i,0.0036653-0.0012743i,0.002404-0.0014424i,0.00063871-0.00061254i,-0.0003514-0.00099031i,-0.00029725-0.0010695i,0.0008303-0.00072455i,0.00055756-0.00020432i,-0.00077264+0.0001509i,-0.00096869+0.00051296i,-0.0006713+0.0017084i,-0.00012591+0.001529i,0.00026164+0.00056897i,0.00036783+0.000525i,0.00022845+0.00077633i,0.00028483+0.0010235i,0.0005699+0.00083185i,8.4898e-05+0.00076193i,0.00014079+0.00096438i,0.00089282+0.00068246i,0.00047783-0.00046501i,0.00010716-0.00047622i
-0.00033891+0.0029309i,0.00015244+0.0044587i,0.0012513+0.003813i,0.0015761+0.0018754i,0.0018119+0.00071984i,0.0013162-7.2041e-05i,0.00010175-0.00046939i,1.5521e-06-0.00095956i,-4.7852e-05-0.0010445i,-0.00017649-1.2736e-05i,0.00074951-0.00013273i,0.0015594-0.00087209i,0.0014195-0.00085122i,0.00043326-0.00037946i,-0.00051335+0.00055771i,-0.00034366+0.0010026i,0.00053303+0.00019372i,0.00072651-0.00020548i,0.00077873+0.00034233i,0.00060089+0.00037759i,0.00056686-0.0001497i,0.00048891+9.3598e-05i,0.00060349-0.00018675i
6.8794e-05-0.0014659i,-9.6822e-05-0.0018668i,0.00021435-0.0012085i,0.0002877-0.00056055i,0.00027854-0.00082249i,0.00051551-0.00093244i,0.00021775-0.0014019i,0.00012171-0.0015269i,-0.00017348-0.00074477i,-0.00011211-0.00061834i,0.00060761-0.00010273i,0.00068403+0.0009035i,0.00012382+0.00096562i,-0.00031574-7.318e-05i,-0.00068616-0.00060855i,-0.00061967-0.00053626i,-0.00040631-0.00026153i,-0.00035747-0.00037659i,0.00010902-0.00036238i,0.00035968+0.00021473i,0.00043872+0.0004521i,0.0005051+0.00039738i,0.00029654-0.00011749i
0.00030894+0.0011725i,0.00061652+0.0010482i,-4.4218e-05+0.0012871i,-0.00063511+0.0011301i,-0.00019019+0.00045925i,0.00072111-0.00051767i,0.00082094-0.001216i,0.00054794-0.00099453i,0.00070534-1.1804e-05i,0.00030931+0.00029234i,-0.00025116-0.00027549i,0.00020653-0.00048918i,0.0011269-0.00022785i,0.00087969+0.0005204i,-0.00057119+0.00078209i,-0.0013868+0.00042583i,-0.0009274+0.0002194i,-0.00048791-0.00046855i,3.2659e-05-0.0010609i,0.0007966-0.00094176i,0.0010936-0.00039645i,0.0012315+0.00056941i,0.00091174+0.00082122i
-0.00085796-0.00057353i,-0.00080462+0.00028831i,0.00049872+0.00094391i,0.0011634+0.00038619i,0.001613+3.2304e-05i,0.0010672+0.0002453i,1.874e-05-0.000289i,-0.00026609-0.0012121i,5.6622e-05-0.0013005i,0.00051551-0.00036675i,0.00087902-3.1246e-05i,0.00061514+0.00045703i,0.00056584+0.0008515i,0.00097887-0.00028934i,0.00072711-2.2904e-05i,-5.1284e-05+0.00052743i,0.00067374-0.00035055i,0.0012766-0.00074213i,0.00065863-0.00077815i,0.00058522-0.00083169i,0.00092282-0.00051322i,0.00054054+0.00063759i,-0.0004053+0.0013535i
