0.0015696-0.00080173i,0.00097343-0.0012242i,-0.00012916-0.002321i,-0.0020679-0.0021937i,-0.0032766-0.00077987i,-0.0035263+0.00076641i,-0.0023345+0.0026768i,-0.00073705+0.0022915i,0.00070068+0.00056001i,0.0018116-0.00045847i,0.0013579-0.0014295i,2.1929e-05-0.0012045i,-0.00098467+9.6701e-05i,-0.0013678-0.00024256i,-0.0013902-0.001171i,-0.0012222-0.0013536i,-0.00041261-0.001424i,0.0004653-0.00091117i,0.00024857+0.00017801i,-0.00063203+0.00044472i,-0.00063445-4.1235e-05i,7.404e-05+1.0984e-05i,0.00044476+0.0005393i
-0.00024771-0.0019479i,-0.00061459-0.0026704i,-0.00081918-0.0026604i,-0.0011853-0.0015446i,-0.0019909-0.00073089i,-0.0020062-0.00015601i,-0.0013531+0.00021157i,-0.00035921+0.00064856i,0.00028434-7.1181e-05i,0.00047805-0.0013021i,0.00030325-0.001433i,3.5731e-05-0.0013338i,-0.0004693-0.0013508i,-0.00099069-0.00028284i,-0.0010631+0.00027973i,-0.00023033+0.00041501i,0.00013234+0.0010651i,-0.00020185+0.00088663i,7.9031e-05+0.00054506i,0.00054934-0.000197i,0.0006683-0.00098066i,0.00070561+0.00027052i,0.00046687+0.00091952i
-0.0010038-0.0014992i,9.5318e-06-0.0018594i,0.00033189-0.00035729i,5.3397e-05+0.0009509i,-0.00034977+0.00063439i,-0.00063291-0.00015288i,-0.00023814+0.00023521i,0.00021099+0.00062159i,-0.00034091+0.00020855i,-0.0012685+1.7137e-05i,-0.00070079-0.0003819i,-0.00036781-0.00013023i,-0.00055057+0.00020547i,-0.0010655-0.00033089i,-0.0013042-0.00059725i,-0.00053682-0.00018979i,-8.0144e-05-0.00030783i,0.000385-0.00024014i,0.00071874-0.00015436i,0.00049568-0.00030188i,-0.00022945-0.0005001i,-0.00047294-0.00057349i,-0.00032969-0.00036848i
-0.00042273-0.00023252i,-0.0010149-0.00092405i,-0.0018596-0.0019237i,-0.0012602-0.0010216i,-0.00085364+3.0009e-05i,-0.0012141-0.00015556i,-0.00053638+0.00025928i,0.00011813+0.00056681i,0.00017104+3.6588e-05i,1.7309e-05-0.0002098i,0.00015481+4.0437e-05i,8.6579e-05-0.00048587i,-0.00017587-0.00069422i,-0.00017205-0.00016233i,-4.5644e-05-0.00043533i,0.00038831-0.00012786i,0.00087475+0.00052655i,0.00086376+0.00041062i,7.6385e-05-9.1009e-05i,-0.00034114-0.00058622i,-0.00066805-0.00043257i,-0.0013416+0.00027494i,-0.00095817+0.00090165i
0.00086422+0.0014406i,0.00062053+0.0015888i,0.0017927+0.00084243i,0.0018774-0.00055116i,0.00017077-0.0017653i,-0.0015426-0.00071952i,-0.0010417+0.001197i,0.00095791+0.0012792i,0.0020292+0.00070437i,0.0018944+0.00035984i,0.0013285-0.00025959i,0.00041159-0.00052757i,-0.00046692-4.808e-05i,-0.00064015+0.00036181i,-0.00048279+0.00013295i,0.0002174+2.9129e-05i,0.00057725+0.00011984i,0.00018019-0.00018327i,-0.00077411-0.00043621i,-0.0011126-0.00059445i,-0.00013584-0.00071461i,0.00046095-0.00024482i,0.00067126-0.00012855i
-0.00087597-0.00036203i,-0.00075015-0.00060499i,-0.0016446+0.00033362i,-0.002355+0.00012399i,-0.0022966-0.00044393i,-0.0023421-0.00091469i,-0.0015041-0.00041997i,-0.00043566+0.00025214i,-3.589e-05-0.00051157i,-0.00021073-0.00079316i,-0.00048404-0.00039991i,-0.00077983-8.9197e-05i,-0.00068152+0.0004261i,-0.00068914+8.5037e-05i,-0.0006235-0.00022789i,-0.00010821-0.0002286i,0.00034091-0.00092061i,0.00027182-0.0011809i,-0.00049916-0.00070308i,-2.6363e-05-0.00045519i,0.00087268+0.00017697i,0.00050564+0.00049358i,-0.00059157+0.00035315i
0.0012886+0.0010603i,0.0010946+0.0012009i,0.00054741+0.00014692i,0.00081127-0.00055968i,-0.00024996-0.00049542i,-0.0019088-0.00024444i,-0.0019727+0.00073123i,-0.001131+0.00097746i,-0.00020843+0.00095557i,0.00091355+0.00036044i,0.00086529-0.00075849i,0.00029147-0.00078037i,0.00041447-0.00039962i,-0.00015504-0.00051367i,-0.00024692-0.00054459i,-3.8987e-05-0.00076385i,-0.0011574+0.00021428i,-0.0018379+0.00097092i,-0.00072948+0.00013376i,0.00016334+0.0003402i,0.0002488+0.00067551i,-4.7253e-05+0.00015693i,-0.00017479+0.00011109i
-0.0006137-9.7834e-05i,-0.0013429-0.0012129i,-0.0020085-0.0019999i,-0.0016511-0.0021755i,-0.0017373-0.00085371i,-0.0019522-0.00013169i,-0.00035061+0.00024562i,-1.3128e-05-1.2014e-05i,-0.00021109-0.0005258i,-0.00025975-0.00062517i,-0.0015165-0.000432i,-0.0014913-0.00042678i,-0.00033048-0.00053286i,-0.00024196-1.1483e-05i,0.00015591+0.00052619i,0.00099039-0.00015125i,0.00049034-8.8837e-05i,6.981e-05-0.00016234i,-0.0001721-0.00060845i,-0.00059368-0.0011024i,-0.00033151-0.0016946i,0.00028321-0.00098638i,0.00061211+6.6515e-05i
-0.0010288-0.00052174i,-0.00055607+0.00034384i,-0.00041369+0.001531i,-0.00032301+0.0011355i,-0.001497+0.00030148i,-0.0017408+0.00035443i,-0.00065531+0.00052159i,-0.0005409+0.00035572i,-0.00053778+0.00021818i,0.00031474+0.00012556i,0.00046615-0.00011445i,0.00056718-0.00048733i,0.00028176-0.00037193i,-0.00056673+2.5187e-05i,-0.00035275-0.00041212i,0.00040724+0.00024766i,0.00020776+0.00089935i,-0.00028695+0.00043867i,-0.00011539+0.00026632i,-0.00013676+0.0006633i,-0.00062139+0.00095621i,-0.0010417+0.00044442i,-0.00069765-0.00058211i
-0.00047814+0.001239i,-0.00039558+0.00054693i,-0.00023538+0.00046743i,0.00012636+0.00062785i,0.00016026+0.00060679i,-0.00044221+0.00079161i,-0.00098235+0.0011757i,-0.0011612+0.0015526i,-0.00043604+0.00084429i,0.00054219-0.00026852i,0.00075652-0.00051718i,0.00065106-7.6196e-05i,0.00035927+0.00049541i,-8.5044e-05+0.0013682i,6.5509e-05+0.00057986i,-0.00017336-0.00072347i,-0.00046171+0.00028481i,-0.0006776+0.00082206i,-0.00015249-3.2452e-05i,0.00070422-0.00076002i,0.0010418-0.00097398i,0.0013945-0.00080051i,0.0014378-0.00051889i
-0.0028843+0.0016841i,-0.0012985+0.00028478i,-0.0014175+0.00027524i,-0.0016674+0.00057448i,-0.00090772+0.00068293i,-0.00069715+0.0002323i,-0.00093193+0.00028236i,-0.00067341+0.00043515i,-0.00053635+9.0537e-05i,2.7686e-05-0.00055166i,0.00069287-0.00052986i,0.00099949-0.00059589i,0.00048763-0.00078275i,-5.1855e-06-0.00020045i,0.00010171-0.00026907i,-0.00038735-0.00021318i,-0.00080554+0.00033127i,-0.00047205+0.00019752i,-0.00038862-0.00055992i,-0.00022767-0.00090504i,0.00018347+6.0368e-05i,-1.2311e-05+0.00026225i,-0.00054091-6.0604e-05i
0.00079394-0.00010223i,0.00016128+0.00022604i,0.0001427-0.00015305i,-0.00052374-0.001132i,-0.00076411-0.0016376i,-0.00061039-0.00037119i,-0.00039721+0.0010725i,0.00021999+0.0015184i,0.0010076+0.0010492i,0.00090085+0.00022677i,-0.00017851-0.00015396i,-0.00035001-0.00075016i,6.1091e-05-0.00054415i,0.00037226-0.00057143i,-5.3544e-06-0.00034761i,0.00024093+0.00023091i,0.00069121+9.4242e-06i,0.00034108-0.00042598i,-0.00053094-0.00043402i,-0.00082063-0.00033104i,0.00026636+0.00047179i,0.00052422+0.00094076i,-0.0002006-0.00024733i
-0.0020729+0.00055341i,-0.0025842-0.00062577i,-0.0025409-0.00050852i,-0.0022064-0.00062598i,-0.0021784-0.00032505i,-0.0026483-0.00018137i,-0.0015379+7.9259e-05i,-0.0008011+0.00025743i,-0.0013366+0.00010737i,-0.00024158+0.00060695i,0.00090835+0.00021973i,0.0011023-0.0012927i,0.00085522-0.00097947i,0.00069865+0.00024537i,0.00094821+0.00033956i,0.00069185+0.0004077i,-0.00011419+0.00012911i,-0.00036988-0.00059559i,-5.7408e-05-9.9182e-05i,-0.00037698+0.0011383i,-0.00018898+0.00077717i,0.00024154-0.00020058i,-3.8885e-06-0.0010089i
-0.00089172+0.0013239i,-0.00091984+0.001222i,0.00032611+0.00077367i,0.00093638+0.00035654i,1.8837e-05+0.00078459i,-1.0189e-06+0.0010896i,0.00023612+0.0011276i,0.00065557+0.0011512i,0.001567+0.00083358i,0.0012235+0.00022205i,0.00019707-0.00043534i,0.00014451-8.0989e-07i,0.0004642-0.00027161i,0.00031904-0.00071903i,-4.3776e-05-0.00017292i,-0.0007076-0.00032802i,-0.00058913-0.00064284i,0.00013025-0.00018349i,0.00070391-0.00051709i,0.00097201-0.00099271i,0.0007019-0.00049776i,-0.00018283+0.00059894i,-0.00044857+0.00048924i
-0.0018673+0.00013788i,-0.0022711+0.00012707i,-0.0014734+0.00011626i,-0.00056071-0.00037353i,-0.00024417-0.00085544i,-0.00084099-0.00055796i,-0.0009176+0.0005601i,-0.00061359+0.00074186i,-0.00047693+5.3624e-05i,0.00036293-0.00017339i,0.0012981+5.3351e-05i,0.00058634-0.00012581i,-0.0005032-0.00045728i,-0.00024582-0.00026599i,0.00047621+0.00010567i,0.00045062-0.00065072i,0.00025092-0.00050209i,0.00016645+0.00013906i,0.00027755+2.6366e-05i,0.00071624+0.0004928i,0.00055082+0.00073088i,-0.00026388-0.00011934i,-0.0005995-0.0010481i
-0.00016378-0.0014871i,-0.0012244-0.0020612i,-0.0018445-0.00099916i,-0.0013565-0.00014678i,-0.001146-0.00019285i,-0.0012256-0.00019939i,-0.001053+0.00078489i,-0.00096127+0.0010818i,-0.00017192+0.00027394i,0.00047739+6.0543e-05i,0.00059466+5.397e-05i,0.00056385+0.00013659i,-3.2432e-06-1.5131e-05i,-0.00035373-0.00016929i,-0.00022978-0.00052843i,0.00053858-0.0007736i,0.0010603-0.00031713i,0.0009959-0.00044401i,0.0002358-0.00020363i,0.00035657+0.00057265i,0.00023344-1.1827e-05i,-0.00052445-0.0010956i,-0.00048804-0.00070128i
0.00030013-0.0015206i,1.0499e-05-0.00022873i,-0.00098682+0.0003608i,-0.002352-0.00018091i,-0.0025723+0.000324i,-0.0020644+0.00072847i,-0.0014146+0.00038465i,-0.00079294+0.00021569i,-0.0012462-0.00010825i,-0.00080278-6.908e-06i,3.1761e-05+0.00024681i,0.00052295-6.4501e-05i,0.00039476+0.00015699i,-0.00091065+0.00016364i,-0.0015454-7.4286e-05i,-0.00082807+1.5403e-05i,-0.00033842-0.00024899i,-4.2306e-05+0.00014165i,-0.00012845+0.0005467i,-0.00031551+3.3852e-05i,-0.00090404-7.9565e-05i,-0.00082828-0.00010008i,-0.00037569-0.00013452i
-0.001392+0.00074982i,-0.0012207-9.2354e-05i,-0.0010329-0.00039696i,-0.00082744-0.00040008i,-0.0016137-0.0010088i,-0.0014649-0.00018285i,-0.0008684+0.0010787i,-0.00078236+0.00073482i,-0.00031137+0.0014016i,4.06e-05+0.0019429i,0.00060571+0.0011193i,0.00043362+0.00035489i,0.00017046-0.00065999i,0.00050328-0.00084041i,0.00054092-0.00037345i,0.00078353-0.00023645i,0.00075581-0.00021485i,-0.00018062-1.7441e-05i,-0.0010359-9.1273e-05i,-0.00024053-0.00060583i,-0.00010544-0.00051626i,-0.00073207+0.00021195i,-0.00027391+0.00078337i
0.00099051-2.3273e-05i,0.00060609+0.00020911i,0.0010165-0.00052778i,0.00032222-0.0025359i,-0.0013346-0.0029324i,-0.002589-0.0011874i,-0.0021299+0.00034893i,-0.00057342+0.00084845i,0.00094851+0.00052583i,0.001435-4.9219e-05i,0.0013754+0.00028654i,0.00051395+0.00011043i,-0.0010315-0.00074496i,-0.0014992-0.0012405i,-0.00056155-0.0011725i,-0.00025365-0.00057643i,-0.00055586-0.00034746i,0.0001632-0.00025933i,0.00086488-9.1186e-05i,0.00042647-0.00052682i,9.4416e-07-0.00082621i,-0.00020322-0.00054336i,-0.0006106-0.00034235i
-0.00015155-0.002258i,-0.0014832-0.001853i,-0.0012744-0.0019605i,-0.0017415-0.0014981i,-0.0025892-0.0013027i,-0.0023707-0.00056291i,-0.0022133+0.0006185i,-0.0010634+0.00073479i,-0.00039892+0.0004834i,-0.00037932-0.00035307i,0.00042617-0.0012642i,0.00039263-0.0016423i,-0.00016289-0.0011424i,-0.0007393-6.1338e-05i,-0.0013173+0.000389i,-0.00070574+0.00031214i,0.00029531+0.00018886i,-0.0001444+0.00033538i,-0.00051396+0.00059798i,-0.00079205+0.00071131i,-0.00086035+0.00020025i,-0.00063112-0.00036644i,-0.00066071-0.0008339i
0.00030615-0.0013539i,-0.00037304-0.0012835i,-0.0010944-0.0004914i,-0.00088285-0.0003881i,-0.0010103-0.001562i,-0.0019251-0.00089013i,-0.0018027+0.00055728i,-0.00015209+0.00043252i,0.00073006-0.00036636i,0.00015306-0.0010239i,-0.00033192-0.00051859i,-0.00056865+0.00026116i,-5.7189e-05+8.1637e-05i,-0.00011453+0.00048056i,-0.00088623+0.00098433i,-0.00057565+0.0013811i,-0.00028734+0.00032988i,-0.00087226-0.0006463i,-0.00052951-0.00024765i,0.0005778-8.7208e-05i,0.00063941-0.00050792i,-5.0299e-05-0.00062928i,5.9465e-05+6.2289e-06i
-0.000352+0.00075419i,-0.00076141+0.00040966i,-0.0005661-0.0005449i,-0.00047147-0.0013504i,3.0646e-05-0.00096781i,-0.00079221+0.00016404i,-0.0011771+0.00088245i,-8.8617e-05+0.0007614i,0.00028946+0.000864i,-7.7339e-06+0.00019866i,0.00090474-0.0011715i,0.0017678-0.0012397i,0.0012699-0.00072518i,7.9155e-05-0.00033332i,0.00019045-0.00021083i,0.00052057+0.00014047i,0.00051402+0.0010601i,0.00030101+0.00095123i,9.3195e-05+0.0002714i,0.00019083-1.4685e-05i,0.00011936-0.00012965i,-0.00027649-0.00033152i,-0.00053126-0.00034522i
-0.0020292+0.0025426i,-0.0011579+0.0016879i,0.00041183+0.0026923i,0.0020367+0.0024538i,0.0023895+0.00030585i,0.0011166-0.0001068i,-0.0001254+0.00080682i,-0.001309+0.00096082i,-0.00085331+0.00082827i,0.00042066+0.00060281i,0.00090597-4.9581e-05i,0.00069698-0.00043161i,0.00087096-0.00063512i,0.00099602-0.00012829i,0.00057276+0.0001299i,0.00015842-0.0010333i,0.00040538-0.0016542i,0.00022378-0.0007163i,5.2652e-05+0.0003879i,0.00051889+0.00025893i,0.00018928-0.00017817i,-0.00021447+0.00032458i,0.00022039-0.00012822i
0.00047267+0.00012187i,-0.00041584-0.00045773i,-0.00051374-0.00072937i,-0.00033894-0.001005i,-0.00099445-0.0012593i,-0.0018125-0.001099i,-0.0010081-0.00013688i,-0.00041759-0.00028716i,-0.00023307-0.00028445i,-0.00044515+0.00021006i,-0.00046535-0.00036618i,-0.00027701-0.00045024i,-0.00043276+8.8685e-05i,-0.00055474+0.00066414i,-0.00030499-0.0001206i,-0.00060183-0.00034249i,-0.0011029-0.00040369i,-0.00053066-0.00081303i,0.00028987-0.00066031i,0.00018971-9.6792e-05i,0.00016202+0.00035278i,0.00025597+0.00013432i,-0.00065369+6.0892e-05i
-0.00089409+9.8507e-05i,-0.00081843-0.00018143i,-0.0006838-0.00027941i,-0.00070071+0.00026742i,-0.0013157+0.00035538i,-0.00074091-0.00020123i,0.00010669-0.00033874i,0.00056222-0.00041266i,0.00072331-0.00047224i,0.0008672-0.00027119i,0.00056237-0.00016302i,0.00046132-0.00052129i,9.3773e-05-0.00092221i,-2.9515e-05-0.00063414i,-0.00043639+0.00020528i,-0.00058803+0.00060861i,-5.4231e-05+0.00087472i,-0.00024918+0.0010411i,-0.00057216+0.00089054i,-0.00061953+0.00040049i,2.8534e-06-0.00035781i,0.00053614-0.00036079i,0.0004908-0.00022449i
-2.7397e-05-0.00053288i,-0.00071588-0.00036499i,-0.00080176-0.00016153i,-0.00066082+0.00027909i,-0.0010467+0.00072382i,-0.0010845+0.00092481i,-1.8886e-05+0.0011804i,0.00019027+0.00098741i,8.8847e-05+0.00045169i,8.054e-05+2.2429e-05i,-0.00010723-0.00020786i,0.00021258+2.7984e-05i,0.00070967+0.00015855i,0.000406-7.8652e-05i,9.8761e-05+0.00023994i,0.00035659+0.00070001i,0.00018042-0.00013521i,0.0002629-0.00066675i,0.00011373-0.00050668i,-0.00026622-0.00032543i,2.3258e-05+0.0002695i,0.00022118+0.00096913i,-0.00016799+0.0014457i
-0.0016222-0.00046447i,-0.0019173-0.0011112i,-0.0010449-0.00072902i,-0.00063061-0.00046398i,-0.00069603-0.0010528i,-0.00086458-0.00066401i,-0.00065532-0.00027612i,-7.6077e-05-0.0002417i,0.000368-0.0001386i,0.00047827-0.00022877i,0.00075439+0.00024564i,0.00058892+0.00066971i,0.00052193+0.00016367i,0.00089306+4.5215e-05i,0.00059558+0.00025041i,0.00024223+0.00066101i,-0.00029862+0.00050447i,-0.00058189-5.1495e-05i,-9.721e-05+0.00065499i,0.00042676+0.00073646i,0.00034647+0.00043169i,1.3505e-05+9.7449e-05i,0.00021368+0.00026864i
0.00064827-0.00042417i,0.00036828-0.00081362i,-0.00029512-0.00057828i,-0.001635-0.00047731i,-0.0024337-0.001019i,-0.0030681-0.00026749i,-0.0028214+0.0010007i,-0.0015157+0.0004317i,-0.00053074+0.00024113i,3.4554e-05+0.00047441i,0.00052933+0.0005947i,0.000906+0.00081568i,0.00059646+0.0006132i,-0.00034787+0.00073022i,-0.00056574+0.00047174i,3.6381e-07+0.00024643i,-4.192e-05+0.00066781i,-2.8413e-05+0.0011337i,1.9164e-05+0.00071319i,-0.00042262-0.00028242i,-0.00024004-0.00092727i,0.0004359-0.00067479i,0.00085764-0.00011368i
-0.00080718-0.0005783i,-0.0013852-0.0008379i,-0.0019978-0.00068588i,-0.0017602-4.0936e-05i,-0.0014226+0.00061515i,-0.00088129+0.00072296i,-0.00024875+3.4475e-05i,0.00056512-0.00071945i,0.00076577-0.00034069i,7.4204e-05+0.00031203i,-0.00088162+0.00017359i,-0.0012277-0.00075063i,-0.00049051-0.00051749i,0.00042104+0.00013757i,0.0011134-7.952e-05i,0.00091467-0.00031456i,0.00012427-0.00073762i,-4.6481e-06-0.00088852i,-0.00015138-0.00031209i,-0.0005641-0.00017271i,-0.00059851+7.0293e-06i,7.1864e-05+0.0004112i,0.00012912-0.00021953i
-0.0011992+0.00038262i,-0.0012692-0.00048956i,-0.00051983-0.0011127i,-0.00032373-0.0017825i,-0.00036684-0.0020818i,-0.00039707-0.0010174i,-0.00066318+0.00035276i,5.8317e-05+0.00088528i,0.00020358+0.00051881i,-0.00028347-0.00024217i,-0.00010126-0.00076381i,0.00034041-0.0009338i,0.00037952-0.00044015i,-0.00039686-0.00037479i,-0.00062039-0.00046494i,-0.00012063-0.00034482i,-0.00014892-0.00070978i,-0.00087796-0.00029539i,-0.00024372+0.00043147i,-0.0003366+0.00046583i,-0.0010497+0.00018599i,0.00016174+0.00057525i,0.00090227+0.0005754i
3.5569e-05-0.0015814i,-0.00050741-0.00067818i,-0.0011706+2.2127e-05i,-0.00116+0.00047843i,-0.0014446+0.0008865i,-0.00088795+0.00076004i,-0.00025176+0.0012568i,-0.00019426+0.0010076i,-0.00027396-0.00033388i,-0.0010201+6.8828e-05i,-0.0016216+0.0008562i,-0.0011007+0.00037251i,0.00027976-0.00039429i,0.00061635-0.00019967i,-3.7501e-05+2.2238e-05i,-0.00031847-0.00040172i,-0.0001584-0.00017778i,-0.00040748-9.656e-05i,-0.00074072-0.00021465i,-0.00018723-0.00022652i,0.00016984-0.0003978i,0.00095926+0.00014423i,0.0014185-5.9912e-05i
-5.3789e-05-0.00078044i,-0.00050911+0.00087378i,-0.00088708+0.0010284i,-0.00098252+0.00018501i,-0.0011077+0.00011717i,-0.00093933+0.00094907i,-0.00073669+0.0010662i,-0.00050116+0.0012114i,-0.00017178+0.00093247i,-9.9988e-05+0.00023645i,-0.00028122-0.00012381i,3.6229e-05+5.0645e-06i,0.00014624+0.00054017i,-0.00077809+0.00070952i,-0.0012132+0.0004544i,-0.00066483-0.00012324i,5.6644e-05-0.00028988i,7.1106e-05-8.7858e-05i,-0.00079863-1.9822e-05i,-0.00070728+0.00011584i,0.00017832+3.9148e-05i,0.00059231+0.00020758i,0.00020207+0.0006526i
