0.00059831+4.0684e-05i,0.0010591-0.00061485i,0.0007882-0.00060599i,-0.00032288-0.00094628i,-0.0023697-0.00035891i,-0.0030349+0.0010465i,-0.0018868+0.0015534i,-0.00061825+0.0013885i,0.0005661+0.0012989i,0.0015273+0.00029633i,0.0019011-0.0012989i,0.0011656-0.0015822i,-0.00024016-0.00077642i,-0.00048726-4.819e-05i,-0.00031866-0.00054265i,-0.0003052-0.00047661i,-0.0005964+0.00062618i,0.00010899+0.00095787i,0.00068222+0.0012172i,-0.00030841+0.0013176i,-0.0002796+0.00027889i,-0.00054563-0.0010598i,-0.00017715-0.0015303i
0.0012741+0.0010897i,0.0014666-0.00017629i,0.00059807-0.0015502i,0.00029098-0.0020555i,-0.0004417-0.0013952i,-0.0010947-0.00034187i,-0.0006989-0.00013414i,-9.0585e-05+0.00044512i,0.00039107+0.0009417i,0.00054906-0.00021377i,0.00064182-0.00091419i,0.00030126-0.0010239i,0.00023757-0.00062144i,0.00059201+4.7852e-05i,0.0010697+0.00038444i,0.00049485+0.0006458i,-8.3565e-05+0.0003268i,0.00047805-2.3431e-05i,0.00050169+0.00020671i,-0.00042636+0.00040297i,-0.00074024+0.00058013i,7.7587e-05+0.00043637i,0.0006006-0.0004274i
-0.0020905-0.00084187i,-0.001634-0.0011072i,-0.0009834-0.00062307i,-0.0012845-0.00061446i,-0.0018518-0.0011676i,-0.0017863-0.0010218i,-0.0014753-0.00014515i,-0.0010358+0.00037592i,-0.00063825+0.00021857i,-0.00091343-9.6423e-05i,-0.00062163-0.00051855i,0.00021526-6.5347e-05i,0.00041275+0.00014578i,0.00104-8.6595e-05i,0.00087131-5.6699e-05i,-1.2481e-05-0.00013839i,9.028e-05-0.00034186i,0.00055675-0.00067472i,0.00037896+0.00013072i,-0.00022648+0.0006622i,-0.00018214+6.8326e-05i,-0.00018125+5.6068e-05i,-0.00045525-0.00021343i
0.00055333-0.0015881i,0.0002739-0.0010416i,-7.1172e-05+6.6103e-05i,-0.00091003+0.00040436i,-0.00085761+0.00038006i,-0.00053419+8.6095e-05i,-0.0010134+2.0004e-05i,-0.0010265+0.0006891i,-0.00057228+0.0009554i,-0.00037019+6.942e-05i,-0.00011895-0.00053235i,0.00039965-0.00086886i,0.00041581-0.0003376i,-0.00037654-2.6711e-05i,-0.00063981-0.00058016i,-0.0002977-5.4844e-05i,8.1092e-05+5.8103e-05i,0.00035857-0.00044499i,0.00029943+0.00031017i,0.00031673+0.00087344i,2.5561e-05+0.0010479i,6.5799e-05+0.0011718i,0.00058451+0.00060885i
0.0015296+0.0014849i,0.0017804-0.0001105i,0.0017645-0.0014025i,0.0013486-0.0016952i,-3.9201e-06-0.0016434i,-0.0015795-0.00047102i,-0.0019302+0.00085345i,-0.00056898+0.0008284i,0.00091795+0.00016603i,0.0015419+0.0001424i,0.0010816+0.00047392i,0.00010698+0.00017012i,-0.00023719-0.00031172i,0.00056021-0.0004421i,0.0008321-0.00041993i,-0.00012999-0.00066089i,-0.00022093-0.00071431i,4.6375e-05-0.00069909i,0.00043601-0.00040098i,0.00026376-0.0004967i,-0.00035581-0.00096446i,-0.00099236-0.00070662i,-0.0015644-0.0005882i
-0.0012368+0.0005525i,-0.00030881+0.00025552i,-2.1879e-05-0.00015766i,-0.00053001-0.00020318i,-0.0014824-0.00070543i,-0.0017543-0.0007458i,-0.0014326-3.7075e-05i,-0.00080977-0.0001312i,-0.00014214-0.00062902i,0.00021246-0.00079252i,0.00015697-0.00076662i,-5.2632e-05-0.0013447i,0.00010567-0.0014706i,-0.00015444-0.0010789i,-0.00027155-0.00074586i,0.00030352-0.00015482i,0.00057281-6.2853e-05i,0.00055837+0.00069249i,0.00083107+0.00066916i,0.00067127-0.00020659i,0.0007389-0.00015177i,0.00065541+0.00013399i,-0.00016862-9.6826e-05i
0.0013867-0.0011378i,0.00083278-0.0014048i,0.0014684-0.0016253i,4.4881e-06-0.0018325i,-0.0011186-0.0015468i,-0.00088705-0.0006572i,-0.0012416+0.00061082i,-0.0010113+0.00096848i,-0.00011104+0.00094876i,0.00039086+0.00032799i,0.00017172-0.00081774i,-4.2113e-05-0.0010442i,-9.2013e-05-0.0006329i,0.0001729-0.00060294i,-0.00063414-0.00062999i,-0.00078821-0.00028397i,0.0004303+0.00017257i,0.00052015+0.00023404i,0.00040082+0.00027618i,-8.4194e-05+0.0011824i,-0.00028295+0.0010438i,0.00031464+7.5271e-05i,8.3216e-05+0.00022134i
0.002324+0.00080866i,0.0015186+4.3095e-05i,0.00075948-0.00066218i,0.00023128-0.0015483i,0.0001286-0.001352i,-0.00087719+3.7543e-05i,-0.0014024+0.00045753i,-0.0010233+0.00091387i,-0.00027521+0.0010951i,0.00014781+0.0010137i,-0.0005579+0.00054079i,-0.0013441+6.4976e-05i,-0.00076512+8.7676e-05i,-8.9138e-05-0.00064461i,-0.00012498-0.00099344i,-0.00041594-0.00027347i,-0.000527+0.00035304i,-0.00017477+2.1868e-05i,0.00011874-0.00027234i,-0.00016723-7.2152e-05i,-0.0008728+3.253e-05i,-0.00062657-0.00048799i,0.00011331-0.00033022i
-0.0011+0.00049592i,-0.00098308+0.00043266i,-0.0011653+0.00026022i,-0.0009208+4.5491e-05i,-0.0016288+0.00028056i,-0.0022009-3.2652e-05i,-0.0015832-0.00050293i,-0.00068507-0.0004731i,-0.00037201-3.5958e-05i,-0.00036144+0.00026991i,0.00025951-0.00034243i,-0.00034344-0.00057811i,-0.00095292-0.00076529i,0.00016307-0.00058634i,0.00040851-0.00043384i,-0.0003823-0.00097362i,-0.0007422-0.00042101i,-0.00045302+0.00040521i,0.00033592+2.765e-05i,0.00051809-6.3865e-05i,0.00016765+0.000313i,5.6656e-05+0.00030706i,-0.00036238+7.6899e-05i
-0.00056633-0.00095347i,-0.0006971-0.00036666i,-0.00080368-0.00096356i,-0.0011029-0.0011833i,-0.0014209-0.00061489i,-0.0011516+7.1943e-05i,-0.00066615+2.1439e-05i,-0.00016004-0.00024545i,0.0001039-0.00025001i,0.0002657+1.9898e-05i,0.0006336+8.6966e-05i,0.00054918-0.00051256i,0.00056559-0.00021822i,-0.00024333-1.1218e-05i,-0.00089717-0.00034832i,-0.00079005-0.00017993i,-0.00088002+0.00022057i,-0.00080064+0.00064408i,-0.00026766+0.00034357i,0.00011138-0.0001985i,0.00017696-0.00040258i,0.00054903-0.00091079i,0.0009109-0.0010545i
0.0024115-0.0020071i,0.0010085-0.0018559i,7.494e-05-0.0026473i,-0.00011285-0.0028095i,-0.00069048-0.002516i,-0.0011775-0.0017354i,-0.0011553-0.00081643i,-0.00092046-2.4177e-05i,-0.00035207+0.00073119i,0.00052833+0.00054395i,0.0012555-0.00025792i,0.00060294-0.00054533i,-0.00020669-0.00053245i,-0.00021633-0.00085605i,-0.00080616-0.00096499i,-0.00068341-0.00036943i,0.00028885+0.00058195i,0.00059162+0.0004172i,-3.7743e-05-7.3777e-05i,-2.2639e-05-0.00021418i,0.00028659-0.0005448i,-0.0001095-0.0005891i,-0.0004942-0.00076828i
0.0027252+0.0017506i,0.0021498+6.8188e-05i,0.0016498-0.00099319i,0.0010396-0.0014361i,3.0903e-05-0.0014829i,-0.00092753-0.0012627i,-0.0015984-0.00018853i,-0.0012719+0.001225i,0.0001461+0.00093895i,0.00064628+2.1824e-05i,6.6761e-05+5.1795e-05i,0.00022883-0.00042403i,0.00095887-0.00070831i,0.0003118-0.00065988i,-0.00014233-0.0011626i,5.2487e-05-0.0014291i,0.00011769-0.0012058i,0.00034454-0.00052731i,0.00020157-0.00042012i,-0.0003415-0.000714i,0.00029937-0.00048657i,0.00025089-0.00040883i,-0.00044928-0.00079576i
-0.0018299+0.00097483i,-0.00026023+0.0011022i,0.00067321+0.00076067i,6.8428e-05+0.0012821i,-0.0011446+0.0010322i,-0.0010992-0.00039996i,-0.0011468-0.00021378i,-0.0012258+0.0002461i,-0.00060025+0.00031042i,6.987e-05-0.00020149i,0.00017942-0.0012927i,7.0837e-06-0.0013434i,-0.00010714-0.00025853i,-4.9797e-05+6.1573e-05i,0.00064679-0.00012943i,0.00043053-0.00020479i,-0.0001271-0.00040846i,0.00013928-0.00086734i,0.00058191-0.00085399i,0.00053795-0.00017678i,-0.0003992-0.00034784i,-0.0004734-0.00010892i,-3.8197e-08+4.4447e-05i
0.00031442-0.0022072i,-0.00070528-0.0023017i,-0.0012145-0.0017224i,-0.001442-0.0015322i,-0.001799-0.0011945i,-0.0014355-0.00066336i,-0.00097918-0.00011187i,-0.0008444+0.00052708i,-0.00044412+0.00088393i,-0.00074222+0.00066102i,-3.499e-05-0.00032446i,0.00084988-0.00096471i,0.00050962-0.00058935i,-0.00031444-0.0003017i,-0.0011607+0.00035215i,-0.00090386+0.0001906i,-0.000327-0.00043642i,0.00047632-0.00048243i,0.0010772-0.00027346i,0.00025847+0.00023086i,-0.0005244-3.3557e-06i,-0.00086061-5.1081e-05i,-0.0010879-7.6334e-05i
0.00098982+0.00066538i,0.0010362-0.00017062i,0.00017256-0.00080186i,-0.00058013-0.00056232i,-0.0011332-0.00035704i,-0.0014572-4.3134e-05i,-0.0011265-0.00018734i,-0.0010734-0.00015458i,-0.00028745+8.8558e-05i,0.00038937+5.8852e-05i,3.9997e-05+4.5085e-05i,-6.7006e-05-0.00026456i,-0.00048029-0.00048181i,-0.00040712-0.00040993i,0.00032092-0.00029521i,0.00077226+0.00035668i,0.00074395+0.00082201i,-5.7845e-05+0.00085744i,-0.00050721-0.0001396i,-1.0986e-05-0.00039388i,5.8481e-05+0.0002774i,-0.00011978+7.2636e-05i,0.00026845-6.3588e-05i
0.0003927-0.0017342i,0.001574-0.0015242i,0.00056063-0.00083469i,-0.0013469-0.00058156i,-0.0029481-0.00041017i,-0.0031818+0.00025066i,-0.0019621+0.0010707i,-0.00031611+0.00049505i,0.00027939-0.00023333i,0.000186-3.8664e-06i,0.00019711-0.00010013i,-0.00043569-0.00051575i,-0.00018428-0.001085i,0.00084975-0.001557i,0.00046089-0.001586i,-8.6643e-05-0.0018487i,-2.5993e-06-0.0013544i,-0.00046016-0.00016484i,-0.00016441+0.00026278i,3.486e-05-0.00014025i,7.95e-05-0.00011644i,-9.7515e-05+0.00021674i,-0.0010073+0.00044509i
-0.0013744+0.0008133i,-0.00051979+0.00044663i,0.00022922+0.00061517i,7.2019e-05+0.0010042i,-0.00068837+0.0010776i,-0.0012986+0.00071633i,-0.0015468-3.3751e-05i,-0.0013726+0.00015349i,-0.0011717+0.0013193i,-0.00044909+0.0013671i,0.00033969+4.8775e-05i,0.00076148-0.00081224i,0.00023532-0.00060064i,-0.00048208-0.00017665i,-5.1814e-05-0.00031081i,0.00031305-0.0003608i,0.00081098-0.0002347i,0.00079397-0.00017801i,8.6929e-05-0.00035136i,-3.4516e-05-1.0248e-06i,-2.2873e-05+1.864e-05i,0.00024444-5.785e-05i,0.00078655-0.00056367i
0.0013693+0.001398i,0.0011764-0.0001013i,0.00021701-0.0012864i,-0.00015338-0.0015551i,-0.00035829-0.00074515i,-0.0010548+0.00027746i,-0.0011395+0.00096613i,-0.00014707+0.0008052i,0.00040135-0.00013257i,0.0011843-0.00077497i,0.0014075-0.00098836i,4.1147e-05-0.0013498i,-0.00065684-0.0012463i,-0.00036169-0.0013577i,9.7403e-05-0.0012425i,-0.00040384-0.0006672i,-0.00024187-0.00064573i,0.00040436-0.0002773i,0.00035234+0.00067016i,2.6312e-05+0.0011296i,-0.00049891+7.5088e-06i,-0.00069286-0.00011229i,-0.00042648+0.00050649i
0.0010472+0.0012076i,0.0012437-6.1729e-05i,0.00086474-0.0011658i,0.00055751-0.0016985i,-0.00039636-0.0013387i,-0.0012411-0.00035236i,-0.00076748+0.00044171i,-0.0001896+0.0010508i,0.00059941+0.0011333i,0.00096716-0.00015187i,0.0011428-0.0011441i,0.0010562-0.00076869i,0.00059701+5.5963e-05i,0.00034666+0.00076402i,-0.00013549+0.00097485i,-0.00017262+0.0004533i,-0.00010729+4.2781e-05i,0.00011544-0.00041902i,0.00041475-0.00072833i,-5.2037e-05-7.8052e-05i,-0.00033561+0.00022553i,-0.00018089-0.00057413i,-0.00060937-0.00016228i
0.00078794-0.00091328i,0.001772-0.00091906i,0.00089023-0.0010737i,-0.00014563-0.0010683i,-0.00034178-0.00094334i,-0.00074037-0.00065683i,-0.0019016+0.00016126i,-0.0015153+0.000778i,-0.00030281+0.00097867i,0.00011897+0.00019923i,0.00034392-0.00076645i,2.9867e-05-0.00060516i,-0.00011568-7.0857e-05i,0.0003345-0.0005803i,0.00088805-0.0010463i,0.00067335-0.00058187i,-0.00017857+0.00015951i,-0.00084544+0.0010025i,-0.00022455+0.00080569i,0.00042308-0.00027254i,0.00054859-0.00047584i,0.00047172-0.00021949i,0.00056389-0.00027502i
0.0026882-0.0011657i,0.0026618-0.0022656i,0.0019171-0.0030255i,2.4815e-05-0.0026732i,-0.0015872-0.0021499i,-0.0020275-0.0011887i,-0.0018899+0.00040862i,-0.0010524+0.001232i,0.00029514+0.0011387i,0.0012233+0.00045579i,0.00054114-0.0001877i,-0.00014318-0.00084409i,0.00014044-0.00082942i,-0.0003458-0.00042405i,-0.00035315-0.00024206i,0.00045483-0.00030417i,0.00034936+0.00041345i,0.00019943+0.0011188i,0.00041293+0.00082888i,5.8119e-05-9.6613e-05i,-0.00011233-0.00053189i,-2.4421e-05-0.0002244i,-0.0004139+0.00021267i
-0.0011313-0.00063077i,-0.00072454-0.0010215i,-0.00092413-0.0007009i,-0.0012345-0.00016517i,-0.001346+0.00034457i,-0.0016925+0.00058349i,-0.0017079+0.00067247i,-0.00075524+0.00029156i,0.00012688+0.00010832i,0.00073903+0.00018528i,0.00088861+0.00022829i,0.00042842+0.00044124i,0.00070609-1.9654e-05i,0.00032354-0.00051379i,-0.00027741-0.00077092i,-0.00043241+0.00010561i,-5.9539e-05+0.00027369i,0.00033554+0.00016126i,1.278e-05+0.00051295i,-4.3786e-06+0.00095832i,-0.00039407+0.00055529i,-0.00041439-0.00056913i,0.00025382-0.00055435i
-0.00038975-0.0003687i,-0.0012485-0.0010823i,-0.0014969-0.0017753i,-0.0020476-0.0010707i,-0.0020055-0.00087569i,-0.0011164-0.00069113i,-0.00055737+0.00033525i,-0.00056443+0.0010343i,-0.00052769+0.00043709i,5.2167e-05-0.0011472i,0.00075947-0.0012814i,0.001531-0.00023229i,0.0016047-0.00018598i,0.00092761-0.00038889i,0.00063238-0.00077116i,0.00070605-0.00089999i,0.0003599-0.00063335i,0.00018041+1.1476e-05i,0.00023931+0.00020458i,0.0003115-0.00018263i,-1.2565e-05-5.6271e-05i,-0.00032841+0.00036898i,-5.7294e-05+0.00063701i
-0.00049811-0.0013272i,-0.00045033-0.0024266i,-0.00036258-0.0027217i,-0.00039998-0.0017862i,-0.00094794-0.0015004i,-0.001182-0.00061802i,-0.0016599+0.00062719i,-0.0015997+0.0003506i,-0.00086037-9.2801e-05i,-0.00085352-3.8754e-05i,-0.0007703-0.00070609i,-0.00040449-0.00076906i,-0.00014127+0.00012366i,0.00032042+0.00062191i,3.462e-05+2.8932e-05i,-0.00017979-0.0003839i,0.00040054+1.0202e-05i,0.00079889+0.00034202i,0.00089289+0.00056496i,0.00056514+1.2318e-05i,0.00015141-0.00075642i,-0.00029504-0.00010101i,-0.00021094+4.0319e-05i
0.00015496-0.0010918i,0.00034517-0.000461i,0.00029769-0.0002994i,-0.00026736+1.815e-05i,-0.0015062-0.00013972i,-0.0018174-0.00085237i,-0.0012731-9.6834e-05i,-0.00097348+0.00087851i,-0.0010331+0.00095052i,0.00019232+0.00083696i,0.0015329+0.00037505i,0.0011696-0.00037393i,0.00029815+0.00021895i,-0.00030384+0.0010409i,1.3964e-05+0.00068191i,0.00050521+0.00034098i,0.0010572-0.00031521i,0.0011673-0.00024162i,0.00063209+0.00035851i,0.0002349+0.00043889i,-0.00016022+0.00052508i,-0.00044524+0.00034556i,-0.0003566+0.00031507i
0.00039464+0.00093709i,0.0014584-9.8215e-06i,0.0013327+0.0002705i,0.00077793+0.00025819i,0.00044448-0.00077736i,-0.00073084-0.001775i,-0.0013702-0.0011173i,-0.0010446+0.00052686i,0.00011317+0.0014391i,0.0011346+0.0013323i,0.0012996+0.00043053i,0.00080566-1.3731e-06i,0.00052024+0.00021156i,3.8129e-05-0.00027647i,9.393e-05-0.00035864i,0.00071143-0.00012519i,0.00064227-0.00056755i,0.00051566-0.00036954i,0.001323+0.00031255i,0.00098265+0.00019777i,-2.9592e-05-0.0001709i,-0.0004655-2.8805e-05i,-0.0006713-7.9261e-05i
-0.0012374+0.00024422i,-0.00077494-1.9067e-06i,-0.00055624+0.00060948i,-0.00020184+0.00047069i,-0.00017595-0.00052228i,-0.00058647-0.00098905i,-0.0012013-0.00060737i,-0.0015623-0.00041327i,-0.00069388-0.00071799i,-0.00010125-0.00087443i,-0.00034545-0.0008001i,1.7714e-06-0.00038841i,-0.00015126-2.1627e-05i,-0.00012181+0.00032609i,0.00041064+0.00097612i,0.00019167+0.00054284i,0.00018895+0.00031935i,0.00040978+0.00084614i,-0.00050736+0.0007838i,-0.00053123+0.00025285i,0.0007853+0.00038862i,0.00073+0.00085739i,4.1745e-05+0.00058888i
4.0562e-05-0.00080718i,0.00015416+0.00089377i,-0.00027937-0.00021517i,-0.00058222-0.0019895i,-0.00033885-0.0016315i,-0.00069274-0.00062377i,-0.00084117-0.00027034i,-0.00036772+0.00082768i,-0.00047117+0.001539i,-0.00025018+0.0007229i,7.7363e-05+4.0087e-05i,-0.00034109-0.00044491i,-0.00059933-0.00051376i,-0.00079058-0.00060219i,-0.00024703-0.00068816i,0.00027599+1.4663e-05i,-4.3436e-05+0.00014037i,-0.00017503-0.00012154i,0.00040452+0.00010835i,0.00018546+0.00061928i,-0.00071678+0.00031578i,-6.8873e-05-0.00036477i,0.00030516+7.3342e-05i
0.0011504+0.00032261i,0.0014855+0.00080047i,0.001552+0.00011445i,0.0014376-0.0007232i,-9.6572e-05-0.00020327i,-0.0011239+0.0011354i,-0.0011725+0.0013997i,-0.00058041+0.00056128i,0.00012424+0.00037011i,0.00027375+0.00066732i,0.00027349+0.00090494i,0.00047878-0.00016004i,0.00030873-0.00073665i,0.00018476-0.00075776i,0.00018999-0.0005711i,0.00015817-0.00027235i,0.00046947-0.00053359i,0.00066411+8.2553e-05i,0.00075583+0.00058168i,0.00032475+0.0003634i,-0.00025893+0.00018875i,-0.00073123+0.00014393i,-0.0013294+0.0001233i
9.3431e-06-0.0004989i,-2.4174e-05-0.0019273i,-0.00060017-0.002993i,-0.00084874-0.0029179i,-0.0011571-0.0014365i,-0.0016606+0.00013924i,-0.00088651+0.0013232i,-0.00019555+0.0013463i,5.3325e-05+0.00018795i,-4.0847e-05-0.000316i,-0.00042816+0.00031749i,-0.0009512+0.00018709i,-0.00090855+0.0001105i,-0.00045798+3.3333e-05i,-0.0010316-0.00031354i,-0.0012192+0.00016851i,0.00023451-6.3905e-05i,0.00079899-0.0011389i,0.00057376-0.0010946i,0.00045694-0.00070728i,-0.000209-0.00079236i,-0.00055748+2.5764e-05i,0.00011719+0.00061824i
0.00044704-0.0013947i,3.3118e-05-0.0010236i,-0.0010427-0.00046979i,-0.0011776-0.00014751i,-0.00057132-0.00010869i,-0.00044211-0.00044381i,-0.00091566+5.7988e-06i,-0.00072743+0.00071534i,3.0955e-05+0.00019802i,0.00023872-0.00051389i,-0.00014339-0.00056018i,-1.3602e-05-0.00063097i,0.00096224-0.00023016i,0.0012427+0.00042271i,0.00043811+0.00048324i,0.00012174-0.00010942i,0.00025558-5.3481e-05i,0.00057128+0.00019709i,0.00064344-0.00019805i,0.00049238-0.00058994i,0.00046062-0.00072334i,5.8252e-05-0.00030987i,-0.00033902-0.00053655i
0.00094695-0.0024514i,-0.00011519-0.002677i,-0.00090206-0.0022061i,-0.0011828-0.001409i,-0.0025312-0.00023152i,-0.0030756+2.9987e-05i,-0.0014419-0.00026311i,-0.00042944-0.00059292i,-0.00012804+0.00032688i,0.00021305+0.00056937i,0.00057366-0.00038694i,0.00035133-0.0012463i,0.00027537-0.0012239i,0.00019553-0.0011361i,0.00031271-0.0007699i,0.0010041-0.0001815i,0.00066938-0.00071505i,-0.0001753-0.00069029i,-0.00025598+3.5118e-05i,-0.00023948+0.00057158i,-0.00019673+0.00027752i,-8.0107e-05-0.00048431i,0.00010919-0.00064632i
