-0.0012565+0.0008533i,-0.00043459+0.00040176i,-0.00075402+3.8287e-05i,-0.0010423+0.00010666i,-0.00089764+0.00090152i,-0.00063783+0.00074946i,-0.00069855+0.0010911i,0.00031426+0.0011258i,0.00078149+0.00048808i,0.00060203-5.8748e-05i,0.00072706-0.00078493i,1.4122e-05-0.001035i,0.00021536-0.00038569i,0.00024124+0.00029289i,7.3322e-05-0.00060834i,-5.7819e-05-0.0011072i,-8.1765e-05-7.6406e-05i,-0.00020529+0.00012417i,-0.00070866-0.00075149i,-0.00018811-0.00048859i,-0.00019576+0.0011713i,-0.00017894+0.0014852i,0.00031334+0.0004211i
-0.0012389+0.00085154i,-0.000947-0.00032403i,0.0010257+0.0005895i,0.0023041+0.00040492i,0.0016397-0.00077801i,0.0010146-0.00029564i,0.0012112+0.00047105i,0.0012284-0.00059842i,0.00090111-0.0013463i,0.00074063-0.00062179i,0.00052951-1.1039e-05i,0.00043319+0.00011487i,-0.00016831+0.00030449i,-0.00013929-8.1035e-06i,0.00033733-0.00077449i,0.00055885-0.00096635i,0.00064943-0.00025207i,3.9427e-05+0.00051264i,4.2507e-05+7.3234e-05i,0.00046253-0.00017071i,0.00041304+0.00025192i,4.4855e-05+0.00016984i,-0.00021075+0.00021125i
-0.00049877-0.00055393i,-0.00022212-0.00043358i,0.00010009-0.00013971i,0.0009215-0.00069447i,0.0016774-0.00086249i,0.0010021-0.00042471i,1.6693e-05-0.00050688i,-6.4983e-06-0.00070515i,-0.00066064-0.00093241i,-0.00038242-0.00077544i,0.00084535-0.00043624i,0.0010261+3.015e-05i,0.00036248+0.0008602i,0.00062736+0.00031433i,0.0011428-5.3512e-05i,0.00071022+0.00063255i,0.00067572+0.00058895i,0.00017782-0.00026742i,-0.00067926-0.00068815i,-0.00053131-0.00014989i,-0.00070718+0.00033942i,-0.00054246+0.00024303i,-0.00044108+0.00043048i
0.00057222-0.0013082i,0.0010864-0.00071715i,0.00090566-0.00046129i,0.0011321-0.00046908i,-9.6703e-05+3.4636e-05i,-0.00048369+0.00023846i,0.00043919-0.00041667i,0.00072008-0.0011176i,0.00055202-0.00093571i,-0.00010167-0.0007546i,-0.00051426-0.00031731i,0.00071017+7.8021e-05i,0.0016491-1.746e-05i,0.0012745-0.00016399i,0.00081983+0.00019681i,0.00043311+0.00034953i,0.00014826-0.00016488i,-4.3347e-05-0.0005018i,-0.00016621-0.00024406i,-0.00026995-0.00014436i,-0.00063945-0.00037351i,-5.1353e-05-0.00078673i,0.00037991-0.00058978i
0.00038244+0.0007849i,0.0001655-0.00041366i,0.0014099-0.00085594i,0.0014033-0.00011355i,0.0013101-0.00030645i,0.0013213-0.00039045i,0.00072729-0.00066372i,0.00032783-0.0011065i,-3.8213e-05-0.0018694i,-0.00018316-0.002165i,8.1554e-05-0.0014423i,-4.7978e-05-0.00035325i,-0.00055855+0.00011825i,-0.00056825+9.9121e-05i,-0.00030811-0.00022658i,0.00016849-0.00044091i,0.00032333-1.8308e-05i,0.00065442-0.00073837i,0.00078484-0.0013385i,0.0003718-0.00065865i,0.00011074-0.00012398i,-0.00037418-0.00010562i,-0.00036162+8.9076e-05i
-0.0013026-0.00042084i,-0.00049344-0.00031924i,0.00036985-0.00018707i,0.00099281-0.00031444i,0.0011763-0.00011352i,0.00092403+6.0637e-06i,0.00090515-0.00032552i,0.00030216-0.00050191i,-0.00071958-0.00063779i,-0.00034689-0.00054739i,0.00067347-0.0006469i,0.00043948+8.9913e-05i,-0.00015793+0.00084271i,0.00022908+0.00046822i,0.00032026+0.00026187i,-1.0326e-05+1.733e-05i,0.00064082-8.6365e-05i,0.0013982+5.9445e-05i,0.0012508-0.00058796i,-0.00049442-0.00059079i,-0.0010372+7.5046e-05i,-0.00022353+0.00062978i,-0.00061035-0.00025801i
-0.001289+0.00036712i,-0.00066127+0.00078644i,-1.163e-05+0.00044194i,0.0011053+0.00055626i,0.0010717+0.00038589i,0.00013113-0.00029423i,0.00041006-0.00023051i,0.0009902-0.00033524i,0.00032512-0.00062188i,4.3838e-05-0.00070062i,0.00034704+7.4894e-05i,0.00059894+0.00070292i,0.00058353+0.00019978i,0.00074245-6.033e-05i,0.00099002+0.00055429i,0.00081199+0.00015498i,0.00067087-0.00095455i,0.000796-0.00054264i,0.0010098-0.00031817i,0.00072137-0.0011419i,0.00067132-0.0012485i,0.00023441-0.00068354i,-0.00065457-4.6088e-05i
0.0012189+0.00020168i,0.0013784+0.00072491i,0.0016314+0.00028184i,0.0020584-0.00016825i,0.0010141+7.701e-05i,-0.00065705+0.00025764i,-0.00051975+3.8827e-05i,-0.00017211-0.00093672i,-0.00061242-0.001402i,-9.9632e-06-0.00059497i,0.00060055+4.1445e-05i,0.00032842-0.00021832i,0.00043933+3.9788e-05i,0.00041191-0.00034346i,0.00033296-0.00056804i,0.00050563-0.00042864i,0.00024437-0.00063354i,0.0002495-0.00019841i,-0.00015835+7.3401e-05i,-0.00040479-0.00084947i,-0.00038226-0.00085399i,-0.0002587+5.8899e-05i,0.00045909+0.00043063i
0.0011134-0.00078812i,0.0011716-0.00034177i,0.001818-0.00032162i,0.0019493-0.00032954i,0.0010767-0.00068272i,0.0005545-0.00051608i,0.0001619-0.00024196i,-0.00044222-0.0010407i,-0.00023331-0.0014791i,5.3141e-05-0.0010162i,9.5213e-05-0.00062929i,0.000428-0.00067666i,0.00059826-0.00057802i,8.8191e-05+0.00028081i,-1.7821e-05+0.00082636i,-0.00010061+0.00037777i,0.0002551+0.0003196i,0.00079145+0.00050517i,0.00060159+0.0001522i,-0.00043971-0.00014991i,-0.00016094-8.216e-06i,0.00019196+0.00059005i,-0.00014437+0.00053289i
0.00015675-0.00058787i,-0.00015586+4.1208e-06i,-9.854e-05+0.0013123i,0.0012553+0.0012807i,0.0015827+0.00016261i,0.0009149-8.3396e-05i,0.00073267-0.00072512i,0.00096482-0.0010738i,0.0005185-0.00033246i,0.00052364-1.3455e-05i,0.00056529-0.00019732i,-0.00051925-0.00011806i,-0.0015009+6.6927e-05i,-0.00059525-0.00030315i,-0.00023253-0.00057823i,-0.00031229-0.0005329i,-0.00019197-0.00036589i,-0.00012924+7.2424e-05i,-9.5671e-05-6.2047e-05i,-0.00089804-0.0011418i,-0.00077665-0.0014996i,0.0001123-0.00064577i,0.00018506+0.0002647i
0.00046542-0.00034151i,0.0012255+0.00014048i,0.0017953+0.0010046i,0.0014416+6.1084e-05i,0.0012345+0.00023271i,0.0011736+0.00082789i,0.00053262+0.00060971i,0.00057397-0.00016247i,0.00070871-0.00094852i,0.00054753-0.0013323i,0.00046585-0.00095789i,0.00061937-3.4121e-05i,0.00019377+0.00068991i,5.7132e-06+0.00092214i,0.00021313+3.9134e-05i,0.00043791-0.00099376i,0.00088699-0.00058483i,0.00037893-0.00020037i,6.6172e-05-0.00082842i,7.7252e-05-0.0010217i,-0.00052369-0.00067224i,0.000139-0.00077574i,0.00071554-0.00086003i
0.00062133+0.0022428i,0.00055517+0.0019565i,0.0013299+0.0019407i,0.0022448+0.0020179i,0.0017297+0.00084283i,0.0011026-0.00019123i,0.00019549-5.5961e-05i,-0.00098325-0.00048334i,-0.00055099-0.00091668i,-0.00019481-0.00077298i,-0.00046544-0.00037754i,-0.00051166-0.00056784i,-4.8808e-05-0.0008618i,-8.2533e-05-0.00011416i,-0.00018199-6.1934e-05i,1.4888e-06+0.00029377i,0.00026094+0.0002488i,0.0003524-0.00051286i,-7.0584e-05-0.00018426i,0.0002551+0.00037945i,0.00020148+0.0010784i,0.00012917+0.00081484i,0.0011961+0.00028556i
0.0010051+0.00057287i,0.0011354-6.268e-05i,0.00233+0.00020639i,0.0020154-0.00036617i,0.0015011-0.0014175i,0.00054497-0.0011651i,0.00020351-0.0010549i,0.00071033-0.00083154i,0.00069916-0.00022693i,0.00021731-0.00062089i,6.2183e-05-0.0012598i,0.00017905-0.00017405i,0.00052143+0.00083628i,0.00049625+0.00071046i,0.00019822+0.0004651i,9.9842e-05+0.00073602i,-0.00024189+0.00062681i,-0.00017972-0.00012234i,-0.00017347+0.0001811i,-0.00030064+0.00033152i,9.4516e-05+0.00035083i,0.00069992-7.1549e-05i,0.00060429+0.00015952i
7.9138e-05+8.2279e-05i,0.0005675+0.00072048i,0.0018314+0.0017805i,0.0019253+0.0014335i,0.0015068+0.00053118i,0.00084642-0.00026481i,0.00019779-0.00058211i,-0.00015796-0.00055424i,-9.0175e-05-0.00036107i,-8.904e-05-0.00014373i,0.00012559-0.00097866i,0.00084166-0.0016684i,0.0013243-0.00077136i,0.00099686-0.00024647i,0.00012549-0.00017361i,-0.00076411+0.00021853i,-0.00080012-0.00017931i,0.00031514-0.00046644i,0.00078423-0.00027311i,0.00068383-3.6329e-05i,-1.4561e-05+6.4086e-05i,-0.0008255+0.00019221i,-0.0006145-0.00053667i
0.00053966+0.00038657i,-1.9767e-05+8.8789e-05i,0.001208-0.00041966i,0.0020832-0.00053334i,0.0012725-0.00045906i,0.00063868-0.00050341i,0.0018888-0.00018697i,0.001827+0.0001084i,0.00060396+0.00055184i,0.00013942+3.3004e-05i,-0.00023259-0.00014703i,-0.00065519+6.1704e-05i,-0.0009048+5.4539e-05i,-0.0002782+0.0005358i,0.00010491+0.00023827i,0.00062887+0.00015919i,0.0006912+0.0003663i,0.00049258-0.00029659i,-0.00026027-0.0010192i,-0.00053125-0.0015728i,-0.00016753-0.0013335i,-0.00038587-0.0011819i,-0.00083899-0.001053i
-0.00034116+0.0005i,-0.0014048+0.0003507i,-0.00045195-0.00039714i,0.00011766-0.00068932i,-0.00023514-0.00075664i,-0.00047709-0.0011088i,2.7359e-05-0.0012839i,0.00043598-0.0012889i,0.00085544-0.0015234i,0.00066609-0.0014587i,0.00021961-0.00043009i,0.000326+0.00070158i,2.4707e-05+0.000728i,-0.00026314+0.00021237i,0.00026278+0.00014951i,0.00049156+3.6676e-05i,0.00015206-0.000224i,-0.00030816-0.0004529i,5.575e-05+7.2441e-05i,0.00024424-0.0002534i,0.0001721-0.00031728i,-0.00036596-0.0001982i,-0.00032807-0.0006968i
0.00025282+0.00052903i,-0.00054154+0.0012151i,0.00020502+0.0020418i,0.0012356+0.0016276i,0.0019012+0.00014295i,0.0012334-0.00068709i,3.9135e-05-0.00016133i,0.0001317-0.00036592i,0.00052076-0.001226i,0.00073024-0.00072258i,0.00020285-0.00028978i,-0.00028318+0.00016355i,-0.00034937+0.00094186i,-0.00025236+0.0001752i,0.0001642-9.462e-05i,0.0001387+0.00046212i,-0.0001362+0.00071321i,0.00032791+0.00073375i,0.00053646+0.00014753i,-4.5156e-05+2.6342e-05i,-0.00034288+0.00024205i,-0.00024244+0.00033085i,-0.00036257-0.00012196i
4.9532e-05+0.0028121i,-0.00031671+0.0026814i,-0.00015087+0.0029072i,0.00082182+0.0020489i,0.0011709+0.00032984i,0.001118-0.00078969i,0.0013884-0.0012815i,0.00074594-0.0013819i,0.0002404-0.00078577i,0.00030494+0.00021433i,0.0001248+0.0004182i,0.000401-0.00017762i,0.0010483-5.3618e-05i,0.00088741+0.00032198i,0.00020914-0.00034443i,-0.00025156-0.00089207i,9.4027e-05-0.00088831i,0.00064811-0.00076871i,0.00022227-0.00057001i,-0.00083548-8.5212e-05i,-0.00064671+0.00010611i,-0.000106+0.00055091i,-0.00034358+0.0010792i
0.00061524+0.00070092i,0.00058619+0.0012017i,0.0013237+0.0014249i,0.0016597+0.00082208i,0.0012501+8.8302e-05i,0.00030409-0.00022485i,-0.00011947-2.2116e-05i,0.00045741+0.00013826i,0.00073598-0.00012095i,0.00072802-0.00027887i,0.00066988-0.00077636i,0.0005239-0.00058858i,0.00025315+0.00035785i,0.00041057+0.0005594i,0.00029543+0.00097153i,-4.3445e-05+0.00089801i,0.00031405+0.00031821i,0.00056693+0.00049393i,0.00069066+0.00044662i,0.00030481-0.00018373i,0.00019362-4.0866e-05i,0.00024722+4.9329e-06i,3.985e-05-0.00048813i
0.00321+0.0010703i,0.003703-2.2443e-05i,0.004745+0.00013553i,0.0044362+0.00030174i,0.0026288-3.3723e-05i,0.0004887-0.00064611i,0.00018307-0.00044861i,0.00051879-0.00027336i,0.00013145-0.0014391i,0.00022189-0.0026426i,0.00028071-0.0018681i,-0.00026159-0.00059613i,-0.00041688-0.0003931i,-0.00029852-0.0002535i,-0.00029254-0.00012021i,-0.00024136-0.00059404i,0.00058588-0.001107i,0.00091031-0.0011711i,-0.00053744-0.001048i,-0.0014515-0.00066367i,-0.00077401+2.5591e-05i,-0.00024466+0.00010081i,-7.7296e-06+2.6412e-05i
0.0010639+0.00054381i,0.00022082+0.00088269i,0.0013898+0.00065749i,0.0021134-9.2244e-05i,0.0013369-0.00083925i,0.00016678-0.000405i,-0.00086417+0.00035815i,-0.00021586-9.4645e-05i,0.00088367-0.00096362i,0.00073858-0.0016188i,-0.00034199-0.001343i,-0.0014294-0.00011933i,-0.0010964+0.00022445i,2.959e-05+0.00017423i,1.6497e-05+0.00010039i,-0.00028022+0.00024531i,4.6101e-05+0.00018231i,0.00011331-0.00024639i,-0.00026766-0.000526i,7.2582e-05-0.00064008i,0.00053038-0.00020117i,-0.00019101+0.00049965i,-0.00041097+0.00018129i
-0.00041806-7.7927e-05i,-0.00089397+0.00038528i,-0.00057508+0.00042044i,4.4981e-05+8.793e-05i,-0.00012771+0.00035389i,0.0001574+0.00043006i,0.00091884+4.9284e-05i,2.0886e-05-0.00031611i,-0.0012764-0.0011572i,-0.00084721-0.0019685i,-0.00011352-0.0019963i,-0.00053625-0.0014363i,-0.00038033-0.00063024i,-0.00035684+0.00035498i,-0.00080288+0.00049671i,-0.0004096+0.00078233i,0.00019501+0.00079928i,0.00039128-0.00036686i,-0.00038365-0.00063265i,-0.00066083+2.7614e-05i,-0.00057729+0.00044937i,-0.00082678+0.00037916i,-0.00060221+0.00042095i
-0.0048143+0.0022184i,-0.0045536+0.0024546i,-0.0027611+0.0024655i,-0.00021801+0.0023172i,0.0017714+0.0016355i,0.0020834+0.00074996i,0.00060656+0.00055194i,-1.4757e-05+2.3682e-05i,-0.00019074-0.00054789i,-0.00053275-0.00020518i,-9.6721e-05+0.00049995i,-5.4459e-05+0.00056926i,4.5625e-05+0.00014748i,0.00057873-0.0001433i,0.000926-0.00040611i,0.00033018-0.00020487i,-0.00060635-0.000127i,-0.00033758-0.00061407i,0.00029369-0.00068006i,0.00064821-0.00066783i,0.0004013+0.00013754i,-0.00049285+0.00082275i,-2.6084e-05+0.0004541i
-0.00024753+0.00098451i,0.00027441-0.00025482i,0.0012303+2.9376e-05i,0.0020381-0.00013497i,0.0015399-0.0013327i,-7.0013e-05-0.0014009i,-0.0008041-0.00047927i,-0.00057979-0.00078543i,2.9977e-05-0.00085001i,0.00080453+0.00017962i,0.00053765+0.00025399i,-5.8426e-05-0.00068871i,0.0002474-0.00096308i,0.0010694-0.00081256i,0.00095955-0.00034827i,0.00088229+0.00048894i,0.00058122+0.00059163i,-0.00030106+0.00025304i,-0.00022815-0.000186i,-0.00033376-0.00021901i,-0.0006084+0.00028291i,-0.00049566+0.00030441i,0.00014612-0.00035457i
0.0018588-0.00025745i,0.0026898+9.9147e-05i,0.0023858-0.0004185i,0.002091-0.0018647i,0.0010719-0.0022066i,-0.00026098-0.001718i,4.4365e-05-0.0010588i,0.00026771-0.00063356i,-0.00048465-0.0010133i,-0.00065361-0.0015453i,0.00027191-0.0013598i,0.00068502-0.0011582i,-0.00015882-0.00075902i,-0.00080644-0.00042065i,-0.00027194-0.00088037i,-0.00024413-0.00067168i,-0.00050175-0.00044924i,-0.0003002-0.00046729i,-0.00013807-0.00032795i,0.00018524-0.00012424i,0.00036358-0.00043188i,0.00029288-0.00061391i,-0.00018988-0.00022352i
0.00082034-0.00014973i,0.0017655+0.00094536i,0.0021815+0.0023926i,0.0030086+0.0012211i,0.0024711+0.00052527i,0.001137+0.00065385i,0.00039545+0.00051706i,-0.00013336-0.00042941i,1.6788e-05-0.0011965i,0.00064147-0.0012068i,0.00079531-0.0017681i,0.00076561-0.0011159i,0.00079765-0.0006498i,0.00013729-0.0006791i,7.6878e-05+6.7683e-05i,0.0005228+0.00013527i,0.00021765-0.00083992i,-3.5759e-05-0.00054115i,-0.00033041-0.00020754i,-0.00033815-0.0014284i,-0.00014565-0.001454i,-0.00026504-0.0010699i,-0.00028067-0.00089667i
-0.00068705+4.1676e-05i,8.1559e-05+4.4311e-05i,0.00056192-0.00019336i,0.00066308-0.00035764i,0.00095642-0.00020525i,0.0016431+0.00052654i,0.0017432+0.00075189i,0.001075-0.00014777i,8.9147e-05-0.00065414i,-0.00039275-0.00082865i,-0.00021457-0.00056762i,0.0001076-7.8337e-05i,4.0289e-06+0.00011233i,-0.00019854-0.00020793i,0.0004787-0.0003922i,0.00081448-2.5487e-06i,0.0011258-0.00011344i,0.0011713+0.00011984i,0.00024303+0.00028896i,-9.9713e-05-1.2194e-05i,-0.00030053+0.00020301i,-0.00056935+0.00019799i,0.00019177+6.0909e-05i
0.0011788-0.00019029i,0.0011432-0.00027421i,0.0014399+0.00072961i,0.0022271+0.00075448i,0.0013377-5.6423e-06i,-0.00016366+7.207e-05i,-0.0005166-0.0001674i,0.00012136-0.00074476i,-3.7551e-05-0.00089262i,3.9418e-05-0.00086504i,0.00078405-0.00068241i,0.00041759-0.00062145i,-0.00025628-0.00039911i,-0.00048617+0.00041599i,-0.00065577+0.00061252i,-0.00011166+0.00048017i,0.00040124+0.00067484i,0.00024509+0.00018021i,-0.00023026-0.00022197i,-0.00067746-0.00020842i,-0.00014972+2.2682e-06i,0.00019657-8.6012e-05i,0.00033572-0.00045851i
-0.00037379+0.0010473i,-7.7884e-05+0.0013861i,0.0019779+0.0017866i,0.003072+0.0014036i,0.0019323-0.00028894i,0.00042167-0.0005366i,0.00027035+0.00044624i,0.00028752-3.9167e-05i,-7.1176e-05-0.0014224i,0.0001772-0.0010099i,0.00054451-0.00018528i,0.00039707-6.1346e-05i,0.00013534+0.00044969i,0.00018125+0.00023955i,0.00079945-0.00040723i,0.00060446-0.00026184i,0.00021491+0.0005862i,0.00023525+0.00097968i,-0.0009652+5.5608e-05i,-0.0010186-0.00074477i,0.00018866-0.00060829i,0.00030217+0.00013217i,0.00051517+0.00094309i
0.00020665+0.0013064i,4.1826e-05+0.0020003i,0.00053497+0.0019682i,0.0017633+0.0006113i,0.0011655+6.1436e-05i,0.00092332-0.000314i,0.00067517-0.00048607i,-0.00062268-0.00065089i,-0.0007327-0.00081212i,0.00020727-0.00087998i,0.00040946-0.00078262i,0.0001679-0.00069173i,0.00043656-0.00055857i,0.00026645-0.00024566i,0.00033037-0.00068855i,0.00045793-0.0001533i,0.00037815+0.00067198i,0.00092496+0.0003408i,0.0010951-0.00080196i,0.00067565-0.0008116i,-6.0413e-05+0.00023112i,9.0424e-05+3.8171e-05i,0.00050964+0.00032531i
0.00017438+0.0013548i,-0.00029505+0.00097948i,0.00072977+0.00089815i,0.0016991+0.00039953i,0.001534-0.00084512i,0.001264-0.000523i,0.00074945+0.00053349i,0.00051602-0.00022326i,0.00046445-0.0010921i,0.00068647-0.00068081i,0.00071772-0.00044679i,0.00091863-0.00036398i,0.000678-0.00019093i,-0.00023648+0.00014493i,-0.00063205-1.8343e-05i,-0.00041069-0.00053687i,2.9924e-05-0.00022751i,-0.00012791+0.00053894i,-0.00043392+0.00042662i,-0.00090277-2.6917e-05i,-0.00070345-9.7175e-05i,-0.00038011-0.00026313i,-0.00023522-0.00051401i
-0.0020709-0.00077709i,-0.0014265+0.00024048i,-0.0010798+0.0014823i,0.00043951+0.00096397i,0.0016796+0.00012321i,0.0011613+0.00014499i,0.00079006-0.00014897i,0.00050645-0.00055859i,-5.1406e-05-0.00086272i,-0.00042368-0.00020448i,-0.0012281+0.00035514i,-0.0014113-0.00015654i,-0.00040028+0.00016294i,0.0011466+0.00067103i,0.001402+0.00073674i,0.00095447+0.00063581i,0.00064411+1.8472e-05i,0.00031304-0.00056154i,2.0442e-05-0.00051327i,0.00036737-0.00052975i,0.0011957-0.00045806i,0.0012012+0.00029341i,0.00079966+0.00045185i
0.00031255-9.4278e-05i,0.00099483+0.00026369i,0.0017675-0.00010179i,0.0026325-0.001394i,0.0018752-0.0018976i,-1.2825e-05-0.001555i,-0.00024437-0.00047726i,-5.7419e-05-0.00090339i,0.00025367-0.0019319i,0.00019921-0.0014509i,-0.00093577-0.00062129i,-0.0011208+3.7599e-05i,-0.00048052-5.6144e-05i,-0.00039331-0.00064211i,-0.00049672-3.6925e-05i,0.0001637+0.00082495i,0.00097096+0.00059986i,0.000417+9.0775e-05i,-0.00067754-3.9185e-05i,-0.00079277-9.9595e-05i,0.00012457+0.00018966i,0.00073806+0.00037643i,0.00030707+0.00065147i
