-0.0012151-0.0010687i,-0.0011739-0.0021901i,-0.00055494-0.0019679i,-0.00073476-0.00094725i,-0.00088794+0.0011425i,-0.00071884+0.0033391i,0.00031952+0.0029796i,0.0014771+0.0017884i,0.00085582+0.00062869i,0.00023191-0.00051541i,0.00051044-0.00054795i,0.00060139-0.00059434i,4.5783e-05-0.0010119i,-0.00054236-0.0010957i,-0.00063508-0.00043799i,-0.0003587+3.8043e-05i,2.7299e-05+2.7819e-05i,0.00036948+0.00073765i,0.0007377+0.00092089i,0.00074884-0.00034569i,0.00085977-0.00095143i,0.00060458-0.0005872i,-0.00033463+0.00029116i
-0.00068086-0.00113i,-0.0017301-0.0010442i,-0.00042573+0.00074332i,9.3253e-05+0.0015761i,-0.00091971+0.0012588i,-0.0010916+0.0018881i,-5.9465e-05+0.0022246i,0.00039847+0.0012765i,-0.00020643+0.00059699i,-0.00013698+0.00027394i,0.00011396+0.00017006i,2.8071e-05-0.00041786i,0.00011445-0.0005698i,9.2074e-05-0.0001258i,-7.1469e-05-0.00028116i,-0.00050262-0.00073157i,-0.00023737-0.00083844i,-0.0002365-0.00081786i,-0.00087005-0.00042984i,-0.00089623-0.00021462i,-0.00075386-0.00013167i,-0.0004312+7.2345e-06i,0.00018128+0.00051506i
-0.0011685+0.00042472i,-0.00012192+0.00032708i,0.00048717+0.00020742i,0.00033588+0.00093184i,-0.00055799+0.0019444i,-0.00096631+0.001828i,-0.00017156+0.00087542i,1.0934e-05+0.00063201i,-0.00040115+0.0002761i,-0.00091255+3.0095e-05i,-0.0012297+0.00047402i,-0.00036771+0.00046015i,0.00041077+0.00043394i,6.4637e-05+3.9435e-05i,-0.00032404-2.8867e-05i,-8.3779e-05+0.00020235i,2.3878e-05-9.0868e-05i,-0.00041978-0.00013014i,-0.00092178+1.1572e-05i,-0.00062019-0.00029528i,-0.00026596-0.0001744i,-0.00060264-0.00014419i,-0.00036272-0.00040628i
-0.0039244+8.475e-05i,-0.0033442-3.0077e-05i,-0.0019221+0.0013872i,0.0010023+0.0021334i,0.0031167+0.0026813i,0.003577+0.0026795i,0.0032496+0.0018247i,0.0019599+0.0015328i,0.00081651+0.0015382i,0.001167+0.0018675i,0.0014469+0.0014709i,0.00059545-0.0002645i,-0.00016036-0.00070362i,-0.00035552-0.00027294i,-9.7548e-05+9.0117e-05i,-0.0001108+0.00027334i,-0.00029321+0.0005419i,-0.0003961+0.00065966i,-0.0003691-0.00013046i,-0.00036706-0.00058632i,-0.00054298-0.00046855i,-0.00084766-0.00025634i,-0.00048428+8.5821e-05i
5.5301e-06-0.0018351i,0.00010381-0.00237i,0.00018692-0.00076373i,0.00074686-0.00014598i,0.0020345-0.00088132i,0.0024765-0.00031431i,0.0022343+9.2542e-05i,0.001518-0.00057875i,0.00043603-0.0010099i,0.00017497-0.0010849i,-0.00015979-0.0015094i,-0.00098607-0.0015891i,-0.00079067-0.00058593i,0.00015181+0.00084243i,0.00018337+0.0010212i,0.00012766+8.8145e-05i,0.00019336-0.00066988i,6.5621e-05-0.00061932i,-0.00028477-0.0002822i,-0.0004789-0.00046745i,-2.9568e-05-0.00011491i,-5.1863e-05+0.00035049i,-6.9784e-05+0.00018461i
-0.0025198+0.00013996i,-0.0016163-0.00033557i,-0.0019261-0.00048432i,-0.0012546-6.1412e-05i,7.6267e-05-0.00096306i,-0.00014314-0.0019888i,-0.00060178-0.0015502i,-0.00047395-0.0010617i,-0.00012368-0.000984i,-0.00012633-0.0014215i,-0.0010074-0.00087624i,-0.0010435-0.00049324i,2.1641e-05-0.00064634i,0.00038587-0.00025768i,0.00043076+0.0002111i,0.00028007+0.0002377i,-0.00073448-0.00013665i,-0.0011551-0.00070655i,-0.00052331-0.00074943i,0.00031916-0.0005935i,0.00023825-0.00030302i,-0.00028279-7.1347e-05i,-0.00074305+3.0114e-05i
-0.0017313-0.00064375i,-0.0011312+0.00027956i,-0.0010828+0.0013729i,-0.00096271+0.00085619i,-0.0011051-8.1721e-05i,-0.0012254+0.00022897i,-0.0012055+0.00050203i,-0.00099861-0.00016108i,-0.00081231-0.00058009i,-0.00099796+7.8616e-05i,-0.0010757+0.00086641i,-0.00057753+0.00018169i,-7.9957e-05-0.0010634i,0.00019668-0.00081317i,0.00056841+6.3829e-05i,0.00039946+0.0006645i,-0.00031217+0.00040878i,-0.00027995+3.0706e-05i,-0.00011695-5.4672e-05i,-0.00048847-0.0006189i,-0.00063662-0.0012849i,-0.00040386-0.0011746i,-0.00019693+0.00036211i
-0.0024982-0.0021201i,-0.0019724-0.0019402i,-0.0017904-0.00060495i,-0.0020178+0.0011575i,-0.002732+0.001838i,-0.0027534+0.0016617i,-0.0015708+0.0011951i,-0.00072397+8.8159e-05i,-6.8742e-05+0.00010413i,-0.00054041+0.00050586i,-0.00085723+0.00047106i,-0.00036359+0.00037962i,-0.00037103-9.6489e-05i,-0.00086374-2.7239e-06i,-0.00039164+8.2926e-05i,0.00029205-0.00010575i,-0.00021853+0.00018809i,-0.00032412-8.8394e-05i,0.00078579-0.00044422i,0.0016911-0.00044981i,0.0010874+0.00028271i,-0.00022233+0.00081745i,-0.0012677+0.00015463i
-0.0015556+0.00013446i,-0.0013876+0.00024637i,-0.00045991-0.00021125i,0.0004901-3.1125e-05i,-0.00035717+0.0013833i,-0.00061932+0.0031716i,0.00032369+0.003709i,0.00094273+0.0025048i,0.00042131+0.0015527i,4.0778e-05+0.0011611i,-0.00033703+0.00034037i,-0.00043791+0.00028138i,-0.00052479+0.00028598i,-0.00085091+0.00025346i,-0.00083023+0.00047087i,-0.0006939+0.00063945i,-0.0005907+0.00072373i,0.00011066+0.00028119i,0.0008427-7.6834e-05i,0.00043738+0.0002288i,-0.00051769+0.00036052i,-9.9849e-05-0.0004412i,-0.00032717-0.00071875i
-9.3283e-05-0.0021637i,-0.00089122-0.0011407i,-0.00063042-0.00046525i,-0.00033498+0.00024895i,0.00027083+0.0015221i,0.0014345+0.0026069i,0.0017717+0.0026005i,0.0016376+0.0013648i,0.0013709+0.00013072i,0.00037816-0.00054552i,-0.00065292-0.00022417i,-0.00092286-8.8199e-05i,-0.00066877+0.00050284i,0.00038694+0.0008752i,0.00099622+0.00075857i,0.00012435+0.00034389i,-0.0003984+0.00048467i,0.00022476+0.0013261i,0.00050994+0.00139i,0.0003315+0.00073877i,-2.0752e-05+0.00055354i,-0.00021236+0.0002298i,9.3025e-05-0.00024038i
0.00021855-0.0010371i,-0.00028662-0.00042082i,-0.00031901+0.00050067i,0.00068576+0.00012427i,0.0018845-0.00076096i,0.0027003-0.0010602i,0.003187-0.0013177i,0.0016292-0.00192i,0.00022935-0.0019574i,0.00039132-0.0009913i,0.00061461-0.00074574i,0.00095976-0.00035306i,0.00017234+0.0002805i,-0.00041656+0.0004523i,0.00038344+0.00076773i,0.0001399+0.0010487i,-0.00024592-3.4191e-05i,1.2668e-05-0.00071356i,0.00031866-0.00030759i,0.00045119-0.0004482i,0.00014603-0.00028576i,-0.00010425-4.3668e-05i,-0.00036967-0.00015901i
-0.00084244-0.0002891i,-2.2893e-05+0.00059167i,-9.8808e-05+0.0014639i,0.00031922-7.0057e-05i,0.0012505-0.0021151i,0.00090181-0.002078i,0.00052115-0.00098762i,0.00011387-9.0396e-05i,-0.00080868-0.000139i,-0.0013697-0.00095024i,-0.0018034-0.00089882i,-0.0014215-0.00089385i,-0.00071511-0.00046897i,-0.00077272+0.00028155i,-0.00037347+7.7066e-05i,-0.00011026-0.0010266i,-0.00032914-0.0012467i,-0.00012952-0.00061471i,-2.9885e-05-0.00064214i,4.7276e-05-0.00028077i,0.00029685-0.00023552i,-0.00038085+1.7559e-06i,-0.00032821+0.00042139i
0.00023055-0.0030237i,-0.00014135-0.0026432i,-0.00028036-0.0018813i,-0.0010505-0.0016275i,-0.0021556-0.0012288i,-0.0020684+0.00013744i,-0.0013754+0.00090726i,-0.0012521-0.0001529i,-0.00077558-0.00080183i,-0.00096988+8.9493e-05i,-0.0014219+0.00029021i,-0.0011715+0.00036981i,-0.00061688+0.00062265i,-0.00027984+0.00023401i,-0.00042758-8.8771e-05i,-0.00088466+0.00012601i,-0.00085126-0.00035463i,-0.00022863-0.00025866i,0.00022489+0.00061805i,-0.0002828+0.00047138i,-0.00091331+0.00017475i,-0.00035417-0.00015947i,-4.3146e-05-0.00019584i
-0.00038213+0.00032885i,-9.6617e-05+0.00013752i,-0.0010014+0.00048199i,-0.0014557+0.00080057i,-0.0015062+0.0010906i,-0.0022269+0.0012715i,-0.0018828+0.0020195i,-0.00083901+0.0011609i,-0.001212+8.0197e-05i,-0.0019364-0.00011121i,-0.001038+0.000137i,-0.00040262+1.565e-05i,-0.00048406-4.0328e-05i,-0.00073694+4.4282e-05i,-0.00076117-0.00046004i,-0.00027407-0.00012516i,-7.719e-05-0.00041984i,-0.0002204-0.00062358i,-0.00026595-0.00056659i,7.4406e-05-0.00031121i,-5.2003e-05+8.4757e-05i,-0.00046546-0.00014302i,-0.00020988-8.0035e-05i
0.00061956+7.9903e-05i,0.00012706+0.00012923i,-0.00041999+0.00061517i,-0.0011041+0.0012639i,-0.0015298+0.0018317i,8.6592e-05+0.0028965i,0.0021615+0.0034334i,0.0022007+0.0024553i,0.0014923+0.00055033i,0.00075986-0.00039704i,0.00016069-3.3029e-05i,-3.3769e-05-2.5033e-05i,0.00038039-0.00014205i,0.00029521-4.1993e-05i,0.00027619+0.00020024i,-0.0002345+0.00015151i,4.0587e-05-5.3765e-05i,0.00045132+0.00019837i,-4.5781e-05+0.00016174i,0.00055005-9.9252e-05i,0.0010008+5.6639e-05i,0.00042728+0.00038269i,-0.00035151+0.00051364i
0.0010814-0.0018629i,5.904e-05-0.0016221i,-0.00016123-0.00012378i,-0.00016014+0.0006618i,0.00080492+0.001116i,0.0017652+0.0012658i,0.0019077+0.00070242i,0.0018618-0.00029713i,0.0012942-0.0015741i,0.00069038-0.0014077i,-3.5929e-05-0.00098486i,0.00019917-0.00082215i,0.00067717-0.00074922i,0.00080458-0.00057131i,0.001318-1.5427e-05i,0.00050424+0.000993i,4.0891e-05+0.00090825i,0.00066262+7.7203e-05i,0.0006204+0.00017488i,0.00023459-9.2544e-05i,-0.00029437-0.00033926i,-0.00069759-0.00055604i,-0.00048757+0.00032213i
0.00090816-0.00021413i,-4.13e-05-0.0011515i,-0.00029332-0.0017094i,0.00080263-0.0014464i,0.0021365-0.00067407i,0.0018356+3.3443e-05i,0.0010344-0.00026896i,0.00061975-0.00065134i,6.6577e-05-0.00052321i,6.2916e-05-0.00096878i,-0.00027059-0.0016236i,-0.00059148-0.00082097i,-0.00047055+0.0001217i,-0.00016706-7.2673e-05i,2.4335e-05-0.0010056i,-0.00025506-0.00055126i,8.2387e-05-5.6598e-05i,0.00055924-0.00054833i,0.00041948-0.00047407i,-0.00024751-0.0003264i,-0.0006844-0.00048008i,-0.00085568+0.00018199i,-0.00062476+0.00025139i
-0.0017407-0.00058264i,-0.0019672+0.00064917i,0.0001405+0.0011882i,0.00070573+7.66e-05i,0.00038263-0.00086825i,0.00033127-0.00095842i,9.0708e-06-0.0006031i,-0.00032214-0.00057752i,-0.00055875-0.00010762i,-0.0012084+0.00044775i,-0.0013489+0.00055741i,-0.00049092+0.00024957i,0.00016658+0.00036198i,0.00040299+0.0001339i,0.00058365-7.9082e-05i,0.00027999+9.6949e-05i,-0.00043486+0.00024991i,-0.00033648+0.00029093i,-0.00022237+0.00027213i,-0.00030627+0.00036957i,-0.00051759+0.0004873i,-3.5815e-05+0.00035683i,0.00091179+2.0081e-05i
-0.00024615+4.2559e-05i,-0.00042913-0.000807i,-0.00010034-0.00063533i,0.00034604-0.00085154i,-0.00033604-0.0016476i,-0.0013285-0.0018408i,-0.0010226-0.00039576i,0.00026016+0.00041688i,0.00097196+0.00034208i,0.001247+0.00071423i,0.00082107+0.00098447i,-0.00013012+0.00021141i,-0.00046064-0.00037514i,-0.000266-0.00013838i,6.4918e-05+6.0952e-05i,0.00064483+0.00020476i,0.00010059+0.0003927i,-0.00014078+1.4528e-05i,-0.0001647-0.00012898i,-0.00072223+0.00019223i,-0.00041058-0.00015567i,-0.00023459-0.00043084i,-0.00049606-2.7018e-05i
-0.0013629+0.0011287i,-0.0015185-0.00035986i,0.00019963-0.00035255i,0.00096742-0.00025758i,0.0005536-0.00023691i,-0.00050357+0.0019163i,-0.00062828+0.0033981i,-0.00020072+0.0026742i,0.00020063+0.0016255i,0.00087818+0.00051102i,0.0014431-7.2495e-05i,0.00071743-0.00089072i,0.00033934-0.00099029i,0.00043398+0.00029192i,0.00035992+0.0009061i,0.00031621+0.00072861i,0.0002147+0.0009941i,0.0002091+0.00092485i,-5.1412e-05+0.00022556i,-0.00017005-0.00029044i,-0.00051935+1.7388e-05i,-0.00026588+0.00021284i,0.00042245-0.00023296i
0.0013317-0.0024575i,-0.00056581-0.0018471i,-0.0017133-0.0015175i,-0.0017696-0.00069564i,-0.0012336+0.0013441i,-0.00032061+0.0030204i,0.00081729+0.0032709i,0.00099277+0.0015675i,0.0001982-0.00035452i,-0.00019205-0.00047521i,-0.00083838-0.0004147i,-0.0012917-0.00047518i,-0.00055656-0.00019903i,0.00067382+0.00020704i,0.00042348-0.0004803i,0.00064541-0.0010041i,0.00085181-0.00048361i,-0.00031927-0.0004738i,-0.00055504-0.00014442i,-0.00078341+0.00024755i,-0.00095068-0.00022768i,-0.00019467-0.00078432i,7.5812e-06+9.4413e-06i
0.00066179+0.0012027i,0.0020711+0.0017781i,0.0014591+0.0024516i,0.00068573+0.0020364i,0.0018477+0.0012594i,0.0028214+0.001228i,0.0023346+0.00118i,0.0016568-0.00015576i,0.0013407-0.0014783i,0.00024911-0.0010009i,-0.001376-0.00027304i,-0.0015373-7.6261e-05i,-0.00080298-0.00022894i,0.00026748-0.00056171i,0.00098022-0.00094249i,0.00061593-0.00096698i,9.5337e-05-0.00015275i,-0.00019347+0.00072559i,-0.0006014+0.00063539i,-0.00040602-0.00030248i,-0.00054734-0.00073664i,-0.00049333-0.0010886i,-1.2302e-05-0.0013024i
-0.0016689-0.00023074i,-0.0016787-0.00059322i,-0.0002526+0.00010534i,0.0011909+0.00034991i,0.0012277-0.00039097i,0.001291-0.00095069i,0.00034974-0.00080715i,-0.00035988+0.00013707i,-0.00079356+0.00026421i,-0.0015192-0.00048147i,-0.0017174+0.00021211i,-0.00095703+0.00095558i,-0.00051416+0.00037706i,-0.0001627+0.00037029i,0.0003908+0.00036826i,0.00049586-1.7825e-05i,0.00026869-0.00078832i,0.00039376-0.00066992i,0.00013324-0.00032185i,-0.00043012-0.00069673i,-0.00073014-0.0004683i,-0.001189-0.00029772i,-0.00024716+0.00027642i
0.0015522+0.0014043i,0.0020696-8.7885e-05i,0.0027563-0.00078472i,0.0024626-0.0015328i,0.0014699-0.0025529i,0.00056225-0.0024936i,0.00071221-0.0016034i,0.0016263-0.00032134i,0.00083291-0.00040542i,-0.00059232-0.00064755i,-0.00078549+0.00029189i,-0.0011064+0.00070936i,-0.0017357-0.00014923i,-0.0011739-0.00081567i,-0.00044543-7.7571e-05i,-0.00042061+0.00091844i,-4.9077e-05+0.00040429i,0.00033268-0.00037218i,0.0002416+0.00052959i,8.7515e-05+0.0010565i,1.9419e-05-0.00029177i,-0.00027937-0.0012037i,-0.00069049-0.0011285i
-0.0021427+0.0018598i,-0.0034326+0.0026391i,-0.0024458+0.002197i,-0.0011035+0.00024557i,-0.00081742-0.0012785i,-0.0011194-0.00047984i,-0.00082709+0.00077266i,6.0295e-05+0.00027426i,0.00047576-5.9263e-05i,0.00084156-1.4328e-05i,0.00059504-0.00035672i,0.00056551-0.00046661i,0.0011483-0.00020619i,0.00092243+9.9173e-05i,-0.0001348-0.00021547i,-0.00052894-6.7598e-05i,-0.00022477+0.00016797i,-0.00019532-0.00034436i,7.06e-05+6.2657e-07i,0.00067107+0.001182i,0.00069846+0.00082286i,0.0013583-0.00030121i,0.0012798-0.00023623i
0.00071046-0.0035945i,0.00081232-0.0029228i,0.00016024-0.0024912i,-0.0012773-0.0024658i,-0.0029772-0.0017951i,-0.0024904+0.00027354i,-3.6779e-05+0.0016326i,0.00072505+0.0011384i,-5.9123e-05-0.00016897i,-0.00027945-0.0012176i,-0.00013834-0.00074703i,-0.00034279+0.00030451i,0.00011024+0.00014521i,0.00012315-0.00024338i,-0.00037049-0.00040798i,-0.0006396-5.6527e-05i,0.00023713+0.00072473i,0.00077901+0.00059936i,0.00011863+0.00055155i,6.5063e-05+0.00011591i,0.00051309+0.00012479i,-4.0865e-05+0.00079918i,-0.00068052-0.00042464i
0.00069568+0.0010808i,0.00047975+0.0016482i,-4.2714e-05+0.0021318i,0.00061011+0.0014271i,0.0010044+0.00070397i,0.0015303+0.0017771i,0.001965+0.002116i,0.0020116+0.00051893i,0.0011734-0.00035998i,0.0007584-0.00054329i,0.00051353-0.00050397i,6.7495e-05+0.00021274i,6.4061e-05-0.00039805i,0.00044696-0.00095343i,0.0005854-0.00021368i,-4.3187e-05-0.00013775i,-0.00035548-0.00059381i,0.00078159-0.00062973i,0.00071693+0.00036875i,-0.00042039+0.00063877i,-0.00029337+0.00077904i,-0.00037668+0.00096222i,-0.00085727+0.00044945i
