0.0024732-0.00053771i,0.0021317-0.0027004i,0.001597-0.0049492i,0.00012477-0.0047045i,-0.00089297-0.0017417i,-0.0007418+0.00013448i,0.00063039+0.00035267i,0.001554+0.00081564i,0.0019179+0.00056949i,0.0019614-0.0005274i,0.0010259-0.00072075i,0.00028425+0.00010089i,-0.00038904+0.00035281i,-0.0013402+0.00081699i,-0.0017976+0.0013086i,-0.00099272+0.00069851i,0.00051756+0.0001345i,0.00050283-0.00014958i,0.0003408+0.0003671i,0.00049145+0.00097225i,0.00014433+0.00020744i,0.00022648-0.00069389i,0.00080815-0.00017001i
0.0016845-0.0011427i,-1.4602e-05-0.0016788i,-0.00078558-0.0011279i,-0.00028547-0.00013189i,0.00036784+9.8325e-06i,0.00047301-3.4391e-05i,0.00091569-0.000732i,0.0013276-0.00065293i,0.0012823+0.0001769i,0.00038796+0.00040089i,-0.0010228+6.783e-05i,-0.00065353+0.00013673i,0.00023644+0.00011755i,-0.00024977+0.00059103i,-0.0010945+0.0010904i,-0.00085754+0.00044158i,8.6323e-05-0.00021379i,0.00093917-0.00016672i,0.00092931+4.1629e-05i,0.00072282+0.00071569i,-0.00020665+0.00056168i,-0.00089753+0.00064338i,-0.00035472+0.0016605i
0.0011861+0.00044185i,0.0013955-0.00063245i,0.00169-0.00097232i,0.0023817-0.00090153i,0.0025119-0.0018172i,0.0033053-0.0024731i,0.0033274-0.0016638i,0.0018666-7.7261e-05i,0.00090825+0.0007137i,-0.00034946+0.00063742i,-0.00098461+0.00051235i,-0.00090312-0.00026i,-0.00088-0.00086597i,-0.00053138-0.001133i,4.3337e-05-0.00036929i,0.00028224+0.00094661i,-0.00036413+0.0010361i,-0.00054417-6.5562e-05i,0.00021107-0.00076626i,0.00099926-0.0012151i,0.00071352-0.0011028i,0.00026683-0.0010519i,0.00037862-0.00047036i
0.0013119-0.00056636i,0.00063378-0.00047292i,-4.0187e-06-0.00051876i,-0.00056346-0.00040024i,-0.00018941-0.00020412i,0.001122+0.00024993i,0.0014901-8.1278e-05i,0.00060205-0.001021i,6.1978e-05-0.0012005i,-0.00045958-0.00034924i,-0.001552-2.9312e-05i,-0.0015992-0.00038845i,-0.00060553-0.00052189i,7.6467e-05-0.00010154i,-0.00037609+0.00036303i,-0.00055623+0.00026396i,-0.00053028+0.00035002i,-0.001304+0.0005345i,-0.0011992+0.00065633i,-0.00028797+8.3965e-05i,9.5577e-07-0.00074748i,8.729e-05-0.00048028i,-8.0376e-05+0.00036923i
0.00019548-0.0023463i,-0.0014716-0.0021253i,-0.0021902-0.0014273i,-0.0014039-0.00090998i,-0.00013659-0.00022939i,0.00091251-0.00011077i,0.0014708-0.00055803i,0.0017817-0.00080054i,0.0011464-8.2109e-05i,4.7791e-05-0.00021259i,-0.00050783-0.00067556i,-0.00063692-0.0001639i,5.0953e-06+0.00047977i,0.00044341+0.00062306i,0.00098536+0.00036852i,0.0006149+0.0002011i,-7.1987e-05-0.00018116i,-9.7209e-05-0.00054554i,0.00010385-0.00062414i,0.00033996-0.00091644i,0.00052085-0.00089044i,0.00016165-0.00061404i,0.00044077-0.00052978i
0.00086903-0.00013014i,0.00039789+8.1302e-05i,0.00067382-0.00064116i,0.0006411-0.00049554i,3.5385e-07+0.00033649i,0.0012921+0.00026712i,0.001892-0.00063106i,0.0017234-0.0010066i,0.0013421-0.00086044i,0.00070727-0.00052186i,0.00011165+5.035e-05i,3.7284e-05+0.00036063i,-3.3754e-05+0.00045402i,-0.00034683+0.000765i,-0.00066005+0.0016039i,-0.0013444+0.0014736i,-0.0012098+0.00021558i,-0.00031335-5.6637e-05i,0.0004212+0.00048661i,0.00050017+0.00029525i,0.00078656-3.486e-05i,0.0008056-7.2773e-05i,8.0098e-05+0.00060892i
0.00018092+0.0007976i,0.0012188+0.00067472i,0.0009261+0.0011917i,0.00082058+0.0011505i,0.0013135+0.0008823i,0.00095558-7.0065e-06i,0.0010352-0.0011693i,0.00043856-0.0013056i,0.00050217-0.00094557i,0.00073447-0.0004851i,6.8682e-05-0.00024582i,0.00023758-0.00017834i,5.2615e-05-8.9499e-05i,-0.00066642-0.00061141i,-0.00036287-0.00049217i,0.00046324+0.00060027i,0.00056327+0.00080745i,-8.6744e-05+0.0001812i,-0.00064568-0.00078871i,-6.4624e-05-0.00082683i,0.00065272-0.00011998i,0.00073781+0.00083052i,0.00042567+0.00087867i
-0.00061311+0.001145i,-0.00029922+0.00066801i,-0.00022368+0.00033282i,-0.0004478+0.00038495i,0.00062813-0.00016969i,0.002168-0.00099805i,0.0023379-0.00077509i,0.0013334-0.00028902i,0.00091427-0.00041973i,0.00088449-0.000652i,0.00030263-0.00091156i,-0.00045547-0.0001288i,-0.00097693+0.0010066i,-0.000985+0.00065868i,-0.001024+4.7943e-05i,-0.00067419-0.00013038i,-0.00020471-0.00019317i,-8.7006e-05-0.00072059i,0.00020083-0.00061745i,0.00015924+0.00029104i,-5.3648e-05+0.00069853i,0.00051651+0.00017881i,0.00058103-1.0667e-05i
0.0013206-0.00099826i,0.00041558-0.00081362i,-0.00065083-0.0012853i,-6.5572e-05-0.000461i,0.001065+9.1456e-05i,0.0026523+0.00023633i,0.0024162+0.00014025i,0.0010236-0.00066887i,0.00044154-0.00051208i,-0.00057785-0.00023446i,-0.00084188-0.00021107i,-8.9477e-05+4.5155e-05i,0.00033817+0.00083681i,0.0005224+0.0008431i,0.00048022+0.00082347i,0.00038719+0.00063689i,0.0002754+2.1004e-05i,0.00022456+0.00020667i,4.7248e-05+0.00031617i,-9.0312e-05-0.0003867i,1.921e-05-0.00068291i,0.00026987+9.9863e-05i,0.00015269+0.00029182i
-0.00039512+0.0017049i,-8.8941e-05+0.0018004i,-0.00013493+0.0024455i,0.00037355+0.00092119i,0.0017204-0.00094196i,0.0017172-0.0015451i,0.0013008-0.001578i,0.00048778-0.00055304i,-0.00045296+0.00030529i,-0.00032875-2.8249e-05i,4.4559e-05-0.00047845i,-6.4953e-06-0.00055383i,-0.00067986-0.00055778i,-0.0009563-0.00023509i,-6.5456e-05-0.00029521i,0.00011358+7.6712e-05i,-0.00061033+0.0002322i,3.8646e-05+0.00026654i,0.00059895+0.0010683i,-0.00045617+0.0012688i,-0.00092934+0.00075662i,-0.00044828+0.00079839i,-8.1304e-05+5.4052e-05i
-0.0010976-0.00059072i,-0.00049711-0.0004196i,-0.00015106-1.5052e-06i,-0.00020244-0.00037063i,0.0001226-0.00055486i,0.0012077-0.00087832i,0.0012234-0.001288i,7.4558e-05-0.00087722i,-3.5572e-05-0.00031098i,-0.00031422+0.00010508i,-0.0013434+0.00019829i,-0.0011985-0.00033303i,-0.00019313+0.00032269i,-6.536e-05+0.00065923i,-0.00032204+0.00033328i,0.00067253+0.00039427i,0.0009164+0.0005951i,0.0001407+0.000595i,-2.9433e-06+0.00044262i,-1.8842e-05+0.00015291i,3.1706e-05-0.00018077i,0.00014934-0.00012822i,0.00014456-0.0005126i
