0.0027993+0.00062908i,0.0027719-0.0014155i,0.0017364-0.0037988i,-0.00015233-0.0048503i,-0.0023409-0.0033219i,-0.0038079-0.00069392i,-0.0023172+0.000825i,3.4641e-05+0.0012722i,0.0010477+0.00057415i,0.0013325-0.00024539i,0.00032496+0.00027051i,-0.00076005+0.0011288i,-0.0012807+0.00084426i,-0.001813+0.00053194i,-0.0018459+0.001278i,-0.0011306+0.0014555i,-0.00033774+0.00063417i,-0.0004127-0.00014771i,-0.00046421+3.5012e-05i,0.00062568+0.00078222i,0.0011036+0.0009412i,0.00089667+0.00028237i,0.0013467-6.7684e-05i
-0.00018344-0.00028397i,0.00058598+0.00038701i,0.0008499+0.0014505i,0.00027721+0.00093287i,-0.00042552-2.5592e-05i,-0.00023508-0.00028011i,0.00055213-0.0002501i,0.00085319-0.00040933i,0.00028037-0.00010737i,-0.00057387+0.00063425i,-0.00040418+0.0013044i,-0.0005941+0.00093436i,-0.00038763+2.4767e-05i,-4.095e-05-9.1541e-05i,0.00046404+0.00018504i,0.0003591+0.00085809i,-0.00027889+0.0017691i,-0.00018573+0.00086312i,0.00049165-1.2646e-05i,0.0014892+0.00023437i,0.0011654+0.000172i,0.00040418+0.00013072i,0.00023087+3.1731e-05i
0.00088674+0.00017371i,0.0015751+0.00019397i,0.0012608-0.0004292i,0.00015803-0.0003447i,-0.00073635+6.7263e-05i,-0.00074812-0.0010579i,0.00033299-0.0015504i,0.00084062-0.00057049i,0.0007334-0.00024986i,0.00060328-0.00017766i,0.00010228+6.8266e-05i,-0.00046505-5.8411e-05i,0.00034951-0.00014365i,0.00059754-9.9638e-05i,-0.00021304+4.3692e-05i,-0.00021369+0.00022461i,-0.00029989-0.00011616i,0.00021972-0.00031364i,0.00041899+0.00027355i,-0.0002489+0.00061399i,-0.00019216+0.00081637i,9.1008e-05+0.00022197i,2.78e-05-0.00038848i
-0.0011472+0.0027678i,-0.00066987+0.0029094i,-0.00089167+0.0019706i,-0.0010392+0.00034004i,-0.00027161-0.00082574i,0.00060004-0.0010754i,0.00041482-0.0012442i,-0.00051683-0.00072929i,-0.00062763-0.0004322i,-2.3885e-06-0.00095454i,0.00063347-0.0010795i,0.00038068-0.000435i,0.00043145-9.8486e-05i,0.00078981-0.00037917i,8.5521e-05-0.00056298i,-0.00046661+0.00043342i,-0.00057881+0.0011755i,-0.00054292+0.00039074i,-0.00078578-0.00031526i,-0.0012616-0.00064423i,-0.00054929-0.00073396i,7.2949e-05-0.00037241i,-0.00016567+7.4631e-05i
-0.0015924+0.0012369i,-0.0011304+0.00093009i,-1.2503e-05+0.00039578i,0.00085827-1.9351e-05i,0.00076148-0.00079088i,0.0004234-0.0014807i,-0.00018891-0.0017416i,-0.00028343-0.0013169i,5.1541e-05+0.00022396i,-3.8516e-05+0.0013029i,-3.7202e-05+0.0010542i,-0.00026696+0.00036069i,-0.0006926+7.7698e-05i,-0.00046902-0.00023894i,7.02e-05-0.00034825i,-0.00027498-0.00036686i,-0.00054856+9.2139e-05i,-0.00074676+0.00019588i,-0.00084699-1.8849e-05i,-0.00050447+0.00021863i,-0.00014635+0.00015736i,0.00021198-0.00031386i,0.00018836-0.00046365i
-0.0019738+9.5283e-05i,-0.0022149+0.00010649i,-0.0018008-0.00067687i,-0.0006592-0.00055211i,0.00034566-0.00059953i,0.00027803-0.00078601i,0.00032471-0.00035549i,0.00021098-0.00029601i,0.00010315+3.0235e-06i,-1.1768e-05+0.0010874i,-0.00040896+0.0010063i,-0.00044491+0.00049634i,-0.00076131+0.0004788i,-0.00042222+0.00025116i,0.00019822+0.00034063i,0.00069973+0.00018259i,0.00065701+0.00016383i,-1.6382e-05-5.8841e-05i,-0.0002096-0.00045126i,-0.00067881-0.00031645i,-0.00042431-0.00024996i,-0.00039666-0.0007048i,-0.001207-0.00063531i
0.001025+0.0010073i,0.00071077+0.00075433i,0.00084418-0.00016536i,0.000416-0.0010174i,-4.5291e-05-0.0011588i,0.00022618-0.0013195i,0.00060958-0.0017241i,0.0002343-0.0013433i,0.00056031-0.00066209i,6.6985e-05-0.00020117i,-0.00041668+0.00079131i,-0.00015235+0.0013278i,-0.00037881+0.0011602i,-0.0010166+0.00050186i,-0.00080631+0.00029269i,0.00028079+0.00034371i,0.0010289+0.000548i,0.00090163+0.00049102i,-8.4444e-05+0.00068848i,-0.00074546+0.00041826i,-0.00055349-0.00017953i,0.00017806+9.2794e-05i,0.00022526+1.35e-05i
-0.001086+0.00062925i,-5.7193e-05+0.00034187i,0.00023712+0.0015115i,0.00024294+0.0018141i,0.00041416+0.00034908i,6.261e-05-0.001064i,-0.00065262-0.0016757i,-0.00074606-0.0010925i,-0.00042737+0.00038606i,-6.2299e-05+0.00013235i,0.00032235-0.00056333i,0.00044759-0.00063544i,0.00038495-0.00095281i,0.00048719-0.0010848i,-0.00021041-0.00087814i,-0.000219-0.00086706i,-4.5919e-05-0.0010434i,-0.00045164-0.0007747i,0.00055855-1.7864e-06i,0.00085493+0.000223i,0.00020529-0.00013568i,0.00019377-9.5743e-05i,0.0001623-0.00014236i
0.0014146+0.0030359i,0.0015689+0.0023706i,0.0019747+0.00079046i,0.0016632-0.00034188i,0.00086652-0.00060812i,-1.7457e-05-0.00080643i,-0.00049334-0.00060028i,-0.00013873-0.00032253i,0.00017787-0.00043924i,-3.3959e-05-0.00067263i,-8.9848e-05+3.2752e-05i,-0.00013032+9.8071e-05i,0.00024078-0.00029216i,0.00045183-0.0003821i,0.00012966-0.00034649i,6.6507e-05+0.00045721i,0.00016322+0.00051439i,0.00059022+0.00058101i,-2.3837e-05+0.0010157i,-0.0005893-0.00023126i,-0.0001536-0.001123i,-3.249e-05-0.0010364i,-0.00030999-0.0002508i
-0.0016098+0.00035247i,-0.0015745+0.0010053i,-0.0013883+0.00023938i,-0.0015612-0.00048739i,-0.001663-0.00096945i,-0.0011295-0.0010623i,-0.00038651-0.001134i,-0.00027457-0.00026008i,-4.2937e-05-0.00021936i,1.5099e-05-0.00047484i,-0.00064005+0.00070276i,-0.00075078+0.00043169i,0.00025324-0.0001383i,0.00041185+0.00033991i,-0.000324+8.6417e-05i,0.00049073+0.00037341i,0.00091233+0.00024238i,0.00025772+7.6534e-05i,-5.1312e-05+0.00094056i,-0.00019605+0.0011757i,-7.6307e-05+0.00018797i,-0.00014234-0.00079335i,-0.00042806-0.00091525i
-0.00084872+0.00050972i,9.1076e-05+0.00016244i,0.00088844-0.00072593i,0.0008395-0.0015062i,0.00046183-0.00093592i,-0.00023717-5.2012e-05i,-0.00059124-0.00012027i,-7.8875e-05-0.00016892i,0.00073096-9.6055e-05i,0.00050796-0.00012683i,-0.0002904+0.00022442i,-0.0005832+0.00041345i,5.2727e-05+0.00052595i,0.00073834+8.3793e-05i,0.00067723-0.00067045i,0.00042842-0.0010232i,-0.00016711-0.00068916i,-0.00073996-0.00012729i,-0.00042396+0.0010889i,-0.00059441+0.0015943i,-0.00052981+0.0010171i,0.00015616+0.00042444i,0.00010299+0.00018854i
0.00054627+0.0010591i,-0.00045277+0.00043092i,-0.00024099-0.00064898i,-0.00034569-0.00060909i,-0.0014393-0.00093736i,-0.0014438-0.0012406i,-0.00027807-0.00046299i,-0.00030726-4.017e-05i,-0.00070579-0.00059723i,-0.00084828-0.00090663i,-0.0010855-0.00053804i,-0.00065115-0.00073282i,-0.00029004-0.00038337i,-0.00040634+0.00070977i,-0.00046238+0.00080573i,-0.00039601+0.0006681i,-0.00016621+0.00038599i,-0.00027561+8.9421e-05i,-0.00084487+0.00065372i,-0.00077636+0.000644i,-0.00018333+0.00018153i,0.0004962-0.00040201i,0.0010235-0.00080086i
-0.0011734+0.00084244i,-0.0015529+0.00080437i,-0.0011603+0.00053074i,-0.001105+0.0003471i,-0.0014017+0.00028238i,-0.00070736-8.3441e-05i,-3.8559e-05-0.00010021i,-0.00031809-0.0003657i,-0.00074818-0.00058013i,-0.00016845-0.0007359i,0.00014152-0.00045988i,-0.00022799+0.00014984i,-0.00049902+0.00050116i,-0.00044214+0.00039133i,-0.00046449-8.7559e-05i,-0.00083751-0.00019169i,-0.0010281-7.3602e-05i,-0.00096341-0.00051101i,-0.00032076-0.0011245i,8.2982e-05-0.00067864i,-0.00032573+0.00018373i,-0.00084335+0.00087032i,-0.0012104+0.0013062i
-0.0022988+0.00086681i,-0.0027727+0.00024454i,-0.0027345-0.00048758i,-0.0020885-1.3684e-05i,-0.00071774+6.0894e-05i,0.00036182-0.00044699i,0.00048263-0.00032876i,1.0627e-05-0.00085576i,0.00037964-0.0011675i,0.00016036-0.00018581i,-9.9373e-05+0.00077039i,0.00054577+0.0013815i,0.0010084+0.0011802i,0.00042638+0.00060834i,8.0592e-05-0.00012484i,-0.00043969-0.00025498i,-0.0012355-0.00028642i,-0.0013625-0.00050081i,-0.0006554-0.00014393i,0.00033427-0.00032106i,0.00031217-0.00032375i,-9.8822e-05-0.0003744i,-0.00037415-0.00050041i
0.001388-0.00024076i,0.00071049-0.0012894i,0.0010558-0.001659i,-0.00046429-0.0013879i,-0.0015629-0.001463i,-0.00068557-0.00091711i,0.00028112-0.00037255i,0.00033454-0.00022344i,0.00036392-0.00097556i,-0.00019854-0.0012237i,-0.0015533-0.0012332i,-0.0014109-0.0015206i,-0.00068209-0.00076743i,-0.0005087+0.00015106i,-0.00026369+0.00045078i,-0.0003138+0.00093911i,-0.00057638+0.00091858i,-0.00016225+0.0002393i,0.00048325+2.3831e-05i,0.00033207+6.5368e-05i,0.00012028-0.00042394i,-0.00025073-0.0010194i,-0.00044768-0.00045752i
0.0012631-0.0021965i,0.0021241-0.0015423i,0.0013515-0.0010477i,-0.00041885-0.0015109i,-0.00060614-0.0018921i,-0.00011709-0.0012841i,0.00031433-0.0010759i,0.00087654-0.0010765i,0.00089403-0.00086786i,0.00047145-0.00055641i,0.00050982-0.00012394i,0.00043208+0.00045558i,0.00034169+0.00090642i,-0.00014442+0.0010581i,-0.00050642+0.00069724i,2.7968e-05+8.3056e-05i,0.00029915+0.00035288i,-0.00085986+0.0012506i,-0.001077+0.00097525i,-0.00033369-0.00017125i,0.00036018-0.0013249i,6.7717e-05-0.0018997i,-7.812e-05-0.0016295i
-0.0004459+0.0011971i,0.00010018+0.0016177i,-0.0002314+0.0013664i,-0.00055089+0.00025647i,0.00010621-0.0002332i,0.0001662-0.00037807i,-0.00068691-0.00075459i,-0.00074749-0.0012662i,-0.00036267-0.0012286i,-7.6467e-05-0.0012563i,-3.1366e-05-0.00079014i,0.0001251-0.00083666i,0.00036234-0.0011536i,-0.00018177-5.2509e-05i,-0.00081063+0.00027354i,-0.00086665+0.00014647i,-0.0004274+0.00055417i,-0.00016113+0.0010683i,-0.00024498+0.00020701i,-0.00079522-0.00080518i,-0.0011381-0.00037078i,-0.0015188-0.00012116i,-0.00090283-7.0482e-05i
-0.0010688-0.00069994i,5.7371e-05+0.0011365i,0.0002442+0.0010554i,-0.0013588+0.00017012i,-0.002429+0.00065938i,-0.0010871+0.00055453i,-5.3339e-05-0.00042033i,-0.00014806-0.0014866i,0.00056801-0.0017655i,0.0011396-0.00077964i,0.00089933+0.00068872i,0.00076026+0.00078987i,0.00056386-0.00046667i,0.00025322-0.00075595i,0.00027558+7.6501e-05i,0.00059363+0.0001479i,0.00071191-0.00021324i,0.00048727-0.00011653i,0.00038442+0.00021292i,-7.4307e-05+0.00042606i,4.1012e-05-0.00032279i,0.00041692-0.00035936i,0.00023122+0.00044825i
-0.0018118+0.00041374i,-0.0010104+3.2264e-05i,0.0002637-0.00012212i,-0.00032066-0.0006328i,-0.00066768-0.00081234i,-0.00090971-0.0010734i,-0.00092788-0.0012475i,-0.00084737-0.00078414i,-0.00072411+0.0001852i,2.4466e-05+0.0004352i,-0.0002213+0.00055246i,-0.00039893+0.00039273i,0.00059131+0.00045865i,0.00068431+0.0011046i,-0.0003862+0.00048872i,-0.00086731+0.00019766i,-0.00078783+0.0006686i,-0.00080445+0.00038207i,-0.00042659+0.00016374i,-0.00045162+0.00067541i,-0.0005688+0.0010286i,-0.00080584+0.0006246i,-0.0013784+0.00031718i
-0.00038585-0.00096654i,-0.00069363-0.00013946i,-0.0007212-0.000677i,-0.0010534-0.0013136i,-0.00039498-0.00097363i,0.00013689-0.00011406i,-2.0654e-05-0.00028529i,-1.4383e-05-0.0010498i,-5.9316e-05-0.0010553i,0.00010239-0.00069612i,0.00080319+0.00011955i,0.0011317+0.0011198i,0.00043134+0.00096398i,0.00033273+0.00029003i,0.00034738-6.9138e-05i,0.00039448-0.00011422i,0.00097179+0.00035033i,0.0006508+0.00058565i,-0.00034658+0.00048851i,-0.00080839-7.2076e-05i,-0.00024371-0.00050293i,0.00016478-0.00022834i,-0.00052214-4.1512e-05i
0.00095447-0.00088086i,-0.00036577-0.00097624i,-0.00032736-0.0013092i,-0.0006914-0.0023842i,-0.0014442-0.0026851i,-0.0012674-0.0011171i,-0.00025919-0.00059013i,0.00072904-0.0014218i,0.00071088-0.0015528i,-0.00019648-0.00098621i,-0.00032826-0.00099861i,0.00031936-0.00049659i,0.0002249-0.00061657i,-0.00042115-0.0007883i,-0.00084112+0.00015475i,-0.00019163+5.2976e-05i,0.00060662-6.3676e-05i,0.00072495+3.6498e-05i,0.00014433-0.00048374i,0.00014507-0.001033i,-8.0759e-05-0.00086677i,-0.00089297-0.00035008i,-0.00083431+0.00023551i
0.000273+0.00078193i,0.0010328+0.0010493i,0.00095913+0.00032032i,0.00031727-0.0010227i,0.00066643-0.0010401i,0.00053148-0.00081027i,0.00031974-0.0014028i,0.00035551-0.001292i,0.00060318-2.1736e-05i,0.0007978+0.00014497i,0.00075175-0.00029474i,0.00043884-0.00029902i,-3.4269e-05+0.00011355i,-2.3733e-05+0.00039175i,-0.00041968+5.9075e-05i,-0.00086454-5.1346e-05i,-0.00083527-0.00037208i,-0.00054358-0.00049671i,-0.00025389-0.00044034i,0.00042954-0.00091589i,0.00061524-0.00095536i,0.00085384-0.0007973i,0.00054618-0.00058175i
-0.00015383+0.00088571i,0.00049513+0.00069431i,0.00076972-0.00053658i,0.00050035-0.00062769i,-0.00025281-3.3291e-05i,-0.00027709+0.00012373i,-0.00010076-0.00080308i,4.1145e-05-0.001257i,-0.00039942-0.0003382i,7.2073e-05-0.00025574i,0.000875-0.00023514i,0.00081441+0.00027953i,0.00032877+0.00029773i,-0.00047459-0.00054058i,-0.0002799-0.0014139i,4.7446e-05-0.00049283i,-3.2583e-06-0.0001418i,7.8239e-05-0.00022695i,-0.00021895-0.00060572i,0.00025781-0.00068374i,0.00070037-8.91e-05i,-8.7736e-05-0.00013412i,-0.00088825-0.00028262i
-0.0021243+0.00040816i,-0.0015451+0.00055207i,-0.0007987+0.00029476i,-0.00078109-0.00069606i,-0.00011476-0.00048447i,0.00070868-0.00088171i,0.00080101-0.0014561i,2.1671e-05-0.00039947i,-0.00020602+0.00037061i,0.00032873+0.00062977i,0.00037666+0.0005426i,-0.00015484+0.0008329i,-0.00078213+0.000758i,-0.00079854-0.00034496i,-0.00042091-0.00061538i,-6.4628e-05-0.00046946i,-6.7769e-06-6.4418e-05i,0.00023795+0.00023469i,0.00075684+0.00011557i,0.0008722+0.00034447i,0.00083862+0.00039303i,0.00045971+0.00023608i,-0.00052219+0.00015723i
-0.0016942+0.00052069i,-0.0011233+0.00090429i,-0.00019512+0.0001832i,-0.0001517+0.0004534i,-0.00030828+0.00065071i,-0.00042657-0.00017531i,-0.00048936-0.0011486i,-0.0002671-0.0017139i,-0.00016014-0.00019369i,-8.7502e-05+0.00035276i,0.00015836-0.00028636i,0.00047397-0.00053553i,0.00056851-0.00023531i,0.00041582+0.00099272i,0.00031876+0.0010246i,0.00029795-3.0663e-06i,-1.0817e-06-0.00027334i,0.00044062+7.8938e-05i,0.00057596-0.00023365i,-0.00032222-0.00068443i,-0.00093165-0.00062164i,-0.00092389-0.00043707i,-0.00025787-0.00033248i
0.00032217+0.0010798i,0.001448+0.0011768i,0.0014435+0.00072321i,0.001162-0.00041273i,0.0009141-0.00029088i,0.00066737-0.00082963i,0.00046369-0.0015188i,-0.00016442-0.0015504i,-0.00077386-0.0009909i,-0.0012192+0.00012391i,-0.00070305+0.00024147i,-8.3024e-05-0.00043307i,-0.0001601-0.00071242i,-0.00032368-0.00040433i,-4.3113e-05-5.9956e-05i,-0.0002633-0.00019163i,-0.00019619-0.00024229i,2.3178e-05+0.00043532i,6.8501e-05+0.00031258i,0.00041605-0.00022071i,0.00019429-0.00020955i,-3.1568e-05-0.00082948i,4.0721e-05-0.0014873i
-0.0010798+0.0037703i,-0.00036393+0.0045099i,0.00029296+0.003306i,0.00031059+0.00097993i,-7.2433e-05-3.8252e-05i,-0.00013495-0.00046211i,-2.6556e-05-0.00099214i,-0.00042222-0.0008384i,-3.8147e-05+0.00011706i,0.00074476+0.00054331i,0.00024845-0.00036953i,-0.0001305-0.00049306i,0.00023043-0.0010627i,-0.00016696-0.0012619i,-0.000508-0.00063954i,-0.00030289-0.0002822i,-0.00034024-9.4382e-05i,-0.00034126-7.2384e-05i,-0.00023691+0.00071046i,-5.4606e-05+0.00053728i,0.00014729-0.00041127i,9.7022e-05-0.00041532i,-0.00020863+0.0002084i
-0.0020982+0.0015411i,-0.0034119+0.0012923i,-0.0033016+0.0014821i,-0.0016087+0.00083571i,-0.00021776+0.00029955i,0.00034146-0.00023205i,7.7633e-05-0.00040079i,-0.00017402-0.00050199i,-0.00014051-0.00034487i,-0.00024746+0.00038488i,-0.00034722-2.8804e-05i,-4.8765e-05-0.0002616i,-0.0003612+0.00015878i,-0.00072485+0.00080777i,-0.0011731+0.00085875i,-0.0017288+0.00042814i,-0.00059248+0.00018224i,-0.00017701+0.00031499i,-0.00035124-0.00041935i,-7.6382e-05-0.00082393i,-0.00045184-0.00030853i,-0.00043727-9.9177e-05i,0.00026605-0.00039003i
-0.0010597+8.5843e-05i,-0.0010095+0.00097788i,-0.00037431+0.0010212i,-0.00027737-0.00039634i,-0.00016516-0.0016114i,0.00034078-0.0018701i,-0.00021032-0.0016747i,-0.00099092-0.00094942i,-0.00061286-0.00042944i,-0.00028234-0.00053866i,-0.00079421-0.00097762i,-0.00060233-0.00087403i,-0.00034294-0.00036834i,-0.00015475-0.00014382i,-0.00028846-4.3853e-05i,-0.00030101+0.00025613i,-0.00038072-0.00010198i,0.00013545-0.001424i,0.00042573-0.0007949i,-0.00029449+9.1582e-05i,-0.00043163+0.00034217i,-0.00014119+0.00019213i,0.00013739+5.064e-05i
0.0013204-0.00094545i,-4.953e-05-0.0018817i,-0.00066118-0.0020743i,-0.0010889-0.0018046i,-0.0012322-0.0019696i,-0.00058216-0.0013219i,-0.00049407-0.0012474i,-0.00073178-0.0012163i,-0.0010423-0.00032836i,-0.0013911-3.3071e-05i,-0.0008243-4.4939e-05i,-0.00020817+0.00028151i,-0.00044702+0.00071751i,-0.00099602+0.00037214i,-0.0012915+0.00024711i,-0.00029709+0.00077664i,0.00022877+0.0011246i,-0.00059525+0.00066163i,-0.00015179+0.00017482i,0.00094414+0.00057264i,0.00044653+0.00057813i,-0.0012272-7.9339e-05i,-0.00075364-8.1319e-05i
-0.00048486-0.00020023i,-0.00017629+0.00029463i,0.00078122-0.0003786i,3.0804e-05-0.00058868i,-0.0017882-0.00083412i,-0.0014257-0.0011585i,0.00019974-0.0014036i,0.00072993-0.00045156i,0.0011722+0.00041179i,0.00054533+0.00033864i,-0.00028831+0.00065337i,-0.0005819+0.00071076i,-0.00070052+0.00016889i,-0.00029279+0.00038518i,4.4198e-05+0.00084953i,-0.00049768+0.0004176i,-0.00093476-0.00030094i,0.00023189-3.9951e-05i,0.0011856+0.00042268i,0.0007454+0.00053964i,0.00028417-7.1618e-05i,0.0003296-0.0004988i,0.00049326-0.00010863i
0.0011644+8.3634e-05i,0.00058959-0.0001723i,0.00030648-8.4758e-05i,-0.00022583-0.00029561i,-0.00088615-0.00089714i,-0.0014192-0.0011423i,-0.00067552-0.0010257i,-0.0004134-0.00086272i,-0.00012853-0.00026559i,0.00027087-9.5992e-05i,-0.00034634-0.00057064i,-0.0011521-0.00027384i,-0.00082241+0.00062296i,-0.00026689+0.0004308i,-0.00077552-9.7128e-05i,-0.001222-0.00072706i,-0.00040137-0.00018718i,-3.6809e-05+0.00057356i,-0.00058879+6.7275e-05i,-0.00058528+4.146e-05i,-0.00040342+0.0002192i,-6.4206e-05-0.00011946i,0.00014069+8.0222e-05i
