-0.0077186-0.00036062i,-0.0082694-0.00054374i,-0.0066182+0.0012907i,-0.0047228+0.0034481i,-0.0035062+0.0029197i,-0.0017834+0.0015193i,-0.00094554+0.0010745i,-0.00069643+0.0011483i,-7.5583e-05+0.00038415i,0.0010687+0.00060159i,0.0015744+0.0010728i,0.0012479-0.00025132i,0.00044178-0.0016969i,-0.00046487-0.0010608i,-0.0010281-0.00035874i,-0.0010984-0.00025883i,-0.00081302-0.0001217i,-0.00041722-0.00038957i,-0.00048663-0.00045574i,-0.00068077+0.0002729i,-0.0005816+0.00077193i,-0.00045126+0.00034859i,5.8815e-05+5.9307e-05i
0.00021347-0.0031657i,-0.00076259-0.0020735i,-0.0017438-0.0027858i,-0.0019698-0.0023668i,-0.0011273-0.00085646i,-5.1992e-05-0.00017298i,-0.00031697-0.00060762i,-0.00033757-0.0018986i,-0.00070304-0.0018075i,-0.0016076-0.00077593i,-0.00092716-9.8549e-05i,0.00066677+0.00047249i,0.00088455+0.00041095i,0.00025961-0.00031131i,-0.00023224-0.0002852i,-4.6615e-05+0.00022529i,-0.00022647-0.00016062i,-0.00018309-7.8856e-05i,-0.00035812-6.8508e-05i,-0.00095556-0.00086724i,-0.00092627-0.00065537i,-0.00057692+0.00030058i,-0.00025079+0.001067i
0.00085151+0.00027568i,0.00062631-0.00033465i,0.00064897-7.1025e-05i,0.00036757+0.00016468i,0.00017552+0.00037861i,0.00038888-8.2602e-05i,-0.00068213-0.00051679i,-0.0016277-0.00068354i,-0.001028-0.0012308i,-0.00049465-0.0011774i,-4.9737e-05-0.00033814i,0.00058925+0.00043341i,0.00080551+0.00078967i,0.00076484+0.00047282i,7.9552e-05-0.00034968i,-0.00042298-0.00032358i,0.0002265-0.00020072i,-1.1721e-05-0.0011063i,-0.00056758-0.0013553i,-0.00069667-0.00052309i,-0.0005543-9.8977e-05i,7.6734e-05-0.00028663i,0.00085863-0.00061872i
0.0017399+0.0030505i,0.002485+0.002004i,0.0027122+0.0011016i,0.0024814+4.5013e-06i,0.0012693-0.0018207i,-0.00038546-0.0021856i,-0.0011568-0.0010962i,-0.001052-0.00080455i,-0.00022721-0.0013785i,-0.00046693-0.0018812i,-0.0012011-0.0018667i,-0.00082954-0.0011207i,-0.00011352-0.00018602i,-0.00025629+0.0006185i,-0.00014904+7.3752e-05i,0.00061623-0.00024215i,0.00090488+0.00069952i,0.0010412-0.00026407i,0.0014112-0.00052864i,0.0010657+0.00028832i,0.00063168+8.5706e-05i,0.0010598-0.00088274i,0.0009271-0.0011572i
0.0011528+0.0011649i,0.00098705+0.0015443i,0.0010333+0.001044i,0.0014743+2.3419e-05i,0.0013568-0.00053036i,0.00052584-0.00062924i,0.00010078-0.00087109i,-0.00067922-0.0011493i,-0.00090673-0.0012274i,-0.00064568-0.00080508i,-0.00046802-0.00059341i,-0.00018946-0.00034697i,0.00015713+0.00048611i,0.0004041+0.0013393i,-0.00011525+0.0013572i,-0.00067322+0.00054189i,-0.0005752+0.00052511i,0.00021159-4.5544e-05i,0.0012835-0.00013298i,0.0012129+0.00023775i,0.00030221-0.0002529i,7.3281e-06+0.00025291i,-4.6369e-05+0.00075657i
0.00025905+0.001062i,0.00050966+0.0012628i,0.0001938+0.0014287i,0.00064653+0.000651i,0.00066977-0.00093125i,0.00010069-0.0020862i,-0.00016003-0.0016462i,-0.00010006-0.00067201i,-0.00018418+6.8499e-05i,-0.0011769-0.00018759i,-0.0020887-0.00050986i,-0.0018159-0.00029622i,-0.00086014-1.9057e-05i,-0.00072787+0.00017647i,-0.00032267-6.5364e-05i,0.00069964+3.0217e-05i,0.00056785+0.00032947i,-0.00018139-6.1803e-05i,-0.00017017-0.0004506i,0.00017131-0.0008512i,-0.00052242-0.00051893i,-0.0011627-0.00023671i,-0.00054001-0.0003169i
0.0011523-0.001625i,0.00062792-0.0024773i,0.00039074-0.0015576i,-5.2998e-05-0.00097333i,-0.00032897-0.0003569i,-0.0005468+0.00024618i,-0.0014115-0.00016673i,-0.0012253-0.00032824i,-0.00063588-0.00017892i,-0.00048665-0.00028624i,-0.00050546-0.00047637i,-0.00054643-0.00036019i,-0.00014452+3.9977e-06i,0.00049351+0.00056681i,0.00049077+0.0011501i,-0.00040767+0.00067152i,-0.00057751-8.4592e-05i,-0.00010222-0.00040056i,0.00023625-0.0002315i,0.00034973-0.00026838i,-0.00018837-0.00020452i,0.00011144-0.00027182i,0.00021951-0.00052999i
0.0012739+0.0023211i,0.00159+0.0028004i,0.0014656+0.0016798i,0.00048392-6.467e-05i,-5.013e-05-0.0004304i,-0.00090038-0.00045029i,-0.0014518-0.0001853i,-0.00078005-0.00028587i,-0.00070918-7.8984e-05i,-0.00088723+0.00048056i,-0.00059717+0.00027136i,-0.00071295+0.00010423i,-0.00042103+0.00041979i,-0.0004697+0.0010006i,-0.0011004+0.001131i,-0.0008294+2.8478e-06i,-0.00042188-0.00074891i,-0.00035147+2.2263e-05i,-0.00070938+0.00030555i,-0.00020856-0.00070778i,0.00030846-0.00033601i,0.0001342+0.00045446i,0.00013512+0.00019925i
-0.0019771-0.0025642i,-0.0018833-0.0021112i,-0.0026297-0.0017363i,-0.0029807-0.00044206i,-0.0024621-5.7825e-05i,-0.0011958-0.00069388i,-0.00066562-0.0011091i,-8.5143e-05-0.00044807i,-7.9812e-05-9.3277e-05i,8.3984e-05-0.00042013i,0.0004845+0.00043414i,0.00018563+0.00080696i,0.00038625+2.7893e-05i,0.00041076-0.00013931i,3.7048e-05-0.00033482i,-0.00015281-0.00023476i,-0.0007628+0.00060692i,-0.0010204-5.0472e-05i,-0.00078651-0.0011863i,-0.00068909-0.00082781i,-0.00012291-0.00011835i,-0.00031178+0.00022535i,-0.00083177+0.00029161i
-0.001219-0.00017734i,-0.00018916-0.00013207i,-0.00044214+0.0010746i,-0.00084111+0.0011934i,-0.00059411+0.00046994i,0.00022618-0.00015384i,-0.00010818-0.00045014i,-0.0007328-0.0010576i,-0.00046815-0.0007733i,-0.00067091-0.00022953i,-0.0011643-2.5063e-05i,-0.00053764-4.7564e-06i,-0.00031446-0.00025824i,-0.00071901-0.00062346i,-0.00061436-0.00019604i,-0.00031413+0.00059692i,-0.00040999-0.00031854i,-0.00012535-0.00084186i,-0.00033751-0.00037055i,-0.0006556-0.0001383i,-0.00025478-0.00012668i,0.00048212-5.0726e-05i,0.0013837-9.3967e-05i
0.00088366+0.0024749i,0.0010773+0.002347i,0.0015392+0.0019543i,0.0021294+0.00086885i,0.0019737+0.00023732i,0.0015557-7.9424e-05i,0.00085186-0.00036583i,0.00022276-0.00028401i,-0.00024577-0.00042988i,-0.00097831-0.00090829i,-0.0012241-0.00059497i,-0.001257+0.00049269i,-0.0013209+0.0010593i,-0.00083574+0.0013773i,0.00064188+0.0013397i,0.0013488+0.00070823i,0.001058+0.00021955i,0.00031314+2.2836e-05i,0.00027059-2.804e-05i,0.00011014-0.00043274i,0.00043611-0.00051963i,0.00091829-0.00025423i,0.0010233-3.8638e-05i
0.00058656-0.00097534i,0.00036737-0.00092146i,0.00022421-0.0017848i,-0.00014085-0.0026194i,-0.00090598-0.0021059i,-0.001133-0.0015165i,-0.0010323-0.00081884i,-0.00096385-0.00071687i,-0.00055869-0.00059541i,-0.00088121-6.1408e-05i,-0.00099447-6.5508e-05i,-0.00083462+0.00014242i,-0.00045361+0.00090037i,-0.00022818+0.0010082i,0.00055326+0.0011435i,0.00093547+0.0011496i,0.00014255+0.0010268i,0.00025811+0.0012006i,0.00047347+0.00016818i,-1.1421e-05-0.00025846i,-0.00088661+3.8701e-05i,-0.00085559-0.00039494i,-0.00051568-0.00093869i
-0.0010703-0.001507i,-0.00039976-0.0011189i,-0.00040874-0.0019317i,-0.00038252-0.00106i,0.00013009-0.00033357i,0.0001103-0.00062398i,-7.2512e-05-0.00034791i,-0.00023962-0.00040132i,-0.00043611-0.00081671i,-0.00091596-0.00094115i,-0.0012273-0.0006014i,-0.0012083-8.4366e-05i,-0.0010857-0.00012033i,-0.0012448-0.00035516i,-0.0010431-6.8851e-05i,-0.00048452+0.00036219i,0.0001478+0.00037469i,0.00017548-0.00012972i,-6.0265e-05-0.00031243i,-0.00012119-0.00019496i,1.5925e-05-0.000438i,0.00062925-0.0010394i,0.00012283-0.0011552i
0.0002418-0.00030527i,-0.00021209-0.00034662i,-0.00089682-0.00021669i,-0.0012186+0.0002292i,-0.0014546+0.00082601i,-0.00051587+3.5106e-05i,-0.00015066-0.00012465i,-0.00044331+0.00020818i,-3.4219e-05-0.00044194i,3.2513e-05-0.00077299i,-0.00056003-0.00095331i,-0.00078453-0.00066044i,-0.00017834-0.00018857i,0.00067521+0.00046682i,0.00071523+0.0004201i,0.0004999-0.0004144i,0.00074092-0.00063111i,0.00066826-0.0002741i,5.7738e-05-7.7412e-05i,-1.2442e-06+0.0001306i,8.4442e-05+0.00034555i,0.00038357+0.0010119i,0.00037086+0.0008955i
-0.0027563+0.0013018i,-0.0022443+0.0015862i,-0.0014374+0.0020561i,-0.00076961+0.0022847i,0.00027154+0.0018629i,0.00060177+0.000133i,0.00044852-0.0001088i,0.00075121-5.3705e-06i,0.00041444-0.00027352i,-6.839e-05-0.00021153i,0.00020622-0.00044585i,0.00030158-0.00052709i,-0.00012199-3.2619e-05i,-0.00042563+9.4203e-05i,-0.00029478+4.492e-05i,-4.805e-05+0.00061211i,0.00016589+0.00098914i,0.00013762+0.00020736i,-0.00041771-0.00027774i,-0.00023818-0.0004764i,0.00064444-0.00045361i,0.00011607-0.00014145i,-0.00085235+0.00034802i
-0.0014223+0.00078519i,-0.00089126+0.0013851i,-0.0011616+0.0012473i,0.0004349+8.3532e-05i,0.0021548-0.0005141i,0.0014974-0.00075917i,0.0009703-0.0013793i,0.00087774-0.0016111i,0.00018725-0.0012159i,-0.00075383-0.00094482i,-0.00087654-0.00050825i,-0.00033444+0.00050335i,0.00015807+0.00082482i,0.00033378+0.00050335i,-0.00016957-0.00013136i,-0.00018205-3.5202e-05i,-0.00021848+0.00061269i,-0.00028984+0.00055512i,-0.00030935+0.00019931i,-0.00060507-0.00045147i,0.00034181-0.00034263i,0.00082724+0.00034296i,0.00059472+0.0002763i
-0.00034465+0.0022716i,-0.00049627+0.0013325i,0.00056972+0.0013303i,0.0016575+0.00042107i,0.0020576-0.00092945i,0.0011963-0.0013404i,-0.00022069-0.0009089i,-0.00095207-0.0009579i,-0.00025754-0.0013257i,-0.00013941-0.0012074i,-0.0012448-0.00049134i,-0.00098399-0.00049869i,-0.00067947-0.00025007i,-0.0010406+0.00070929i,-0.00085191+0.00063267i,-0.00037849+0.00021164i,0.00019672-0.00041849i,0.00059065-0.0007381i,0.00073591-0.00087544i,0.00039012-0.0011531i,0.0002842-0.00064951i,0.0003219-0.00046512i,0.00095016-0.00074197i
0.00055966-0.00020745i,0.00045212-0.0012736i,-2.8787e-05-0.0012891i,-0.00066707-0.0016123i,-0.0002195-0.0012405i,-0.00012176-0.00068946i,-0.0003404-0.00045418i,-0.00046783-0.00089966i,-0.00065649-0.0016229i,-0.00060052-0.0011797i,-0.00079275-0.0002704i,-0.0004504-0.00021842i,0.00021416+0.00053707i,4.7462e-05+0.0010557i,-0.00013156+0.00044819i,-0.00069689-0.00033887i,-0.00062819-0.00036524i,-0.00047297+0.00040606i,-0.00058161+0.00029286i,-0.00089448-0.00010995i,-0.0010648-7.2075e-05i,-0.00051378+1.3011e-05i,-0.00039685+0.00054752i
-3.9182e-05+0.0010125i,-0.00068464+0.0011465i,-6.3473e-05+0.00026154i,0.00014159-0.00039404i,5.2875e-05-0.00069289i,0.00031278-0.00041395i,-0.00016134-0.0002682i,-0.00036628+0.00039286i,-0.00011378+0.00075923i,-0.00049967+0.00033923i,-0.00032004+0.00016923i,0.0001915+0.00025823i,6.6268e-05+0.00033343i,-0.00017147+0.00037789i,0.00048263+0.00085793i,0.00087383+0.0014277i,0.0004445+0.00083885i,0.00063478-9.5804e-05i,0.00070053-0.00013213i,0.00030293-0.0004276i,-0.00012529-0.00034875i,-0.0004345-5.8488e-05i,-0.00043475-0.00031336i
0.001379+0.00068763i,0.00087354-0.00099438i,0.00025652-0.0012595i,-0.00011498-0.0011093i,0.00060326-0.0010614i,0.00041596-0.00093823i,0.00014011-0.00061545i,-0.00056468-0.00073094i,-0.00097728-0.00074437i,-0.00034831-0.00043244i,-0.00023969-0.00014244i,-0.00042453-0.00020001i,-0.00059875+0.00027476i,-0.00041864+0.0010595i,-4.905e-05+0.0016592i,-0.00035057+0.00048891i,-0.0006033-0.00069935i,-0.00038265-0.00027008i,-3.3469e-05-0.00042988i,9.8392e-05-0.00086156i,-0.00052742-0.00020765i,-0.00016201+2.3758e-05i,0.00029561-0.00024476i
-0.0012587+0.00065564i,-0.00069053+0.00061414i,0.00013615+0.00054542i,-0.00033941-2.4414e-05i,-0.00092461-0.00036514i,-0.00031862-0.00020087i,0.00042695-6.7416e-05i,0.00070232-0.00040449i,0.00043778-0.00093438i,-0.00049847-0.00099431i,-0.00056079-0.00057642i,-0.00032498-4.1477e-05i,-0.00023626+0.00055225i,1.9828e-06+0.00027257i,9.8167e-05-0.00023651i,2.2205e-05+0.00017033i,-0.00044433+0.00032802i,3.4051e-05-0.00029368i,0.00049759+6.9516e-05i,-0.00011844-0.00012596i,0.00020451-0.00068976i,0.00027755+0.00013341i,-0.00049191+0.0010455i
-0.0041006+0.0030961i,-0.0046764+0.0023871i,-0.003144+0.0033275i,-0.0017496+0.003163i,-0.00087358+0.0011211i,-0.00011741+0.00044022i,0.00020505+0.00048742i,-7.7061e-05+0.00030101i,-0.00041983-0.00038631i,-0.00078467+5.6438e-05i,-0.00073198+0.00073645i,-4.0825e-05+0.00084906i,-0.00038986+0.001145i,-0.00087528+0.00067895i,-0.0008685-9.6609e-05i,-0.0008078-0.00012136i,-2.5143e-05+0.00012827i,0.00034205-0.00024723i,-0.00019651-0.00055006i,-0.00024143-0.00089997i,0.00042419-0.00088264i,-1.2223e-06-0.00015919i,-0.00060267+0.00056248i
-0.00041913-0.0015694i,-0.00058427-0.0011396i,-0.00019551-0.0011157i,0.00036472-0.001189i,-0.00015064-0.00099821i,-0.00086225-0.001135i,-0.00019949-0.00073442i,0.00022845-0.00059328i,-0.00069969-0.0010068i,-0.00080508-0.00066365i,-0.00039592-0.00012199i,-0.0011772-0.00027764i,-0.0011584-0.00050047i,-0.00035709-0.00033971i,-0.00018648+0.00039719i,-0.00071914+0.00088882i,-0.00046909+0.00016969i,0.00017607-0.00027699i,-0.00021067-0.00017254i,-0.0010459+0.00014183i,-9.5188e-05-0.0004017i,0.0012136-0.00092931i,0.00075298-0.00034671i
0.0012325-0.0014237i,0.0012737-0.0011796i,0.00048731-0.0012972i,5.21e-06-0.0020327i,-0.0006148-0.0021662i,-0.0009877-0.001744i,-0.00027577-0.0005513i,-0.00063045+0.00029353i,-0.0015381-0.00044012i,-0.0017602-0.0010035i,-0.0016631-0.0010145i,-0.00096094-8.9794e-05i,-0.00052733+0.00074374i,-8.3617e-05+0.00078347i,-9.8682e-05-6.7095e-05i,-0.00035901-0.00030231i,5.457e-05-7.1634e-05i,-0.00015181-0.00021884i,-0.00047957-0.00058983i,-0.00041201-0.00053743i,-0.00090413-0.0005362i,-0.0011538-0.00050339i,-0.00098134+0.00060968i
-0.00066451-0.0011082i,-0.00068844-0.00063971i,-0.0020503-0.00051773i,-0.0026803-0.00056094i,-0.0015838+0.00079512i,-0.00094384+0.0014917i,-0.00083991+0.000402i,-0.00040096-0.00026791i,-0.00065887-0.00033856i,-0.00059823+0.00014896i,-0.00045351+0.00075008i,-0.00038639+0.00030921i,-0.00015764+6.0823e-05i,-0.00022795+0.000323i,6.6137e-06+0.0002525i,-0.00030332-0.00070042i,-0.00021936-0.0010722i,-0.00021124-0.00067951i,-0.00064752-0.0014794i,-8.5438e-05-0.0015332i,0.00055496-0.0003356i,0.00022098+0.00031059i,-0.00099036+0.0002659i
0.00075779+1.265e-05i,-3.6788e-06-7.3915e-05i,-0.00030368-0.00070309i,-0.00087249-0.00077171i,-0.0019748-0.00048673i,-0.0020229-0.00077651i,-0.0013112-0.0012547i,-0.0014926-0.00085712i,-0.0021502-0.00022385i,-0.002089-0.00052154i,-0.0018341-0.00067177i,-0.0015007-0.00026558i,-0.00094645+0.00087586i,-0.0009151+0.0012643i,-0.00063388+0.00085178i,-0.00031074+0.0008217i,-0.00021351+0.00050609i,0.00040482+2.374e-05i,0.00067645-0.00056351i,8.8884e-05-0.00043302i,-5.3349e-06+0.00039194i,-0.00059944+0.00024059i,-0.001212-0.0001891i
-0.0013057-0.0012295i,-0.0017196-0.00088223i,-0.0016534-0.0012498i,-0.00099508-0.00040104i,4.2769e-05+0.00086282i,0.00070112+0.00081039i,0.0003389-0.00050489i,0.00023942-0.00065761i,0.00038625+2.3004e-05i,9.6662e-05-0.00077224i,-0.00057188-0.00099907i,-0.0007539-0.00092927i,-0.00055878-0.00056269i,-0.00042624+0.00034992i,-0.00027762+0.00073288i,0.00030481-1.7308e-05i,0.00088253-0.00068845i,0.0011364-0.00014952i,0.00013123+0.00013787i,-0.0007571-0.00029086i,-8.4473e-05+0.00012571i,0.00014364+0.00016551i,-0.0001794-0.00063746i
0.0012357-0.00036071i,0.0022355-0.00026617i,0.0033712+0.00079382i,0.0017466+0.00031173i,-6.2978e-06-0.00098604i,-0.00019715-0.00079194i,-0.00043068-1.9026e-05i,-0.00088656+0.00049713i,-0.00089304+0.00031847i,-0.00061953-0.00026022i,-0.000426-7.1454e-05i,-0.00015456+0.00036719i,7.4892e-05+0.00046879i,-0.00052699+2.4001e-05i,-0.00062495-0.00030993i,-0.00027714+0.00075079i,-0.00047257+0.000482i,0.00010173-0.00027049i,0.00087701+0.00031112i,0.0010333+0.000389i,0.00043465+2.3932e-05i,0.00051955-0.00056878i,0.0011212-0.00039585i
0.00034468+0.00046915i,0.0017506+0.00066977i,0.0022408+0.00068448i,0.0011319+4.1018e-05i,0.00096854-0.0010596i,0.00079276-0.00079192i,-7.1202e-05-0.00068908i,-0.00041248-0.00098827i,-0.00013367-0.00048035i,-0.00012005-0.00039801i,-0.00029327-0.00055599i,-0.00012128+0.00030239i,-0.00039826+0.00066914i,-0.00056125+0.00014257i,-0.00034569+0.00030265i,8.7503e-05+0.0001432i,0.00026128-0.00061812i,0.00040682-0.0010172i,0.00028163-0.0010826i,0.00044499-0.00058355i,0.00058604+0.00013295i,8.9725e-05+0.0006881i,-0.00017372+0.00034218i
-0.00023685-0.001525i,-0.00061422-0.0012529i,-0.00049488-0.0018557i,-0.0010127-0.0010044i,-0.0019172-0.00023445i,-0.0015185+0.00013339i,-0.00096888+0.00017636i,-0.00080031+4.0696e-05i,-0.0009332-4.9095e-05i,-0.00094091-0.00058449i,-0.00081052-0.00022554i,-0.00071279+0.00025475i,-0.00059111+0.00058062i,-0.00048589+0.00029623i,-0.00038999+7.3796e-05i,-0.00066497-0.00059754i,-0.00060384-0.0013257i,-0.00021922-0.0011291i,-0.00081852-0.0004727i,-0.001121-0.00013951i,-0.00104-0.00038243i,-0.00032386-0.00081764i,2.8661e-05-0.00077167i
-0.002808+0.0006211i,-0.0028936+0.00060926i,-0.0021762+0.00065249i,-0.0010177+0.0016984i,-0.00029529+0.0011375i,-4.4497e-05-0.00047609i,0.00013431-0.00074868i,-0.00065522-0.00031211i,-0.0010513-0.00058186i,-0.00063513-0.00069879i,-0.00079241-0.00018437i,-0.0011839-0.00050588i,-0.0015781-0.00082345i,-0.0012511-0.00083799i,-0.00029693-0.00071742i,0.0003137-0.00014416i,-4.9365e-05+0.00011963i,-0.00037478-0.00049609i,-4.935e-05-0.00047715i,-0.00027706+0.00021386i,-0.00035742+0.00034995i,-0.0001862+0.00063614i,-0.00068496+0.0012931i
-0.0013292+0.0039259i,-0.0010716+0.0029947i,-0.00027644+0.0024564i,0.00096631+0.0017142i,0.0021549+0.0010216i,0.0016467-0.0005834i,0.00024852-0.00133i,-0.00072861-0.00057356i,-0.00053966-0.0003239i,-0.00022772+1.222e-05i,-0.00047913+0.00063556i,-0.0007094+0.00039128i,-0.0013513-0.00028598i,-0.0019755-0.00023226i,-0.0011092+0.00022401i,-0.00048179+0.00037643i,-0.00061656+0.00023181i,-0.00050072-5.846e-05i,-0.00082765-0.0006307i,-0.00098965-0.00051407i,7.0926e-06-2.0172e-05i,0.0010526+0.0002371i,0.0010677+9.6156e-05i
