-0.00042841+0.00021459i,0.00036672-0.0010758i,-0.0010006-0.00085348i,-0.0012822+0.00051437i,-0.0011326+0.002004i,-0.00068395+0.0022127i,0.00016298+0.0016404i,0.00096678+0.00089729i,0.0012893+0.00020041i,0.0016532-0.0004761i,0.001761-0.00048379i,0.00054726-0.00065008i,-0.00011496-0.0010591i,2.1024e-05-0.0013648i,-0.00039823-0.00049242i,-0.00048909+0.00026709i,-0.00015631+0.00028071i,-0.00038807+8.6022e-05i,-0.00048284-0.00027132i,-0.00047598-0.00016686i,-0.00058731+2.2632e-05i,-0.00020517+0.00068817i,0.00052017+0.00096893i
0.0011179+0.0012969i,0.00080101+0.0019038i,0.00024056+0.0017321i,1.4659e-05+0.0011727i,-7.0343e-05+0.00066264i,-0.00057578+6.4291e-05i,0.00011479-0.0003771i,0.0005057-0.00074042i,0.00017565-0.0003708i,0.00069598+0.0003766i,0.0007167-5.4862e-05i,-0.00012835-0.00054201i,-0.00032339-8.1522e-05i,-0.00025876+0.00094168i,-7.606e-05+0.00016812i,0.00067855-0.00063215i,0.00089504-0.00020316i,0.0010672-9.3616e-05i,0.0011536+0.00021732i,0.00041846+0.00080589i,-0.00087904+0.0013418i,-0.0011395+0.00076626i,-0.00092907+0.00045719i
0.0019428+0.00092414i,0.0013513+0.00093768i,0.00028743+0.00030259i,0.0004053-0.00080949i,0.00083902-0.00112i,0.0002576+0.00020748i,0.00025555+0.0014464i,0.0011165+0.00085842i,0.0017828-0.0001461i,0.00084214-0.0010749i,0.000106-0.00082274i,0.00052549-0.00020493i,0.00088506+0.00011107i,0.00097277+0.00049928i,0.00089412+0.00021913i,0.00074697+0.00011353i,0.0004389-0.0001255i,0.00060735-0.00063328i,0.00068915-0.00094803i,0.00031275-0.00029034i,-0.00012034+0.00031574i,0.00030835-0.00039792i,0.00074339-0.00024008i
0.0008402-0.00024634i,0.00047336-9.0905e-05i,0.00026677+6.6703e-05i,-0.00020914+0.00020156i,-0.00049623+0.00045503i,0.00012255+0.000358i,0.00065798+0.00047007i,0.00012375+0.00091975i,-0.00023336+0.00059464i,-0.00027536+0.00030816i,-0.00019209-0.00022242i,-0.00047394-0.0007126i,-0.00015004-0.00034524i,0.00040892-9.3735e-05i,0.00017691-6.4065e-05i,-0.00035499+0.00035201i,-0.00043976+7.2302e-05i,-0.00041677+0.00016599i,-0.00041117+0.00052725i,-0.00058737+0.00015411i,-0.00036521+0.00011649i,-0.00015432-0.00029247i,-1.9196e-05-0.0010427i
0.00062588+0.0025351i,0.0012925+0.0026948i,0.0015858+0.0022609i,0.0011414+0.0017007i,0.00032706+0.0013865i,0.0002585+0.0009653i,0.00088778+0.00065297i,0.0012736+0.0010372i,0.0011306+0.0008798i,0.0014432-4.1246e-05i,0.0013451-0.00075479i,0.00028367-0.00079185i,-0.0002452-0.00056327i,0.00016283-0.0008262i,0.00053222-0.00047231i,0.00037492+5.172e-06i,-0.00047051+0.00017915i,-0.00017034+1.7046e-05i,0.00079545-0.00014933i,0.00018771+0.00024829i,-0.00031846-0.00035903i,-0.00042399-0.0010173i,-0.00025101-0.00076512i
-0.0016766+0.00014516i,-0.0014166+0.00061935i,-0.00031819+0.00037072i,-0.0010259+0.00044538i,-0.0012597+0.00099051i,-0.0002246+0.0015309i,0.00042192+0.0014026i,0.0010242+0.00082414i,0.00034752-0.00019781i,-0.00056318-0.0012648i,-0.00046021-0.0011688i,0.00040186-0.00052043i,0.00094362-0.00047314i,0.00069942-0.00018741i,0.00028894-0.00016308i,0.0006706-0.00041659i,0.00073894-7.8321e-05i,0.00015347+0.00032935i,7.4475e-05+0.00010522i,0.00038719-0.00045265i,0.00029171-0.00071185i,-0.00011546-0.00016417i,4.1642e-05-0.00016301i
0.0012081+0.00018343i,0.00032781-0.00012411i,-0.00059642-0.00010088i,0.00039158-0.00047533i,0.0011228-7.2504e-06i,0.00020136+0.00088693i,5.7889e-05+0.00068466i,0.0011412+0.00033679i,0.0020667-0.00017603i,0.0012229-0.0002913i,-4.8764e-05+5.4096e-05i,0.00058945-0.00056301i,0.00097381-0.00064534i,0.00069338+0.00060717i,0.00053597+0.0011141i,0.00082871+0.0004604i,0.00091172+0.00061063i,0.0010811+0.0010712i,0.0006137+0.0006928i,-8.0151e-05-0.00049334i,0.00010259-0.00088061i,-0.00022674-0.00039579i,-0.00045967-0.00038241i
0.001577-0.0014586i,0.0018514-0.00097267i,0.0010705-0.00082801i,-0.0001265+0.00038259i,0.00028875+0.0012065i,0.0011379+0.0012432i,0.0008503+0.00075055i,0.00027514+0.00053376i,-1.4547e-05-5.0886e-05i,0.00011156-0.00094706i,-3.0231e-05+0.00015402i,-0.00027977+0.00088204i,-0.00014197+5.7663e-05i,0.00034903-0.00031179i,0.00032822+0.00040432i,-0.00076064+8.914e-05i,-0.00099652-0.00048135i,-0.00010392-3.206e-05i,0.00014005+0.00062526i,0.00043072+0.00045842i,0.00090297-0.00016948i,0.00075843-0.00050686i,0.00062088-0.00052212i
-0.00068648+0.0018117i,-0.0013469+0.0022162i,-0.00055894+0.001565i,-0.00067784+0.00076583i,-9.5238e-06+0.00036895i,0.0010192+0.00047258i,0.00076569+0.00094018i,0.00063977+0.00042935i,0.00048246-0.00042564i,2.2939e-05-3.2418e-05i,-0.0005731+0.00077456i,-0.00049971+0.00055908i,3.8235e-05+8.1684e-05i,0.00013236-6.2024e-05i,0.00047298-2.7491e-05i,0.0010149+0.00030199i,0.00093+0.0009729i,0.00074109+0.00091738i,0.00088406-0.00014202i,0.00057913-6.535e-05i,-8.8608e-05+0.0005945i,-0.00059383+0.00021253i,-0.00041353-0.00072167i
-0.00054831+0.0002032i,-0.00035109+1.8052e-05i,-0.0002808+0.00072018i,-2.285e-05+0.0010839i,0.00076871+0.0012519i,0.0013512+0.0011028i,0.0014529+0.00090617i,0.00087811+0.00065815i,2.6742e-05+0.00011765i,-0.00011934-0.00069529i,-0.00038509-0.00088198i,-0.00083809-0.00030622i,0.00013894+0.00027566i,0.0012953+3.9636e-05i,0.0010549-5.2441e-05i,0.0007622-0.00010702i,0.00053044-6.3227e-05i,-0.00017551-0.00024577i,-0.00012895-0.00091265i,0.00043017-0.00072293i,0.00015643-0.00022318i,-0.00011504-0.00073614i,1.4572e-05-0.00046945i
0.0018431-0.0005711i,0.0017047-0.0012444i,0.00095295-0.0010495i,-0.00020499+0.00018115i,-0.00060117+0.00072993i,7.2321e-05+8.392e-05i,0.00046841-0.00025708i,0.00057876-6.7936e-06i,0.00031653+0.00036828i,5.8735e-05+0.00080677i,5.0226e-05+0.0003253i,-0.00028022-4.6823e-05i,-0.00052333-0.00031708i,-0.00048738+0.0002922i,-0.00019259+0.0010254i,-0.00045809+0.00090498i,-0.00065132+0.00038379i,-0.00019465+0.00021133i,0.00013439+0.00010201i,0.00096299-0.00033321i,0.0010254-0.00046288i,4.9519e-05-0.00013431i,-8.9533e-05-0.00058932i
7.8388e-05+0.00084086i,6.871e-05+0.00061881i,6.3933e-05+0.00091613i,0.00034634+0.0010004i,0.00050757+0.0014344i,0.0016093+0.0016764i,0.0013647+0.0016655i,8.1063e-05+0.001121i,0.00038218+0.00042282i,0.00045511+0.00013496i,-0.00055172-0.00020742i,-0.00066267-0.0005874i,-0.00056581-0.00022827i,-0.0010448+0.00042888i,-0.00051607+0.00048887i,-0.0001511+0.00030878i,-7.4551e-05+0.00072456i,9.0604e-06+0.00094033i,-8.0181e-05-4.4366e-05i,-0.00029678-0.00065327i,-0.00086214-0.00047628i,-0.00057125+0.00044275i,-0.00054542+0.00049616i
-0.0012449+0.001921i,-0.0011429+0.0010476i,-8.0613e-05+0.00052717i,0.00011481+0.00023998i,7.3937e-05+0.00040119i,-0.00071005-0.0002976i,-0.00049292-0.00041885i,0.00052171-5.4463e-05i,0.00095811-0.00015143i,0.00095927-0.00056262i,0.00076958-0.00040192i,0.00060763+0.00071914i,0.00072299+0.00082947i,0.0007893+0.00016633i,9.1564e-05+0.00010744i,-7.6668e-05+0.00062917i,-0.00010115+0.0005721i,-8.3085e-05-0.00025157i,0.00032986-0.00021654i,0.00069001-0.0001104i,0.00050174+0.00019523i,-7.7855e-05+9.1657e-05i,-0.00060823-0.00073833i
0.0015798-0.00072742i,0.00063686-0.00072799i,-0.00066011-0.0014526i,-0.0010668-0.00098967i,-0.00060086+7.2962e-05i,-0.00042257+0.00060042i,-0.00040912+0.00066157i,2.4527e-05+0.00084404i,0.00028103+0.00031372i,-3.4527e-05-0.00026898i,-0.00046802-0.00042362i,-0.00011537-0.00058768i,0.000428-0.0001982i,0.000822-6.3803e-05i,0.0010383+0.00012258i,0.00037184+0.00055768i,-0.00021396+0.0007573i,0.00034385+0.00063407i,0.00083198-2.9684e-05i,0.00052931-0.00042302i,4.8347e-05+0.00034795i,0.00022006+0.00068096i,0.00059505+2.8082e-05i
-0.00025035-0.00036312i,0.0010168-5.0418e-06i,0.00085343+0.0011816i,-8.5034e-05+0.0019322i,-0.00015193+0.0011517i,4.3712e-05+0.00013596i,0.00056069-6.221e-05i,0.00068404-0.0002834i,0.00034069-0.00046352i,-0.00017675-0.00062843i,-0.00085524-0.00042784i,-0.00048837+7.2278e-05i,-8.273e-05-0.00016137i,-5.8101e-06-0.00043606i,9.2239e-05-0.00016349i,-0.00051721+0.00042429i,-0.00052761+0.00040199i,0.00057312+9.2025e-05i,0.00057495-4.5911e-06i,0.00050765-0.00032179i,0.00033613+9.082e-05i,0.00034219+0.00021533i,0.0010288-0.00026151i
0.00092151-0.00039649i,-0.00059048-0.00025203i,-0.0016465+0.00013336i,-0.0017413+0.00052786i,-0.00096426+0.00051626i,-0.00071662+0.00064635i,-0.00039578+0.0013211i,0.00022637+0.0010835i,0.000282+0.00015021i,0.00013443-0.00012299i,0.00033319+0.0001561i,0.00075131+0.00043896i,0.00050086+0.00028061i,-0.00039538-7.6403e-06i,-0.00040189+0.00029865i,-0.00033659+0.00056274i,-0.00076362+5.1768e-05i,-0.00068907+0.00010718i,-0.00056221-9.5467e-05i,-0.00072547-0.00089823i,-0.0002251-0.00041926i,0.00021591+0.00036602i,-0.0001751+0.00012863i
-0.0011893-0.00011597i,-0.00019645-0.0011837i,0.00047758-0.0010958i,0.00011662+0.00015704i,-6.4221e-05+0.00077586i,0.00074162+0.0002876i,0.00073915+0.00014439i,0.00091076+0.00011448i,0.00073117-0.00030054i,0.00040195-0.00023993i,0.0011902+0.00019937i,0.0011786+0.00047656i,0.00050945+0.00027597i,2.0665e-05+0.00037991i,-0.00038519+0.00066268i,-0.00055115+0.00074854i,0.00030866+0.0012031i,0.00089537+0.00082013i,0.00046779-0.00023149i,-5.7378e-05-0.00058181i,-0.00035694-0.00016433i,-0.00031356+0.00021324i,-0.00034081+0.00063983i
-0.0011934-0.00017934i,-0.00212-0.0001899i,-0.0019387+0.00061619i,-0.00077971+0.00094116i,0.00064462+0.0010997i,0.0011349+0.0005962i,0.00093126-0.00010429i,0.00091698-0.00029141i,0.00077527+0.00020776i,0.0002414+0.0011518i,-0.0003927+0.0011817i,-0.00067478+0.00083854i,-2.4553e-05+0.00096011i,0.00045752+0.00070676i,5.1788e-05-0.00021038i,0.00021214-0.00052684i,0.00040197-0.00020443i,-0.00019756+0.00020499i,-0.00080429+0.00016703i,-0.00077134-0.00058729i,-0.00049333-0.00074142i,0.00017527-0.00028701i,7.219e-05-0.00020181i
0.00027939-0.00089635i,0.00055315-0.00048649i,0.0012634+0.00014948i,0.00065811+0.00022819i,0.00026181-0.00015171i,0.00030307-0.00010511i,0.00050389-0.00082214i,0.0011819-0.00042861i,0.00094928+0.00017575i,2.6432e-05-0.00068998i,-0.00067646-0.00079778i,-0.00053923-0.00010738i,-0.00046278+3.9893e-05i,-0.0007927-0.00049263i,-0.00039747-0.00059129i,0.00032309+0.00036618i,6.0886e-05+0.0010998i,-2.9404e-05+0.00062954i,0.00048762+0.00028773i,0.00013589+0.00019835i,0.00018781-0.00027615i,0.00097657-0.0004682i,0.00086478-0.00015033i
0.00037568-0.00013981i,0.00075337+0.00034128i,0.0001503+0.00045388i,-0.00047592+0.00039561i,-0.00035766+1.8785e-05i,0.00020677-0.00014795i,0.00054686-8.6235e-05i,0.0011192-0.00034195i,0.00096098-0.0005742i,9.248e-05-0.00062221i,-0.00017996-0.00015623i,-0.00031948+0.0001424i,0.00022155+9.9045e-07i,0.0002836+8.7441e-05i,-0.00041176-0.00048906i,0.00048041-0.00053183i,0.00081103+0.00045369i,-4.7372e-05+0.00010504i,-0.00020335-0.00044424i,0.00022375-0.00047772i,0.00036956-0.00018965i,0.00042707+1.5665e-05i,-0.00011676-8.9276e-06i
-0.00097507+2.0347e-06i,-0.0011567+0.00013377i,-0.0010829-4.7142e-05i,-0.0012739+2.0045e-05i,-0.00069495+0.00089929i,0.00060454+0.0018679i,0.0006193+0.0015113i,0.00017328+0.0001529i,0.00054209-0.00092744i,0.00083685-0.0011122i,0.00097416-0.00039553i,0.00015602+0.00041506i,-6.8555e-05+0.0009326i,0.00019074+0.0010327i,0.00032267+0.00098448i,0.00019861+0.00041473i,-0.00010294+0.00017003i,0.00028397+0.0008391i,0.00013639+0.00076039i,0.00056609-9.7304e-05i,0.0010186-0.00057613i,0.00042162-0.00083855i,-0.00030323-0.00036379i
0.00019103+0.00045294i,-0.00022764+0.00039031i,0.00017477+0.00039247i,0.00085113+0.00026246i,0.0010524-0.00024681i,5.2741e-05-0.00012625i,-2.6018e-05+0.00064871i,0.00065002+0.0009174i,0.0010944+0.00027688i,0.00071303-0.00049501i,0.00043905-0.00078028i,0.00032636-0.00056261i,-3.0937e-05-7.9046e-05i,-0.00034608+0.00086478i,-0.00021104+0.0016744i,-0.00035597+0.0018422i,0.00010615+0.00097814i,0.00051671-1.7847e-05i,-0.00023194-0.00044167i,-0.00060459-0.00069525i,-0.00048385-0.00074499i,-0.00040348-0.00092352i,-0.00069668-0.0007034i
0.00051717+0.00064321i,3.1375e-05+0.00044222i,0.00017182+0.0011555i,0.00023488+0.0012315i,-4.0812e-05+0.0010033i,0.00049079+0.001304i,-4.8705e-05+0.001104i,-0.00096947+0.00045946i,-0.00078229+0.00035599i,-0.0009572-0.00010826i,-0.00081192-0.00051534i,-0.00055111+0.00020339i,-0.00030344+0.00061349i,0.00068827+0.00056035i,0.00045698-5.4117e-06i,-0.00012485+2.7768e-05i,-0.00013996+0.0009115i,-0.00021416+0.00056851i,4.4144e-05-0.00048077i,0.00017817-0.00056635i,-0.00036065-0.0005943i,-0.00028675-0.0014381i,8.1067e-05-0.00099008i
0.00025447+0.0014407i,-0.00027837+0.0019547i,-0.00096266+0.0011257i,-0.0012455+0.00024091i,-0.0012455-0.0010731i,-0.0005582-0.00090121i,-0.00043465+0.00049754i,0.0002618+0.0004839i,0.00097262-0.00041398i,0.0011214-0.00080448i,0.00090466-4.0129e-05i,0.0003208+0.00045417i,-0.00039608+0.00028627i,0.00011065-0.00016706i,0.0009683-0.00025699i,0.00067436+0.00030991i,-0.00012501+0.00020838i,-0.0010977-7.8827e-05i,-0.001212-9.9162e-05i,-0.00033439-0.00023539i,0.00047069-0.00047851i,0.00018421+1.3738e-05i,-0.0006744+6.2562e-05i
0.00064026+0.00013818i,0.00086672+0.00045395i,0.00046831+0.00069086i,-3.464e-05+0.00086025i,0.00065477+0.0011478i,0.0012124+0.00087039i,0.0015581+0.00061027i,0.00076639+1.4505e-05i,0.00013602-0.00054621i,4.238e-05-0.00075961i,-0.00029623-0.0010767i,0.00010927-0.00090765i,0.00048517-0.00021862i,0.00024344-0.00017256i,-3.0177e-05-9.8964e-05i,3.3355e-05+0.00041038i,0.00052045+0.000366i,0.00102+0.00045018i,0.00043781+0.00074552i,-0.00032103+0.00019639i,-0.00040667-0.00072267i,-0.00025059-0.0011603i,-5.0328e-05-0.00048471i
0.00025573-0.0025721i,0.00022387-0.0015034i,0.00033465+0.00013872i,0.00087317+0.00024942i,0.00073742-0.00040438i,0.00056447-0.00063762i,0.00063187-0.00074589i,0.00083138-0.00087722i,0.00056047-0.00099697i,0.00021598-0.00098838i,-0.00017075-0.00059694i,-0.00041343-0.00040632i,-0.0001419-0.00030393i,-5.1414e-05+2.1346e-05i,-2.2851e-06+0.00061149i,0.00049645+0.00096503i,0.00074987+0.0014336i,0.00047409+0.0020138i,0.00020356+0.0011209i,0.00046225+0.00023699i,0.00059306+0.00036473i,0.00020776+0.00016598i,0.0002155-0.00040836i
-0.00026846+0.001557i,0.00031901+0.0021394i,-0.00023314+0.0023439i,-0.00042951+0.0014559i,-0.0002639+0.00082166i,4.4137e-05+0.00077585i,0.00030822+0.0010878i,0.00026317+0.0004076i,0.0009755-0.00024411i,0.00049086+0.00054857i,-9.304e-05+0.0002329i,0.00040337-0.0007234i,-3.0985e-06-0.00036417i,-0.00038827+0.00011778i,-8.8404e-05+0.00015869i,-0.00023131-0.000164i,-0.00018081+0.0002282i,-0.00010379+0.00073867i,-0.00036999+0.00026317i,0.00039413-5.0854e-05i,0.00044481-0.00027029i,-0.0004251+6.9458e-05i,-0.00091173-5.3534e-06i
0.00062838-0.0020749i,0.00020092-0.0013024i,-0.00067994+0.00032531i,-0.0014214+0.0020248i,-0.0011772+0.0025944i,-0.00072289+0.0017858i,0.00023568+0.00060063i,0.00082893-1.469e-05i,0.00095493-2.5593e-05i,0.0010273+2.2961e-05i,0.00021503+0.00016818i,-0.00025208-0.00013734i,0.0002368-0.00021488i,-0.00054598+0.00032484i,-0.00057553+0.00019169i,0.00052121+8.3204e-05i,0.00024787+0.00027874i,-0.00021736-7.7865e-05i,-0.00052083-0.0003038i,-0.00045711+9.6612e-05i,-0.00080981+0.00066932i,-0.001435+0.00013432i,-0.00099431+0.00026379i
0.00015861-0.00014121i,0.0020433-0.00023161i,0.0010636-0.00042914i,-0.00068981-0.0011517i,-0.0011663-0.00083432i,-0.00073218+2.2568e-05i,6.4626e-05+8.714e-05i,3.2914e-05-0.00043585i,-0.00029922-0.00023039i,-0.00010032+8e-05i,4.8078e-05-0.00052373i,-0.00024448-0.0004256i,-0.00016319-7.6585e-06i,-0.00022816-0.00046593i,0.0004496-0.00059703i,0.0005174-8.378e-07i,0.00029948-0.00018994i,0.00018157-0.00093958i,0.00021468-0.001269i,0.00034728-0.0010715i,0.00036471-0.00051816i,0.00034814-2.349e-06i,-0.00020103+0.00029967i
-0.00029198+0.0023129i,-0.00099604+0.0015628i,-0.0006365+0.00074105i,-0.0007779+0.00090455i,-0.00050066+0.00073222i,0.00026176+0.00045225i,0.00041688+5.7637e-05i,0.0001047-0.00064711i,0.00013724-0.00078103i,-0.00021601-0.00094393i,-0.00049107-0.00043925i,-0.00074195+5.0776e-05i,-0.0010028-1.1336e-05i,-0.0010669-0.00025415i,-0.0012555+2.6609e-06i,-0.00067481-7.6144e-05i,-7.7065e-05-0.00015413i,-0.00013647+0.00019427i,-8.7354e-05+0.00037762i,-7.4495e-05+0.00044843i,0.00024451-0.00023449i,0.00050814-0.00048241i,0.00077097-0.00026866i
-0.0013949-0.00079607i,-0.00090321-0.00042387i,-0.0014942+7.4526e-05i,-0.0017991+0.00065081i,-0.0012524+0.001184i,-0.00014416+0.0017889i,0.00010187+0.00099535i,0.00043759-5.0409e-05i,0.00066005+0.00027116i,5.4903e-05-0.00019246i,-0.00012997-0.00036271i,-0.00036517+0.00031368i,-0.00026456-9.8095e-05i,0.00043584-0.00039211i,0.00011276-7.8813e-05i,-0.00085148+6.2151e-05i,-0.0010102+0.00075303i,-0.00060515+0.0013505i,-0.00030568+0.00081294i,-2.8088e-05-0.00060187i,0.00065677-0.0012141i,0.0013785-0.00046373i,0.0013606+0.00014575i
0.0005671+0.0012033i,0.0017458+0.00095268i,0.0021221+0.00066353i,0.001823+0.00091063i,0.002125+0.0011578i,0.001805+0.001032i,0.00084477-0.00026391i,0.00093568-0.00088332i,0.0008982-0.00021554i,0.00090508-0.00017985i,0.00023545-0.00026141i,-0.00038292-9.7868e-07i,-0.00018005-4.1008e-05i,-0.00052869-0.00057067i,-0.0001061-0.00043884i,-0.00012464-0.00077833i,-0.00088873-0.00094633i,-0.00068828-0.00060056i,0.00056681-0.00057223i,0.0010082-0.00030836i,0.00055197+0.00014401i,3.3253e-05+0.00087452i,0.00013111+0.0012588i
