0.0012513-0.00068483i,0.0011182-0.00085248i,-0.00032455-0.0018026i,-0.001578-0.0024991i,-0.0018231-0.0020389i,-0.0011991+0.00038858i,0.00077688+0.0017297i,0.0016495+0.0013044i,0.0020466-0.00034688i,0.0020278-0.0015095i,0.0014064-0.0011081i,0.00025123-0.0006145i,-0.00067808-3.7086e-05i,-0.001064+0.0012027i,-0.0012026+0.00094411i,-0.00060971-1.488e-05i,-0.00029803-0.00036322i,2.9853e-05-0.00014327i,-0.00042709+0.00073087i,-0.0003981+0.00058773i,0.00012122+0.00036946i,0.0001545+0.00012918i,0.00012344+0.00017804i
0.00078481+0.00061665i,0.00014229+0.00068295i,-0.00066754+0.00035661i,8.8459e-05-0.00029878i,0.00044608-0.00041443i,5.8729e-06-0.00024812i,0.00039851-0.00063581i,0.00070753-0.0002093i,0.00030489+4.3384e-05i,0.00017709-0.00031353i,0.00016289-0.00030541i,-0.00058307-0.00046193i,-0.001095-2.3853e-05i,-0.0011759+0.00019661i,-0.00069172-0.00025225i,-0.00014607+3.0812e-05i,-0.00031707+0.00045387i,-0.00010538+0.00041923i,-0.00020466+0.00011569i,-0.00084553-0.00013152i,-0.00051815+0.00068968i,-6.1941e-05+0.000768i,0.00014969+0.00036451i
0.00034238+0.00053916i,-6.9757e-05+0.00038596i,0.0010333-0.00028342i,0.0021495-0.00042897i,0.0023192-0.00060212i,0.0014458-0.00072728i,0.00068482+0.0003836i,0.00010419+0.00090442i,-0.00024671+0.00089006i,-0.00035826+0.00064927i,-0.00043771+0.00028087i,-0.000826-0.0002339i,-0.00081508-0.00053616i,-0.00069442-0.00033965i,-0.00085015-0.00054557i,-0.00090088-0.0010086i,-0.0011909-0.00082739i,-0.00074909+0.00027835i,-0.0002905+0.00077809i,-7.1519e-05+0.00024287i,0.00046088-0.00022866i,0.0002689-0.0002835i,0.00013999+1.2425e-06i
-0.00057745-0.00053156i,-0.0020294-0.00022485i,-0.0017836-0.00019973i,-0.00094697+0.00010333i,-0.00075807-4.3189e-05i,-0.00056968-0.00034576i,-0.00041547-0.00015851i,0.00027761+4.3741e-05i,0.00048623+0.00058485i,-0.00027767+0.00099081i,0.00032746+0.00048745i,0.00036855+0.00055422i,0.00014714+0.00046829i,0.00033614-0.00014614i,0.00011714-0.00017725i,0.00034993-0.00037228i,0.00096642-0.00034808i,0.0011099+7.8885e-05i,0.00016586+0.00082551i,-8.6482e-05+0.00071196i,0.00023247+6.3405e-05i,0.00046504+0.00014942i,9.0003e-05-1.5809e-05i
-0.0015337-9.2285e-05i,-0.0008515+0.00034025i,-0.00051505+0.00015375i,-0.00028598+0.00056402i,0.00060791+0.0016239i,0.00091925+0.0016963i,0.0003799+0.00092918i,0.00024428-0.00052539i,-0.00012424-0.0011381i,-0.00062697-0.00021289i,-0.0001219+0.000871i,0.00059413-2.9155e-05i,0.00092067-0.00093145i,0.001168-0.00062327i,0.0006177-0.00040831i,-0.00016075+0.00030054i,-0.00052081+0.00045254i,-9.993e-05-0.00012453i,0.00025-0.0002974i,0.00029092-0.00065294i,0.00095953-0.0010233i,0.0012434-0.0001666i,0.00083389+0.00037034i
0.00033298+7.7782e-05i,0.00025738-7.4867e-05i,4.8959e-06-0.0010937i,2.5916e-05-0.0011477i,-0.00014932-0.0014084i,-0.0001137-0.00084296i,-0.0010812-0.00011302i,-0.0010166-0.00027299i,0.00048182+1.7384e-05i,0.00020928+0.00023052i,-0.00034171+0.00024516i,0.0001595-3.832e-05i,6.7185e-05-3.7218e-05i,-0.00022391+0.00019092i,-0.00019944-0.00017374i,-0.0004657-0.00025767i,-8.1913e-05+5.4993e-05i,2.0425e-05+0.00035834i,1.9804e-05-0.000242i,-0.00026222-0.00094394i,-0.00019759+1.1927e-05i,-0.00022433+0.00098087i,-0.00036396+0.00046562i
0.00062796-0.0014225i,0.00052876-0.00077474i,0.00079647-0.00079792i,-0.00014232+0.00012073i,-0.0003942+0.000889i,0.00016262+0.0006933i,-0.00020096-2.5501e-05i,0.0002367-0.00031649i,0.00013334-6.1356e-05i,-0.00026442-0.00028535i,-0.00066879-5.8468e-05i,-0.00049345-0.0002224i,0.00035141-0.00054095i,0.00098883-0.00018519i,0.00068174+0.00039738i,-8.4255e-05-4.4806e-05i,-8.6196e-05-0.00047711i,-4.7075e-05+0.00014929i,0.0002999+0.00020224i,0.00058789-0.00033621i,0.00030718-0.0003399i,-5.6217e-05+0.00028251i,7.2156e-05+0.00064299i
-7.9121e-05+0.00042009i,-4.8043e-05+0.00022716i,-0.00012548+0.0012028i,0.00076629+0.0013166i,0.0011957-0.00033258i,0.00061736-0.00093217i,0.00061269-0.00051597i,0.00044862+6.3655e-05i,-0.00012693+0.00014675i,1.6164e-05-0.00012905i,0.0005066-0.00048342i,0.00012774-8.7201e-05i,-0.00091781+0.00029983i,-0.00092378+0.00067308i,-0.00050872+3.6265e-05i,-3.3821e-05-0.0014628i,-0.00021883-0.00096708i,-0.00037502+0.00025646i,-0.00046845+0.00093719i,-0.00012291+0.00093942i,0.00012227+0.00061586i,-0.00023547-8.841e-05i,0.00036215+0.00040902i
-0.00087353+0.00026906i,-0.00065889-0.00025012i,-0.00044508-0.0004532i,-0.00064336-0.0010025i,7.185e-05-0.00075568i,0.001389-0.00090039i,0.00088185-0.001425i,0.00018171-0.0011139i,0.0001668-0.00049762i,-0.00021186-0.00011856i,-0.00060882+0.0001187i,9.3504e-05-9.1561e-05i,0.0008264-0.00088493i,0.00063775-0.0011539i,0.00072322-0.00092113i,0.00081818-0.00026035i,0.00068376+0.00029351i,0.00071988+0.00055268i,0.00063119+0.00061276i,-6.8124e-05+0.00029444i,-0.0012024+0.00019375i,-0.00069599+5.961e-05i,-0.00012441+0.00020294i
0.001509+0.0016629i,0.00080729+0.0015008i,0.0012606-0.00013101i,0.0013948-0.00076436i,0.00023604-0.0011831i,-0.00067826-0.0011262i,0.00023403-8.3682e-05i,0.00068566+0.00059851i,0.00077808+0.00078829i,0.0006736+0.00075604i,-0.00037011+0.00030354i,-0.0009044-0.00062186i,-0.00093599-0.0011383i,-0.0013361-0.0005816i,-0.001199-6.5518e-05i,-0.00043805-0.00022123i,-0.00014295+0.0001592i,-2.132e-05+0.00025958i,0.00065841+0.00044425i,0.00064534+0.00032667i,0.00030284-0.00011063i,-0.00013524-0.00027431i,-0.00018309-0.00028953i
0.00079462-0.0038356i,0.00015299-0.0035616i,-0.0015774-0.0023543i,-0.0016233-0.00019144i,-0.00069424+0.0016958i,-0.00047605+0.0019422i,-0.00013087+0.0009556i,0.00054454-0.0002599i,0.0002983-0.00078309i,-0.00082129-0.00012532i,-0.0011922+0.00044799i,-0.00025099+0.0002342i,0.0010827+0.00053031i,0.0011995+0.0010145i,0.00063354+0.0012615i,-3.0833e-05+0.0010007i,-0.00032002+0.00089312i,-0.00021421+0.0001998i,0.00010059-0.00061944i,0.000464-0.0013157i,0.00051972-0.0011396i,-0.00019092+0.00024714i,-0.0005101+0.00045326i
-0.00027469-0.00077192i,-0.00040492-0.00042583i,-0.00017267-0.00038046i,0.0010652-0.0001451i,0.0014929+0.00081846i,0.00091411+0.00094949i,5.5872e-05+0.00019942i,-0.00012172-0.00022386i,-0.00023057-0.00029196i,-0.0005069-0.00049463i,-0.00064493-0.00050178i,-0.00014015+0.00026763i,0.00064253+0.00019867i,0.00012974-0.00068572i,0.00029254-0.00032567i,0.00085794+0.00027201i,0.00053132+0.0004092i,-0.00050704+2.095e-05i,-0.001468-0.0003234i,-0.00074944-0.00018103i,0.00061003-0.00017247i,0.0011005+5.0727e-05i,0.00059325+0.00098316i
-0.00043696+0.00036862i,0.00022988+0.00062251i,-0.00059871+0.00023395i,-0.00032608-0.00082224i,0.001222-0.00058302i,0.00075455-6.2475e-05i,-0.00052855+0.00011437i,-0.00045292+0.00043114i,0.00045136+0.00042069i,0.00029865-6.1019e-05i,0.00011747-0.00033849i,0.00014471-0.00042135i,-4.9651e-05-0.00026184i,0.00052541-0.00058069i,0.00068516-0.00077089i,0.0001638-0.00018929i,0.00076433-0.0005516i,0.00040771-0.00042131i,-0.00054255+0.00012299i,-0.00048019-7.0034e-05i,-0.00024436+0.00020133i,-0.0003896+0.0002936i,-0.00011739-0.00014095i
-0.00049371+0.00033704i,-0.00052767+0.00017343i,-0.00044955-0.00016259i,-0.00058378-1.0389e-05i,-0.00032095+0.00038074i,0.00073001+0.00074116i,0.00090674+0.00056332i,0.00017712-0.00040239i,-7.7606e-05-0.00093799i,-0.00029909-0.00049807i,-0.00065328+0.0005979i,-0.00067672+0.00070268i,0.00020715-0.00015515i,0.00093712-0.00033505i,0.00078176-0.00036701i,0.00077499-0.00038546i,0.00059209-0.0003387i,0.00066919-0.00028973i,0.00091484+0.00016536i,0.00056829+0.00040211i,-0.00032526+8.0748e-05i,-0.0007427-0.00023105i,-0.00029838+8.3099e-05i
0.00083532+0.00010999i,0.0010071+4.2584e-05i,0.0011752-0.00015192i,0.00074645-0.00057377i,0.00020041-0.00071006i,-0.00016534+9.1538e-05i,0.00039869+0.00020366i,0.00069551-0.00050311i,-0.0001216-0.00080156i,-0.00059892-0.00053818i,-0.00064726-0.000536i,0.00015989-0.00026709i,0.00072826+0.00048471i,0.00050587+0.0010366i,7.2137e-05+0.00083133i,-0.00047274+0.00060999i,-7.5523e-05+0.00061842i,0.00043618+0.00022144i,0.00037786+0.00094512i,0.00037268+0.0010647i,0.00023568+0.0003387i,0.00052048+0.00056837i,0.00049209+0.00070789i
-0.0002621-0.0025626i,-8.7198e-05-0.0025924i,-0.00066877-0.0017562i,-0.00067497-0.00066321i,-0.00028914+0.00024699i,0.00023576-4.2321e-05i,2.9621e-05-0.00040155i,-0.00076413-0.0006433i,-0.0011137-0.00048517i,-0.001084+0.00031369i,-0.00065707+0.0007116i,-0.00028433+0.00057937i,-3.5012e-06+0.00055128i,-0.00016246+0.0006909i,0.00046936+0.00098598i,0.00065311+0.0011482i,-0.00021816+0.00099293i,-0.00070339+0.00056354i,6.2108e-06+0.00027222i,0.00018895-0.00021754i,0.00036818-0.00039075i,0.00020245-0.00013217i,-0.00048609-0.00016771i
0.00099764-0.00033484i,0.0017369-0.00034927i,0.00093416-0.0011482i,-0.00074851-0.0013085i,-0.0013402-0.00017682i,-0.00090252+0.00046087i,-0.00075918+0.00075449i,-0.00044582+0.00047257i,-0.00020286+0.00021139i,1.9365e-06-0.00010908i,-0.00040166-0.00039331i,-0.00061292-0.0004787i,-0.00026008-0.00042736i,-0.00039728+0.00027507i,-5.7325e-05+0.001453i,0.00027779+0.0013266i,-0.00021335-0.00024767i,-0.00078834-0.0011975i,-0.00031976-0.00076416i,0.00028687+0.00011527i,0.00046621+0.00087906i,0.00053251+0.0010332i,-9.7756e-06+0.00030305i
-0.0014277+0.00083848i,0.00026112+0.00018833i,0.00094913+0.00019597i,0.0014056+1.2678e-06i,0.0013052-0.00042347i,0.0011026-0.00026285i,0.0009384+0.00033675i,-0.00022495+0.00049956i,-0.00019808+5.0448e-05i,0.00097306-8.7658e-05i,0.0012846+8.9437e-05i,0.00063583+0.00043358i,0.00023039-0.0002841i,1.1392e-05-0.0010079i,0.00015613-0.00083435i,0.00029129-0.00026674i,-0.00056692+0.00080135i,-0.00057548+0.00092534i,-0.00021099+0.00014981i,-0.00079652-0.00014621i,-0.001213-0.00055982i,-0.0010369-0.00071187i,1.405e-05-0.00072394i
-1.7893e-05+0.00039513i,4.1861e-05-0.00041503i,0.00027772-0.00063851i,0.00053172-0.00037784i,-0.00017721+4.2449e-05i,-0.00046604-0.0002969i,-0.0005211-0.00015741i,-0.00039417-0.00024749i,0.00028973-0.00038769i,0.00046575+0.00021769i,0.00056161+0.00091552i,0.00064961+0.0010029i,-0.00012511+0.00023943i,-0.00042357-0.00011672i,-8.5018e-05+0.00043957i,-0.00040984+0.00077248i,-0.0012459+0.00044345i,-0.0011433+0.00017019i,-7.7274e-05+0.00017505i,0.00016988-1.8605e-05i,-8.8304e-05-0.00013605i,-0.00037988-0.00047357i,-0.00033698-0.00049395i
0.0024377-0.00079722i,0.0014325-0.0013731i,0.00081971-0.0020745i,3.6505e-05-0.0022863i,-0.00055201-0.0017589i,-0.00022184-0.0013491i,-0.00010399-0.001162i,-0.00028843-0.0005961i,0.00011173-6.4898e-05i,-0.00043869-0.00013423i,-0.001146-0.00024718i,-0.0006544+2.2272e-06i,-6.5279e-05+0.00042456i,-7.3629e-05+0.00093075i,-0.00054915+0.0013048i,-0.00069265+0.00063044i,-0.0005258+7.5072e-05i,-0.00070977+0.0002524i,-0.00048692+0.00053473i,-0.00011865+0.00032411i,8.6088e-05+9.5512e-05i,-0.00035664-0.0002543i,-0.00079835-0.00033038i
0.00068254-0.00082307i,0.00091143-0.00055022i,0.00067247-0.00070634i,6.1938e-06+4.5849e-05i,-0.00063649+0.0013087i,-0.0004685+0.0013912i,-4.288e-05+0.0010188i,-1.3696e-05+0.00053892i,4.6792e-06-0.00010095i,0.00051667+0.00016125i,0.0013781+0.0004869i,0.0010838+0.00050233i,0.00042712+0.00040263i,-0.0001737+0.00061609i,-0.001012+0.00063802i,-0.00084292+0.00056521i,-8.0538e-05-9.1697e-05i,0.00036196-0.00080991i,-1.3164e-05-0.00099994i,-0.00043741-0.00089186i,-1.0807e-05-0.00051292i,2.6645e-05-0.00028385i,0.00021382-0.00019673i
0.00012764+0.0032912i,0.00082554+0.0023189i,0.0017469+0.00073522i,0.0022812-0.00059914i,0.002508-0.0012295i,0.0013197-0.0018518i,0.00022384-0.0014872i,3.097e-05-0.00029735i,-0.00027492+0.00020223i,-0.00040641-0.00036099i,-0.00015336-0.00031918i,4.9195e-05+0.00013254i,-3.7405e-05-0.00042764i,-0.0010121-0.001085i,-0.0016317-0.00064338i,-0.0013042-2.0367e-05i,-0.00028514+0.00029879i,-0.0002248+0.00046371i,-0.00076777+0.00083087i,-0.0011282+0.00069666i,-0.00069402+0.00095015i,0.00028844+0.00066605i,0.00051859+0.00016023i
-0.00019075+0.00078796i,-1.8453e-05+0.0011295i,0.00073026+0.00067568i,0.0014032+0.00027376i,0.00095096-0.00015256i,2.6747e-05-0.00064284i,-0.0004467-0.00030905i,-5.621e-05+0.00083256i,0.00056354+0.0011712i,0.00070039+0.0014609i,-0.00036161+0.0007095i,-0.00079558-0.00055313i,-0.00034982-0.0006944i,-0.00050167-0.00035679i,-0.00058699-6.5211e-05i,-6.037e-05-5.7557e-05i,-0.00046081+0.00031342i,-0.0012005+0.00081538i,-0.00084476+0.00076916i,-0.00013235-2.126e-05i,0.00053988-0.00021473i,0.00058811-0.00023768i,-0.00023927-0.00071521i
0.0015193-6.5786e-06i,0.0015883+2.7993e-05i,0.00054022-0.0011324i,-0.0001238-0.0016661i,-0.00025942-0.00082567i,-4.167e-07+0.00033782i,6.4673e-05+0.00062492i,0.00033149+7.0591e-05i,0.00043616-0.00011573i,0.00024602-0.00035697i,-0.0002754-7.3428e-07i,-0.00057737+0.00055025i,-0.0003598+0.00074172i,0.00027489+0.0004093i,-5.6876e-05+0.00024959i,-0.00037894+0.00078402i,-0.00062101+0.00099418i,-0.00077736+0.00025994i,-0.00034918-0.00082429i,0.00019856-0.00090428i,0.00045729+0.0001684i,0.00044548+0.00072093i,0.00012712+0.00073316i
-0.0027947+0.00089635i,-0.0015608+0.00092783i,0.00077716+0.00084634i,0.0016213+0.00092446i,0.0017701+0.00083007i,0.0009728+0.00057751i,-0.00022536+0.00071121i,-0.00057919+0.00042005i,-0.00025231+3.1993e-05i,0.00022315-0.00028728i,0.00043528+0.00018778i,0.00014273-3.5285e-05i,0.00060614-0.00037759i,0.0001101-0.00029401i,-0.0002858-0.00095563i,0.00072249-0.00073867i,0.00084251+0.00067866i,3.5001e-05+0.0011899i,-0.00071054+0.00064276i,-0.0010372+0.00025783i,-0.00028478+1.8976e-05i,0.00064839-0.00042787i,0.00056283-0.00033317i
-0.00019689-0.00053174i,-0.00046737-0.00030413i,-0.00026326-0.00033575i,-0.00081042-0.00093687i,-0.00096479-0.0010117i,-0.00068216-0.00090254i,-0.00098034-0.00086845i,-0.0017457-0.00082435i,-0.0011513-0.00093364i,-0.00045421-0.0004073i,-0.00015577+0.00027062i,0.00033056-0.00018506i,-0.00025109-0.00027469i,-0.0013793+0.00017388i,-0.0017682-0.00012197i,-0.00069448-0.00047952i,0.00052865-0.00022951i,0.00083345-1.416e-05i,0.0004877+9.1579e-06i,0.00075406+5.739e-05i,0.00062118+0.00025747i,6.1785e-05+0.0001787i,0.00057074-0.00039779i
-0.00043156+0.00053521i,0.00011287-0.00014641i,0.0011954-0.00030073i,0.0021733+0.00068907i,0.0021328+0.00068326i,0.00087097+0.00059268i,-2.2335e-05+0.0010383i,-0.00034151+0.00028207i,0.00014094-0.00014498i,0.00038244+0.00026274i,0.00031555+0.00033642i,0.00023189-0.00040192i,0.00035387-0.0010934i,0.0010309-0.00055151i,0.00081796+3.2022e-05i,-0.00033273-9.6346e-05i,-0.00087151-0.00032046i,-0.00078545-0.00013648i,-0.0001964-0.00018086i,-0.0002831-0.00070186i,-0.0008478-9.6368e-05i,-0.0005877+0.00090953i,-0.00051691+0.00039562i
0.00025542-0.0019498i,0.00045138-0.0025246i,-0.00025635-0.0023299i,-0.00022572-0.00082103i,0.00048326+0.00091814i,0.00022553+0.00093795i,0.00019023+1.1218e-05i,0.00062892+0.00025812i,0.00083452+0.00025446i,0.00077988+0.00043067i,0.00086506+0.0011697i,0.00076242+0.0011851i,0.0006689+0.00076533i,0.00096343+0.00067638i,0.00085467+0.00056985i,-0.00036756-7.9714e-05i,-0.00059374-0.00027221i,-0.00017683-0.00038111i,-0.00015218-0.0012839i,0.00064895-0.0009159i,0.00056099+0.00010869i,-0.00012471+0.00040315i,-0.00041002+0.0002949i
0.00022751+0.0010029i,0.00076639+0.00063977i,0.001189+6.6054e-05i,0.0010614-0.0007119i,0.0012137-0.001282i,0.0012844-0.0014092i,0.00098776-0.0011392i,0.00033809-0.00049292i,-0.00035705+0.00020769i,-0.00028495+0.00038267i,0.00053534-0.00018983i,6.7999e-05-0.00053257i,-0.0010391-0.0002996i,-0.0010366-0.00072286i,-0.00060612-0.0013796i,-0.00010782-9.6423e-05i,0.0001969+0.00060362i,-3.386e-05+0.00053109i,-0.00073007+0.00058021i,-0.00018157+0.00060897i,0.00049356+0.0014608i,-6.6821e-05+0.00080831i,-0.00026134-0.0005085i
0.0012609+0.00079638i,0.00020962+0.00012525i,-0.00060071-0.0008719i,-0.0018241-0.00044123i,-0.0018762+0.00027597i,-0.00099871+0.0007655i,-0.00020925+8.8088e-06i,-0.00031862-0.00052958i,-0.00035262-0.00049837i,0.00057727-0.00061033i,0.00020429-0.00059084i,-0.00019744-0.0002695i,0.00093501-0.00089266i,0.0012426-0.0010829i,0.00030054-7.4032e-05i,9.7496e-05-0.00019524i,0.00046908+0.00031439i,0.00022949+0.0010774i,8.5992e-05+0.00040731i,0.00033684+0.00042841i,0.00011355+0.00058624i,-2.4041e-05-0.00014026i,0.00012319-0.00020751i
-0.0017874-0.001041i,-0.00085142-0.00065326i,-0.00063638-7.2076e-05i,-0.00051195+0.00063829i,0.00038613+0.00088754i,0.0010889+0.00029136i,0.0010599-0.00043036i,0.00027336+0.00049953i,-0.00026786+0.000935i,-0.00032402+0.00011957i,-0.00023584+0.00037289i,-0.00021947+0.00068599i,-3.256e-05+0.00028378i,0.00056494+0.00039153i,0.00090073-0.00011876i,6.5306e-06-0.00062925i,-0.00076044-0.00034855i,-0.00077678-0.00019i,-0.00041986-0.00025925i,0.00017897-0.00035409i,0.00034103+3.4131e-05i,7.6785e-05+0.00052865i,0.00031947+0.00087803i
-0.0007765+0.00044152i,-0.00041222+0.0009818i,0.00012982+0.00036928i,0.00079143-0.0005721i,0.00076897-0.0012927i,0.0006368-0.0014768i,0.0013171-0.0011581i,0.00099232-0.00055536i,-0.00017665-0.00022218i,-0.00013577+0.00026129i,2.872e-05+0.00059606i,-0.00074345-0.0001728i,-0.0010968-0.0010237i,-0.00086256-0.00097652i,-0.00067986-0.00021654i,-5.0568e-05+0.00023915i,0.00085717-0.00012164i,0.00073445-0.00066291i,0.00018513+0.00024115i,-0.00057393+0.0010254i,-0.00071247+0.00034796i,6.9385e-05-0.00016951i,0.00023113-0.00018079i
