-0.0017603+0.0018119i,-0.0011351+0.0018028i,-0.0012538+0.00064822i,-0.0014225-0.0009799i,-0.0023237-0.0015157i,-0.0027576-0.00024773i,-0.0016503+0.0011352i,-0.00016956+0.0011495i,0.00047357+0.00063042i,0.00022298-8.747e-05i,-5.612e-06-0.00012389i,0.00024498+2.0878e-06i,0.00062284-0.00023433i,7.6912e-05-0.00026894i,-0.00028002+4.9679e-05i,-0.00038874+0.00054054i,-0.00050123+0.00050574i,-0.00047993-0.00010184i,-0.00017495-0.00073202i,-0.00020425-0.00059679i,-2.2619e-05+0.00020392i,0.00029268+0.0005647i,0.00025248+0.00029883i
-0.0010677-0.0026113i,-0.0017712-0.0016076i,-0.0027035-0.00050895i,-0.0029084-0.00039624i,-0.0021962-0.0011876i,-0.00074676-0.0015771i,8.1142e-05-0.00086721i,0.00020873-0.0001944i,0.00071397+0.00052862i,0.0011214+0.0013524i,0.00099667+0.00083968i,0.0001375+0.00048221i,-0.00036699+8.7822e-05i,-0.00031957-0.00066858i,-0.00016883-0.0004407i,0.00027779+0.00010983i,0.00051252+3.0681e-05i,0.00036989-0.00037279i,-0.00026853+2.5341e-05i,0.00012206+0.00034258i,0.00072698+0.00038374i,-0.00054012+0.00047937i,-0.0011267-0.00025622i
-0.00034737-0.00013621i,-0.00022297+0.00026789i,-0.0011449-0.00065886i,-0.001789-0.0016771i,-0.0022856-0.0014765i,-0.0016254-0.00069434i,-0.00057776-0.00018767i,-0.00074783-0.00046937i,-0.00084151-0.00042842i,-0.00076117+0.00048889i,-0.00043222+0.0008701i,0.00018615+0.00066679i,0.00060258+0.00068279i,0.0010164+0.00029012i,0.00088983-0.00029159i,0.00046904-1.7323e-05i,0.00070342+0.00064905i,0.00075674+0.00080223i,0.00025592+0.00070183i,0.00028058+0.00067932i,0.00026358+0.00036284i,-0.00025454+0.00010541i,5.701e-05-0.00010489i
-0.00075804-0.0012003i,-0.0012034-4.3595e-05i,-0.0015306+0.00015667i,-0.0019051-0.001356i,-0.0019778-0.0015681i,-0.0016147-0.0010643i,-0.0012072-0.00082089i,-0.00059421-0.00022155i,6.5877e-05-0.00023846i,-0.00024617+4.4366e-05i,-0.00026525+0.00048969i,-0.00018185+0.0004381i,4.9121e-05+0.00054432i,0.00013775+0.00088126i,0.00014853+0.00057735i,0.00043124-0.00035597i,0.00054437-0.00040373i,0.00070783+0.00045537i,0.0003452+0.00038107i,-0.00029835+0.00032615i,-0.00042567+0.00064878i,0.00010307+0.00031649i,0.00046938+0.00043878i
0.00018249-0.00010662i,0.0020691-0.0014606i,0.0021081-0.00088465i,0.00042757-0.00068675i,-0.00066645-0.0013764i,-0.00088001-0.0014871i,-0.00083849-0.00098561i,-0.00029648-0.00035251i,-0.000134+0.0005427i,0.00021731+0.00049645i,0.00075994+0.00029563i,0.00064478+0.00081823i,0.0001027+0.0010829i,-0.00030936+0.00082085i,-0.00034679+6.2102e-05i,-0.00058433-0.00042496i,-0.00089301-0.00021796i,-0.00034051+0.00041513i,0.00013379+0.0010705i,0.0010691+0.00077777i,0.00084282+0.00054778i,-0.00028484-1.7868e-05i,-0.00031926-0.00061266i
-0.0017254+0.0010332i,-0.00095592+0.0017782i,-0.00031499+0.0021369i,-0.00049129+0.00059943i,7.2922e-05-0.00067612i,0.00036763-0.00031226i,-0.000372+0.00026692i,-0.00078504-2.1379e-05i,-0.00024628-0.00045211i,0.00038319+0.00033447i,0.00065736+0.00057276i,0.00020783+0.00046208i,-0.00040292-0.00012362i,0.0001335+7.2747e-05i,0.00041833+0.00067287i,0.00032594+0.00023816i,0.00032291+0.00034034i,9.4181e-05+0.00070972i,-0.00013717+0.00063348i,-0.00027494+0.00030718i,-0.00062724+0.00017278i,-0.00073201+0.00060388i,-0.00036227+0.0010107i
-0.00022126+0.00022111i,0.00048965+0.00025945i,-0.00029559+0.0010766i,-0.00086845+0.0004517i,-0.00075634-0.0012296i,-0.00025628-0.0026548i,-0.0002165-0.0019749i,-0.00048333-0.00079325i,-0.00035031+7.6609e-06i,0.0002048-0.00035627i,0.00015649-0.00047638i,0.000252-9.7144e-05i,0.0010942-0.00016911i,0.0006072-0.00013473i,-0.00081039-0.00010103i,-0.00094254-0.00012428i,-0.00040202+0.00017246i,-0.00031399+0.0002208i,-0.00013199+0.00045624i,-0.00040574+0.00076368i,-0.0010094+0.00037862i,-0.00026614+0.00021107i,0.00048357+0.00027931i
-0.0011576-0.00044557i,-0.0011793+0.00056423i,-0.0013546+0.00071169i,-0.0020904-0.00023231i,-0.0018805-0.0013621i,-0.00030215-0.00097404i,0.00032391-0.00082768i,0.00016288-0.0016418i,0.00018773-0.00095185i,0.00036909+0.000484i,0.00017588+0.001346i,0.00088405+0.001185i,0.0010238+0.00076684i,0.00016926+0.00037409i,-0.00047777+0.0002571i,-0.0011262+0.00015542i,-0.00073142-7.1528e-05i,-4.0819e-05+0.00027086i,-0.00044072+0.00032551i,-0.00099995+0.00025604i,-0.00054277+0.00038412i,0.00017958+0.00014988i,-0.00037923+0.00025033i
0.00024697-0.000489i,-2.4158e-05-0.00098402i,-0.00023775-0.0016646i,-0.0012603-0.0022503i,-0.0017669-0.002393i,-0.0010444-0.0016052i,-0.0002631-0.00084302i,0.00064821+3.9996e-05i,0.00063825+0.00045092i,-0.00013285+0.00054076i,-0.00015776+0.00036429i,0.00055199+0.00034166i,0.00092283+0.00018351i,0.00057596-2.0431e-05i,0.00039853+0.00046871i,-6.5854e-05+0.00096503i,-0.00023443+0.00071442i,-0.0003858+0.00043668i,-0.00032781+0.00072914i,5.8145e-05+0.00043451i,0.00019745-0.00049798i,-2.0305e-05-0.000312i,-0.00027107-0.00029874i
0.0014869+0.00073421i,0.0017595-0.00074394i,0.0010417-0.0015097i,0.00067211-0.0026271i,4.4524e-06-0.0030329i,-0.0011196-0.0021412i,-0.0010832-0.0014488i,-0.00060671-0.00034342i,-0.00011671+0.0007376i,4.4437e-05+0.000795i,-0.0001416+0.001154i,-0.00054748+0.0010757i,-0.00086819+0.00018712i,-0.00059433+3.6278e-05i,-0.00025443+0.00020642i,0.00049762+4.9953e-05i,0.00050424-5.7252e-05i,0.00012743-0.00027657i,-0.00028107-0.00066018i,-0.00023289-0.00089489i,-8.4071e-05-0.00051307i,-0.00044347-2.059e-05i,-0.00047041-0.00028085i
0.00064054+0.00030672i,0.00060384+9.332e-05i,-0.00058932-0.0002052i,-0.0019573-0.001082i,-0.0019279-0.0011508i,-0.0012862-0.00080597i,-0.0007409-0.00078182i,0.00029392-0.00052457i,0.00048523+0.00010042i,-0.00022472+0.0011659i,-0.00037765+0.0011854i,-0.00028913+0.00057273i,-6.2103e-05-0.00012632i,-0.00022693-0.00041374i,-0.00038965-0.00056051i,-0.00025967-0.0003122i,-0.00036058+5.9522e-05i,-0.00017661-4.9032e-05i,0.00039319-0.00099456i,0.00083808-0.0011254i,-6.5899e-05+0.00012696i,-0.00051385+0.00067283i,1.1682e-06+0.00044884i
0.00097594+0.00078321i,0.0010832-0.0010567i,-0.00033912-0.0022671i,-0.00087216-0.0026214i,-0.00041484-0.0021678i,-0.00079395-0.0015583i,-0.0010469-0.00094586i,-0.0004579-0.00055331i,0.00019414+3.291e-05i,0.00022064+0.00037846i,-0.00062553+0.00027151i,-0.0007618+0.00039145i,-0.00019467+0.00059741i,0.00045793+0.00037534i,0.00071625+2.6827e-05i,0.00041255+1.6445e-05i,0.00010821+0.00049332i,0.00048599+0.00044358i,0.00051752+0.00018917i,0.00066458-0.00028041i,0.0010069-0.00047773i,0.0006347+0.00013802i,-0.00016747+0.00017041i
0.00035065+0.00036561i,-0.00076791+0.00019682i,-0.0010497+0.00013067i,-0.0011226-0.00034906i,-0.001365-0.00071679i,-0.00032288-0.00057952i,-4.1238e-06-0.00029939i,0.00043915+4.7331e-05i,0.00092468+0.00039165i,0.0009593+0.00080115i,0.00060122+0.0008401i,0.0004175-5.4449e-05i,0.00053739-0.00070869i,1.683e-05-0.00052756i,-0.00019482-0.00023024i,4.3492e-05+3.5097e-05i,-0.00049309-0.00020364i,-0.00074611-4.2747e-05i,-0.00063866+0.00020282i,-0.00024265+0.00051781i,0.00047403+3.1966e-05i,0.00082501-0.00097538i,-4.5944e-05-0.00045781i
-0.00098179+0.0006439i,-7.7718e-05-1.7173e-05i,0.00021954-0.00052931i,-0.0004215-0.0007545i,-0.00089841-0.0013236i,-7.2104e-05-0.0013571i,0.00076795-0.00092777i,0.00055028-0.00025369i,-2.8578e-05+3.4318e-05i,-8.8639e-05-0.00057135i,-0.00018903-0.00012684i,0.00022624+0.00048785i,0.00078444+0.00038602i,0.00036051-3.6398e-05i,-0.00041016-0.0007974i,-0.00056909-0.00020298i,-0.00074372+0.0004121i,-0.00065052-0.00027188i,-0.00024972-0.00036554i,-9.663e-05-0.00064571i,-0.00020229-0.00037756i,0.00016676+0.00016079i,-0.00021503-0.00034391i
0.00021754+0.00090565i,0.00059837+0.00039235i,0.00079198-0.0014297i,0.00020979-0.0024833i,-0.00027738-0.0020748i,4.8443e-05-0.0013749i,0.00051899-0.00055683i,-0.00015187-0.00032768i,6.209e-05-0.0009348i,0.00053221-0.00061213i,4.7956e-05+0.00049683i,0.00015896+0.00091704i,0.00024343+0.00046358i,-0.00049783+9.0168e-05i,-0.00083914+0.00018378i,-0.00057212+0.00054886i,0.00021122+0.00051429i,0.00085961-4.5217e-05i,0.001081+0.00033465i,0.00097436+0.00022741i,0.0010734-7.6271e-05i,0.00062542-0.00015572i,5.0849e-05-0.00011021i
-0.00036858-0.001225i,-0.0012839-0.0017944i,-0.0018078-0.0010162i,-0.0012635-0.00068292i,-0.0012507-0.0012627i,-0.0018096-0.001354i,-0.0015073-0.00094792i,-0.00016054-0.00035807i,0.00059042+0.0001852i,0.00017646+0.00016342i,-5.251e-05+6.4412e-05i,0.00027981+0.00022105i,-0.00013777+0.00032477i,-0.00070032-0.0002661i,-0.00036918-0.00048805i,-0.0005217+0.00058743i,-0.00044024+0.0010159i,9.9409e-05+0.00090915i,0.00041383+0.00068629i,0.00027279+0.00042616i,0.00020708+0.00046697i,0.00016038+0.00064169i,-0.00062936+0.00025661i
-3.1219e-05+2.4248e-05i,0.0008459-0.0016047i,0.00073189-0.0019039i,-0.00052321-0.0020557i,-0.00066189-0.0023929i,-6.0305e-05-0.0018481i,-0.0002491-0.0016041i,0.00012488-0.0006398i,0.00038398+0.00055451i,-0.00071951+0.00092378i,-0.0010478-0.00017964i,-0.0002711-0.0011263i,-0.00061241-0.00014419i,-0.00090512+0.00051506i,0.00016747-0.00032192i,0.00080349-0.00030118i,0.00061046-0.00028256i,9.073e-06-7.1653e-05i,-0.00043557+0.00046436i,-0.00033302+0.00045678i,-0.00034192-8.4833e-05i,-0.00067408-2.5602e-05i,-0.0012386+0.00017258i
-0.00079122+0.0011389i,0.00021893+0.001313i,0.0007188+0.00035554i,0.00058768-0.0010726i,0.00019245-0.0015279i,-0.0002008-0.0017774i,-0.00041878-0.0017228i,-0.00028072-0.00076235i,-0.00067753-0.00016558i,-0.00037868-0.00032921i,-0.00020095+0.00026088i,4.8229e-05+0.0001702i,0.00036776-0.00030399i,0.00040894+0.00031659i,0.00021993+0.00026444i,-0.00016622-0.00030441i,-0.00061357-0.00041414i,-0.0009066-0.00021164i,-0.0012417+0.00019494i,-0.00122+0.00072736i,-0.00049852+0.00078218i,0.00041635+0.00052141i,0.0010272+0.00059094i
0.0016557-0.00012404i,-0.00012835-0.0016844i,0.0003673-0.0031107i,0.00079821-0.0027139i,-0.00032511-0.0026001i,-0.00055791-0.0023091i,-0.00042957-0.0015879i,-0.00043011-0.0012916i,-8.7899e-05+4.5929e-05i,5.8683e-05+0.00026999i,-0.00019424+0.00016261i,-0.00048539+0.00060699i,-0.00037381+0.00047294i,-0.00027629+0.00037532i,-0.00013314+0.00066137i,-0.00013541+0.00058451i,0.00023495+0.00062859i,0.00023612+0.00092773i,-0.00054993+0.0007144i,-0.00027432+0.00035228i,9.9752e-05-0.00013465i,2.3155e-05-0.00037942i,-0.00045329-0.00021271i
0.00082712+0.001152i,0.0020757+0.00016893i,0.0023209-0.00033612i,0.00086209-0.0010485i,0.000323-0.0023794i,0.0002278-0.0023051i,-0.00091563-0.00061197i,-0.0013125+2.6395e-05i,-0.0007573+0.00022069i,-0.00012131+0.00040744i,0.00037227+8.574e-05i,0.0003728+3.7225e-06i,-0.00010702+0.00020536i,-0.00046042+0.0001565i,-0.00021862+6.7818e-05i,-0.00022475+7.1841e-05i,-0.00020514+0.00050572i,-0.00025533+0.0012669i,-0.00021351+0.00081348i,7.5834e-05+8.9184e-05i,5.6756e-07+0.00014699i,-9.8125e-05-0.00029836i,0.00024535-0.0010078i
0.0003817-0.00053763i,-0.0002545+0.00074256i,-0.0012893+0.0002623i,-0.0024161-0.00099411i,-0.002413-0.0015338i,-0.0015056-0.0011228i,-0.00046681-0.00033099i,-9.5436e-05-0.00080935i,-0.00028117-0.00048089i,-0.00031434+5.6474e-05i,-0.00033192-0.00010654i,-0.00036808-0.00031642i,-0.00025669-0.00041462i,0.00029033-0.0005191i,0.00027274-0.00026785i,0.00012841+1.1661e-05i,0.00073619+2.7162e-05i,0.00042932+3.8962e-05i,-9.651e-05-0.00010515i,-2.5545e-05+5.6993e-05i,-0.00027344+0.00049414i,-0.00053599+0.00057357i,-0.00026827+0.00024873i
-0.00054832-0.00016286i,-0.00066998+1.1184e-05i,-0.00091061-0.00021312i,-0.0010391-0.00054966i,-0.0015288-0.001303i,-0.0010783-0.0014692i,-0.00034677-0.0012818i,-0.00079152-0.00036662i,-0.0010922+0.0009232i,-0.00031985+0.0017306i,4.6502e-05+0.0012757i,0.0001311+2.838e-06i,0.00036885-0.00011272i,0.00041209+0.00027751i,0.00046652+0.00044288i,0.00051581+5.4807e-05i,0.00069085+0.00019887i,0.00056993+0.0005538i,0.0003881+0.00048302i,-0.00040511+0.00057756i,-0.0013238-5.1389e-05i,-0.0012875-0.00038175i,-0.00082168-0.0002789i
-0.00054161+0.00044158i,6.616e-05+0.00031991i,0.00027876+0.00049965i,-0.00061701-0.00037877i,-0.0007396-0.0008496i,-8.6818e-05-0.0010993i,-0.00018325-0.0016833i,-0.0002652-0.0013315i,-0.00027329-0.00044147i,-0.0001286-0.0004728i,0.00020104-0.0005802i,0.00087026-0.00046406i,0.001014-0.00053927i,2.8152e-05-0.00048059i,0.00028279-0.00069398i,0.0005733-0.00049772i,0.00030252-3.6822e-05i,5.2354e-05-0.00023164i,0.0002494-0.00067481i,0.00066448-0.00012592i,0.0010047+0.00030637i,0.0010229+0.00040324i,0.00063878+0.00063472i
0.0012242+0.00031887i,0.0007719+0.00017055i,0.00099423-0.00024343i,0.0004469-0.0007946i,-0.00032275-0.0012187i,-0.00050208-0.0017645i,-0.00053354-0.0018379i,-0.00039371-0.00081693i,-0.00041821-0.000248i,-0.000462-0.00041976i,-0.00046048-6.1597e-05i,-0.00054587+0.00078419i,-3.78e-05+0.00101i,0.00037115+0.00095836i,0.00067296+0.00029646i,0.0005775-0.00016984i,0.00012253+8.5677e-05i,-0.00037656+0.00056787i,-0.00038596+0.00082247i,-0.00038206+0.0012447i,-0.00010968+0.00073421i,0.0001732-0.00024485i,0.00058427-8.3092e-06i
0.0035026-0.00011317i,0.0034719-8.8301e-05i,0.0029872-0.0007693i,0.0019123-0.0022099i,0.00055033-0.0032994i,-0.00021912-0.0032112i,-0.00027785-0.0017581i,-0.00024621-0.0010152i,-0.00014526-0.00013768i,-0.00019008+0.0004662i,0.00011258+0.00040005i,-0.00068632+0.00034895i,-0.00097943+0.0003324i,0.00020957+0.00028924i,0.00065086-2.7469e-05i,-0.00022731-0.0002805i,-0.00072986+8.4907e-05i,-0.00072444+2.3697e-05i,-0.0004172-1.1807e-05i,-0.00067265+0.00022382i,-0.00011007-7.0213e-05i,0.0014433-0.00049061i,0.0014215-0.00015543i
