-0.0030908-0.00017152i,-0.0029562-0.00052619i,-0.0036461-0.00021383i,-0.003891+0.0015241i,-0.0024336+0.0024945i,-0.00083269+0.0016612i,8.8641e-05+0.0012328i,0.0012072+0.0010419i,0.0015372+0.00084885i,0.0018567+0.00093961i,0.0021996+0.00037243i,0.0013555-0.0010993i,0.00075457-0.0017781i,0.00032664-0.001561i,-8.7068e-05-0.0016433i,-0.00022869-0.0011947i,-0.0003076-0.00027254i,-0.00054046+0.00010122i,-0.00063612-0.00010877i,-0.00042489-0.0003079i,-0.00032472+0.00044968i,-0.00064852+0.00097212i,-0.00092938+0.00044326i
0.00037145-0.0015951i,-0.00032087-0.0016067i,-0.00066027-0.0021677i,-0.0012363-0.0015094i,-0.00082708+0.00051387i,0.00015277+0.0018292i,-5.5772e-05+0.0014028i,-0.00043527+0.00049766i,1.219e-05+2.2525e-05i,-0.0003148-9.0246e-05i,-0.001055-0.0002159i,-0.000171-0.00010902i,0.00076504-0.00040411i,0.00035833-0.00069853i,-0.00012993-0.00050376i,-0.00037851-0.00039688i,-0.00044617-0.0003589i,-0.00063149-0.00040362i,-0.00063888+4.8738e-05i,-0.00064407+0.00030762i,-0.00049236+0.00016556i,-0.00039657+8.3272e-06i,-0.00057336-0.0002484i
-0.0021065+0.0018064i,-0.0013981+0.0026215i,-0.00020919+0.00335i,0.00026598+0.0021502i,0.00067331+0.0011918i,0.0010527+0.00029671i,0.00066865-0.00051725i,-7.2653e-05-0.00031438i,8.5488e-06+0.00027982i,0.0010585+0.00033156i,0.0017408-0.00062173i,0.001136-0.0013393i,0.00032076-0.0016783i,-4.429e-05-0.0014188i,-0.00077412-0.00064898i,-0.0011406-0.00035229i,-0.00060052-0.00083682i,-0.00066949-0.00041298i,-0.00054744-7.6714e-05i,0.00039484+0.0001296i,0.00033233-3.2829e-05i,-0.00032275-0.00040596i,5.1844e-06+0.00035175i
0.00093566+0.00097568i,0.00081676+0.00069556i,0.0006248+0.00064859i,0.00098375-0.0003548i,-0.00021862-0.00091767i,-0.0011692-0.00094384i,-0.000461-0.00046161i,9.3358e-05+0.00032917i,0.00042228+0.00095379i,0.0006305+0.00074725i,8.919e-05+0.00033422i,0.00012624+9.8842e-05i,0.00019022+0.00026414i,0.00012547+0.00061459i,9.3481e-05+0.00054802i,4.6665e-06+0.00052044i,-0.00019573-0.0003078i,-0.0002696-0.0010977i,-0.00028074-0.0011813i,-7.8392e-05-0.00070899i,2.3064e-05+0.00011855i,-0.00024221+0.00086916i,-4.2065e-05+0.0012844i
0.00033865+0.0011292i,0.00020284+0.00076696i,-0.00014059+0.00056384i,0.00031101+0.00057347i,0.0011045+0.00067655i,0.0016121+0.00069597i,0.00097787+0.00030781i,0.00029631+0.00033785i,0.00048384+0.00064301i,0.0012014+0.00032007i,0.0003869-0.00014127i,-0.0001297-0.00074804i,-0.00026248-0.0011087i,-0.00052291-0.00095269i,-0.00033744-0.00022668i,-0.00058434+0.00033783i,-0.00044518+0.00025065i,0.00023722-8.7036e-06i,0.00066665-0.00019154i,0.0006935+5.6946e-06i,0.00046882+4.0766e-05i,0.00064258+0.00046423i,0.00065294+0.00048677i
0.002797-0.00028279i,0.0027245-0.00066648i,0.0018216-0.0011064i,0.00054075-0.00096651i,-0.00044146-0.00038089i,-0.0014376-0.00055446i,-0.001338-0.00039163i,-0.00051251-4.8623e-05i,0.00040917-0.00022559i,0.0012702-0.00035933i,0.00070639-0.00067751i,-0.00020269-0.00053908i,-0.00080604-0.00027037i,-0.00040112-0.00047076i,0.00061098-0.00067504i,0.00099963-0.00031958i,0.00062524+0.00027472i,-3.4044e-05+0.00018001i,0.00075961+0.0002095i,0.0019408-0.00033976i,0.0015522-0.00087423i,0.00101-0.00020818i,0.00087917+8.2291e-05i
0.0015186+0.00013054i,0.0011318-0.00049245i,0.0013421-0.002109i,0.0010629-0.0026915i,0.00082813-0.0018414i,7.1524e-05-0.00042941i,-0.00019194-0.00021059i,0.00022129-0.00046547i,8.2613e-05-0.00039162i,-0.00022403-0.00033247i,-0.0006444+0.00027336i,-0.0010913+0.0008835i,-0.0011621+0.00058904i,4.5013e-05+5.2292e-05i,0.00070013-0.00018603i,-1.2691e-05+0.00013475i,-0.00028737+0.00043163i,-0.00015021+0.00038041i,-0.00017803+0.00030324i,0.00041704+0.00045846i,0.00064847-4.1187e-06i,0.0011144-0.00056492i,0.0011355-0.00053821i
-0.00026742+0.0011494i,-0.00010508+0.0018127i,-0.00045808+0.0010459i,-0.0014692-2.7481e-05i,-0.0019892-0.00090638i,-0.0016341-0.00063666i,-0.00051607+0.00027021i,0.00061549+0.0011917i,0.00097765+0.0013635i,0.00050148+0.00067212i,-6.4647e-05-0.00032765i,-0.00022517-0.000495i,-0.00013289-0.00057518i,-0.00031577-0.001007i,-0.00019922-0.00049168i,-0.00032456-5.5159e-05i,-0.0010312+0.00015006i,-0.0012261+2.5619e-05i,-0.00034637-0.00041244i,0.00034662-0.0001536i,0.0001606-0.00082679i,0.0004422-0.0016232i,0.00017178-0.0011137i
-0.00026109+2.8455e-05i,-0.00065717-0.0005152i,-0.00048767+0.00076353i,-0.00033605+0.0010036i,0.00044224+0.00055638i,0.00047537+0.00091712i,-0.00039523+0.00077441i,-0.00051969+5.7528e-05i,0.00034544-0.00025104i,0.00057507-3.3845e-06i,0.00043884-0.00059525i,0.00058026-0.0012538i,0.00062121-0.0011755i,0.00099416-0.00093091i,0.00099456-0.00082817i,0.00035881-0.00083269i,0.00046694-0.00062072i,0.00025791+9.3649e-05i,0.00016441+0.00063056i,0.00031555+0.00046347i,-0.00028729+0.00016949i,-0.00048271-0.00012417i,-0.00020385+0.00010906i
0.00029551+0.00018238i,-0.00020716-0.00083304i,-0.00017417-0.0013807i,8.3365e-05-0.0011904i,-0.00032308+0.0003569i,-0.00019216+0.00027531i,5.2556e-05-0.0010863i,-0.00030537-0.00073179i,-0.00069108-7.5277e-05i,-0.00052768+0.00017733i,-0.00028762+0.00044146i,5.8782e-05+0.00028032i,0.00041839+0.00049897i,0.00028982+0.00041238i,-0.00030371+0.00059524i,-0.00091151+0.00040208i,-0.0007981+9.5896e-05i,-0.00059906+0.0002213i,-0.00011498-3.5708e-05i,0.00038049+4.2756e-05i,0.00059007-0.00014887i,0.00050622-0.00074852i,0.00045384-0.0014536i
-0.0042002-0.00055564i,-0.0035242-0.00065776i,-0.0021467+0.00035997i,-0.0012446+0.0014562i,-0.00095436+0.0017876i,-0.00099362+0.00078031i,-0.00013429-7.0805e-05i,0.00047297+5.7717e-05i,0.0012344+0.00097029i,0.0021403+0.00084748i,0.0019074-0.00068266i,0.00078141-0.0014799i,4.5877e-05-0.0016527i,0.00023271-0.0020872i,0.00050291-0.001757i,0.00010333-0.0012047i,-0.00061188-0.0010338i,-0.00025972+0.00018959i,0.00035203+0.00010384i,0.00097223-0.00049295i,0.00072119-0.00021317i,0.00026122-0.00036083i,-8.8729e-05-0.00026363i
0.0015657-1.7309e-05i,0.0024146+0.0001293i,0.0020864+0.000173i,0.0017877+8.6093e-05i,0.0014302-0.00018245i,0.001158-0.00042101i,0.0011239-0.00061941i,0.001058-0.000345i,0.00089085-0.00036052i,0.00073517-0.00098082i,0.00052781-0.00075844i,0.00029343-0.00078013i,-0.00026387-0.00087193i,-0.00042188-0.00040851i,-0.00015206+0.00013933i,-0.00036831-0.00015349i,-0.00020831-0.00033989i,0.00016752+3.3175e-05i,-9.4423e-05+0.00032965i,-0.00026129+0.0002597i,-0.00017434-0.00042662i,-0.00057575-0.00022639i,-0.00039733+0.00066347i
-0.00052149+0.0020213i,0.00034684+0.0028811i,0.00040681+0.0028415i,-3.7365e-05+0.0016123i,7.5682e-05+0.00049048i,0.00023236-0.00045095i,-0.00038521-0.0006393i,-0.00073091+0.000579i,-0.00044984+0.0008214i,0.00032552+0.00020386i,0.00053782+0.00014152i,-0.00024559-0.00062748i,-0.00018489-0.0011041i,-0.00058711-0.0008191i,-0.0013246-0.0015454i,-0.00082531-0.0014984i,-0.00085926-0.00091365i,-0.00055788-0.00043876i,0.00034222-0.00087511i,0.00068012-0.00097809i,0.00036474-1.636e-05i,-0.00012538+0.00037187i,-0.00041772-0.0004279i
-0.0027172+0.0010338i,-0.0027786+0.001158i,-0.0014823+0.0020393i,-0.00014986+0.002201i,-1.8809e-05+0.0013384i,0.00012532+0.00049629i,0.00056312-0.00048466i,3.074e-05-0.00078167i,0.00025841-0.00050892i,0.0014305-0.00033921i,0.0019459-0.00049364i,0.0011983-0.00088693i,-0.00025147-0.0010455i,-0.00040569-0.00070193i,-0.00023494-0.00069331i,-0.00038088-0.00033625i,-0.00040796+0.00020559i,-1.1219e-05+0.00028124i,0.00019864-0.00023488i,7.9418e-05-0.00051292i,7.1216e-05-0.00071668i,0.00013707-0.00060298i,7.628e-05-0.00074685i
-0.0015926-0.00030918i,-0.00092743-0.00098529i,-0.0018698+0.00025457i,-0.0013852+0.0012626i,0.00072517+0.0024742i,0.0015944+0.0024484i,0.00027341+0.0013012i,-8.1418e-05+0.00060307i,0.00033085+0.00096966i,0.00017132+0.0014712i,0.00093944+0.00046776i,0.0010612-0.00065047i,0.00023007-0.00067442i,-0.00039345-0.00041186i,5.0677e-05-0.00078981i,0.00029869-0.00097009i,4.8162e-05-0.00079994i,0.00018114+0.00012923i,-0.00014038-5.1731e-05i,8.2862e-05-0.0008084i,0.00047446-0.00038411i,0.00015982+0.00029418i,0.00048193+0.00041886i
0.00088763+0.0020013i,0.0012178+0.0023956i,0.00088428+0.0034811i,-0.00034177+0.0032337i,-0.001011+0.0013949i,-0.00071081+0.00034509i,0.00019603+0.00052463i,0.0009555+0.0011963i,0.0009587+0.0016647i,0.00083144+0.0011445i,0.00088727+0.00032506i,0.00064356-0.00072792i,0.00077389-0.0011246i,0.0008372-0.0011144i,0.00016897-0.0017832i,-0.00025886-0.0013481i,-0.00054228-0.00015737i,-0.00079614+0.00048596i,-0.00082728+0.00051525i,-0.00064951+0.00049093i,-3.7218e-05+0.00050585i,0.00015713+1.3775e-05i,-0.00025262-0.00037653i
-0.00084475+0.0020218i,-0.0011465+0.0020579i,-0.00078907+0.0013761i,-0.00085103+0.00023551i,0.00033642+0.00011414i,0.0012817+0.00080897i,0.00059329+0.00063671i,0.00011923+4.1425e-05i,0.0010015+0.0002216i,0.0016913-2.4867e-05i,0.00088145-0.00055771i,3.3066e-05-0.0011152i,-0.00026986-0.00087741i,-0.00084986-0.00010579i,-0.00046784+0.00014743i,0.00039317+0.00011602i,-0.00026111-0.00053889i,-0.00099602-0.00073525i,-0.00066628-5.9873e-05i,-8.6568e-06-1.237e-05i,0.00043289+3.4218e-05i,0.00097433+0.00012048i,0.0011846-7.2621e-05i
-0.0013755-0.0022797i,-0.0023892-0.0019765i,-0.0020626-0.0013098i,-0.0015101-0.00030147i,-0.00075532+0.001117i,-0.00062732+0.0011861i,-0.00030392+4.2439e-05i,0.00016885-0.00037527i,-0.00042168+0.0002406i,-0.00043565+0.0011826i,0.00044876+0.0005789i,0.00070351-0.00071614i,0.00030238-0.00033958i,-0.00033937+0.00034026i,-0.00041893+0.00034928i,-4.5281e-05-7.6205e-05i,7.6727e-05+0.00030447i,-0.00033024+0.00076872i,-0.00073309+0.00045846i,-0.00099672+7.4091e-05i,-0.00090899-0.00070618i,-0.00076282-0.00081439i,-0.00039567-0.0003158i
-0.00040015-0.00049073i,0.00018982-0.00051779i,-0.0004603+0.0005822i,0.00022295+0.0021032i,0.00093637+0.0019943i,0.00073172+0.00079701i,0.00033153-0.00014116i,0.00016889-0.00025582i,0.00042457-5.0433e-05i,0.0010696-0.00069287i,0.001151-0.0013024i,0.00053094-0.0010349i,5.7129e-05-0.00015151i,-9.2888e-05-0.00029182i,-0.00045155-0.0011935i,-0.00077836-0.00051728i,-0.00075571+2.7873e-05i,-0.00043696-0.00022898i,-0.00014492-0.00025185i,-8.6204e-05-0.00010843i,-0.00065644-0.00045895i,-0.00070972-0.00074518i,-4.4856e-05-0.00042778i
0.00011182+0.0004277i,-7.8541e-05+0.0006225i,-0.00098206+0.0013648i,-0.001268+0.0012646i,8.2131e-05+0.00085084i,0.00076884+0.00091622i,0.00054723+0.00080059i,-0.00069802+0.00056921i,-0.0014385+0.00017776i,-0.0006436+0.00025676i,-0.00023173+0.00027479i,0.00064826+3.0051e-05i,0.0012187-8.8972e-05i,0.0012114-0.00060412i,0.0008865-0.00032526i,-1.7711e-05+0.000292i,-0.00032867+0.00088822i,-0.00019113+0.0011097i,9.2303e-05+7.0549e-05i,0.00036582-0.00044503i,0.00020319-0.00015215i,-0.00060358-0.00090737i,-0.00050209-0.00083744i
-0.0024892+0.0038062i,-0.0031302+0.0038841i,-0.002055+0.0040031i,-0.00069497+0.0038147i,0.00038894+0.0026922i,0.001564+0.00089683i,0.0015744-4.873e-05i,0.0013753+1.8704e-05i,0.0010019+0.0002148i,0.00021114+2.5627e-05i,2.2139e-05-0.00055542i,0.00033761-0.0011734i,0.00054323-0.00076538i,5.0184e-05+0.00049422i,-0.0007562+0.0011794i,-0.00059689+0.00052696i,0.00026727-1.6015e-05i,0.00010394+0.00029451i,-0.00058643+0.00026952i,-0.00019908-0.00023016i,0.00038832+0.00031066i,0.00036277+0.00055276i,-0.00023493+0.00034741i
-4.4883e-05-0.001468i,-0.00068856-0.0016808i,-0.00022632-0.00069626i,-0.00064195+0.00074028i,-5.068e-05+0.0009924i,0.0010823+0.0011155i,0.00056869+0.0007396i,0.00019843+0.00050026i,0.00055339+0.00057556i,0.0010429+0.00028332i,0.0011304+0.00028434i,0.00076376-0.000554i,-0.00010717-0.00096222i,-0.00049403+6.1954e-06i,-0.00039643+0.00019549i,-0.00057297+0.0002001i,-0.00088715-8.8657e-05i,-0.00081096-0.00032368i,0.00030506-0.00050852i,0.00080132-0.0014058i,0.00094385-0.0011975i,0.00044149-0.0002802i,-0.0003459-1.8288e-05i
-0.00095384+0.00058229i,-0.00021913+0.0004699i,-0.00062015+0.00083829i,-0.00048056+0.00055914i,-0.00026767+0.00035636i,0.00032079+0.00051823i,0.00086983+0.00065085i,0.00083544+4.5971e-05i,0.00042242-0.00055242i,0.00040977-0.0010939i,0.00094981-0.0006835i,0.00063925-0.00042385i,0.00048328-0.00095849i,0.00059182-0.0011008i,-3.9315e-05-0.00090401i,-0.00082786-2.8409e-05i,-0.0011058+0.00044365i,-0.00055498+0.00019478i,0.00021612+0.00031654i,0.00020111+0.00022702i,0.00037358+1.066e-05i,0.0010388-0.00013078i,0.00053832-0.00043359i
0.00063973+0.0011862i,0.0012981+0.00020876i,0.00065059-0.0019148i,-5.5496e-05-0.00085884i,-0.001007-9.559e-05i,-0.0011049-0.00012908i,-0.00039316+0.00013259i,-5.0839e-05+0.00020203i,2.8709e-05+0.00065215i,-0.00038938+3.4146e-05i,-0.00018502+9.8229e-05i,-0.00041353+0.00044859i,-0.0011308-0.00034306i,-0.00064081-0.00098176i,-0.0003153-0.00059912i,-0.00015485-0.00086548i,0.00016367-0.0014129i,0.00046153-0.00097339i,0.00010018-0.00042116i,0.00051538-0.0005179i,0.00028684-0.00046952i,0.0001035+0.00017868i,0.00048566+0.00019651i
-0.0008446+0.00092666i,-0.00051042+2.1389e-05i,0.0011322-0.00036759i,0.00094856+0.00032911i,0.00077715+0.00059301i,0.0016035+0.0005717i,0.0010603+0.00050039i,0.00064044+0.00068599i,0.00015244+0.00073433i,-0.00019412+0.0001988i,0.0004565-0.00023127i,0.00052334-0.00032995i,-0.00011417-0.00054653i,-0.00094876+0.00034799i,-0.00207+0.00048372i,-0.0018616+0.00010426i,-0.00024129+9.7385e-05i,0.0006971-0.00031829i,0.00071229-0.00084888i,0.00061618-0.00095781i,0.00067179-0.00070677i,0.00069143-0.00033239i,0.00074752+0.00012906i
-0.0016604-0.0021183i,-0.0022114-0.0015614i,-0.0027858+0.00031314i,-0.0021999+0.0014861i,-0.00053517+0.002057i,0.00072946+0.0016534i,0.0011195+0.0011886i,0.0010556+0.0008011i,8.0093e-05+0.00079491i,-0.00013744+0.00064678i,0.00040833-0.00031087i,0.00026076-0.00098782i,-0.00025626-0.001066i,-4.8639e-05-0.0010289i,9.9915e-05-0.00081716i,-1.2651e-05-0.00058208i,0.00051538-0.00052169i,0.00068598-0.00098538i,0.00066188-0.0013362i,0.0002178-0.00071445i,-0.00034079-0.00032552i,-0.00027303-0.0002656i,-0.0001519-1.6507e-05i
0.0013297+0.0014285i,0.0015009+0.00045352i,0.0005458+0.00044308i,-0.00032632+0.00067487i,-0.00077661+0.00084682i,-0.001302+0.0006295i,-0.0011669-0.00035808i,-0.00046445-0.00054843i,1.8372e-05+3.7672e-05i,-5.2729e-05-1.2012e-05i,0.00027068-0.00019895i,0.00015199-0.00051718i,-0.00077762-0.00099883i,-0.00035312-0.00082286i,0.00062382-0.00035807i,0.00042724+0.00016779i,-0.0001177+0.00025139i,-0.00028424-0.00028516i,0.00024819-0.00014367i,0.00029229+0.00010392i,-0.00042117-0.00013906i,-0.000494+2.5225e-05i,-0.00045841+0.00011162i
-0.0012385+0.00059403i,-0.0011065+0.00063758i,-0.00065698+0.0001266i,-0.00029253+5.9916e-05i,-0.00040087+0.0010323i,-0.00030605+0.0013994i,0.00021237+0.0011215i,-3.6579e-05+0.0009033i,9.6608e-06+0.00065529i,0.00064713+0.00021526i,0.00063175-4.9666e-05i,0.00029096-0.00039969i,-7.7373e-05-0.00068387i,-0.00022355-0.00050114i,0.00047483-0.00050047i,0.00043468-0.00088358i,-0.00044125-0.00062246i,-0.0011273-0.0010851i,-0.0011253-0.00093291i,-0.00093703-0.00035783i,-0.0004707-0.00027357i,6.1109e-05-0.00022212i,-0.00028966-0.00065481i
-0.0018689+0.0012457i,-0.00089275+0.0016182i,-0.00071933+0.0020431i,-0.00067326+0.0017448i,0.00013173+0.00066266i,0.0014925+0.00010106i,0.0011914-9.8886e-05i,-0.00023453-0.0003049i,-0.00082445-0.00024697i,-0.00014967-7.3575e-05i,0.00036316-0.00042231i,0.00093172-0.0012597i,0.00055565-0.0017108i,-0.00086614-0.0015008i,-0.0013574-0.00075908i,-0.00070913-0.0010008i,-0.00024926-0.00097612i,-0.00021459-0.00036245i,-0.00064891+0.00036769i,-0.00096341+0.00049305i,-0.00098323-6.8026e-05i,-0.0010194-2.6058e-05i,-0.00082185+0.0004633i
0.002057-0.0017976i,0.0026065-0.0019488i,0.00065027-0.0015092i,-0.00057093-0.0012555i,-0.00018113-0.00075838i,0.00033928-0.00044551i,0.00030486-0.00014666i,0.00034946+0.00025425i,0.00094669-0.00013992i,0.0010432-0.00066777i,4.6448e-05-0.00094149i,0.00011307-0.0005531i,0.00063153-0.00010737i,9.5855e-06-0.00023443i,4.7162e-05+0.00015647i,0.00010215-0.00028905i,-1.1513e-05-0.00085111i,3.9132e-06-6.1583e-05i,0.00047817+5.4962e-05i,0.00034509-0.00042636i,-0.00085559-0.0011757i,-0.0007837-0.00079229i,0.00023313+0.00062629i
-0.00028599-0.00076372i,-0.0009597-0.00080843i,-0.0019424-0.00065505i,-0.0017475+2.3273e-06i,-0.0014428+0.0004606i,-0.00085874+0.00019362i,-0.00011195-8.9754e-05i,4.2366e-05+0.00060956i,0.00023353+0.00093668i,0.00025128+0.00081095i,0.00075772+0.00031941i,0.0010843-0.00022488i,0.00013384-0.00097298i,-0.00029686-0.0014714i,0.00041401-0.0011844i,0.00082306-0.0012355i,-0.00011672-0.0011543i,-0.00095273-0.00044874i,-0.00060685-1.3799e-05i,-0.00014561+0.00034735i,-0.0004509+0.00064273i,-0.00037626-3.9818e-05i,3.765e-05-0.00035852i
-0.00053845-0.00045156i,0.00055737+0.00083119i,0.00034849+0.0010271i,-0.00035594+2.0045e-05i,-0.00073726+6.8863e-06i,-0.00077217+0.00069243i,-0.00018118+0.00087959i,0.00041431+0.0011585i,0.00069036+0.0010783i,0.0007162+0.0002391i,0.00067237-0.00077088i,-0.00012851-0.00073278i,-0.00063835-0.00031288i,-0.00029806-0.00033151i,-0.00044053-0.00040888i,-0.00027384+7.1757e-05i,0.00058524+0.00014411i,0.00019142+0.00015852i,-0.00044062+0.0003008i,-0.00016056-0.00031297i,-0.00042409-0.00016229i,2.0998e-05+0.00025644i,0.00096527+0.00056596i
