0.00098814-0.00042028i,3.7074e-05-0.0010427i,3.2371e-05-0.0015786i,2.4342e-05-0.0016119i,-0.0010744-0.0010143i,-0.0013481+0.00069972i,-0.00062196+0.0014351i,0.0004684+0.0012683i,0.0014167+0.00074553i,0.0010945+0.00032887i,0.0010483+9.4811e-06i,-4.4015e-05-0.00054822i,-0.0013824-0.00094226i,-0.00046694-8.7338e-05i,2.4268e-05+0.00043589i,0.00012636+0.00020603i,0.00075613+5.8513e-06i,0.00085788-0.00046607i,0.00033053-0.00041271i,-0.00018658-5.6142e-05i,-0.00044217-0.00035859i,-0.00068873-0.00073807i,-0.00030779-0.00075645i
0.0012387+0.00035231i,0.00090878-2.0953e-05i,0.00043241-0.0015595i,0.00010293-0.0024898i,-0.00052021-0.0017115i,-0.00023595-0.00072526i,3.4385e-05-0.00042137i,-0.00050631-0.00029224i,-0.00062805+4.7507e-05i,-0.00010269+0.00029594i,-0.0001675+9.9925e-05i,-0.0001457-6.931e-06i,0.00035538+0.00032924i,0.00070205-0.00017883i,0.00072471-0.00045307i,9.82e-05-0.00036333i,-0.00010721-0.00071858i,0.00049969-0.00049944i,0.00043831+1.5977e-06i,0.00050539+0.0006872i,0.0012596+0.00057725i,0.00077331+0.00016039i,-0.00026628+9.3948e-05i
0.00079718+0.00069032i,-0.00017262+0.00058758i,0.00042292+0.00055784i,0.0011046+0.0011963i,0.0015505+0.00065813i,0.002545-1.9846e-05i,0.0016974-0.00034213i,-0.00029977-0.00047387i,-0.00079929-0.0001389i,-5.795e-05+0.00015364i,0.00062607+0.00046671i,0.00061926+0.0005028i,-0.00075719-2.0318e-05i,-0.0017489-0.00062638i,-0.001323-0.0010734i,-0.00096813-0.00069485i,-0.00052533-0.00029701i,0.00013653-0.00020372i,0.00013763-0.00023334i,0.00017471-0.00032237i,0.00052046-0.00029097i,7.7461e-05-0.00028261i,-4.0179e-05-0.00043926i
-0.00058854-0.00063524i,-0.0010376+0.00090852i,-0.0017859+0.0023297i,-0.00071174+0.0023359i,0.0012183+0.00097981i,0.0012835+0.00011383i,0.00065395+0.00073601i,0.0001095+0.0010532i,-0.0006605+0.00036571i,-0.00069575-0.00031088i,0.00065562-0.00044858i,0.001391-0.00021455i,0.00020996+0.00024961i,-0.00067614+9.8561e-05i,-0.00045131-0.00047362i,0.00031582-0.00049482i,0.00048323-0.00017589i,-0.00022287+1.5583e-05i,-0.00010989+0.00037074i,1.4508e-05-0.00017834i,-2.0173e-05-0.00077208i,2.2964e-06-0.00086717i,0.00027139-0.00052944i
0.0010743-0.002394i,-0.00041006-0.0028369i,-0.0014944-0.0029876i,0.00012299-0.0010069i,0.0014542+0.00026626i,0.0015673+0.00066163i,0.0011482+0.0011591i,-0.00039787+0.00050899i,-0.0009089+0.00013524i,2.8012e-06-0.00022958i,0.00018044-0.00021727i,0.00012604+0.00013885i,0.00020277-0.00024184i,0.0006019-0.0002776i,0.00094096-0.000128i,-0.00020814+0.00015191i,-0.00048997+0.00035419i,0.00047709+0.0003637i,0.00052433+0.00049645i,-5.5683e-05+0.00023027i,-0.0003146+1.8604e-05i,5.855e-05-2.9909e-05i,-3.5935e-05-0.00035128i
-0.00078665+0.0012151i,-9.8862e-05-0.00037255i,0.0014751-0.0015427i,0.0016431-0.00052476i,0.0011348+0.00048059i,0.00080597+0.00072409i,0.0010208+0.00054975i,0.0007156+8.8419e-05i,-0.00034968+9.5781e-05i,-0.00070356-0.00014089i,-0.00030766+8.0141e-05i,0.00032321+0.0005306i,0.00038322-8.5213e-05i,-8.1171e-06-0.00045113i,-0.0001489-4.1168e-05i,-4.4056e-06-0.00041339i,-0.00011623-0.00073794i,-0.00019365-0.00039165i,0.00033736+0.00074442i,0.0006189+0.0012249i,0.00045454+0.00042165i,0.00020769+1.5902e-05i,0.00027014+0.00030254i
-0.00068761-0.00014711i,-0.001152+0.00016955i,-0.0015402+0.0009168i,0.00065948+0.00057925i,0.0024726+0.00030097i,0.0014286-0.00019835i,0.00059806-0.00010787i,0.00088335+0.00076379i,0.00063085+0.00081434i,-9.2211e-05+0.00078386i,-0.00022758+0.00066728i,0.00019004+0.00018272i,0.00037859+0.00037024i,0.00012463+0.00053085i,9.9181e-06+0.00024582i,0.00013709+2.443e-05i,1.076e-05-0.00032022i,-0.00040733-0.00083151i,-4.0968e-05-0.00084995i,0.00010816-0.00049395i,-0.00020704-0.00070792i,0.00034284-0.00076588i,0.00094719-4.9396e-05i
-0.00040162+0.00030257i,-0.00022075-0.00026375i,0.0010094-0.00078368i,0.0025648-0.00024657i,0.0028411+0.00058944i,0.0021331+0.00074875i,0.00067859+0.00027308i,0.00023421+7.348e-05i,0.00093784+0.00020276i,0.0011796+0.00012958i,0.0004435-0.00031048i,0.00034597-0.00079087i,0.00024588-0.00035097i,-0.00061588+0.00038279i,-0.0011733+0.00059783i,-0.0014529+1.3925e-05i,-0.00088674-0.00076419i,-0.00035616-0.00076133i,-7.5781e-05-0.00041177i,-2.7069e-05-0.0001527i,-0.00052418-3.5374e-05i,-5.178e-05-0.00028754i,0.00066382+0.00038748i
0.00033445-0.00063738i,0.00017184-0.00036985i,-0.00010781-8.2246e-05i,-2.6001e-05-2.3632e-05i,0.0011403-0.00023239i,0.0015378+0.00019572i,0.0005964+0.00037673i,-0.00024664-0.00026565i,-0.00037032-0.0007161i,-0.00018009-0.00054747i,9.3049e-05-0.00027549i,-0.00038468+5.9038e-05i,0.00033026-1.8113e-05i,0.00061636+0.00049943i,-0.0002686+0.00094881i,-0.00019713+1.4186e-05i,-0.00065169-0.00050083i,-0.00088296+0.00030581i,-0.0002232+0.00045138i,0.00054928-3.569e-05i,0.00044913-0.00020413i,0.0002121-0.00036752i,0.00023153+4.0593e-05i
-0.00044521-0.00069716i,-0.00051379-0.00076306i,-0.00018027-0.00011524i,0.00030546+0.00063968i,0.00056133+0.00032681i,0.00022977+0.00093433i,0.00020646+0.00097289i,0.00046183-0.00048825i,0.00070543-0.000662i,0.0011393+5.2871e-05i,0.0012123+0.00069838i,0.00075567+0.00078182i,0.00023818-0.00021466i,-0.00011473-0.00092379i,2.8996e-05-0.00088514i,0.00065571+4.2854e-05i,0.00019334+0.00066222i,-0.0011251+0.00044566i,-0.0016402+0.00036821i,-0.0011261+0.00079933i,-0.00071529+0.00077311i,-0.00042463-0.00021134i,-0.00019498-0.00085063i
-0.00016614+0.00055341i,-0.00021699+0.0012737i,-0.00022333+0.0010514i,0.0005074+0.00034315i,0.0014607+0.00035108i,0.0016289-2.2596e-05i,0.0007714-0.00016781i,0.00021301+0.00020222i,0.00031942+2.1891e-05i,0.00015276-0.0013293i,-6.812e-05-0.0015788i,-0.00019248-0.00093919i,0.00030088-0.00020759i,0.0003545-4.939e-05i,-2.7414e-05-0.00045759i,-0.0002557-0.00082617i,-0.00062428-0.00058193i,-0.00020985+0.00032705i,-0.00011157+0.00057394i,1.937e-05-2.6682e-05i,0.00018721-0.00016668i,-0.00026876+0.00037854i,-0.00032422+0.00037956i
-0.0023582-0.0011589i,-0.0023423-0.00062653i,-0.0014226+0.00055865i,-0.00020691+0.0015677i,0.00057937+0.0018798i,0.0015213+0.00052616i,0.0012388-0.00069611i,0.00021491-0.00055752i,-0.00051354-0.00052403i,-0.00073596-0.00042059i,-0.00052982+0.00043002i,-0.00037052+0.00046189i,0.00017002+2.1745e-06i,0.00061909-0.0003744i,0.00027088-0.00023159i,0.00019926+0.0006162i,0.00012481-3.5067e-05i,-0.00051097-0.0010389i,-0.00051942-0.00055074i,0.00031024+0.00020739i,0.00020651+0.00016248i,-0.00014488-9.6836e-05i,0.00028725-0.00040364i
-0.00019242-8.4078e-05i,-0.00034503+0.00030925i,0.00038841+0.00047094i,0.00089977+0.001244i,0.0011423+0.0010697i,0.0013654+0.00062932i,0.00099619+1.9737e-05i,0.00011204+3.9373e-05i,1.425e-05-0.00018909i,-6.737e-05-0.00091045i,0.00017297-0.00011434i,0.00014359+0.00085189i,-0.0001985+0.00061677i,-0.00027567+5.3154e-07i,-0.00014018+2.4931e-05i,0.00014356+0.00010124i,-0.00019284+0.00045447i,-0.00031125+0.00044148i,-0.00046456-0.00012302i,-0.00044262+0.00029458i,-0.00048+0.00041241i,-0.00063765+0.00038262i,-4.227e-07+0.00068388i
0.0002881+0.00072436i,0.00016207+0.00070605i,0.0011925+0.00060823i,0.001621+0.0014279i,0.0013574+0.0018223i,0.0013076+0.001289i,0.00077217+0.00077155i,0.0003272+0.00049285i,0.00084845+0.0002388i,0.0006314-0.0002387i,0.00071523-0.00036522i,0.00078753+8.4001e-05i,0.00049087+0.0002581i,-0.00010194-0.00016545i,-0.00064773-0.00040036i,-0.0003942-0.00029779i,0.00012149-5.2046e-05i,-9.2849e-05+0.00011993i,-0.00020352+0.00057909i,0.00079467+0.00045273i,0.00072598+9.417e-05i,-0.00055703-0.00035231i,-0.00049627-0.00012419i
2.4794e-05-0.000605i,-0.00027555+0.0011326i,0.00010442+0.00072527i,0.00080729+0.00054965i,0.0013346+0.00090957i,0.0012018+0.00052559i,0.0011024+0.00024878i,4.3987e-05+0.00041634i,-0.00068277+0.00053809i,2.5328e-05-0.00013026i,0.00096658-0.0007054i,0.00075745-7.9249e-05i,-0.000121+0.00049033i,-6.0144e-05-0.0001019i,0.000682-0.00017264i,0.00099744+7.535e-05i,0.00092481-0.00042757i,0.00080948-0.00011893i,0.00063704+0.00063444i,0.00023289+0.00074034i,7.6123e-05+0.00082159i,2.2901e-05+0.0014543i,-4.5971e-05+0.0012968i
-0.0014289-0.00051577i,-0.001989+0.00011032i,-0.0016307+0.00088285i,-0.000642+0.0011611i,0.00057661+0.0022371i,0.0009909+0.0017186i,0.00054769+0.00067192i,0.00032788+0.00049042i,0.00010048+0.00015504i,0.00013195-1.4339e-05i,0.00046651+9.7444e-05i,0.0002912-0.0001293i,0.00010074-7.5347e-05i,0.00026134+0.00037481i,0.00024556-0.00010511i,-0.00023199-0.00078197i,0.00010932-0.00029817i,0.0003774+9.8912e-05i,-0.00045033+0.0006223i,1.9616e-05+0.0010519i,0.0010091+6.0199e-05i,0.0010078-0.0010323i,0.00075056-0.00092346i
0.00052801-0.00061432i,0.00077736-0.0015846i,0.0011182-0.0025277i,0.0012027-0.0019269i,0.0012689-0.0012528i,0.0010234-0.00087991i,6.5513e-05-0.00036983i,-0.00031846-0.00034864i,-8.5364e-05-0.00027486i,-0.00043796-0.00023314i,-0.00028934-5.4792e-05i,3.5969e-05+0.00017963i,0.00035936-5.7282e-05i,0.00041878-6.9229e-06i,-0.0003887-0.00026753i,-0.00011121-0.00052079i,0.00060902+3.3739e-05i,0.00014143+0.00085157i,-0.0003064+0.0010118i,-8.9334e-05+0.0007019i,-0.00034692-0.00022912i,-0.00082622-0.0015064i,-0.00017938-0.001829i
-0.0011299-0.00045444i,-0.0019036+0.00016901i,-0.0016493+0.00060801i,-0.00043663+0.00074342i,0.00089805+0.00050661i,0.0012424-3.0723e-05i,0.00055888+0.00022315i,-0.00016858+0.00072222i,-0.00051335+0.00011551i,0.00014601-0.00033301i,0.00012503-0.00021226i,-0.00031551+0.00034906i,-7.8976e-05+0.00045701i,-0.00054554+0.00016464i,-0.00098585-1.0165e-05i,-0.00067721-0.00027033i,-0.00045044-0.0010383i,-0.00035255-0.0012341i,-0.00012071-0.00023024i,-1.4275e-05+0.00020648i,0.0002298-0.00024945i,0.00048723-0.00055123i,0.00052673-0.00044912i
0.00043179+0.00046025i,-7.4354e-05+0.0011429i,0.00041592+0.0010501i,0.0008617+0.00079868i,0.00073796+0.0012389i,0.00028895+0.0011958i,-0.00060003+0.00063823i,-0.00090592+3.8915e-05i,1.6009e-05-0.00035303i,0.00069211-0.00083135i,0.00030417-0.00089103i,0.00010042-7.4765e-05i,0.00052002-0.00019724i,0.00077588-0.00074396i,0.00071678+0.00013571i,0.00046233+0.0012994i,0.0001955+0.00095073i,0.00040209+6.0723e-05i,7.0028e-05+9.324e-05i,-0.00062964+0.00013771i,-0.00072886+7.675e-05i,-0.00083705+0.00047175i,-0.0010889+0.00022873i
-0.0019142-0.0010567i,-0.0024446-0.0012314i,-0.0018897-0.00073095i,-0.001303+2.038e-05i,0.00052873+0.0011484i,0.001453+0.0012078i,0.00068526+0.00059471i,0.00050858-0.00020156i,0.00019555-0.0010027i,0.00049354-0.00041341i,0.00076011+0.00013623i,0.00059154-0.0008474i,0.00050368-0.0012903i,0.00036705-0.00081341i,0.00037525-0.00030516i,2.8548e-05-0.00052786i,0.00035939-0.00059389i,0.00023892-0.00021775i,-0.00014217-0.00046922i,1.7423e-05-0.00027494i,-0.00031643+0.00013438i,-0.00032421-0.00019536i,-0.00012439-0.00060608i
-0.0020273-0.00075926i,-0.0027076+0.00021618i,-0.0018285-7.8826e-05i,-0.00037863+0.00053238i,0.00059755+0.0014521i,0.0012562+0.0009018i,0.00082949+0.00034085i,-1.9275e-05-3.6864e-05i,0.00059205-0.0002291i,0.00045359+3.772e-06i,-0.00021525+0.0006432i,-0.00015801+0.0011626i,-0.00042229+0.0011886i,-0.00029571+0.00023486i,0.00021264-0.00029084i,-0.00032096-0.00018916i,-0.00029533-0.00015565i,3.9997e-05-1.7068e-05i,-0.00019161-1.7713e-05i,0.00027839+0.00042098i,0.0007535+0.00080151i,0.00045399+0.00053051i,0.00051708-2.2337e-06i
-0.0021725-0.0002117i,-0.0022858+0.00067178i,-0.0017937+0.0025784i,-0.00010384+0.0030267i,0.0019646+0.0023099i,0.0028059+0.00089763i,0.0017595-0.00019212i,0.00050204-0.00044975i,0.00016363-0.00076032i,-2.4951e-05-5.2189e-05i,-0.00013765+0.000517i,-9.0024e-05-6.6395e-05i,0.00016697-8.0715e-05i,0.00011856+0.00039377i,-0.00049749+0.00033086i,-0.00074308-0.00059307i,-0.00060116-0.00073286i,-0.00043953-0.00041883i,-0.00040117-0.00023323i,-0.00023867+0.00041352i,0.000333+0.00011336i,0.0010954+0.0001762i,0.00057228+0.00066996i
-0.00047605+0.0017464i,-0.00082375+0.0017831i,0.000368+0.0025557i,0.0015263+0.0024691i,0.0020838+0.00045933i,0.0019487-0.00034228i,0.0012128+0.00040363i,0.00024943+0.00010806i,-0.00052131-0.00037652i,-0.00040471-0.00068771i,-0.00022065-0.00054982i,0.00022013-0.00022702i,0.00034057-0.00023696i,8.4732e-05-0.00061155i,-8.4574e-05-0.00073329i,-0.00024331-0.00032154i,-0.00055575-0.00042867i,-0.00054749-0.00048079i,-0.0003508-0.00011518i,-0.00038592-0.00012668i,-0.00074382-0.00037599i,-0.00093252-0.00023086i,-0.00030558-0.00013043i
-0.00065778+0.00083515i,-0.00068761+0.00087154i,-0.00017034+0.00048373i,0.00057501+0.00019299i,0.001496+0.00048131i,0.0014269+0.0010515i,0.001169+0.00094304i,0.00068833+0.00047685i,0.00038499-0.00049266i,0.00059421-0.0010626i,0.0003729-0.00031827i,0.00038926+0.00026373i,0.00056233+0.00033183i,-5.849e-05-0.0002514i,-0.00045606-0.00028493i,-0.00049849-0.00025929i,-0.00032075-0.00076218i,-0.00014897-0.00088264i,-0.0005153-0.0009083i,-0.00021511-0.00076861i,0.00048551-0.00052339i,0.00025232-0.00021938i,-0.00077099-8.1225e-06i
-0.0013428-0.0022402i,-0.0016895-0.00052515i,-0.0016573+0.00085751i,-0.00088475+0.0018522i,-0.00013718+0.0019414i,0.00065974+0.0010131i,0.00025418+0.00025909i,-0.0002789+0.00037811i,0.00017949-0.00010403i,0.00066468-0.00030997i,0.00026607+0.00095412i,-0.00074039+0.0014931i,-0.00011293+0.00016567i,0.00097044-0.00026125i,0.00045833-6.7923e-05i,-0.00011855-0.00033703i,-0.00023931-0.00069086i,-1.5946e-05-0.0008142i,-0.00062469-0.00036912i,-0.0012835+0.00069768i,-0.00057871+0.00097769i,2.5107e-05-8.4389e-05i,-0.00060846-0.00084833i
-0.00037127-0.0012596i,-0.0011381+3.9885e-05i,-0.00096909+0.00041239i,-0.00078479+0.00093138i,-0.00060249+0.0022701i,-0.00010292+0.0016446i,1.0916e-05+0.00073629i,0.00048015+0.0010127i,0.00036425+0.00064051i,-0.00025876+0.00026433i,0.00039735-2.5425e-05i,0.00080434+4.0747e-05i,0.00015629+0.00022372i,-2.3436e-05-0.00031758i,-0.00026642-0.00016336i,-0.00037496+0.00020343i,0.00010442+0.00036019i,2.2737e-05+0.00051417i,-0.00017712-3.2787e-05i,0.00038217-0.00051947i,3.5463e-05-0.00044952i,-0.00099007+0.00011919i,-0.00091667+0.00056413i
-0.00061463-0.00029271i,-0.00098457-0.00052913i,-0.0015837-0.00024891i,-0.00021428-0.0008052i,0.0014935-0.0003994i,0.0010524+0.00040431i,0.00085461+0.00053243i,0.00026753+0.0012322i,0.00032867+0.00069534i,0.001025-0.00051184i,0.00036205-0.00083603i,0.00055896-0.00081468i,0.00080717-0.00087933i,0.000476-0.00066981i,0.00068327-0.00026693i,0.001259+0.00017367i,0.00072037+0.00012397i,-0.00043829+0.00017643i,-0.00074072+0.00020782i,-0.00019612+8.5136e-05i,-0.0002487+3.4538e-05i,-0.00087355+0.00038029i,-0.00040832+0.0009054i
0.00064315-0.003884i,-0.001139-0.0026966i,-0.0015259-0.0025606i,-0.00038939-0.0013783i,-0.00022239-6.6147e-05i,-2.822e-05+0.00070208i,0.00016605+0.00090333i,0.00010365+0.00043241i,1.7883e-05-0.0003403i,-0.00098578-0.0011332i,-0.0015615-0.0005482i,-0.00060864+0.00036263i,0.00021924+0.0010347i,0.00050996+0.0014574i,0.00081254+0.001079i,0.00082313+0.00053234i,0.00038033+0.00022264i,-0.00045744+0.00072375i,-0.00013162+0.0012624i,0.00034386+0.0011423i,-0.00012593+0.00021568i,-0.00030057-0.0004678i,0.00015167-0.00042095i
-0.0025658+0.0009414i,-0.0021702+0.0011115i,-0.00078697+0.00097186i,0.00051229+0.0021385i,0.0015173+0.0027728i,0.0018485+0.0016523i,0.0011545+0.00022475i,0.00044103-0.00039788i,3.2457e-05-0.00014138i,0.00041707-0.0004632i,0.00033477-0.00055377i,-0.00017211+3.004e-05i,-0.0004548+4.275e-07i,-0.00058745-0.00043131i,-0.00029548-0.00017302i,-2.858e-05-0.00027935i,-0.00044558-0.0012603i,-0.00095204-0.0011944i,-0.0009112-0.00084528i,7.9594e-05-0.000584i,0.0003063-0.00017142i,4.2432e-05-0.00052484i,0.00024282-0.00046933i
-0.0008172-0.00012357i,-0.00017783+0.00040802i,0.00073466+0.0012862i,0.0011868+0.00090323i,0.0010181+0.00065487i,0.0016862+0.00052439i,0.0019029+0.00021903i,0.00056113+0.00011527i,-0.00018816-0.00011906i,-0.00033962-0.00026964i,-0.00031434-0.00089566i,0.00031643-0.0011241i,0.0011429-0.00066409i,0.00095443-0.00075319i,-0.00051907-0.00081564i,-0.00080253-0.00025489i,-0.00077349-0.00020792i,-0.00049216-0.00011038i,-0.00020323+5.8092e-05i,-0.00037843-0.00031166i,-0.00090129-0.00065955i,-0.00035827-0.00050443i,-0.00022199-0.0002172i
-0.0014067-0.0022227i,-0.0019164-0.0010485i,-0.0023178-0.00027513i,-0.0018572+0.0015512i,-0.00024462+0.0019743i,0.0011719+0.001881i,0.0010075+0.0013121i,0.0006013+0.00018602i,0.00046479-0.00010033i,0.00012482-0.0007305i,0.00023786-0.00039438i,0.00084555+0.00035063i,0.00081034-6.0505e-05i,0.00075525-0.00015152i,-0.00012044-0.00034996i,-0.0016619-0.00099243i,-0.0013135-0.0010101i,-0.00043248-0.0010387i,0.00025634-7.6839e-05i,0.00086239+0.00053101i,0.000828+0.00070892i,5.724e-05+0.000891i,-0.00039252-0.00056389i
0.00010872+0.00031718i,0.001056+0.00034813i,0.0014269-8.0105e-05i,0.0018496-0.00022496i,0.0022412-0.0001098i,0.001742-0.00027129i,0.00084044-0.00014554i,-2.2887e-05+0.00076288i,-0.00024274+0.0012883i,-0.00023531+0.00078241i,2.3962e-05-5.9796e-05i,0.00073643-0.00033534i,0.00077052+0.00040138i,0.00028692-0.00012214i,-0.00038323-0.00065618i,-4.8493e-05+3.084e-05i,0.00044002+3.7157e-05i,-0.00012088-1.6793e-05i,3.9678e-05-0.00016615i,9.2101e-05-0.00072637i,-0.00042682-0.00017471i,-0.00060829+9.6401e-05i,-0.0008228+0.00026429i
