-7.6072e-06-0.00041391i,0.00060238-0.0012143i,-0.00017727-0.0014457i,-0.0010846-0.0017167i,-0.00084493-0.0015596i,-0.00037494-0.00079418i,-0.00016133-0.00013162i,0.00077163-6.6488e-05i,0.00082012+1.3482e-05i,0.00065745-2.714e-05i,0.00084803-0.00037673i,0.00011478-0.00043554i,-0.0008228-5.2312e-05i,-0.00050885-4.6129e-05i,0.00034983+4.4904e-05i,8.279e-05+0.00075992i,0.00041254+0.00046073i,0.0011129-0.00020704i,0.00055187+0.00015646i,4.3629e-05+0.00073478i,0.00028746+0.00056912i,0.00053376+0.00015825i,0.00024817+4.8669e-05i
0.00073469-0.0018989i,0.0006853-0.0021611i,0.00027495-0.0016593i,0.00084066-0.00059094i,0.0018798-0.00041893i,0.0014707-0.00083669i,0.00013771-0.00078005i,-0.00091837-0.00078446i,-0.00071792-0.00040863i,-0.00044169-0.00015492i,-0.00040397-0.00048866i,-0.00055307+7.2055e-05i,-0.00065599+0.00023033i,-0.00010968+0.00031405i,0.00037699+0.00037696i,0.00021331+0.00054605i,6.7585e-05-8.1478e-05i,-0.00070624-0.00057556i,-0.00043319-0.0005051i,2.7617e-05-0.00046511i,-0.0001117+0.0003128i,-0.00028191+0.00093596i,-0.0003625+0.00090589i
0.0013443-0.00022978i,0.0009068+0.00023552i,-0.00025764-0.00037576i,-0.00072711-0.00045633i,-0.00049698-0.00066255i,-4.7536e-05-0.0005424i,-0.00023095-4.3175e-05i,-6.6418e-05+6.3018e-05i,0.00028208+0.00035507i,-0.00019116+0.00043637i,-0.00087468+0.00012179i,-0.00071358-9.9575e-05i,-0.00045216-0.00042333i,-0.00054488-0.00037602i,-0.00050212-2.6629e-05i,-0.00046882+0.00021467i,-0.00048537+0.00021176i,6.0236e-05+0.00029546i,2.4659e-05+0.00056559i,-0.00014965+0.0003635i,-0.00025982-0.00011535i,-0.00079078-0.00015123i,-0.00080173+0.00035495i
-0.00069022-0.00045019i,-0.00016866+0.00039392i,-0.00027572+0.0011008i,0.00061859+0.00070501i,0.0020377-0.00038344i,0.001413-0.0019003i,-0.00011529-0.0021474i,-0.00079448-0.00089307i,-0.00067323+0.00066247i,-0.00049457+0.0013008i,-0.00051858+0.0011935i,-0.00066275+0.0013701i,0.00042952+0.0011408i,0.001062+0.00037529i,0.0003609+0.00034458i,-0.00076936+0.0006347i,-0.0006651+0.00049441i,9.6913e-05+0.0001868i,-0.00012169-6.5533e-05i,-4.124e-05-0.00047633i,8.481e-05-0.00033567i,-0.0003335+0.00033251i,-0.00070109+0.00060485i
0.00062434-0.00068711i,0.00049218-0.00074211i,0.00079468-0.00053024i,0.00012248-0.00042142i,-0.00097554-0.00034497i,-0.0013753-0.00096435i,-0.0011897-0.0016425i,-0.00057948-0.00076116i,-0.00015097-0.00022759i,3.3929e-05-0.00029206i,-0.00044646-0.00012263i,-0.0004719+0.00032318i,6.6606e-05+0.00031635i,0.00039442+0.000809i,0.00026295+0.0011412i,-0.00011736+0.00063068i,-0.00024202+0.00026964i,-0.00036524-8.6257e-05i,4.8368e-05-0.00029149i,0.00055288+8.3931e-05i,0.0007677+0.00035448i,0.00015466+0.00095966i,-0.00081958+0.00096643i
-0.00013124+5.6013e-05i,-6.9423e-05-0.00033988i,0.00019826-0.00073188i,0.00096048+0.00012949i,0.001242+4.9305e-05i,0.0011934-0.0014856i,0.0010518-0.0013249i,0.00083359-0.00057574i,0.00018831-0.00027302i,-0.00055467+0.00010642i,-0.00075061-0.00042908i,-0.000198-0.00053591i,0.00035738+0.00016562i,0.0001064+0.00049041i,-0.00046978+0.00067742i,-0.00028584+0.0010605i,-0.0001674+0.00098092i,0.00027559+0.00027826i,0.00078664-7.4302e-05i,0.00061341+0.00021263i,0.00057273+0.00081454i,0.00023186+0.0011992i,9.5899e-05+0.00077706i
-0.0006859+0.001309i,-0.0017867+0.00090913i,-0.00069837+0.0011543i,0.00077275+0.00065774i,0.0013811-0.00067745i,0.00098619-0.0011241i,0.00038197-0.0010107i,-0.00045416-0.00078502i,-0.00064387-0.00029154i,-0.00070134+0.00055942i,-0.0014959+0.0010836i,-0.0015576+0.00088969i,-0.0010842+0.00049819i,-7.5237e-05+6.7339e-05i,0.00049564-4.7392e-05i,6.4063e-05+0.00072767i,0.00052001+0.0013173i,0.0012088+0.0012553i,0.0010017+0.00071086i,0.00072883-7.2991e-05i,-0.0001188+4.6911e-05i,-0.00049432-0.00021725i,-0.00036516-0.00028462i
0.00027894-0.00024721i,4.3272e-05-0.00088574i,5.592e-05-0.00055905i,-0.00025379-9.719e-05i,0.00016954-0.00030477i,0.00080083-0.0013131i,0.00055293-0.00091236i,-0.00041208-9.8035e-05i,-0.00048627-0.00042774i,-0.00011033-0.00084439i,-0.00027545-0.00016315i,-0.00077695+0.00077847i,-0.00049735+0.00087067i,-4.8448e-05+0.00074886i,-0.00044+0.00050019i,-0.00053834-0.00023379i,-8.538e-05-0.00089492i,1.713e-05-0.001318i,0.00019108-0.0006201i,0.00030962-0.00034739i,0.00018822-0.00049526i,0.00046901-0.00033185i,0.000436+0.00012816i
-0.00048447-0.00029246i,-0.00070638-0.00069838i,0.00013922+8.6335e-05i,0.0010466-0.00024955i,0.0011692-0.0015652i,0.00078749-0.0025493i,0.00036578-0.0014828i,-0.00017425-0.00027223i,-0.00096721-0.00046275i,-0.0012356-0.00022801i,-0.0010682+0.00032537i,-0.00083137+0.00031409i,-0.00020775+0.00015672i,0.00038075+0.00021629i,0.00056882+0.0011095i,0.00021993+0.0014966i,-1.6135e-05+0.00070527i,-0.00011867-0.0001187i,-0.00059802-0.00017334i,-0.0010743-0.00025064i,-0.00071019-2.6566e-05i,-0.00020556-8.1458e-05i,-7.6776e-05-0.0002247i
0.00081159-0.0010026i,-5.7618e-05-0.00023175i,-0.00036567-7.5093e-05i,-0.00022837-0.00024676i,-0.0011566-0.00011119i,-0.0010479-0.0004666i,0.00073461-0.00055222i,0.00099354-0.00027406i,-0.00024217-9.5104e-05i,-0.0010405-0.00031735i,-0.00015806-3.2523e-05i,0.00036385+0.00082317i,-0.00071213+0.00086962i,-0.00034631+0.00081389i,0.00042692+0.00063197i,0.00030875+0.00038686i,0.00031853+0.00026428i,0.00071715-0.00046939i,0.00024922-0.0007592i,-0.00053716-0.00054157i,-0.00010298-0.00024487i,0.0001501-0.0001888i,-0.00014404-0.00015644i
0.00085181-0.0010679i,0.00079076-0.001191i,0.00029976-0.00070986i,6.6111e-05-0.00036261i,0.00042746-0.00080396i,0.0011645-0.0013793i,0.00078056-0.001174i,0.00041569-0.00064059i,0.00040886-0.00049056i,0.00060084-0.00099055i,-6.711e-05-0.00072152i,-0.00066995+0.00019329i,-0.00026167+0.00018639i,0.00058676-2.5895e-07i,0.00045898-3.7958e-05i,-0.00065076-0.00034234i,-0.00092251+0.00013473i,-0.00014384+0.00072766i,0.00044791+0.00029341i,0.00022838+0.00017191i,1.6807e-05+0.00038175i,0.00043898+0.00012707i,0.00078905-0.00046563i
-0.0015064-5.4091e-05i,-0.0012928+0.0002354i,-0.00086347+0.00018072i,2.356e-05+0.00035856i,0.00081975-0.00045022i,0.00083093-0.0016388i,1.3404e-05-0.001592i,-0.00038744-0.0010343i,-0.00063273-0.00026491i,-0.0012567+9.7614e-05i,-0.0010951-0.00077836i,-9.3176e-05-0.0014495i,0.00060289-0.0014353i,0.0010965-0.0010246i,0.00096802-0.00037429i,-0.00032259+0.00014608i,-0.0011662+0.00024991i,-0.00088046+0.00042951i,-0.00010573+0.00079489i,0.00070539+0.001026i,0.00071153+0.00083981i,0.00035018+0.00042869i,-0.00021073+0.00053647i
-0.00040399-0.00035364i,-0.00061503-0.00064998i,0.0002336+3.4496e-06i,0.0012798+0.00072826i,0.0013354-0.000266i,0.00040607-0.0015324i,-0.00035982-0.00089729i,-0.00064106-0.00052023i,-0.00065753-0.00077028i,-0.00031228-0.0012885i,-0.0004006-0.0014306i,-0.00024386-0.00032922i,1.4291e-06+0.00046421i,4.5143e-05+0.00045927i,-0.00048519+0.00051101i,-0.00079558+2.1665e-06i,0.00010824+0.00030811i,0.00072094+0.00098111i,0.00034503+0.00069115i,7.7811e-05-0.00012454i,-2.5305e-05-0.0006969i,0.00014846-0.0002091i,0.00032418+0.00037214i
-0.00076026+0.0012822i,-0.00041215-0.00013149i,0.00017864-0.00038135i,0.00061362-0.00069887i,0.00075696-0.0011212i,0.00049931-0.0015863i,7.5035e-05-0.0013969i,-0.00025355-0.00071061i,-0.00055976-0.00038895i,-0.00080889-0.00016416i,-0.00048649-3.032e-05i,-0.00019175+0.00038072i,-0.00055548+0.00089143i,-0.00056783+0.00098978i,-0.00021345+0.00074467i,0.00017145+0.00019359i,0.00048689-0.0002022i,9.2364e-05+0.00013233i,-0.00017918+0.00055525i,0.00021703-7.18e-05i,0.00035632-0.00077771i,0.0001519-0.00055504i,-2.7014e-05+7.7316e-05i
-0.0017806+0.0014983i,-0.0014981+0.00067183i,-0.00049709+0.00073866i,0.0022471+0.00029594i,0.003696-0.0010937i,0.0023761-0.0024874i,0.00046143-0.0023418i,-0.00039345-0.001049i,-0.00045599-1.7169e-05i,-0.0010074+0.00023335i,-0.0008005+7.9066e-05i,7.2548e-05+0.00020266i,0.00030797+0.00054234i,-1.2035e-05+0.00064229i,-0.00080535+0.00034319i,-0.0011022-0.00013358i,-0.00038088-0.00021038i,0.00043834-0.00023447i,0.00098516-0.00026986i,0.0011243-0.00025203i,0.00041104+9.0887e-06i,-0.00025831-0.00024844i,-0.00016153-0.0004822i
-0.00020352-0.0013585i,-0.00038862-0.0019721i,-0.0012142-0.00050093i,-0.0013423+0.0012471i,-0.00096615+0.0011872i,-0.00021937-0.00017268i,0.0003099-0.00054904i,-0.00034836-0.00040607i,-0.0010663-0.00038189i,-0.0014292+0.00062211i,-0.0012531+0.0008731i,5.7953e-05+0.00027418i,0.0012634-0.00013839i,0.0011199-0.00010752i,0.00050989+0.00074369i,6.5219e-05+0.0012926i,0.0002263+0.0011077i,0.00035609+0.00079563i,-0.00017936+9.4063e-05i,-8.8566e-05-0.0003204i,0.00045915-0.00023532i,0.00069902-0.00013952i,0.00052849-0.0001525i
0.00066648+0.00075197i,0.0008687-5.6628e-05i,0.00046979-0.00093451i,-1.7849e-05-0.0011302i,0.0003134-0.0011392i,0.00085444-0.0010769i,0.0009308-0.00089421i,2.3541e-05+9.8419e-06i,-0.0013396+0.000441i,-0.0017628+0.00019791i,-0.001403+0.00022081i,-0.00029624+0.00024058i,0.00035194+3.5561e-05i,0.00070182+1.7003e-05i,0.0010157-0.00028814i,0.00086361-0.00052509i,-3.9226e-05-0.00031234i,-1.6588e-05-0.00015728i,-0.00021917-0.00043099i,-0.0013064-0.00037346i,-0.0010918+0.00034162i,-0.00038995+0.00087216i,0.0003916+7.8592e-05i
-0.0023425-0.0026163i,-0.0019786-0.0017724i,-0.0015292-0.00019591i,-0.00095243+0.00044272i,0.00025579+0.00071913i,0.0019078+0.00096574i,0.0014729+0.00015135i,0.00013273-0.0003278i,-0.00041589+0.00029445i,-0.00023932+0.00039031i,-1.688e-05+0.00043396i,0.00052051+0.0006912i,0.0009149-0.00022491i,0.00051502-0.0013259i,-0.00017523-0.0013154i,-0.00074211-0.00044213i,-0.00044002+0.00044267i,7.763e-05+0.0011827i,-8.2789e-05+0.0010367i,0.00019281+0.00025261i,0.00051363-0.00016689i,0.00036581+0.00029741i,0.00055396+0.00080205i
0.0013445+0.00016443i,0.001754-0.0003545i,0.0010858-0.0014755i,0.00039095-0.0012706i,-0.00020835-0.00075921i,-0.0010424-0.00078784i,-0.00069491-0.0013296i,0.00034038-0.00088215i,0.00082486-0.00041419i,0.00025401-0.00048372i,-9.7557e-05+0.00047445i,0.00010677+0.0012092i,0.00045539+0.00069978i,0.001161+0.00085703i,0.0012787+0.0014981i,0.00046817+0.0012452i,-0.0002151+0.00074407i,0.00040709-8.7729e-06i,0.001071+0.00021265i,0.00058897+0.00025943i,-0.00021056+7.1098e-06i,-0.0010224+0.00039557i,-0.00079545+1.8464e-05i
-0.0015855+0.0015276i,-0.00156+0.0021149i,-0.001321+0.0018484i,-0.00055558+0.0006365i,0.00027176-0.00037207i,0.0012615-0.0010237i,0.0019938-0.001281i,0.0015637-0.00029351i,0.00055688+0.00015554i,-0.00028382-0.00011327i,-0.00070175+0.00020811i,-0.00050245+0.0006794i,-0.00015215+0.00053635i,-0.00015301+0.00025957i,-7.3019e-05+9.6819e-05i,-0.00066587-0.00022308i,-0.0012275-9.1413e-05i,-0.00077165-0.00054162i,8.9665e-05-0.00047919i,0.00022534+1.4651e-05i,0.00013269-0.00029631i,0.00063559-0.00033856i,0.00049482-0.00019189i
-0.0013999-0.0037539i,-0.0011263-0.0031326i,-0.00075445-0.001889i,-0.00026496-0.0010513i,3.4499e-05-0.00033438i,-9.1565e-05+0.00061803i,-0.0002606+7.3669e-06i,0.00012866-0.0017265i,-0.00039333-0.0014418i,-0.0010776-2.431e-05i,-0.00055216+0.0007029i,0.0006771+0.00034985i,0.00076173-0.00032025i,8.8629e-06-0.00054849i,6.0993e-05-0.00029331i,6.1068e-06-3.3905e-05i,-0.00045352+4.0357e-05i,-2.49e-05+0.00053649i,-4.6222e-05+0.00057914i,0.00018734+0.00063076i,7.5945e-05-1.9406e-05i,-0.00038397-0.00067323i,-0.00031484-0.00044251i
0.0007492+0.0017721i,0.00040822+0.00107i,-0.0003583+0.00042583i,-0.0012578-8.7438e-05i,-0.00040509-0.0005323i,0.00060739-0.001111i,0.0006052-0.00069876i,0.00033246+0.00055281i,0.00012998+0.00095224i,-0.00064076+0.00037865i,-0.00051339+7.4296e-05i,2.7468e-05+7.4453e-05i,-0.00039616+3.6516e-05i,-0.00036196+0.00092462i,0.00012099+0.0015i,-1.7595e-05+0.0010676i,0.00043889+0.0008297i,0.0014042+0.0011251i,0.0011364+0.00087544i,0.00031904+0.00048987i,-0.00024748+0.00051177i,-0.00063042+0.001131i,-4.552e-05+0.00074625i
-0.00095052-0.00036419i,-0.00017837-0.00031247i,0.00055484-0.0001116i,0.00022535-0.00064514i,0.0011675-0.00067507i,0.0020045-0.0012101i,0.0011631-0.0016884i,0.00044718-0.00023235i,-0.00038383+0.0010138i,-0.00081041+0.0008064i,0.00016497+1.3476e-05i,0.00092678-0.00010927i,0.00070935+0.00030711i,0.0001886+0.00050136i,-4.272e-05+0.00063462i,0.00029849+0.00070347i,-0.00025332+0.00047629i,-0.00017876+0.00012097i,0.00025906-5.9236e-05i,0.00016568-0.00015997i,0.00037053-0.00029523i,0.00024838-0.0007384i,0.00069692-0.0005173i
0.00040034-0.001393i,0.0010019-0.00084369i,0.00038395+0.00022151i,-0.00030761+0.00068145i,-7.7113e-05+0.00019675i,0.00056733-0.00078587i,0.0007237-0.0013521i,0.00030551-0.0013969i,-0.00029-0.0013898i,3.6212e-05-0.00061945i,0.00029514+0.0002396i,-0.0002242+0.00033049i,-0.00036796+0.00036398i,-1.2446e-05+0.00040744i,-0.00024427+0.00046479i,-0.00044792+0.00047544i,-0.00027642+0.00088336i,0.00029193+0.0010669i,0.00055689+0.00060887i,0.00084014+0.00033554i,0.0010393-9.3975e-05i,0.00088182-0.00020041i,0.00032884-0.00015267i
0.0014308+0.001052i,0.00061888+0.00030318i,-0.00013407-9.3034e-05i,0.00053115-0.0010391i,0.00092625-0.0019019i,3.0866e-05-0.0017543i,-0.00055959-0.0010144i,-0.00069595-0.00043027i,-0.00068638+0.00063766i,-0.00032664+0.001042i,0.00092075+0.00021603i,0.00055094+0.00052036i,-0.00036971+0.0014425i,-0.00076661+0.0011998i,-0.0010747+0.00075636i,-0.00060306+0.00054446i,-5.3994e-05+0.00053487i,0.00085105+0.00090568i,0.00093018+0.00070411i,0.00029541+0.00019119i,-0.00059268+0.00019385i,-0.00068706+0.00056252i,0.00010545+0.0010407i
-0.0029908-4.5893e-05i,-0.0024534-0.00032976i,-0.0010926-0.00036392i,0.00025056-1.3795e-05i,0.0011782-0.00010853i,0.0013672-0.0001849i,0.0006344-0.00073509i,-0.00069851-0.0011149i,-0.00092726-0.0011952i,-0.00031292-0.00045702i,-0.00087853+0.00069575i,-0.00074095+0.00080056i,0.00018025+0.00062522i,0.00018021+5.73e-05i,1.5856e-05-8.2752e-05i,8.891e-05-0.00034266i,2.9154e-05-0.00062105i,0.00025096-0.000374i,0.00070913-0.00016994i,0.00062867+0.00030117i,-0.0002859+0.00014421i,-0.00040251-0.00053478i,0.0004352-0.00025758i
0.0011636-0.0016279i,0.00057855-0.00098082i,-0.0005771+0.00033356i,-0.00051464+2.0418e-05i,0.00015913-0.0016106i,0.00044249-0.0018711i,3.5324e-05-0.0011921i,-0.00027861-0.0009883i,0.00021991-0.00080901i,0.00031409-0.00067991i,0.0003049-0.00033532i,0.00020062-0.00020386i,-0.00025782-0.00031287i,-8.9926e-05+0.00032546i,0.000186+0.00065537i,-0.00060286+0.00048662i,-0.0010415+0.0005123i,-0.0005679+0.00076665i,-0.00020266+0.00091043i,-0.00040383+0.00030198i,-0.00024499-0.00032521i,0.00014349-0.00011883i,-0.00021158+5.4288e-05i
0.0031229+0.001276i,0.0019995+0.0012393i,0.00070815-0.00029574i,0.00047994-0.001502i,0.00099194-0.0017746i,0.00027963-0.0013065i,2.9487e-05-0.00046579i,0.00040356-0.00062245i,-0.00055589-0.0011315i,-0.0012542-0.00068012i,-0.0010814+0.00031898i,-0.00087845+0.00047184i,-0.00048995+0.00054053i,0.00023057+0.00045425i,0.00093414+0.00031832i,0.00096786+0.00054691i,0.0011681+0.00050783i,0.00068039+0.00054391i,0.00011823+0.00020552i,0.00012184-2.0268e-05i,-0.00046925-1.6565e-05i,-0.00035262+0.00011657i,0.00010937+0.00067102i
-0.0011819-0.0012731i,-0.00061386-0.00066957i,0.00019128-0.00068666i,-0.00025453+0.00015515i,-0.000963+0.00087432i,-0.00047739+0.00054432i,-0.00024735+5.7514e-06i,-0.000173-0.00042321i,-0.00037249-5.396e-05i,-0.00082567+0.00044716i,-0.00079676+0.00058006i,-0.00074914+0.00020843i,-0.00042995+0.00030959i,0.00029729+1.5008e-05i,0.00047236-0.0002412i,-0.00069497-0.00023878i,-0.00071068-0.00029058i,-0.00018055+0.00042254i,-0.00022735+0.00064858i,-0.0009703+7.3802e-05i,-0.0010565-0.00029995i,-0.00081209-0.00023126i,-0.00035818-6.652e-05i
0.001872-0.0019007i,0.00099686-0.0021075i,0.00037203-0.0010551i,0.00029979-0.00079235i,-0.00012969-0.0012721i,-0.00035621-0.0014449i,-0.00021047-0.00099468i,8.7833e-05-0.00027997i,0.0004709-0.00041096i,-0.00045135-0.00055018i,-0.00057847+8.7888e-06i,7.2544e-05+0.0005989i,-0.00024431+0.00056487i,2.0407e-05+7.5806e-05i,0.0010223-0.00034692i,0.0011101+0.00024293i,0.00041397+0.00084041i,0.00032165+0.00038992i,0.00057657+6.7008e-05i,1.7231e-06+0.00010614i,-3.3885e-05+6.9753e-05i,1.926e-05+0.00041039i,-0.00072622+0.00084148i
-0.00013106+0.0020753i,0.00063796+0.0017073i,0.00079928+0.00092393i,0.0010116+0.00027474i,0.0011652+6.9044e-05i,0.00081592+0.00025476i,0.00066464+0.00049941i,0.0003659-0.00010733i,0.00036588-0.00046331i,-0.00028698-0.00029618i,-0.0013727-0.00053235i,-0.0010508-6.4192e-05i,-0.00044083+0.00042515i,9.0364e-05+0.00030697i,0.00043118+0.00049572i,0.00016481+0.0010452i,-5.6845e-05+0.0012778i,4.9468e-05+0.00114i,-0.00038398+0.00094452i,0.00018981-0.00011492i,0.00048537-0.00065269i,-0.00039495-9.4713e-05i,-0.00082556+0.00013676i
-0.002258-0.001409i,-0.002092-0.00084565i,-0.0013742-0.00042482i,-0.00058377-0.00035365i,0.00015943-0.0010223i,0.00080181-0.00087721i,0.0012317-1.912e-05i,0.00088679+0.00028107i,0.00040539-0.0004428i,-0.0004303-0.00013394i,-0.0010754+0.0001532i,-0.00075235-0.00023261i,-0.00012795-0.00014386i,4.605e-05+0.00051523i,-0.00070451+0.00094437i,-0.00079948+0.00016969i,0.00015809-0.00027163i,0.00036377-7.346e-05i,-0.00024926+0.00033033i,-1.3203e-05-0.00014429i,0.00062093-0.00056079i,0.00022624+0.00021191i,-0.00065691+0.00062766i
