-0.0021728+0.0013852i,-0.0022357+0.00040463i,-0.0021154+8.2012e-06i,-0.00087348-0.00019533i,0.00086277+0.00022411i,0.0010916+0.0005132i,0.00025515+0.001043i,0.0006487+0.002196i,0.0013208+0.0018766i,0.0018122+0.00061042i,0.0015167-0.00063913i,0.00038995-0.0017964i,-0.00021076-0.0013801i,1.4307e-05-0.00041996i,-0.00024189+0.00016462i,-8.2058e-05-0.00010129i,0.00025213-0.00039717i,-0.00020336+0.00011223i,-0.00085437+0.00020664i,-0.001165-0.0005895i,-0.00050339-0.00065306i,-0.00011678+0.00025937i,0.00011485+0.00044375i
-0.00022737+0.0017085i,-0.001+0.0011396i,-0.00087253+0.00058667i,-0.00042768+0.00031011i,0.00043009-0.00087892i,0.00062243-0.0012074i,-5.3804e-05-0.000712i,-0.00042584-0.00059657i,3.0214e-05-0.00091244i,0.00028644-0.0010436i,0.00048488-0.000561i,0.00028096-0.0005669i,0.00012756-0.0006399i,9.8963e-05+0.00013752i,4.0895e-05+0.00077217i,0.00024381+0.00059643i,-2.1963e-05+0.00074936i,-0.00046223+0.00055738i,-0.00069256+0.0004464i,-0.0010097+0.0010945i,-0.00057268+0.00062808i,0.00046371-0.00049386i,0.00073531-0.00020564i
0.00026323+0.0013045i,0.00029282-9.8445e-05i,0.00030517-0.0016649i,-0.00013101-0.0010548i,-0.0011573-0.00084942i,-0.00082054-0.0014159i,4.6081e-05-0.00045555i,-0.00010444-4.6824e-05i,-0.00029088-0.00043273i,-0.00020826-0.00061883i,6.3505e-05-0.000729i,0.00015689-0.00087567i,-0.00040214-0.0007693i,-0.00085614-0.00058835i,-0.00024212-0.00024016i,0.00047346-7.5652e-05i,0.0001005-0.00028357i,-0.00056494+0.00036746i,-0.00048998+0.00073519i,-0.00017582+0.00063202i,-0.00077996+0.00029966i,-0.0008734+1.0657e-05i,-0.00082621+0.00031021i
0.00081594-0.0015706i,0.00069387-0.0014871i,0.00046578-0.00094168i,0.00019011-0.0010019i,1.8225e-05-0.0010689i,-6.9123e-05-2.8426e-05i,0.00035439+0.00041901i,0.00094312+7.1274e-05i,0.00056485+0.00021158i,-0.00031294-1.8138e-05i,-0.000164-0.00053308i,0.00030603-0.00068482i,0.00022944-0.0011012i,0.00042927-0.00052696i,0.00038736+0.000914i,0.00031411+0.00096795i,0.00057809+0.00048006i,0.0006832+0.00025386i,-8.7814e-05+0.00037387i,-0.00075446-0.00067164i,0.00029347-0.00047382i,0.00045735+0.00098722i,-0.00038316+0.00080566i
0.00040158-0.00035955i,0.00046748-0.00011439i,0.00027195+0.00083692i,0.00025968+0.00084637i,0.00062091+0.00086219i,0.00052849+0.00023758i,-5.1222e-05-0.00050267i,0.0001123-0.0009979i,0.00055597-0.0011133i,0.0012418-0.00066874i,0.0011413-0.00069833i,0.00034812-0.0007324i,0.00026607-0.00026039i,0.00020158-0.00066024i,-0.00011721-0.0013184i,-0.00043731-0.00042665i,-0.00042707+0.00031721i,-0.00018079+0.00010274i,0.00018825+0.00030757i,-0.00017461+0.0013058i,-0.00043076+0.0012911i,-0.00022623+0.00022804i,0.00013034-0.00051695i
0.00069581+0.0010153i,-0.00027186+0.00016428i,0.00036452-0.0010708i,0.00041159-0.0013025i,-0.00079139-0.0014411i,-0.0011193-0.00090963i,0.00043464-0.00014692i,0.00083505-0.0001746i,0.00036753-0.00052987i,0.0005709-0.00054904i,0.00013516-0.00056381i,-0.00045785-0.00072433i,-0.00020209-0.00052704i,-0.00046607-0.00082984i,-0.0007468-0.0011091i,-0.0001031-0.0003355i,0.00025041+0.00033549i,8.5921e-05-4.3062e-06i,-0.00086194-0.00032701i,-0.0011383-0.00017352i,-0.00058765+2.6554e-05i,3.6248e-05+0.00064236i,0.00013139+0.00011373i
-0.00021324-0.00039648i,-0.00018799+0.00054404i,-8.2988e-05+0.00079809i,-0.00020813+0.00097431i,-0.00029322+0.0006895i,-0.0002324+0.00049533i,0.00023269+0.00025044i,0.00018792-8.7434e-05i,-0.00031903-0.0008965i,-0.0004648-0.00079463i,-0.00047354+4.8331e-05i,-0.00025671+0.00014449i,0.00035174-0.00077955i,-6.4984e-05-0.00074206i,-0.00038503+0.00038168i,1.6757e-05+0.00065385i,0.00044458+0.00061396i,0.00094089+0.0010706i,0.0005286+0.001328i,0.00041242+0.00048505i,0.00029941-0.00015001i,0.00019739-0.000137i,0.00013354+0.00024568i
0.00024085+0.00036288i,7.137e-06-0.00034118i,-0.00024221-0.0008773i,-0.00031753-0.0012603i,-0.00048139-0.001077i,-0.00079395-0.00097653i,-0.00065152-0.0013177i,-8.0179e-05-0.00068567i,0.0002204-0.0001025i,0.00026211-0.00040922i,-3.7823e-05-0.00049686i,-0.00020129+0.00010099i,0.00046853+0.00051806i,0.00079919+3.6561e-05i,-0.0001605-0.00073208i,-0.00088286-0.0012927i,-0.00056496-0.00024107i,-0.00033845+0.00054149i,-0.00018361+3.3514e-05i,-0.00029523+1.2164e-05i,-5.3645e-05+0.00014976i,0.00056441+0.00019498i,0.00054598-1.1047e-05i
0.0009116-0.00098101i,0.00047632-0.0016405i,-0.00011748-0.0014582i,-0.0001163-0.00045981i,0.00015578-0.00013891i,0.00016371-0.00027396i,0.00089892+0.00010746i,0.0013226+0.00094381i,0.0011524+4.9632e-05i,6.5217e-05-0.0010229i,-0.00094172-0.00046261i,0.00014804-0.00026465i,0.00096144+0.00031545i,0.00027466+0.00093546i,-0.0010426+0.00039041i,-0.0010562-0.0006513i,-5.4614e-05-0.00038853i,0.00054526-1.7839e-05i,1.1661e-06-0.00063604i,-0.00055777-0.0005359i,-0.00073549-0.00035551i,-0.00047091-0.00016717i,1.5969e-06+0.00017978i
-0.00012043+5.8177e-05i,-0.00016584+6.5724e-05i,-0.00019224+9.5353e-05i,0.0004926-0.00099689i,0.00080187-0.0019301i,0.00030782-0.0015753i,0.00045334-0.0011417i,0.0007823-0.00075807i,0.00058038-0.00027765i,0.00021334-0.00030523i,0.00063043-7.3046e-05i,0.0004995+0.00021632i,-6.4354e-05-0.00031477i,-7.3117e-05-0.00089221i,-0.00017176-0.00029889i,-0.00051875+0.00020376i,-0.00062916+0.00053159i,-0.00063798+0.00052317i,-0.00090632+0.00029115i,-0.00067913-2.7761e-06i,-0.00050267+0.00034773i,-0.00052775+0.00068558i,-0.00017824-0.00016441i
0.00091021+0.00074788i,0.0007381-6.8948e-06i,-0.00021329-0.00040583i,0.00014649-0.00076887i,0.00081839-0.00074451i,0.00064464-0.00074599i,0.00039501-0.00044498i,-3.8338e-05+5.7426e-06i,-0.00034286+1.4851e-05i,-0.00067269-0.0007875i,6.8659e-06-0.00076875i,0.00072127-0.0005323i,0.00023518-0.00025216i,-0.00039897+0.00026499i,-0.00076781+0.00071643i,-0.00073372+0.00030086i,-0.00022339-0.00052929i,0.00021394-0.00065637i,-0.00043877-3.4935e-05i,-0.0011307-0.00017685i,-0.00033214-0.00089328i,-8.5719e-05-0.0010903i,-0.000171-0.0007254i
-0.0010374-0.0011189i,-0.00067823+0.00015011i,-0.0012309+0.0013792i,-0.0011042+0.00087327i,0.00025946+0.00016201i,0.0012891-2.6217e-05i,0.0013651+1.833e-05i,0.00038188-0.00014778i,5.8763e-05-0.00069258i,-2.7488e-05-0.00017005i,-0.0001576+0.00067013i,0.00042718+0.0004866i,0.00073038-0.00028569i,0.00045296-0.00076067i,0.00019032-0.00080833i,0.00033182-0.00076608i,0.00026134-0.00028128i,0.00047505-0.0004435i,0.00058251-0.0004548i,-7.3531e-05-0.00054299i,-0.00022098-1.9897e-05i,0.00041932+0.00024073i,0.0010791-0.00027626i
0.00026634+0.0012072i,7.5966e-05-0.00072246i,-0.00047044-0.00056458i,0.00023996+0.00051731i,0.0012991+0.00047787i,0.0011373+0.00025266i,0.00013169+0.00065147i,-0.00076273-0.00015378i,-0.00090144-6.4921e-05i,-0.0003207+0.00066479i,0.00049103+0.00040685i,0.0004644-0.00017548i,0.00073294-0.00073737i,0.0008479-0.0010844i,0.00022849-0.00088295i,0.00010609-7.0324e-05i,-0.00039555+0.00029366i,-0.00044411+0.00054817i,4.1103e-05+0.00040182i,0.00054515+0.00057869i,0.00084752+0.0004154i,0.00037674-6.1317e-05i,-0.0005221+0.00026125i
-0.0011522+4.4594e-05i,-0.00087769+0.00045128i,-0.0013708+0.00088292i,-0.0010419+0.0011091i,-4.9391e-05+0.0011818i,0.0010275+0.00096072i,0.0013113+0.00086742i,0.0005084+0.00023957i,1.6021e-05-0.00067519i,-3.2663e-06-0.0008107i,0.00067804-0.00069842i,0.0019874-0.00038121i,0.0014617+0.00045184i,0.0004057+0.00019603i,0.00037622-0.00058857i,0.00018341-0.00052239i,0.00036415-0.00046951i,0.00097827-0.00033588i,0.00092526+0.00067948i,0.00072491+0.0012305i,-0.00016994+0.00083706i,-0.00057545+0.00034672i,-0.00017026+0.00029749i
0.0011279-0.0009392i,0.00042482-0.00030274i,0.00030951-0.00055973i,-0.0004869-0.0014751i,-0.00054176-0.0012865i,0.00010945-0.00051133i,0.00016366-0.00024545i,0.00062444-0.0006291i,0.00061631-0.00031436i,-0.00014289-5.9804e-05i,-0.00012475-0.00011757i,-0.00040331-0.00013048i,-0.00019127+7.8701e-05i,-0.00036309-4.8701e-06i,-0.00056001+0.00011743i,0.00019051+0.00057079i,0.00039079+0.00040908i,0.00021798-0.00059096i,0.00029683-0.00098683i,0.00064123-7.7061e-05i,0.0007895+0.00067427i,-2.8791e-05+0.00083448i,-0.00061671+0.00053069i
-0.0014263+0.00044819i,-0.00081292+0.00026266i,-0.00017596-0.00047808i,0.0012668-0.00083011i,0.0012755-0.00031664i,0.00026295-0.00042928i,-0.00037469-0.00089436i,-0.00015017-0.0015954i,0.00040148-0.001064i,0.00026963-0.00047569i,0.00072889-0.00052987i,0.00113-0.00019824i,0.00038046-0.00075647i,-0.00010619-0.0019472i,0.00026427-0.00169i,0.00032537-0.0005771i,6.8966e-05-9.5109e-05i,-0.00049081-0.00055667i,-0.0011421-0.00052395i,-0.00058704-0.00018947i,0.00034114-8.8621e-05i,0.00017738+0.00028482i,0.0003963+4.8717e-06i
0.0018512+0.00097057i,0.00077252+0.00078678i,0.0003771+0.00023032i,-0.00011917-0.00051381i,-0.00029357-0.00094843i,-0.00048189-0.00045768i,-0.00046085+8.7491e-05i,-0.00051205-0.00020392i,-9.5584e-05-0.000341i,-0.0001548-0.00061908i,-1.7292e-05-0.0013123i,-0.00050292-0.00075964i,-0.0010277-5.856e-05i,-0.0008818+0.00056013i,-0.0014588+0.00022768i,-0.0016889-0.00093081i,-0.0010449-0.00053254i,-0.00091581-0.00039595i,-0.00092726-0.00040342i,-0.00063287+0.00026376i,-0.00075559+0.00091108i,-0.00034698+0.00072314i,-0.00011835+5.9664e-05i
0.00043385+0.0012198i,1.7436e-05+0.00052132i,0.00052341+0.0012867i,0.0016388+0.00046498i,0.0018447-0.0012397i,0.001326-0.0016292i,0.0011455-0.0013141i,0.00063623-0.0012097i,0.00053248-0.00019513i,0.00060856+0.0003663i,0.00059527-0.00031292i,0.00013376-0.00065714i,-0.00076162-0.00016179i,-0.00062809+0.00077555i,0.00014687+0.00048001i,0.00026468+0.00016217i,-0.00040672+2.4194e-05i,-0.00070739-8.1355e-05i,-0.00052103+0.00016231i,-0.00043128+0.00067803i,-0.00071669+0.0010024i,-0.00056167+0.00074837i,-0.00018329+4.0718e-05i
-0.00023043-0.0010351i,-0.00047817-0.0002782i,-0.00029932+0.00014687i,-0.00086174-0.00075986i,-0.00049731-0.00086861i,0.00051433+3.0468e-06i,0.00052868+0.00034997i,-5.1809e-05+6.4413e-06i,-0.00010837-0.00029958i,-0.00036975+0.00030098i,-0.00013564+0.00044393i,0.00033682+0.00034772i,-0.00029931+0.00045674i,-0.0005514-3.3745e-05i,2.4926e-05-0.0007554i,0.00068498-0.00020913i,0.00071147+0.0001989i,0.0011391+0.00022146i,0.0012409+0.00030422i,0.00031006-0.0001678i,0.00016769-0.00077296i,0.00044139-0.00059201i,0.00068392-0.0002932i
-0.00036205+0.00087657i,-0.00062677+0.0011847i,-0.00037578+0.00040596i,-0.00036805-1.1839e-05i,-0.00021529+9.6442e-05i,-9.7349e-05-0.00052047i,-0.00029702-0.00086982i,-0.00073722-0.00039996i,-0.00076846-0.00021666i,-0.00040399-0.00046348i,0.00025317-0.00048624i,0.0009396+9.7135e-06i,0.00048509+0.0001654i,8.3061e-05+0.00035325i,-0.00027087+0.00078537i,-0.00026351+1.6509e-05i,-3.4419e-05+0.00010966i,-0.00025383+0.0012042i,-0.00060259+0.00064506i,-0.00019705-0.00026134i,0.00068614-2.6437e-05i,0.00067614-0.00019223i,7.8909e-05-0.0001272i
-0.00081928-0.00048586i,-0.0012553-0.00081694i,-0.0012852-0.0013684i,-0.00064417-0.00064586i,-0.00034009+7.6781e-05i,-0.00056311+0.00033041i,0.00015911+0.00073444i,0.00066829+0.00027735i,0.00040147-0.00031403i,0.00033691-0.00041356i,0.00020131+0.00019891i,0.00011236+0.00075878i,-0.00029214+0.00053211i,-0.00015902+0.00077983i,-0.00019092+0.000597i,-0.0006888+0.0004387i,-0.00088437+0.00097585i,-0.0004326+0.00032046i,6.42e-05-5.0686e-05i,-0.00031209+0.00057041i,-0.00040799-3.1176e-05i,-0.00020814-0.0004909i,-0.00015817-0.00026528i
-0.00025994+2.118e-06i,-0.0010442-0.00014548i,-0.0011753+0.00074946i,-0.00035635+0.0021118i,0.00081247+0.0019992i,0.0018031+0.00057101i,0.0018275-0.00030926i,0.0011917-0.00046614i,0.00053802-0.00040883i,-0.00016823-0.00059432i,-0.00075143-0.0013048i,-0.00097421-0.0011525i,-0.00040946-0.00072195i,4.7093e-05+0.00025398i,0.00029029+0.00096814i,0.00031059+0.0005225i,-0.00062204-0.00016645i,-0.001266-0.00047862i,-0.0011762-0.00037189i,-0.00062866-0.00039356i,3.8225e-05-0.00028414i,0.0002555+0.00027919i,0.00018689-0.00027217i
-0.00028337-0.00024264i,-0.00014527-0.00014022i,-0.00012764+0.0002594i,-0.00041954-0.00033645i,-0.00078522-0.00099775i,-0.00054655-5.5243e-05i,0.00027109+0.00086481i,0.00061977+0.0008385i,0.0010047+0.00065298i,0.00072545+0.00092598i,-0.00037689+0.0011228i,-0.00092283+0.00074437i,-0.00062781+0.00046529i,0.00038456-3.8599e-05i,0.0009619-0.00018061i,0.00070534+0.00022443i,0.00053147+0.00039442i,0.00059325+6.6844e-05i,0.00053864-0.00029411i,0.0002685-0.00016611i,0.00031367+0.00030914i,6.6875e-06-0.00030165i,8.7233e-05-0.00022588i
4.2681e-05+0.00041952i,-0.00047562+0.00042931i,-0.00075138+0.00052564i,-0.00063392+0.00095092i,-0.0001364+0.00079192i,0.00057315+0.00034614i,0.00053262+1.578e-05i,-0.00023155-0.00047107i,-0.00029523-0.00089412i,0.0006355-0.00074542i,0.00047016-0.00045864i,-0.00071728-0.00022228i,-0.00064177-0.0004698i,-4.1243e-05-0.00097563i,0.0001402-0.00060025i,0.00026162-0.0003748i,-9.472e-05-6.9246e-05i,0.00034721+0.0005884i,0.00046482+0.0005812i,-0.00041557+1.2148e-05i,-0.00026834-0.0002633i,0.00051941-1.3874e-05i,0.00097309+0.00018484i
-0.00060193-0.0022547i,-0.00083565-0.001073i,-0.0014812+9.6846e-05i,-0.0018326+0.00054681i,-0.00141+0.0005458i,-0.00073263+0.00018258i,-0.00037365-2.7082e-05i,-0.00044182+0.00018123i,-0.00020583+0.00028913i,-0.00043539+0.00015994i,-0.00050732-0.00018792i,-8.7825e-05-0.00011814i,7.7788e-05+0.00041502i,5.0366e-05+0.00094896i,-3.9178e-05+0.00072265i,0.00030937+0.00033655i,0.00040987+0.00021782i,-8.5112e-05+0.00026862i,-0.00063832+0.00026961i,-0.0006333+0.00026439i,-0.00020198+4.4027e-05i,-0.00049036-0.00017278i,-0.00097513-0.00010045i
0.00038128+0.0019775i,8.4863e-05+0.00096937i,8.4946e-05+0.00021492i,0.00085841-0.00052428i,0.0010109-0.0010793i,0.00077286-0.0013631i,0.00089616-0.00050669i,0.00086204+0.00078678i,0.00064459+0.00055115i,0.00038579-0.00023753i,0.00061664-0.00026141i,0.00037528-0.00074907i,-0.00021955-0.00059608i,-0.00051823-0.0003724i,-0.00043289-0.00043655i,-0.00038499+0.00026313i,-0.00050742+0.00021499i,-0.00074411-0.00039392i,-0.0010886-0.00043895i,-0.00094658-0.00024874i,0.00023114+0.00014897i,0.0008926-0.00026731i,-0.00018709-0.00080999i
-0.00019957-0.0001094i,-0.00027234+0.00095219i,-0.00046497+0.0009641i,-0.00021706+0.00079743i,0.00053315+0.00028572i,0.0014655+3.0098e-05i,0.0016171+0.00016276i,0.00095256-0.00040271i,0.00028561-0.00040904i,-0.00011374+0.00025203i,0.00037326+0.00018423i,0.0013841-0.00051331i,0.00090329-0.00061453i,-8.6798e-05-0.00011254i,-0.00023101-4.3416e-05i,7.1874e-05+0.00010764i,0.00042483+6.3189e-05i,0.0004025+0.00050121i,5.481e-05+0.0010479i,0.00032951+0.00049441i,0.00050279+0.0005671i,0.00024956+0.00045801i,0.00037628+0.00012241i
-0.0020926+0.0010439i,-0.0016229+0.00029132i,-0.00061753-0.00064967i,-0.00047308-0.00076118i,-0.00058912-0.00048024i,-4.8659e-05-0.00077556i,0.00034643-0.001026i,-3.8791e-05-0.00050176i,-0.00024646-0.00069598i,-0.0002579-0.001181i,-0.00068891-0.00096642i,-0.0005277-0.00073464i,-0.00013661-0.00034211i,-0.00060958-0.00016777i,0.00024824-0.00010645i,0.00078341+0.00071915i,2.6799e-05+0.0010651i,-0.00039906+0.00023731i,0.00010815-0.00026956i,0.00035743+0.00010257i,0.00021328+0.00013786i,-4.2025e-05-0.00028169i,-0.00010144-0.00019647i
0.00084755-0.00035488i,-0.00055637-0.00055057i,-0.0017862-0.00071099i,-0.0026547-0.00012683i,-0.0022561+0.0006408i,-0.0016784+0.00060749i,-0.000293+0.00057785i,0.00066485+0.00057751i,1.7002e-05-5.393e-05i,-0.0007837-0.00046375i,-0.00058805-0.00025456i,-0.00016475+0.00028494i,0.00041864+0.00039251i,0.00048476-0.00019092i,-0.00030551+0.00037639i,-0.00027161+0.00082812i,0.00023036+0.00011358i,0.00022599-0.00013845i,-0.00012948+3.6262e-05i,-0.0001928-3.7716e-05i,-0.00015092+0.00032655i,0.00027038+0.00040222i,0.00049811+0.00014755i
5.8344e-05-0.0021442i,-0.00012176-0.00083685i,-0.00061249+2.1321e-05i,-0.0007125+0.00012675i,-5.3558e-05-0.00039711i,0.00024799-0.00089617i,0.00088439-0.00071107i,0.0012472-0.00083377i,0.00060825-0.00077455i,-0.00019635-0.00084875i,-0.00051748-0.00055159i,-8.9516e-05+0.00036602i,0.00014281+0.00077694i,-0.00012391+0.00094596i,-0.00022689+0.00086024i,0.00016087+0.00039545i,0.00075797+0.00028379i,0.00029415+0.00059648i,-0.00050452+0.00090183i,-0.0005572+0.00033112i,0.00012252-0.00028634i,0.00072676-0.00011706i,0.00039903-0.00033189i
-0.0003344+7.6225e-06i,-0.00035999+0.00031005i,-0.0011253-0.00053233i,-0.00056402-0.00047994i,-7.5507e-05+0.00037396i,-0.00011831+0.00012999i,0.00085389-1.3599e-05i,0.0014084+0.00085132i,0.00099169+0.0010566i,0.00094701+0.00060359i,0.00052682+8.1123e-05i,6.661e-05-0.00011984i,4.196e-05-0.00067587i,-0.00038814-0.0011097i,-0.00039835-0.00012924i,0.00015638+0.00038592i,0.00032276+0.00054014i,0.00052482+0.00060561i,0.00044619+0.00023593i,6.5418e-05+0.00015627i,-0.00026325-0.00026097i,-0.00013996-0.00034974i,-0.00031237-0.00026329i
-0.0012779+0.0011817i,-0.0011026+0.00086706i,0.0002116+0.0016994i,0.0012248+0.001224i,0.00065074-0.00020865i,0.00029069-0.00045329i,0.00061573-0.00047605i,0.0012423-0.00064028i,0.0014853-0.00056227i,0.00085637+0.00019409i,0.00027009+0.00037576i,0.00060925+0.00020305i,0.00036218+5.5652e-06i,-0.0008906-0.0002713i,-0.00031631+8.6168e-05i,0.00017394+0.00020702i,5.033e-05+0.00075892i,0.00041145+0.00079988i,0.00050718+0.00045939i,0.0002458+0.00063066i,5.5505e-05+0.00066978i,-9.9791e-05+0.00019509i,-0.00039803-0.00015874i
