0.0018975+0.0014575i,0.002446-0.00011364i,0.0022448-0.00083502i,-0.00010163-4.2124e-06i,-0.0023413+0.00024634i,-0.0026487+0.00051019i,-0.00079227+0.0017534i,0.00088258+0.002082i,0.0016285+0.00050215i,0.0015577-0.00085924i,0.00096487-0.00069389i,2.0119e-05-0.00034926i,-0.00071514-9.3321e-05i,-0.00045408+0.00059201i,-0.00071132+0.00070349i,-0.0014899+0.00026821i,-0.0011112-0.00072366i,-0.00058256-0.0010497i,-0.0002864-0.00077245i,0.00032262-0.0001684i,0.00022437+0.00040257i,-8.4877e-05+0.00057634i,-0.00014013+0.00072644i
-0.001344+0.0012956i,-0.0021363+0.0012961i,-0.0010565+0.0026919i,0.00015522+0.002643i,0.00096121+0.0013391i,0.0016379+0.00079379i,0.0006919+0.00099233i,-8.9841e-05+0.00074228i,0.0010668+0.00047728i,0.0010899+0.00014599i,-0.00011001-0.00073504i,-0.00039166-0.001209i,0.00017275-0.0013936i,0.00032236-0.00088186i,-7.0069e-05+0.00017568i,-0.00078175-0.00010732i,-0.00096041-0.00075615i,-0.0011404-0.00080597i,-0.0013952-0.00048639i,-0.00093709+0.00041922i,0.00053096+0.00056558i,0.0010747+0.00050875i,9.6605e-05+0.00030291i
-0.00038816-0.00012446i,-4.1638e-05+0.00084366i,0.00042843+0.00077354i,3.5032e-05+0.0010613i,-0.00047017+0.00096203i,0.00015829+0.0011752i,0.00029289+0.0012749i,0.00041806+0.00086412i,0.00012803+9.8372e-05i,-0.00028314-0.0002692i,-0.00028399+0.00035707i,0.00030359-8.244e-05i,0.00090455+0.00016429i,0.00039865+0.00067206i,-0.00026393-0.00022607i,-0.00018367-0.00065366i,4.1643e-05+0.00049938i,5.2281e-06+0.00085714i,-0.00020119+0.00054447i,-0.00075231+0.00039798i,-0.00010017+5.4561e-05i,0.00090026+0.00029377i,0.00038907+0.00033916i
-0.00050026+0.00083357i,-0.0013453+0.00074901i,-0.00067732+0.0014079i,-0.00056971+0.0020554i,-0.00058772+0.0015916i,-8.3946e-05+0.0013707i,9.9491e-05+0.0010349i,-0.00036585+0.00037768i,-0.00066637+0.00012215i,-8.0784e-05+0.00018115i,-0.00022955+0.00037447i,-0.00018653-0.00033213i,0.00018268-0.00076977i,0.00038504-0.00013411i,0.00091901+2.1384e-05i,0.00034092-0.00037773i,-0.00028767-0.00056122i,-0.00040295-0.00013631i,-8.8642e-05+0.00020493i,-3.0307e-05+0.00012968i,-8.4897e-05+9.417e-05i,0.00043342-6.7454e-05i,0.0005826-4.4944e-05i
-0.00063634+0.00065478i,-0.0017117+0.00081804i,-0.0016413+0.00080974i,-0.00015931+0.00082242i,0.00037476+0.0013679i,0.00046224+0.0021674i,0.00031017+0.0014114i,0.00025668-7.9516e-05i,-0.00017027-7.7751e-05i,-0.00067541+0.00023498i,9.8767e-05-0.0001443i,0.00057481-0.00032209i,0.00026235-0.0004167i,0.00024601-0.0010643i,0.00016858-0.0012568i,0.00026278-0.0012501i,9.6245e-05-0.0012226i,-0.00014309-0.00074769i,-6.619e-05-1.8656e-05i,5.8908e-06+0.00057187i,0.00026146+0.00081588i,-0.00019446+0.00057297i,-0.00067832-0.00012645i
-0.00092041+0.001461i,-0.00069654+0.00048163i,-0.00016535+0.00050077i,1.2176e-05+0.0013383i,-1.7058e-05+0.0014201i,0.00036254+0.00082558i,0.00041341+0.0004573i,-0.00010366+0.00014932i,-0.00027127-0.00015575i,-0.00023089-0.00013409i,-0.00035976+4.7698e-05i,-0.00047753-0.00013853i,0.00015665-0.00061834i,0.00086559-0.00040967i,0.00024159-0.00018732i,-0.001039-0.00066594i,-0.0013254-0.00075803i,-0.00039589+3.9455e-05i,0.00023877+0.00015022i,-0.00034314+9.2216e-05i,-0.00073088+0.0006461i,-0.00037358+0.00096958i,-0.00051539+0.00077991i
0.00027594+0.00050632i,-0.00012875+0.00018326i,-0.0010759+0.00077774i,-0.00085832+0.0010658i,-2.7867e-05+0.00064357i,0.00064314+0.00097234i,0.00048986+0.00094529i,-0.00022554+0.00072173i,-0.00093537+0.00072383i,-0.00090439+0.00080064i,-0.00026626+0.00042775i,-0.00052397+0.00077646i,-0.00042319+0.00058573i,0.00027272+0.0002397i,0.00021383+0.00018978i,-6.0458e-05+0.00011009i,0.00031709-0.00039992i,0.00010865-0.0012068i,1.251e-05-0.00047736i,0.00013119-4.7311e-05i,0.0006836-0.00010915i,0.00098606+0.00030535i,0.00063235+0.00012123i
-0.00061548+0.0016102i,-0.0012851+0.00029119i,-0.00112+0.0012822i,-0.00033201+0.0017566i,0.00018395+0.0011174i,0.00037747+0.00061005i,0.00044072+0.0008114i,0.00060342+0.00091439i,0.00061982+0.00078617i,0.00033149+0.00085084i,-0.00039858+0.00027655i,-0.00067177-0.00066732i,-0.00091988-0.00060258i,-0.00067998+1.1111e-05i,9.9579e-05-0.00024802i,-9.0043e-05-0.00039513i,-0.00067772+0.00021302i,-0.0014699+0.00040703i,-0.0011961-0.00022753i,-0.00044099-0.0004264i,-0.0002226-6.2021e-05i,0.00015428+0.00015015i,0.00036642+0.00020371i
0.00052076-2.5297e-05i,-0.00073673+0.00093696i,-0.00075274+0.0010131i,-0.0010694+0.000347i,-0.0022033+0.00054727i,-0.0021671+0.0013309i,-0.00082123+0.0013508i,0.00039075+0.00080912i,0.0007713+0.00038624i,0.00086059+0.00018807i,0.00074067-0.0001336i,0.00027655-0.0005292i,0.00024673-0.00041692i,0.00014869-0.000272i,-0.00017966-0.00072933i,-0.00035487-0.0010924i,-0.00019815-0.00025267i,-0.00031523+0.00063794i,-0.00043166+0.00069698i,0.00016381+0.00036266i,-0.00016225-0.00027529i,1.9727e-05-0.00064571i,0.00064036-5.7539e-05i
-0.00025035-0.0001148i,-0.00091158+0.0010459i,-0.0011503+0.002356i,0.00014285+0.0019229i,0.00045616+0.00085197i,-0.00058902+0.0010491i,-0.00074806+0.0011691i,-0.00081262+0.0011508i,-0.00058714+0.00084433i,-0.00026362+0.00025917i,0.00017854-0.00014624i,0.0002484+0.00018714i,0.00026855+0.00037565i,0.00017814-0.00018678i,4.0012e-05-0.00059515i,-0.00015334-0.00087634i,-0.00075094-0.00098654i,-0.00043039-0.00071471i,9.7449e-05-8.0486e-05i,0.00034505+0.00039553i,3.3563e-05+0.00051947i,-0.0006886+0.00044841i,-0.00065361+0.00020061i
0.000642-9.1156e-05i,0.0002346-0.00012883i,0.00050146-0.00021165i,0.00025823+0.00035766i,8.1022e-05+0.0011711i,-0.00020086+0.0013165i,8.4487e-05+0.0010465i,0.00047926+0.00077265i,0.00062916+0.00038162i,0.0010794+0.00015647i,0.00097291-0.00042988i,0.00049644-0.00076018i,0.00042488-0.00024046i,-0.00022891+0.00028673i,-0.00070688+0.00064256i,-0.00017716+0.00060728i,-0.00011556-0.00028563i,-0.00040293-0.00093434i,-0.00079166-0.00053057i,-0.0004405-0.00057268i,0.00014712-0.00052476i,0.00017601+0.0004374i,-1.4463e-05+0.00106i
