0.0043953-0.00049247i,0.0050561-0.0013943i,0.0037516-0.0034515i,0.00011254-0.0027868i,-0.002862-0.00043137i,-0.0032422+0.0014066i,-0.0014119+0.0015957i,-0.00048368+0.0011214i,-0.00018897+8.9799e-05i,-8.6245e-05-0.0011646i,9.239e-05-0.0014636i,4.94e-05-0.00041778i,0.00026907+0.00058977i,0.00063683+0.0012176i,-0.00019635+0.0011418i,-0.00069117+0.000853i,-0.00065273+0.00052065i,0.00057075-0.00062603i,0.0012802-0.00048231i,0.00072736+0.00058868i,0.00039621+0.0012087i,0.00034343+0.00092767i,0.00082222+0.00055107i
-0.00090491-0.00042469i,-1.5763e-05-0.00076i,0.00031149-0.00065326i,0.00088265-0.00034241i,0.00092079-4.2902e-05i,0.00085264-9.1126e-05i,0.00086278-0.00056661i,4.6241e-05-0.00079977i,-0.00048051-0.00097315i,-0.00019768-0.00072508i,-0.00021824-0.00014431i,-6.5504e-05+0.0002512i,0.00078151+0.00042369i,0.0006165+0.00055278i,0.00013089+0.00038633i,0.00018409-7.9078e-06i,0.00029351-0.00040788i,0.00032958-0.00032921i,0.00010563-2.4789e-05i,-0.00016191+7.3297e-05i,-0.00031138-1.2137e-05i,-2.1003e-05-4.766e-05i,-0.00032066-0.00014599i
-0.00014149+0.00075076i,0.0004381+0.00072566i,0.00044938+0.00096912i,9.9044e-05+0.00045382i,0.00038009+1.5476e-05i,0.0004824+0.00021754i,-8.503e-05-4.7357e-05i,-0.00029239-0.00017656i,0.0004448-0.00025976i,0.00096223+0.00039326i,0.00067013+0.00086006i,0.00029301+0.00059447i,-0.0002552+0.00042671i,-0.00034301+0.0001634i,1.2415e-05-7.8734e-05i,0.00032717-0.00013243i,-0.00035622-9.5917e-05i,-0.00065919-8.891e-05i,8.9339e-05-0.00063058i,-0.00026692-0.00082928i,-0.00098899-0.00068088i,-0.00093133-0.0002858i,-0.0010042+0.00051761i
0.00025372+0.0014515i,-0.00026074+0.00092424i,-5.3681e-06+0.0015393i,0.0009254+0.0012183i,0.00034475+0.00025594i,-3.0358e-05-0.00028283i,0.00059444-0.00057418i,0.00068948-0.0004766i,0.00059087-0.00065665i,0.0012531-0.00081464i,0.0013843-0.00098031i,0.00092557-0.00085588i,0.00039505-0.00095355i,-2.6874e-05-0.0008405i,-4.6094e-05+5.8043e-05i,-3.8926e-05+0.00076204i,-0.00030304+0.00070086i,-0.00066322+0.00011754i,-0.00063184-0.00045714i,0.00019156+0.00029928i,0.00052041+0.00061478i,0.00034902-0.00029149i,0.00053458-0.0002262i
0.0013558+0.0014118i,0.0014675+0.0009947i,0.0026071+0.00040942i,0.002247-0.0006377i,0.0014544-0.0012793i,0.00053169-0.00072509i,-0.00072547-0.00044569i,-8.9585e-05-0.00073421i,0.00086888+0.00013073i,-0.0003221+0.00040588i,-0.00098809-0.00056368i,-0.00075975-0.0008277i,-0.00027944-7.6318e-05i,-0.0001659+0.0001288i,-0.00034087+0.00032198i,-0.00016373+0.00065604i,0.00035212+0.00040607i,0.00012833-7.7418e-05i,-0.00059594-0.00041167i,-0.00035444-0.00022256i,-0.00086455-0.0004648i,-0.0012755-0.0007679i,-0.00019774-0.00012584i
-0.00046364-0.0012035i,-0.00059697-0.0011318i,-0.0007039-0.0010284i,-0.00085053-0.00031799i,0.00019899+0.00049287i,0.00012909-8.2698e-05i,7.798e-06-0.00086655i,0.00046507-0.0006465i,-0.00040188-0.00054884i,-0.0010074+0.00044716i,-0.00063632+0.0013145i,7.6538e-05+0.00052897i,0.0006627-0.00030288i,0.00042298-0.00021068i,-0.00028976+0.00019291i,-0.00081508+0.00044843i,-9.7813e-05+0.00030477i,0.00017031+0.00038214i,-0.00037825+0.00051987i,-0.00033571+0.00018887i,-0.0002089-8.4082e-05i,0.00026002-0.00025197i,0.0011184-0.00014309i
-0.0015045-2.7573e-05i,-0.00079481+0.00035985i,-0.00057147+0.00063206i,6.9339e-05+0.00033114i,0.001361-0.0002174i,0.0017971+0.00021798i,0.0013203+3.7504e-06i,0.00040323-0.00063982i,-0.00034076-0.00048927i,-8.7816e-05-0.00021574i,0.0002612-5.3464e-05i,0.0004904-0.00025628i,0.00026335-0.0008763i,-2.2911e-06-0.00058009i,-0.00021955+1.7698e-05i,-0.00039437-0.00018396i,-0.00065506-0.00021911i,-0.00016037-0.00046938i,0.00078066-0.00042672i,0.00011668+0.00025552i,-0.00013002+0.00060411i,3.0075e-05+0.00025608i,0.00011151-0.00026741i
0.00081037+0.00082535i,0.00040788+0.0002975i,0.00029414+0.0004056i,-0.00029317+0.00017733i,-0.00020043-0.00020328i,0.00095729-0.00056772i,0.001517-0.00057857i,0.0013556+9.5697e-06i,0.0011224+0.00052036i,0.000486+0.00057382i,0.00043906+0.00024403i,0.0011668+0.00023255i,0.00093369+0.0010202i,-0.00021425+0.0012559i,-0.00018372+0.00024958i,0.00081742-2.8861e-05i,0.0013212+9.9852e-05i,0.0010603-0.00051054i,0.00040901-0.00044065i,1.5762e-05-0.00043634i,-0.00048092-0.00034439i,-0.00056009-0.0002043i,-0.00054663+0.00010888i
0.0010007+0.00032069i,0.0005022-0.00012578i,0.0010377+0.00028252i,0.0023705+0.00067917i,0.002668+0.00079649i,0.0016877+0.0011776i,0.0011185+0.00063225i,0.00042049-6.8673e-06i,-0.0006538-0.00027858i,-0.00075873-0.00024459i,-0.00049553-6.2001e-05i,-0.00069699+0.00051998i,-0.00085699+0.00020969i,-0.0006123-0.00063602i,-0.00030637-0.00060881i,-0.00048822-0.00054019i,-0.00059822+0.00013251i,-0.00012586+0.0010278i,-0.00020709+0.0010499i,0.00026867+0.00021277i,0.0008517-0.00015069i,0.00026997-4.4024e-05i,-0.00039683-0.00068747i
0.0019205-0.00015233i,0.0025939+0.00066307i,0.0023384-8.3159e-05i,0.0012897-0.0016522i,0.00048577-0.0018236i,0.00070823-0.00086953i,0.0010048-0.000767i,0.00079139-0.0012885i,0.00031415-0.00061506i,0.00011588+0.00046191i,1.4697e-05+0.00063727i,-0.00024773-6.5693e-05i,-0.00023421-0.0002794i,0.0001226-0.00012297i,-0.00025324-0.00035492i,-0.00049639-0.00043287i,-0.00057488-0.00019309i,-0.00027434-0.00045441i,4.1295e-05-0.00015263i,-9.1286e-05+0.00058591i,0.00011389+0.00023092i,0.0001744-0.00014781i,-0.00045959-0.00039783i
0.0018548-0.0023128i,0.00025575-0.0021417i,-0.001085-0.0019939i,-0.00068957-0.0015797i,-0.0012286-0.0011299i,-0.0019081-2.5562e-05i,-0.0013136+0.00084807i,-0.0012498+0.00036878i,-0.0013687-0.0001024i,-0.0007592-0.00046381i,-6.945e-05-0.0010331i,0.00050778-0.00096078i,0.00036839-0.0001862i,7.4059e-05-3.4767e-05i,0.00018735+0.00018318i,0.00018789+9.2131e-05i,9.745e-05+9.8236e-05i,-0.00014977+9.0365e-05i,3.6184e-05+0.00021116i,2.5234e-05+0.00035622i,0.00022107+5.1403e-05i,0.00056341+0.00030577i,0.00060745+0.00030298i
-0.00074022-0.0012546i,0.00019387-0.0023327i,-4.2338e-05-0.0021366i,-5.1235e-05-0.00086007i,8.3138e-05+0.00045406i,0.00045735+0.0010941i,0.00052299-5.8462e-05i,0.00064021-0.0014634i,0.00047609-0.0013007i,-0.00023581+0.00011151i,-0.00035503+0.00067444i,3.3888e-05+0.00038103i,0.00027909+0.00077426i,0.00032932+0.00062967i,0.00024384+2.6923e-05i,0.00015376-0.00018965i,-0.00071077+0.00065088i,-0.0010375+0.0011983i,-0.00018586+0.0010268i,0.00022823+0.00036467i,-0.00037052-0.00011957i,-0.00096594-0.00015411i,-0.00014275-9.2923e-05i
0.00022064+0.0018381i,0.0013943+0.0025971i,0.0022463+0.0018219i,0.0023214+0.00096462i,0.0017906+0.00039475i,0.002025-0.0005091i,0.00064106-0.0010936i,-0.00075868-5.2632e-05i,-0.00015323+0.00074285i,0.00045093+0.00019929i,-0.00012694-0.00049784i,-0.00080652-0.00048447i,-0.00062163-0.00017925i,-0.00050914-4.3812e-05i,-0.00040461-0.00036185i,-0.00026271-0.0004232i,-8.4424e-05+0.00053239i,0.00080017+0.00044965i,0.0011036+1.7309e-05i,0.0004808+0.00050289i,-0.0002551+0.0007943i,-0.0010528+0.00052264i,-0.00025136+0.00039261i
0.00018985+0.0028544i,0.00087997+0.0013928i,0.0020561+0.00049568i,0.0023512-0.00011847i,0.0017329-0.00033846i,0.0010755-7.0436e-05i,0.0010735-0.00024807i,0.00012174-0.0008453i,-0.00025367-0.00069281i,0.0006189-0.00033007i,0.00030023-0.00051578i,-0.00016784-0.00047535i,-0.00035998-0.0001373i,-0.00079606-5.5444e-05i,-0.00049909-0.00047315i,0.00028086-2.7602e-05i,0.00081493+0.00061843i,0.0002937+0.00066291i,0.00014183+0.00026377i,0.00049255-0.00075495i,0.00021057-0.00090394i,-0.00032668-0.00047977i,-0.00025224+0.00012791i
0.00098044-0.0018046i,0.001405-0.00044567i,0.0011855+0.0004826i,0.00035898+0.00017751i,9.5244e-05+0.00035318i,0.00030999+0.00084004i,0.0013515+0.00040335i,0.0010704-0.00047425i,-8.3063e-05-0.00045442i,-0.00092644-0.00032387i,-0.00091007-0.00062925i,-0.00010774-0.0010612i,0.00051335-0.0007075i,5.4244e-05-0.00039031i,-0.00067471-0.00012962i,-0.00079165-0.00019278i,-0.00019422-0.0011836i,0.00031628-0.0010509i,0.00019703-0.00043749i,0.00055316-0.00044059i,0.00071542+0.00034729i,0.0001797+0.00072346i,0.0002808-7.5717e-05i
0.00036566+0.0020114i,0.0013079+0.0022811i,0.0025078+0.0023173i,0.0026809+0.00063858i,0.0020095-0.00041707i,0.0017269-0.00057597i,0.0013401-0.00098331i,0.00054806-0.00061569i,0.00038545+0.00015263i,0.00069654+8.8827e-06i,0.00037475-0.0007425i,7.024e-05-0.00070876i,0.00012429-9.5338e-05i,-0.00019265+0.0002189i,-0.00058454+0.00030886i,-0.00032297-0.000199i,3.9822e-05-0.0013159i,0.00054641-0.0010859i,0.00017829-2.1419e-05i,-0.00025423-4.3958e-06i,-6.2776e-05-0.0005096i,-0.00020892-0.00053792i,0.00031227-0.00038512i
-0.00071997-0.0011871i,-0.0011662-0.00056217i,-0.0010746+0.00010288i,-0.00097879+0.00072125i,0.00010862+0.0017395i,0.0010255+0.0014868i,0.00016721+0.00014468i,-2.5053e-05-0.00089619i,0.00056207-0.0010301i,0.00026672-0.00044223i,0.00028981-0.00022721i,0.00082953-0.00062217i,0.0006592-0.0005622i,4.4888e-05+0.00029507i,0.00017702+0.00094309i,0.00020024+0.00049248i,0.00014476+0.00049303i,0.0004218+0.00082483i,1.4096e-05+0.00043671i,-0.00066171-0.00044154i,-0.00089663-0.00051908i,-0.00045211+5.1959e-05i,0.00050522-0.00018616i
0.00091052+0.00065536i,0.0013502+0.0003332i,0.0018985-0.00060165i,0.0016956-0.0008659i,0.0016745-0.00048389i,0.0020004+2.7718e-05i,0.00096217-0.0001911i,-0.00055993-0.00097146i,-0.00044588-0.00068481i,-7.3456e-05-0.00047903i,-0.00041638+2.5631e-05i,-0.00034375+0.00053598i,-3.332e-05+0.00045062i,-9.593e-05-6.0192e-05i,0.00041747-0.00024921i,0.00065966-0.0001706i,4.0094e-05+4.5297e-05i,0.00022855+0.00019584i,8.8727e-05-0.000102i,-0.00078496+0.00058072i,-0.0010012+0.00047822i,-0.00095449+0.00012175i,-0.0010658-0.0001103i
-0.00041973-0.0020263i,-0.0003365-0.0020566i,-0.00030242-0.0017127i,-0.00042072-7.7497e-05i,-0.00023655+0.00089668i,0.00077048+0.00099191i,0.0013+0.00081762i,0.0011931+0.00023353i,0.0012442-0.00036317i,0.00064987-0.00052502i,0.00027036-2.6648e-05i,0.00037937+0.00092204i,0.00029797+0.00065383i,-2.85e-05+0.0002854i,0.00034326+0.0006115i,0.00090034+0.0010378i,0.00098262+0.00079454i,0.00050307+0.00010274i,1.5955e-05-0.00038464i,-0.00017885-0.00067188i,0.00025335-0.00058362i,0.00037869-0.00016991i,-0.00013736+0.00024925i
0.0013011-0.00058082i,0.0012003-0.0011241i,0.0016087-0.0014407i,0.0017563-0.0016524i,0.0012458-0.0015035i,0.00099194-0.0012878i,0.001161-0.0011465i,0.00033832-0.00067871i,-0.00079274-0.00046292i,-0.00059499-0.00028796i,-0.00012395+0.00016892i,5.3792e-05+5.7053e-05i,-3.7137e-06+9.9796e-05i,-0.00023769-0.0003677i,0.00018308-0.00055344i,0.00077142-0.00060627i,0.00065945-0.00098073i,-8.0141e-05-0.0007644i,-0.00025913-0.00079946i,0.00082462-0.00010605i,0.00091228+0.00048599i,-8.4277e-05+0.00023109i,-0.0010122-0.00011343i
4.1025e-06+0.0002323i,-0.00069302-5.7461e-05i,-0.0009602-0.00050235i,-0.0011509-0.00044459i,-0.00058678+0.0009432i,-0.00010837+0.0015636i,-3.9919e-05+0.00067591i,0.00058062-5.9844e-05i,0.00060688-0.00041982i,-0.00027141-0.00060335i,-0.00083565-0.00028088i,-0.00078759-0.00052562i,-0.00024408-0.0009991i,-0.00013229-0.00078827i,-0.00031032-0.0006143i,-0.00020972-0.00040823i,-0.0005138+0.00019107i,-0.00060926-0.00016118i,0.00025381-0.00085304i,0.00062404-0.00087446i,0.00045931-0.00015097i,0.0008576+0.00047059i,0.0006063-0.00034369i
0.0010513+0.00043369i,0.0020652-0.00080833i,0.003596-0.0018293i,0.0031926-0.0025964i,0.0013919-0.0022219i,0.00054926-0.00087088i,0.00074598-5.7098e-05i,0.00046615-0.00038764i,0.00042207-0.00067775i,0.00021276-0.0006415i,0.00031412-0.00076813i,0.00030201-0.0006111i,-0.0011653-4.9835e-05i,-0.0013123+0.00045158i,-0.00018316+0.00081649i,-0.00061709+0.00025183i,-0.00076034-0.00032967i,0.00019704-0.000166i,0.00060175+0.00014078i,0.00064293+0.00039522i,0.00034731+0.00032095i,-0.0002213+3.9538e-05i,-0.00016561-3.3689e-05i
0.0012768-2.1159e-05i,0.0016228-0.00018074i,0.0013726-0.0003819i,0.00074655+0.00072053i,0.00039385+0.0014073i,0.00054018+0.0010839i,0.00023442+0.00035354i,-0.00019553-0.00059748i,-0.00015912-0.0010526i,-0.000583-0.0008812i,-0.000797-0.00063698i,-0.00026234-0.00030561i,-4.3611e-05-0.0005135i,-9.1048e-06-0.0006347i,-5.3671e-05-0.00049927i,-6.8722e-07-0.00041138i,0.00026421-0.00034769i,8.3172e-05-0.00028472i,-0.00025088-0.0005714i,0.00032824-0.00078904i,0.00044142-0.0005551i,0.00069145-0.00046141i,0.001102-0.00011952i
-0.0010587-0.00070305i,-0.0010044-0.00022149i,3.2067e-05-0.0003992i,0.0014066+0.00026936i,0.0021274+0.00019125i,0.0022476-0.00048703i,0.0015806-0.00019271i,0.00070411-8.8358e-05i,0.00021612+0.00039932i,-5.3624e-05+0.00068048i,0.00019942-3.1468e-05i,0.00058404-0.00018558i,0.00022583-0.00010187i,0.00066508-0.0004182i,0.00095459-0.00035718i,-0.00020956-0.00011123i,-0.0007813-0.00023304i,-0.00066943-0.00010503i,-0.00038191+5.6144e-05i,-0.00060896-0.00021134i,-0.00057849-0.00045183i,-0.00014764+6.2077e-06i,-0.00042347+0.00046593i
-0.00022813-0.0010899i,-0.00015284-0.0012023i,-0.00024635-0.001334i,0.00012358-0.001894i,0.00035424-0.0014273i,0.00077933-0.00017913i,0.0010462+0.00050075i,0.00043813-0.00028893i,-0.00040681-0.00066319i,-0.00020374-8.7477e-05i,0.0002835-0.00030718i,0.00043823-0.0008882i,0.00045479-0.00047842i,-0.00024494-6.1074e-05i,-0.00097789+0.00031691i,-0.00072027+0.0012602i,-3.0359e-05+0.0011659i,-0.0004213+0.00073493i,-0.00057793+0.00037198i,6.7306e-05+0.00060511i,0.00060754+0.00089534i,0.00096817+0.00066382i,0.00093353+0.00046519i
0.0008497+0.0029456i,0.0017924+0.0034989i,0.0025161+0.0030673i,0.0012886+0.0016627i,-0.00024133+0.00057088i,-0.00034227-9.6704e-05i,8.3482e-05+0.0002156i,4.5832e-05+0.00085568i,-0.0011373+0.00084415i,-0.0017855+0.00032704i,-0.00063552+0.00037656i,1.1299e-06+4.4249e-06i,-0.00060311+0.00011561i,-0.00075859+0.00039648i,-0.00045408+0.00038478i,-0.00026724+4.2691e-05i,9.9083e-05-0.00059147i,0.00016089-0.00035009i,0.00051848-0.00012148i,0.001013+6.5874e-05i,0.00061551+0.00015995i,0.00025557-0.00011724i,9.4167e-05+1.2349e-05i
-0.0014098-0.00042937i,-0.00071581-7.2676e-05i,-0.00071315+0.00024598i,-0.00089599+0.00056401i,4.4121e-05+0.00038705i,0.00087+0.00046654i,0.0015909+0.00023569i,0.0018252-0.00054728i,0.00071792-0.00038569i,-0.00053492-0.00040927i,-0.00031926-0.00079563i,-7.3122e-05-0.0010123i,-0.00033735-0.00071597i,-0.00054264-0.00023192i,6.351e-06-0.00026827i,0.00034737-0.00027934i,-0.00062501+9.4589e-05i,-0.0013014-0.00050728i,-0.00029391-0.0012928i,0.00032594-0.00062958i,9.805e-05+0.00041474i,-8.7532e-05+0.0002196i,-4.7757e-05+0.00029646i
0.0017645+0.00018587i,0.0025225-0.00065003i,0.0028572-0.0014666i,0.0018389-0.0018902i,0.0010579-0.0012001i,0.0013009+7.2945e-05i,0.00075146+0.00025009i,0.00044406+0.00039364i,0.00070396+0.0007327i,0.00039588+0.0003314i,-0.00032707-7.292e-05i,-0.00060093+0.00030527i,-0.0007391+0.00080587i,-0.00026924-0.00028628i,0.00013195-0.00083219i,-0.00038322-0.00046184i,-0.00057835+0.0002669i,-0.00046483+0.00092858i,0.00020002+0.00067475i,0.00064219+0.0001006i,0.00026615-0.00056477i,-5.6079e-05-4.7256e-05i,-0.0010099+0.00036402i
0.0011549-0.0016728i,0.00059721-0.0015318i,-0.00048296-0.0016719i,-0.0017542-0.0017533i,-0.0015716-0.0011178i,0.00028886-0.0002846i,0.00048803-0.00047711i,-0.00040226-0.00083154i,0.00023759-0.0012967i,0.00067791-0.00074989i,0.00077303-0.00041617i,0.00089286-0.00042657i,0.0011305+0.00019384i,0.00091622+0.00098938i,0.00018864+0.0011038i,-0.00024015+0.0009685i,-0.00095649+0.0004587i,-0.00047634-0.00030883i,0.00016496+3.5646e-05i,-0.0001294+0.00034953i,0.0001302+0.00041298i,0.00042742+0.0007077i,-0.00018349+0.00040181i
0.00020362-0.0015871i,-0.00059725-0.0013408i,-0.00052224-0.0013403i,-3.5267e-05-0.00067452i,-0.00097458+0.0011901i,-0.001409+0.0018308i,-0.00070819+0.00082166i,-0.00052345-0.0004286i,-0.0012543-0.0015262i,-0.00089691-0.0013834i,-0.00039536-0.00032965i,-0.00034307-5.4061e-05i,-0.00053202+0.00035828i,-0.00029997+0.00077153i,-0.00017525+6.5426e-05i,3.1941e-05-0.00022764i,0.00055356+0.00057706i,0.00035695+0.00059999i,0.0001894+0.00010808i,0.00046019-0.00018391i,0.00050821-0.00088212i,5.6766e-06-0.00080151i,-0.00029738+0.00030694i
0.0012167+0.0009431i,0.0019085+0.0012195i,0.0013274+0.0011539i,0.0011959+0.0004204i,0.0027577-0.00014545i,0.0023201-0.00036542i,0.00050056-0.00076073i,-0.00018147-0.0012611i,-0.00035588-0.0015263i,6.8898e-05-0.001165i,0.00051552-0.00011958i,0.00066003+0.00051849i,0.00030698+0.00052815i,-0.00071142+0.00043249i,-0.0007368-0.00016809i,-0.00012738-0.0003796i,6.532e-06-0.00011397i,0.00017897-0.00012235i,0.00050084+0.00052692i,0.00059995+0.00078328i,0.00032535+1.1397e-05i,-0.00018743+0.00011561i,-0.00035334+0.00062681i
-0.0002559-0.00011512i,0.00036363-0.00056559i,0.0006515-0.00071765i,-0.00012526-0.00032066i,-0.00052556+0.00054846i,0.00019766+0.00097748i,0.00067167+0.0006857i,0.0007808-0.00012883i,0.00025894-0.00069317i,-0.0001893-0.00072738i,-0.00020683-6.349e-05i,-0.00014121-0.00015442i,-0.00067848-0.00073295i,-0.001193-0.00042005i,-0.00057085-0.00060996i,0.00041491-0.00083379i,0.00033663-0.00079391i,-0.00037875-0.00030108i,-0.00089274+4.2052e-05i,-0.00060473-0.00018875i,0.0004613-0.0005165i,0.00032278-0.00090119i,-0.00027863-0.00091423i
